	GTEX.S341.1326.SM.4AD72	GTEX.13OW8.2326.SM.5L3I9	GTEX.XUZC.0426.SM.4BOPE	GTEX.WH7G.0926.SM.4LVMJ	GTEX.11ZU8.1526.SM.5EGHX	GTEX.ZYVF.2226.SM.5GIDD	GTEX.13G51.0926.SM.5IFFU	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.X3Y1.0626.SM.3P5YS	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P
C9orf117	59474.18	12.0	16.88	15.34	10.71	14.78	19.68	11.73	30.34	0.0	0.0	642.59	934.76	450.94	902.89	921.88	406.31	753.83	785.88	764.36	651.58	1437.15	1594.73	579.04	1051.79	1044.52	486.75	928.3	698.41
C9orf171	336441.4	0.96	0.0	2.66	0.0	0.0	0.0	3.32	20.11	0.0	0.0	343.89	241.19	414.87	591.22	460.44	343.89	470.14	543.96	540.19	629.35	848.22	854.13	624.99	1127.35	1096.5	327.56	529.06	198.47
CACNG8	6.46	1.33	0.2	0.19	0.68	0.16	1.33	0.0	0.0	0.0	0.05	3.79	1.66	0.06	2.16	6.89	1.66	2.41	6.78	3.06	2.23	7.06	2.01	2.41	3.08	1.03	2.39	7.63	0.57
CAPSL	677564.08	0.0	0.0	0.0	0.0	0.0	0.0	13.12	81.14	0.0	0.0	1857.6	1397.83	1111.82	2090.03	1378.57	780.44	1447.15	1277.29	1417.35	1651.0	3742.05	2915.45	1651.0	4972.34	3146.52	583.07	2777.33	1051.79
CATSPERD	7537.18	0.0	0.0	0.0	0.0	0.0	0.0	0.41	45.53	0.0	0.0	764.36	371.22	679.29	1551.09	1059.11	295.11	463.65	587.13	1111.82	1088.92	2303.12	1733.13	624.99	1104.13	1733.13	532.74	1447.15	723.08
CCDC24	3212.66	201.25	150.17	205.5	145.02	175.07	281.09	42.41	146.03	0.0	0.16	432.53	343.89	384.34	836.53	884.29	273.37	629.35	470.14	603.67	497.0	1447.15	1628.26	529.06	759.08	896.64	426.57	708.18	438.59
CCDC33	12502.12	1.53	0.0	0.0	0.95	0.0	2.68	0.0	22.26	0.0	0.0	237.86	395.18	145.02	376.41	289.02	146.03	273.37	281.09	273.37	204.07	575.03	743.43	256.78	599.49	438.59	81.71	361.04	204.07
CCDC37	13681.08	3.79	10.0	0.0	0.0	9.06	4.82	0.0	28.45	0.0	0.0	293.07	583.07	305.55	400.71	651.58	251.48	470.14	473.41	389.72	414.87	866.07	1127.35	353.59	633.73	629.35	253.23	493.56	258.57
CCDC74B	3303.0	10.79	2.29	6.36	7.94	8.65	19.82	1.16	47.17	0.0	0.0	267.73	325.29	244.57	420.68	409.15	224.97	417.77	325.29	389.72	412.0	764.36	642.59	334.46	693.58	684.02	212.78	551.56	258.57
CDHR4	42346.82	6.73	0.6	6.31	3.08	3.44	3.17	1.3	37.05	0.0	0.0	651.58	921.88	470.14	1191.69	1331.57	483.38	967.76	802.41	748.61	896.64	2417.67	2400.97	769.69	1397.83	1540.37	540.19	1268.46	595.34
