	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11ZTS.1526.SM.5N9G7	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.11DYG.1426.SM.5A5JR	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.V1.A9ZI.01A.11R.A41O.07	TCGA.J9.A8CK.01A.11R.A352.07	GTEX.111CU.1526.SM.5N9FS	GTEX.S95S.1026.SM.4B64M	TCGA.AG.3732.11A.01R.1660.07
DSTN	40341.14	70727.3	194578.47	23492.92	193234.41	485798.0	53230.77	3928.15	6840.04	13968.57	23986.58	18304.63	98646.85
DYNC1LI2	1551.09	1977.24	2835.7	1477.58	1806.78	2682.69	1923.14	358.54	412.0	836.53	1242.34	813.63	2855.44
EHBP1	1059.11	1498.22	2816.11	483.38	1662.49	1277.29	872.1	140.04	392.44	351.14	301.33	356.05	2816.11
GPM6A	813.63	1594.73	2915.45	293.07	8718.32	11504.21	1268.46	1.3	23.25	15.0	26.67	40.36	1883.54
GPR156	15.0	23.59	147.06	7.4	13.12	8.71	29.27	1.87	1.71	6.01	4.62	8.32	73.03
HSPB8	12853.63	18304.63	52497.92	6037.61	7803.01	25354.3	17927.91	31.22	518.15	1477.58	4481.23	4095.0	19618.49
JAM3	1936.53	1628.26	4181.07	981.29	3303.0	7081.29	1561.89	103.69	381.68	551.56	915.51	723.08	2367.9
KATNAL1	211.31	249.73	748.61	142.01	497.0	884.29	275.28	32.82	23.08	44.57	108.14	78.89	559.28
KLF11	409.15	616.37	718.08	139.07	669.92	500.46	406.31	87.03	57.49	101.54	166.73	119.26	974.5
KLHL23	287.01	854.13	2835.7	353.59	674.59	1697.45	507.46	163.28	291.04	236.21	221.86	214.27	1477.58
MBNL1	2255.7	2468.49	5594.3	2303.12	4298.64	3794.3	2351.53	281.09	525.39	603.67	1572.76	1104.13	4450.27
METTL24	170.25	234.57	954.43	103.69	190.34	293.07	164.42	0.72	21.78	28.24	60.82	42.71	547.75
MYOCD	941.27	660.68	2004.85	540.19	753.83	1923.14	1023.0	1.25	22.59	59.97	299.25	232.94	1757.34
NDE1	819.3	743.43	2855.44	753.83	2148.82	2796.65	1457.23	215.77	201.25	363.56	473.41	409.15	2739.08
PGR	87.65	73.54	206.94	36.01	146.03	343.89	77.79	0.45	11.82	27.84	49.56	59.55	189.02
PLN	4481.23	7280.4	14361.31	2758.13	7180.15	15499.21	4512.4	4.9	253.23	624.99	902.89	579.04	16157.44
PRKAB2	420.68	603.67	1191.69	444.72	599.49	624.99	532.74	117.6	155.5	166.73	295.11	201.25	1104.13
PTPLA	1628.26	1781.89	4328.55	947.83	738.29	1322.37	1857.6	27.05	53.95	293.07	934.76	500.46	3395.89
RBM20	104.42	146.03	281.09	62.12	78.89	118.43	85.22	3.23	3.76	9.2	5.06	9.85	234.57
RNF150	314.17	518.15	1870.53	145.02	409.15	854.13	248.0	4.24	42.71	103.69	128.79	195.72	1295.13
RNF38	476.71	507.46	1059.11	341.51	674.59	974.5	620.67	112.77	228.13	220.32	403.5	339.14	981.29
SEMA3A	135.24	500.46	1119.56	161.02	679.29	961.07	217.27	7.75	3.56	5.11	57.89	62.56	866.07
SGCB	947.83	921.88	1628.26	571.05	2148.82	4268.94	1159.07	52.08	163.28	323.03	607.87	363.56	1794.29
SH3BGRL	3847.29	6294.04	12502.12	3639.7	6471.02	8363.13	5255.91	543.96	1143.1	1769.57	2502.97	2351.53	10440.2
SMPX	231.32	1096.5	2537.92	339.14	8305.36	47974.16	567.1	1.71	4.31	7.88	131.51	8.51	2537.92
SMTN	75280.1	109455.64	641014.63	22225.61	318292.9	1034138.94	40621.74	981.29	1572.76	5112.16	5751.61	8479.89	110983.6
SNX29	153.34	178.77	244.57	141.02	202.66	205.5	199.85	31.45	78.89	96.01	107.38	107.38	231.32
SPOP	2997.45	4152.18	17437.64	3081.75	4298.64	14971.21	4903.87	486.75	759.08	1605.83	1628.26	1991.0	8658.09
STON1	921.88	1183.45	2240.11	281.09	2591.27	3146.52	796.86	8.92	124.37	327.56	180.02	164.42	1963.57
STX7	660.68	785.88	780.44	497.0	647.07	974.5	753.83	249.73	199.85	228.13	409.15	320.8	1066.48
SYNM	18689.27	18689.27	101420.22	6699.25	119776.72	181548.07	21768.19	55.49	665.29	2047.0	7180.15	5255.91	42641.37
SYNPO2	11112.3	11584.24	39237.98	4972.34	13033.07	35118.87	12076.21	6.06	607.87	1529.73	6652.97	3018.3	20593.91
TMEM245	759.08	660.68	1529.73	463.65	1066.48	1857.6	915.51	242.88	239.52	307.69	500.46	381.68	1519.15
TMEM55A	466.88	769.69	1844.76	291.04	651.58	1066.48	432.53	46.18	171.45	164.42	267.73	279.14	1023.0
TPM1	60304.42	156954.93	535303.41	44761.41	789181.81	2201414.44	84109.6	1378.57	7331.05	17197.56	35856.82	33688.23	177811.84
TPM2	185362.8	303217.87	1063212.58	61999.83	706337.4	2392353.91	104271.56	16960.78	13123.73	30572.63	70238.75	54349.29	209994.66
WFIKKN2	13.22	29.91	62.56	13.72	16.75	43.94	24.81	0.73	3.5	4.17	4.86	7.17	55.49
