	TCGA.CF.A1HR.01A.11R.A13Y.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.C5.A7CO.01A.11R.A352.07	TCGA.ZJ.A8QO.01A.11R.A37O.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.CR.6467.01A.11R.1873.07	TCGA.BB.4223.01A.01R.1436.07	TCGA.DQ.7595.01A.11R.2232.07	TCGA.CR.5243.01A.01R.1514.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.132NY.0926.SM.5P9G3	TCGA.62.A471.01A.12R.A24H.07	TCGA.33.6737.01A.11R.1820.07
MROH7-TTC4	1.55	1.77	7.63	7.17	14.89	10.08	9.93	17.25	3.11	11.47	0.0	1.38	0.0	6.21	2.1
MTR	48.52	57.08	150.17	140.04	191.67	265.87	189.02	221.86	153.34	171.45	71.0	35.0	52.82	60.39	98.04
NAB1	128.79	1023.0	540.19	780.44	796.86	775.05	1135.2	928.3	688.78	947.83	314.17	248.0	211.31	281.09	371.22
NAB2	660.68	1322.37	409.15	703.28	698.41	669.92	902.89	1008.9	587.13	825.0	470.14	303.44	262.2	265.87	325.29
NCK1	423.61	2997.45	5479.15	848.22	1936.53	1322.37	1963.57	2224.63	1417.35	1896.65	414.87	575.03	231.32	591.22	928.3
NDE1	297.17	2935.74	1651.0	1304.15	3235.01	2609.3	2178.83	1745.2	1001.93	2319.15	119.26	47.5	26.47	409.15	500.46
NEK9	334.46	329.84	406.31	435.55	559.28	642.59	780.44	638.15	633.73	638.15	460.44	429.54	480.04	420.68	447.82
NELL2	8.0	121.79	497.0	23.08	351.14	182.55	587.13	128.79	27.44	62.12	8.78	1.0	4.35	19.53	22.43
NSD1	175.07	224.97	239.52	295.11	435.55	536.45	341.51	483.38	226.54	511.0	75.64	50.63	58.3	155.5	260.38
NSL1	353.59	211.31	339.14	470.14	679.29	555.41	529.06	688.78	629.35	612.11	379.04	285.03	312.0	336.79	264.03
OR52N4	0.0	1.57	0.0	1.71	2.34	4.54	2.89	14.78	0.0	2.12	1.45	0.0	1.19	1.35	0.0
PAQR4	320.8	1001.93	299.25	860.08	1540.37	1340.84	909.17	1104.13	703.28	974.5	61.25	17.0	10.71	131.51	185.11
PFKL	1540.37	4038.61	3639.7	2384.37	4123.49	2555.58	4210.15	2720.15	3146.52	4450.27	1295.13	1781.89	2209.26	1437.15	1977.24
PGBD1	20.86	10.08	15.91	32.82	38.12	57.89	59.55	95.34	28.45	44.57	25.72	15.34	15.45	24.11	28.24
PIK3CB	406.31	836.53	775.05	525.39	819.3	934.76	902.89	500.46	559.28	896.64	228.13	297.17	241.19	332.14	301.33
PRR12	269.6	140.04	242.88	327.56	423.61	764.36	473.41	417.77	281.09	466.88	46.18	25.91	58.3	167.9	299.25
PRSS12	59.55	1216.75	2384.37	476.71	571.05	273.37	563.18	579.04	137.14	547.75	10.63	0.0	2.94	8.25	14.35
RAB8A	866.07	1477.58	1135.2	915.51	1081.39	1359.57	1467.37	1286.18	954.43	981.29	698.41	825.0	947.83	642.59	854.13
RBM15	35.0	84.04	32.82	140.04	185.11	195.72	171.45	212.78	100.13	169.07	67.12	82.87	32.36	89.51	112.77
RCC2	1639.59	2224.63	2148.82	2720.15	2997.45	3443.31	2555.58	3212.66	2645.74	4010.71	246.28	123.5	90.14	1977.24	1674.06
RIF1	89.51	55.49	86.43	153.34	305.55	414.87	285.03	366.09	182.55	264.03	59.97	38.12	26.67	154.42	157.68
RQCD1	769.69	346.29	444.72	785.88	1088.92	1447.15	1023.0	1073.91	813.63	1199.98	271.48	169.07	246.28	703.28	733.19
RTTN	85.82	130.6	92.7	239.52	361.04	346.29	426.57	555.41	119.26	229.72	105.89	97.36	120.94	199.85	120.94
SCAF4	198.47	384.34	273.37	454.09	473.41	470.14	497.0	406.31	457.25	438.59	248.0	193.01	205.5	256.78	348.71
SENP1	170.25	134.3	134.3	155.5	373.81	518.15	435.55	476.71	214.27	318.57	42.71	23.76	39.5	125.24	143.01
SETD1A	234.57	94.01	167.9	211.31	417.77	447.82	291.04	283.05	241.19	323.03	92.05	71.5	63.89	176.29	175.07
SLC36A1	46.84	47.84	31.67	144.01	211.31	199.85	134.3	183.82	77.79	239.52	29.91	20.86	21.78	28.04	53.57
SMAD4	379.04	223.41	277.2	351.14	1268.46	1639.59	1044.52	1977.24	738.29	1199.98	277.2	195.72	332.14	316.37	291.04
SMARCA2	507.46	785.88	1498.22	1268.46	3168.41	3820.7	5041.77	2335.28	961.07	1883.54	842.36	620.67	728.11	279.14	309.83
SMARCA4	2148.82	5672.41	3190.46	1950.0	2193.99	3325.99	2835.7	3443.31	2627.46	2609.3	470.14	503.95	454.09	348.71	1519.15
SMARCD1	1242.34	656.11	511.0	1167.14	1498.22	1844.76	1378.57	1721.16	1340.84	1242.34	297.17	186.4	237.86	764.36	1044.52
SOCS4	94.01	81.71	90.14	145.02	151.22	194.36	148.09	242.88	139.07	204.07	49.21	39.79	40.64	90.14	120.94
SP3	423.61	693.58	981.29	764.36	1051.79	1037.29	1051.79	1407.55	1037.29	1313.23	289.02	264.03	283.05	599.49	595.34
SPIN1	368.65	483.38	723.08	866.07	1159.07	1051.79	1059.11	947.83	872.1	1088.92	256.78	115.97	142.01	457.25	529.06
SSX2IP	141.02	217.27	111.99	208.38	271.48	463.65	381.68	981.29	246.28	555.41	119.26	72.01	23.42	197.09	170.25
STAG1	381.68	171.45	269.6	323.03	563.18	450.94	476.71	587.13	387.02	511.0	100.83	72.01	84.63	159.9	246.28
STIL	48.87	130.6	75.64	191.67	237.86	251.48	198.47	202.66	147.06	341.51	19.82	1.14	10.0	125.24	111.99
TAF4B	7.11	25.54	149.12	66.65	153.34	141.02	176.29	351.14	54.72	180.02	5.77	2.29	0.21	10.79	24.28
TCEANC2	48.52	85.82	82.87	60.39	105.15	88.88	108.9	90.77	96.68	107.38	22.92	25.54	24.11	45.53	53.19
TFAP4	226.54	351.14	599.49	454.09	579.04	642.59	450.94	555.41	412.0	642.59	88.88	48.18	71.5	193.01	228.13
TP63	791.35	3290783.22	3313672.43	1806.78	2018.8	2956.17	2609.3	4388.98	3690.52	4481.23	1.38	0.0	2.86	151.22	25.35
TPGS2	1721.16	1819.35	1295.13	1617.0	2956.17	2502.97	2609.3	4328.55	1594.73	2555.58	392.44	336.79	293.07	961.07	842.36
TRIM59	72.52	368.65	176.29	241.19	269.6	351.14	381.68	181.28	185.11	423.61	16.39	3.86	9.06	81.71	58.3
TXLNA	555.41	334.46	414.87	961.07	1143.1	1313.23	1051.79	1135.2	896.64	1733.13	339.14	426.57	470.14	656.11	486.75
USP1	248.0	356.05	309.83	532.74	909.17	836.53	860.08	1044.52	638.15	791.35	157.68	95.34	71.0	343.89	420.68
USP37	47.5	132.44	35.25	48.18	161.02	289.02	187.71	183.82	114.36	197.09	13.83	9.48	16.88	44.57	67.12
WDR47	118.43	836.53	299.25	127.0	429.54	460.44	579.04	563.18	246.28	457.25	35.25	25.54	19.68	62.56	87.03
WDR7	100.83	126.12	93.35	44.57	180.02	241.19	162.14	251.48	80.57	152.28	90.14	71.5	74.06	35.76	56.68
ZADH2	275.28	289.02	379.04	307.69	450.94	633.73	796.86	1023.0	373.81	591.22	307.69	397.93	473.41	135.24	293.07
ZNF136	64.34	46.5	82.29	82.87	115.16	173.85	161.02	116.78	95.34	112.77	44.25	27.05	23.08	55.49	42.11
ZNF189	85.22	127.0	178.77	220.32	275.28	309.83	395.18	180.02	195.72	269.6	164.42	104.42	127.89	150.17	115.97
ZNF263	518.15	187.71	483.38	460.44	713.11	764.36	669.92	693.58	543.96	483.38	211.31	121.79	218.79	277.2	371.22
ZNF496	197.09	64.34	81.71	228.13	356.05	368.65	283.05	334.46	236.21	269.6	52.45	34.51	56.28	78.89	152.28
ZNF689	76.71	43.32	103.69	94.01	195.72	220.32	158.79	109.66	98.73	145.02	55.49	74.58	72.52	49.91	37.05
ZNF791	102.97	193.01	193.01	141.02	176.29	265.87	312.0	262.2	187.71	223.41	74.58	33.54	55.1	136.19	108.14
ZSCAN32	231.32	117.6	193.01	242.88	339.14	353.59	244.57	289.02	267.73	305.55	114.36	89.51	91.41	169.07	146.03
