	GTEX.ZVZP.1626.SM.5GIDJ	GTEX.11P81.1026.SM.5GU54	GTEX.XBEW.1526.SM.4AT4K	GTEX.ZT9W.1426.SM.4YCD2	GTEX.Y3I4.0926.SM.4TT2B	GTEX.13RTK.0426.SM.5RQHT	GTEX.131XG.1126.SM.5DUWR	GTEX.13D11.2026.SM.5IJBK	GTEX.13YAN.1826.SM.5LU3Q	GTEX.XUW1.1326.SM.4BOO1	GTEX.146FR.0526.SM.5Q5EX	GTEX.WH7G.1026.SM.4LVML	GTEX.WFG8.1026.SM.4LVMZ	GTEX.TMMY.1226.SM.4DXT6	GTEX.12C56.1126.SM.5FQTO	GTEX.ZT9W.1226.SM.57WE4	GTEX.145LV.1426.SM.5Q5BV	GTEX.1211K.1026.SM.5EQ4B	GTEX.ZXES.1226.SM.5NQ8G	GTEX.13OVI.2526.SM.5KM4V	GTEX.UPIC.0626.SM.4IHK2	GTEX.13RTK.0626.SM.5Q5EK	GTEX.145ME.0626.SM.5O99Q	GTEX.XUW1.1526.SM.4BOOY	GTEX.NFK9.1226.SM.3LK79	GTEX.OIZG.0926.SM.3LK5Y	GTEX.QCQG.0726.SM.48U1Z	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4GY.11A.11R.A36D.31
C20orf27	1225.22	3039.3	1832.01	1286.18	679.29	3794.3	1104.13	2319.15	2271.4	2664.15	620.67	3639.7	1733.13	1378.57	934.76	1015.93	1605.83	1369.04	1936.53	2796.65	2224.63	3491.39	1268.46	2451.44	2018.8	3515.68	723.08	480.04	432.53	450.94	563.18	583.07	642.59	343.89	476.71	403.5	223.41	540.19	167.9	198.47	334.46	299.25	414.87	198.47	291.04	241.19	307.69	480.04	329.84	253.23	406.31	246.28	420.68	379.04	339.14	438.59	497.0	426.57	493.56	327.56	353.59	423.61	351.14	314.17	329.84	318.57	336.79	239.52	389.72	0.0	0.28	3955.48	4038.61	2855.44	1529.73	1151.06	3955.48
C2orf57	0.0	0.0	0.0	0.0	0.72	0.0	1.03	1.06	1.85	0.0	0.74	2.48	0.0	3.32	0.74	0.0	0.0	0.74	0.0	3.0	1.45	0.68	0.0	1.69	1.03	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	6.57	2.32	3.08	4.94
C9orf116	40.36	39.79	71.5	53.95	35.0	55.89	102.97	78.34	80.01	54.72	12.09	59.13	67.12	37.05	21.16	35.76	43.32	36.27	53.19	64.8	81.14	49.21	42.41	62.56	87.65	64.8	42.41	47.5	30.34	34.26	56.28	29.27	15.8	64.34	65.72	22.1	23.42	36.53	36.79	29.91	98.73	18.56	29.27	69.52	53.57	201.25	100.13	50.63	22.92	78.34	68.07	68.07	50.27	30.34	51.71	18.43	13.72	84.04	71.5	27.84	177.53	18.7	52.82	10.24	19.39	15.8	29.91	37.59	35.76	0.0	0.0	49.56	167.9	109.66	61.68	72.01	68.55
C9orf131	15.0	7.82	12.27	19.97	7.0	8.32	16.15	4.94	2.23	32.36	24.81	14.24	12.0	11.91	8.85	4.66	1.99	9.78	15.0	17.51	2.58	10.08	9.13	13.52	28.45	11.21	6.67	0.0	0.0	5.36	0.0	1.11	1.85	1.22	7.46	0.25	1.51	0.56	0.44	0.27	0.0	3.0	5.36	0.75	3.2	3.69	0.59	0.64	4.1	1.95	1.27	3.92	0.71	1.55	0.24	0.0	0.65	0.0	0.77	2.92	0.01	0.03	1.3	0.0	0.04	0.0	1.51	0.22	4.9	0.0	0.12	5.02	20.11	12.83	15.45	40.07	22.43
C9orf9	84.63	228.13	229.72	438.59	127.0	237.86	127.0	232.94	190.34	262.2	80.57	267.73	199.85	173.85	127.0	98.73	142.01	147.06	178.77	170.25	289.02	260.38	145.02	267.73	316.37	269.6	141.02	39.5	30.56	37.85	32.59	52.08	72.52	59.13	20.56	45.85	27.44	44.25	31.0	7.88	52.82	57.89	62.56	4.17	28.24	61.25	10.0	29.06	49.91	45.53	46.5	22.75	9.63	27.25	31.45	107.38	52.08	31.67	35.5	77.79	28.04	41.52	22.43	24.11	33.54	20.86	36.53	12.27	54.33	0.0	0.0	497.0	480.04	476.71	149.12	166.73	518.15
CBR3	224.97	193.01	146.03	111.99	153.34	119.26	150.17	218.79	262.2	119.26	112.77	120.1	155.5	125.24	146.03	119.26	197.09	133.36	264.03	226.54	139.07	133.36	145.02	111.21	246.28	285.03	77.25	18.7	27.64	8.92	14.24	53.57	21.63	10.63	30.78	25.35	14.89	17.0	1.57	9.7	11.73	40.36	9.7	13.12	24.63	9.13	3.14	7.0	23.59	32.59	12.64	16.39	10.24	6.78	7.69	8.78	25.17	37.05	17.0	41.52	11.91	5.5	12.0	2.27	21.94	15.8	21.01	4.86	9.85	0.0	0.59	171.45	197.09	228.13	195.72	202.66	242.88
CDC42EP4	1051.79	1001.93	854.13	1437.15	791.35	1135.2	1233.75	1167.14	1216.75	1447.15	1331.57	1359.57	915.51	1350.18	1081.39	1199.98	974.5	974.5	1369.04	1857.6	1096.5	974.5	1191.69	1378.57	2224.63	1388.16	813.63	525.39	466.88	460.44	665.29	796.86	563.18	457.25	490.14	647.07	656.11	713.11	320.8	733.19	603.67	860.08	579.04	389.72	688.78	583.07	305.55	603.67	647.07	934.76	297.17	896.64	660.68	511.0	684.02	384.34	769.69	620.67	507.46	1437.15	441.64	435.55	423.61	884.29	567.1	551.56	698.41	743.43	764.36	0.0	0.59	1199.98	1769.57	1051.79	941.27	915.51	1794.29
CTB-134H23.2	10.71	16.39	9.63	8.13	11.04	11.04	6.73	4.86	15.0	8.65	9.48	0.0	8.32	0.0	5.11	5.73	14.24	1.77	4.78	30.78	0.0	15.68	7.17	0.0	3.53	1.3	3.76	0.0	0.0	0.0	0.0	1.51	0.0	0.22	0.65	3.79	0.47	1.53	1.43	0.41	0.84	0.0	1.95	0.77	5.41	0.0	1.6	0.0	1.35	0.0	2.66	1.58	0.95	2.92	0.0	0.0	0.0	0.88	0.64	0.83	1.46	2.32	4.62	1.38	0.0	1.28	1.22	0.49	2.66	0.0	0.27	2.25	10.47	8.38	8.25	8.25	3.11
CYBRD1	2645.74	2875.3	2468.49	2758.13	1923.14	1936.53	2875.3	3103.19	10296.45	2319.15	1819.35	1781.89	2451.44	1721.16	1350.18	2935.74	2384.37	2816.11	4298.64	3212.66	2335.28	1745.2	1977.24	2627.46	3168.41	4298.64	902.89	231.32	194.36	269.6	256.78	802.41	660.68	239.52	129.69	384.34	293.07	167.9	387.02	269.6	332.14	438.59	236.21	21.32	191.67	289.02	79.45	69.52	540.19	336.79	249.73	163.28	237.86	197.09	131.51	612.11	665.29	420.68	111.99	1151.06	117.6	285.03	120.1	131.51	167.9	246.28	223.41	111.99	190.34	0.0	0.35	1936.53	2777.33	1923.14	2224.63	1447.15	2367.9
CYP1B1	194.36	299.25	113.56	165.57	186.4	409.15	248.0	190.34	2351.53	193.01	144.01	165.57	358.54	329.84	149.12	94.01	159.9	309.83	264.03	205.5	132.44	147.06	373.81	353.59	66.65	571.05	334.46	66.65	49.21	56.68	70.01	90.77	37.05	45.53	264.03	24.28	368.65	41.22	125.24	100.83	90.77	59.97	197.09	82.87	73.03	743.43	7331.05	75.11	69.03	14.03	88.88	40.64	52.45	23.76	35.76	31.67	106.63	38.67	48.87	163.28	70.01	66.18	40.93	20.86	13.03	215.77	111.21	612.11	199.85	447.82	490.14	693.58	514.56	1175.27	234.57	483.38	343.89
DKKL1	4.46	14.56	9.41	5.87	4.28	19.25	3.69	19.97	10.55	18.29	3.32	11.47	1.85	12.64	8.85	7.28	14.35	10.24	4.82	12.09	3.92	19.97	19.68	34.26	18.16	11.3	11.3	0.0	2.51	2.23	7.4	1.83	5.28	0.0	5.92	0.0	12.74	6.11	0.93	1.95	1.68	5.68	7.51	9.06	3.82	0.69	0.0	0.0	11.64	0.0	0.0	0.0	0.0	6.84	0.0	6.84	1.93	14.14	3.26	1.66	8.32	0.0	5.82	0.0	10.96	6.94	2.18	0.0	12.27	0.0	0.0	19.82	31.22	4.74	8.19	15.11	19.68
DNAJC18	226.54	297.17	208.38	165.57	149.12	187.71	303.44	198.47	429.54	275.28	231.32	237.86	172.65	273.37	255.0	232.94	220.32	209.84	265.87	392.44	199.85	187.71	295.11	202.66	255.0	316.37	158.79	28.24	23.08	37.05	19.25	66.65	41.81	10.55	16.63	22.59	18.7	34.02	10.79	34.26	31.67	52.82	21.63	53.57	44.57	66.18	15.0	43.32	12.45	13.22	16.03	23.76	19.39	30.78	9.7	32.36	12.83	67.59	10.71	44.89	8.99	60.39	16.51	10.55	56.68	24.63	38.12	56.68	18.03	0.0	0.26	287.01	316.37	177.53	154.42	255.0	379.04
DYNC2H1	281.09	212.78	277.2	183.82	221.86	242.88	187.71	409.15	395.18	181.28	223.41	217.27	463.65	123.5	189.02	187.71	323.03	301.33	195.72	348.71	198.47	289.02	164.42	209.84	172.65	248.0	122.64	36.01	26.28	30.78	17.0	57.49	70.51	14.78	12.18	30.78	8.99	19.25	77.79	24.28	37.59	50.27	49.91	15.56	24.46	21.16	11.47	29.7	21.94	27.25	17.77	69.03	11.73	45.53	11.73	67.12	22.59	77.79	27.05	45.85	20.26	18.29	17.51	11.55	45.85	46.18	10.39	14.24	13.42	0.0	0.35	295.11	162.14	214.27	118.43	113.56	248.0
EXTL1	6.62	4.46	18.43	7.88	5.87	4.46	10.63	7.0	9.93	11.04	10.96	9.48	4.58	11.73	3.41	7.34	13.22	15.45	5.06	34.02	9.06	5.02	6.57	3.66	42.11	11.73	32.82	0.0	0.0	0.0	0.0	1.95	0.0	1.45	0.12	0.13	0.09	0.0	1.04	0.6	0.09	0.59	0.14	0.11	0.07	0.05	0.0	0.43	0.14	1.85	2.41	0.17	0.09	0.11	0.0	0.0	0.14	0.84	0.0	1.77	0.0	0.11	0.08	0.15	0.55	0.0	0.1	0.11	0.06	0.0	0.09	9.78	12.0	24.46	8.13	20.86	35.76
FAM187B	1.83	2.46	1.85	0.59	1.25	0.91	0.0	0.0	1.07	0.0	0.0	3.96	3.14	3.44	0.97	0.62	1.77	0.96	0.0	2.27	1.58	3.03	1.83	0.87	1.81	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	3.53	1.55	0.55	2.25	2.2
FAM71F1	4.86	1.45	5.87	3.56	0.0	0.0	6.52	6.31	0.54	5.54	1.53	1.04	3.66	0.96	0.0	1.1	0.0	1.53	0.0	7.17	0.0	0.62	0.0	1.77	3.5	4.24	0.27	2.53	0.0	0.0	8.32	0.75	1.35	0.04	1.07	1.71	0.0	0.0	1.73	0.47	0.0	2.68	0.47	0.0	1.5	0.34	0.1	0.0	2.71	0.72	0.43	0.0	0.68	0.42	0.0	0.0	0.46	1.19	0.0	0.0	0.07	0.73	0.38	0.0	1.06	0.68	0.0	0.0	0.0	0.0	0.19	0.0	3.29	11.38	0.77	18.29	1.36
FBXO32	2133.97	6164.49	1540.37	2956.17	4802.93	5006.93	2664.15	2758.13	2335.28	3820.7	3257.52	5633.22	1991.0	3395.89	4802.93	4869.99	3280.18	5672.41	4239.45	9215.48	5219.6	4328.55	5594.3	4903.87	4836.35	2816.11	2434.5	79.45	60.39	58.71	38.67	69.03	47.17	82.29	33.06	100.13	20.11	83.45	63.89	30.12	62.12	45.53	68.07	46.5	56.28	77.79	16.75	44.57	86.43	58.71	215.77	98.04	44.89	50.63	34.51	98.73	46.18	64.8	2.56	68.55	53.19	43.63	35.5	101.54	389.72	180.02	43.63	316.37	43.63	0.0	0.27	11584.24	10659.59	5711.87	1605.83	3443.31	8840.04
FLJ00273	16.03	8.0	12.83	12.74	4.28	15.68	26.86	6.62	7.46	5.82	0.0	19.53	7.22	22.75	11.55	5.41	6.84	5.92	8.0	22.1	5.28	5.06	6.52	11.82	12.55	26.86	8.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	2.27	0.0	1.93	2.43	0.0	3.17	0.0	0.0	1.48	3.03	0.0	0.0	2.89	0.0	0.0	2.63	0.0	0.0	0.0	0.0	1.73	0.0	0.0	1.85	0.0	2.89	1.73	0.0	0.0	0.0	0.0	0.0	1.69	15.91	0.0	6.57	18.29	19.39
GIT2	543.96	642.59	599.49	642.59	579.04	529.06	532.74	583.07	753.83	599.49	514.56	457.25	567.1	547.75	507.46	447.82	551.56	518.15	547.75	454.09	656.11	435.55	466.88	575.03	503.95	595.34	460.44	149.12	176.29	215.77	141.02	346.29	198.47	75.64	116.78	165.57	131.51	117.6	155.5	115.97	181.28	220.32	158.79	199.85	167.9	236.21	120.1	197.09	186.4	229.72	132.44	116.78	128.79	117.6	144.01	167.9	126.12	199.85	85.22	244.57	146.03	258.57	197.09	71.0	166.73	178.77	170.25	155.5	127.0	0.0	0.59	1051.79	743.43	819.3	669.92	915.51	703.28
GNAI2	4328.55	6561.36	4512.4	4972.34	5913.33	6164.49	6037.61	6079.61	6250.56	5954.47	5441.3	6426.31	6079.61	5872.48	4972.34	5041.77	5831.91	5872.48	6516.03	5791.62	5479.15	5672.41	4123.49	6164.49	6792.79	6037.61	5329.3	2777.33	3349.13	2976.74	3614.55	7911.95	5183.54	2400.97	4736.79	3280.18	4038.61	4450.27	2573.36	2287.2	3665.02	4210.15	5751.61	2537.92	3467.27	3742.05	2119.22	3039.3	4769.75	3146.52	2720.15	4152.18	3303.0	2520.38	3280.18	4704.07	5711.87	4152.18	3540.14	4671.57	3794.3	3794.3	3419.52	4095.0	3768.09	4210.15	3564.78	3212.66	3325.99	0.0	0.85	7280.4	6426.31	7803.01	4298.64	6079.61	6887.62
GRM2	6.84	7.75	9.06	6.46	4.5	9.06	5.06	13.83	6.36	11.04	8.19	7.34	21.32	16.03	7.82	9.93	4.21	12.27	7.34	55.89	8.85	17.38	7.63	18.97	6.73	7.4	16.27	0.0	0.75	2.84	0.73	2.86	3.66	0.25	0.41	2.94	1.51	1.91	0.04	0.45	2.27	0.87	3.06	0.78	0.33	0.29	4.1	0.65	2.16	1.93	0.02	1.41	5.06	0.0	1.2	0.78	1.28	1.71	8.51	1.46	0.69	3.2	12.09	0.47	2.01	0.36	4.78	0.01	0.0	0.0	0.23	16.51	13.62	24.11	10.16	7.69	9.06
GTF3C2	1081.39	819.3	1030.12	896.64	738.29	759.08	884.29	759.08	1216.75	974.5	738.29	764.36	780.44	785.88	785.88	728.11	802.41	791.35	723.08	1015.93	884.29	866.07	718.08	780.44	836.53	884.29	791.35	332.14	353.59	327.56	279.14	358.54	353.59	305.55	260.38	346.29	262.2	356.05	389.72	265.87	320.8	287.01	285.03	363.56	414.87	275.28	343.89	366.09	223.41	327.56	371.22	208.38	316.37	323.03	336.79	457.25	197.09	353.59	323.03	187.71	356.05	348.71	514.56	164.42	242.88	371.22	267.73	309.83	211.31	0.0	0.78	698.41	848.22	928.3	1304.15	1378.57	854.13
