	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
CBWD2	463.65	521.76	392.44	417.77	435.55	796.86	299.25	518.15	327.56	480.04	371.22	325.29	299.25	366.09	161.02	265.87	251.48	199.85	279.14	339.14	271.48	460.44	327.56	332.14	493.56	406.31	361.04	239.52	289.02	285.03	214.27	454.09	327.56	218.79	332.14	236.21	269.6	170.25	389.72	234.57	209.84	318.57	295.11	381.68	368.65	253.23	728.11	551.56	215.77	297.17	271.48	305.55	325.29	228.13	281.09	320.8	171.45	232.94	293.07	299.25	339.14	312.0	262.2	309.83	236.21	183.82	309.83	211.31	154.42	237.86	205.5	161.02	224.97	316.37	301.33	543.96	518.15	400.71	738.29	791.35	587.13	583.07	764.36	981.29	314.17	466.88	426.57	769.69	567.1	429.54	318.57	836.53	435.55	339.14	417.77	848.22	555.41	480.04	237.86	305.55	547.75	536.45	483.38	341.51	397.93	320.8	532.74	514.56	529.06	279.14	441.64	540.19	1030.12	1605.83
CDC123	1628.26	1745.2	1991.0	1427.22	1628.26	1909.85	1322.37	2351.53	830.75	785.88	1143.1	743.43	961.07	1159.07	733.19	848.22	813.63	612.11	915.51	1119.56	1143.1	1457.23	1250.98	878.17	2133.97	1286.18	1467.37	1208.34	1001.93	1286.18	1175.27	967.76	764.36	872.1	2032.85	896.64	2287.2	1159.07	1697.45	785.88	819.3	1508.65	934.76	1183.45	1304.15	1477.58	1457.23	2061.24	1051.79	1250.98	1304.15	1023.0	1167.14	1104.13	896.64	836.53	547.75	819.3	825.0	571.05	651.58	884.29	579.04	1199.98	728.11	674.59	947.83	909.17	902.89	532.74	723.08	633.73	642.59	866.07	2319.15	1225.22	967.76	1437.15	1417.35	1709.26	1721.16	1378.57	1378.57	1143.1	1769.57	1350.18	1044.52	890.44	1427.22	1540.37	764.36	1151.06	1313.23	1015.93	1208.34	1519.15	902.89	1233.75	1605.83	1340.84	1208.34	1175.27	1313.23	1051.79	748.61	1167.14	1286.18	1498.22	1427.22	1242.34	1487.87	1437.15	1427.22	2303.12
CEP135	67.12	127.89	68.07	55.49	98.04	104.42	52.08	163.28	26.86	24.11	28.45	8.19	8.71	26.28	4.86	4.86	15.22	4.46	15.91	25.91	22.1	18.03	19.25	8.99	12.55	15.68	20.71	14.67	12.93	48.87	8.78	53.19	11.91	13.93	27.64	12.55	15.0	15.0	25.54	17.0	6.67	28.86	11.64	18.16	34.75	17.9	21.32	26.86	12.55	14.56	23.59	16.27	33.3	21.16	23.93	11.82	1.58	12.0	6.84	9.78	15.56	10.24	6.31	26.67	6.57	8.45	8.25	21.94	10.39	11.82	25.72	3.35	12.27	5.96	55.1	27.64	79.45	101.54	198.47	81.71	189.02	62.56	53.19	50.63	195.72	42.11	37.59	65.26	71.5	82.29	111.99	83.45	28.24	85.82	68.07	149.12	82.29	45.53	38.12	55.1	105.89	114.36	43.32	41.81	34.51	88.88	31.9	48.52	68.07	61.68	59.55	51.35	204.07	59.55
CEP97	50.98	85.82	76.17	53.95	65.26	135.24	52.45	63.89	38.12	26.1	28.86	16.39	18.29	33.06	8.06	18.97	18.03	16.27	19.68	16.51	16.39	25.91	16.39	8.58	17.51	25.35	16.51	12.27	11.13	26.28	7.11	51.71	23.59	10.16	20.56	28.45	17.13	15.56	17.51	10.24	12.27	31.45	8.13	38.12	23.08	16.15	51.35	44.89	12.93	17.13	20.41	28.86	20.71	35.76	19.82	15.22	3.66	15.22	15.0	16.63	19.25	6.01	9.2	45.21	19.53	22.92	19.39	15.56	17.77	9.2	36.27	4.74	10.24	47.5	31.22	75.64	44.25	36.79	190.34	102.97	116.78	68.55	55.89	110.43	211.31	35.5	36.27	32.82	55.49	52.45	75.64	62.12	23.08	85.82	54.72	78.89	49.21	26.28	24.28	49.56	40.36	72.01	36.27	41.81	30.78	61.68	38.12	77.79	78.89	197.09	32.82	66.18	221.86	44.57
CHD6	291.04	967.76	289.02	426.57	208.38	490.14	57.89	241.19	178.77	114.36	114.36	57.08	61.25	108.14	43.32	115.97	101.54	71.5	79.45	106.63	74.06	59.55	67.12	60.82	64.34	77.79	96.01	100.83	96.01	111.21	40.07	166.73	70.51	138.1	127.0	67.59	140.04	127.89	135.24	59.13	46.84	99.43	35.5	136.19	176.29	73.54	165.57	175.07	25.35	97.36	77.79	70.01	85.82	126.12	74.58	61.25	62.12	127.89	87.65	107.38	99.43	124.37	70.51	80.01	114.36	52.45	106.63	120.94	134.3	132.44	183.82	182.55	84.63	87.65	187.71	368.65	159.9	63.89	769.69	521.76	514.56	518.15	209.84	412.0	432.53	84.04	102.97	175.07	121.79	129.69	329.84	212.78	107.38	429.54	125.24	187.71	165.57	127.0	124.37	133.36	143.01	165.57	170.25	143.01	307.69	208.38	232.94	138.1	466.88	616.37	141.02	231.32	1697.45	262.2
CPSF2	698.41	785.88	660.68	896.64	599.49	947.83	206.94	466.88	255.0	204.07	332.14	186.4	181.28	256.78	44.25	214.27	175.07	144.01	348.71	281.09	323.03	265.87	246.28	215.77	320.8	295.11	214.27	185.11	187.71	314.17	232.94	287.01	205.5	190.34	248.0	281.09	85.82	273.37	397.93	242.88	172.65	239.52	226.54	373.81	486.75	242.88	438.59	486.75	241.19	194.36	256.78	285.03	403.5	341.51	387.02	258.57	108.14	231.32	209.84	177.53	220.32	131.51	183.82	314.17	176.29	169.07	217.27	187.71	269.6	105.15	289.02	127.0	147.06	273.37	547.75	450.94	397.93	381.68	743.43	813.63	698.41	684.02	79.45	450.94	967.76	457.25	346.29	426.57	583.07	688.78	540.19	327.56	281.09	387.02	629.35	480.04	503.95	361.04	366.09	406.31	483.38	435.55	450.94	341.51	231.32	412.0	599.49	1037.29	447.82	529.06	400.71	595.34	1407.55	698.41
CSE1L	896.64	1397.83	1427.22	2148.82	1322.37	2485.67	346.29	1977.24	842.36	575.03	723.08	426.57	432.53	902.89	277.2	490.14	518.15	447.82	483.38	674.59	435.55	921.88	791.35	579.04	1467.37	836.53	733.19	872.1	624.99	974.5	571.05	723.08	381.68	620.67	1191.69	872.1	915.51	708.18	1963.57	483.38	647.07	825.0	540.19	620.67	796.86	490.14	1844.76	1437.15	842.36	1781.89	638.15	532.74	713.11	412.0	825.0	688.78	269.6	379.04	435.55	514.56	563.18	351.14	368.65	1081.39	301.33	466.88	571.05	389.72	356.05	214.27	316.37	309.83	264.03	555.41	1023.0	2555.58	518.15	941.27	1096.5	1832.01	1572.76	1781.89	738.29	981.29	1295.13	532.74	525.39	563.18	698.41	1437.15	1081.39	954.43	412.0	684.02	1313.23	2032.85	738.29	612.11	1216.75	665.29	759.08	713.11	796.86	420.68	358.54	684.02	1963.57	1529.73	1447.15	1977.24	603.67	860.08	2240.11	1242.34
CSTF1	384.34	753.83	518.15	651.58	463.65	543.96	262.2	738.29	447.82	376.41	363.56	318.57	379.04	497.0	262.2	381.68	271.48	339.14	287.01	361.04	265.87	336.79	309.83	201.25	343.89	325.29	323.03	255.0	358.54	460.44	412.0	348.71	312.0	277.2	420.68	480.04	454.09	343.89	567.1	289.02	253.23	320.8	312.0	463.65	327.56	327.56	454.09	368.65	208.38	500.46	291.04	291.04	281.09	198.47	312.0	392.44	366.09	267.73	343.89	229.72	228.13	325.29	327.56	480.04	262.2	236.21	318.57	334.46	303.44	241.19	341.51	343.89	208.38	395.18	567.1	417.77	339.14	571.05	791.35	665.29	490.14	547.75	532.74	463.65	466.88	348.71	325.29	209.84	473.41	470.14	283.05	351.14	486.75	361.04	441.64	518.15	366.09	454.09	438.59	529.06	454.09	392.44	384.34	476.71	283.05	325.29	587.13	540.19	457.25	743.43	363.56	447.82	825.0	860.08
CTD-2368P22.1	11.91	86.43	50.98	7.51	55.1	88.26	8.13	106.63	36.79	48.18	37.32	40.93	24.28	25.72	30.12	21.32	33.78	12.74	9.06	26.1	8.06	19.82	8.25	7.51	46.84	20.11	59.97	18.56	8.58	49.21	4.39	34.75	19.39	10.16	39.22	16.15	10.79	9.34	23.59	19.11	11.64	71.0	6.01	16.39	36.79	9.34	20.41	36.01	22.1	41.52	15.0	16.88	27.44	7.0	5.11	6.41	6.84	5.54	7.06	5.54	24.46	11.21	24.99	33.06	18.29	5.36	9.93	5.41	13.22	49.21	14.56	2.71	5.06	7.69	51.71	93.35	83.45	14.67	78.89	43.32	127.89	173.85	85.82	102.97	73.54	24.63	49.56	21.32	33.78	62.12	30.12	53.95	61.68	36.27	61.68	82.29	49.91	23.08	38.67	61.25	85.22	198.47	47.5	37.05	51.35	82.29	38.67	9.27	63.0	84.63	26.1	81.71	80.01	55.89
CTDSPL2	231.32	723.08	332.14	271.48	356.05	1059.11	248.0	279.14	131.51	97.36	136.19	57.89	47.5	151.22	24.46	59.13	73.54	71.5	93.35	50.27	88.26	70.51	96.01	66.18	59.13	76.17	101.54	45.21	67.59	111.21	43.63	156.59	85.22	50.63	202.66	106.63	81.14	80.57	151.22	77.79	46.5	121.79	40.93	101.54	104.42	64.8	141.02	171.45	49.21	71.0	87.03	99.43	113.56	128.79	88.88	50.98	37.59	70.51	69.52	88.88	83.45	61.68	76.71	102.97	60.39	34.26	41.22	79.45	28.86	164.42	90.14	49.21	65.72	52.82	236.21	198.47	152.28	303.44	860.08	307.69	414.87	273.37	129.69	228.13	665.29	241.19	173.85	320.8	156.59	177.53	363.56	242.88	140.04	273.37	285.03	387.02	170.25	141.02	109.66	171.45	256.78	212.78	189.02	114.36	269.6	214.27	208.38	529.06	314.17	429.54	248.0	283.05	808.0	185.11
CUL2	708.18	748.61	651.58	808.0	607.87	1417.35	273.37	575.03	264.03	258.57	293.07	128.79	177.53	400.71	43.63	172.65	148.09	86.43	256.78	403.5	329.84	466.88	287.01	242.88	281.09	366.09	323.03	202.66	182.55	320.8	229.72	327.56	239.52	206.94	466.88	361.04	406.31	351.14	289.02	260.38	256.78	454.09	185.11	476.71	376.41	249.73	473.41	536.45	202.66	262.2	301.33	289.02	438.59	336.79	353.59	299.25	71.0	242.88	273.37	255.0	190.34	149.12	283.05	312.0	214.27	181.28	307.69	208.38	417.77	186.4	381.68	143.01	157.68	547.75	587.13	591.22	285.03	353.59	759.08	571.05	493.56	595.34	279.14	361.04	743.43	426.57	389.72	429.54	503.95	583.07	521.76	426.57	361.04	320.8	665.29	703.28	540.19	376.41	325.29	532.74	486.75	503.95	555.41	332.14	206.94	480.04	387.02	395.18	334.46	529.06	429.54	466.88	842.36	688.78
CWC22	336.79	555.41	373.81	429.54	320.8	928.3	231.32	480.04	144.01	167.9	136.19	56.28	51.71	633.73	23.42	67.59	45.53	24.81	128.79	165.57	171.45	185.11	173.85	94.67	214.27	127.89	224.97	110.43	133.36	146.03	89.51	267.73	115.97	105.15	221.86	148.09	191.67	106.63	206.94	127.0	87.03	217.27	115.97	271.48	193.01	150.17	346.29	256.78	96.68	186.4	151.22	187.71	181.28	185.11	141.02	137.14	40.36	194.36	140.04	139.07	158.79	199.85	124.37	173.85	68.55	131.51	144.01	186.4	187.71	151.22	180.02	84.63	137.14	148.09	251.48	178.77	205.5	195.72	470.14	346.29	406.31	332.14	358.54	291.04	361.04	215.77	244.57	232.94	343.89	289.02	312.0	299.25	232.94	273.37	236.21	559.28	395.18	332.14	205.5	264.03	361.04	376.41	285.03	281.09	185.11	289.02	264.03	249.73	275.28	281.09	218.79	283.05	656.11	303.44
DCAF17	155.5	287.01	159.9	178.77	131.51	490.14	39.5	224.97	106.63	93.35	87.03	64.34	66.65	325.29	40.36	66.65	63.89	53.57	61.68	48.87	74.58	73.03	53.95	40.07	48.52	47.17	73.54	29.06	49.56	64.34	31.9	124.37	54.72	43.63	101.54	62.12	53.57	62.12	54.72	60.39	31.9	135.24	28.65	106.63	78.34	42.11	108.14	142.01	35.76	47.84	64.8	88.26	68.55	105.89	75.11	48.18	29.27	55.49	48.52	60.39	60.39	48.52	44.57	95.34	56.68	39.5	48.52	55.89	62.12	80.57	85.22	32.82	34.75	62.12	142.01	121.79	111.21	170.25	327.56	190.34	265.87	161.02	124.37	187.71	291.04	106.63	75.64	141.02	116.78	115.16	136.19	139.07	85.82	149.12	98.73	208.38	149.12	82.29	61.68	84.04	134.3	191.67	116.78	94.67	40.93	130.6	144.01	236.21	162.14	175.07	108.9	120.1	463.65	82.29
DCUN1D5	575.03	728.11	802.41	555.41	656.11	629.35	660.68	1159.07	289.02	343.89	438.59	212.78	334.46	273.37	215.77	255.0	275.28	231.32	256.78	215.77	320.8	529.06	400.71	293.07	884.29	343.89	371.22	293.07	343.89	521.76	291.04	262.2	316.37	316.37	633.73	285.03	262.2	397.93	435.55	221.86	229.72	346.29	246.28	387.02	403.5	318.57	303.44	490.14	684.02	368.65	269.6	214.27	420.68	353.59	403.5	289.02	113.56	217.27	224.97	198.47	336.79	406.31	195.72	281.09	204.07	234.57	231.32	251.48	212.78	124.37	297.17	164.42	249.73	381.68	476.71	1295.13	371.22	1143.1	830.75	854.13	595.34	928.3	1127.35	595.34	612.11	547.75	529.06	915.51	571.05	733.19	325.29	708.18	426.57	507.46	624.99	603.67	336.79	444.72	397.93	429.54	438.59	336.79	551.56	316.37	187.71	483.38	1216.75	1605.83	764.36	1977.24	633.73	334.46	633.73	616.37
DDX20	108.9	323.03	193.01	149.12	206.94	426.57	105.15	305.55	105.89	103.69	85.22	71.0	91.41	129.69	41.81	87.03	50.27	64.34	70.51	65.72	80.57	95.34	87.03	74.58	128.79	87.65	54.33	60.82	92.05	109.66	79.45	114.36	76.71	61.25	106.63	77.79	50.63	87.03	153.34	78.89	57.08	115.97	74.06	122.64	121.79	80.57	177.53	146.03	91.41	101.54	72.01	63.89	80.57	74.58	72.52	77.79	32.82	62.56	62.12	35.25	77.25	61.68	43.94	111.21	29.27	28.04	68.07	42.41	42.11	86.43	54.33	15.45	31.22	54.72	114.36	147.06	117.6	94.01	202.66	194.36	256.78	181.28	87.03	135.24	136.19	135.24	141.02	131.51	180.02	258.57	120.94	148.09	161.02	144.01	136.19	285.03	177.53	183.82	113.56	166.73	209.84	145.02	171.45	120.94	86.43	122.64	148.09	147.06	197.09	116.78	138.1	173.85	392.44	116.78
DGKE	34.51	68.07	68.55	12.27	43.94	165.57	64.34	101.54	26.1	12.36	20.11	6.26	22.59	32.59	8.92	15.91	16.27	5.11	38.95	22.59	20.71	49.21	10.08	16.51	14.45	13.32	8.38	21.01	7.75	20.41	31.45	26.47	20.11	15.22	8.19	29.91	3.89	14.56	3.23	12.09	39.22	42.11	8.71	6.78	26.67	53.95	38.67	10.24	3.86	26.1	58.71	15.45	36.27	11.73	29.7	12.64	11.21	32.36	41.22	27.05	15.22	8.45	15.68	20.11	22.59	35.0	37.05	20.26	8.65	27.64	40.36	8.45	36.53	17.64	68.07	57.89	75.64	150.17	303.44	87.03	113.56	73.54	31.45	153.34	234.57	38.12	38.4	42.71	39.79	35.0	78.89	68.07	49.56	72.52	28.65	50.98	90.14	23.76	32.59	37.85	62.56	158.79	30.12	65.26	153.34	60.39	57.08	78.34	52.82	119.26	55.1	34.02	63.45	35.0
DHX15	1259.69	3146.52	1617.0	1529.73	1651.0	2915.45	1378.57	1896.65	954.43	1015.93	928.3	748.61	941.27	1250.98	660.68	1001.93	842.36	759.08	728.11	599.49	802.41	1199.98	974.5	1088.92	1216.75	1044.52	825.0	921.88	866.07	988.12	813.63	1286.18	1111.82	780.44	1350.18	902.89	500.46	1183.45	1023.0	738.29	647.07	1175.27	713.11	947.83	1259.69	723.08	780.44	1081.39	1023.0	884.29	878.17	748.61	988.12	532.74	748.61	665.29	406.31	679.29	476.71	591.22	759.08	909.17	392.44	775.05	379.04	463.65	633.73	708.18	441.64	624.99	500.46	265.87	532.74	595.34	1250.98	1594.73	1331.57	2319.15	3039.3	1745.2	1909.85	1407.55	1295.13	890.44	2047.0	1250.98	1378.57	1662.49	1030.12	1127.35	1397.83	1159.07	866.07	1259.69	1304.15	2119.22	988.12	1268.46	1143.1	1104.13	1143.1	884.29	1447.15	808.0	1540.37	1044.52	1583.71	1286.18	1519.15	1540.37	1250.98	1417.35	2855.44	759.08
DPY19L4	334.46	575.03	231.32	878.17	329.84	1639.59	25.54	249.73	154.42	134.3	183.82	102.97	141.02	186.4	40.93	128.79	111.21	77.25	334.46	106.63	130.6	220.32	201.25	177.53	108.14	166.73	289.02	152.28	161.02	108.9	173.85	209.84	126.12	111.99	279.14	217.27	152.28	101.54	124.37	167.9	175.07	343.89	206.94	220.32	202.66	106.63	258.57	258.57	150.17	178.77	234.57	414.87	314.17	142.01	120.1	71.0	63.0	139.07	151.22	141.02	130.6	114.36	169.07	157.68	158.79	140.04	75.64	141.02	161.02	127.0	166.73	157.68	134.3	176.29	253.23	665.29	166.73	599.49	1030.12	435.55	329.84	208.38	283.05	217.27	718.08	224.97	194.36	164.42	301.33	140.04	249.73	260.38	231.32	356.05	218.79	336.79	275.28	146.03	116.78	244.57	293.07	194.36	220.32	161.02	201.25	248.0	289.02	376.41	202.66	339.14	211.31	226.54	872.1	232.94
ERI1	98.73	204.07	197.09	684.02	236.21	277.2	1199.98	182.55	106.63	86.43	113.56	94.01	136.19	127.89	43.02	108.14	90.14	85.22	104.42	104.42	85.82	336.79	75.64	65.26	128.79	92.7	102.97	67.12	59.97	92.05	45.21	241.19	59.13	46.5	98.04	59.55	84.04	75.11	74.58	152.28	43.94	122.64	48.52	78.34	81.71	75.11	151.22	90.14	42.11	124.37	63.45	62.56	384.34	80.01	74.58	55.1	51.35	71.0	65.26	60.39	80.01	26.28	29.91	104.42	35.76	52.82	94.67	98.04	61.68	48.18	80.57	24.46	85.22	90.77	98.04	154.42	172.65	356.05	242.88	170.25	226.54	165.57	158.79	54.33	249.73	209.84	172.65	232.94	130.6	181.28	193.01	264.03	119.26	193.01	157.68	218.79	228.13	129.69	171.45	163.28	258.57	132.44	214.27	147.06	128.79	223.41	183.82	157.68	127.0	166.73	171.45	194.36	275.28	237.86
ESCO1	190.34	470.14	198.47	343.89	161.02	500.46	83.45	295.11	104.42	104.42	73.03	27.25	36.79	120.94	17.77	28.04	69.03	46.18	150.17	116.78	131.51	137.14	126.12	86.43	153.34	99.43	145.02	82.87	121.79	148.09	74.58	177.53	119.26	123.5	190.34	134.3	159.9	102.25	96.68	121.79	92.7	119.26	100.83	118.43	146.03	99.43	116.78	187.71	89.51	104.42	118.43	112.77	139.07	165.57	94.01	90.77	17.64	117.6	55.1	116.78	134.3	98.04	75.11	73.03	53.57	94.67	65.72	127.0	55.49	134.3	96.68	39.79	103.69	64.34	157.68	113.56	128.79	191.67	351.14	151.22	312.0	299.25	246.28	159.9	251.48	130.6	131.51	105.15	158.79	145.02	260.38	204.07	182.55	199.85	92.7	234.57	246.28	123.5	73.54	119.26	148.09	211.31	137.14	115.97	146.03	232.94	128.79	211.31	226.54	351.14	136.19	163.28	493.56	256.78
EXOSC2	189.02	521.76	603.67	237.86	441.64	660.68	223.41	651.58	332.14	346.29	323.03	221.86	262.2	529.06	186.4	228.13	206.94	265.87	361.04	251.48	303.44	476.71	297.17	387.02	476.71	366.09	379.04	351.14	267.73	420.68	384.34	381.68	403.5	303.44	438.59	348.71	432.53	178.77	567.1	214.27	244.57	264.03	289.02	332.14	381.68	275.28	688.78	656.11	444.72	497.0	267.73	242.88	397.93	223.41	283.05	312.0	232.94	208.38	301.33	251.48	432.53	220.32	348.71	363.56	318.57	177.53	414.87	177.53	249.73	348.71	204.07	104.42	163.28	265.87	466.88	638.15	267.73	651.58	460.44	476.71	656.11	540.19	642.59	759.08	723.08	309.83	287.01	332.14	368.65	395.18	293.07	486.75	255.0	244.57	371.22	423.61	301.33	368.65	521.76	307.69	476.71	435.55	438.59	397.93	215.77	316.37	656.11	723.08	384.34	1397.83	361.04	277.2	423.61	432.53
FAM122B	473.41	555.41	332.14	669.92	392.44	679.29	85.82	1135.2	253.23	267.73	277.2	217.27	182.55	226.54	189.02	336.79	246.28	176.29	432.53	234.57	153.34	312.0	237.86	124.37	253.23	336.79	155.5	325.29	242.88	262.2	126.12	363.56	194.36	264.03	307.69	228.13	136.19	211.31	384.34	171.45	183.82	327.56	118.43	169.07	381.68	167.9	211.31	332.14	139.07	371.22	395.18	314.17	287.01	249.73	205.5	287.01	110.43	161.02	76.17	173.85	94.67	50.98	126.12	262.2	163.28	108.14	158.79	125.24	141.02	253.23	249.73	59.97	115.16	102.97	384.34	591.22	490.14	1950.0	497.0	525.39	718.08	785.88	748.61	674.59	1733.13	295.11	312.0	348.71	420.68	208.38	293.07	450.94	299.25	389.72	429.54	503.95	226.54	220.32	323.03	395.18	426.57	486.75	447.82	381.68	358.54	486.75	723.08	414.87	423.61	764.36	379.04	334.46	591.22	607.87
FAM133B	275.28	607.87	373.81	579.04	384.34	796.86	293.07	444.72	260.38	307.69	142.01	67.59	69.03	231.32	39.79	61.68	136.19	102.97	403.5	202.66	371.22	341.51	241.19	264.03	234.57	237.86	253.23	246.28	221.86	260.38	171.45	249.73	283.05	236.21	150.17	237.86	185.11	109.66	351.14	251.48	198.47	291.04	156.59	273.37	373.81	269.6	191.67	309.83	231.32	190.34	285.03	314.17	220.32	228.13	166.73	241.19	43.63	256.78	211.31	189.02	285.03	241.19	186.4	221.86	208.38	189.02	158.79	314.17	158.79	341.51	197.09	81.71	120.1	177.53	316.37	575.03	346.29	211.31	579.04	612.11	470.14	511.0	551.56	540.19	381.68	366.09	309.83	320.8	358.54	497.0	518.15	412.0	289.02	612.11	283.05	595.34	373.81	275.28	161.02	295.11	514.56	476.71	231.32	320.8	185.11	387.02	1088.92	381.68	435.55	493.56	356.05	303.44	507.46	273.37
FANCB	11.38	36.53	39.22	28.86	29.27	11.13	31.22	73.54	5.11	3.72	4.98	2.29	0.89	9.7	0.36	1.46	1.68	1.33	9.06	10.96	3.53	6.84	16.51	9.41	31.67	3.63	2.07	6.16	2.48	28.04	1.36	19.68	8.19	11.91	20.56	7.22	4.17	8.99	23.25	4.74	3.47	4.82	0.96	3.26	5.73	4.74	8.85	98.04	12.18	4.21	8.45	3.47	7.17	13.52	2.81	3.26	0.58	2.32	2.36	1.97	0.88	0.54	0.21	6.11	6.41	0.54	2.1	0.0	0.25	2.66	1.01	0.26	0.13	3.63	15.34	75.64	24.46	70.01	49.56	33.54	29.06	73.03	35.76	41.52	55.49	4.54	2.12	4.62	10.96	48.87	8.85	20.86	5.59	19.97	21.94	8.92	8.78	7.11	8.32	9.27	12.45	7.0	3.11	2.16	17.0	22.1	33.3	47.17	36.27	105.89	22.75	7.57	124.37	69.52
