	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.R53T.0326.SM.48FEC	TCGA.55.6972.01A.11R.1949.07	TCGA.44.6147.01A.11R.A278.07	GTEX.12WSE.0826.SM.5S2VL	GTEX.12ZZY.0926.SM.5EQ6I
ZFP82	103.69	103.69	23.08	16.51	17.0	3.5	10.0	45.21	34.02	33.3	6.67	9.41	102.97	8.65	46.18	114.36	23.25	39.22	15.56	13.52	141.02	6.01	74.06	19.68	7.11	5.32	35.5	22.1	48.52	3.79	100.83	6.26	49.21	96.01	18.84	53.95	34.51	1.95	41.81	40.07	182.55	1.31	27.05	112.77	6.11	4.13	4.54	5.54	2.51	16.75	21.78	5.02	3.96	90.14	137.14	194.36	209.84
ZIK1	80.01	80.01	5.68	3.17	3.29	2.71	18.7	58.71	3.89	2.46	3.2	2.73	75.11	18.29	34.02	115.97	5.54	8.45	13.52	6.67	115.97	1.01	56.28	11.38	1.5	4.06	14.24	4.62	6.94	4.17	75.64	3.2	23.93	95.34	7.75	30.12	12.18	0.54	23.76	19.68	135.24	1.11	1.43	71.0	2.48	4.39	4.74	9.63	26.86	25.91	6.41	1.66	1.48	47.84	224.97	62.56	180.02
ZNF112	93.35	93.35	8.71	16.51	4.9	5.73	20.56	38.67	15.11	25.72	1.45	6.41	72.01	24.99	23.76	72.01	8.19	31.45	11.38	9.63	92.05	5.68	60.82	8.65	14.45	9.56	37.32	3.14	18.29	6.01	55.1	19.25	23.42	55.1	10.47	36.53	6.57	11.82	29.7	53.19	82.29	1.68	10.08	63.89	3.96	11.55	8.38	13.32	26.86	6.89	14.67	9.41	12.18	17.64	142.01	64.8	115.97
ZNF134	271.48	271.48	59.97	75.64	13.03	23.42	109.66	150.17	70.01	102.97	9.2	42.71	171.45	95.34	100.83	173.85	20.71	96.01	82.87	56.68	201.25	20.41	215.77	40.36	49.91	33.78	107.38	30.78	78.34	36.79	165.57	79.45	96.68	152.28	119.26	122.64	69.52	47.5	129.69	130.6	248.0	15.0	7.11	206.94	38.95	115.97	98.04	87.03	40.36	46.84	107.38	53.57	96.68	91.41	361.04	285.03	373.81
ZNF14	166.73	166.73	2.78	5.19	4.98	4.1	14.67	54.33	35.5	62.12	4.46	8.19	84.63	13.83	31.45	82.29	13.93	14.45	27.64	14.24	136.19	4.86	97.36	13.32	8.38	5.02	41.81	7.17	14.35	1.5	71.0	17.0	40.07	88.26	44.25	67.59	5.54	1.01	34.51	6.21	78.89	1.85	2.39	99.43	2.1	20.71	6.46	5.36	8.78	2.61	21.47	7.94	1.87	149.12	265.87	115.97	224.97
ZNF146	1340.84	1340.84	595.34	318.57	438.59	423.61	480.04	603.67	507.46	476.71	320.8	412.0	928.3	819.3	638.15	1304.15	241.19	669.92	412.0	480.04	1551.09	293.07	1008.9	293.07	603.67	297.17	830.75	211.31	490.14	287.01	808.0	395.18	656.11	713.11	629.35	764.36	521.76	381.68	679.29	486.75	1628.26	314.17	447.82	995.0	224.97	860.08	323.03	497.0	470.14	214.27	320.8	397.93	351.14	748.61	2384.37	785.88	1151.06
ZNF155	150.17	150.17	46.18	54.72	18.84	36.79	48.87	93.35	57.08	117.6	13.62	43.63	129.69	124.37	44.57	202.66	16.15	53.95	30.34	40.36	138.1	21.78	173.85	43.94	53.19	24.63	110.43	14.14	70.51	30.78	155.5	80.01	81.14	115.97	24.28	77.25	46.84	19.11	105.89	49.91	343.89	16.39	46.18	115.97	32.13	45.21	102.25	50.27	47.17	20.41	29.48	49.21	27.05	57.49	198.47	32.59	155.5
ZNF160	414.87	414.87	94.67	81.71	115.16	23.25	96.01	221.86	96.68	152.28	20.71	17.13	271.48	164.42	178.77	384.34	83.45	143.01	48.52	59.97	392.44	23.59	251.48	65.72	40.64	24.99	193.01	62.12	98.73	58.71	283.05	127.0	175.07	212.78	194.36	201.25	84.63	24.11	214.27	97.36	583.07	14.35	45.85	253.23	24.81	53.57	145.02	81.71	143.01	35.76	70.01	187.71	26.67	89.51	521.76	400.71	525.39
ZNF17	109.66	109.66	38.12	28.24	24.11	20.26	45.53	42.11	47.84	33.54	23.42	30.56	60.39	53.19	73.03	73.54	29.48	48.52	32.82	40.64	105.89	21.78	71.5	30.34	39.5	17.77	44.57	27.25	36.79	29.06	91.41	62.12	57.49	62.12	76.17	50.63	40.93	37.32	52.45	49.21	154.42	18.7	46.84	67.12	15.91	44.25	44.57	50.27	33.78	26.47	23.08	55.49	31.67	49.21	215.77	189.02	190.34
ZNF211	175.07	175.07	59.97	81.14	25.35	51.35	68.07	105.15	104.42	95.34	28.04	61.68	141.02	88.26	163.28	178.77	23.59	132.44	73.54	89.51	224.97	47.17	106.63	62.12	75.11	20.56	136.19	34.75	81.14	34.26	149.12	96.01	98.04	239.52	127.0	177.53	59.97	35.76	115.97	91.41	532.74	13.32	14.24	125.24	28.04	31.22	49.56	62.56	41.81	73.54	63.89	30.56	48.87	136.19	476.71	429.54	518.15
ZNF221	20.11	20.11	1.57	3.79	8.58	10.08	17.51	17.9	9.06	37.32	0.77	10.47	23.76	12.45	10.16	48.52	2.48	11.3	11.21	3.53	50.27	6.41	42.71	4.74	7.63	17.25	40.64	1.14	6.62	0.0	39.79	12.18	6.94	23.93	6.41	27.64	4.24	8.32	39.22	18.16	104.42	5.96	2.27	55.89	1.36	18.56	10.71	6.46	7.22	8.25	18.97	5.68	6.36	5.54	101.54	8.78	26.1
ZNF223	102.25	102.25	24.81	52.45	14.45	21.47	31.0	52.08	30.12	40.07	5.02	21.78	79.45	50.63	51.35	110.43	5.32	45.53	33.78	19.82	133.36	9.27	98.04	26.86	43.32	19.68	55.89	7.88	46.84	22.1	90.77	38.12	48.18	87.03	17.77	63.89	25.17	30.56	68.55	59.55	325.29	14.45	16.15	74.06	14.03	40.64	38.12	27.84	13.42	19.82	24.46	36.79	34.51	61.68	145.02	129.69	162.14
ZNF224	309.83	309.83	92.05	105.89	53.19	76.71	127.0	229.72	185.11	201.25	34.26	84.04	258.57	214.27	105.15	642.59	73.03	189.02	129.69	74.06	353.59	123.5	341.51	92.05	146.03	44.25	244.57	43.63	166.73	72.52	351.14	165.57	228.13	157.68	108.14	262.2	92.05	102.97	229.72	128.79	759.08	56.28	126.12	334.46	40.93	76.17	144.01	118.43	82.29	63.45	69.03	120.1	67.12	206.94	583.07	305.55	406.31
ZNF225	72.52	72.52	24.63	25.91	16.03	12.74	33.78	28.45	39.5	36.53	9.78	9.48	59.55	44.89	43.32	81.71	16.39	36.53	18.29	24.28	93.35	21.78	104.42	15.34	18.16	10.08	39.22	12.74	25.91	11.38	100.13	37.05	65.72	36.27	21.47	38.67	14.67	22.26	27.05	41.52	159.9	14.78	27.25	90.77	8.58	16.03	30.78	21.78	18.7	17.13	24.28	11.21	21.63	31.22	127.89	79.45	110.43
ZNF227	293.07	293.07	90.77	146.03	72.01	68.07	130.6	167.9	162.14	152.28	56.68	81.71	287.01	143.01	95.34	201.25	43.32	172.65	108.14	75.64	332.14	55.89	429.54	42.11	95.34	84.63	156.59	43.02	138.1	60.82	258.57	129.69	136.19	234.57	71.0	181.28	70.01	90.77	155.5	157.68	555.41	65.26	75.11	285.03	36.01	137.14	109.66	118.43	80.01	75.64	85.22	101.54	111.21	103.69	432.53	312.0	373.81
ZNF234	84.04	84.04	34.02	29.91	18.03	23.25	55.1	60.39	49.91	87.03	6.11	22.26	128.79	87.65	35.76	94.01	21.94	49.91	38.4	38.4	190.34	12.93	141.02	33.06	42.71	15.68	91.41	26.1	49.56	23.42	176.29	39.5	65.26	99.43	29.48	77.25	42.41	45.53	63.89	81.71	195.72	33.78	33.78	125.24	15.91	29.27	42.11	19.53	28.24	23.08	31.67	24.11	35.0	63.89	220.32	98.73	154.42
ZNF235	64.34	64.34	30.12	33.06	10.0	13.12	45.85	64.8	37.05	30.34	20.11	20.26	108.9	63.0	34.26	59.55	25.72	31.22	15.68	27.84	80.01	15.34	119.26	29.48	30.34	12.36	61.68	16.15	33.54	21.78	82.29	26.1	41.81	60.82	27.05	66.18	17.13	33.78	41.81	44.89	159.9	13.52	23.59	58.3	3.96	16.03	33.78	32.82	13.22	19.68	13.03	26.67	19.25	51.35	169.07	122.64	135.24
ZNF256	115.97	115.97	19.11	31.45	5.82	1.91	37.85	90.77	54.33	59.97	8.99	10.71	118.43	35.76	51.71	90.77	24.99	32.82	56.28	28.24	127.0	13.32	106.63	29.48	5.45	11.82	74.58	25.72	41.52	15.11	117.6	31.22	49.21	128.79	38.95	68.55	73.54	11.3	127.89	55.49	162.14	11.21	6.62	90.14	7.28	3.89	47.17	19.25	7.46	26.1	13.62	11.55	5.11	73.54	195.72	71.5	80.57
ZNF260	178.77	178.77	67.59	43.63	40.64	34.26	65.26	108.14	71.0	65.26	21.16	57.89	134.3	89.51	94.01	104.42	45.21	96.01	58.3	50.98	291.04	42.41	157.68	47.17	55.1	38.95	124.37	31.45	62.12	43.32	153.34	66.18	111.99	180.02	59.97	115.97	56.28	44.89	92.7	105.89	241.19	27.64	59.13	193.01	10.79	59.13	46.18	60.39	69.52	21.32	52.45	84.04	61.25	186.4	414.87	147.06	277.2
ZNF283	88.26	88.26	6.41	17.38	9.27	29.27	19.68	61.68	22.26	31.22	1.36	13.32	72.01	25.17	33.78	74.06	20.26	52.08	21.63	15.56	92.05	17.25	55.89	13.22	23.59	19.39	63.89	22.59	31.9	14.14	102.25	27.25	38.95	57.89	24.11	36.53	24.46	14.03	54.72	37.85	94.01	3.11	5.45	70.01	4.94	13.12	36.53	27.44	13.72	2.41	28.45	22.1	18.97	69.52	220.32	72.52	92.05
ZNF284	29.06	29.06	9.34	18.29	5.28	5.11	21.47	27.64	20.26	29.06	1.41	11.73	36.53	21.32	16.88	38.95	2.32	21.32	14.89	9.93	41.81	2.03	27.44	16.75	6.78	9.85	19.25	8.78	13.12	5.45	43.02	17.51	26.86	42.41	9.48	30.12	4.21	7.28	25.91	17.77	73.03	6.89	3.56	31.45	3.29	6.84	19.68	4.5	6.36	4.13	8.38	18.56	6.01	35.0	66.65	36.79	46.18
ZNF285	61.25	61.25	10.63	4.74	3.14	1.38	12.18	60.82	33.3	37.85	3.5	9.41	96.01	20.86	32.59	69.03	2.12	17.38	9.63	11.82	104.42	2.34	109.66	17.77	10.55	1.77	68.55	11.21	12.27	11.21	59.13	6.78	36.27	81.71	20.41	26.47	6.46	1.27	33.54	50.98	100.83	0.0	1.85	80.01	1.97	6.11	2.97	10.55	6.67	9.27	13.32	2.66	21.94	37.85	107.38	53.19	88.26
ZNF304	209.84	209.84	36.53	46.5	9.93	8.19	57.89	77.25	57.89	63.45	8.38	20.86	100.83	77.25	72.52	164.42	22.92	55.1	62.56	31.45	183.82	7.17	102.97	27.84	63.45	12.27	82.29	25.35	61.68	25.91	136.19	55.89	68.07	100.83	55.49	86.43	55.49	38.67	68.07	60.82	185.11	24.99	79.45	134.3	20.86	43.02	51.71	34.26	19.97	62.12	48.18	24.99	24.11	67.12	262.2	507.46	273.37
ZNF320	295.11	295.11	91.41	11.21	12.93	8.99	16.75	173.85	132.44	100.83	3.53	15.56	265.87	33.78	269.6	435.55	101.54	111.99	180.02	53.19	363.56	7.4	368.65	106.63	10.24	7.51	236.21	66.65	108.9	9.2	368.65	11.73	178.77	341.51	299.25	195.72	123.5	3.99	269.6	198.47	718.08	6.11	65.72	320.8	9.48	22.26	9.7	40.64	37.05	5.96	19.68	92.7	2.07	248.0	583.07	309.83	624.99
ZNF329	171.45	171.45	96.01	100.13	50.27	66.18	139.07	194.36	159.9	109.66	13.83	38.12	234.57	146.03	155.5	128.79	76.71	120.1	91.41	67.12	312.0	58.71	152.28	78.34	47.17	41.81	132.44	85.22	143.01	81.14	262.2	87.65	158.79	237.86	133.36	251.48	90.77	96.68	147.06	137.14	363.56	28.24	46.5	260.38	61.68	105.89	37.32	85.82	70.01	41.81	142.01	54.72	56.28	103.69	283.05	223.41	234.57
ZNF345	93.35	93.35	37.59	34.75	15.91	23.76	40.07	35.25	46.18	55.49	9.34	28.04	82.29	61.25	59.13	57.49	32.13	47.17	26.28	36.01	120.1	22.92	51.35	17.25	40.36	9.13	49.21	16.75	32.36	31.67	87.65	33.78	63.45	56.68	52.82	56.28	33.78	24.99	44.89	53.95	214.27	12.64	42.71	68.55	15.11	24.81	27.64	36.53	31.9	19.25	22.75	34.75	14.56	149.12	186.4	100.13	206.94
ZNF347	108.14	108.14	6.11	6.06	5.45	4.06	25.17	37.05	27.84	33.3	3.69	3.99	39.5	19.25	63.0	97.36	13.72	41.22	21.47	12.36	115.97	3.99	60.82	8.58	3.69	5.5	55.1	18.7	16.27	4.35	90.77	19.68	52.82	62.12	72.52	33.78	14.45	2.84	37.85	16.03	136.19	2.76	0.78	70.01	4.1	12.55	30.78	9.56	5.54	4.31	20.41	12.0	14.67	19.68	256.78	125.24	185.11
ZNF350	318.57	318.57	98.73	94.01	8.38	17.64	116.78	169.07	89.51	135.24	34.75	71.5	161.02	96.01	84.04	158.79	36.01	116.78	65.72	55.89	373.81	15.22	176.29	63.89	77.79	50.63	156.59	38.4	98.73	65.72	106.63	89.51	136.19	147.06	176.29	121.79	62.12	65.26	139.07	137.14	190.34	21.32	11.13	142.01	29.27	158.79	44.57	103.69	80.01	48.87	76.17	57.49	78.34	154.42	412.0	171.45	212.78
ZNF383	127.89	127.89	46.84	28.86	42.41	20.86	42.41	58.3	48.52	68.07	9.7	19.97	103.69	55.1	68.07	117.6	35.76	60.82	45.85	41.81	151.22	31.67	108.9	40.36	63.45	21.78	81.14	33.78	61.25	38.12	105.89	44.57	77.79	84.63	50.27	73.03	55.1	41.52	69.52	48.52	167.9	33.3	52.08	126.12	13.42	41.81	56.68	21.47	28.86	27.64	23.59	58.3	29.06	150.17	180.02	173.85	151.22
ZNF404	57.08	57.08	26.47	36.53	6.21	3.53	43.94	74.06	16.75	43.32	1.33	11.21	34.02	37.59	21.01	189.02	6.78	36.01	15.91	36.79	209.84	7.57	74.58	28.45	15.11	16.15	56.68	5.15	36.79	6.41	107.38	27.64	45.53	141.02	10.55	79.45	15.11	13.22	64.34	61.25	318.57	2.73	6.06	178.77	2.14	10.0	19.39	40.93	27.64	10.08	25.72	36.53	16.51	130.6	172.65	46.84	264.03
ZNF415	186.4	186.4	17.9	7.17	5.28	10.63	8.65	110.43	36.53	31.22	5.15	20.71	136.19	16.27	87.03	224.97	14.45	31.67	2.29	7.51	154.42	7.88	18.16	29.91	14.56	7.88	59.13	3.2	10.24	17.77	152.28	9.56	19.25	110.43	67.12	21.32	9.63	1.25	63.89	16.15	325.29	5.36	7.82	248.0	6.41	29.27	15.8	38.67	16.03	18.16	19.97	21.63	18.03	120.1	232.94	199.85	660.68
ZNF416	94.01	94.01	29.06	43.02	5.32	16.63	43.32	49.56	31.22	45.21	10.96	31.9	77.25	28.65	39.22	78.34	14.03	47.5	28.04	26.47	109.66	16.51	84.04	23.25	19.53	16.39	52.08	20.86	45.53	25.91	64.8	23.42	37.32	98.73	47.17	53.19	34.75	38.12	54.72	64.34	131.51	12.0	15.0	90.14	15.34	28.65	26.86	25.91	15.8	11.38	43.94	12.09	52.45	50.98	135.24	65.26	78.89
