	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.139TS.2226.SM.5J2N1	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.132NY.2026.SM.5L3FM	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13G51.1026.SM.5K7YQ	GTEX.ZYW4.1426.SM.5SIAX	GTEX.14BMV.1426.SM.5S2WA	GTEX.117YW.2026.SM.5N9BH	GTEX.148VJ.1126.SM.5NQBZ	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EO.A3AV.01A.12R.A19W.07
EIF4ENIF1	297.17	251.48	173.85	536.45	651.58	733.19	466.88	379.04	612.11	503.95	642.59	607.87	607.87	703.28	521.76	802.41	412.0	698.41	486.75	460.44	642.59	708.18	607.87	403.5	713.11	120.1	140.04	132.44	106.63	224.97
EYA4	14.14	2.32	2.68	5.45	11.47	16.75	3.06	5.02	6.11	8.38	23.42	14.45	13.22	85.82	13.12	25.17	45.21	12.27	18.84	9.78	31.67	69.52	24.46	12.0	87.65	0.0	0.0	0.0	0.55	0.0
FAM160B1	153.34	62.56	102.25	271.48	221.86	348.71	140.04	117.6	320.8	406.31	567.1	348.71	325.29	497.0	297.17	397.93	297.17	229.72	220.32	256.78	255.0	441.64	397.93	279.14	409.15	92.7	123.5	120.1	108.9	76.17
FAM188A	309.83	167.9	183.82	444.72	432.53	392.44	305.55	214.27	412.0	353.59	575.03	490.14	559.28	518.15	525.39	529.06	420.68	341.51	486.75	368.65	547.75	518.15	518.15	389.72	665.29	119.26	134.3	175.07	137.14	154.42
FAM214A	417.77	141.02	167.9	327.56	480.04	476.71	638.15	127.89	633.73	414.87	728.11	470.14	1030.12	1322.37	860.08	1340.84	470.14	368.65	591.22	395.18	728.11	1242.34	808.0	688.78	1369.04	271.48	289.02	400.71	135.24	133.36
FAM76B	89.51	60.39	205.5	183.82	229.72	211.31	189.02	119.26	483.38	376.41	447.82	229.72	444.72	547.75	275.28	866.07	232.94	297.17	373.81	260.38	432.53	688.78	591.22	320.8	684.02	138.1	79.45	131.51	46.84	147.06
FBXO11	361.04	353.59	273.37	575.03	603.67	624.99	511.0	379.04	947.83	928.3	848.22	860.08	759.08	1242.34	733.19	738.29	607.87	665.29	669.92	423.61	713.11	796.86	941.27	616.37	1059.11	218.79	190.34	239.52	119.26	356.05
FEM1B	293.07	117.6	130.6	429.54	463.65	688.78	346.29	825.0	536.45	669.92	693.58	703.28	575.03	902.89	444.72	371.22	299.25	463.65	373.81	305.55	575.03	713.11	693.58	417.77	684.02	265.87	125.24	135.24	101.54	125.24
FLNA	94628.34	50011.46	44452.21	358098.26	368165.8	1634025.56	144427.91	133825.1	419990.32	513497.31	811368.76	1393227.06	649962.87	209994.66	336441.4	220434.95	239554.43	275175.93	322736.12	311742.51	313910.86	207103.59	334117.42	296977.71	226632.25	1819.35	1923.14	3212.66	1781.89	30572.63
FNIP1	105.89	69.52	70.51	185.11	189.02	194.36	123.5	69.03	204.07	199.85	241.19	221.86	229.72	323.03	267.73	277.2	177.53	147.06	171.45	146.03	236.21	281.09	287.01	220.32	329.84	117.6	80.01	94.01	63.45	78.34
FOXJ3	249.73	209.84	236.21	438.59	466.88	497.0	346.29	228.13	575.03	540.19	521.76	435.55	514.56	753.83	532.74	674.59	420.68	543.96	444.72	329.84	559.28	703.28	669.92	438.59	748.61	78.34	119.26	145.02	121.79	234.57
GAPVD1	159.9	136.19	138.1	291.04	299.25	293.07	167.9	148.09	518.15	432.53	486.75	373.81	438.59	830.75	262.2	638.15	224.97	265.87	255.0	167.9	339.14	547.75	361.04	241.19	567.1	46.84	75.11	81.14	65.26	123.5
GATAD2B	125.24	87.65	112.77	258.57	236.21	307.69	164.42	116.78	356.05	309.83	309.83	262.2	236.21	540.19	283.05	381.68	190.34	289.02	253.23	186.4	341.51	368.65	334.46	283.05	490.14	55.1	80.57	101.54	59.97	74.58
GOLGA8N	10.31	1.2	1.71	67.59	124.37	127.89	67.59	23.59	228.13	186.4	373.81	123.5	206.94	283.05	84.04	684.02	130.6	126.12	134.3	103.69	197.09	264.03	291.04	50.98	291.04	14.67	0.0	41.52	1.69	21.16
GPATCH2	100.13	67.59	80.01	110.43	106.63	89.51	98.04	87.65	186.4	236.21	134.3	121.79	122.64	127.89	187.71	220.32	113.56	151.22	220.32	115.16	191.67	183.82	208.38	166.73	237.86	41.52	37.32	63.89	19.39	102.25
GPATCH2L	101.54	90.77	119.26	214.27	318.57	287.01	128.79	258.57	466.88	435.55	376.41	389.72	392.44	368.65	293.07	547.75	177.53	234.57	289.02	208.38	444.72	511.0	575.03	176.29	406.31	66.18	54.33	76.17	50.63	164.42
GPRASP1	165.57	15.8	17.0	409.15	457.25	961.07	209.84	108.9	314.17	583.07	1199.98	718.08	921.88	748.61	301.33	563.18	351.14	379.04	417.77	264.03	493.56	450.94	476.71	214.27	500.46	4.86	7.88	6.46	6.73	6.89
GTF2I	3212.66	2178.83	1529.73	3928.15	4481.23	6792.79	2664.15	2148.82	4869.99	4038.61	3564.78	4066.71	3955.48	8078.22	3820.7	5255.91	3257.52	4010.71	4869.99	3515.68	4937.99	5403.7	5913.33	3716.2	8247.98	1662.49	2163.77	2163.77	1111.82	2224.63
HACE1	64.34	30.34	59.97	135.24	138.1	172.65	125.24	74.06	199.85	234.57	242.88	223.41	198.47	353.59	208.38	267.73	190.34	156.59	239.52	147.06	212.78	358.54	291.04	205.5	325.29	7.57	34.02	18.16	16.03	53.95
HCFC2	102.25	72.52	88.88	234.57	297.17	450.94	136.19	195.72	293.07	325.29	497.0	295.11	371.22	647.07	241.19	450.94	153.34	221.86	275.28	242.88	271.48	500.46	551.56	249.73	665.29	149.12	131.51	114.36	44.89	37.85
HIF3A	339.14	2.66	2.41	669.92	974.5	3564.78	348.71	84.04	476.71	713.11	2627.46	1781.89	3081.75	1662.49	1540.37	2555.58	941.27	480.04	1286.18	941.27	1561.89	2303.12	2271.4	669.92	3372.43	19.53	6.36	31.45	11.47	49.21
HYDIN	13.52	47.84	2.39	22.43	26.67	74.58	24.63	11.13	78.89	99.43	129.69	49.56	59.55	131.51	107.38	176.29	20.41	104.42	76.17	60.82	144.01	145.02	117.6	37.32	195.72	0.52	0.54	4.13	2.63	10.63
IST1	1977.24	2271.4	1639.59	2956.17	3235.01	3372.43	2701.35	2163.77	2935.74	2627.46	2645.74	2209.26	2591.27	4802.93	2319.15	4481.23	2335.28	2287.2	2758.13	2287.2	2816.11	4095.0	3419.52	2537.92	4937.99	854.13	1199.98	1350.18	961.07	1697.45
KANSL1L	96.01	57.89	38.4	199.85	180.02	334.46	157.68	94.67	262.2	241.19	299.25	279.14	285.03	529.06	275.28	460.44	249.73	264.03	287.01	169.07	363.56	563.18	480.04	249.73	435.55	52.82	53.19	96.01	43.32	84.04
KDM6A	181.28	52.82	142.01	346.29	332.14	171.45	146.03	89.51	397.93	346.29	264.03	224.97	279.14	529.06	239.52	329.84	234.57	236.21	214.27	140.04	318.57	397.93	258.57	307.69	363.56	97.36	128.79	85.22	77.25	215.77
KIAA1432	87.65	48.52	119.26	171.45	189.02	229.72	115.97	136.19	341.51	353.59	447.82	373.81	348.71	738.29	287.01	616.37	169.07	224.97	228.13	172.65	358.54	551.56	466.88	204.07	679.29	40.07	53.19	79.45	82.29	49.56
KMT2A	92.05	55.89	70.01	269.6	358.54	420.68	208.38	130.6	325.29	368.65	432.53	336.79	403.5	470.14	246.28	432.53	206.94	334.46	307.69	177.53	283.05	389.72	400.71	269.6	444.72	48.87	45.53	42.71	38.67	98.04
LEMD3	118.43	76.71	104.42	212.78	251.48	206.94	206.94	128.79	343.89	264.03	283.05	234.57	256.78	392.44	242.88	327.56	208.38	236.21	214.27	121.79	214.27	356.05	265.87	187.71	363.56	60.82	75.64	69.52	63.89	155.5
LRCH2	40.64	14.56	11.91	214.27	190.34	460.44	69.52	61.68	95.34	201.25	299.25	249.73	177.53	139.07	93.35	109.66	69.03	56.28	57.89	61.68	90.14	138.1	129.69	72.01	114.36	0.88	2.07	2.29	0.57	3.76
LSM11	100.13	22.43	29.91	105.89	105.89	171.45	122.64	103.69	239.52	1883.54	599.49	713.11	563.18	371.22	126.12	346.29	94.01	123.5	100.83	205.5	187.71	525.39	295.11	94.01	341.51	31.22	17.0	15.34	12.0	36.79
LTN1	57.49	40.93	52.45	81.71	167.9	158.79	59.97	53.19	208.38	161.02	201.25	178.77	193.01	202.66	105.89	183.82	105.15	112.77	85.82	78.89	163.28	170.25	169.07	105.89	206.94	35.5	45.53	48.87	33.54	41.22
MAP3K7	221.86	271.48	265.87	325.29	293.07	346.29	208.38	221.86	387.02	406.31	397.93	318.57	332.14	376.41	287.01	392.44	273.37	309.83	295.11	185.11	309.83	420.68	332.14	271.48	435.55	111.99	82.29	101.54	64.34	221.86
MAP4K3	318.57	56.28	91.41	346.29	432.53	473.41	281.09	187.71	320.8	336.79	287.01	224.97	470.14	769.69	483.38	435.55	389.72	279.14	366.09	305.55	460.44	514.56	476.71	400.71	514.56	105.89	116.78	157.68	67.12	153.34
MAP4K5	234.57	129.69	154.42	490.14	575.03	529.06	406.31	297.17	921.88	684.02	703.28	587.13	525.39	854.13	571.05	921.88	387.02	353.59	503.95	339.14	728.11	1096.5	764.36	511.0	1467.37	67.12	65.72	102.97	40.93	242.88
MATR3	2682.69	2075.59	2148.82	3794.3	3614.55	4038.61	2303.12	2090.03	4152.18	4481.23	4450.27	4704.07	4181.07	4575.41	2664.15	3589.58	2816.11	2400.97	2335.28	2319.15	3018.3	3540.14	4181.07	2351.53	3190.46	1096.5	1151.06	1639.59	514.56	1977.24
MBTD1	89.51	42.11	43.63	118.43	142.01	128.79	173.85	43.94	189.02	155.5	177.53	118.43	176.29	283.05	255.0	320.8	142.01	186.4	236.21	110.43	297.17	307.69	251.48	217.27	395.18	45.53	44.89	84.04	59.13	35.25
MDC1	299.25	540.19	256.78	420.68	429.54	507.46	529.06	197.09	583.07	403.5	780.44	466.88	1037.29	536.45	490.14	808.0	423.61	511.0	642.59	412.0	842.36	743.43	432.53	409.15	723.08	251.48	223.41	346.29	153.34	371.22
MEF2A	356.05	81.14	146.03	954.43	684.02	1081.39	423.61	532.74	909.17	1001.93	1088.92	1135.2	860.08	1407.55	660.68	981.29	525.39	775.05	785.88	587.13	896.64	1104.13	1081.39	733.19	1259.69	142.01	152.28	119.26	110.43	122.64
MTF2	152.28	142.01	135.24	183.82	187.71	164.42	190.34	104.42	435.55	224.97	214.27	114.36	208.38	466.88	299.25	514.56	189.02	246.28	325.29	166.73	348.71	457.25	463.65	241.19	420.68	54.72	63.89	86.43	29.7	173.85
MTR	111.21	68.07	59.13	301.33	249.73	441.64	169.07	120.1	423.61	426.57	567.1	529.06	454.09	642.59	381.68	713.11	262.2	301.33	395.18	269.6	486.75	708.18	559.28	267.73	974.5	45.53	80.01	123.5	17.51	73.03
MYEF2	65.26	68.55	22.1	277.2	361.04	450.94	669.92	679.29	309.83	490.14	1104.13	836.53	1096.5	1806.78	1051.79	1870.53	497.0	1111.82	813.63	764.36	1540.37	1313.23	2287.2	748.61	1936.53	2.94	5.92	6.36	5.87	260.38
MYSM1	77.25	40.07	42.41	156.59	185.11	202.66	96.68	68.07	314.17	262.2	305.55	166.73	351.14	476.71	190.34	507.46	125.24	161.02	248.0	115.16	373.81	493.56	384.34	173.85	543.96	38.67	50.27	75.64	35.76	84.04
N4BP2L2	703.28	441.64	500.46	1001.93	1088.92	1304.15	860.08	414.87	1208.34	1313.23	1685.71	1268.46	1870.53	2609.3	1388.16	2163.77	1427.22	1498.22	1896.65	1015.93	2287.2	2104.58	1832.01	1551.09	2434.5	318.57	429.54	555.41	181.28	466.88
NAA25	111.21	96.68	85.22	195.72	197.09	204.07	113.56	77.79	376.41	289.02	239.52	165.57	205.5	363.56	164.42	329.84	120.1	180.02	186.4	138.1	255.0	343.89	327.56	158.79	379.04	57.89	53.95	49.91	29.06	91.41
NBN	269.6	144.01	285.03	684.02	470.14	633.73	264.03	267.73	1477.58	1259.69	1757.34	1529.73	785.88	753.83	703.28	941.27	381.68	373.81	371.22	332.14	511.0	1073.91	728.11	447.82	775.05	163.28	299.25	242.88	73.54	435.55
NDST2	312.0	191.67	234.57	334.46	334.46	316.37	318.57	178.77	518.15	536.45	825.0	381.68	638.15	490.14	299.25	764.36	718.08	607.87	567.1	587.13	583.07	543.96	397.93	802.41	616.37	110.43	167.9	148.09	131.51	118.43
NFAT5	20.41	12.27	10.47	183.82	186.4	177.53	49.56	53.95	423.61	295.11	348.71	246.28	301.33	450.94	122.64	334.46	124.37	155.5	140.04	52.82	198.47	293.07	409.15	123.5	267.73	5.41	10.71	16.75	12.09	85.22
OCRL	273.37	149.12	141.02	325.29	463.65	543.96	239.52	540.19	954.43	1617.0	2240.11	3124.78	947.83	1175.27	629.35	1081.39	493.56	587.13	579.04	595.34	587.13	1167.14	1001.93	417.77	1119.56	149.12	215.77	121.79	102.97	97.36
OTUD7B	151.22	101.54	60.82	197.09	289.02	264.03	167.9	145.02	241.19	332.14	348.71	348.71	231.32	260.38	175.07	220.32	135.24	165.57	163.28	140.04	176.29	236.21	211.31	153.34	295.11	88.88	92.7	73.03	72.52	65.72
PABPC5	16.39	0.88	3.32	39.5	47.17	119.26	20.71	10.96	45.85	110.43	195.72	97.36	99.43	48.18	45.21	40.64	42.11	29.06	38.67	23.42	37.85	29.7	30.56	30.56	38.67	0.49	1.3	2.63	0.0	2.51
PAFAH1B1	941.27	1304.15	1151.06	1259.69	1487.87	1628.26	1159.07	1322.37	2178.83	1963.57	1963.57	1883.54	1977.24	4268.94	1806.78	3280.18	1183.45	1605.83	1617.0	1340.84	1806.78	3190.46	2758.13	1457.23	4095.0	521.76	842.36	791.35	441.64	1508.65
PAN3	226.54	113.56	153.34	316.37	325.29	323.03	271.48	89.51	384.34	368.65	336.79	305.55	403.5	500.46	403.5	381.68	299.25	249.73	486.75	229.72	450.94	435.55	373.81	423.61	490.14	50.98	65.72	82.87	29.27	166.73
PCDHB12	20.11	3.2	7.34	61.25	48.52	82.29	30.56	18.16	55.49	49.21	120.1	54.72	37.85	56.28	31.45	52.82	55.89	29.7	26.86	20.71	27.44	38.12	26.67	19.97	34.51	9.85	1.27	5.23	2.81	5.68
PHC3	95.34	34.51	106.63	214.27	256.78	277.2	134.3	123.5	525.39	497.0	414.87	293.07	503.95	624.99	249.73	642.59	162.14	336.79	307.69	115.97	320.8	591.22	559.28	157.68	620.67	19.11	19.25	47.5	32.82	74.58
PHF21A	234.57	307.69	309.83	802.41	624.99	1388.16	423.61	236.21	1044.52	896.64	759.08	775.05	656.11	1135.2	559.28	854.13	423.61	616.37	656.11	395.18	587.13	825.0	703.28	616.37	947.83	84.63	90.77	123.5	45.85	343.89
PHIP	79.45	44.57	66.18	183.82	221.86	289.02	120.94	73.54	320.8	295.11	297.17	241.19	301.33	651.58	226.54	395.18	249.73	234.57	194.36	126.12	265.87	379.04	351.14	236.21	332.14	22.26	15.68	31.67	9.63	72.52
PIK3C2A	120.94	46.5	60.82	291.04	379.04	371.22	167.9	181.28	392.44	447.82	511.0	392.44	486.75	674.59	291.04	738.29	248.0	258.57	358.54	195.72	353.59	684.02	476.71	262.2	808.0	54.33	74.06	90.77	23.93	119.26
PIKFYVE	54.33	28.24	34.75	116.78	141.02	138.1	67.12	39.22	228.13	173.85	197.09	139.07	189.02	239.52	139.07	249.73	100.83	108.9	113.56	70.01	183.82	202.66	190.34	136.19	246.28	42.41	33.06	38.67	28.86	48.18
PPP6R3	563.18	379.04	529.06	890.44	967.76	909.17	693.58	583.07	1617.0	1119.56	1044.52	1119.56	1073.91	2417.67	1023.0	1572.76	684.02	1037.29	860.08	688.78	1208.34	1417.35	2119.22	995.0	1508.65	275.28	299.25	316.37	187.71	587.13
PTAR1	111.21	84.04	84.04	169.07	260.38	269.6	115.97	78.89	343.89	297.17	368.65	267.73	339.14	583.07	161.02	460.44	138.1	281.09	208.38	110.43	249.73	543.96	368.65	185.11	500.46	50.98	76.17	94.67	59.13	87.65
PTBP2	291.04	85.22	64.34	629.35	988.12	2417.67	329.84	248.0	890.44	896.64	1378.57	1551.09	954.43	819.3	656.11	728.11	480.04	480.04	476.71	397.93	624.99	738.29	802.41	406.31	830.75	47.84	34.75	92.7	20.71	135.24
RAF1	1119.56	830.75	915.51	1277.29	1417.35	1639.59	1183.45	1111.82	1096.5	1199.98	1662.49	1628.26	1883.54	2209.26	1529.73	2004.85	1350.18	1923.14	1651.0	1199.98	1857.6	1909.85	1697.45	1313.23	1769.57	796.86	995.0	830.75	1001.93	872.1
