	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZLV1.0526.SM.4WWD4	GTEX.146FR.0426.SM.5SI97	GTEX.XBEW.1326.SM.4AT63	TCGA.CN.6996.01A.11R.1915.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CN.4733.01A.02R.1873.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.D6.6515.01A.21R.1873.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.N7.A4Y5.01A.12R.A28V.07
ETV7	69.52	249.73	38.4	76.71	94.67	346.29	57.08	23.42	31.9	830.75	54.72	559.28	251.48	423.61	693.58	571.05	334.46	3.86
FAM46A	48.52	57.49	74.58	36.53	76.17	102.97	40.93	38.67	72.01	332.14	48.18	381.68	171.45	339.14	371.22	450.94	476.71	8.65
FBXO6	420.68	603.67	356.05	470.14	518.15	647.07	229.72	260.38	147.06	1977.24	100.83	884.29	575.03	808.0	1023.0	1151.06	872.1	126.12
GBP1	1151.06	3303.0	1331.57	1066.48	1757.34	2855.44	289.02	384.34	125.24	10014.87	130.6	7695.57	2555.58	5555.65	6792.79	6164.49	3168.41	131.51
GBP2	2956.17	1447.15	2133.97	2224.63	2451.44	4736.79	1417.35	1583.71	703.28	7803.01	543.96	2537.92	2255.7	3349.13	4512.4	3190.46	2915.45	169.07
GBP4	234.57	409.15	267.73	412.0	395.18	493.56	60.39	110.43	60.82	5913.33	31.67	1023.0	555.41	995.0	1806.78	1551.09	669.92	65.72
GBP5	90.14	738.29	86.43	115.97	125.24	947.83	12.64	29.06	28.65	3443.31	49.56	5006.93	934.76	3955.48	4671.57	2591.27	2209.26	6.46
GFI1	18.43	16.15	32.13	7.82	17.38	48.87	3.11	13.52	10.31	36.27	14.56	40.93	72.52	110.43	92.7	56.68	39.5	1.79
GZMB	92.7	256.78	70.01	33.3	79.45	529.06	19.11	57.89	28.04	1331.57	16.75	825.0	500.46	902.89	1037.29	463.65	486.75	7.63
IDO1	44.57	258.57	36.79	63.89	92.7	327.56	7.0	28.45	13.22	1806.78	16.51	1685.71	796.86	2193.99	4639.29	3060.45	669.92	244.57
IFI35	679.29	1487.87	387.02	432.53	1044.52	1923.14	232.94	190.34	97.36	2240.11	198.47	3716.2	1662.49	3874.05	3280.18	4239.45	1199.98	151.22
IFI44L	156.59	409.15	224.97	543.96	289.02	1119.56	44.25	35.0	21.94	3280.18	12.74	2591.27	954.43	1111.82	1794.29	1936.53	656.11	14.45
IFIH1	237.86	373.81	305.55	397.93	366.09	348.71	99.43	148.09	223.41	2417.67	100.13	1709.26	595.34	1388.16	1685.71	2720.15	860.08	9.41
IFIT1	397.93	890.44	555.41	1498.22	1167.14	1844.76	105.15	81.71	22.26	2758.13	24.46	5292.48	1896.65	2537.92	4543.8	4358.66	1008.9	161.02
IFIT2	87.65	183.82	107.38	110.43	162.14	224.97	16.27	39.5	21.63	660.68	13.83	1350.18	409.15	1295.13	764.36	780.44	228.13	56.68
IFIT3	307.69	1001.93	435.55	674.59	647.07	1583.71	74.58	63.45	57.89	10014.87	48.87	5913.33	1617.0	3716.2	4607.24	5479.15	2133.97	67.12
IFIT5	236.21	215.77	285.03	260.38	255.0	429.54	154.42	120.94	100.13	656.11	88.88	753.83	403.5	633.73	769.69	890.44	532.74	113.56
IL18BP	265.87	536.45	221.86	195.72	318.57	1498.22	130.6	133.36	114.36	607.87	102.97	860.08	507.46	1066.48	1167.14	954.43	334.46	90.14
IRF1	748.61	1519.15	656.11	629.35	1059.11	1991.0	334.46	414.87	329.84	7280.4	211.31	3847.29	1769.57	3614.55	5517.27	5517.27	2682.69	241.19
IRF7	802.41	1794.29	688.78	1388.16	1617.0	1594.73	376.41	563.18	536.45	2739.08	299.25	2209.26	1697.45	1662.49	2303.12	2485.67	1167.14	41.81
KCTD14	22.75	34.26	23.08	18.03	51.35	37.05	15.0	18.84	10.63	967.76	15.0	204.07	135.24	325.29	412.0	934.76	251.48	9.06
KIR2DL4	4.39	18.7	6.94	0.79	5.32	25.54	0.62	3.63	5.15	8.92	1.62	10.55	8.71	30.12	51.71	31.0	32.13	0.37
KLRD1	23.08	23.93	29.48	9.93	10.71	89.51	3.11	10.0	7.75	73.03	4.54	53.19	99.43	145.02	170.25	98.04	59.55	0.0
LAMP3	66.65	332.14	100.83	253.23	229.72	463.65	28.04	96.68	23.42	967.76	40.36	1286.18	688.78	1001.93	1313.23	1594.73	476.71	24.99
LAP3	1487.87	2351.53	1250.98	1487.87	1540.37	1832.01	1001.93	884.29	656.11	10014.87	698.41	3955.48	2976.74	6426.31	5711.87	8078.22	3614.55	423.61
MX1	1819.35	2555.58	1806.78	2915.45	2997.45	2645.74	1183.45	854.13	1096.5	20737.16	1066.48	7857.29	4903.87	4358.66	11827.67	12076.21	5711.87	73.54
NCR2	0.91	2.03	3.47	0.43	1.73	0.0	0.0	0.47	0.0	23.42	0.0	2.46	5.92	3.26	6.62	14.03	2.36	0.0
NMI	493.56	603.67	693.58	490.14	579.04	974.5	271.48	291.04	260.38	1427.22	255.0	1268.46	866.07	981.29	1023.0	1467.37	1030.12	209.84
OAS2	536.45	825.0	656.11	1151.06	1037.29	1639.59	232.94	237.86	325.29	6294.04	199.85	4937.99	1427.22	3168.41	4607.24	5076.84	2004.85	33.06
OAS3	665.29	1111.82	647.07	1417.35	1457.23	1216.75	591.22	543.96	466.88	3901.01	414.87	6652.97	728.11	2319.15	3639.7	6079.61	1794.29	32.36
PARP14	497.0	511.0	563.18	633.73	688.78	708.18	242.88	211.31	170.25	2645.74	167.9	1977.24	808.0	1044.52	1216.75	1519.15	819.3	115.16
PARP9	1096.5	1250.98	1277.29	1540.37	1529.73	1794.29	595.34	387.02	356.05	3847.29	249.73	2417.67	1583.71	1909.85	2701.35	2351.53	1857.6	211.31
PDCD1LG2	25.72	43.63	22.43	21.47	24.81	45.85	8.58	11.64	4.13	46.84	5.23	358.54	289.02	426.57	231.32	595.34	92.05	3.63
PML	1427.22	3103.19	1617.0	1617.0	1794.29	2468.49	866.07	967.76	603.67	4419.52	540.19	3955.48	1977.24	3742.05	4066.71	5913.33	2400.97	723.08
PRF1	54.72	140.04	51.35	19.82	52.45	169.07	11.3	29.06	26.47	463.65	7.51	493.56	163.28	679.29	688.78	299.25	248.0	7.34
PSMB9	2004.85	4937.99	1242.34	1529.73	1628.26	3847.29	457.25	435.55	208.38	3874.05	190.34	8840.04	3768.09	12502.12	7857.29	10084.54	3212.66	130.6
RSAD2	89.51	269.6	66.18	417.77	361.04	269.6	26.28	12.83	10.96	3467.27	10.79	2240.11	591.22	1183.45	2255.7	1617.0	591.22	12.74
RTP4	77.25	157.68	101.54	89.51	114.36	171.45	34.26	24.46	23.08	988.12	14.78	497.0	353.59	480.04	616.37	525.39	283.05	5.06
SECTM1	295.11	503.95	155.5	255.0	543.96	551.56	202.66	72.52	147.06	4181.07	81.71	4038.61	1159.07	1794.29	3039.3	5329.3	967.76	76.71
SP100	884.29	1059.11	1135.2	934.76	890.44	1551.09	718.08	583.07	587.13	2434.5	713.11	3124.78	1832.01	2090.03	2061.24	2319.15	1159.07	89.51
SP110	447.82	656.11	460.44	470.14	583.07	698.41	237.86	293.07	201.25	1697.45	183.82	2384.37	890.44	1844.76	1540.37	1757.34	616.37	107.38
STAT1	2319.15	2537.92	2148.82	3491.39	2384.37	3614.55	764.36	620.67	379.04	8901.53	336.79	12329.98	5292.48	9474.59	12589.08	14561.8	6250.56	503.95
STAT2	2434.5	2935.74	2485.67	2997.45	2609.3	4328.55	941.27	1417.35	1407.55	6607.01	1143.1	5292.48	3614.55	2835.7	5872.48	5791.62	2240.11	759.08
TAP1	2319.15	5255.91	1806.78	2119.22	2178.83	4972.34	1023.0	764.36	802.41	7857.29	503.95	10585.95	4512.4	12502.12	10512.82	12676.65	6079.61	92.7
TAP2	2133.97	2148.82	1151.06	1037.29	1508.65	2935.74	1896.65	684.02	785.88	3847.29	896.64	2816.11	2417.67	3589.58	4066.71	4239.45	2303.12	153.34
TAPBP	1991.0	2915.45	1745.2	1628.26	2075.59	3124.78	1135.2	1259.69	1199.98	3901.01	1096.5	4607.24	3235.01	5183.54	4543.8	5711.87	2855.44	476.71
TNFSF13	295.11	217.27	165.57	181.28	246.28	258.57	173.85	139.07	120.94	684.02	135.24	718.08	591.22	759.08	748.61	1896.65	1081.39	82.87
TRIM21	387.02	575.03	358.54	525.39	595.34	842.36	271.48	271.48	273.37	1806.78	260.38	1529.73	921.88	1268.46	1457.23	1216.75	1096.5	35.0
TRIM22	1066.48	1304.15	1066.48	1832.01	1427.22	2384.37	503.95	728.11	529.06	9673.69	591.22	5366.37	2555.58	2976.74	5183.54	4328.55	3039.3	41.81
TRIM5	228.13	229.72	239.52	287.01	217.27	309.83	158.79	212.78	208.38	723.08	218.79	836.53	356.05	450.94	511.0	486.75	403.5	45.53
TYMP	5403.7	31432.17	6079.61	6983.79	10585.95	14065.74	2555.58	2119.22	1397.83	12676.65	954.43	11035.54	9344.14	15180.22	21468.49	15934.98	15824.9	172.65
UBE2L6	1991.0	3372.43	1832.01	2502.97	2148.82	4181.07	780.44	791.35	518.15	13681.08	406.31	9945.68	3794.3	8363.13	9215.48	9344.14	4543.8	466.88
USP18	169.07	281.09	128.79	202.66	265.87	381.68	66.18	71.0	57.49	511.0	63.89	1015.93	423.61	947.83	995.0	1617.0	397.93	136.19
WDFY1	400.71	353.59	329.84	423.61	371.22	429.54	314.17	341.51	285.03	780.44	239.52	629.35	559.28	733.19	830.75	928.3	583.07	281.09
ZBP1	35.25	67.12	27.84	56.68	57.89	139.07	11.47	17.51	8.71	808.0	28.45	325.29	262.2	476.71	395.18	353.59	249.73	0.0
ZC3HAV1	314.17	314.17	395.18	450.94	397.93	323.03	295.11	231.32	343.89	921.88	285.03	934.76	629.35	733.19	567.1	836.53	698.41	77.25
ZNFX1	406.31	529.06	297.17	346.29	486.75	426.57	221.86	218.79	215.77	866.07	185.11	1143.1	587.13	1066.48	1331.57	1397.83	708.18	142.01
