	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07
SORT1	0.46	318.57	547.75	253.23	305.55	221.86	507.46	277.2	698.41	624.99	163.28	688.78	420.68	77.79	220.32	260.38	395.18	450.94	197.09	473.41	366.09	392.44	201.25	256.78	46.84	348.71	521.76	567.1	262.2	267.73	279.14	329.84	555.41	463.65	171.45	540.19	253.23	329.84	242.88	629.35	703.28	547.75	665.29	279.14	444.72	733.19	178.77	251.48	336.79	607.87	316.37	260.38	305.55	351.14	346.29
SP1	256.78	244.57	981.29	764.36	327.56	236.21	902.89	483.38	860.08	503.95	221.86	733.19	616.37	320.8	309.83	423.61	669.92	438.59	293.07	379.04	271.48	612.11	480.04	579.04	256.78	226.54	878.17	708.18	262.2	312.0	332.14	320.8	587.13	599.49	511.0	988.12	490.14	373.81	341.51	665.29	934.76	503.95	759.08	253.23	444.72	733.19	457.25	351.14	503.95	915.51	379.04	406.31	476.71	343.89	379.04
SRCAP	81.14	339.14	1208.34	866.07	607.87	384.34	1233.75	563.18	1023.0	642.59	312.0	915.51	842.36	283.05	351.14	555.41	854.13	518.15	412.0	432.53	414.87	791.35	599.49	693.58	291.04	400.71	1030.12	753.83	289.02	414.87	429.54	480.04	819.3	708.18	483.38	1096.5	633.73	624.99	368.65	890.44	1111.82	825.0	1023.0	414.87	607.87	759.08	629.35	435.55	684.02	1044.52	454.09	423.61	669.92	466.88	514.56
SZRD1	1104.13	1191.69	1794.29	1685.71	1369.04	1733.13	1991.0	1651.0	1806.78	1617.0	1277.29	1769.57	1605.83	1059.11	1104.13	1378.57	1617.0	1407.55	1167.14	1066.48	1023.0	2032.85	1369.04	1427.22	1709.26	1295.13	1950.0	1519.15	1111.82	1073.91	1721.16	1340.84	1359.57	1757.34	1359.57	2032.85	1721.16	1340.84	1286.18	1819.35	1936.53	1378.57	1870.53	1417.35	1447.15	1583.71	1242.34	1359.57	1651.0	1870.53	1096.5	1331.57	1350.18	1340.84	1199.98
TAF1	58.3	102.25	603.67	420.68	223.41	108.14	511.0	218.79	435.55	258.57	117.6	483.38	293.07	106.63	135.24	223.41	343.89	237.86	127.89	164.42	186.4	244.57	277.2	262.2	95.34	86.43	438.59	265.87	133.36	112.77	211.31	186.4	303.44	283.05	231.32	450.94	466.88	159.9	139.07	325.29	476.71	248.0	450.94	95.34	253.23	353.59	271.48	164.42	236.21	368.65	164.42	198.47	279.14	195.72	246.28
TAF5L	0.22	173.85	336.79	201.25	232.94	199.85	303.44	223.41	314.17	299.25	144.01	303.44	258.57	214.27	146.03	264.03	279.14	214.27	193.01	208.38	162.14	236.21	156.59	229.72	98.73	194.36	289.02	267.73	191.67	139.07	223.41	191.67	262.2	262.2	236.21	348.71	256.78	199.85	181.28	271.48	368.65	212.78	281.09	187.71	232.94	291.04	361.04	209.84	248.0	277.2	215.77	241.19	232.94	226.54	218.79
TAF8	275.28	159.9	379.04	269.6	187.71	289.02	368.65	255.0	356.05	277.2	221.86	341.51	253.23	182.55	232.94	232.94	325.29	223.41	256.78	248.0	191.67	262.2	214.27	273.37	128.79	186.4	309.83	327.56	208.38	148.09	279.14	209.84	267.73	264.03	177.53	239.52	264.03	224.97	223.41	275.28	379.04	279.14	353.59	185.11	318.57	277.2	241.19	293.07	318.57	289.02	267.73	191.67	258.57	205.5	260.38
TMEM185B	0.08	209.84	525.39	540.19	327.56	194.36	426.57	356.05	518.15	463.65	166.73	450.94	295.11	264.03	98.04	251.48	376.41	255.0	314.17	316.37	208.38	476.71	258.57	400.71	81.71	218.79	579.04	371.22	187.71	223.41	420.68	260.38	400.71	466.88	371.22	651.58	339.14	264.03	248.0	406.31	441.64	334.46	400.71	156.59	329.84	486.75	334.46	173.85	343.89	429.54	229.72	226.54	325.29	295.11	253.23
TP53BP1	0.39	376.41	679.29	603.67	336.79	417.77	665.29	444.72	718.08	423.61	536.45	579.04	466.88	140.04	295.11	500.46	551.56	432.53	325.29	389.72	438.59	493.56	368.65	486.75	358.54	366.09	490.14	540.19	267.73	153.34	483.38	463.65	551.56	366.09	318.57	785.88	525.39	429.54	438.59	612.11	665.29	435.55	642.59	329.84	507.46	486.75	381.68	395.18	463.65	591.22	358.54	532.74	486.75	444.72	470.14
TRIM26	466.88	785.88	921.88	842.36	941.27	860.08	1081.39	1015.93	1119.56	896.64	361.04	995.0	1096.5	532.74	819.3	947.83	934.76	860.08	764.36	860.08	633.73	1135.2	1001.93	1175.27	647.07	723.08	961.07	878.17	718.08	669.92	679.29	796.86	902.89	967.76	796.86	1096.5	928.3	1044.52	733.19	1135.2	1073.91	1066.48	1059.11	830.75	909.17	915.51	941.27	825.0	1030.12	1096.5	825.0	698.41	860.08	896.64	921.88
TRIM32	0.12	97.36	204.07	209.84	80.57	87.03	279.14	144.01	194.36	144.01	72.52	159.9	186.4	63.89	45.21	83.45	223.41	119.26	69.52	110.43	88.88	187.71	162.14	214.27	58.3	93.35	211.31	138.1	64.8	10.08	104.42	120.1	113.56	165.57	89.51	220.32	177.53	81.14	131.51	214.27	303.44	142.01	205.5	81.71	120.1	169.07	194.36	106.63	114.36	199.85	102.25	88.88	149.12	109.66	126.12
TUBE1	0.36	90.14	241.19	253.23	143.01	83.45	180.02	178.77	195.72	217.27	49.21	190.34	258.57	108.9	120.1	183.82	281.09	195.72	148.09	166.73	228.13	109.66	229.72	251.48	54.33	139.07	176.29	178.77	109.66	150.17	135.24	173.85	170.25	186.4	172.65	183.82	236.21	204.07	159.9	248.0	198.47	166.73	187.71	96.68	166.73	249.73	202.66	137.14	204.07	183.82	212.78	130.6	253.23	176.29	218.79
URB1	0.37	51.71	363.56	353.59	117.6	105.89	287.01	164.42	226.54	185.11	119.26	281.09	242.88	62.12	234.57	201.25	301.33	136.19	87.03	158.79	115.16	281.09	125.24	164.42	90.77	127.0	339.14	275.28	135.24	153.34	120.1	135.24	215.77	249.73	150.17	258.57	229.72	175.07	159.9	435.55	323.03	231.32	275.28	111.99	177.53	283.05	142.01	123.5	145.02	309.83	100.83	193.01	163.28	180.02	117.6
USP19	0.17	638.15	1295.13	1037.29	708.18	583.07	1199.98	796.86	1096.5	961.07	842.36	1001.93	941.27	599.49	595.34	703.28	890.44	753.83	620.67	738.29	607.87	878.17	825.0	587.13	480.04	693.58	1059.11	896.64	429.54	854.13	728.11	713.11	902.89	988.12	703.28	1081.39	884.29	651.58	769.69	974.5	1151.06	934.76	1030.12	511.0	780.44	909.17	902.89	567.1	775.05	1037.29	583.07	674.59	909.17	825.0	860.08
USP37	0.28	7.46	136.19	114.36	46.5	14.35	129.69	44.25	122.64	55.49	5.06	121.79	63.45	20.56	21.16	40.93	79.45	48.18	29.48	41.22	35.5	59.55	29.48	69.03	18.43	14.56	111.99	66.18	17.38	19.53	31.9	21.32	75.64	78.89	52.08	119.26	78.89	41.52	19.25	87.65	125.24	60.82	110.43	16.03	44.25	112.77	37.59	21.32	53.95	96.68	29.7	31.67	50.98	28.86	28.04
USP9X	71.0	167.9	656.11	603.67	262.2	234.57	656.11	287.01	595.34	336.79	218.79	684.02	307.69	228.13	295.11	314.17	447.82	285.03	204.07	285.03	221.86	400.71	323.03	381.68	193.01	204.07	595.34	429.54	212.78	181.28	291.04	198.47	389.72	417.77	271.48	551.56	460.44	249.73	237.86	493.56	629.35	325.29	514.56	251.48	291.04	555.41	293.07	199.85	299.25	483.38	248.0	265.87	318.57	248.0	279.14
UTP15	110.43	96.01	139.07	182.55	139.07	52.45	161.02	115.97	176.29	180.02	120.1	267.73	118.43	120.94	54.72	108.9	166.73	123.5	98.73	116.78	96.68	97.36	84.63	158.79	72.52	73.03	198.47	167.9	77.25	63.89	121.79	102.25	208.38	134.3	169.07	143.01	111.99	111.21	102.25	140.04	209.84	112.77	162.14	78.34	139.07	239.52	234.57	82.29	127.89	151.22	117.6	118.43	129.69	116.78	172.65
XPC	0.65	366.09	780.44	624.99	395.18	361.04	693.58	579.04	555.41	555.41	397.93	450.94	679.29	346.29	511.0	476.71	603.67	571.05	295.11	409.15	460.44	555.41	441.64	450.94	351.14	323.03	514.56	521.76	361.04	547.75	507.46	460.44	511.0	571.05	457.25	547.75	591.22	470.14	591.22	723.08	674.59	500.46	599.49	343.89	514.56	525.39	387.02	450.94	567.1	624.99	412.0	555.41	642.59	463.65	490.14
XPO4	0.24	39.79	221.86	212.78	74.58	42.71	157.68	75.11	177.53	106.63	39.5	191.67	112.77	65.26	47.84	73.03	154.42	77.79	49.91	82.29	72.01	105.89	84.63	102.97	46.84	43.02	162.14	107.38	58.71	47.17	64.34	69.52	120.94	127.89	107.38	163.28	96.01	70.51	63.45	125.24	244.57	116.78	163.28	48.52	96.68	202.66	86.43	59.13	84.04	178.77	62.12	67.12	80.01	73.03	80.01
ZBED1	0.48	167.9	473.41	373.81	295.11	329.84	417.77	318.57	392.44	329.84	341.51	343.89	346.29	135.24	206.94	329.84	412.0	368.65	181.28	301.33	275.28	395.18	189.02	218.79	180.02	314.17	260.38	392.44	199.85	208.38	180.02	368.65	320.8	281.09	221.86	339.14	476.71	275.28	336.79	361.04	412.0	348.71	387.02	246.28	384.34	384.34	346.29	269.6	358.54	447.82	323.03	325.29	303.44	343.89	339.14
ZBTB9	129.69	158.79	167.9	224.97	136.19	109.66	172.65	155.5	146.03	175.07	130.6	220.32	145.02	151.22	117.6	137.14	197.09	96.01	84.04	148.09	105.89	187.71	156.59	181.28	111.21	146.03	172.65	144.01	104.42	102.25	119.26	146.03	209.84	176.29	157.68	185.11	190.34	132.44	155.5	126.12	204.07	165.57	180.02	117.6	163.28	162.14	212.78	137.14	129.69	148.09	135.24	127.0	167.9	149.12	185.11
ZFAND5	0.0	872.1	3564.78	2739.08	995.0	988.12	2224.63	1733.13	2335.28	1870.53	1081.39	3190.46	1883.54	954.43	1651.0	1322.37	2193.99	1806.78	1896.65	941.27	1259.69	1857.6	1127.35	1628.26	612.11	878.17	1498.22	1832.01	1104.13	974.5	1519.15	1674.06	1963.57	1359.57	988.12	2400.97	3081.75	1340.84	1295.13	2255.7	3060.45	1605.83	2148.82	988.12	1322.37	2956.17	2004.85	1561.89	2090.03	2351.53	1159.07	1427.22	2240.11	1639.59	1605.83
ZFP91	0.72	237.86	728.11	872.1	426.57	312.0	813.63	423.61	743.43	483.38	265.87	866.07	450.94	295.11	348.71	384.34	629.35	426.57	283.05	373.81	353.59	518.15	503.95	529.06	214.27	255.0	723.08	603.67	253.23	265.87	346.29	318.57	567.1	616.37	507.46	713.11	642.59	339.14	289.02	603.67	902.89	466.88	713.11	262.2	476.71	733.19	438.59	271.48	423.61	579.04	307.69	293.07	395.18	368.65	384.34
ZFYVE20	0.57	108.9	339.14	285.03	156.59	112.77	307.69	169.07	297.17	217.27	115.16	244.57	226.54	94.01	120.94	152.28	249.73	197.09	108.9	146.03	158.79	211.31	195.72	153.34	92.05	111.99	305.55	223.41	106.63	118.43	146.03	146.03	197.09	256.78	151.22	267.73	255.0	145.02	145.02	275.28	373.81	201.25	269.6	101.54	177.53	258.57	139.07	133.36	175.07	256.78	138.1	137.14	220.32	133.36	145.02
ZKSCAN2	0.06	32.82	73.54	26.47	29.91	23.76	60.39	37.05	53.95	40.64	28.24	49.56	35.25	16.03	16.03	29.48	48.87	37.59	26.86	31.9	27.64	41.22	28.24	36.79	18.29	26.86	43.63	39.22	32.13	27.64	41.81	33.78	52.08	52.08	26.1	47.17	41.22	30.56	30.34	48.52	64.34	44.89	51.35	25.72	42.71	43.02	34.26	43.02	49.56	44.57	29.91	37.32	45.53	28.45	28.24
ZNF160	0.68	175.07	466.88	343.89	191.67	169.07	366.09	264.03	339.14	279.14	100.83	339.14	314.17	194.36	271.48	246.28	297.17	293.07	195.72	253.23	183.82	256.78	435.55	289.02	211.31	137.14	293.07	265.87	176.29	231.32	215.77	206.94	273.37	232.94	194.36	318.57	309.83	223.41	217.27	273.37	397.93	271.48	316.37	164.42	218.79	325.29	289.02	251.48	232.94	256.78	301.33	346.29	358.54	177.53	215.77
ZNF35	0.06	63.0	109.66	88.88	60.39	80.01	104.42	103.69	115.97	115.97	42.41	106.63	54.72	34.75	44.57	73.54	92.05	64.8	50.98	66.18	37.85	98.04	62.56	96.68	61.25	78.89	84.04	87.65	61.68	70.01	87.03	66.65	111.99	87.65	65.26	138.1	97.36	55.1	62.56	95.34	115.97	84.04	94.67	54.72	72.52	91.41	88.88	74.06	65.26	94.01	82.29	59.97	71.0	72.52	48.87
ZNF426	0.21	21.32	212.78	190.34	60.39	46.18	199.85	77.79	183.82	111.99	18.84	195.72	84.04	37.05	42.41	67.12	135.24	80.57	52.45	72.01	39.79	136.19	71.5	85.22	21.78	26.28	157.68	103.69	36.79	40.93	75.11	32.36	133.36	127.0	60.39	176.29	132.44	66.65	37.05	133.36	191.67	90.77	147.06	40.93	77.25	144.01	86.43	35.0	79.45	123.5	42.41	35.25	76.71	48.52	50.27
ZNF629	0.26	56.28	221.86	181.28	101.54	66.18	221.86	123.5	159.9	105.89	70.01	173.85	170.25	52.08	64.8	102.97	178.77	108.14	61.68	80.01	80.57	183.82	117.6	153.34	55.49	65.72	186.4	150.17	46.18	59.97	90.77	94.67	132.44	159.9	114.36	177.53	193.01	112.77	92.7	162.14	182.55	157.68	181.28	70.51	115.97	151.22	110.43	78.34	115.97	182.55	85.22	74.58	142.01	87.65	109.66
ZXDA	0.02	28.24	83.45	85.82	46.18	29.7	70.51	51.35	83.45	48.52	25.72	69.52	50.98	26.47	25.35	36.53	67.12	38.95	22.75	44.25	37.59	62.12	45.53	67.59	19.82	26.86	86.43	46.18	28.86	27.05	32.36	37.05	57.49	67.59	51.35	80.57	63.0	38.4	33.54	62.12	89.51	45.85	63.0	22.92	38.95	73.54	59.97	28.24	38.95	66.65	43.63	32.13	50.98	38.12	38.12
