	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5525.01A.01R.1580.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
FRS2	293.07	58.3	131.51	177.53	395.18	109.66	323.03	125.24	299.25	113.56	332.14	142.01	132.44	149.12	214.27	42.71	215.77	107.38	139.07	127.0	89.51	162.14	141.02	127.0	96.68	142.01	130.6	289.02	102.25	120.1	201.25	124.37	134.3	287.01	115.97	332.14	150.17	262.2	124.37	156.59	190.34	209.84	124.37	239.52	55.49	305.55	118.43	75.11	85.82	120.1	176.29	164.42	144.01	202.66	87.65	104.42	209.84	248.0	169.07	228.13	262.2	159.9	93.35	105.15	275.28	271.48	228.13	143.01	107.38	125.24	129.69	255.0	88.26	143.01	70.51	170.25	287.01	100.83	220.32	239.52	73.03	208.38	181.28	123.5	124.37	153.34	138.1	90.14	217.27	140.04	84.04	154.42	120.94	110.43	123.5	87.65	92.05	99.43	241.19	236.21	165.57	152.28	211.31	153.34	126.12
FZD6	409.15	146.03	325.29	208.38	518.15	244.57	503.95	255.0	438.59	249.73	470.14	231.32	269.6	237.86	444.72	103.69	279.14	285.03	208.38	267.73	169.07	432.53	293.07	279.14	148.09	251.48	194.36	543.96	202.66	251.48	341.51	307.69	231.32	353.59	241.19	825.0	514.56	329.84	205.5	457.25	339.14	420.68	237.86	684.02	136.19	450.94	341.51	208.38	248.0	189.02	454.09	309.83	403.5	267.73	202.66	273.37	366.09	444.72	371.22	503.95	444.72	490.14	232.94	218.79	400.71	332.14	332.14	555.41	204.07	264.03	329.84	389.72	181.28	279.14	178.77	289.02	432.53	177.53	320.8	361.04	163.28	426.57	389.72	242.88	299.25	287.01	231.32	303.44	334.46	438.59	145.02	363.56	208.38	221.86	129.69	232.94	198.47	199.85	438.59	325.29	283.05	237.86	356.05	251.48	314.17
G2E3	205.5	43.32	105.15	108.9	256.78	77.79	246.28	99.43	251.48	109.66	197.09	152.28	80.57	102.97	202.66	41.52	111.21	87.65	98.04	137.14	72.52	137.14	110.43	99.43	53.19	90.14	95.34	231.32	70.01	80.57	183.82	132.44	82.87	189.02	94.01	226.54	102.25	112.77	98.73	127.0	143.01	180.02	91.41	127.89	52.08	171.45	103.69	68.07	78.89	66.18	116.78	107.38	120.1	76.71	94.67	106.63	130.6	156.59	122.64	145.02	224.97	114.36	80.57	88.26	237.86	251.48	141.02	100.83	80.57	77.25	138.1	182.55	77.79	114.36	72.01	108.14	237.86	85.22	135.24	155.5	60.82	140.04	108.9	95.34	88.88	109.66	109.66	88.26	176.29	108.14	66.18	99.43	91.41	84.63	94.01	102.25	80.01	84.04	177.53	198.47	114.36	86.43	153.34	127.0	95.34
IMPAD1	1066.48	470.14	748.61	629.35	1447.15	629.35	1242.34	698.41	1096.5	698.41	909.17	656.11	660.68	647.07	785.88	327.56	679.29	656.11	723.08	872.1	409.15	1088.92	567.1	525.39	497.0	748.61	743.43	1073.91	848.22	688.78	785.88	674.59	536.45	896.64	543.96	1832.01	928.3	884.29	591.22	1313.23	1044.52	878.17	575.03	1277.29	392.44	954.43	638.15	493.56	543.96	669.92	878.17	389.72	470.14	633.73	412.0	587.13	723.08	961.07	791.35	1277.29	1769.57	1529.73	511.0	400.71	830.75	1397.83	688.78	954.43	547.75	529.06	660.68	1143.1	435.55	591.22	490.14	579.04	1015.93	389.72	902.89	748.61	447.82	981.29	1216.75	536.45	540.19	748.61	830.75	718.08	733.19	830.75	497.0	748.61	423.61	389.72	521.76	647.07	567.1	473.41	651.58	1015.93	738.29	728.11	769.69	708.18	688.78
KIAA0196	638.15	470.14	518.15	624.99	878.17	463.65	921.88	397.93	808.0	536.45	674.59	759.08	466.88	497.0	723.08	406.31	674.59	426.57	463.65	669.92	486.75	1088.92	583.07	503.95	417.77	563.18	612.11	733.19	414.87	423.61	583.07	579.04	476.71	684.02	463.65	1143.1	981.29	587.13	607.87	723.08	679.29	575.03	429.54	1359.57	525.39	909.17	543.96	403.5	511.0	429.54	616.37	551.56	679.29	698.41	414.87	571.05	902.89	764.36	1059.11	825.0	1104.13	1175.27	480.04	555.41	656.11	1175.27	656.11	830.75	417.77	583.07	780.44	728.11	575.03	450.94	476.71	450.94	669.92	591.22	587.13	842.36	358.54	638.15	819.3	493.56	540.19	688.78	567.1	764.36	651.58	607.87	447.82	698.41	529.06	507.46	651.58	441.64	555.41	470.14	579.04	587.13	518.15	435.55	559.28	525.39	486.75
KIAA1430	769.69	156.59	358.54	334.46	511.0	329.84	830.75	289.02	743.43	299.25	612.11	409.15	237.86	371.22	555.41	155.5	438.59	339.14	363.56	351.14	231.32	423.61	387.02	231.32	201.25	255.0	239.52	848.22	248.0	314.17	599.49	341.51	297.17	514.56	318.57	981.29	332.14	420.68	275.28	476.71	507.46	607.87	262.2	532.74	143.01	738.29	329.84	234.57	193.01	248.0	353.59	346.29	323.03	291.04	181.28	279.14	563.18	480.04	450.94	551.56	878.17	450.94	291.04	237.86	723.08	733.19	397.93	384.34	249.73	297.17	603.67	629.35	182.55	332.14	178.77	371.22	723.08	295.11	532.74	579.04	208.38	563.18	409.15	258.57	316.37	327.56	320.8	314.17	563.18	409.15	177.53	299.25	256.78	214.27	226.54	209.84	262.2	260.38	503.95	555.41	341.51	283.05	507.46	400.71	283.05
KLK3	772940.66	1345768.59	1005860.33	751804.53	573724.06	1116072.03	350728.68	1212874.47	459592.86	887875.81	585779.24	677564.08	1163466.92	1116072.03	378516.38	373305.21	794671.01	834179.46	925580.18	985160.01	881742.8	875652.15	1063212.58	800198.39	496005.67	1055868.42	906531.99	691801.16	1255646.43	1187913.85	706337.4	1093103.58	1139523.1	619179.28	919186.72	269512.87	569761.05	805764.22	1100706.72	906531.99	1327240.99	731246.37	751804.53	573724.06	1147449.11	585779.24	925580.18	978355.0	1412675.8	822695.06	906531.99	919186.72	1238359.56	1327240.99	731246.37	1196176.45	731246.37	851707.37	800198.39	985160.01	606436.73	746611.43	869603.57	845824.19	805764.22	179048.63	696613.03	919186.72	851707.37	762299.34	757033.75	767601.56	627822.72	1063212.58	1212874.47	1238359.56	654483.73	985160.01	751804.53	845824.19	672883.8	721179.07	1048575.0	736332.6	1345768.59	938500.81	828417.36	721179.07	711250.37	1472666.19	1229805.58	649962.87	751804.53	1019901.63	828417.36	711250.37	938500.81	800198.39	805764.22	894051.48	1019901.63	925580.18	794671.01	985160.01	1063212.58
MED13	395.18	108.14	193.01	221.86	412.0	154.42	551.56	194.36	432.53	164.42	403.5	221.86	182.55	202.66	341.51	85.82	215.77	165.57	187.71	220.32	167.9	224.97	223.41	164.42	122.64	176.29	187.71	503.95	169.07	199.85	325.29	220.32	205.5	293.07	161.02	366.09	208.38	275.28	181.28	242.88	309.83	341.51	182.55	323.03	100.13	500.46	215.77	107.38	117.6	142.01	215.77	183.82	175.07	191.67	135.24	190.34	244.57	287.01	248.0	297.17	303.44	217.27	147.06	166.73	409.15	426.57	301.33	231.32	159.9	152.28	180.02	376.41	131.51	172.65	135.24	172.65	366.09	151.22	289.02	301.33	120.1	295.11	229.72	172.65	162.14	258.57	215.77	158.79	341.51	244.57	128.79	187.71	141.02	189.02	173.85	132.44	153.34	152.28	236.21	264.03	199.85	178.77	271.48	189.02	187.71
MTDH	1259.69	327.56	723.08	738.29	1457.23	503.95	1639.59	486.75	1407.55	567.1	1259.69	854.13	341.51	785.88	1628.26	336.79	743.43	432.53	656.11	656.11	387.02	1447.15	629.35	444.72	444.72	599.49	775.05	1175.27	368.65	660.68	954.43	669.92	547.75	1159.07	563.18	2816.11	1073.91	866.07	688.78	1119.56	988.12	981.29	438.59	2209.26	273.37	1605.83	743.43	353.59	703.28	555.41	728.11	819.3	603.67	486.75	332.14	466.88	1304.15	1059.11	1225.22	1447.15	1721.16	1304.15	536.45	529.06	1143.1	2591.27	928.3	1250.98	500.46	447.82	679.29	1225.22	412.0	540.19	356.05	587.13	1225.22	309.83	974.5	1594.73	267.73	1199.98	974.5	612.11	420.68	921.88	547.75	551.56	1001.93	713.11	348.71	854.13	363.56	366.09	529.06	403.5	518.15	400.71	1051.79	1175.27	723.08	551.56	1088.92	718.08	547.75
MTPN	1508.65	226.54	934.76	961.07	1216.75	633.73	1508.65	679.29	1397.83	769.69	1313.23	941.27	579.04	808.0	1081.39	214.27	988.12	660.68	743.43	941.27	647.07	1111.82	698.41	679.29	493.56	866.07	567.1	1259.69	518.15	723.08	1088.92	802.41	575.03	1467.37	447.82	1427.22	896.64	1073.91	651.58	890.44	1088.92	1104.13	660.68	1651.0	246.28	1407.55	878.17	387.02	358.54	775.05	703.28	954.43	759.08	629.35	353.59	785.88	1081.39	1286.18	981.29	1059.11	1794.29	909.17	579.04	463.65	1350.18	1733.13	1023.0	633.73	616.37	583.07	1081.39	1359.57	400.71	723.08	441.64	599.49	1304.15	555.41	988.12	1096.5	514.56	1268.46	1044.52	713.11	480.04	836.53	728.11	591.22	909.17	825.0	460.44	896.64	514.56	543.96	460.44	551.56	397.93	403.5	1277.29	1242.34	896.64	825.0	1167.14	830.75	688.78
