	TCGA.FJ.A871.01A.11R.A352.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	GTEX.13113.1326.SM.5GCOI	GTEX.XBEC.1526.SM.4AT68
CIAO1	928.3	1037.29	1407.55	1088.92	921.88	1044.52	1135.2	1662.49	836.53	1498.22	1037.29	1199.98	1001.93	1104.13	1167.14	995.0	1001.93	1242.34	1304.15	928.3	909.17	1111.82	1059.11	1685.71	775.05	775.05	748.61	775.05	718.08	854.13	915.51	884.29	878.17
CREB3L2	109.66	825.0	412.0	525.39	629.35	698.41	591.22	1447.15	366.09	514.56	480.04	728.11	536.45	830.75	733.19	473.41	708.18	780.44	941.27	571.05	603.67	738.29	825.0	808.0	356.05	130.6	159.9	198.47	167.9	127.0	271.48	76.71	260.38
CTTNBP2	26.28	271.48	150.17	85.22	89.51	96.68	108.14	476.71	90.14	57.49	22.59	132.44	316.37	106.63	102.25	123.5	104.42	239.52	198.47	90.14	81.71	100.83	157.68	371.22	3.17	7.0	11.38	4.5	10.96	11.47	22.59	27.84	15.0
DCUN1D1	119.26	412.0	343.89	248.0	316.37	366.09	470.14	395.18	163.28	629.35	275.28	279.14	299.25	412.0	511.0	258.57	221.86	490.14	490.14	193.01	191.67	376.41	476.71	521.76	176.29	146.03	110.43	164.42	155.5	125.24	239.52	116.78	197.09
EEA1	27.44	253.23	191.67	137.14	186.4	209.84	218.79	341.51	115.97	212.78	153.34	275.28	172.65	281.09	265.87	139.07	146.03	253.23	323.03	124.37	72.52	189.02	182.55	244.57	102.97	42.41	29.91	53.95	51.71	17.38	64.34	41.22	39.79
EPS8	43.63	1437.15	1111.82	866.07	1295.13	1662.49	1806.78	2645.74	1023.0	2351.53	902.89	1498.22	1015.93	1781.89	1073.91	684.02	1457.23	2032.85	2061.24	723.08	967.76	1745.2	1467.37	1551.09	181.28	327.56	299.25	392.44	267.73	177.53	511.0	223.41	343.89
ERCC4	33.06	66.18	74.06	40.36	76.17	64.34	105.89	102.25	48.87	84.04	44.25	98.04	53.19	94.01	72.01	42.71	54.33	90.14	82.87	57.08	30.34	53.19	94.01	98.04	25.91	21.94	16.27	26.86	24.63	17.0	38.95	28.65	36.79
FAM199X	100.83	457.25	511.0	309.83	228.13	483.38	336.79	780.44	414.87	409.15	301.33	567.1	234.57	329.84	529.06	287.01	297.17	514.56	529.06	293.07	205.5	381.68	454.09	974.5	163.28	132.44	94.01	133.36	103.69	75.11	130.6	97.36	79.45
FAM73A	11.91	334.46	94.01	107.38	197.09	264.03	379.04	429.54	108.9	373.81	178.77	260.38	116.78	277.2	212.78	84.63	163.28	318.57	316.37	86.43	134.3	236.21	255.0	432.53	12.83	31.45	33.78	28.65	35.25	27.64	61.68	64.34	33.54
FPGT	69.03	271.48	228.13	171.45	264.03	260.38	275.28	273.37	201.25	395.18	265.87	343.89	183.82	285.03	190.34	134.3	226.54	316.37	361.04	161.02	217.27	256.78	400.71	269.6	66.18	118.43	96.01	83.45	105.15	60.82	147.06	111.99	120.1
GNG12	197.09	1540.37	1417.35	1001.93	1135.2	1583.71	1819.35	1697.45	961.07	2104.58	896.64	1685.71	1051.79	1583.71	1896.65	928.3	1295.13	1819.35	1870.53	775.05	1066.48	1286.18	1923.14	1870.53	111.21	497.0	291.04	305.55	295.11	327.56	403.5	114.36	307.69
IDE	139.07	299.25	237.86	190.34	237.86	303.44	329.84	289.02	141.02	395.18	248.0	244.57	232.94	414.87	381.68	186.4	275.28	435.55	312.0	159.9	173.85	226.54	332.14	336.79	215.77	267.73	224.97	153.34	176.29	164.42	214.27	191.67	150.17
KDM4A	327.56	435.55	289.02	341.51	358.54	423.61	503.95	647.07	373.81	299.25	303.44	429.54	275.28	507.46	341.51	275.28	343.89	435.55	693.58	358.54	291.04	363.56	384.34	392.44	187.71	143.01	246.28	205.5	209.84	237.86	269.6	136.19	249.73
MAGT1	279.14	1457.23	1143.1	748.61	947.83	1508.65	1183.45	1540.37	915.51	1066.48	981.29	1233.75	928.3	1350.18	1685.71	713.11	974.5	1572.76	1794.29	785.88	718.08	1233.75	1487.87	1551.09	1135.2	854.13	616.37	713.11	656.11	718.08	656.11	547.75	575.03
MAN1A2	84.04	285.03	287.01	193.01	303.44	318.57	373.81	341.51	181.28	432.53	220.32	368.65	206.94	392.44	258.57	218.79	246.28	384.34	441.64	156.59	178.77	279.14	351.14	323.03	81.71	114.36	98.73	87.03	152.28	68.55	190.34	96.01	137.14
MAPK1	325.29	1896.65	909.17	860.08	1175.27	1508.65	2720.15	1832.01	780.44	1950.0	1388.16	2075.59	603.67	1857.6	1030.12	708.18	902.89	2224.63	3372.43	490.14	708.18	1407.55	2004.85	3039.3	312.0	226.54	242.88	323.03	204.07	307.69	384.34	297.17	232.94
MCFD2	406.31	1883.54	1498.22	995.0	1721.16	2004.85	2485.67	2777.33	1259.69	4358.66	1551.09	1991.0	1427.22	1844.76	1883.54	1143.1	1467.37	2796.65	2573.36	974.5	1437.15	1819.35	2104.58	2335.28	836.53	802.41	1008.9	679.29	988.12	842.36	1030.12	1119.56	1127.35
METTL15	65.72	182.55	139.07	148.09	146.03	173.85	154.42	195.72	137.14	223.41	156.59	191.67	150.17	164.42	223.41	131.51	158.79	234.57	193.01	121.79	154.42	171.45	215.77	161.02	80.01	114.36	67.59	114.36	128.79	44.57	104.42	79.45	83.45
MIOS	143.01	708.18	555.41	212.78	312.0	536.45	447.82	2090.03	417.77	483.38	258.57	890.44	379.04	279.14	221.86	273.37	395.18	454.09	1096.5	336.79	406.31	409.15	420.68	543.96	129.69	72.52	62.12	129.69	134.3	127.89	217.27	120.1	218.79
MME	25.35	1651.0	438.59	400.71	376.41	389.72	1769.57	5594.3	698.41	830.75	71.5	995.0	2935.74	934.76	1135.2	341.51	209.84	2104.58	2609.3	497.0	36.01	981.29	941.27	1896.65	11.73	1.38	32.36	6.11	124.37	403.5	92.7	62.12	195.72
MPZL1	802.41	2451.44	2816.11	2537.92	2004.85	2816.11	2777.33	4704.07	1923.14	3847.29	2240.11	2875.3	3235.01	2434.5	2240.11	1508.65	1769.57	2555.58	3768.09	1617.0	1529.73	3235.01	1674.06	2163.77	1151.06	738.29	1066.48	518.15	224.97	242.88	532.74	246.28	325.29
MTPN	318.57	1674.06	1477.58	1183.45	1594.73	2004.85	2555.58	2537.92	547.75	1963.57	1242.34	1963.57	1721.16	2367.9	1191.69	981.29	1250.98	2090.03	2573.36	674.59	974.5	1857.6	1909.85	2485.67	212.78	191.67	206.94	262.2	170.25	239.52	486.75	211.31	147.06
NBEA	80.01	85.82	31.9	39.79	80.01	49.21	102.25	305.55	130.6	175.07	105.15	249.73	32.13	62.12	141.02	49.56	148.09	147.06	323.03	93.35	110.43	197.09	111.99	80.01	6.52	3.47	13.03	5.59	11.04	3.23	21.32	3.14	17.9
OSBPL8	128.79	500.46	353.59	334.46	493.56	612.11	791.35	607.87	199.85	693.58	356.05	503.95	279.14	718.08	432.53	232.94	395.18	532.74	647.07	229.72	275.28	460.44	490.14	660.68	80.57	51.71	49.56	96.01	93.35	26.86	199.85	82.87	42.11
PDE4D	19.11	231.32	228.13	147.06	158.79	218.79	473.41	403.5	129.69	239.52	120.94	325.29	249.73	231.32	242.88	218.79	169.07	414.87	211.31	139.07	116.78	193.01	255.0	309.83	19.39	12.09	34.02	13.42	15.11	5.32	64.8	8.78	51.35
PUS7L	22.43	119.26	70.01	49.21	80.01	108.14	121.79	130.6	34.02	96.68	52.45	101.54	58.71	129.69	109.66	34.26	56.28	126.12	109.66	35.25	43.63	106.63	81.71	71.5	30.56	12.45	14.67	12.09	23.08	4.74	33.54	10.0	25.35
RASSF8	52.45	299.25	228.13	107.38	171.45	211.31	371.22	332.14	109.66	318.57	197.09	181.28	148.09	265.87	251.48	105.89	205.5	414.87	412.0	108.9	140.04	226.54	293.07	438.59	18.03	20.71	11.3	25.35	32.82	13.93	55.89	33.3	18.56
RBBP9	157.68	547.75	309.83	346.29	320.8	384.34	514.56	866.07	346.29	543.96	368.65	438.59	429.54	567.1	559.28	363.56	486.75	698.41	638.15	289.02	312.0	500.46	518.15	1015.93	143.01	232.94	116.78	157.68	178.77	166.73	205.5	98.73	211.31
RBM27	83.45	217.27	182.55	163.28	237.86	248.0	346.29	241.19	141.02	248.0	170.25	239.52	153.34	336.79	246.28	142.01	173.85	293.07	297.17	130.6	154.42	255.0	273.37	301.33	71.5	58.3	71.0	86.43	76.17	22.26	102.25	82.29	75.64
RSRC1	149.12	583.07	429.54	403.5	521.76	555.41	511.0	651.58	327.56	339.14	426.57	438.59	476.71	486.75	638.15	387.02	444.72	718.08	669.92	392.44	435.55	575.03	723.08	642.59	204.07	145.02	289.02	217.27	221.86	98.04	258.57	177.53	182.55
SERTAD2	144.01	575.03	363.56	277.2	255.0	387.02	441.64	791.35	283.05	647.07	273.37	591.22	480.04	373.81	346.29	260.38	395.18	555.41	624.99	353.59	275.28	460.44	387.02	500.46	175.07	127.0	76.17	185.11	226.54	156.59	275.28	127.89	229.72
SKAP2	20.11	1096.5	961.07	674.59	743.43	1183.45	1159.07	1369.04	447.82	974.5	583.07	921.88	713.11	1066.48	325.29	543.96	902.89	1208.34	1259.69	603.67	759.08	954.43	1135.2	961.07	182.55	138.1	163.28	138.1	38.95	35.25	198.47	68.55	98.04
SLC30A6	82.29	262.2	190.34	156.59	249.73	285.03	343.89	334.46	134.3	567.1	190.34	291.04	199.85	332.14	283.05	134.3	201.25	336.79	293.07	117.6	170.25	320.8	267.73	341.51	138.1	94.67	98.04	104.42	82.29	84.63	132.44	94.67	101.54
SLC33A1	148.09	775.05	703.28	358.54	493.56	733.19	743.43	988.12	320.8	493.56	450.94	426.57	551.56	2319.15	1044.52	400.71	483.38	1127.35	1119.56	318.57	356.05	738.29	1059.11	791.35	201.25	224.97	348.71	202.66	368.65	251.48	307.69	232.94	291.04
SLC35A3	32.13	353.59	169.07	171.45	264.03	420.68	318.57	466.88	223.41	483.38	226.54	368.65	271.48	299.25	295.11	201.25	223.41	426.57	353.59	163.28	151.22	320.8	403.5	397.93	115.97	202.66	180.02	121.79	249.73	124.37	258.57	140.04	178.77
SLC38A1	30.12	2537.92	1583.71	693.58	848.22	1561.89	3614.55	3794.3	1008.9	1508.65	543.96	1857.6	1066.48	1225.22	1427.22	1233.75	1417.35	1733.13	2816.11	633.73	1199.98	1167.14	1397.83	3103.19	77.25	29.27	65.72	146.03	47.17	22.43	190.34	255.0	43.63
SLMO2	463.65	1096.5	1225.22	947.83	813.63	1066.48	1001.93	1870.53	753.83	1295.13	819.3	1135.2	1096.5	1191.69	813.63	629.35	866.07	1111.82	1304.15	571.05	620.67	1304.15	974.5	1225.22	473.41	361.04	341.51	486.75	366.09	246.28	521.76	486.75	297.17
SNX13	85.22	638.15	212.78	191.67	291.04	368.65	555.41	571.05	206.94	669.92	249.73	287.01	249.73	423.61	289.02	197.09	314.17	476.71	500.46	193.01	205.5	450.94	395.18	529.06	84.04	75.11	94.67	80.01	91.41	54.33	165.57	87.65	80.57
SPTY2D1	81.71	206.94	173.85	130.6	218.79	277.2	267.73	314.17	151.22	327.56	167.9	231.32	164.42	307.69	202.66	133.36	155.5	251.48	320.8	101.54	166.73	197.09	332.14	275.28	92.7	69.52	56.68	77.79	82.87	72.52	117.6	77.25	60.82
TBL1XR1	361.04	1081.39	769.69	583.07	860.08	1167.14	1044.52	1096.5	934.76	813.63	624.99	607.87	780.44	703.28	872.1	543.96	1044.52	1268.46	1313.23	748.61	567.1	988.12	1378.57	854.13	239.52	231.32	211.31	283.05	214.27	128.79	334.46	279.14	142.01
TGFBI	73221.53	160252.91	189257.69	134755.94	343510.77	419990.32	338781.54	186652.11	267651.2	242898.5	248002.34	419990.32	301123.38	246289.25	411347.03	174152.51	154794.07	186652.11	275175.93	258533.99	186652.11	391864.76	294926.33	174152.51	3060.45	3589.58	2895.31	7331.05	1991.0	2520.38	5555.65	1896.65	2627.46
TMED5	283.05	1519.15	921.88	688.78	1037.29	1572.76	1175.27	2451.44	599.49	2004.85	896.64	1819.35	1233.75	1572.76	1378.57	753.83	947.83	2367.9	2591.27	674.59	616.37	1697.45	1674.06	1721.16	368.65	842.36	759.08	698.41	890.44	591.22	928.3	836.53	642.59
VEZT	281.09	1277.29	764.36	733.19	780.44	769.69	1397.83	1268.46	571.05	1572.76	748.61	947.83	620.67	1175.27	961.07	507.46	830.75	1030.12	1073.91	629.35	713.11	947.83	780.44	842.36	312.0	197.09	283.05	262.2	287.01	166.73	417.77	351.14	190.34
YAF2	145.02	480.04	403.5	334.46	381.68	339.14	567.1	532.74	229.72	490.14	384.34	507.46	277.2	392.44	299.25	314.17	316.37	447.82	483.38	291.04	297.17	348.71	518.15	409.15	153.34	258.57	111.99	248.0	205.5	69.03	323.03	271.48	265.87
ZBTB44	115.97	486.75	312.0	389.72	400.71	587.13	607.87	543.96	483.38	629.35	423.61	409.15	163.28	571.05	647.07	343.89	490.14	703.28	743.43	389.72	325.29	414.87	647.07	684.02	220.32	149.12	159.9	171.45	171.45	166.73	251.48	144.01	204.07
ZNF28	124.37	314.17	351.14	178.77	214.27	336.79	305.55	392.44	264.03	256.78	143.01	297.17	295.11	232.94	256.78	85.22	205.5	281.09	466.88	214.27	109.66	248.0	414.87	346.29	139.07	70.01	54.72	26.1	13.42	2.18	49.56	82.87	24.81
ZNF468	35.25	220.32	163.28	158.79	148.09	211.31	341.51	450.94	151.22	209.84	134.3	395.18	182.55	215.77	287.01	80.57	218.79	186.4	358.54	109.66	111.99	239.52	318.57	229.72	93.35	19.25	23.59	8.92	38.4	6.67	62.56	14.03	52.08
ZNF845	22.43	82.29	60.82	60.82	76.71	69.03	140.04	126.12	44.25	84.04	50.63	92.05	41.52	123.5	117.6	43.63	50.98	105.89	108.14	36.01	47.84	90.77	88.88	166.73	31.0	10.31	20.26	5.96	18.29	3.08	33.3	19.53	29.91
