	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CN.5370.01A.01R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.44.6775.01A.11R.1858.07	TCGA.86.8075.01A.11R.2241.07	TCGA.86.8055.01A.11R.2241.07	TCGA.44.6775.01A.11R.A278.07	TCGA.60.2704.01A.11R.2045.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.DJ.A2Q9.01A.21R.A18C.07
C12orf23	684.02	25.35	220.32	171.45	136.19	684.02	57.89	303.44	81.14	130.6	209.84	172.65	100.13	161.02	371.22	738.29	483.38	289.02	209.84	473.41	229.72	327.56	131.51	186.4	108.9	872.1	651.58	708.18	988.12	713.11	890.44	775.05	808.0
C16orf54	258.57	20.26	1.48	20.71	21.47	57.08	21.32	8.0	14.14	4.86	57.08	38.12	35.76	8.58	67.59	61.25	190.34	25.17	10.88	209.84	39.5	15.91	18.7	63.0	48.87	71.0	169.07	202.66	37.59	201.25	84.04	90.14	60.39
C3orf18	177.53	5.41	18.16	20.11	12.74	77.25	11.13	23.59	6.78	17.9	46.5	19.53	7.69	21.94	26.28	48.18	48.18	11.64	15.0	55.49	25.91	24.99	12.93	11.64	9.78	125.24	171.45	115.16	150.17	199.85	89.51	112.77	155.5
CCIN	6.26	0.72	2.27	0.43	2.56	7.46	0.0	1.48	0.93	0.77	2.73	0.0	0.0	3.11	4.5	25.72	5.32	0.0	1.25	8.71	2.76	1.25	1.93	1.08	0.0	4.54	7.0	6.26	7.11	9.48	5.41	6.36	9.7
CDC42EP3	764.36	111.99	204.07	190.34	532.74	954.43	157.68	212.78	353.59	277.2	323.03	295.11	191.67	387.02	351.14	764.36	728.11	373.81	480.04	616.37	358.54	500.46	389.72	420.68	186.4	1167.14	1286.18	1111.82	1378.57	1457.23	1313.23	693.58	1697.45
CDR2	486.75	120.94	114.36	137.14	231.32	460.44	101.54	223.41	57.49	129.69	164.42	161.02	92.05	114.36	332.14	353.59	420.68	185.11	166.73	314.17	236.21	148.09	113.56	224.97	92.7	802.41	1322.37	1923.14	1540.37	1427.22	532.74	540.19	629.35
CEP170	825.0	66.65	127.89	134.3	114.36	536.45	119.26	147.06	123.5	108.9	186.4	125.24	170.25	166.73	281.09	567.1	503.95	117.6	181.28	293.07	156.59	287.01	189.02	228.13	106.63	656.11	612.11	669.92	624.99	988.12	780.44	457.25	802.41
CHST15	571.05	159.9	438.59	155.5	395.18	1008.9	273.37	249.73	269.6	164.42	305.55	202.66	323.03	244.57	460.44	1167.14	748.61	218.79	438.59	1059.11	624.99	305.55	301.33	269.6	126.12	878.17	656.11	567.1	713.11	830.75	941.27	674.59	1268.46
CLCC1	480.04	115.16	120.94	124.37	167.9	195.72	165.57	155.5	101.54	128.79	190.34	147.06	175.07	128.79	256.78	234.57	327.56	105.15	161.02	167.9	191.67	187.71	147.06	128.79	106.63	366.09	555.41	656.11	830.75	753.83	420.68	420.68	334.46
CLIC4	2875.3	392.44	1467.37	1233.75	426.57	3614.55	1104.13	1487.87	1081.39	1617.0	1551.09	890.44	1697.45	1159.07	1896.65	2835.7	2777.33	836.53	1340.84	2178.83	1359.57	1781.89	1437.15	2032.85	934.76	3325.99	2645.74	2555.58	3540.14	3060.45	3303.0	2502.97	4543.8
CMBL	218.79	8.32	71.5	29.48	82.87	163.28	33.54	100.83	19.53	68.07	145.02	83.45	24.99	59.97	193.01	289.02	117.6	124.37	251.48	96.01	75.11	127.0	28.65	86.43	78.89	995.0	708.18	145.02	579.04	376.41	273.37	256.78	163.28
CNNM4	314.17	674.59	133.36	120.94	94.01	183.82	209.84	172.65	120.1	75.64	159.9	129.69	118.43	126.12	215.77	273.37	148.09	191.67	162.14	234.57	84.04	127.0	76.71	150.17	143.01	273.37	253.23	336.79	256.78	269.6	264.03	226.54	181.28
CTBS	381.68	339.14	183.82	172.65	163.28	403.5	251.48	208.38	208.38	271.48	273.37	265.87	348.71	180.02	293.07	429.54	303.44	260.38	154.42	242.88	291.04	371.22	242.88	239.52	208.38	665.29	470.14	441.64	684.02	389.72	521.76	414.87	397.93
DNAJC10	1628.26	83.45	426.57	463.65	271.48	728.11	371.22	460.44	220.32	295.11	698.41	291.04	392.44	339.14	638.15	954.43	842.36	454.09	476.71	540.19	518.15	559.28	301.33	490.14	320.8	1304.15	1540.37	1427.22	2018.8	2032.85	1508.65	995.0	1437.15
DNAJC18	269.6	23.76	59.55	70.01	74.58	177.53	42.11	69.52	41.81	135.24	43.32	77.25	98.73	102.25	83.45	234.57	150.17	136.19	84.04	122.64	98.73	105.89	74.06	151.22	46.5	172.65	120.1	204.07	301.33	146.03	237.86	264.03	234.57
DPYSL3	2434.5	9.34	165.57	120.1	72.52	2720.15	60.39	217.27	55.49	57.89	981.29	211.31	64.8	212.78	341.51	674.59	1388.16	253.23	248.0	1447.15	409.15	248.0	297.17	327.56	58.3	3540.14	3190.46	3820.7	4869.99	3372.43	2178.83	2004.85	1733.13
EMR2	82.29	20.86	110.43	41.81	76.71	100.13	22.92	31.45	78.89	73.03	40.64	34.75	102.97	62.56	264.03	285.03	325.29	26.47	67.59	77.25	57.49	28.45	38.67	271.48	28.24	139.07	152.28	126.12	105.15	150.17	329.84	151.22	206.94
FNBP1L	1015.93	579.04	119.26	108.9	214.27	275.28	97.36	197.09	62.56	221.86	50.98	133.36	249.73	133.36	223.41	397.93	198.47	118.43	218.79	218.79	224.97	226.54	186.4	190.34	65.72	616.37	1023.0	1183.45	1015.93	1096.5	373.81	314.17	620.67
FNDC3B	1051.79	109.66	392.44	264.03	373.81	1369.04	175.07	493.56	199.85	327.56	473.41	305.55	323.03	273.37	579.04	1143.1	1397.83	500.46	490.14	1023.0	514.56	457.25	356.05	283.05	115.97	1001.93	1304.15	2047.0	1769.57	2148.82	1844.76	1151.06	961.07
FRMD5	28.65	0.8	4.5	2.76	13.42	52.45	4.74	12.27	8.19	7.46	0.66	2.58	2.41	5.54	10.08	17.51	7.75	4.46	8.32	22.75	10.47	6.21	4.24	16.27	7.4	65.72	139.07	191.67	88.88	166.73	18.03	13.12	105.89
FUT8	616.37	86.43	90.14	120.1	126.12	708.18	80.01	111.99	49.21	87.03	260.38	91.41	136.19	85.22	303.44	318.57	551.56	144.01	161.02	414.87	144.01	241.19	129.69	161.02	124.37	1233.75	708.18	848.22	1001.93	884.29	595.34	599.49	503.95
GAL3ST1	11.82	2.53	0.0	0.55	1.66	20.41	0.0	3.17	0.0	0.0	2.05	0.0	0.0	4.62	0.92	19.25	1.55	0.51	2.27	1.01	0.0	0.0	1.13	5.32	0.0	10.31	17.51	57.08	74.06	8.71	20.41	18.29	3.08
GATA6	166.73	0.91	6.21	5.15	29.06	145.02	2.18	5.41	6.62	6.89	14.89	15.22	4.9	3.76	32.82	69.03	157.68	2.81	18.97	38.12	18.03	8.06	7.51	21.01	2.29	58.3	64.34	100.83	106.63	63.45	204.07	100.13	106.63
GCNT1	571.05	28.45	34.26	101.54	15.56	217.27	77.79	53.95	19.53	86.43	45.85	50.63	44.89	47.17	136.19	470.14	191.67	78.89	54.33	309.83	120.94	92.05	29.27	131.51	33.78	314.17	633.73	579.04	226.54	878.17	239.52	323.03	595.34
GGA2	2720.15	473.41	353.59	329.84	392.44	764.36	244.57	567.1	255.0	406.31	389.72	403.5	432.53	397.93	599.49	674.59	674.59	432.53	441.64	748.61	432.53	368.65	307.69	403.5	215.77	1870.53	2224.63	1806.78	1498.22	2627.46	1417.35	1250.98	2090.03
GNA13	954.43	392.44	299.25	323.03	336.79	688.78	285.03	507.46	265.87	293.07	361.04	312.0	435.55	305.55	450.94	612.11	753.83	486.75	420.68	571.05	371.22	454.09	334.46	406.31	303.44	915.51	651.58	941.27	733.19	1044.52	1225.22	693.58	688.78
GNAQ	688.78	109.66	269.6	258.57	249.73	381.68	198.47	297.17	211.31	318.57	497.0	273.37	232.94	281.09	358.54	435.55	483.38	353.59	309.83	293.07	198.47	309.83	297.17	332.14	159.9	540.19	575.03	368.65	395.18	775.05	587.13	358.54	642.59
GNG10	1242.34	723.08	780.44	579.04	660.68	1331.57	441.64	1437.15	718.08	967.76	521.76	1295.13	660.68	738.29	848.22	1199.98	967.76	796.86	638.15	921.88	536.45	1111.82	743.43	1183.45	848.22	1259.69	1844.76	1388.16	1096.5	1359.57	1806.78	1191.69	1331.57
GREB1L	24.63	3.66	0.59	0.0	3.17	10.31	0.0	1.27	0.0	0.49	0.59	2.48	0.56	0.53	0.92	2.71	5.73	0.0	0.0	1.91	1.77	0.55	0.0	3.08	0.0	20.56	35.76	35.25	88.88	55.49	11.04	11.91	28.24
GTDC1	403.5	108.14	119.26	139.07	138.1	293.07	136.19	186.4	178.77	171.45	264.03	117.6	164.42	138.1	195.72	403.5	249.73	167.9	110.43	256.78	229.72	260.38	170.25	136.19	153.34	384.34	269.6	346.29	356.05	309.83	438.59	406.31	389.72
HIP1	403.5	38.12	69.52	68.55	81.71	336.79	75.11	94.01	26.28	77.79	178.77	234.57	48.52	51.71	125.24	187.71	237.86	165.57	129.69	224.97	101.54	172.65	79.45	51.35	63.89	595.34	486.75	571.05	620.67	669.92	376.41	303.44	444.72
HRH2	29.27	0.13	2.89	2.61	4.21	37.32	2.92	1.99	5.59	1.25	6.11	2.03	5.19	1.71	24.28	75.11	69.52	5.73	3.86	21.78	22.59	8.32	9.7	12.83	4.74	22.43	19.39	16.27	17.77	32.82	75.64	34.02	31.9
HS2ST1	397.93	215.77	155.5	126.12	80.01	271.48	162.14	143.01	88.26	115.97	241.19	105.15	176.29	112.77	150.17	273.37	231.32	126.12	131.51	169.07	155.5	191.67	159.9	127.0	120.1	486.75	476.71	500.46	503.95	540.19	423.61	285.03	327.56
IL27RA	547.75	53.57	100.13	72.52	140.04	255.0	57.08	94.67	24.99	121.79	107.38	88.26	156.59	108.9	258.57	397.93	212.78	59.97	130.6	334.46	161.02	59.97	42.41	77.25	87.65	591.22	417.77	314.17	409.15	483.38	232.94	241.19	389.72
KCNG2	3.26	1.41	0.0	0.0	0.46	7.51	0.0	2.81	1.04	1.25	3.03	0.47	0.52	3.0	6.67	3.08	17.25	0.46	1.38	4.66	2.63	1.83	6.84	1.58	1.43	9.63	5.77	6.46	6.31	20.26	5.59	2.71	28.45
KCNK2	182.55	20.41	7.28	1.01	0.93	58.3	0.99	3.63	1.6	0.93	8.71	0.96	0.0	0.99	9.63	19.11	36.53	1.33	1.89	6.78	6.73	6.94	1.69	3.14	0.61	4.62	7.63	37.32	3.92	10.96	23.08	5.82	33.3
KIAA0825	40.64	13.72	11.04	4.86	1.91	13.62	2.81	10.71	3.2	9.34	11.13	8.13	3.79	7.34	4.58	8.65	16.03	5.15	4.9	16.75	5.15	19.53	6.21	4.98	10.88	53.95	23.08	24.99	26.28	54.72	24.63	22.59	36.53
KLHL24	563.18	186.4	112.77	161.02	135.24	497.0	137.14	167.9	89.51	153.34	140.04	51.71	96.01	81.14	191.67	289.02	287.01	127.89	145.02	366.09	150.17	91.41	150.17	164.42	62.56	470.14	318.57	769.69	559.28	1015.93	1175.27	473.41	567.1
KLHL34	1.5	0.0	0.0	0.0	0.33	6.57	0.0	0.33	0.0	0.0	0.41	0.0	0.0	0.35	0.34	2.58	4.5	0.0	0.37	0.78	0.0	0.0	0.0	0.0	0.4	2.25	13.12	6.11	0.68	19.11	0.39	1.11	1.62
KLHL6	497.0	12.55	24.99	32.13	26.86	115.16	24.46	25.72	29.48	30.78	39.22	15.56	51.71	16.27	115.16	73.03	224.97	49.91	16.51	127.89	32.13	53.19	31.9	49.91	34.26	149.12	131.51	115.97	119.26	191.67	376.41	236.21	178.77
KRT17	14065.74	4953441.24	971597.0	542775.98	589853.66	124000.67	466008.55	716197.51	701458.36	593956.43	524287.0	524287.0	565825.41	645473.24	373305.21	117311.73	397335.0	546551.29	632189.57	244588.0	466008.55	425853.18	912837.43	546551.29	506427.83	2417.67	1769.57	2502.97	802.41	1781.89	21026.65	29943.43	44145.15
LBH	2271.4	293.07	221.86	514.56	281.09	1286.18	251.48	202.66	135.24	339.14	547.75	214.27	105.15	226.54	466.88	780.44	1008.9	215.77	361.04	1304.15	473.41	305.55	201.25	409.15	307.69	3515.68	2816.11	1963.57	2956.17	3280.18	1950.0	2485.67	2468.49
LCA5	123.5	5.82	11.21	8.78	8.32	69.52	3.99	16.15	1.17	7.22	18.84	8.51	9.06	6.84	15.34	33.3	33.06	6.89	9.27	29.91	13.83	13.93	12.83	7.0	3.44	92.05	63.45	89.51	91.41	100.83	76.17	69.03	140.04
LIFR	579.04	6.57	4.5	5.92	13.12	62.12	11.04	31.0	2.39	20.11	40.07	15.11	3.69	7.0	39.79	51.35	63.0	13.32	12.83	36.53	15.0	24.99	9.63	20.26	8.25	236.21	178.77	111.99	157.68	420.68	221.86	68.55	176.29
LRRN4	6.89	3.08	0.57	2.58	3.08	5.87	0.0	1.6	0.56	0.0	1.04	0.48	0.96	2.51	2.81	8.58	3.76	2.36	2.61	3.56	8.06	1.77	0.59	3.0	0.93	47.5	47.17	77.79	38.95	56.28	38.95	31.9	16.51
LTBP2	1674.06	195.72	346.29	223.41	176.29	2271.4	129.69	371.22	92.05	181.28	1709.26	423.61	141.02	171.45	363.56	1617.0	1151.06	387.02	373.81	1397.83	447.82	575.03	320.8	358.54	190.34	2335.28	1923.14	1605.83	1551.09	2367.9	1388.16	1551.09	2032.85
MICU1	836.53	397.93	507.46	438.59	503.95	842.36	444.72	563.18	447.82	426.57	532.74	521.76	409.15	529.06	518.15	660.68	825.0	521.76	684.02	688.78	647.07	620.67	555.41	567.1	473.41	1159.07	1008.9	890.44	934.76	947.83	769.69	796.86	780.44
MPP2	37.59	0.0	9.85	8.78	10.24	38.67	13.03	17.77	2.66	15.22	47.5	9.78	29.48	4.43	11.47	32.36	18.97	12.27	6.31	21.47	8.65	7.63	9.41	8.13	0.66	23.76	56.28	54.72	53.57	65.26	30.78	34.51	41.52
MRO	7.4	0.0	0.91	0.0	1.45	8.19	1.16	5.02	0.0	0.0	0.91	0.0	1.23	0.0	1.5	15.45	12.74	0.0	2.01	4.98	5.02	1.6	2.36	2.1	2.07	7.51	8.13	14.78	4.5	7.51	7.17	18.03	14.89
NCF2	497.0	363.56	248.0	429.54	426.57	718.08	232.94	397.93	603.67	334.46	269.6	201.25	241.19	293.07	854.13	748.61	934.76	490.14	872.1	429.54	579.04	660.68	351.14	808.0	329.84	1508.65	2319.15	1143.1	1073.91	2485.67	1359.57	995.0	791.35
PALM2	11.82	0.0	7.75	0.88	0.79	26.47	2.03	1.16	0.52	7.0	4.17	3.06	5.5	0.84	3.47	38.67	14.67	7.06	6.57	1.35	15.22	4.13	4.86	1.85	1.33	46.5	14.24	23.08	25.91	38.4	22.75	7.34	25.17
PDXDC1	1529.73	406.31	738.29	1183.45	743.43	1051.79	872.1	1059.11	688.78	660.68	1008.9	743.43	759.08	796.86	1044.52	1286.18	961.07	854.13	738.29	842.36	733.19	813.63	669.92	775.05	575.03	2609.3	2956.17	2193.99	2627.46	3443.31	1467.37	1508.65	1259.69
PIGK	551.56	185.11	165.57	223.41	285.03	423.61	171.45	307.69	87.03	201.25	307.69	244.57	211.31	127.89	291.04	447.82	269.6	295.11	226.54	295.11	363.56	305.55	170.25	211.31	132.44	587.13	514.56	743.43	748.61	514.56	409.15	536.45	351.14
PLEKHA6	384.34	438.59	39.5	22.59	7.4	40.93	10.31	10.39	3.99	36.01	38.4	15.45	20.11	76.71	45.53	39.22	131.51	15.22	45.53	29.06	15.11	25.17	13.52	37.32	11.82	148.09	389.72	223.41	289.02	511.0	29.7	81.71	60.39
PRKD1	136.19	1.22	7.51	8.13	5.73	118.43	3.47	12.64	2.39	7.4	33.3	5.02	3.66	6.11	20.56	43.32	46.5	4.54	8.19	40.07	17.0	16.27	16.88	6.78	3.66	231.32	159.9	161.02	255.0	211.31	138.1	145.02	91.41
PTAR1	497.0	99.43	87.65	99.43	47.5	194.36	98.73	180.02	80.57	120.94	197.09	126.12	115.16	110.43	111.21	202.66	191.67	127.0	108.9	180.02	115.16	129.69	99.43	105.15	62.56	267.73	264.03	265.87	267.73	813.63	624.99	163.28	229.72
PTX3	703.28	5.11	5.02	10.88	9.13	90.14	1.41	15.22	1.6	4.86	50.27	5.36	0.0	0.56	111.21	323.03	173.85	3.32	5.41	22.92	11.47	16.51	42.41	13.32	28.86	51.71	33.3	95.34	73.03	24.11	463.65	119.26	136.19
RABGAP1L	921.88	226.54	271.48	193.01	176.29	400.71	239.52	193.01	305.55	156.59	441.64	209.84	332.14	214.27	323.03	366.09	332.14	185.11	348.71	476.71	279.14	279.14	214.27	303.44	231.32	599.49	607.87	503.95	571.05	1008.9	423.61	525.39	536.45
RASGRF1	33.54	14.35	4.9	3.53	6.94	19.97	1.38	4.35	6.73	3.23	1.58	6.36	5.36	8.19	9.56	63.0	20.71	3.63	4.82	33.54	6.31	6.52	3.66	8.19	11.55	69.03	376.41	214.27	120.1	334.46	237.86	102.97	75.64
RECK	281.09	1.23	35.76	26.28	27.64	221.86	25.91	65.72	12.27	53.95	156.59	58.3	49.21	25.91	65.72	277.2	133.36	41.22	19.11	108.9	30.78	66.18	56.68	19.39	25.72	264.03	199.85	211.31	260.38	180.02	279.14	165.57	193.01
RGPD3	3.89	0.0	1.95	0.92	0.0	2.41	0.49	2.32	0.55	0.46	0.56	0.85	1.79	0.48	2.41	3.99	3.72	0.84	0.93	1.83	0.0	0.93	1.57	1.53	1.81	7.75	1.71	3.17	9.2	2.76	2.36	1.93	4.03
RNF115	563.18	173.85	172.65	178.77	197.09	395.18	169.07	199.85	115.16	139.07	202.66	155.5	220.32	197.09	356.05	438.59	381.68	130.6	220.32	316.37	275.28	264.03	201.25	279.14	218.79	511.0	571.05	603.67	563.18	647.07	435.55	387.02	400.71
RRN3	612.11	197.09	271.48	348.71	301.33	384.34	289.02	500.46	175.07	246.28	351.14	262.2	334.46	381.68	366.09	514.56	368.65	329.84	361.04	371.22	447.82	406.31	236.21	395.18	277.2	1015.93	708.18	759.08	587.13	836.53	476.71	312.0	536.45
SCPEP1	5329.3	5672.41	674.59	1757.34	2335.28	4388.98	1051.79	1757.34	1674.06	1457.23	1674.06	1697.45	995.0	1037.29	1745.2	3395.89	1540.37	2061.24	1208.34	3928.15	2209.26	2287.2	1674.06	1407.55	1199.98	3372.43	3349.13	6699.25	3847.29	2976.74	3955.48	5633.22	2335.28
SEP15	5872.48	2609.3	2271.4	3018.3	2997.45	4210.15	3491.39	5366.37	2163.77	3928.15	2915.45	3372.43	3589.58	2537.92	3395.89	4419.52	3280.18	3349.13	2555.58	3443.31	3955.48	3690.52	2367.9	3467.27	3039.3	6792.79	6699.25	8134.41	8134.41	4736.79	4639.29	5913.33	4358.66
SGCE	1397.83	0.43	49.91	57.49	120.94	511.0	30.34	47.84	7.11	34.75	131.51	62.56	24.99	30.56	103.69	358.54	246.28	153.34	96.68	194.36	114.36	146.03	69.03	40.07	19.68	728.11	540.19	718.08	775.05	521.76	514.56	346.29	500.46
SLC2A6	129.69	12.55	18.84	43.94	59.97	165.57	39.79	70.01	18.29	18.84	60.82	43.94	34.51	24.11	127.0	140.04	175.07	34.75	112.77	158.79	53.95	45.21	49.56	103.69	46.5	66.18	176.29	137.14	111.21	164.42	122.64	190.34	441.64
SLC39A14	813.63	85.22	339.14	343.89	137.14	1896.65	152.28	718.08	141.02	150.17	384.34	432.53	157.68	387.02	457.25	775.05	1467.37	688.78	447.82	802.41	603.67	500.46	447.82	201.25	144.01	397.93	575.03	665.29	1088.92	785.88	1529.73	796.86	947.83
SLC45A1	42.71	0.0	2.73	2.92	4.24	25.17	1.53	11.21	0.72	0.62	14.45	3.11	2.07	3.23	6.06	15.68	24.11	3.47	8.19	14.78	5.82	7.75	9.56	8.32	4.43	31.0	69.03	34.26	97.36	53.95	31.9	30.12	34.26
SLC46A3	334.46	20.86	44.57	28.24	36.53	140.04	53.19	37.59	24.81	23.59	63.89	88.88	22.26	30.34	75.64	285.03	127.0	43.32	34.02	100.13	185.11	47.84	67.12	55.89	41.81	246.28	327.56	177.53	251.48	307.69	232.94	287.01	267.73
SMURF2	575.03	91.41	136.19	165.57	242.88	264.03	99.43	273.37	112.77	138.1	180.02	158.79	170.25	134.3	239.52	271.48	316.37	141.02	226.54	228.13	166.73	199.85	122.64	197.09	103.69	575.03	612.11	1427.22	954.43	909.17	384.34	295.11	536.45
SOAT1	591.22	26.28	215.77	145.02	301.33	529.06	125.24	236.21	145.02	90.14	239.52	193.01	162.14	133.36	583.07	967.76	679.29	166.73	273.37	483.38	417.77	325.29	180.02	409.15	141.02	1081.39	1936.53	1216.75	1088.92	2555.58	890.44	723.08	483.38
SPIN1	1295.13	483.38	514.56	642.59	540.19	1023.0	595.34	753.83	460.44	688.78	854.13	738.29	500.46	500.46	571.05	988.12	718.08	599.49	616.37	728.11	616.37	713.11	457.25	738.29	417.77	896.64	808.0	808.0	866.07	1030.12	1322.37	785.88	1030.12
SRGAP2	961.07	511.0	353.59	244.57	253.23	1051.79	332.14	264.03	409.15	256.78	543.96	392.44	251.48	260.38	486.75	1001.93	665.29	353.59	392.44	921.88	334.46	463.65	438.59	336.79	379.04	921.88	1167.14	961.07	902.89	1350.18	1322.37	836.53	1119.56
ST3GAL4	764.36	2997.45	228.13	171.45	205.5	624.99	114.36	186.4	61.25	205.5	312.0	175.07	226.54	212.78	307.69	603.67	341.51	287.01	161.02	297.17	351.14	295.11	152.28	187.71	172.65	629.35	1104.13	1259.69	1216.75	981.29	764.36	878.17	547.75
ST6GALNAC5	244.57	2.97	19.53	7.4	15.8	77.25	3.29	5.87	10.16	1.85	13.72	1.89	2.07	8.85	18.03	17.51	33.78	1.45	20.26	63.89	21.32	23.25	27.25	13.03	5.28	101.54	165.57	242.88	198.47	191.67	172.65	111.99	165.57
STAC	144.01	3.53	4.54	6.21	17.25	55.1	1.85	29.48	1.14	8.32	10.79	4.98	5.06	4.35	13.32	31.22	28.04	5.28	14.24	22.59	13.83	32.36	6.78	10.24	2.86	178.77	185.11	111.21	165.57	211.31	91.41	68.07	114.36
STK17B	1427.22	132.44	148.09	220.32	165.57	579.04	147.06	287.01	144.01	159.9	341.51	264.03	279.14	202.66	366.09	555.41	688.78	187.71	287.01	500.46	351.14	341.51	269.6	223.41	241.19	791.35	575.03	536.45	514.56	1096.5	872.1	607.87	830.75
