	GTEX.XBEW.1926.SM.4SOJO	GTEX.WYVS.0826.SM.4RTXB	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	GTEX.WHWD.1426.SM.4OORU	GTEX.Y8E4.1526.SM.4WWDI	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZF2S.1426.SM.57WET	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.UPK5.2126.SM.4JBJK	GTEX.V1D1.1726.SM.4JBHB	GTEX.Y3I4.1626.SM.4TT7W	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
ARHGAP20	46.84	161.02	59.55	1.35	7.63	2.41	1.41	1.2	3.89	1.46	2.01	0.96	10.88	55.1	1.06	1.03	16.27	63.0	68.55	43.94	122.64	97.36	12.74	11.04	49.56	15.56	26.86	70.51	25.54	34.51	156.59	201.25	232.94	26.47	56.28	366.09	26.47	329.84
ARMCX1	167.9	802.41	791.35	115.97	58.3	146.03	177.53	115.16	87.03	108.14	63.89	231.32	145.02	204.07	10.79	8.45	104.42	753.83	647.07	409.15	665.29	2032.85	148.09	96.01	312.0	190.34	264.03	1561.89	287.01	417.77	379.04	251.48	47.17	417.77	285.03	450.94	297.17	403.5
ATP1B2	26.28	169.07	271.48	25.54	13.52	47.17	52.45	15.68	63.45	82.29	16.63	11.64	143.01	42.71	3.5	3.72	157.68	444.72	518.15	197.09	291.04	1594.73	34.26	32.36	145.02	55.1	42.71	947.83	81.14	100.83	473.41	151.22	728.11	356.05	155.5	62.12	363.56	99.43
ATP6V1G2	32.13	98.04	47.5	7.17	9.13	13.72	11.73	9.63	5.68	8.78	75.11	5.77	23.59	42.11	2.25	2.58	20.11	199.85	153.34	102.25	103.69	414.87	38.4	35.76	29.06	12.45	43.63	146.03	43.02	41.52	60.39	32.36	65.26	74.58	162.14	28.86	118.43	30.12
ATP8B2	212.78	1015.93	624.99	46.18	27.64	30.12	46.18	24.11	27.05	55.1	81.14	87.03	199.85	647.07	15.0	14.56	195.72	1008.9	967.76	420.68	884.29	612.11	111.99	187.71	435.55	339.14	796.86	1199.98	275.28	1066.48	92.7	137.14	45.85	248.0	305.55	88.88	341.51	65.72
AVPR2	20.56	80.57	223.41	14.45	75.11	3.99	21.63	11.38	30.56	43.94	1.99	1.43	13.42	47.17	2.34	0.89	14.24	57.89	70.51	36.79	118.43	171.45	74.06	23.08	27.05	113.56	37.05	269.6	28.65	67.12	42.41	37.32	23.42	146.03	64.34	25.17	37.59	91.41
AXL	336.79	1066.48	759.08	84.04	46.5	22.1	129.69	25.91	38.12	161.02	58.3	293.07	198.47	518.15	31.9	26.67	299.25	2240.11	2018.8	547.75	961.07	1583.71	258.57	260.38	379.04	381.68	688.78	1151.06	297.17	974.5	131.51	162.14	77.25	234.57	656.11	64.34	194.36	201.25
BNC2	46.18	214.27	178.77	22.26	4.82	46.18	43.02	130.6	3.89	122.64	161.02	129.69	16.03	162.14	3.63	1.45	45.53	325.29	356.05	84.63	211.31	389.72	12.64	37.32	75.11	27.44	81.71	246.28	55.89	135.24	5.87	4.17	3.99	9.34	84.04	3.82	10.08	6.62
BOC	177.53	2119.22	2367.9	40.93	30.56	89.51	63.0	149.12	90.77	71.0	31.9	75.11	67.12	759.08	9.78	12.83	262.2	1225.22	1111.82	612.11	1127.35	3419.52	60.39	181.28	346.29	329.84	819.3	2976.74	303.44	493.56	175.07	171.45	146.03	483.38	764.36	91.41	325.29	329.84
C10orf128	334.46	432.53	825.0	44.57	43.63	22.1	132.44	19.97	62.12	67.59	39.5	217.27	1199.98	563.18	15.56	32.59	80.57	332.14	336.79	476.71	1127.35	1832.01	161.02	182.55	353.59	273.37	281.09	1447.15	256.78	713.11	223.41	181.28	175.07	329.84	633.73	126.12	163.28	389.72
C16orf45	291.04	1277.29	941.27	483.38	55.89	38.12	76.17	49.56	90.77	177.53	55.1	441.64	215.77	642.59	85.82	37.32	232.94	1519.15	1397.83	521.76	1268.46	1551.09	149.12	314.17	348.71	483.38	928.3	1277.29	368.65	934.76	1268.46	1572.76	854.13	753.83	928.3	854.13	1088.92	738.29
C1QTNF2	46.84	127.89	341.51	1.36	1.46	13.72	9.41	16.63	1.75	16.39	5.02	9.56	44.25	59.13	2.94	1.43	11.04	397.93	60.82	63.45	189.02	486.75	14.56	40.93	71.0	23.76	47.5	346.29	69.52	94.01	11.73	8.99	0.91	23.25	51.35	6.57	10.55	17.51
C1orf95	33.54	366.09	143.01	170.25	3.86	17.25	37.05	54.33	2.63	58.71	4.03	0.51	18.56	42.11	19.68	0.87	5.28	110.43	132.44	94.67	299.25	339.14	18.7	39.5	35.76	18.97	86.43	438.59	98.73	256.78	3.38	5.23	5.59	8.32	10.96	4.17	6.21	3.76
C7	780.44	4239.45	7642.41	68.07	11.3	163.28	620.67	1844.76	228.13	1242.34	115.16	37.59	819.3	4328.55	11.38	3.29	101.54	4358.66	8421.31	2178.83	7803.01	28132.47	157.68	500.46	1447.15	1909.85	3443.31	12943.04	954.43	6381.92	27.44	6.46	20.41	289.02	1407.55	10.24	599.49	4.17
CAND2	40.64	246.28	134.3	4.5	3.89	28.04	42.11	115.16	34.75	23.08	2.03	33.78	24.28	65.72	4.78	3.82	70.51	332.14	447.82	108.9	258.57	122.64	22.59	32.36	36.79	50.98	91.41	279.14	63.89	120.1	191.67	68.55	48.18	135.24	45.53	82.87	49.21	169.07
CBR3	111.99	234.57	351.14	279.14	303.44	220.32	248.0	80.57	197.09	221.86	36.79	19.97	46.18	189.02	37.85	21.78	176.29	312.0	242.88	217.27	599.49	890.44	113.56	158.79	255.0	173.85	267.73	884.29	158.79	334.46	53.95	117.6	41.52	121.79	262.2	52.82	42.11	104.42
CC2D2A	183.82	660.68	651.58	229.72	131.51	34.02	176.29	165.57	191.67	105.15	624.99	490.14	185.11	197.09	16.51	102.25	258.57	1191.69	1001.93	358.54	1208.34	1037.29	176.29	186.4	325.29	214.27	229.72	1277.29	262.2	507.46	454.09	206.94	198.47	540.19	493.56	133.36	309.83	264.03
CCDC178	12.83	25.35	16.39	6.21	0.48	13.93	0.0	2.39	1.73	1.93	12.36	6.21	0.92	13.12	0.0	2.01	2.36	16.27	14.03	23.59	79.45	343.89	28.65	17.51	53.57	19.39	24.99	201.25	1.97	84.04	1.06	6.11	27.84	57.08	26.67	0.0	16.51	1.97
CD109	23.42	163.28	140.04	19.68	3.89	2.89	16.51	5.23	14.35	20.41	36.27	108.14	52.08	102.25	1.31	7.4	42.71	116.78	70.51	51.71	172.65	511.0	22.43	27.05	57.89	44.25	102.97	262.2	43.32	107.38	25.91	24.28	14.56	44.89	193.01	22.75	44.25	40.36
CD209	133.36	246.28	15.0	6.73	1.95	1.64	23.08	3.63	7.0	6.36	2.03	8.71	25.17	236.21	6.62	9.78	13.93	82.87	97.36	249.73	633.73	116.78	27.64	38.12	366.09	28.86	76.17	476.71	165.57	713.11	7.94	0.66	1.19	9.2	50.98	3.86	21.78	10.63
CD99	3018.3	3103.19	4802.93	529.06	351.14	518.15	392.44	336.79	251.48	688.78	738.29	1369.04	3018.3	3794.3	1477.58	1216.75	703.28	4543.8	3124.78	2664.15	5517.27	5751.61	1733.13	1733.13	2287.2	3168.41	2520.38	7331.05	2287.2	4736.79	1487.87	819.3	1044.52	1268.46	3467.27	1617.0	1304.15	1617.0
CDH23	30.78	480.04	145.02	5.02	2.48	2.51	13.83	1.25	7.94	2.01	2.07	20.86	136.19	99.43	10.16	3.32	5.28	140.04	80.57	113.56	241.19	256.78	15.11	43.32	44.57	80.01	85.22	336.79	43.32	123.5	71.5	90.77	32.59	43.63	136.19	32.13	35.0	111.21
CDO1	24.28	221.86	232.94	0.92	3.38	7.28	5.19	0.82	0.89	15.0	3.53	13.83	2400.97	151.22	1.89	2.25	32.82	248.0	187.71	190.34	441.64	1127.35	27.44	41.52	92.7	63.89	108.14	507.46	40.36	279.14	26.28	2.46	95.34	30.78	450.94	36.79	16.15	46.5
CHL1	93.35	156.59	149.12	1832.01	1.46	0.42	260.38	39.5	2.18	460.44	37.32	511.0	7.94	69.03	5.92	2.94	9.13	320.8	251.48	246.28	285.03	2701.35	39.79	16.75	62.12	27.44	55.89	575.03	82.87	136.19	220.32	2.23	0.0	159.9	73.03	73.54	39.22	30.56
CHRDL1	417.77	1991.0	1295.13	1.36	1.46	2.84	19.11	0.41	0.88	3.41	5.02	80.57	3.76	718.08	0.0	0.0	199.85	1605.83	728.11	647.07	2351.53	3124.78	64.8	119.26	733.19	616.37	2018.8	2224.63	629.35	2537.92	2.84	0.0	0.0	91.41	249.73	4.17	79.45	9.34
CLDN11	87.03	80.01	62.56	8.92	180.02	34.02	11.73	9.56	67.12	84.63	6.52	5.28	32.59	135.24	4.62	4.46	87.65	217.27	127.0	197.09	872.1	836.53	15.34	50.98	289.02	82.87	234.57	1733.13	84.04	825.0	8.85	113.56	16.51	67.12	169.07	18.03	187.71	33.3
CLEC10A	144.01	158.79	35.25	19.53	0.0	2.01	71.5	0.8	6.46	21.16	17.9	113.56	43.32	444.72	7.17	2.03	22.59	162.14	122.64	373.81	854.13	406.31	30.78	64.34	406.31	117.6	220.32	733.19	583.07	785.88	22.26	5.15	5.36	22.75	153.34	24.81	28.24	13.93
CLIP3	256.78	1191.69	796.86	34.75	12.27	18.97	32.82	15.45	19.82	70.51	35.0	63.45	142.01	409.15	61.68	21.78	325.29	3349.13	3280.18	669.92	1030.12	1313.23	157.68	217.27	444.72	441.64	748.61	1397.83	363.56	571.05	58.71	50.98	42.41	172.65	723.08	18.29	104.42	82.29
CNRIP1	262.2	525.39	616.37	59.13	40.07	32.82	78.89	30.34	98.73	156.59	26.47	57.08	246.28	358.54	16.51	27.44	128.79	780.44	988.12	384.34	769.69	1721.16	139.07	223.41	444.72	351.14	363.56	1378.57	239.52	728.11	217.27	208.38	83.45	249.73	616.37	90.14	205.5	269.6
COL14A1	271.48	532.74	1540.37	52.45	27.05	17.13	92.7	41.52	24.46	220.32	38.95	22.26	529.06	1950.0	8.19	19.53	66.65	1340.84	954.43	612.11	2537.92	5219.6	106.63	229.72	1397.83	1159.07	1037.29	5594.3	571.05	2319.15	343.89	41.52	624.99	967.76	1008.9	607.87	483.38	190.34
CPEB1	69.03	209.84	141.02	2.27	9.2	20.11	0.51	7.22	7.4	21.32	2.05	42.71	8.85	33.3	1.62	0.73	28.45	275.28	181.28	215.77	397.93	429.54	33.06	40.36	67.59	32.82	148.09	567.1	78.89	172.65	190.34	73.54	130.6	237.86	35.0	11.3	139.07	68.55
CPED1	103.69	483.38	423.61	18.16	6.73	2.43	43.63	6.36	9.56	32.13	14.45	11.47	45.85	195.72	12.55	11.38	78.34	1781.89	1639.59	476.71	607.87	1167.14	62.12	135.24	297.17	237.86	356.05	819.3	281.09	532.74	32.82	29.91	17.77	44.25	156.59	26.47	51.35	29.27
CRTAP	2287.2	4123.49	4066.71	2935.74	2287.2	2047.0	3372.43	2018.8	4802.93	2591.27	5479.15	6250.56	2287.2	4010.71	1896.65	2075.59	1639.59	9409.14	8840.04	4512.4	6471.02	11992.79	2193.99	2400.97	4769.75	3395.89	4388.98	9540.5	2701.35	6607.01	3768.09	3665.02	2664.15	2555.58	5913.33	3257.52	2555.58	4972.34
CXCL12	1216.75	3257.52	7130.55	101.54	106.63	52.08	406.31	114.36	70.51	339.14	63.45	703.28	1733.13	2004.85	12.45	118.43	220.32	3515.68	5517.27	1467.37	4972.34	32315.87	529.06	934.76	4450.27	1259.69	1295.13	17804.06	1369.04	2682.69	647.07	836.53	301.33	1594.73	3564.78	435.55	1081.39	733.19
DCN	9409.14	23169.48	64186.29	241.19	6.89	18.84	698.41	19.53	2.71	237.86	366.09	293.07	2875.3	27553.49	466.88	339.14	1066.48	50011.46	28923.41	20030.74	52497.92	167058.21	5076.84	6516.03	29531.18	12853.63	35118.87	97288.74	9740.98	44452.21	34.02	40.07	39.22	1883.54	19214.73	343.89	915.51	420.68
DDR2	273.37	1378.57	1023.0	33.06	12.55	54.33	21.63	17.13	28.65	89.51	18.03	13.93	129.69	660.68	16.03	29.91	265.87	2400.97	1551.09	708.18	1277.29	1794.29	99.43	236.21	547.75	285.03	890.44	1685.71	224.97	733.19	209.84	158.79	204.07	102.25	450.94	94.67	242.88	111.99
ECM2	30.78	248.0	656.11	55.89	9.2	19.68	41.81	22.26	28.45	100.13	57.89	73.03	392.44	457.25	13.72	6.21	33.06	486.75	264.03	309.83	547.75	1369.04	48.52	77.79	212.78	291.04	166.73	921.88	148.09	470.14	80.01	86.43	43.63	143.01	878.17	52.08	170.25	78.89
EFS	117.6	432.53	521.76	11.38	2.01	29.48	12.45	366.09	11.47	41.52	7.17	3.47	100.83	85.22	7.46	2.76	39.5	406.31	318.57	185.11	493.56	1437.15	98.04	133.36	159.9	139.07	217.27	1340.84	201.25	316.37	35.76	24.46	18.43	229.72	158.79	14.78	40.36	38.12
EHD2	769.69	3491.39	4639.29	229.72	111.99	220.32	327.56	211.31	368.65	780.44	616.37	928.3	1617.0	1991.0	79.45	182.55	656.11	5292.48	4671.57	1909.85	3982.99	3564.78	698.41	1268.46	1427.22	1304.15	2047.0	6471.02	928.3	4210.15	575.03	802.41	271.48	1073.91	2240.11	780.44	728.11	624.99
EMP3	1151.06	3491.39	4038.61	353.59	2758.13	312.0	1135.2	287.01	486.75	743.43	1697.45	1733.13	934.76	2976.74	143.01	100.13	1096.5	4358.66	4769.75	2287.2	4869.99	7382.04	532.74	981.29	2434.5	1259.69	2090.03	8191.0	1225.22	2573.36	854.13	791.35	1208.34	995.0	3081.75	1697.45	967.76	1304.15
FAM180A	32.82	56.28	107.38	1.81	0.51	0.0	1.91	0.42	0.0	7.28	9.56	3.38	18.43	135.24	0.8	0.42	15.56	283.05	185.11	78.89	269.6	518.15	15.91	20.86	153.34	83.45	95.34	555.41	73.03	140.04	1.66	53.57	1.17	9.56	84.04	1.14	22.59	4.35
FAM180B	11.73	29.48	77.79	0.0	1.45	0.0	2.34	0.0	0.0	0.0	0.51	1.93	0.0	88.88	0.0	0.0	3.26	171.45	64.8	26.1	99.43	114.36	8.32	11.38	22.59	32.36	77.79	94.01	23.93	20.56	30.56	1.93	6.11	29.91	10.79	3.44	21.01	85.82
FBLN1	2777.33	7537.18	19892.37	84.04	25.35	85.22	384.34	37.59	26.47	141.02	248.0	58.71	460.44	12853.63	138.1	36.01	400.71	15607.02	13123.73	8598.28	39237.98	64632.75	1388.16	3168.41	23330.64	6121.9	22850.48	91404.92	5831.91	30785.28	251.48	120.94	56.28	536.45	7331.05	77.25	521.76	237.86
FBLN2	854.13	1870.53	3639.7	37.85	115.16	35.5	242.88	14.89	96.68	108.9	42.71	93.35	400.71	1757.34	2.89	8.51	159.9	3190.46	2468.49	1059.11	3901.01	4512.4	208.38	325.29	2104.58	529.06	2119.22	6471.02	493.56	2591.27	191.67	185.11	125.24	457.25	1832.01	116.78	279.14	466.88
FEZ1	314.17	934.76	878.17	28.86	29.7	31.45	1111.82	22.75	63.89	115.16	31.9	107.38	258.57	373.81	58.71	28.86	195.72	1427.22	1073.91	480.04	830.75	1498.22	90.77	183.82	301.33	248.0	392.44	1331.57	214.27	511.0	147.06	83.45	69.03	111.21	293.07	63.45	136.19	104.42
FLRT2	33.3	146.03	287.01	1.83	5.82	5.32	6.62	1.64	6.16	18.97	7.57	7.28	33.06	503.95	3.96	3.86	33.78	224.97	183.82	147.06	638.15	1417.35	38.67	20.11	256.78	75.11	127.0	1088.92	111.21	426.57	56.28	54.72	19.68	67.12	180.02	29.27	72.52	27.25
FOLR2	318.57	872.1	417.77	93.35	24.63	38.95	251.48	18.84	189.02	68.55	75.11	185.11	466.88	988.12	9.41	22.59	38.12	718.08	647.07	796.86	4123.49	642.59	182.55	251.48	1268.46	483.38	563.18	3982.99	713.11	3491.39	205.5	74.58	72.01	195.72	470.14	62.12	265.87	1051.79
FRMD6	89.51	287.01	884.29	28.86	52.45	23.76	12.18	11.55	17.25	48.52	44.89	36.27	80.57	457.25	7.75	40.93	76.71	532.74	616.37	363.56	679.29	2148.82	78.89	106.63	221.86	128.79	258.57	785.88	141.02	336.79	53.57	51.71	39.5	74.06	417.77	30.12	67.59	57.89
GAS1	96.68	555.41	1242.34	2.73	72.52	40.93	29.27	19.25	9.2	16.15	35.5	11.13	31.67	262.2	3.0	1.73	182.55	1794.29	1286.18	423.61	1350.18	2163.77	65.72	100.13	327.56	215.77	629.35	2976.74	88.26	941.27	69.52	14.24	10.71	38.4	802.41	323.03	27.05	30.12
GJC2	18.84	119.26	172.65	4.5	21.63	25.35	14.14	8.45	16.51	30.34	48.18	5.32	28.65	18.84	11.73	3.76	22.59	115.97	134.3	59.55	120.1	314.17	11.47	25.72	48.87	18.7	37.85	209.84	33.3	41.22	21.94	9.93	6.78	40.64	26.1	4.94	31.9	19.82
GPR135	13.03	98.73	38.67	1.83	1.0	8.58	2.39	2.84	1.77	9.27	14.14	11.55	18.43	24.99	26.28	10.63	21.63	127.89	120.94	36.79	46.18	47.84	11.55	20.26	32.36	10.39	33.78	50.63	13.32	46.5	16.03	11.13	50.63	24.81	24.81	9.7	20.71	8.13
GSN	13033.07	26248.46	59474.18	6037.61	6935.54	7803.01	5555.65	2895.31	8022.41	6381.92	1199.98	4066.71	8901.53	13872.08	1561.89	3190.46	6381.92	43840.21	46662.28	15285.81	43840.21	92040.7	14663.09	15499.21	19482.97	18689.27	31215.04	61999.83	11584.24	18304.63	10883.59	9540.5	4802.93	11827.67	22225.61	6652.97	9876.98	12943.04
GYPC	738.29	2520.38	3874.05	202.66	273.37	150.17	409.15	70.51	271.48	466.88	215.77	1923.14	981.29	1551.09	43.63	45.85	400.71	3146.52	2627.46	1498.22	3103.19	4769.75	329.84	718.08	1709.26	1015.93	1467.37	4869.99	819.3	2451.44	587.13	551.56	241.19	500.46	1037.29	198.47	579.04	1135.2
HOXA4	157.68	1081.39	860.08	12.0	42.11	108.9	137.14	187.71	154.42	218.79	743.43	279.14	82.87	149.12	42.41	4.24	438.59	988.12	1487.87	476.71	954.43	1721.16	123.5	167.9	283.05	212.78	273.37	1167.14	143.01	379.04	23.93	69.03	37.32	61.25	140.04	17.51	49.21	111.99
HSPB2	166.73	497.0	679.29	23.42	45.85	77.25	299.25	28.24	19.25	138.1	890.44	928.3	144.01	87.03	5.15	4.17	70.01	854.13	642.59	206.94	660.68	802.41	81.14	117.6	197.09	232.94	283.05	1073.91	115.97	441.64	191.67	138.1	40.36	193.01	223.41	108.9	116.78	195.72
IGFBP6	3419.52	4736.79	11584.24	49.21	146.03	91.41	332.14	102.97	137.14	190.34	361.04	12676.65	532.74	2664.15	46.18	30.12	713.11	13492.72	9540.5	2895.31	9025.81	12589.08	1628.26	1794.29	3257.52	3190.46	6607.01	14663.09	1477.58	5403.7	262.2	463.65	255.0	3491.39	6250.56	441.64	470.14	460.44
IGSF10	37.32	89.51	1059.11	1.31	0.46	0.39	3.23	0.0	0.84	1.43	3.92	1.89	2.56	241.19	3.2	0.67	56.28	198.47	113.56	120.1	409.15	327.56	3.76	17.77	218.79	74.58	211.31	921.88	47.17	132.44	0.0	2.71	2.03	20.86	57.08	1.41	14.56	4.5
INMT	136.19	1617.0	1378.57	35.25	30.12	46.84	166.73	4.54	130.6	114.36	49.21	53.19	255.0	470.14	4.98	6.06	220.32	1447.15	928.3	167.9	1073.91	2104.58	77.25	119.26	229.72	281.09	323.03	1628.26	187.71	583.07	108.9	251.48	156.59	273.37	890.44	104.42	325.29	186.4
