	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.E5.A2PC.01A.11R.A206.07	TCGA.AR.A0TW.01A.11R.A084.07	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W6.AA0S.01A.11R.A41I.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4730.01A.01R.1436.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.KL.8339.01A.11R.2315.07	TCGA.KL.8323.01A.21R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KO.8406.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AA3A.01A.11R.A37K.07	TCGA.ED.A82E.01A.11R.A352.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.2Y.A9H2.01A.12R.A38B.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A4NA.01A.11R.A266.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.S32W.1926.SM.4AD63	GTEX.YFC4.1526.SM.5IFJS	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZTPG.1426.SM.51MT3	GTEX.X261.1726.SM.4PQYT	GTEX.Q2AG.1126.SM.48U1P	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.XBEC.1526.SM.4AT68	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.139TU.0826.SM.5IJFG	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.132NY.0926.SM.5P9G3	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.37.4135.01A.01R.1100.07	TCGA.66.2778.01A.02R.0851.07	TCGA.BK.A139.01A.11R.A277.07
CCS	848.22	1175.27	1059.11	647.07	1175.27	1709.26	624.99	551.56	525.39	656.11	656.11	612.11	435.55	583.07	267.73	307.69	1286.18	1561.89	1313.23	1225.22	1977.24	1594.73	902.89	967.76	1794.29	1991.0	1143.1	1313.23	1467.37	2520.38	397.93	2400.97	1832.01	1437.15	1437.15	1477.58	555.41	1883.54	1819.35	1909.85	2777.33	1819.35	2209.26	2573.36	1923.14	2255.7	3235.01	1628.26	1721.16	1175.27	1662.49	1151.06	1183.45	3820.7	2816.11	2816.11	579.04	3039.3	3081.75	1757.34	1388.16	2701.35	4152.18	3060.45	1304.15	1832.01	2537.92	2915.45	1304.15	2875.3	3491.39	2485.67	3303.0	1794.29	1857.6	2178.83	0.0	0.53	543.96	563.18	293.07
CHAD	0.0	8.78	1.06	23.76	20.26	5.32	0.6	4.86	1.41	2.71	1.66	2.29	8.58	3.38	2.73	0.0	80.57	253.23	182.55	30.56	256.78	75.11	19.82	8.19	103.69	122.64	90.77	52.08	60.82	420.68	2.23	92.7	150.17	211.31	161.02	22.26	7.11	273.37	327.56	802.41	169.07	470.14	426.57	426.57	171.45	490.14	283.05	16.15	441.64	20.26	23.42	142.01	106.63	387.02	2133.97	118.43	30.78	423.61	397.93	109.66	65.26	166.73	1259.69	1119.56	31.9	56.28	373.81	674.59	90.14	260.38	1183.45	532.74	1081.39	72.52	18.97	414.87	0.0	0.44	11.13	2.01	3.08
CRP	0.0	0.0	0.0	104996.83	329517.51	307450.64	38.4	0.0	33.3	53.57	0.0	0.0	0.0	0.0	0.0	0.0	226632.25	353168.2	414208.18	279017.26	381149.17	137587.47	170568.48	434801.29	422911.59	502929.67	336441.4	153724.82	341137.96	431797.89	348306.01	531605.79	389157.95	363097.14	273275.14	350728.68	123144.13	338781.54	736332.6	386469.83	288856.81	301123.38	341137.96	517068.97	900270.11	561916.97	391864.76	378516.38	350728.68	453265.5	466008.55	450134.56	290865.98	242898.5	106462.55	520665.48	645473.24	194578.47	260332.24	450134.56	546551.29	316094.29	115696.65	294926.33	322736.12	450134.56	375901.76	193234.41	496005.67	397335.0	363097.14	322736.12	485798.0	301123.38	462789.59	527933.71	0.0	0.38	0.83	0.0	5.15
DECR2	108.14	642.59	1001.93	753.83	961.07	693.58	392.44	246.28	209.84	366.09	307.69	186.4	175.07	191.67	88.88	336.79	3847.29	3419.52	3665.02	2835.7	2133.97	1304.15	1551.09	1651.0	3257.52	4038.61	2119.22	1397.83	3372.43	4152.18	1250.98	2537.92	3901.01	2573.36	3491.39	3395.89	2367.9	3614.55	3280.18	4388.98	3419.52	3742.05	4298.64	4575.41	3589.58	3168.41	5366.37	3212.66	6652.97	4010.71	4152.18	2018.8	1159.07	6516.03	5219.6	5006.93	1977.24	5076.84	4066.71	2976.74	2384.37	5633.22	5954.47	5995.9	3235.01	3955.48	7180.15	5219.6	1417.35	3982.99	10368.08	3874.05	5041.77	3395.89	1151.06	5112.16	0.0	0.68	915.51	842.36	83.45
ECHDC2	148.09	1183.45	753.83	3901.01	1991.0	2468.49	320.8	409.15	102.25	127.89	967.76	703.28	753.83	1111.82	624.99	514.56	8078.22	5292.48	11827.67	3794.3	18560.17	1806.78	3372.43	2855.44	6792.79	11035.54	2816.11	9808.75	8963.45	13586.57	2555.58	4268.94	7230.1	9474.59	10084.54	5479.15	1519.15	7130.55	8840.04	10440.2	15392.14	10808.41	11584.24	16383.0	7280.4	14361.31	22225.61	5751.61	12676.65	4328.55	5147.73	7032.37	2835.7	15180.22	25005.23	10585.95	3564.78	18689.27	15715.58	8718.32	5403.7	13306.94	41763.8	21617.82	4869.99	10368.08	15180.22	18689.27	6699.25	14765.09	26431.04	9673.69	18560.17	7803.01	16269.83	7230.1	0.0	0.84	1331.57	934.76	1685.71
F11	0.0	0.0	0.0	51.35	25.35	31.9	1.06	0.0	0.0	1.97	7.51	0.36	0.37	0.35	12.18	0.0	1175.27	1417.35	2075.59	1135.2	2520.38	228.13	251.48	848.22	2664.15	1135.2	1199.98	435.55	1733.13	3039.3	1781.89	854.13	1051.79	1819.35	1617.0	1088.92	447.82	2537.92	6426.31	4802.93	2976.74	3564.78	3540.14	4802.93	3212.66	4512.4	5831.91	555.41	1844.76	447.82	303.44	2502.97	406.31	5112.16	12676.65	6652.97	660.68	2133.97	3540.14	1143.1	1313.23	3280.18	14163.58	6207.38	954.43	2502.97	2224.63	7280.4	575.03	3257.52	9876.98	6164.49	9215.48	4268.94	87.03	660.68	0.0	0.0	0.0	5.87	1.08
FITM1	2.76	6.01	3.29	17.9	15.45	8.71	7.06	15.68	1.68	17.77	13.72	9.41	10.88	9.27	9.63	8.19	82.87	28.24	40.36	9.13	197.09	9.41	18.16	10.16	56.68	31.0	9.48	53.95	59.97	209.84	5.45	22.75	80.57	154.42	18.16	16.63	11.82	108.14	397.93	320.8	825.0	314.17	177.53	633.73	159.9	575.03	738.29	186.4	171.45	647.07	202.66	83.45	90.14	928.3	607.87	170.25	98.73	438.59	301.33	32.13	19.97	518.15	1073.91	2032.85	86.43	253.23	226.54	813.63	100.83	395.18	389.72	444.72	651.58	88.88	64.8	579.04	0.0	0.25	4.54	6.36	0.0
HAAO	20.11	14.89	69.52	392.44	507.46	212.78	18.43	11.21	21.78	33.78	129.69	43.32	92.7	26.1	32.82	31.45	2004.85	4388.98	3060.45	1508.65	3690.52	1295.13	819.3	244.57	1111.82	2758.13	1135.2	1540.37	5403.7	5913.33	62.56	1651.0	3540.14	4607.24	2997.45	2119.22	167.9	5954.47	4239.45	6745.86	7589.61	8022.41	7382.04	4607.24	3349.13	6935.54	6294.04	361.04	8022.41	708.18	497.0	2976.74	3614.55	5219.6	13306.94	2255.7	1044.52	12160.22	4937.99	2835.7	1225.22	3716.2	9279.58	4903.87	2591.27	674.59	8022.41	7857.29	1923.14	6607.01	7966.99	8479.89	5555.65	2240.11	656.11	5329.3	0.0	0.35	172.65	87.65	15.45
HGFAC	0.0	1.23	0.0	34.26	5.82	6.78	12.36	4.46	3.11	0.52	0.72	1.2	1.64	1.19	0.44	0.0	3325.99	249.73	3467.27	620.67	2224.63	116.78	158.79	3.56	1477.58	265.87	64.34	460.44	2758.13	4095.0	9.2	532.74	118.43	2351.53	607.87	2720.15	48.18	4802.93	3467.27	2451.44	4607.24	3419.52	5711.87	6516.03	3467.27	3690.52	7803.01	102.25	5913.33	36.27	688.78	1639.59	6164.49	6887.62	13123.73	4607.24	420.68	9409.14	6337.83	316.37	647.07	1991.0	53601.03	4869.99	167.9	183.82	1088.92	11664.82	1081.39	2451.44	9673.69	6792.79	2271.4	934.76	358.54	25354.3	0.0	0.62	3.38	2.43	10.79
LCAT	43.94	82.29	8.71	195.72	624.99	708.18	124.37	58.3	102.97	242.88	19.68	72.01	63.0	76.71	36.79	8.65	1583.71	3794.3	2018.8	438.59	2178.83	429.54	500.46	301.33	2351.53	2104.58	78.34	733.19	1896.65	4358.66	343.89	1096.5	2997.45	2335.28	2384.37	2119.22	246.28	514.56	7537.18	7433.4	10084.54	8191.0	7695.57	7749.1	4481.23	8840.04	10296.45	336.79	3874.05	607.87	1111.82	9025.81	1369.04	7382.04	19214.73	6983.79	1883.54	14262.1	8421.31	3589.58	830.75	2976.74	13399.51	9945.68	2119.22	1769.57	7382.04	12244.81	2400.97	11584.24	14163.58	12329.98	15934.98	6164.49	493.56	3039.3	0.0	1.11	67.59	20.71	50.63
LIME1	20.11	124.37	117.6	293.07	198.47	361.04	64.34	155.5	47.84	31.67	23.42	25.35	28.45	56.28	32.59	12.09	759.08	3395.89	579.04	1242.34	1369.04	595.34	185.11	101.54	748.61	1127.35	223.41	679.29	728.11	3190.46	119.26	314.17	497.0	2133.97	1487.87	457.25	116.78	2255.7	2997.45	2682.69	2835.7	5872.48	3443.31	2720.15	967.76	2739.08	4388.98	309.83	3467.27	180.02	438.59	2351.53	525.39	4639.29	8778.97	1378.57	289.02	7382.04	3018.3	684.02	583.07	909.17	9151.82	3235.01	954.43	291.04	3081.75	4736.79	708.18	1794.29	3419.52	4512.4	3103.19	1111.82	460.44	1447.15	0.0	0.68	255.0	260.38	43.02
LRG1	42.41	728.11	98.73	457.25	1417.35	348.71	264.03	264.03	63.45	193.01	1.33	16.51	5.06	2.61	7.75	3.53	15075.35	9344.14	23169.48	9540.5	16045.82	2434.5	551.56	728.11	10808.41	10512.82	8658.09	1977.24	12764.83	18178.19	5006.93	3190.46	21026.65	13215.02	5831.91	4802.93	1259.69	15285.81	22225.61	29943.43	26800.01	21919.61	23492.92	29736.59	40341.14	22692.63	25005.23	17681.08	45701.96	17558.94	51062.33	63302.6	27938.14	48982.22	18560.17	54349.29	82951.62	40621.74	24660.96	38966.94	32994.92	47642.77	14971.21	53230.77	27745.15	33688.23	43236.64	11267.44	40621.74	20737.16	44761.41	33922.56	64186.29	129266.49	24832.5	50359.33	0.0	0.09	39.79	1233.75	318.57
MARC2	70.01	140.04	220.32	764.36	1051.79	351.14	105.89	7.06	9.34	130.6	674.59	599.49	708.18	698.41	780.44	1233.75	2417.67	2777.33	2502.97	1617.0	2855.44	995.0	1685.71	2720.15	2645.74	2047.0	1295.13	1427.22	2720.15	3928.15	1088.92	2240.11	1844.76	3467.27	3515.68	2816.11	660.68	3060.45	4010.71	5555.65	3467.27	4123.49	4802.93	4512.4	4210.15	4575.41	4388.98	1662.49	5751.61	1313.23	1674.06	7433.4	1001.93	2956.17	5006.93	4239.45	1216.75	5672.41	6792.79	2193.99	2240.11	3419.52	4607.24	5366.37	1950.0	3372.43	3982.99	2875.3	1757.34	4575.41	7130.55	5112.16	9540.5	3690.52	4210.15	1378.57	0.0	0.74	279.14	237.86	48.52
MST1	7.22	150.17	51.35	866.07	400.71	785.88	53.19	50.63	33.06	55.1	136.19	102.25	133.36	224.97	130.6	43.02	6840.04	7180.15	10883.59	4575.41	9540.5	6037.61	1225.22	872.1	7803.01	6516.03	3614.55	1963.57	9279.58	19348.38	218.79	6381.92	5366.37	10959.3	8901.53	6516.03	587.13	7537.18	16843.62	19618.49	14765.09	16960.78	20881.4	19618.49	15934.98	13492.72	45386.27	8963.45	56265.94	5441.3	11909.94	17927.91	8078.22	65535.0	33455.53	48307.85	22225.61	39510.91	24832.5	29531.18	6887.62	19214.73	92680.9	64186.29	2240.11	7081.29	20737.16	43537.38	52497.92	16843.62	99333.0	42054.3	60304.42	21172.91	3303.0	34396.12	0.0	1.0	287.01	121.79	106.63
NAT2	1.51	0.0	8.71	9.78	0.0	14.56	3.03	0.32	0.95	0.56	0.92	0.0	1.1	1.77	0.36	0.0	66.18	267.73	242.88	105.89	279.14	0.0	23.93	8.13	249.73	118.43	24.46	85.82	164.42	748.61	3.26	236.21	67.12	547.75	599.49	555.41	7.06	177.53	1551.09	1651.0	718.08	2417.67	1135.2	1143.1	603.67	2271.4	3467.27	2193.99	323.03	208.38	291.04	708.18	12.36	2796.65	4066.71	1617.0	2.05	6294.04	2855.44	61.25	316.37	825.0	4268.94	3395.89	214.27	1407.55	1304.15	1369.04	5.19	2287.2	1208.34	1572.76	2351.53	211.31	36.79	642.59	0.0	0.0	4.03	5.06	0.0
NR1I2	0.0	3.0	0.31	8.71	3.86	2.89	0.73	0.44	1.13	0.71	0.68	0.78	0.41	0.39	0.41	0.0	409.15	493.56	426.57	334.46	1225.22	34.26	9.2	7.34	127.0	490.14	126.12	167.9	202.66	961.07	2.81	32.36	314.17	571.05	426.57	65.26	1.81	387.02	866.07	1331.57	890.44	967.76	1127.35	713.11	624.99	1001.93	4704.07	118.43	525.39	72.01	45.21	64.8	110.43	3146.52	2434.5	441.64	0.0	954.43	836.53	32.59	463.65	1844.76	5517.27	2627.46	579.04	279.14	1359.57	3395.89	21.32	551.56	1277.29	743.43	1001.93	13.93	11.21	748.61	0.0	0.13	0.0	4.28	2.18
NR1I3	1.57	14.14	1.53	23.93	21.63	28.04	10.88	2.12	10.55	2.66	13.42	11.38	31.9	7.57	9.41	11.04	647.07	4123.49	974.5	356.05	2777.33	616.37	81.71	17.25	607.87	1936.53	1051.79	599.49	1259.69	3372.43	16.03	202.66	435.55	2434.5	521.76	273.37	43.94	2935.74	3768.09	4095.0	3103.19	4543.8	4038.61	3589.58	2193.99	4268.94	7485.11	39.79	4239.45	54.33	90.14	620.67	420.68	6381.92	12415.75	4769.75	46.84	6561.36	6745.86	417.77	493.56	2935.74	12853.63	4010.71	371.22	45.85	4607.24	3467.27	285.03	2645.74	8658.09	6037.61	6561.36	412.0	215.77	2895.31	0.0	0.17	11.04	14.45	25.72
