	TCGA.CZ.4864.01A.01R.1503.07	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.11WQC.0626.SM.5EQMF	GTEX.WFJO.0326.SM.3GIL3	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
C20orf112	190.34	51.35	166.73	656.11	417.77	346.29	312.0	258.57	312.0	85.22	301.33	198.47	221.86	624.99	249.73	825.0	116.78	629.35	262.2	1015.93	198.47	395.18	738.29	438.59	884.29	642.59	318.57	403.5	341.51	1135.2	229.72	153.34	283.05	295.11	214.27	460.44	246.28	177.53	131.51	169.07	204.07	878.17	463.65	1051.79	163.28	567.1	551.56	500.46
C9orf89	575.03	176.29	0.0	1508.65	1225.22	728.11	1407.55	1322.37	713.11	1159.07	684.02	1044.52	612.11	1605.83	1313.23	1457.23	470.14	1407.55	728.11	1175.27	454.09	603.67	2664.15	1487.87	2835.7	1378.57	1199.98	1685.71	1295.13	2287.2	607.87	493.56	825.0	1008.9	728.11	1572.76	679.29	507.46	381.68	486.75	395.18	1369.04	2287.2	1923.14	1066.48	1806.78	1304.15	1605.83
CARHSP1	2591.27	1832.01	0.0	4769.75	3303.0	2384.37	2555.58	3589.58	2178.83	1457.23	1378.57	3395.89	2520.38	3768.09	3257.52	9474.59	1001.93	5831.91	1304.15	6516.03	1857.6	2351.53	5292.48	3589.58	12502.12	3982.99	1662.49	3665.02	4010.71	11745.96	1794.29	866.07	1909.85	1832.01	1594.73	4972.34	1977.24	1605.83	2104.58	1216.75	1208.34	4972.34	2758.13	7130.55	1151.06	4388.98	2193.99	4123.49
CD74	329517.51	16383.0	0.0	147462.67	253213.41	527933.71	726195.27	1196176.45	502929.67	682276.92	585779.24	338781.54	619179.28	419990.32	391864.76	92680.9	244588.0	394590.4	757033.75	358098.26	313910.86	269512.87	1019901.63	414208.18	932018.1	154794.07	459592.86	1503610.06	450134.56	135693.24	453265.5	358098.26	1229805.58	649962.87	437825.58	741454.2	513497.31	554180.87	610654.84	550352.86	336441.4	593956.43	345900.08	375901.76	1877002.62	636586.81	1196176.45	531605.79
CDC34	808.0	775.05	3614.55	1498.22	1225.22	934.76	1605.83	1143.1	1216.75	961.07	1008.9	1037.29	607.87	1407.55	1001.93	1651.0	500.46	1225.22	708.18	1662.49	1127.35	866.07	1369.04	1191.69	3060.45	2400.97	934.76	947.83	1127.35	1685.71	688.78	708.18	1199.98	738.29	500.46	1277.29	1073.91	669.92	567.1	902.89	412.0	1233.75	1437.15	1519.15	1088.92	1359.57	1066.48	1119.56
CHMP4B	2956.17	1388.16	0.0	4769.75	3395.89	1977.24	7331.05	5366.37	2645.74	5255.91	2664.15	2777.33	2796.65	3847.29	4419.52	3665.02	2956.17	3280.18	2555.58	8305.36	2796.65	2271.4	5479.15	2701.35	11504.21	4481.23	1883.54	4358.66	4152.18	6207.38	2537.92	3168.41	4095.0	5517.27	2417.67	4066.71	3665.02	2287.2	2645.74	2591.27	1936.53	5076.84	8479.89	10512.82	3124.78	7749.1	5076.84	8840.04
CSF1	693.58	249.73	0.0	1540.37	1477.58	769.69	1388.16	2796.65	500.46	679.29	1044.52	1225.22	571.05	1781.89	1477.58	5219.6	287.01	5672.41	693.58	4358.66	764.36	791.35	4268.94	2209.26	10440.2	2255.7	981.29	1331.57	2400.97	5329.3	780.44	262.2	1477.58	941.27	591.22	2855.44	947.83	429.54	842.36	447.82	429.54	2400.97	3847.29	4123.49	684.02	4671.57	1540.37	4639.29
CSNK2B	4512.4	4512.4	0.0	7642.41	7966.99	4239.45	8191.0	6164.49	2976.74	5147.73	4298.64	3564.78	3794.3	4575.41	7433.4	5292.48	2335.28	3982.99	3768.09	7280.4	4123.49	2997.45	4769.75	5711.87	19618.49	7280.4	5517.27	6561.36	5441.3	5711.87	4066.71	3742.05	6207.38	5441.3	4388.98	6561.36	5479.15	2855.44	5183.54	4066.71	2434.5	6079.61	8022.41	10014.87	4972.34	7032.37	5255.91	6699.25
DLGAP4	954.43	281.09	0.0	2701.35	1407.55	941.27	1233.75	1037.29	1304.15	802.41	1127.35	1268.46	954.43	2351.53	1909.85	2895.31	785.88	2384.37	775.05	2451.44	1551.09	1594.73	2555.58	2434.5	3716.2	2502.97	1639.59	2032.85	1806.78	4298.64	890.44	669.92	1225.22	928.3	656.11	1407.55	1286.18	1081.39	620.67	693.58	764.36	2997.45	3395.89	3212.66	713.11	2090.03	1936.53	1781.89
DOCK6	769.69	151.22	0.0	2209.26	2573.36	1088.92	921.88	674.59	1008.9	473.41	988.12	1561.89	830.75	2271.4	1551.09	5112.16	493.56	2209.26	497.0	2240.11	1662.49	1277.29	2104.58	2520.38	3235.01	2701.35	961.07	1572.76	2163.77	5041.77	1167.14	460.44	1143.1	813.63	1066.48	1806.78	1143.1	595.34	679.29	555.41	896.64	1551.09	2739.08	2816.11	1023.0	1397.83	1340.84	1757.34
DOT1L	224.97	47.5	0.0	674.59	228.13	190.34	384.34	265.87	279.14	111.21	190.34	139.07	341.51	665.29	279.14	854.13	256.78	389.72	178.77	947.83	232.94	295.11	693.58	392.44	836.53	607.87	246.28	403.5	473.41	1378.57	157.68	217.27	327.56	267.73	120.1	371.22	212.78	269.6	82.29	218.79	215.77	830.75	764.36	1143.1	147.06	518.15	409.15	473.41
DYRK2	281.09	68.55	0.0	500.46	447.82	183.82	273.37	195.72	193.01	269.6	303.44	267.73	113.56	376.41	256.78	624.99	99.43	414.87	312.0	264.03	371.22	221.86	373.81	426.57	417.77	412.0	356.05	241.19	438.59	563.18	173.85	109.66	435.55	239.52	206.94	281.09	224.97	204.07	94.01	97.36	180.02	289.02	334.46	406.31	169.07	361.04	312.0	241.19
EPHA2	241.19	181.28	0.0	1832.01	738.29	1088.92	723.08	438.59	665.29	127.0	208.38	155.5	343.89	1001.93	397.93	3212.66	329.84	2271.4	941.27	6471.02	140.04	743.43	2090.03	518.15	3303.0	1233.75	511.0	575.03	438.59	2520.38	403.5	567.1	521.76	1001.93	100.83	1044.52	356.05	583.07	460.44	1225.22	332.14	2591.27	1674.06	3742.05	796.86	1551.09	511.0	3372.43
GATAD2A	616.37	379.04	0.0	2796.65	878.17	525.39	974.5	967.76	723.08	473.41	507.46	603.67	848.22	1277.29	1143.1	1322.37	384.34	1233.75	483.38	2148.82	575.03	457.25	1819.35	988.12	2178.83	1111.82	954.43	1733.13	1135.2	2303.12	493.56	547.75	872.1	1001.93	307.69	1216.75	529.06	620.67	305.55	400.71	483.38	1832.01	1277.29	3280.18	775.05	1651.0	1477.58	1427.22
GIMAP4	2537.92	660.68	0.0	10014.87	8963.45	2434.5	2271.4	1369.04	2178.83	1030.12	3303.0	4239.45	2133.97	5147.73	2224.63	8305.36	1487.87	2351.53	2178.83	6426.31	4802.93	2090.03	7032.37	2796.65	14163.58	6037.61	2335.28	4038.61	7857.29	2935.74	1991.0	1119.56	1651.0	1896.65	2287.2	3639.7	2075.59	1225.22	2163.77	961.07	2855.44	8363.13	7642.41	14663.09	909.17	11345.82	5751.61	4038.61
GIT1	743.43	84.63	665.29	1127.35	1015.93	743.43	878.17	497.0	819.3	255.0	612.11	674.59	1242.34	1167.14	836.53	2032.85	387.02	1605.83	583.07	1819.35	420.68	693.58	1313.23	860.08	2664.15	1350.18	674.59	1008.9	1159.07	1832.01	612.11	429.54	567.1	543.96	400.71	1096.5	587.13	723.08	316.37	457.25	825.0	1175.27	1259.69	1896.65	748.61	988.12	1447.15	1199.98
GLIS2	708.18	36.79	0.0	1208.34	733.19	318.57	555.41	327.56	591.22	176.29	384.34	842.36	607.87	1313.23	796.86	1733.13	248.0	1159.07	181.28	1923.14	718.08	429.54	2032.85	2047.0	3349.13	1331.57	209.84	796.86	2193.99	2739.08	289.02	172.65	633.73	353.59	262.2	753.83	514.56	470.14	241.19	269.6	214.27	1216.75	2384.37	2537.92	166.73	2018.8	802.41	1233.75
GNB2	3716.2	2163.77	0.0	6337.83	5751.61	4802.93	10440.2	9808.75	6121.9	5594.3	4038.61	4358.66	8363.13	8421.31	9474.59	6250.56	4038.61	7537.18	3742.05	9606.86	3419.52	4268.94	10733.74	9151.82	22535.88	12160.22	4152.18	7803.01	10296.45	14663.09	3901.01	4736.79	6935.54	6037.61	2895.31	7331.05	5219.6	5995.9	5441.3	5255.91	2739.08	8247.98	8658.09	7589.61	5329.3	14461.21	7642.41	11189.6
GNL1	1304.15	305.55	1225.22	2485.67	1794.29	1397.83	1806.78	1923.14	1540.37	981.29	1199.98	1498.22	1417.35	2895.31	1745.2	2468.49	995.0	2319.15	1268.46	3847.29	1159.07	1605.83	2178.83	2148.82	4671.57	2451.44	1819.35	1709.26	2271.4	3168.41	1119.56	1059.11	1832.01	1477.58	1242.34	2287.2	1259.69	1268.46	1127.35	934.76	1191.69	2956.17	2104.58	2976.74	1277.29	2485.67	1832.01	2224.63
HES4	273.37	3.59	0.0	808.0	234.57	215.77	473.41	220.32	187.71	147.06	104.42	212.78	128.79	389.72	202.66	358.54	57.08	312.0	108.9	738.29	166.73	102.25	633.73	587.13	830.75	490.14	186.4	305.55	500.46	432.53	96.68	137.14	224.97	291.04	59.97	224.97	161.02	80.01	42.11	77.79	40.64	273.37	743.43	438.59	191.67	295.11	334.46	967.76
HMBOX1	429.54	86.43	0.0	1159.07	981.29	525.39	414.87	493.56	454.09	287.01	426.57	674.59	518.15	1051.79	460.44	2895.31	242.88	1369.04	368.65	866.07	607.87	559.28	1313.23	974.5	1104.13	1175.27	444.72	376.41	1044.52	1769.57	507.46	307.69	497.0	307.69	358.54	884.29	607.87	318.57	318.57	314.17	476.71	473.41	1208.34	921.88	432.53	764.36	595.34	872.1
HSF1	1467.37	409.15	0.0	3235.01	1991.0	1119.56	2104.58	1857.6	1378.57	1104.13	1617.0	1561.89	1662.49	2367.9	1709.26	3467.27	947.83	2895.31	1397.83	3372.43	1286.18	1477.58	4210.15	2875.3	6079.61	2255.7	2367.9	2701.35	2555.58	3768.09	1331.57	1151.06	1781.89	1857.6	764.36	2664.15	1135.2	1313.23	860.08	1437.15	921.88	2796.65	2451.44	3303.0	2271.4	2319.15	1963.57	3146.52
IFRD2	616.37	902.89	0.0	1066.48	974.5	1151.06	1322.37	1857.6	988.12	743.43	1225.22	490.14	1119.56	1151.06	1331.57	1127.35	1216.75	1088.92	813.63	1498.22	397.93	551.56	1313.23	1023.0	2335.28	1233.75	1073.91	1015.93	1111.82	1991.0	1216.75	1088.92	884.29	1268.46	503.95	1030.12	647.07	825.0	1051.79	1286.18	842.36	1359.57	1457.23	1477.58	753.83	1151.06	967.76	1066.48
IGF2BP2	8.99	10.08	0.0	1733.13	412.0	68.07	825.0	231.32	151.22	79.45	35.76	161.02	124.37	896.64	583.07	2777.33	84.63	540.19	73.03	1359.57	144.01	145.02	896.64	277.2	3280.18	674.59	178.77	540.19	226.54	2701.35	57.08	64.34	275.28	723.08	155.5	358.54	129.69	98.73	23.76	36.27	111.99	718.08	507.46	4298.64	258.57	748.61	860.08	872.1
IL15RA	525.39	293.07	0.0	2351.53	1030.12	454.09	1529.73	1674.06	665.29	1001.93	660.68	825.0	656.11	1286.18	1191.69	4066.71	400.71	1437.15	490.14	5006.93	559.28	934.76	2835.7	2796.65	5711.87	2609.3	1023.0	1923.14	1295.13	6164.49	460.44	309.83	728.11	1457.23	444.72	2032.85	511.0	514.56	543.96	543.96	684.02	2351.53	3491.39	3690.52	780.44	2835.7	1540.37	3039.3
IRAK2	123.5	156.59	0.0	429.54	148.09	61.68	260.38	139.07	89.51	137.14	60.39	68.55	114.36	224.97	139.07	607.87	33.06	356.05	46.18	713.11	63.89	72.52	547.75	127.89	688.78	318.57	123.5	172.65	181.28	733.19	58.3	25.17	115.16	251.48	46.5	363.56	60.39	42.11	64.34	31.9	85.82	343.89	693.58	896.64	155.5	384.34	251.48	599.49
IRF2	1008.9	476.71	503.95	1369.04	1388.16	872.1	1008.9	909.17	995.0	878.17	1104.13	1119.56	748.61	1096.5	825.0	1909.85	698.41	1268.46	780.44	915.51	1127.35	1199.98	1950.0	947.83	1806.78	1467.37	780.44	642.59	1159.07	1794.29	848.22	896.64	693.58	1127.35	860.08	1044.52	1037.29	713.11	884.29	718.08	872.1	1277.29	2061.24	1639.59	571.05	1529.73	830.75	1037.29
IRGQ	134.3	46.84	47.5	299.25	269.6	151.22	258.57	314.17	173.85	187.71	140.04	147.06	156.59	417.77	332.14	409.15	149.12	351.14	147.06	493.56	90.77	189.02	583.07	368.65	470.14	363.56	147.06	241.19	316.37	738.29	141.02	119.26	224.97	275.28	111.99	476.71	154.42	145.02	175.07	144.01	155.5	242.88	438.59	351.14	273.37	285.03	265.87	480.04
KLF16	147.06	63.45	0.0	316.37	152.28	275.28	211.31	503.95	253.23	194.36	89.51	135.24	224.97	463.65	224.97	305.55	112.77	351.14	138.1	571.05	80.01	119.26	289.02	540.19	559.28	312.0	212.78	285.03	339.14	595.34	226.54	135.24	149.12	316.37	94.67	234.57	152.28	170.25	120.94	182.55	145.02	289.02	239.52	551.56	177.53	297.17	244.57	165.57
LMO2	860.08	244.57	0.0	3639.7	2682.69	1561.89	1397.83	769.69	665.29	291.04	567.1	2271.4	1059.11	2255.7	780.44	3060.45	567.1	1286.18	612.11	8840.04	3419.52	713.11	2573.36	2047.0	6207.38	2609.3	318.57	1259.69	2335.28	6471.02	1359.57	642.59	1651.0	890.44	1551.09	1721.16	2434.5	480.04	2075.59	555.41	902.89	2335.28	3190.46	5292.48	995.0	3443.31	2148.82	5183.54
LRRC32	1104.13	320.8	0.0	8718.32	3257.52	1286.18	1617.0	3639.7	3665.02	1081.39	1175.27	2956.17	2004.85	2796.65	4095.0	8421.31	2335.28	3280.18	518.15	17804.06	4066.71	2835.7	6426.31	2835.7	16843.62	2739.08	1806.78	5954.47	2758.13	14867.79	890.44	830.75	1159.07	3564.78	1023.0	4543.8	2148.82	941.27	1127.35	764.36	1794.29	7642.41	6381.92	7642.41	713.11	5403.7	2935.74	13033.07
MAD2L2	327.56	289.02	1233.75	921.88	599.49	616.37	884.29	909.17	629.35	780.44	387.02	612.11	466.88	915.51	1268.46	1259.69	279.14	1051.79	450.94	1447.15	339.14	293.07	1081.39	1199.98	2351.53	902.89	813.63	813.63	1008.9	1733.13	379.04	287.01	660.68	633.73	575.03	902.89	343.89	332.14	567.1	346.29	241.19	785.88	1277.29	896.64	603.67	1081.39	629.35	1467.37
MAFG	279.14	34.75	172.65	921.88	417.77	293.07	397.93	525.39	341.51	215.77	159.9	190.34	353.59	872.1	409.15	1081.39	208.38	830.75	214.27	723.08	62.56	178.77	1437.15	435.55	884.29	307.69	183.82	343.89	583.07	961.07	195.72	217.27	281.09	423.61	119.26	884.29	157.68	249.73	166.73	281.09	281.09	432.53	660.68	1617.0	307.69	547.75	514.56	669.92
MED15	1111.82	173.85	1519.15	2090.03	1883.54	1794.29	2104.58	1250.98	1331.57	1529.73	1870.53	1322.37	1295.13	2224.63	1950.0	2367.9	660.68	2319.15	1832.01	2835.7	1199.98	1397.83	4038.61	2502.97	4388.98	2627.46	2976.74	1781.89	2367.9	4639.29	1540.37	1191.69	2255.7	1529.73	1008.9	2351.53	1617.0	1216.75	559.28	1477.58	713.11	2351.53	3564.78	2573.36	1551.09	2520.38	1697.45	2537.92
MPRIP	1639.59	532.74	830.75	3589.58	3467.27	2133.97	2573.36	2701.35	2335.28	2287.2	2148.82	2739.08	2701.35	4671.57	8538.88	4419.52	1923.14	3665.02	2664.15	6426.31	2335.28	2351.53	5403.7	3874.05	4903.87	3982.99	2451.44	3690.52	4388.98	7280.4	2119.22	1651.0	2555.58	3349.13	902.89	2502.97	2119.22	2796.65	3716.2	2032.85	1697.45	4152.18	7749.1	8191.0	1991.0	4152.18	3303.0	3901.01
MRGBP	260.38	107.38	0.0	454.09	525.39	273.37	358.54	215.77	318.57	142.01	312.0	387.02	234.57	633.73	241.19	651.58	141.02	381.68	277.2	309.83	183.82	228.13	543.96	301.33	466.88	493.56	339.14	218.79	295.11	480.04	241.19	232.94	143.01	120.1	269.6	202.66	262.2	106.63	202.66	260.38	241.19	426.57	493.56	507.46	202.66	414.87	231.32	185.11
NFKB2	1119.56	197.09	0.0	1923.14	981.29	928.3	1111.82	1008.9	878.17	954.43	1044.52	848.22	373.81	1437.15	1066.48	3349.13	409.15	1617.0	555.41	2133.97	595.34	854.13	3257.52	1781.89	2976.74	1369.04	1199.98	1359.57	1674.06	5006.93	638.15	299.25	981.29	941.27	759.08	1757.34	791.35	325.29	450.94	314.17	305.55	1651.0	1674.06	1709.26	660.68	1540.37	967.76	4038.61
NOTCH1	253.23	81.14	0.0	995.0	318.57	759.08	346.29	156.59	591.22	35.0	212.78	651.58	836.53	947.83	283.05	2875.3	429.54	802.41	255.0	1242.34	312.0	567.1	934.76	297.17	1268.46	775.05	202.66	269.6	414.87	2319.15	373.81	656.11	417.77	116.78	152.28	447.82	314.17	947.83	123.5	1096.5	358.54	583.07	555.41	2104.58	155.5	470.14	384.34	450.94
NTMT1	540.19	444.72	0.0	896.64	571.05	518.15	728.11	1259.69	551.56	642.59	429.54	521.76	414.87	723.08	1250.98	909.17	454.09	748.61	483.38	878.17	332.14	457.25	791.35	599.49	1529.73	473.41	872.1	669.92	866.07	1143.1	529.06	438.59	480.04	417.77	379.04	511.0	490.14	429.54	595.34	587.13	397.93	808.0	1051.79	1378.57	361.04	1127.35	444.72	603.67
NUAK2	156.59	67.59	178.77	432.53	277.2	400.71	162.14	90.77	111.99	82.87	172.65	88.88	89.51	287.01	185.11	1051.79	134.3	607.87	119.26	1896.65	128.79	79.45	698.41	466.88	1662.49	212.78	146.03	417.77	283.05	1183.45	135.24	100.13	226.54	579.04	100.83	599.49	90.14	120.1	182.55	151.22	89.51	529.06	1369.04	1111.82	131.51	595.34	314.17	1135.2
OAZ2	3280.18	1437.15	1350.18	3589.58	3564.78	2417.67	3018.3	2367.9	2502.97	3060.45	2682.69	3564.78	2090.03	3742.05	2758.13	4358.66	2119.22	2915.45	2047.0	3690.52	2855.44	2758.13	3614.55	2915.45	3928.15	4450.27	2075.59	2875.3	3540.14	3901.01	1883.54	1639.59	2701.35	2209.26	2875.3	3212.66	3018.3	1639.59	3103.19	1806.78	2018.8	3190.46	3540.14	4972.34	1757.34	3039.3	2537.92	3639.7
OVGP1	38.95	64.34	0.0	89.51	111.99	51.71	183.82	57.89	20.71	40.07	83.45	31.22	25.91	144.01	70.01	202.66	18.7	82.87	55.89	108.14	37.59	34.75	204.07	74.06	237.86	117.6	128.79	81.14	71.5	429.54	15.56	21.63	104.42	138.1	53.95	127.89	43.94	11.82	28.86	21.01	29.27	41.22	206.94	176.29	171.45	100.13	64.8	143.01
PDE9A	361.04	117.6	0.0	493.56	791.35	234.57	587.13	312.0	214.27	156.59	256.78	366.09	146.03	299.25	379.04	1950.0	166.73	136.19	356.05	423.61	211.31	281.09	466.88	620.67	988.12	1008.9	94.01	366.09	624.99	954.43	181.28	120.1	693.58	215.77	149.12	305.55	356.05	60.39	239.52	189.02	120.94	450.94	1208.34	620.67	454.09	336.79	356.05	1340.84
