	TCGA.DK.A2I2.01A.11R.A180.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.C8.A3M7.01A.12R.A21T.07	TCGA.DS.A3LQ.01A.21R.A21T.07	TCGA.VS.A9UU.01A.11R.A42T.07	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A8NH.01A.11R.A37I.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.CN.6988.01A.11R.1915.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.F7.A61V.01A.11R.A28V.07	TCGA.CN.A641.01A.11R.A30B.07	TCGA.CV.7250.01A.11R.2016.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.CJ.4882.01A.02R.1426.07	GTEX.13CF3.0426.SM.5IJEU	GTEX.12WSL.2126.SM.5GCNG
PDGFD	33.3	540.19	540.19	733.19	16.75	2.03	5.87	33.06	4.43	7.11	77.79	1.58	11.55	1.87	9.13	8.78	23.59	8.99	674.59	493.56	34.51	60.82
PI3	581732.96	16.15	16.15	131.51	450134.56	527933.71	443937.41	682276.92	2864793.06	3454390.1	932018.1	5272295.22	531605.79	1903204.61	139508.13	1070607.81	207103.59	706337.4	90.77	389.72	2442622.37	2326934.84
PLVAP	1233.75	2224.63	2224.63	8022.41	1540.37	339.14	890.44	2075.59	366.09	1322.37	5954.47	389.72	684.02	500.46	802.41	1127.35	629.35	339.14	23009.42	14065.74	2303.12	1295.13
PODXL	271.48	718.08	718.08	1977.24	214.27	67.59	327.56	684.02	81.71	218.79	872.1	97.36	99.43	58.3	161.02	143.01	156.59	34.51	3168.41	1685.71	878.17	555.41
RAMP2	591.22	2119.22	2119.22	3515.68	934.76	368.65	638.15	769.69	194.36	743.43	2520.38	271.48	166.73	163.28	293.07	244.57	289.02	76.17	5112.16	3589.58	1594.73	277.2
RAP1B	2573.36	2367.9	2367.9	3303.0	2555.58	1674.06	2875.3	2976.74	20593.91	2367.9	3103.19	1844.76	1651.0	1605.83	1674.06	2061.24	1561.89	1427.22	3443.31	2935.74	3060.45	1605.83
RP2	148.09	145.02	145.02	258.57	152.28	64.34	102.97	204.07	91.41	205.5	271.48	73.03	82.29	102.25	72.01	120.1	121.79	80.01	356.05	214.27	336.79	148.09
SHE	15.45	125.24	125.24	397.93	29.7	14.24	30.78	48.52	23.93	90.14	98.73	59.97	14.89	8.78	13.52	20.41	10.96	3.11	291.04	158.79	191.67	31.22
STARD8	19.25	98.73	98.73	199.85	27.44	9.7	40.07	50.63	9.63	26.47	126.12	26.47	9.85	17.0	15.22	23.08	11.38	8.45	348.71	186.4	140.04	30.12
SYT11	55.89	190.34	190.34	327.56	57.49	15.34	75.64	73.03	15.8	37.05	137.14	21.16	17.9	15.34	21.78	18.43	24.99	15.0	358.54	255.0	137.14	22.26
SYTL2	87.65	297.17	297.17	2224.63	99.43	72.52	48.18	148.09	66.18	37.85	205.5	102.25	67.59	60.39	44.89	38.4	41.22	41.22	1216.75	1183.45	112.77	88.26
TACR1	5.11	15.11	15.11	50.98	5.87	2.71	4.78	9.78	2.16	12.18	12.09	25.91	1.99	0.0	2.14	4.17	3.06	0.46	21.16	20.11	20.11	5.54
TIE1	237.86	384.34	384.34	1059.11	158.79	23.76	234.57	228.13	67.12	164.42	540.19	107.38	72.52	59.13	84.04	77.25	110.43	16.75	2018.8	1096.5	387.02	218.79
TMEM133	48.18	56.28	56.28	125.24	48.18	28.45	19.68	83.45	41.52	28.65	68.55	9.56	11.13	24.28	33.78	24.81	25.91	14.03	334.46	361.04	60.82	6.01
USHBP1	21.16	59.13	59.13	269.6	23.08	7.94	17.9	63.0	22.75	27.05	98.73	29.91	11.91	8.85	12.18	13.72	11.04	3.5	214.27	191.67	131.51	25.54
VNN2	29.27	59.97	59.97	102.97	17.51	14.14	15.22	53.95	12.0	16.75	88.26	3.86	14.14	48.87	12.09	41.52	12.64	1.93	178.77	733.19	1313.23	41.52
ZBED3	41.22	231.32	231.32	123.5	53.95	15.0	24.81	75.64	28.24	21.47	37.59	18.43	6.89	6.36	9.27	12.64	32.82	11.21	256.78	194.36	100.83	33.06
