	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.AACS.01A.11R.A41C.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.3K.AAZ8.01A.12R.A39D.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH
C16orf91	599.49	438.59	457.25	497.0	271.48	387.02	503.95	305.55	642.59	454.09	629.35	521.76	529.06	525.39	518.15	334.46	454.09	314.17	420.68	351.14	339.14	974.5	323.03	417.77	435.55	1313.23	476.71	204.07	251.48	379.04	226.54	228.13	293.07	287.01	339.14	201.25	351.14	181.28	289.02	242.88	206.94	187.71	265.87	145.02	249.73	301.33	291.04	258.57	248.0	316.37	277.2	283.05	248.0	159.9	181.28	189.02	223.41	234.57
CAP2	176.29	403.5	890.44	144.01	480.04	454.09	180.02	674.59	267.73	473.41	555.41	884.29	603.67	289.02	305.55	231.32	186.4	289.02	137.14	738.29	514.56	500.46	281.09	353.59	343.89	241.19	356.05	71.5	32.36	106.63	150.17	45.21	56.68	70.01	29.27	41.22	58.71	24.63	66.65	21.78	67.12	37.59	56.68	20.86	21.32	53.95	46.5	79.45	29.7	137.14	23.42	39.79	64.34	36.79	59.13	41.52	56.28	40.64
CCT3	6426.31	8479.89	11827.67	5672.41	6121.9	5672.41	11424.74	5479.15	7485.11	11664.82	3716.2	6745.86	6840.04	7180.15	14971.21	4937.99	4066.71	6207.38	5517.27	13776.25	9151.82	6294.04	5995.9	2796.65	12943.04	11189.6	6652.97	1721.16	2555.58	2434.5	1572.76	1757.34	2148.82	1832.01	1769.57	1397.83	2537.92	1340.84	2367.9	2384.37	2956.17	1561.89	1936.53	2004.85	1950.0	1832.01	1697.45	1819.35	1674.06	2976.74	1963.57	2502.97	1487.87	1896.65	1651.0	2271.4	2193.99	2061.24
CD99L2	1529.73	470.14	1008.9	1081.39	1417.35	1066.48	1313.23	941.27	1295.13	1674.06	1721.16	1295.13	1437.15	1427.22	2163.77	1427.22	872.1	902.89	1508.65	1350.18	836.53	1870.53	1143.1	2720.15	1143.1	1769.57	1191.69	1111.82	514.56	738.29	559.28	414.87	854.13	381.68	420.68	447.82	212.78	291.04	1183.45	674.59	974.5	406.31	500.46	575.03	457.25	466.88	473.41	500.46	665.29	511.0	287.01	181.28	540.19	429.54	679.29	165.57	351.14	435.55
COMMD5	583.07	1674.06	1605.83	872.1	1794.29	1268.46	1883.54	579.04	1397.83	902.89	647.07	599.49	967.76	1605.83	848.22	470.14	764.36	718.08	1233.75	1059.11	2240.11	785.88	1030.12	785.88	1477.58	1127.35	909.17	343.89	397.93	500.46	334.46	426.57	435.55	283.05	299.25	316.37	536.45	285.03	234.57	363.56	567.1	450.94	253.23	178.77	368.65	540.19	447.82	389.72	366.09	693.58	567.1	356.05	444.72	366.09	215.77	226.54	361.04	435.55
CTSA	11909.94	7032.37	10225.32	3257.52	22380.2	4972.34	11345.82	4972.34	8305.36	9876.98	4095.0	7382.04	4972.34	10014.87	16157.44	4298.64	3060.45	8363.13	11035.54	4836.35	12244.81	8778.97	8901.53	9474.59	10585.95	12244.81	2997.45	1733.13	3665.02	1950.0	2417.67	1936.53	1159.07	2303.12	2163.77	2090.03	2537.92	2335.28	2351.53	1769.57	2796.65	2303.12	1745.2	2627.46	2178.83	1819.35	3467.27	2609.3	2178.83	3794.3	3280.18	2451.44	2875.3	2855.44	2319.15	1183.45	1819.35	1540.37
CTSD	52135.28	37379.55	39510.91	18689.27	90773.53	31650.8	21320.18	57448.23	26986.43	74760.09	34396.12	34635.37	35363.15	37121.34	32540.65	18819.27	17558.94	27745.15	34876.28	24490.61	48643.87	38697.77	31650.8	38697.77	50011.46	46662.28	26986.43	20451.65	24321.43	16045.82	13872.08	8363.13	9945.68	10014.87	16383.0	8840.04	21919.61	9474.59	18431.96	9409.14	18178.19	17804.06	10440.2	18950.18	12853.63	9474.59	20170.07	16960.78	9279.58	32767.0	32092.64	18431.96	14065.74	10512.82	10296.45	11504.21	8247.98	10733.74
CYB5R1	2018.8	2303.12	2758.13	1369.04	3146.52	2133.97	2319.15	2255.7	2537.92	3419.52	2303.12	1216.75	1896.65	1674.06	2796.65	1628.26	1322.37	1457.23	2271.4	3372.43	3349.13	4010.71	1662.49	2816.11	3515.68	4972.34	1909.85	718.08	890.44	896.64	764.36	583.07	808.0	825.0	1183.45	981.29	915.51	896.64	967.76	842.36	1088.92	1059.11	995.0	1242.34	748.61	642.59	1540.37	896.64	536.45	1073.91	1037.29	769.69	1151.06	759.08	723.08	684.02	866.07	698.41
DAP3	4298.64	4671.57	5329.3	3589.58	2758.13	2997.45	5329.3	4512.4	4450.27	5441.3	3257.52	3768.09	5041.77	3419.52	7642.41	3901.01	2682.69	3901.01	3794.3	5913.33	4607.24	7695.57	2573.36	5041.77	7749.1	6699.25	3372.43	1467.37	1832.01	1781.89	1030.12	1540.37	1721.16	1508.65	1923.14	1191.69	1583.71	1378.57	1870.53	1551.09	2047.0	1208.34	1268.46	1745.2	1529.73	1594.73	1183.45	1617.0	1322.37	1883.54	1457.23	2032.85	1794.29	1963.57	1617.0	1487.87	1508.65	1359.57
DGKQ	197.09	341.51	175.07	206.94	260.38	140.04	187.71	264.03	232.94	234.57	85.82	128.79	301.33	226.54	127.0	226.54	163.28	191.67	191.67	271.48	187.71	193.01	256.78	289.02	155.5	249.73	199.85	73.54	65.72	64.34	40.07	115.97	74.58	64.34	62.12	62.56	32.36	39.22	74.06	92.05	92.7	54.33	82.29	40.07	63.45	73.03	39.79	80.57	136.19	45.53	44.25	44.57	55.89	43.63	61.68	49.91	62.12	56.28
FAM134A	2451.44	2664.15	2287.2	2018.8	3168.41	2417.67	1923.14	2367.9	2935.74	2835.7	2451.44	2915.45	1806.78	2224.63	2148.82	2193.99	1909.85	1870.53	2178.83	2335.28	2591.27	3212.66	1806.78	2591.27	2664.15	2319.15	1806.78	2133.97	1322.37	1674.06	1870.53	1447.15	1674.06	1467.37	2163.77	1605.83	1350.18	1407.55	1769.57	1674.06	2004.85	1991.0	1477.58	1883.54	1605.83	1388.16	2133.97	1583.71	1781.89	1794.29	1135.2	848.22	1662.49	1498.22	1151.06	947.83	1529.73	1388.16
FAM203A	624.99	2417.67	2739.08	507.46	1508.65	1081.39	2367.9	486.75	1369.04	1030.12	518.15	703.28	967.76	2796.65	1104.13	417.77	967.76	819.3	1508.65	1447.15	2193.99	872.1	1175.27	1066.48	2240.11	511.0	954.43	316.37	336.79	353.59	438.59	185.11	629.35	363.56	277.2	256.78	161.02	287.01	327.56	579.04	343.89	244.57	265.87	167.9	457.25	785.88	312.0	265.87	674.59	429.54	318.57	283.05	271.48	373.81	356.05	275.28	334.46	480.04
FAM86A	503.95	406.31	463.65	368.65	267.73	228.13	466.88	336.79	698.41	351.14	295.11	563.18	599.49	392.44	363.56	307.69	218.79	351.14	237.86	473.41	368.65	497.0	265.87	295.11	320.8	651.58	486.75	84.63	120.1	217.27	76.71	186.4	177.53	119.26	150.17	94.67	148.09	77.25	142.01	164.42	133.36	127.89	108.9	111.21	181.28	167.9	86.43	124.37	141.02	234.57	131.51	152.28	142.01	128.79	132.44	131.51	131.51	159.9
FEN1	318.57	356.05	620.67	1583.71	583.07	260.38	389.72	251.48	728.11	1721.16	275.28	915.51	271.48	195.72	759.08	289.02	234.57	307.69	258.57	323.03	301.33	769.69	395.18	371.22	529.06	420.68	242.88	87.03	105.89	199.85	75.11	102.97	183.82	57.89	148.09	53.95	131.51	47.84	143.01	90.14	105.89	82.87	80.57	116.78	97.36	150.17	86.43	72.01	153.34	127.0	101.54	90.14	134.3	126.12	86.43	92.7	115.97	84.04
FLAD1	1561.89	1467.37	2004.85	1508.65	1119.56	896.64	1745.2	1208.34	1487.87	2271.4	974.5	1015.93	1628.26	1242.34	3874.05	1617.0	830.75	1127.35	1051.79	2061.24	1781.89	1832.01	1023.0	1397.83	2855.44	2555.58	1359.57	253.23	642.59	647.07	343.89	647.07	493.56	500.46	466.88	470.14	457.25	470.14	503.95	507.46	633.73	603.67	629.35	647.07	414.87	567.1	457.25	387.02	612.11	642.59	551.56	665.29	460.44	575.03	376.41	441.64	555.41	454.09
GBA	3928.15	4607.24	4268.94	3124.78	2915.45	2816.11	3716.2	3491.39	3874.05	3768.09	1674.06	2434.5	2720.15	2335.28	5831.91	2573.36	1322.37	2255.7	2895.31	3212.66	4450.27	4575.41	1457.23	4123.49	4736.79	3874.05	2032.85	532.74	1030.12	848.22	884.29	403.5	417.77	928.3	902.89	559.28	563.18	708.18	769.69	460.44	866.07	791.35	1104.13	836.53	748.61	753.83	1259.69	764.36	460.44	638.15	775.05	507.46	665.29	928.3	500.46	500.46	708.18	420.68
HMBS	743.43	775.05	872.1	480.04	1143.1	444.72	616.37	540.19	915.51	723.08	579.04	785.88	591.22	620.67	563.18	808.0	529.06	490.14	638.15	780.44	674.59	775.05	728.11	928.3	866.07	624.99	954.43	511.0	368.65	420.68	228.13	571.05	507.46	327.56	389.72	215.77	368.65	289.02	414.87	595.34	493.56	303.44	334.46	500.46	551.56	529.06	271.48	289.02	432.53	660.68	444.72	493.56	392.44	395.18	476.71	381.68	376.41	325.29
HMGB3	3716.2	1159.07	1819.35	2209.26	2682.69	1242.34	3467.27	1572.76	1605.83	2895.31	1151.06	2855.44	1628.26	4181.07	6079.61	3395.89	2090.03	1583.71	2502.97	1651.0	1617.0	4450.27	1583.71	5872.48	2609.3	3039.3	1388.16	2720.15	1037.29	521.76	591.22	400.71	1151.06	285.03	603.67	470.14	409.15	473.41	1417.35	769.69	1540.37	447.82	348.71	1397.83	438.59	665.29	409.15	836.53	902.89	981.29	872.1	1397.83	1183.45	941.27	1225.22	1225.22	830.75	575.03
HSPA9	6745.86	6250.56	5441.3	6471.02	8191.0	4671.57	5954.47	4419.52	4704.07	6887.62	3639.7	5711.87	11909.94	5517.27	10296.45	5913.33	3928.15	5183.54	3928.15	12676.65	6516.03	5831.91	4639.29	7230.1	11504.21	8247.98	5555.65	3742.05	3467.27	3280.18	3395.89	2537.92	4038.61	2956.17	3665.02	2148.82	4268.94	2451.44	5041.77	4328.55	3614.55	2777.33	3467.27	4972.34	3190.46	2915.45	3614.55	3081.75	2664.15	4869.99	4038.61	4736.79	4038.61	4575.41	3768.09	4671.57	3280.18	3146.52
IKBKG	2855.44	915.51	2758.13	896.64	1350.18	1529.73	3665.02	1259.69	4575.41	1617.0	2682.69	2119.22	1369.04	4239.45	1437.15	1583.71	988.12	2104.58	3325.99	2417.67	1417.35	3303.0	2468.49	2451.44	2178.83	2855.44	2061.24	633.73	312.0	878.17	688.78	1081.39	860.08	836.53	139.07	629.35	521.76	647.07	780.44	521.76	1250.98	612.11	444.72	547.75	366.09	493.56	301.33	759.08	954.43	483.38	713.11	854.13	532.74	743.43	351.14	1111.82	684.02	185.11
IMP4	2400.97	2796.65	3395.89	2032.85	3212.66	2335.28	2591.27	2104.58	4095.0	2451.44	1757.34	2682.69	2645.74	3443.31	2351.53	1977.24	2816.11	1883.54	2682.69	3325.99	1697.45	1477.58	2384.37	2133.97	3081.75	2468.49	2417.67	1819.35	1447.15	1844.76	1127.35	1447.15	1388.16	1651.0	1896.65	1008.9	1745.2	1313.23	2287.2	1870.53	1883.54	1685.71	1427.22	1909.85	1561.89	1477.58	1519.15	1477.58	1819.35	1977.24	1781.89	1950.0	1417.35	1447.15	1268.46	1832.01	1487.87	1242.34
KCTD2	199.85	223.41	189.02	305.55	480.04	262.2	182.55	193.01	242.88	384.34	231.32	307.69	232.94	164.42	232.94	249.73	223.41	199.85	239.52	312.0	353.59	208.38	334.46	265.87	164.42	217.27	275.28	185.11	130.6	234.57	129.69	251.48	153.34	183.82	143.01	106.63	88.88	69.52	141.02	158.79	264.03	171.45	110.43	115.97	159.9	140.04	181.28	141.02	185.11	110.43	74.06	74.06	130.6	105.15	126.12	131.51	115.97	122.64
KIF1C	1397.83	1806.78	1594.73	1963.57	1519.15	1745.2	1832.01	1295.13	2163.77	1529.73	1044.52	1721.16	1806.78	1963.57	802.41	1066.48	1216.75	1781.89	2148.82	1259.69	1340.84	1250.98	1540.37	1769.57	2400.97	1467.37	2224.63	896.64	1037.29	1044.52	819.3	802.41	1008.9	651.58	1498.22	454.09	688.78	511.0	890.44	1059.11	1081.39	713.11	633.73	1159.07	988.12	878.17	633.73	780.44	679.29	796.86	866.07	693.58	848.22	693.58	854.13	620.67	603.67	860.08
LRRC14	348.71	941.27	563.18	463.65	1233.75	599.49	884.29	400.71	728.11	825.0	373.81	529.06	633.73	1044.52	733.19	612.11	275.28	476.71	638.15	842.36	1216.75	723.08	444.72	441.64	842.36	629.35	665.29	128.79	171.45	189.02	134.3	251.48	239.52	251.48	152.28	206.94	121.79	136.19	127.89	170.25	146.03	197.09	242.88	133.36	122.64	291.04	101.54	215.77	279.14	161.02	106.63	113.56	161.02	209.84	155.5	36.79	152.28	136.19
MAFG	258.57	134.3	198.47	202.66	237.86	115.97	206.94	122.64	293.07	733.19	119.26	406.31	159.9	218.79	334.46	211.31	73.54	305.55	142.01	441.64	223.41	381.68	384.34	171.45	191.67	384.34	119.26	56.68	62.12	84.04	37.59	82.29	56.28	61.25	44.25	35.76	50.98	36.01	98.04	29.27	112.77	27.25	27.64	106.63	35.76	41.52	32.82	57.49	77.25	63.89	51.71	49.56	45.53	62.56	48.18	32.13	50.27	24.81
MAPT	161.02	61.68	57.08	72.52	211.31	22.92	49.56	75.64	115.97	221.86	24.28	127.0	71.0	107.38	47.5	31.67	25.91	36.27	69.52	299.25	194.36	63.45	208.38	43.63	195.72	28.86	105.15	11.73	4.28	9.2	2.41	4.98	4.39	1.23	2.43	2.71	2.03	1.93	18.03	4.66	1.53	8.65	22.26	4.1	3.92	8.13	5.28	10.88	1.43	6.62	6.89	2.51	6.73	1.99	5.68	0.69	7.46	4.1
MFSD5	486.75	728.11	507.46	551.56	583.07	514.56	595.34	389.72	934.76	571.05	406.31	493.56	507.46	414.87	389.72	301.33	423.61	457.25	432.53	624.99	457.25	348.71	521.76	525.39	511.0	629.35	438.59	234.57	267.73	299.25	229.72	195.72	224.97	234.57	255.0	175.07	301.33	128.79	223.41	291.04	318.57	208.38	204.07	264.03	199.85	218.79	281.09	265.87	242.88	371.22	258.57	220.32	255.0	190.34	205.5	141.02	224.97	205.5
MIEN1	2209.26	1662.49	1697.45	2240.11	3901.01	1295.13	2384.37	2004.85	2502.97	1437.15	1605.83	1369.04	1498.22	1896.65	2400.97	1733.13	1199.98	1088.92	2032.85	2119.22	2682.69	2319.15	2384.37	1662.49	2032.85	2956.17	2701.35	1119.56	1268.46	2163.77	819.3	941.27	1135.2	1111.82	1081.39	1259.69	1037.29	1191.69	1350.18	1159.07	1487.87	1286.18	1104.13	1199.98	1159.07	830.75	1583.71	934.76	769.69	1540.37	1127.35	947.83	848.22	1277.29	915.51	1088.92	1151.06	1175.27
MLST8	1378.57	830.75	1268.46	1427.22	642.59	890.44	1437.15	995.0	1388.16	1044.52	1378.57	1119.56	1001.93	1073.91	1378.57	967.76	612.11	769.69	1135.2	872.1	928.3	1572.76	728.11	954.43	1199.98	1991.0	1015.93	483.38	532.74	1199.98	679.29	1151.06	764.36	563.18	536.45	583.07	708.18	679.29	660.68	1806.78	796.86	753.83	665.29	583.07	796.86	624.99	583.07	703.28	802.41	575.03	595.34	583.07	547.75	620.67	529.06	429.54	575.03	571.05
MRPS23	1008.9	1561.89	1286.18	1909.85	1857.6	1447.15	1286.18	909.17	1963.57	1709.26	921.88	1540.37	1304.15	1216.75	1572.76	1331.57	866.07	1143.1	1023.0	1407.55	1617.0	1427.22	1322.37	1088.92	1519.15	2004.85	1286.18	540.19	587.13	665.29	466.88	406.31	607.87	348.71	575.03	426.57	791.35	316.37	656.11	703.28	532.74	529.06	463.65	536.45	624.99	571.05	612.11	521.76	371.22	642.59	536.45	579.04	703.28	525.39	346.29	457.25	457.25	514.56
MRPS27	693.58	748.61	842.36	884.29	1135.2	934.76	713.11	665.29	921.88	941.27	708.18	884.29	587.13	674.59	842.36	674.59	669.92	753.83	651.58	642.59	764.36	1467.37	684.02	947.83	1088.92	796.86	780.44	518.15	571.05	674.59	620.67	514.56	1015.93	454.09	525.39	387.02	616.37	460.44	802.41	651.58	624.99	587.13	587.13	435.55	612.11	473.41	599.49	540.19	563.18	543.96	441.64	412.0	540.19	460.44	674.59	420.68	473.41	470.14
NAGPA	647.07	327.56	500.46	312.0	325.29	248.0	647.07	397.93	915.51	361.04	435.55	497.0	392.44	318.57	490.14	299.25	209.84	339.14	339.14	291.04	470.14	723.08	334.46	336.79	285.03	819.3	314.17	149.12	229.72	186.4	152.28	183.82	140.04	248.0	236.21	226.54	117.6	144.01	130.6	185.11	232.94	285.03	163.28	177.53	148.09	190.34	316.37	193.01	256.78	269.6	279.14	172.65	260.38	178.77	186.4	59.55	195.72	138.1
NHP2	3039.3	3039.3	4010.71	4268.94	5791.62	2875.3	4450.27	2976.74	5219.6	4152.18	2895.31	3639.7	3614.55	3060.45	5219.6	5219.6	2335.28	1819.35	2875.3	7331.05	4671.57	2193.99	3060.45	2537.92	4512.4	4152.18	4210.15	1605.83	1745.2	2047.0	1519.15	1322.37	1340.84	1135.2	1909.85	1073.91	1883.54	1331.57	2351.53	1923.14	2163.77	1277.29	1781.89	1806.78	1697.45	1427.22	1551.09	1359.57	1457.23	1721.16	1844.76	1340.84	1277.29	1216.75	1104.13	1304.15	1322.37	1250.98
