	TCGA.KL.8325.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KL.8343.01A.11R.2315.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BC.A10R.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.DD.AADL.01A.11R.A41C.07	TCGA.2Y.A9GU.01A.11R.A38B.07	GTEX.11DXZ.0126.SM.5EGGY	GTEX.P4PP.0526.SM.2HMKE	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.RWS6.0226.SM.2XCA9	GTEX.WY7C.0426.SM.3NB3C	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.WFON.1126.SM.4LVMA
DDX27	612.11	435.55	543.96	470.14	277.2	490.14	466.88	423.61	454.09	373.81	343.89	902.89	728.11	555.41	669.92	629.35	728.11	1135.2	612.11	642.59	579.04	607.87	559.28	473.41	466.88	698.41	947.83	551.56	796.86	791.35	454.09	551.56	366.09	368.65	1066.48	860.08	902.89	547.75	620.67	808.0	703.28	511.0	902.89	753.83	381.68	629.35	764.36	381.68	1059.11	571.05	733.19	884.29	587.13	403.5
DLC1	289.02	102.25	305.55	114.36	60.39	267.73	120.94	381.68	127.0	281.09	444.72	8658.09	2090.03	1487.87	2682.69	16157.44	4450.27	11112.3	1073.91	4095.0	1819.35	967.76	3257.52	2119.22	500.46	12676.65	40341.14	1447.15	2835.7	4268.94	2417.67	1233.75	2400.97	1233.75	4903.87	7966.99	4010.71	497.0	3491.39	2796.65	1378.57	995.0	1963.57	1167.14	791.35	2502.97	2664.15	356.05	8479.89	11909.94	4543.8	8022.41	2303.12	211.31
DYRK3	9.41	14.35	27.84	45.21	29.7	11.73	66.18	73.03	93.35	29.48	63.89	1135.2	108.14	163.28	110.43	785.88	323.03	808.0	100.13	237.86	195.72	43.63	106.63	189.02	128.79	708.18	738.29	73.54	363.56	301.33	141.02	176.29	151.22	169.07	450.94	1015.93	802.41	63.45	201.25	555.41	173.85	63.45	334.46	98.04	132.44	198.47	283.05	53.95	974.5	361.04	500.46	325.29	138.1	49.21
EGR1	232.94	988.12	2255.7	77.79	1883.54	1096.5	368.65	1832.01	117.6	129.69	1477.58	16269.83	7280.4	9344.14	2895.31	35363.15	5076.84	29943.43	6250.56	44452.21	28723.62	7433.4	9808.75	5672.41	1628.26	44761.41	17078.76	2502.97	30361.44	12676.65	6745.86	3280.18	2895.31	2627.46	4543.8	11827.67	75803.72	988.12	2502.97	13215.02	4972.34	3395.89	8901.53	2664.15	2739.08	16843.62	18052.61	2895.31	37901.36	27174.14	11345.82	29736.59	6121.9	1199.98
EIF4A3	454.09	1023.0	796.86	941.27	854.13	802.41	651.58	947.83	1037.29	830.75	890.44	2090.03	947.83	1540.37	1225.22	1295.13	947.83	2997.45	1304.15	1135.2	1350.18	1225.22	934.76	1023.0	1051.79	1794.29	1605.83	848.22	1331.57	1313.23	1119.56	674.59	1350.18	693.58	1225.22	1350.18	2104.58	684.02	1104.13	1508.65	1151.06	915.51	1437.15	1477.58	1350.18	915.51	1127.35	1015.93	1832.01	1467.37	1242.34	1233.75	1081.39	860.08
EPHA2	73.03	228.13	95.34	98.73	318.57	51.71	237.86	78.34	128.79	91.41	486.75	4152.18	941.27	842.36	587.13	2004.85	723.08	3168.41	1340.84	1572.76	890.44	738.29	343.89	329.84	346.29	1551.09	1963.57	563.18	981.29	1268.46	1175.27	796.86	1051.79	575.03	1369.04	1662.49	703.28	139.07	547.75	2739.08	684.02	356.05	1216.75	392.44	387.02	1111.82	1977.24	182.55	2032.85	1397.83	1685.71	4450.27	780.44	356.05
FAM71A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	4.06	1.27	2.1	8.58	5.63	24.28	4.13	21.47	7.34	2.36	0.0	8.65	3.47	27.25	16.03	2.68	8.85	3.08	2.61	4.39	6.89	0.0	4.58	9.27	17.25	0.0	1.83	0.0	0.0	2.39	3.17	0.0	0.97	13.93	10.55	1.3	13.93	23.08	2.92	1.91	4.06	0.0
FOS	246.28	813.63	1498.22	31.0	1427.22	120.94	237.86	555.41	44.25	106.63	2032.85	8191.0	9740.98	10733.74	3349.13	29736.59	9215.48	71219.26	22225.61	87075.75	79022.82	33455.53	6607.01	25005.23	1583.71	73221.53	8022.41	8598.28	92680.9	32994.92	26614.89	5517.27	2417.67	4066.71	7081.29	20881.4	175363.84	3928.15	9945.68	28132.47	5913.33	13968.57	51417.5	3794.3	8421.31	39785.74	80125.95	3955.48	56657.31	35118.87	11827.67	43840.21	8718.32	2417.67
FOSB	3.44	43.32	84.63	4.7	53.57	47.84	5.32	14.78	1.48	11.38	358.54	48982.22	1844.76	3190.46	3395.89	48307.85	6381.92	104271.56	3847.29	35609.13	56265.94	2271.4	1030.12	8022.41	759.08	97288.74	65990.84	447.82	62865.33	16383.0	7589.61	854.13	651.58	547.75	38164.99	82378.63	189257.69	480.04	6792.79	20170.07	1233.75	6935.54	32092.64	1175.27	1183.45	20451.65	51775.15	693.58	120609.84	87075.75	25179.16	41763.8	3874.05	198.47
GADD45B	1923.14	2591.27	1769.57	2104.58	1369.04	543.96	1963.57	825.0	214.27	1167.14	3716.2	10659.59	3212.66	3395.89	2047.0	7749.1	12764.83	17317.18	3257.52	3103.19	4152.18	4937.99	2193.99	2104.58	2303.12	6887.62	5633.22	2148.82	4268.94	7589.61	1529.73	3419.52	9025.81	3716.2	6381.92	11424.74	9409.14	2956.17	2163.77	9088.59	3081.75	1857.6	3124.78	2956.17	2047.0	12329.98	7280.4	2956.17	14561.8	20593.91	4972.34	3540.14	3257.52	1487.87
HBEGF	22.1	209.84	69.52	31.22	68.07	34.51	72.01	52.82	23.59	42.41	56.68	3639.7	1313.23	1870.53	981.29	5292.48	1551.09	6652.97	813.63	3491.39	2047.0	1242.34	1023.0	743.43	511.0	5633.22	4239.45	902.89	2935.74	1721.16	1674.06	1757.34	2664.15	1397.83	3419.52	1781.89	3467.27	299.25	1617.0	5219.6	2485.67	447.82	1551.09	555.41	426.57	1437.15	1781.89	397.93	5751.61	2119.22	1437.15	7485.11	825.0	457.25
HNRNPU	1936.53	2627.46	1857.6	2271.4	1498.22	3124.78	2451.44	2061.24	2090.03	2627.46	1936.53	5041.77	2537.92	3124.78	3257.52	3614.55	3190.46	5872.48	2271.4	3820.7	3515.68	2855.44	2609.3	3190.46	3515.68	5006.93	5041.77	2004.85	3901.01	3982.99	3018.3	2537.92	2303.12	1936.53	3847.29	3235.01	5555.65	2855.44	3257.52	3349.13	2875.3	2591.27	3928.15	3212.66	3081.75	3349.13	3589.58	2451.44	6250.56	4836.35	4038.61	3614.55	3419.52	1697.45
IER2	503.95	651.58	1015.93	679.29	1427.22	420.68	1268.46	1709.26	921.88	1250.98	1119.56	2701.35	3349.13	3235.01	1447.15	5041.77	3018.3	7433.4	3540.14	13776.25	7966.99	6294.04	2758.13	1733.13	1096.5	8479.89	2875.3	1628.26	6426.31	4736.79	2004.85	2573.36	3257.52	2255.7	2032.85	3168.41	19082.0	1030.12	1745.2	5441.3	2133.97	1857.6	5329.3	1721.16	2240.11	4607.24	6471.02	1313.23	5147.73	8479.89	2701.35	6121.9	2032.85	1225.22
IL6	7.94	99.43	7.46	1.39	21.32	7.11	18.97	21.16	1.64	2.48	9.93	5366.37	769.69	6037.61	314.17	3081.75	1427.22	7485.11	217.27	1551.09	2720.15	638.15	420.68	314.17	121.79	5633.22	753.83	201.25	5041.77	5441.3	429.54	185.11	759.08	140.04	555.41	819.3	5517.27	80.57	316.37	3928.15	1950.0	133.36	384.34	177.53	249.73	1233.75	3443.31	480.04	1806.78	13399.51	780.44	665.29	947.83	9.56
JUNB	212.78	2209.26	825.0	412.0	2075.59	273.37	1794.29	1037.29	303.44	389.72	1605.83	7803.01	4210.15	5594.3	1844.76	14262.1	7433.4	23009.42	5831.91	18178.19	13776.25	10014.87	4268.94	2664.15	1340.84	23492.92	5366.37	2163.77	17437.64	11035.54	2573.36	4419.52	9409.14	4704.07	6471.02	11664.82	39785.74	2758.13	2855.44	13306.94	7382.04	2271.4	8538.88	2935.74	2997.45	12076.21	13968.57	3742.05	15824.9	17804.06	5594.3	11267.44	3768.09	3690.52
JUND	988.12	1896.65	896.64	2835.7	2351.53	1313.23	2133.97	1605.83	775.05	1183.45	3190.46	9215.48	5479.15	4388.98	3874.05	13215.02	6840.04	14971.21	5076.84	9673.69	5954.47	5633.22	4210.15	2240.11	1674.06	9808.75	10225.32	2209.26	7280.4	6079.61	3190.46	5711.87	7130.55	5913.33	9673.69	14561.8	19754.96	3515.68	4769.75	13681.08	4937.99	2682.69	6337.83	4298.64	2520.38	17558.94	8305.36	2976.74	9673.69	9945.68	4836.35	6745.86	2434.5	4388.98
KDM6B	150.17	267.73	155.5	64.34	76.17	111.99	84.63	113.56	79.45	119.26	175.07	2720.15	511.0	384.34	414.87	748.61	902.89	1331.57	334.46	540.19	486.75	293.07	447.82	215.77	246.28	902.89	896.64	228.13	698.41	1199.98	368.65	525.39	525.39	559.28	1104.13	961.07	647.07	291.04	373.81	1322.37	493.56	305.55	718.08	503.95	163.28	819.3	961.07	262.2	764.36	764.36	703.28	1508.65	379.04	275.28
KLF6	947.83	1081.39	536.45	591.22	769.69	346.29	866.07	583.07	214.27	473.41	1001.93	6037.61	4836.35	4010.71	2351.53	9540.5	6164.49	16960.78	3325.99	8901.53	7803.01	3372.43	1757.34	4512.4	4388.98	14461.21	11345.82	4095.0	8840.04	5711.87	5751.61	3491.39	3103.19	5872.48	5041.77	6652.97	15392.14	3794.3	4639.29	5112.16	2485.67	3665.02	6516.03	3103.19	2520.38	10225.32	13492.72	1208.34	22072.07	8538.88	6121.9	6037.61	4575.41	1769.57
LMNA	954.43	2935.74	1936.53	4210.15	4972.34	2133.97	7130.55	2555.58	4903.87	4358.66	2682.69	25708.25	6037.61	7280.4	4869.99	13681.08	6294.04	31870.96	4038.61	7749.1	11504.21	4736.79	5479.15	4836.35	4972.34	15285.81	10808.41	4181.07	14163.58	15180.22	6935.54	5995.9	8598.28	6652.97	18052.61	36106.23	11035.54	5633.22	7485.11	18819.27	6516.03	4575.41	11992.79	17317.18	6516.03	15499.21	21026.65	4095.0	14561.8	26431.04	13306.94	17197.56	6164.49	3395.89
MCL1	974.5	1757.34	1037.29	1519.15	2682.69	1923.14	2400.97	1498.22	1950.0	2061.24	3614.55	14163.58	6121.9	5292.48	3564.78	12415.75	14065.74	20593.91	4038.61	10154.69	11584.24	6250.56	4836.35	7803.01	5006.93	18689.27	14867.79	7857.29	12415.75	11035.54	7032.37	5594.3	5954.47	7911.95	10659.59	11909.94	19082.0	8479.89	5831.91	11267.44	5041.77	5076.84	7081.29	4388.98	4450.27	8479.89	15824.9	5366.37	21172.91	14461.21	7966.99	10733.74	6607.01	2303.12
MLF1	144.01	112.77	267.73	6.21	2.97	3.14	15.45	12.45	69.03	2.94	52.45	1651.0	514.56	379.04	223.41	476.71	463.65	1709.26	775.05	612.11	176.29	285.03	155.5	327.56	154.42	1447.15	1936.53	343.89	234.57	909.17	633.73	825.0	279.14	1199.98	902.89	1950.0	1519.15	273.37	463.65	1081.39	265.87	211.31	1233.75	540.19	483.38	684.02	1015.93	297.17	854.13	1159.07	896.64	246.28	392.44	147.06
MMP19	3.38	27.44	23.42	44.89	63.45	31.45	63.89	46.5	189.02	23.08	88.88	19618.49	511.0	1519.15	426.57	1844.76	854.13	6381.92	1183.45	1037.29	3303.0	454.09	575.03	1457.23	808.0	3768.09	2335.28	1066.48	2287.2	2485.67	514.56	318.57	718.08	529.06	7382.04	12415.75	1167.14	656.11	1350.18	4010.71	1088.92	497.0	2537.92	2520.38	1991.0	2335.28	9215.48	684.02	4769.75	1066.48	2997.45	5913.33	825.0	92.05
MYC	35.76	76.71	44.57	518.15	368.65	791.35	241.19	218.79	94.01	39.5	529.06	7537.18	819.3	2319.15	934.76	1551.09	2664.15	9808.75	995.0	1216.75	3540.14	688.78	368.65	1088.92	1359.57	10014.87	2720.15	796.86	5872.48	2875.3	1008.9	444.72	693.58	368.65	1685.71	3820.7	5479.15	384.34	1104.13	2895.31	2664.15	915.51	2384.37	866.07	1167.14	1015.93	3257.52	642.59	11035.54	2976.74	2104.58	1991.0	1540.37	633.73
NFIL3	17.13	253.23	121.79	486.75	373.81	283.05	384.34	1119.56	361.04	183.82	571.05	1388.16	316.37	1259.69	651.58	1066.48	1561.89	2777.33	703.28	665.29	941.27	493.56	665.29	555.41	684.02	2609.3	2240.11	603.67	1651.0	981.29	599.49	660.68	830.75	728.11	819.3	1151.06	1977.24	563.18	567.1	1250.98	1073.91	441.64	808.0	503.95	759.08	974.5	656.11	775.05	2485.67	1304.15	1259.69	921.88	915.51	318.57
NR4A1	1437.15	2627.46	3540.14	221.86	332.14	142.01	147.06	98.73	64.8	183.82	283.05	14561.8	4152.18	6792.79	1794.29	64632.75	7130.55	46339.95	6207.38	26986.43	19482.97	3372.43	13306.94	2591.27	1059.11	35609.13	23986.58	2319.15	21172.91	7642.41	5672.41	5751.61	2997.45	3589.58	11504.21	13399.51	20881.4	1111.82	3982.99	28923.41	5872.48	1322.37	9876.98	1662.49	2271.4	37901.36	14765.09	2209.26	31432.17	9606.86	13968.57	47642.77	7382.04	679.29
PIGA	232.94	327.56	111.21	51.35	53.57	57.89	85.82	95.34	111.21	107.38	64.34	612.11	521.76	728.11	518.15	1757.34	665.29	1819.35	591.22	1111.82	819.3	392.44	379.04	567.1	414.87	842.36	890.44	426.57	693.58	529.06	480.04	764.36	507.46	567.1	733.19	981.29	1561.89	363.56	470.14	915.51	480.04	387.02	293.07	273.37	277.2	1844.76	1322.37	536.45	1225.22	708.18	825.0	1457.23	490.14	84.63
PLK3	41.81	77.79	46.5	36.27	175.07	50.98	105.89	49.56	70.51	38.4	92.7	2485.67	785.88	669.92	532.74	1561.89	1388.16	2271.4	679.29	1119.56	860.08	813.63	493.56	309.83	620.67	1023.0	1051.79	454.09	1001.93	1697.45	389.72	426.57	693.58	400.71	1923.14	3372.43	1199.98	309.83	791.35	1651.0	466.88	454.09	1081.39	748.61	507.46	2367.9	2032.85	327.56	1081.39	1477.58	1119.56	1467.37	1331.57	189.02
PPP1R15A	688.78	890.44	395.18	226.54	395.18	127.0	423.61	241.19	229.72	181.28	384.34	3564.78	3395.89	2520.38	1963.57	6426.31	2915.45	7537.18	2591.27	5751.61	3955.48	2835.7	2018.8	2287.2	1757.34	7032.37	4512.4	2451.44	4239.45	3716.2	3060.45	3665.02	3639.7	3103.19	3018.3	3690.52	8191.0	1769.57	3716.2	5329.3	2645.74	2255.7	3901.01	2224.63	1733.13	6164.49	6207.38	1191.69	7382.04	6887.62	3395.89	4181.07	2303.12	836.53
PPP1R15B	221.86	244.57	146.03	293.07	361.04	444.72	514.56	490.14	493.56	503.95	358.54	896.64	511.0	540.19	483.38	808.0	974.5	1397.83	559.28	728.11	674.59	387.02	466.88	525.39	450.94	1216.75	1216.75	514.56	785.88	743.43	543.96	591.22	703.28	808.0	915.51	759.08	988.12	450.94	536.45	660.68	647.07	438.59	642.59	409.15	381.68	583.07	866.07	417.77	1216.75	1001.93	536.45	718.08	575.03	463.65
RBM7	518.15	490.14	441.64	180.02	189.02	400.71	307.69	417.77	318.57	323.03	417.77	988.12	480.04	559.28	358.54	660.68	921.88	1111.82	511.0	473.41	775.05	480.04	339.14	693.58	389.72	878.17	1199.98	595.34	669.92	780.44	607.87	417.77	651.58	521.76	595.34	642.59	1233.75	389.72	555.41	529.06	854.13	447.82	543.96	343.89	651.58	409.15	620.67	426.57	1268.46	915.51	555.41	591.22	454.09	476.71
RFX2	34.51	21.32	13.83	25.54	17.51	41.81	29.91	25.54	50.63	42.41	38.12	1561.89	353.59	332.14	106.63	371.22	466.88	1183.45	351.14	480.04	149.12	124.37	229.72	264.03	231.32	432.53	733.19	162.14	397.93	1143.1	435.55	579.04	301.33	470.14	633.73	1487.87	633.73	289.02	309.83	497.0	208.38	156.59	1023.0	836.53	293.07	1051.79	441.64	96.01	232.94	988.12	642.59	171.45	271.48	130.6
RNF122	16.51	78.34	66.65	48.87	43.32	40.36	94.67	27.64	48.52	36.53	75.64	825.0	234.57	397.93	323.03	647.07	323.03	872.1	269.6	291.04	363.56	305.55	346.29	223.41	262.2	1259.69	733.19	297.17	514.56	260.38	293.07	244.57	521.76	379.04	470.14	674.59	450.94	253.23	211.31	559.28	529.06	241.19	473.41	156.59	312.0	361.04	423.61	265.87	1340.84	743.43	429.54	612.11	323.03	104.42
SERTAD1	164.42	150.17	135.24	92.05	293.07	93.35	217.27	137.14	77.79	115.16	329.84	2104.58	563.18	780.44	371.22	1540.37	656.11	1769.57	981.29	1662.49	660.68	954.43	665.29	599.49	236.21	5711.87	3235.01	529.06	802.41	1417.35	441.64	620.67	642.59	493.56	1819.35	1936.53	1427.22	229.72	587.13	1030.12	587.13	363.56	1572.76	708.18	532.74	1127.35	1030.12	214.27	6121.9	830.75	1127.35	1909.85	921.88	325.29
SFTPC	0.0	7.51	2.01	2.73	0.0	0.0	2.23	0.0	12.09	0.0	5.63	2.880867455E7	1.848689914E7	5.882801313E7	2.18328924E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.880867455E7	1.130141336E7	6226542.15	1.004517844E7	2.339991475E7	5.761735011E7	1.927195942E7	3.801327429E7	4.878722096E7	3.72309724E7	2.405777593E7	9906883.49	2.49061716E7	1.798137388E7	2.276004283E7	1.874496665E7	2.138357795E7	1.913883827E7	2.706640506E7	2.525384881E7	5.228884881E7	2.198475218E7	1.0826562323E8	1.194579786E7	2.037080884E7	2.560637942E7	1.491230465E7	1.130141336E7	6.17527469E7	2.578448588E7	2.81
SLC25A25	165.57	323.03	185.11	836.53	647.07	318.57	353.59	258.57	237.86	447.82	406.31	1628.26	748.61	669.92	603.67	1963.57	1447.15	2777.33	591.22	896.64	947.83	651.58	532.74	343.89	473.41	3665.02	1769.57	642.59	1447.15	1175.27	642.59	521.76	748.61	567.1	1340.84	3146.52	2720.15	166.73	497.0	1233.75	684.02	392.44	928.3	454.09	265.87	954.43	1757.34	202.66	2319.15	2758.13	1250.98	921.88	1167.14	139.07
