	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.A3.3378.01A.02R.1325.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.R53T.0326.SM.48FEC	GTEX.N7MT.0126.SM.2D7VT	GTEX.Q734.0626.SM.2I3EF	TCGA.HC.7737.11A.02R.2118.07	TCGA.J8.A4HW.01A.11R.A250.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.1211K.0726.SM.5FQUW	GTEX.12WSG.2126.SM.5EGJ7	GTEX.132AR.1526.SM.5KM1L
CD3E	3540.14	81.71	660.68	934.76	3168.41	4066.71	98.73	92.05	607.87	153.34	521.76	1.85	438.59	1628.26	236.21	246.28	525.39	713.11	177.53	211.31	503.95	143.01	37.59	1135.2	4419.52	37.85	18.84	85.22	921.88	532.74	55.1	64.8	142.01	72.52	36.79	80.01	647.07	35.25	647.07	96.01	63.89	141.02	53.57	127.0	113.56	57.49	63.89	848.22	223.41	299.25	909.17	438.59	303.44	68.55	84.63	285.03	157.68
CD3G	264.03	18.16	28.04	244.57	738.29	878.17	11.64	12.93	74.06	43.32	49.21	0.93	57.08	244.57	13.72	24.46	40.93	99.43	25.72	15.91	37.85	11.38	35.25	351.14	974.5	34.02	2.94	10.39	164.42	100.83	17.0	17.25	27.05	11.04	2.71	11.91	107.38	30.12	69.03	7.34	5.41	14.03	6.31	41.81	14.89	5.87	6.84	145.02	50.63	87.03	134.3	87.03	22.59	3.76	18.29	11.21	6.26
CD4	1745.2	232.94	1059.11	2537.92	2915.45	3419.52	490.14	669.92	764.36	387.02	1407.55	15.91	728.11	6207.38	2047.0	4802.93	2133.97	2855.44	2400.97	5147.73	1111.82	1628.26	2537.92	6935.54	13123.73	108.14	323.03	187.71	1225.22	616.37	142.01	135.24	277.2	269.6	194.36	224.97	961.07	211.31	1119.56	214.27	152.28	395.18	189.02	171.45	197.09	202.66	183.82	1697.45	466.88	738.29	476.71	228.13	392.44	368.65	119.26	129.69	343.89
CD48	6121.9	172.65	199.85	1119.56	2384.37	2758.13	151.22	111.99	718.08	256.78	830.75	6.52	348.71	1685.71	343.89	423.61	420.68	271.48	269.6	273.37	612.11	279.14	132.44	1896.65	4769.75	39.5	19.25	80.57	698.41	575.03	54.33	34.75	92.7	78.89	18.03	77.25	595.34	23.25	518.15	69.03	46.5	132.44	34.75	57.08	69.03	50.63	35.5	759.08	163.28	432.53	529.06	246.28	241.19	30.34	72.52	85.22	141.02
CD53	11827.67	346.29	1662.49	3716.2	4481.23	5041.77	543.96	866.07	1242.34	633.73	1745.2	18.16	1250.98	2537.92	698.41	525.39	571.05	1369.04	802.41	529.06	1023.0	353.59	170.25	2537.92	7803.01	148.09	117.6	212.78	1963.57	1806.78	198.47	93.35	356.05	309.83	182.55	299.25	1709.26	123.5	2240.11	211.31	208.38	540.19	162.14	211.31	206.94	248.0	199.85	2335.28	595.34	796.86	2090.03	476.71	854.13	126.12	173.85	67.59	819.3
CD86	599.49	52.08	214.27	684.02	1250.98	981.29	40.93	125.24	178.77	102.25	277.2	3.08	163.28	334.46	152.28	128.79	96.68	175.07	175.07	145.02	214.27	59.55	47.5	346.29	684.02	26.28	18.03	35.25	185.11	146.03	31.9	17.38	57.49	53.95	36.01	57.08	158.79	31.0	237.86	27.64	37.32	77.79	47.17	25.72	31.22	24.81	59.13	239.52	96.01	86.43	199.85	63.0	55.49	9.34	22.26	18.16	46.84
CLU	258533.99	1472666.19	2729110.67	506427.83	231394.29	148488.36	677564.08	1085552.95	614902.29	894051.48	558035.51	305326.92	496005.67	546551.29	659036.03	1171559.48	817012.28	614902.29	1383603.33	1171559.48	731246.37	619179.28	958220.73	236256.4	164758.26	492579.5	313910.86	370726.6	472513.8	405683.88	558035.51	305326.92	419990.32	524287.0	459592.86	672883.8	434801.29	641014.63	419990.32	527933.71	598087.73	654483.73	535303.41	499455.67	938500.81	524287.0	589853.66	341137.96	736332.6	687022.54	736332.6	691801.16	682276.92	1131651.83	539026.74	668235.84	672883.8
CSF1R	819.3	176.29	1331.57	2935.74	2739.08	3168.41	162.14	830.75	813.63	441.64	1135.2	13.93	764.36	1832.01	890.44	1233.75	915.51	1331.57	1216.75	1350.18	1127.35	201.25	497.0	2193.99	5594.3	172.65	66.18	185.11	733.19	336.79	162.14	61.68	177.53	156.59	159.9	181.28	587.13	202.66	753.83	197.09	127.89	229.72	139.07	104.42	110.43	152.28	161.02	884.29	473.41	384.34	220.32	256.78	293.07	74.58	72.01	80.57	279.14
CXCR6	121.79	10.71	185.11	139.07	435.55	260.38	24.28	23.08	136.19	59.55	120.94	2.48	108.9	260.38	105.15	59.55	108.14	403.5	136.19	65.72	97.36	30.56	55.89	150.17	1183.45	13.12	3.53	13.52	215.77	70.51	18.43	15.34	33.78	12.18	7.22	29.48	105.89	12.83	73.54	20.41	16.27	31.0	8.0	33.54	28.65	18.84	20.71	237.86	51.71	42.71	167.9	285.03	208.38	43.02	32.59	24.99	57.08
CYBB	1322.37	150.17	182.55	2895.31	1167.14	2400.97	83.45	470.14	336.79	220.32	547.75	5.92	438.59	974.5	463.65	713.11	234.57	470.14	480.04	575.03	536.45	124.37	343.89	1769.57	5292.48	63.45	39.79	57.49	785.88	223.41	82.87	15.34	120.1	148.09	62.12	90.14	389.72	54.72	638.15	70.51	74.06	151.22	70.51	34.26	46.5	74.58	46.84	836.53	206.94	279.14	253.23	123.5	239.52	21.78	58.71	63.45	208.38
DOCK2	1757.34	66.65	262.2	738.29	1051.79	1350.18	55.89	152.28	224.97	118.43	231.32	9.85	236.21	518.15	141.02	162.14	149.12	129.69	155.5	163.28	215.77	229.72	61.68	902.89	1685.71	34.51	27.25	49.91	406.31	295.11	47.5	15.22	72.52	63.45	32.36	37.85	361.04	28.65	400.71	51.71	40.64	84.04	35.0	40.64	49.91	51.71	45.85	420.68	135.24	170.25	281.09	98.04	81.71	26.86	29.27	24.46	68.55
DOK2	540.19	47.17	49.56	287.01	414.87	603.67	44.57	85.82	198.47	96.68	253.23	1.87	182.55	743.43	305.55	281.09	232.94	234.57	253.23	414.87	400.71	139.07	155.5	532.74	3491.39	17.77	36.01	83.45	346.29	123.5	34.75	44.89	102.97	92.05	52.82	84.04	277.2	25.17	353.59	64.34	68.07	138.1	48.18	43.32	71.5	74.58	65.26	579.04	121.79	161.02	149.12	68.55	208.38	21.32	61.68	35.0	153.34
EVI2B	2645.74	130.6	287.01	1417.35	1923.14	1674.06	98.04	135.24	299.25	214.27	571.05	10.24	633.73	718.08	473.41	262.2	162.14	503.95	224.97	273.37	371.22	140.04	75.64	2303.12	2875.3	49.21	37.05	64.8	780.44	444.72	60.82	19.82	123.5	117.6	57.49	111.99	543.96	66.18	660.68	63.89	65.72	148.09	110.43	56.28	93.35	68.07	55.49	785.88	209.84	182.55	698.41	234.57	191.67	20.41	59.55	29.48	96.68
FCGR2B	764.36	63.0	122.64	1286.18	1081.39	1199.98	106.63	490.14	759.08	208.38	764.36	3.5	651.58	6037.61	2319.15	2351.53	1674.06	2047.0	2502.97	4639.29	1127.35	651.58	1119.56	902.89	4152.18	45.53	36.01	111.21	466.88	190.34	57.49	35.0	143.01	104.42	67.12	120.1	358.54	41.52	878.17	130.6	68.07	220.32	79.45	64.8	59.55	111.21	51.35	642.59	204.07	236.21	334.46	152.28	633.73	43.32	41.81	16.03	217.27
FCGR3A	1191.69	500.46	1295.13	13033.07	9945.68	15075.35	305.55	1594.73	819.3	928.3	1242.34	24.63	743.43	4152.18	2287.2	2645.74	1923.14	2777.33	2178.83	2796.65	2287.2	476.71	1427.22	4869.99	11584.24	93.35	142.01	312.0	2178.83	536.45	299.25	84.63	358.54	348.71	164.42	289.02	1233.75	42.71	1388.16	231.32	197.09	493.56	387.02	105.89	246.28	164.42	101.54	2915.45	587.13	447.82	514.56	500.46	1685.71	94.01	218.79	37.59	1191.69
FGD2	397.93	34.75	123.5	575.03	591.22	785.88	20.26	53.95	115.97	43.32	105.15	11.73	104.42	392.44	166.73	171.45	178.77	275.28	212.78	244.57	169.07	59.55	77.25	1208.34	1259.69	141.02	40.36	41.52	237.86	195.72	27.84	20.56	58.71	52.08	40.64	50.27	197.09	36.01	363.56	46.84	29.7	73.54	16.63	69.52	41.22	44.25	55.1	269.6	142.01	616.37	241.19	201.25	156.59	61.25	141.02	6.46	24.28
FPR3	283.05	190.34	49.56	1457.23	1540.37	1331.57	102.25	122.64	172.65	134.3	295.11	1.85	181.28	616.37	353.59	166.73	124.37	180.02	295.11	246.28	387.02	67.59	96.68	435.55	1388.16	13.52	22.43	32.36	339.14	82.29	22.43	8.85	71.5	40.93	46.18	62.56	171.45	37.59	312.0	24.11	58.71	133.36	50.63	20.86	23.59	43.32	59.97	500.46	136.19	118.43	121.79	43.94	54.72	14.14	41.52	9.2	44.89
FYB	476.71	54.33	271.48	1844.76	1304.15	2018.8	100.83	231.32	75.11	135.24	215.77	2.2	158.79	836.53	147.06	91.41	109.66	171.45	82.87	180.02	387.02	43.94	36.27	1388.16	1721.16	50.63	7.63	17.25	271.48	152.28	18.16	2.89	32.36	27.84	13.03	28.65	175.07	12.09	180.02	15.45	22.59	39.22	16.15	14.89	24.46	16.39	13.83	228.13	80.57	122.64	152.28	54.72	74.06	22.92	36.53	23.08	32.59
GBP5	647.07	16.27	96.01	1066.48	2451.44	3982.99	35.76	32.59	102.25	62.56	117.6	2.23	85.82	285.03	60.39	157.68	209.84	183.82	50.98	99.43	120.94	44.89	25.17	543.96	693.58	7.51	6.16	22.92	441.64	81.14	13.03	7.28	48.52	34.02	10.0	26.1	246.28	12.83	271.48	20.56	15.45	59.13	17.64	22.59	41.52	14.89	14.35	353.59	115.97	68.07	178.77	76.17	32.59	6.46	27.05	26.1	8.13
GFI1	98.73	3.38	22.59	67.12	128.79	195.72	4.39	10.55	32.59	6.31	24.63	4.06	30.78	45.21	9.85	27.05	32.36	92.7	10.63	10.79	5.87	9.93	13.22	49.56	127.89	7.06	6.31	6.11	71.5	25.54	5.63	2.46	11.91	13.72	4.66	7.22	32.13	5.45	53.19	11.73	8.13	13.12	5.73	13.12	7.11	6.89	5.87	55.89	19.39	15.0	88.88	22.43	19.82	7.06	13.93	13.72	9.78
GPR171	144.01	5.23	454.09	102.25	167.9	159.9	10.71	11.55	95.34	12.55	41.81	1.25	89.51	75.64	11.73	112.77	18.7	20.41	9.27	9.06	5.96	30.12	6.01	450.94	239.52	9.13	1.75	3.69	133.36	40.36	5.77	3.29	11.3	5.11	13.93	16.51	25.72	3.63	175.07	8.45	6.57	10.16	2.86	17.9	20.71	7.17	5.96	95.34	43.32	23.76	71.0	19.25	38.12	6.94	10.96	85.82	7.22
HAVCR2	281.09	72.52	444.72	2875.3	1167.14	1628.26	59.13	191.67	1963.57	69.03	406.31	7.0	208.38	356.05	199.85	129.69	161.02	83.45	223.41	155.5	195.72	86.43	78.89	260.38	909.17	35.0	27.44	43.32	251.48	125.24	49.21	19.97	64.34	59.97	39.5	54.33	173.85	28.45	256.78	34.26	37.85	120.1	30.78	38.12	35.5	46.5	59.13	316.37	121.79	119.26	127.89	38.12	71.0	20.11	21.01	25.91	64.8
HCK	723.08	102.25	309.83	1233.75	947.83	1359.57	92.05	267.73	348.71	208.38	511.0	5.59	420.68	995.0	329.84	435.55	356.05	387.02	397.93	463.65	366.09	171.45	201.25	878.17	2701.35	105.89	52.08	67.12	543.96	229.72	72.52	28.04	126.12	167.9	63.89	104.42	346.29	116.78	521.76	94.67	78.34	199.85	53.19	31.9	70.51	98.73	105.15	764.36	206.94	325.29	232.94	82.29	226.54	61.25	50.98	32.82	137.14
ICAM3	2997.45	921.88	708.18	651.58	802.41	1191.69	323.03	429.54	473.41	361.04	316.37	125.24	934.76	1191.69	587.13	1617.0	1277.29	1259.69	1340.84	1757.34	947.83	1143.1	890.44	723.08	1806.78	241.19	376.41	287.01	954.43	466.88	231.32	299.25	312.0	267.73	236.21	316.37	603.67	239.52	713.11	307.69	236.21	358.54	221.86	251.48	318.57	229.72	299.25	1023.0	289.02	429.54	511.0	231.32	329.84	457.25	314.17	96.01	395.18
IGFLR1	1551.09	301.33	480.04	967.76	1487.87	1447.15	133.36	511.0	497.0	241.19	307.69	134.3	723.08	1651.0	785.88	915.51	988.12	1832.01	660.68	842.36	813.63	802.41	497.0	656.11	1519.15	130.6	132.44	205.5	1066.48	555.41	166.73	256.78	182.55	289.02	209.84	208.38	518.15	211.31	490.14	204.07	137.14	231.32	132.44	208.38	283.05	242.88	271.48	1143.1	305.55	334.46	320.8	159.9	514.56	204.07	241.19	69.03	406.31
IKZF1	1037.29	39.22	54.72	353.59	438.59	738.29	22.1	50.63	108.14	57.08	92.7	3.11	124.37	198.47	84.63	48.52	79.45	96.68	52.08	85.82	74.06	31.45	25.35	476.71	1023.0	32.13	5.96	17.13	209.84	177.53	16.51	9.56	32.13	25.35	12.0	24.99	182.55	10.79	218.79	19.97	18.84	34.75	12.0	20.26	24.28	22.26	14.89	189.02	54.72	90.14	348.71	87.03	65.72	11.3	23.42	10.96	21.94
IL10RA	1030.12	52.82	395.18	1359.57	1781.89	2287.2	96.01	143.01	429.54	161.02	414.87	6.57	441.64	1313.23	412.0	466.88	595.34	521.76	353.59	503.95	409.15	205.5	156.59	1991.0	3395.89	28.86	37.05	82.29	567.1	212.78	45.85	28.45	124.37	80.57	44.57	80.01	309.83	35.25	540.19	104.42	62.56	148.09	36.79	64.8	60.82	76.17	66.65	616.37	169.07	251.48	493.56	125.24	175.07	60.82	77.79	36.53	57.49
IL12RB1	414.87	13.83	38.67	167.9	341.51	547.75	31.22	19.97	58.71	29.7	46.84	1.58	68.55	101.54	44.89	66.65	46.5	43.32	49.21	113.56	82.29	9.34	12.83	234.57	802.41	9.93	7.75	15.34	153.34	56.28	9.93	4.58	15.45	12.18	9.06	10.71	96.01	6.21	105.89	15.0	6.84	18.56	11.55	11.13	15.91	8.92	4.54	137.14	33.78	27.64	62.12	21.94	17.25	5.73	8.25	7.11	30.56
IL16	2148.82	70.51	291.04	642.59	1427.22	1216.75	119.26	81.71	214.27	152.28	187.71	7.88	267.73	1295.13	221.86	307.69	242.88	223.41	241.19	371.22	414.87	170.25	110.43	2004.85	1909.85	51.71	52.45	88.88	674.59	441.64	54.33	32.13	103.69	54.72	26.86	92.7	547.75	44.25	521.76	61.68	67.59	82.29	66.65	43.94	88.88	72.52	48.18	579.04	129.69	204.07	551.56	110.43	95.34	153.34	102.25	120.94	145.02
ITK	373.81	23.42	65.26	126.12	152.28	395.18	9.48	13.52	75.64	17.77	28.24	2.81	30.78	63.0	24.46	13.03	40.93	144.01	16.51	26.86	33.06	112.77	8.85	190.34	285.03	15.8	2.89	13.52	150.17	108.14	11.64	6.11	19.11	9.85	10.96	14.24	89.51	9.2	186.4	12.45	13.03	19.25	5.06	27.64	17.51	8.19	14.35	109.66	55.1	34.26	197.09	31.45	38.95	12.83	19.68	23.59	8.13
KIF21B	132.44	9.13	90.77	52.82	101.54	151.22	16.03	19.53	24.11	35.25	19.11	0.66	23.08	35.0	10.16	11.21	11.55	12.45	11.55	8.58	33.54	10.16	12.0	108.9	81.71	17.38	6.06	3.47	48.18	24.11	4.28	5.02	8.92	7.28	7.75	4.66	41.81	5.87	55.49	12.83	9.7	9.06	6.46	9.13	7.22	12.09	7.94	43.94	16.63	25.54	53.19	9.78	17.77	6.26	8.92	6.01	4.86
LAP3	3589.58	1277.29	934.76	4704.07	4268.94	8658.09	1407.55	1561.89	1896.65	1540.37	1477.58	1417.35	1417.35	5633.22	5112.16	7537.18	5147.73	5006.93	6207.38	5112.16	5711.87	3081.75	6887.62	3257.52	5633.22	947.83	934.76	825.0	2935.74	1651.0	1304.15	878.17	1051.79	981.29	1225.22	961.07	1977.24	1051.79	2609.3	1225.22	1135.2	1745.2	1167.14	836.53	1001.93	1167.14	1175.27	3103.19	1709.26	1977.24	1628.26	1417.35	2434.5	1896.65	1286.18	854.13	2075.59
LAT2	2935.74	84.63	423.61	723.08	988.12	1250.98	84.04	860.08	283.05	164.42	389.72	12.18	429.54	587.13	249.73	457.25	197.09	269.6	473.41	165.57	497.0	127.0	61.25	669.92	2997.45	63.0	61.25	114.36	525.39	403.5	109.66	57.89	146.03	148.09	72.01	147.06	466.88	56.28	525.39	105.15	96.68	165.57	105.89	75.64	112.77	114.36	98.73	669.92	205.5	140.04	273.37	69.52	291.04	40.36	67.59	33.78	251.48
LCP2	884.29	191.67	420.68	2485.67	2520.38	3589.58	373.81	368.65	441.64	624.99	432.53	88.88	334.46	1628.26	651.58	603.67	507.46	476.71	497.0	599.49	551.56	262.2	224.97	1407.55	2935.74	116.78	120.94	176.29	1127.35	567.1	444.72	115.16	211.31	314.17	223.41	379.04	733.19	312.0	1015.93	316.37	198.47	251.48	287.01	241.19	262.2	180.02	291.04	1030.12	521.76	228.13	412.0	198.47	190.34	132.44	120.94	64.34	175.07
LILRB1	579.04	29.06	57.08	775.05	543.96	624.99	37.85	164.42	112.77	67.12	194.36	1.6	145.02	305.55	163.28	149.12	212.78	120.1	112.77	199.85	264.03	67.59	60.39	684.02	1008.9	12.83	27.05	25.72	305.55	169.07	37.32	10.08	28.04	32.82	19.39	55.49	181.28	15.0	264.03	28.65	50.63	46.84	45.21	15.11	29.7	27.64	25.72	256.78	70.51	125.24	86.43	42.41	80.01	12.55	19.39	22.26	78.89
LILRB2	199.85	31.22	65.72	493.56	595.34	854.13	38.67	98.73	155.5	111.21	301.33	3.47	220.32	423.61	97.36	182.55	127.89	336.79	150.17	348.71	189.02	84.63	65.26	463.65	466.88	11.82	17.38	22.92	209.84	82.29	16.51	15.0	43.63	43.02	20.86	28.65	115.16	12.45	180.02	26.47	27.64	53.57	30.78	9.78	29.27	27.25	23.93	336.79	71.0	148.09	59.13	34.75	30.12	23.93	23.93	20.86	36.01
