	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
ASTL	3.79	15.91	12.0	0.0	0.0	0.0	3.11	2.53	0.0	3.17	0.0	0.0	1.48	1.69	1.11	1.69	1.11	1.36	1.95	0.47	3.29	0.0	0.0	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.42	0.0	0.0	0.79	1.3	0.77	0.0	2.84	0.0	0.92	0.0	0.0	0.0	10.47	1.55	0.0	0.0	0.0	0.0	1.58	0.0	0.0	1.41	0.0	6.01	0.0	0.0	4.86	0.0	18.03	3.08	6.67	1.08	4.7	1.07	19.25	4.35	4.21	3.86	4.62	0.0	6.06	1.89	1.57	9.48	1.11	1.11	2.92	1.27	1.28	2.23	20.71	23.25	1.66	7.11	3.86	9.78	2.94	4.21
ATAD2B	120.1	209.84	120.1	18.43	23.08	57.08	68.07	44.25	20.26	86.43	17.9	15.0	12.64	42.11	23.08	35.25	51.71	21.32	71.0	44.57	74.58	53.57	43.63	74.06	51.35	48.18	37.32	28.86	42.71	34.02	50.63	54.72	47.84	55.89	28.45	57.49	96.68	26.67	43.63	59.13	70.01	48.18	38.4	14.89	35.76	31.22	93.35	46.18	46.18	42.41	95.34	44.25	49.21	40.64	76.17	121.79	30.34	73.03	50.98	43.32	38.4	40.93	182.55	123.5	114.36	144.01	77.25	114.36	138.1	150.17	103.69	167.9	127.89	95.34	177.53	119.26	58.3	195.72	78.89	112.77	132.44	54.72	42.71	50.63	102.97	209.84	50.98	144.01	110.43	164.42	131.51	81.71
ATXN2L	2148.82	4769.75	4419.52	511.0	1605.83	2018.8	1757.34	1662.49	2090.03	1844.76	2061.24	1628.26	1561.89	1322.37	2119.22	2178.83	1697.45	1628.26	1662.49	1806.78	1359.57	1950.0	1519.15	1175.27	1639.59	995.0	1697.45	1685.71	1008.9	1350.18	2061.24	2367.9	1350.18	1295.13	2075.59	1437.15	1037.29	1697.45	1963.57	1733.13	1572.76	1685.71	1369.04	909.17	567.1	493.56	738.29	1923.14	1225.22	693.58	1268.46	684.02	1216.75	1208.34	928.3	928.3	595.34	1417.35	1073.91	1023.0	1073.91	612.11	2976.74	5006.93	2739.08	2090.03	2573.36	3280.18	1977.24	2758.13	2895.31	2018.8	2555.58	2148.82	3982.99	2915.45	1268.46	2997.45	1844.76	2537.92	2287.2	1143.1	1685.71	1378.57	1477.58	2777.33	1340.84	2520.38	3794.3	4450.27	3325.99	1685.71
BRD1	559.28	559.28	473.41	113.56	145.02	293.07	303.44	287.01	158.79	400.71	154.42	90.14	256.78	223.41	262.2	283.05	376.41	368.65	231.32	161.02	154.42	204.07	148.09	218.79	116.78	277.2	172.65	185.11	107.38	155.5	249.73	343.89	178.77	120.94	119.26	191.67	178.77	107.38	125.24	211.31	248.0	177.53	187.71	161.02	126.12	75.11	167.9	332.14	211.31	218.79	249.73	132.44	228.13	144.01	244.57	149.12	107.38	316.37	193.01	239.52	129.69	173.85	693.58	414.87	551.56	397.93	435.55	540.19	571.05	728.11	525.39	447.82	575.03	395.18	571.05	616.37	214.27	769.69	260.38	830.75	435.55	511.0	177.53	447.82	616.37	423.61	214.27	620.67	483.38	656.11	295.11	242.88
BTAF1	435.55	878.17	205.5	39.22	62.56	170.25	90.77	97.36	50.27	305.55	66.18	136.19	34.51	60.82	96.68	44.57	145.02	35.0	145.02	126.12	159.9	58.71	85.22	273.37	108.9	361.04	81.14	54.72	111.99	70.01	73.03	100.13	118.43	99.43	50.63	141.02	229.72	34.75	90.14	153.34	138.1	70.01	80.01	53.19	87.03	78.34	320.8	127.89	149.12	145.02	438.59	145.02	50.98	107.38	47.5	204.07	62.12	273.37	96.68	83.45	81.14	88.26	543.96	271.48	371.22	316.37	157.68	444.72	267.73	423.61	381.68	346.29	325.29	110.43	373.81	473.41	134.3	733.19	144.01	285.03	117.6	204.07	187.71	217.27	571.05	483.38	147.06	532.74	277.2	246.28	258.57	189.02
C1orf213	77.25	57.08	127.0	55.1	90.14	60.82	85.22	33.78	66.18	120.1	57.49	57.49	55.89	41.52	36.79	78.34	26.86	26.47	39.79	18.7	29.7	19.11	14.03	23.59	51.71	20.41	24.28	13.22	8.85	22.59	50.98	44.25	36.27	14.67	31.22	29.7	30.78	49.21	11.73	26.1	31.67	10.71	24.99	19.97	35.76	4.06	30.34	46.84	5.41	17.77	29.7	24.63	45.85	23.93	3.99	11.55	40.64	49.21	40.07	57.89	19.82	19.97	63.89	60.82	75.64	69.03	139.07	80.01	43.94	35.25	139.07	74.06	59.55	27.25	44.25	70.01	37.85	166.73	48.18	59.13	38.67	33.3	23.25	37.32	73.54	121.79	36.01	69.03	72.52	158.79	94.01	64.8
C1orf35	529.06	612.11	1104.13	129.69	135.24	363.56	343.89	318.57	142.01	281.09	185.11	241.19	199.85	256.78	185.11	318.57	275.28	323.03	679.29	435.55	579.04	620.67	209.84	480.04	543.96	769.69	941.27	571.05	189.02	239.52	674.59	693.58	579.04	285.03	595.34	417.77	511.0	872.1	848.22	555.41	444.72	583.07	444.72	126.12	141.02	98.04	204.07	289.02	147.06	198.47	212.78	171.45	246.28	205.5	265.87	142.01	136.19	409.15	198.47	204.07	180.02	141.02	441.64	921.88	540.19	341.51	825.0	507.46	656.11	1015.93	674.59	447.82	802.41	444.72	567.1	633.73	212.78	599.49	194.36	412.0	435.55	470.14	221.86	299.25	301.33	612.11	457.25	305.55	825.0	1023.0	1359.57	253.23
CACNA1I	8.25	33.06	2.39	0.0	0.84	1.13	1.41	2.16	0.0	1.79	0.93	0.0	2.27	0.35	0.75	1.04	1.51	0.0	0.61	0.59	0.0	0.54	0.0	0.0	10.79	0.0	0.57	0.0	0.0	0.55	0.0	5.87	0.0	0.0	0.0	0.58	2.32	0.0	1.57	1.93	3.08	6.01	1.01	0.0	0.0	0.0	0.65	0.0	0.0	0.0	1.53	0.54	1.1	0.0	0.0	0.88	0.04	1.27	0.0	0.0	0.0	0.0	14.14	48.52	18.16	3.59	40.64	40.64	77.79	5.19	12.09	1.77	4.54	3.2	63.45	7.57	1.48	9.27	0.0	10.71	4.35	4.46	6.41	9.13	20.71	3.38	1.35	6.26	1.91	18.7	11.64	4.35
CALML6	52.45	15.0	21.94	0.16	0.0	2.73	9.27	0.93	0.0	6.57	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	12.64	7.82	0.0	6.94	4.74	27.05	15.91	5.06	20.56	37.32	7.0	11.21	21.94	5.92	31.22	7.75	5.19	10.55	18.43	7.75	8.99	30.78	8.78	6.11	6.94	0.0	2.84	0.54	12.74	6.46	1.68	8.19	0.0	8.06	11.04	5.5	8.85	0.29	4.7	38.12	6.16	5.15	6.73	2.03	28.65	5.28	31.67	19.25	32.13	14.03	6.41	56.68	24.81	9.78	90.14	9.56	10.31	37.85	0.0	36.53	17.38	12.93	3.79	11.73	14.89	2.94	3.03	21.32	3.0	20.56	10.71	55.49	30.78	6.06
CCDC14	780.44	921.88	1286.18	36.79	122.64	363.56	435.55	127.0	108.14	825.0	63.0	242.88	21.01	130.6	62.12	111.21	172.65	58.71	223.41	156.59	470.14	139.07	127.89	173.85	258.57	253.23	146.03	163.28	53.95	137.14	466.88	221.86	234.57	195.72	116.78	143.01	521.76	130.6	136.19	262.2	205.5	228.13	163.28	48.52	114.36	80.01	215.77	128.79	149.12	153.34	368.65	190.34	108.14	193.01	170.25	134.3	101.54	363.56	202.66	114.36	107.38	93.35	1044.52	743.43	591.22	802.41	587.13	813.63	1437.15	775.05	909.17	2384.37	769.69	258.57	1322.37	708.18	171.45	813.63	525.39	607.87	713.11	466.88	669.92	941.27	540.19	723.08	234.57	909.17	381.68	1605.83	392.44	376.41
CCDC142	138.1	275.28	182.55	26.1	27.44	87.03	82.87	77.79	37.32	152.28	35.76	64.34	31.67	41.52	44.57	87.03	77.25	67.59	131.51	87.03	152.28	96.01	112.77	208.38	185.11	147.06	93.35	92.7	88.88	74.58	220.32	122.64	132.44	130.6	117.6	154.42	336.79	52.45	212.78	106.63	110.43	110.43	126.12	40.93	61.25	21.16	69.03	96.68	44.25	88.26	77.25	41.52	43.32	103.69	52.82	88.88	72.01	138.1	84.63	85.22	32.36	67.59	130.6	182.55	132.44	115.97	89.51	178.77	144.01	161.02	154.42	170.25	379.04	105.89	255.0	166.73	43.94	100.13	190.34	191.67	156.59	77.25	111.99	171.45	51.71	267.73	64.8	107.38	180.02	260.38	97.36	70.01
CCNL1	2224.63	4512.4	5183.54	161.02	341.51	1963.57	2119.22	616.37	473.41	1857.6	438.59	647.07	327.56	507.46	309.83	379.04	753.83	239.52	1159.07	656.11	1208.34	633.73	563.18	1225.22	543.96	1963.57	633.73	860.08	567.1	591.22	1477.58	890.44	1081.39	563.18	420.68	620.67	759.08	373.81	780.44	1159.07	796.86	909.17	599.49	299.25	503.95	603.67	1561.89	1721.16	3235.01	866.07	878.17	890.44	988.12	624.99	1073.91	1151.06	486.75	1651.0	860.08	642.59	1135.2	567.1	3443.31	1639.59	1617.0	2796.65	2090.03	2935.74	3820.7	2573.36	1721.16	2739.08	2591.27	1286.18	3467.27	2319.15	860.08	3060.45	1397.83	1407.55	1540.37	1259.69	1369.04	1781.89	3190.46	3395.89	759.08	3874.05	2520.38	4210.15	2796.65	1883.54
CCNT2	314.17	476.71	314.17	51.71	67.59	186.4	191.67	114.36	52.45	414.87	66.18	137.14	19.97	111.99	63.89	88.26	147.06	71.0	181.28	116.78	224.97	126.12	107.38	193.01	122.64	180.02	79.45	137.14	151.22	139.07	224.97	244.57	93.35	75.64	61.68	199.85	316.37	62.12	101.54	183.82	166.73	113.56	105.89	24.63	117.6	42.41	100.13	195.72	201.25	88.26	129.69	123.5	80.01	92.7	205.5	172.65	74.58	241.19	162.14	155.5	138.1	82.87	457.25	334.46	334.46	403.5	226.54	473.41	392.44	395.18	339.14	547.75	460.44	368.65	397.93	414.87	214.27	591.22	258.57	244.57	281.09	170.25	106.63	209.84	271.48	366.09	224.97	353.59	301.33	336.79	237.86	223.41
CDK11A	941.27	1819.35	1322.37	166.73	248.0	733.19	693.58	371.22	183.82	656.11	153.34	218.79	182.55	131.51	277.2	540.19	412.0	450.94	808.0	674.59	1037.29	373.81	540.19	571.05	769.69	341.51	718.08	435.55	457.25	571.05	909.17	457.25	486.75	674.59	89.51	373.81	896.64	1378.57	497.0	612.11	514.56	708.18	493.56	291.04	229.72	201.25	423.61	563.18	934.76	346.29	329.84	90.77	361.04	567.1	389.72	435.55	343.89	674.59	426.57	295.11	420.68	314.17	1745.2	1651.0	1467.37	1378.57	1674.06	1870.53	954.43	1769.57	1508.65	1407.55	2018.8	698.41	1151.06	1806.78	229.72	1407.55	559.28	934.76	836.53	698.41	579.04	753.83	842.36	1322.37	237.86	1769.57	1259.69	1437.15	490.14	329.84
CDK9	1417.35	2956.17	1208.34	764.36	503.95	1151.06	1277.29	1104.13	698.41	1437.15	896.64	1081.39	1066.48	934.76	1066.48	1259.69	1023.0	1127.35	1225.22	642.59	1044.52	860.08	813.63	769.69	928.3	974.5	713.11	934.76	2178.83	1088.92	1437.15	1388.16	1051.79	441.64	1159.07	684.02	1104.13	688.78	753.83	995.0	1081.39	1697.45	974.5	1268.46	813.63	995.0	808.0	1015.93	1757.34	1044.52	1519.15	909.17	961.07	1015.93	1216.75	1923.14	780.44	1159.07	1044.52	1037.29	1963.57	884.29	1883.54	1313.23	1617.0	1340.84	1697.45	1685.71	954.43	1457.23	1529.73	1572.76	1340.84	1044.52	1605.83	2018.8	961.07	2796.65	909.17	1977.24	753.83	1295.13	1397.83	1457.23	1617.0	1250.98	738.29	1806.78	1059.11	1127.35	1259.69	1286.18
