	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CN.6012.01A.11R.1686.07	TCGA.CN.6010.01A.11R.1686.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.38.4625.01A.01R.1206.07	TCGA.97.7941.01A.11R.2187.07	TCGA.55.8512.01A.11R.2403.07	TCGA.77.A5GF.01A.21R.A27Q.07	TCGA.66.2795.01A.02R.0980.07	TCGA.63.A5MJ.01A.11R.A27Q.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.E6.A2P9.01A.11R.A19W.07	TCGA.B5.A3FB.01A.11R.A19W.07	GTEX.TSE9.2626.SM.4DXV2	GTEX.13OVJ.2326.SM.5IJGA
DLG1	3467.27	1844.76	1709.26	1806.78	151.22	0.0	551.56	669.92	1096.5	1617.0	1844.76	341.51	660.68	444.72	368.65	323.03
EPT1	325.29	277.2	507.46	1066.48	163.28	0.0	152.28	156.59	571.05	753.83	693.58	106.63	151.22	204.07	87.03	73.03
F11R	15715.58	7180.15	4181.07	3820.7	463.65	2573.36	2287.2	2502.97	4903.87	5751.61	3515.68	1322.37	2682.69	1397.83	441.64	1529.73
FAM83B	25887.07	18689.27	432.53	285.03	2.63	0.0	77.25	36.53	255.0	305.55	108.9	8.78	43.63	25.91	0.92	1.77
FETUB	379.04	6607.01	551.56	273.37	0.0	0.0	1.69	27.44	229.72	234.57	64.34	0.0	9.56	1.04	0.0	0.0
GBP6	9975791.32	1123834.93	1286.18	1250.98	0.0	0.0	8.99	351.14	808.0	441.64	941.27	0.55	0.91	0.93	6.16	0.16
GCLC	7081.29	6164.49	5872.48	1977.24	194.36	1143.1	1104.13	1977.24	7695.57	6294.04	1651.0	194.36	197.09	229.72	373.81	366.09
GM2A	28328.16	12764.83	1605.83	1250.98	197.09	0.0	529.06	525.39	1044.52	1561.89	1143.1	376.41	483.38	260.38	159.9	193.01
GPR87	654483.73	1514068.5	1044.52	836.53	0.0	0.0	14.24	173.85	718.08	1936.53	878.17	2.71	5.92	63.0	0.23	4.06
GSDMC	40904.3	68318.04	406.31	351.14	7.63	0.0	12.74	134.3	170.25	208.38	142.01	5.06	6.94	33.06	2.61	0.2
IL1A	57847.82	70238.75	28.45	51.35	0.67	0.0	5.68	17.77	178.77	121.79	127.0	4.43	2.27	3.99	5.45	0.0
IRF5	1135.2	764.36	476.71	575.03	29.06	0.0	202.66	334.46	429.54	688.78	353.59	73.54	154.42	87.65	13.42	33.78
KCMF1	2240.11	1388.16	1477.58	2047.0	591.22	0.0	878.17	791.35	1369.04	1977.24	1674.06	518.15	764.36	884.29	450.94	830.75
KRT6A	2.01760973986E9	2.41604469791E9	134755.94	75280.1	0.0	0.0	35.0	2090.03	79022.82	88291.3	57051.4	24.28	17.38	70.51	12.93	6.21
ME1	8658.09	3212.66	1369.04	1651.0	239.52	0.0	212.78	447.82	2537.92	6079.61	1721.16	82.87	62.12	32.36	29.06	7.82
MFSD1	2133.97	2816.11	1977.24	1639.59	146.03	0.0	1119.56	1088.92	1605.83	1963.57	1233.75	555.41	620.67	521.76	279.14	463.65
MRAP2	738.29	529.06	444.72	358.54	5.23	46.84	12.64	98.73	679.29	1143.1	256.78	255.0	69.03	54.72	15.8	5.23
MREG	1304.15	825.0	260.38	320.8	6.01	0.0	232.94	223.41	239.52	341.51	267.73	106.63	198.47	138.1	21.47	1.99
PCYT1A	718.08	848.22	1806.78	2935.74	201.25	0.0	633.73	703.28	2163.77	1259.69	2061.24	281.09	466.88	470.14	199.85	316.37
PKP1	3.003205688E7	2.49061716E7	11267.44	9088.59	0.89	0.0	42.41	620.67	7803.01	4181.07	5041.77	4.86	4.66	10.0	0.0	4.35
PPP1R2	2835.7	842.36	1233.75	988.12	297.17	733.19	764.36	718.08	988.12	2682.69	1508.65	470.14	688.78	551.56	624.99	748.61
RAB10	11664.82	4038.61	3874.05	5292.48	934.76	0.0	1561.89	1199.98	3690.52	5441.3	7803.01	947.83	1508.65	1378.57	674.59	830.75
RFFL	1519.15	819.3	555.41	620.67	158.79	0.0	518.15	260.38	738.29	738.29	591.22	190.34	305.55	224.97	139.07	194.36
RNF141	6207.38	2335.28	529.06	665.29	316.37	0.0	665.29	595.34	473.41	808.0	500.46	228.13	343.89	420.68	158.79	183.82
S100A11	353168.2	119776.72	52863.07	59474.18	2855.44	0.0	44145.15	29124.6	82378.63	85283.74	61999.83	27174.14	41763.8	36864.92	6079.61	12244.81
SCYL2	698.41	363.56	532.74	612.11	158.79	0.0	327.56	336.79	603.67	543.96	412.0	175.07	339.14	301.33	215.77	201.25
SEPT10	4328.55	2032.85	1295.13	1950.0	186.4	0.0	967.76	733.19	1030.12	2573.36	1322.37	363.56	518.15	285.03	265.87	769.69
SERPINB5	1825675.85	1589343.01	2855.44	1551.09	1.14	0.0	651.58	684.02	3716.2	2303.12	1508.65	15.56	7.94	17.9	5.82	9.63
SLC31A2	796.86	384.34	379.04	224.97	46.18	0.0	189.02	177.53	255.0	483.38	248.0	100.13	150.17	134.3	60.39	61.68
SOWAHC	18819.27	4607.24	603.67	825.0	69.03	57.08	291.04	191.67	429.54	507.46	575.03	85.22	81.14	51.71	81.71	55.89
TAF1B	518.15	389.72	232.94	314.17	84.04	0.0	140.04	146.03	234.57	486.75	301.33	124.37	133.36	178.77	120.1	132.44
THEM5	1208.34	2367.9	142.01	11.91	1.3	0.0	43.94	10.79	12.93	112.77	18.56	2.05	2.43	5.45	0.0	1.19
TLDC1	4358.66	1183.45	397.93	312.0	48.18	0.0	215.77	264.03	271.48	312.0	287.01	127.0	171.45	183.82	48.52	126.12
TMPRSS4	12329.98	5594.3	5594.3	4802.93	1.11	0.0	2609.3	2573.36	3325.99	3372.43	2895.31	1191.69	93.35	1250.98	68.55	9.13
TMTC3	206.94	273.37	414.87	780.44	36.01	92.05	95.34	141.02	444.72	400.71	325.29	67.59	145.02	121.79	25.17	39.22
TNS4	299043.36	1055868.42	2119.22	1529.73	0.53	94.67	346.29	483.38	579.04	1437.15	1111.82	16.39	41.81	5.23	7.4	2.1
TRIM16	28923.41	28923.41	2485.67	6699.25	189.02	0.0	698.41	974.5	3901.01	2255.7	1037.29	400.71	329.84	387.02	102.25	107.38
TRIM16L	2451.44	1857.6	1832.01	6121.9	55.89	194.36	287.01	642.59	4123.49	2133.97	1059.11	209.84	191.67	198.47	123.5	54.72
TRIM29	1212874.47	1656835.72	12589.08	9344.14	5.28	0.0	1457.23	3742.05	4671.57	7485.11	5219.6	114.36	183.82	423.61	26.86	117.6
TTC39B	884.29	785.88	177.53	575.03	14.45	0.0	387.02	146.03	514.56	708.18	193.01	151.22	69.03	144.01	100.13	131.51
VPS4B	4769.75	1781.89	974.5	836.53	256.78	0.0	536.45	629.35	1143.1	759.08	595.34	314.17	480.04	480.04	146.03	234.57
WFDC12	10225.32	1059.11	80.57	9.93	0.0	0.0	2.92	18.16	3.35	16.88	70.01	0.0	0.0	0.0	0.0	0.0
