	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.50.5045.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.0426.SM.4BRVN	GTEX.S7SF.0426.SM.3K2B7
CD151	8963.45	5219.6	8479.89	3212.66	5555.65	8078.22	2997.45	1639.59	1427.22	2573.36	1277.29	1551.09	1208.34	1529.73	10084.54	3190.46	2018.8	2090.03	1963.57	9808.75	1977.24	13968.57	13492.72
CDC26	909.17	934.76	1151.06	1322.37	974.5	1151.06	708.18	679.29	684.02	616.37	674.59	967.76	967.76	579.04	1519.15	1250.98	961.07	599.49	775.05	1242.34	0.67	1617.0	2018.8
CHMP4B	4358.66	2209.26	2573.36	1594.73	1487.87	3146.52	1286.18	791.35	896.64	884.29	842.36	1628.26	1199.98	633.73	3190.46	1806.78	1159.07	988.12	1151.06	4239.45	0.84	3349.13	3280.18
CLTB	3124.78	2119.22	3081.75	2075.59	1359.57	2664.15	1617.0	872.1	1674.06	1259.69	1242.34	1806.78	1096.5	1023.0	3742.05	2119.22	1191.69	947.83	961.07	3018.3	1.04	3212.66	3768.09
COMMD6	6079.61	4836.35	5147.73	4419.52	4802.93	4639.29	4639.29	2451.44	3280.18	2520.38	2895.31	2701.35	4152.18	2875.3	4869.99	9151.82	2468.49	2976.74	2956.17	8598.28	1685.71	5147.73	5672.41
COMTD1	703.28	665.29	2032.85	1015.93	633.73	1167.14	441.64	361.04	476.71	616.37	438.59	819.3	432.53	423.61	1819.35	346.29	587.13	466.88	511.0	878.17	518.15	591.22	521.76
DNAJC15	620.67	476.71	195.72	167.9	438.59	915.51	638.15	339.14	201.25	153.34	599.49	995.0	743.43	441.64	1037.29	947.83	441.64	403.5	493.56	665.29	0.46	1051.79	1583.71
DPH3	366.09	384.34	603.67	384.34	316.37	532.74	295.11	97.36	234.57	138.1	149.12	248.0	197.09	176.29	563.18	450.94	241.19	195.72	182.55	543.96	0.32	915.51	896.64
FDX1L	902.89	599.49	934.76	624.99	536.45	651.58	656.11	633.73	563.18	624.99	532.74	521.76	551.56	551.56	1135.2	624.99	432.53	414.87	441.64	1023.0	0.21	764.36	941.27
HK1	1628.26	387.02	743.43	125.24	211.31	688.78	144.01	55.89	43.63	53.57	104.42	283.05	113.56	40.36	764.36	262.2	67.59	88.88	83.45	854.13	119.26	3168.41	2537.92
IMP4	1977.24	2090.03	2240.11	2367.9	1594.73	2400.97	1745.2	1313.23	1870.53	1685.71	1427.22	1909.85	1519.15	1819.35	2537.92	2271.4	1447.15	1487.87	1242.34	1977.24	0.35	2520.38	2061.24
ITGB5	3419.52	2701.35	2537.92	1583.71	1883.54	2417.67	775.05	1191.69	651.58	1015.93	748.61	1498.22	1208.34	836.53	8022.41	1794.29	872.1	842.36	934.76	2777.33	0.93	1081.39	3280.18
KLHL18	198.47	182.55	277.2	141.02	142.01	223.41	218.79	47.84	258.57	122.64	112.77	133.36	73.54	53.57	348.71	136.19	132.44	134.3	108.9	232.94	0.4	607.87	525.39
LSM10	1594.73	1059.11	1030.12	1277.29	1008.9	1662.49	1015.93	400.71	802.41	878.17	743.43	769.69	836.53	830.75	2451.44	1359.57	638.15	780.44	848.22	2384.37	0.54	1896.65	2520.38
MYL12A	10512.82	14461.21	10154.69	7485.11	9540.5	15499.21	6471.02	3081.75	3742.05	3768.09	4607.24	5366.37	4328.55	2739.08	15499.21	13399.51	6426.31	3847.29	4358.66	18431.96	1.19	15607.02	12329.98
MYL12B	9540.5	14163.58	10225.32	8134.41	10883.59	18052.61	6935.54	4152.18	5147.73	5791.62	4903.87	7537.18	6337.83	4388.98	14663.09	13033.07	8247.98	4937.99	5403.7	21919.61	1.17	13681.08	13776.25
NDUFAF4	1111.82	1191.69	1135.2	1268.46	780.44	1540.37	866.07	289.02	872.1	466.88	486.75	967.76	463.65	595.34	2061.24	1844.76	629.35	540.19	665.29	656.11	0.42	836.53	1250.98
NOD2	82.29	24.63	51.35	16.51	32.13	21.78	5.06	3.92	2.89	3.5	8.0	22.43	4.7	8.19	43.94	8.38	6.31	4.5	3.63	81.71	0.52	249.73	163.28
NOP10	6207.38	3768.09	4802.93	4769.75	4298.64	7857.29	3124.78	2573.36	3303.0	2758.13	2758.13	4152.18	3443.31	1977.24	6652.97	5633.22	3742.05	2645.74	3372.43	8778.97	1044.52	10368.08	11035.54
NTMT1	1135.2	1159.07	1359.57	1208.34	860.08	1175.27	1096.5	599.49	866.07	529.06	497.0	872.1	769.69	928.3	1674.06	1051.79	656.11	708.18	629.35	1427.22	0.54	1427.22	1427.22
NUDT22	1844.76	1096.5	1081.39	1551.09	967.76	728.11	1059.11	872.1	460.44	995.0	854.13	1208.34	796.86	1216.75	3847.29	1467.37	684.02	669.92	728.11	1769.57	0.65	1216.75	1529.73
ORMDL2	1540.37	1167.14	2178.83	928.3	1191.69	1519.15	753.83	575.03	748.61	713.11	551.56	1216.75	718.08	426.57	1870.53	1135.2	785.88	665.29	703.28	3515.68	0.13	2915.45	3515.68
OSTF1	1745.2	1023.0	1183.45	848.22	896.64	1733.13	947.83	525.39	470.14	450.94	507.46	660.68	693.58	316.37	1685.71	1447.15	791.35	688.78	759.08	1936.53	947.83	2451.44	2133.97
P2RX4	1781.89	629.35	1030.12	571.05	457.25	872.1	381.68	301.33	221.86	262.2	198.47	173.85	325.29	180.02	1183.45	473.41	157.68	136.19	175.07	1427.22	0.58	1081.39	2271.4
PAQR5	285.03	74.58	35.76	24.63	28.86	273.37	87.65	10.39	1.64	9.7	17.64	38.95	9.63	6.41	457.25	34.75	82.87	10.47	10.39	34.51	59.13	87.65	155.5
PDK3	178.77	76.17	115.16	81.14	81.14	406.31	71.0	35.76	37.85	46.5	45.85	105.15	54.33	18.7	389.72	120.94	97.36	33.54	25.17	143.01	0.53	97.36	102.25
PDXK	3690.52	1685.71	2287.2	1594.73	1417.35	1508.65	1167.14	1175.27	995.0	878.17	796.86	1037.29	836.53	890.44	3039.3	1350.18	693.58	813.63	819.3	3146.52	271.48	5711.87	5041.77
PLOD2	638.15	848.22	836.53	693.58	612.11	884.29	624.99	470.14	460.44	454.09	438.59	412.0	432.53	283.05	2855.44	896.64	518.15	503.95	579.04	1605.83	295.11	616.37	591.22
POLG	981.29	753.83	860.08	684.02	660.68	346.29	221.86	514.56	536.45	571.05	423.61	500.46	348.71	647.07	1427.22	532.74	603.67	575.03	441.64	713.11	0.87	1417.35	1051.79
POMP	2701.35	2061.24	2193.99	1936.53	2004.85	3716.2	1832.01	995.0	1407.55	1225.22	1233.75	1896.65	1594.73	967.76	2739.08	3372.43	1477.58	1151.06	1508.65	2915.45	0.62	3589.58	4607.24
PPP4C	2485.67	2417.67	2163.77	2796.65	1977.24	3349.13	2351.53	2209.26	1662.49	2061.24	1639.59	1909.85	2451.44	2287.2	3955.48	2609.3	2335.28	1594.73	1651.0	4419.52	1.01	3716.2	4268.94
PRAF2	954.43	555.41	656.11	309.83	253.23	426.57	191.67	102.97	176.29	143.01	161.02	209.84	208.38	123.5	426.57	255.0	167.9	128.79	134.3	866.07	0.83	1066.48	2133.97
PTRH1	769.69	341.51	748.61	353.59	260.38	373.81	320.8	173.85	293.07	289.02	190.34	267.73	205.5	161.02	400.71	293.07	130.6	162.14	154.42	583.07	0.33	780.44	753.83
PYCARD	2664.15	860.08	2520.38	511.0	497.0	2591.27	279.14	130.6	132.44	102.25	74.06	81.14	194.36	98.04	2537.92	371.22	228.13	130.6	76.71	1781.89	0.33	2434.5	3257.52
RAB20	2609.3	1572.76	1073.91	941.27	1037.29	1857.6	651.58	493.56	249.73	476.71	129.69	220.32	587.13	387.02	1331.57	1313.23	753.83	532.74	358.54	1191.69	0.36	1883.54	1127.35
RAB32	4836.35	1277.29	1119.56	819.3	1191.69	3820.7	1030.12	293.07	603.67	511.0	312.0	808.0	363.56	318.57	1909.85	1023.0	312.0	361.04	555.41	1950.0	0.58	2758.13	2090.03
RHOG	4123.49	1437.15	2303.12	1051.79	896.64	1781.89	808.0	463.65	536.45	483.38	351.14	629.35	417.77	412.0	2434.5	785.88	441.64	612.11	420.68	3103.19	0.52	4358.66	3303.0
RNF175	25.72	11.04	8.99	6.62	5.73	17.51	2.76	0.36	3.44	0.34	3.29	9.63	0.75	2.94	28.24	4.66	0.99	0.87	3.08	28.04	0.35	220.32	51.35
S100A10	13872.08	6561.36	11664.82	2061.24	3039.3	16727.26	3349.13	1733.13	954.43	1883.54	3146.52	3168.41	981.29	1331.57	25005.23	3372.43	4095.0	693.58	1594.73	25005.23	1.14	23330.64	77934.88
SDF2	1295.13	1051.79	1081.39	1151.06	1286.18	1233.75	884.29	836.53	981.29	693.58	708.18	1088.92	1044.52	934.76	1697.45	1427.22	674.59	896.64	860.08	2335.28	684.02	1870.53	2240.11
SH2D5	23.93	1.99	1.41	1.2	1.33	3.32	0.0	0.0	0.0	0.0	0.66	18.29	0.3	0.57	28.86	2.86	0.24	0.37	0.0	4.46	0.45	9.06	7.28
SH3BGRL3	9606.86	3443.31	8134.41	2224.63	2148.82	8479.89	961.07	738.29	567.1	884.29	1023.0	1059.11	1008.9	733.19	11035.54	2351.53	1540.37	872.1	616.37	11827.67	0.72	15499.21	26248.46
SH3GLB1	1104.13	1001.93	1051.79	633.73	733.19	1233.75	540.19	262.2	518.15	318.57	343.89	500.46	441.64	258.57	1111.82	1001.93	480.04	358.54	334.46	1950.0	0.6	4575.41	3847.29
SLC10A3	733.19	392.44	371.22	201.25	189.02	262.2	88.88	140.04	84.63	166.73	111.21	212.78	115.97	90.77	688.78	432.53	143.01	121.79	95.34	775.05	0.66	529.06	713.11
SLC16A3	3212.66	575.03	1769.57	237.86	151.22	802.41	187.71	34.02	124.37	42.11	23.93	215.77	42.41	39.5	2119.22	629.35	67.12	44.25	14.67	3018.3	0.77	12160.22	3443.31
SLC39A3	1322.37	769.69	1295.13	759.08	713.11	1167.14	1023.0	412.0	830.75	656.11	511.0	591.22	633.73	493.56	1378.57	463.65	547.75	412.0	444.72	1111.82	0.0	1037.29	1159.07
SRSF12	17.25	15.8	5.15	3.5	2.12	18.7	12.0	0.96	3.89	0.91	12.93	5.68	0.71	3.53	26.47	11.13	1.68	1.23	0.0	22.1	0.41	24.81	12.55
TLR2	412.0	111.21	169.07	90.14	100.13	293.07	50.98	24.28	18.84	4.43	36.53	135.24	48.52	21.47	281.09	84.04	29.7	15.68	17.9	264.03	0.49	3614.55	591.22
TXNL4A	2915.45	1794.29	1991.0	2209.26	1806.78	1674.06	2224.63	1529.73	1769.57	1447.15	1639.59	1857.6	1259.69	1487.87	3257.52	2591.27	1233.75	1322.37	1617.0	2609.3	0.62	3419.52	4450.27
UBE2F	1340.84	1159.07	1551.09	1159.07	1051.79	1199.98	1322.37	612.11	1059.11	579.04	802.41	934.76	848.22	638.15	1561.89	1427.22	915.51	775.05	961.07	1540.37	0.61	2104.58	1909.85
UPP1	1551.09	825.0	1191.69	718.08	307.69	1268.46	305.55	223.41	336.79	229.72	246.28	1159.07	323.03	277.2	2796.65	909.17	351.14	236.21	215.77	4512.4	0.92	8305.36	2335.28
