	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.BH.A0E7.01A.11R.A034.07	TCGA.BH.AB28.01A.31R.A41B.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.BH.A0H6.01A.21R.A056.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A0EB.01A.11R.A034.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.A7.A13H.01A.11R.A22K.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.E9.A1NH.01A.11R.A14D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E2.A1LK.01A.21R.A14D.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.EX.A3L1.01A.11R.A32Y.07	TCGA.43.6771.01A.11R.1820.07
COPS5	909.17	2520.38	6607.01	2417.67	1015.93	3742.05	1572.76	1331.57	4388.98	2434.5	4038.61	1674.06	2520.38	1605.83	1250.98	1295.13	1857.6	3467.27	4268.94	1909.85	3540.14	1437.15	5255.91	733.19	1662.49	2537.92	1457.23	1313.23	1519.15	1119.56	1963.57	1233.75	2209.26	2417.67	1250.98	1721.16	1286.18	3168.41	6471.02	1088.92	5831.91	4769.75	1594.73	1628.26	1151.06	1388.16	1313.23	1447.15	1628.26	1081.39	1733.13	1733.13	5006.93	1605.83	2816.11	1685.71	775.05	775.05
CPNE3	470.14	2468.49	4769.75	3124.78	1127.35	3190.46	1242.34	974.5	6426.31	2895.31	4328.55	1832.01	2468.49	1498.22	1135.2	1447.15	2935.74	2417.67	3280.18	1733.13	3325.99	1250.98	2777.33	791.35	1540.37	4419.52	759.08	1051.79	1487.87	1175.27	1709.26	738.29	878.17	1923.14	934.76	1104.13	1104.13	3540.14	3081.75	1242.34	3928.15	5041.77	3146.52	1498.22	1104.13	1313.23	1447.15	2935.74	1651.0	1111.82	961.07	656.11	432.53	2451.44	848.22	2351.53	323.03	547.75
CSPP1	84.04	480.04	872.1	591.22	199.85	312.0	199.85	165.57	651.58	256.78	460.44	189.02	480.04	172.65	141.02	139.07	191.67	454.09	543.96	177.53	967.76	111.21	587.13	59.97	215.77	426.57	114.36	89.51	194.36	130.6	165.57	205.5	177.53	129.69	140.04	201.25	165.57	361.04	473.41	111.99	551.56	679.29	108.14	98.73	79.45	187.71	260.38	392.44	271.48	231.32	217.27	116.78	108.9	249.73	116.78	237.86	48.52	40.07
DCAF13	397.93	1417.35	3665.02	1304.15	571.05	1832.01	642.59	432.53	2224.63	1794.29	3060.45	896.64	1417.35	775.05	567.1	371.22	1044.52	1844.76	2351.53	825.0	2178.83	656.11	2573.36	376.41	884.29	1628.26	486.75	665.29	703.28	536.45	1159.07	403.5	1628.26	1519.15	567.1	1832.01	575.03	2573.36	3742.05	438.59	3540.14	2351.53	753.83	647.07	759.08	647.07	283.05	660.68	769.69	476.71	620.67	1268.46	954.43	603.67	753.83	703.28	327.56	323.03
DERL1	500.46	2434.5	5403.7	2816.11	995.0	3928.15	2032.85	1143.1	3564.78	1508.65	5219.6	1551.09	2434.5	1378.57	1594.73	842.36	1605.83	2417.67	3039.3	2351.53	3349.13	1561.89	3146.52	1081.39	1529.73	2956.17	921.88	1745.2	1340.84	1561.89	1561.89	896.64	2520.38	2271.4	836.53	2816.11	1096.5	3060.45	5112.16	1498.22	4575.41	5872.48	1991.0	1651.0	1242.34	1175.27	928.3	1304.15	830.75	1030.12	1104.13	1397.83	1651.0	1605.83	981.29	1397.83	878.17	947.83
DSCC1	51.71	111.21	339.14	80.57	53.19	141.02	78.34	60.82	178.77	198.47	273.37	104.42	111.21	75.11	45.21	61.68	131.51	119.26	195.72	62.56	112.77	60.39	327.56	33.06	71.0	373.81	35.0	49.56	66.18	78.34	78.89	43.32	150.17	303.44	48.87	281.09	45.53	122.64	764.36	25.35	248.0	555.41	98.73	77.25	63.89	59.55	20.41	59.55	52.82	56.28	81.71	59.97	149.12	118.43	59.97	125.24	68.07	36.27
E2F5	39.5	583.07	698.41	395.18	215.77	497.0	312.0	178.77	511.0	808.0	775.05	121.79	583.07	149.12	162.14	180.02	293.07	500.46	1044.52	186.4	603.67	92.7	693.58	128.79	312.0	368.65	141.02	110.43	146.03	182.55	343.89	180.02	450.94	277.2	218.79	368.65	186.4	1051.79	708.18	109.66	1175.27	866.07	145.02	70.51	144.01	229.72	253.23	191.67	277.2	220.32	176.29	198.47	221.86	239.52	167.9	183.82	34.02	38.95
EBAG9	221.86	1498.22	2739.08	1407.55	674.59	2351.53	547.75	511.0	2609.3	1259.69	1508.65	878.17	1498.22	728.11	633.73	728.11	890.44	1883.54	2193.99	825.0	1662.49	708.18	2335.28	348.71	813.63	1674.06	507.46	718.08	708.18	748.61	718.08	447.82	1769.57	447.82	460.44	947.83	728.11	1819.35	2240.11	607.87	2400.97	1883.54	567.1	941.27	651.58	830.75	674.59	1030.12	785.88	447.82	543.96	988.12	753.83	2133.97	1073.91	703.28	269.6	178.77
EMC2	503.95	1794.29	3847.29	1304.15	866.07	3847.29	1277.29	1059.11	5255.91	2004.85	3928.15	1304.15	1794.29	1051.79	974.5	1023.0	1242.34	2178.83	2193.99	1388.16	2271.4	1322.37	3955.48	583.07	1350.18	2133.97	995.0	775.05	1001.93	1044.52	1721.16	733.19	1529.73	1572.76	603.67	2090.03	954.43	2468.49	3515.68	1088.92	4512.4	2485.67	878.17	1350.18	974.5	1051.79	1340.84	981.29	1757.34	1183.45	860.08	2434.5	1437.15	2287.2	1561.89	1977.24	432.53	503.95
ENY2	1369.04	4152.18	9025.81	4210.15	2303.12	6337.83	2417.67	2047.0	8718.32	5183.54	9409.14	2976.74	4152.18	2400.97	3060.45	1857.6	2520.38	5555.65	7331.05	3491.39	6652.97	2303.12	6250.56	1883.54	2400.97	5147.73	1923.14	2796.65	2075.59	2303.12	3018.3	1721.16	5183.54	3060.45	1781.89	5517.27	1832.01	3443.31	11035.54	1857.6	8840.04	7966.99	2303.12	2319.15	2627.46	2178.83	1697.45	1733.13	1397.83	1674.06	1781.89	4152.18	5041.77	1757.34	3372.43	2303.12	2047.0	1457.23
ESRP1	1268.46	1721.16	3081.75	1397.83	1135.2	3395.89	1561.89	1529.73	5183.54	2645.74	5292.48	1896.65	1721.16	1127.35	836.53	775.05	1977.24	2240.11	3419.52	1794.29	2739.08	860.08	4181.07	575.03	2555.58	2287.2	1051.79	954.43	1709.26	1167.14	2104.58	854.13	1397.83	2178.83	928.3	2209.26	1191.69	3515.68	3589.58	748.61	5255.91	4481.23	1685.71	1304.15	1295.13	1199.98	769.69	647.07	733.19	603.67	607.87	392.44	532.74	713.11	563.18	633.73	460.44	1008.9
FAM84B	258.57	2032.85	5112.16	3690.52	1104.13	3325.99	1529.73	620.67	2335.28	866.07	3212.66	2384.37	2032.85	2255.7	764.36	1709.26	1044.52	3235.01	3235.01	1001.93	3124.78	1104.13	6250.56	336.79	1721.16	2855.44	819.3	1259.69	1936.53	743.43	1175.27	896.64	1437.15	1208.34	698.41	1119.56	1388.16	4328.55	2935.74	1397.83	808.0	3395.89	1259.69	1437.15	753.83	1487.87	1447.15	1427.22	2075.59	813.63	1015.93	249.73	607.87	1388.16	1685.71	1159.07	171.45	253.23
FAM91A1	129.69	713.11	1639.59	909.17	409.15	819.3	616.37	423.61	1529.73	583.07	1059.11	567.1	713.11	473.41	353.59	1359.57	848.22	679.29	791.35	595.34	1023.0	325.29	848.22	339.14	733.19	1769.57	255.0	384.34	450.94	483.38	507.46	341.51	454.09	718.08	293.07	733.19	341.51	1407.55	967.76	444.72	1037.29	2090.03	353.59	273.37	295.11	454.09	511.0	466.88	808.0	525.39	444.72	400.71	93.35	559.28	316.37	743.43	301.33	314.17
HRSP12	287.01	1135.2	1487.87	620.67	348.71	2537.92	358.54	665.29	2303.12	1135.2	3124.78	915.51	1135.2	432.53	563.18	303.44	366.09	1721.16	1437.15	819.3	1023.0	660.68	1572.76	234.57	244.57	616.37	457.25	348.71	638.15	312.0	1233.75	361.04	1259.69	785.88	356.05	514.56	457.25	1594.73	2502.97	379.04	3280.18	2209.26	348.71	536.45	764.36	454.09	500.46	457.25	271.48	486.75	400.71	348.71	718.08	486.75	665.29	540.19	255.0	140.04
IMPA1	71.0	368.65	669.92	435.55	118.43	392.44	287.01	158.79	624.99	490.14	432.53	327.56	368.65	299.25	165.57	237.86	376.41	260.38	206.94	242.88	409.15	126.12	684.02	127.0	202.66	974.5	134.3	162.14	140.04	221.86	229.72	161.02	262.2	336.79	178.77	289.02	223.41	591.22	583.07	215.77	435.55	830.75	236.21	211.31	177.53	239.52	273.37	384.34	182.55	248.0	177.53	177.53	170.25	483.38	185.11	490.14	162.14	150.17
IMPAD1	135.24	1540.37	2555.58	1498.22	511.0	1721.16	1023.0	583.07	4836.35	1331.57	2777.33	769.69	1540.37	728.11	669.92	511.0	974.5	1088.92	1225.22	1073.91	1697.45	656.11	2104.58	612.11	825.0	1991.0	412.0	713.11	693.58	669.92	813.63	441.64	884.29	1175.27	708.18	555.41	591.22	2061.24	1819.35	896.64	3018.3	1844.76	612.11	457.25	507.46	587.13	718.08	688.78	679.29	660.68	480.04	967.76	373.81	1030.12	769.69	665.29	334.46	368.65
INTS8	406.31	995.0	1870.53	791.35	656.11	1175.27	703.28	579.04	1870.53	1051.79	1991.0	872.1	995.0	629.35	567.1	567.1	825.0	1721.16	1551.09	748.61	1508.65	514.56	2485.67	348.71	961.07	902.89	555.41	466.88	825.0	603.67	896.64	591.22	780.44	1119.56	802.41	642.59	674.59	2075.59	1950.0	409.15	3257.52	1745.2	490.14	629.35	674.59	607.87	547.75	813.63	420.68	503.95	808.0	368.65	463.65	555.41	312.0	638.15	273.37	358.54
KIAA0196	209.84	2287.2	3395.89	2682.69	813.63	2664.15	748.61	1151.06	2573.36	995.0	1781.89	1111.82	2287.2	1175.27	872.1	2664.15	1286.18	1977.24	2591.27	1322.37	2956.17	896.64	2271.4	476.71	1151.06	2645.74	651.58	967.76	974.5	896.64	2255.7	748.61	1605.83	1477.58	563.18	1208.34	708.18	2351.53	2163.77	638.15	2303.12	3303.0	1143.1	647.07	723.08	738.29	775.05	1023.0	1286.18	423.61	620.67	633.73	497.0	915.51	808.0	878.17	358.54	412.0
LYPLA1	277.2	5995.9	7966.99	3325.99	738.29	5479.15	2119.22	1183.45	16045.82	1757.34	3742.05	4152.18	5995.9	2271.4	1605.83	1250.98	3303.0	2855.44	5183.54	1757.34	5219.6	2075.59	3690.52	836.53	1331.57	9279.58	1936.53	1733.13	2468.49	2255.7	1508.65	1096.5	1963.57	2875.3	688.78	1233.75	1104.13	5183.54	3168.41	1059.11	3081.75	7589.61	3060.45	1037.29	915.51	1529.73	896.64	2627.46	1044.52	595.34	854.13	1857.6	1295.13	5441.3	5076.84	2119.22	941.27	854.13
MGP	6079.61	39237.98	89523.81	225066.78	301123.38	998912.34	365622.68	381149.17	1139523.1	659036.03	343510.77	502929.67	39237.98	736332.6	623486.02	577714.63	425853.18	231394.29	194578.47	716197.51	103551.29	546551.29	144427.91	280957.98	355624.68	466008.55	489177.0	234624.45	358098.26	400098.69	1196176.45	186652.11	411347.03	405683.88	223512.12	539026.74	623486.02	290865.98	8901.53	706337.4	14971.21	57051.4	459592.86	687022.54	417089.23	800198.39	598087.73	585779.24	1524599.69	496005.67	565825.41	869603.57	1100706.72	845824.19	1308968.45	614902.29	2255.7	540.19
MRPL15	579.04	1991.0	3901.01	1359.57	698.41	2796.65	1044.52	842.36	7433.4	2032.85	3257.52	1605.83	1991.0	981.29	1331.57	753.83	995.0	2240.11	4268.94	1733.13	3190.46	1295.13	3124.78	738.29	1104.13	2417.67	1081.39	1001.93	1051.79	866.07	1313.23	830.75	2701.35	3349.13	802.41	1628.26	928.3	2555.58	4450.27	708.18	11189.6	3190.46	1081.39	599.49	909.17	921.88	543.96	587.13	780.44	435.55	603.67	1359.57	1651.0	1001.93	1745.2	1044.52	836.53	684.02
MTDH	211.31	2255.7	4152.18	2434.5	1143.1	2591.27	1561.89	1304.15	4903.87	3614.55	6516.03	1322.37	2255.7	1540.37	921.88	1397.83	2895.31	1322.37	2384.37	1540.37	1733.13	785.88	2537.92	954.43	1923.14	3847.29	738.29	1066.48	1359.57	1388.16	1015.93	915.51	1977.24	1467.37	796.86	1936.53	775.05	2303.12	2796.65	1437.15	3820.7	5479.15	1268.46	1242.34	884.29	878.17	842.36	1397.83	988.12	1037.29	656.11	941.27	571.05	1477.58	718.08	1457.23	591.22	860.08
MTERFD1	253.23	902.89	1870.53	836.53	423.61	954.43	450.94	417.77	1407.55	1088.92	2018.8	518.15	902.89	429.54	441.64	361.04	540.19	1088.92	1407.55	429.54	1096.5	417.77	1605.83	305.55	571.05	1051.79	356.05	271.48	339.14	273.37	579.04	361.04	854.13	759.08	368.65	693.58	426.57	1487.87	2075.59	279.14	3168.41	1397.83	384.34	518.15	460.44	435.55	273.37	547.75	253.23	197.09	329.84	563.18	1369.04	511.0	525.39	371.22	171.45	132.44
MTFR1	246.28	1225.22	3280.18	1268.46	435.55	2018.8	414.87	314.17	2816.11	934.76	2209.26	878.17	1225.22	438.59	423.61	279.14	743.43	1331.57	2384.37	511.0	2271.4	363.56	1397.83	253.23	403.5	928.3	412.0	341.51	381.68	426.57	848.22	289.02	651.58	860.08	348.71	624.99	348.71	1295.13	2271.4	450.94	2701.35	3589.58	339.14	633.73	423.61	409.15	480.04	460.44	305.55	791.35	551.56	518.15	187.71	688.78	239.52	514.56	320.8	316.37
NSMCE2	353.59	1233.75	2133.97	902.89	536.45	1794.29	733.19	555.41	2193.99	780.44	1417.35	995.0	1233.75	679.29	591.22	1369.04	780.44	1427.22	2178.83	753.83	2335.28	624.99	2119.22	301.33	785.88	1216.75	473.41	647.07	521.76	591.22	1051.79	583.07	1639.59	1651.0	403.5	967.76	629.35	1304.15	2271.4	563.18	2271.4	2645.74	688.78	540.19	647.07	647.07	830.75	607.87	660.68	397.93	612.11	1001.93	830.75	1963.57	1081.39	921.88	339.14	312.0
NUDCD1	103.69	414.87	1119.56	373.81	234.57	555.41	336.79	181.28	1044.52	866.07	995.0	389.72	414.87	285.03	262.2	153.34	381.68	555.41	759.08	242.88	575.03	228.13	669.92	223.41	329.84	848.22	195.72	217.27	275.28	217.27	323.03	173.85	532.74	660.68	187.71	543.96	242.88	802.41	1008.9	392.44	1250.98	967.76	258.57	197.09	237.86	277.2	221.86	234.57	351.14	242.88	249.73	603.67	363.56	397.93	281.09	447.82	208.38	158.79
OSGIN2	65.72	583.07	1721.16	967.76	426.57	1806.78	346.29	167.9	1313.23	591.22	1015.93	518.15	583.07	698.41	320.8	327.56	429.54	579.04	759.08	400.71	915.51	273.37	796.86	221.86	854.13	1023.0	228.13	329.84	412.0	414.87	397.93	229.72	503.95	872.1	339.14	780.44	305.55	915.51	1023.0	423.61	642.59	1745.2	693.58	351.14	163.28	361.04	555.41	368.65	529.06	341.51	435.55	334.46	232.94	1059.11	497.0	612.11	204.07	133.36
OTUD6B	55.89	242.88	587.13	271.48	122.64	265.87	186.4	153.34	620.67	320.8	540.19	143.01	242.88	141.02	111.99	105.15	172.65	256.78	334.46	120.1	361.04	73.54	441.64	42.11	175.07	612.11	111.99	104.42	117.6	102.25	170.25	125.24	166.73	191.67	106.63	209.84	96.01	536.45	412.0	111.21	438.59	525.39	100.83	77.79	111.99	145.02	201.25	193.01	332.14	209.84	277.2	177.53	55.1	236.21	103.69	262.2	70.51	66.65
OXR1	205.5	995.0	1605.83	733.19	444.72	819.3	466.88	521.76	1794.29	947.83	1059.11	438.59	995.0	684.02	389.72	1167.14	848.22	764.36	981.29	463.65	981.29	656.11	1639.59	316.37	808.0	2400.97	301.33	373.81	802.41	603.67	493.56	379.04	575.03	607.87	381.68	579.04	490.14	1594.73	395.18	463.65	941.27	1242.34	486.75	435.55	412.0	688.78	1242.34	1051.79	1001.93	1313.23	656.11	579.04	723.08	1769.57	743.43	1628.26	215.77	237.86
PEX2	301.33	2855.44	5555.65	3716.2	1359.57	4903.87	1487.87	854.13	3303.0	1991.0	3103.19	2367.9	2855.44	1561.89	1037.29	1447.15	1870.53	3081.75	3847.29	1529.73	3665.02	1242.34	4010.71	660.68	1225.22	3124.78	1044.52	1242.34	1605.83	1331.57	1304.15	1073.91	1977.24	1183.45	921.88	1508.65	1498.22	2417.67	2609.3	1447.15	2701.35	4268.94	1896.65	1350.18	1259.69	1936.53	1936.53	2758.13	2739.08	1175.27	1259.69	1023.0	3124.78	2591.27	3928.15	2061.24	432.53	406.31
POLR2K	802.41	3874.05	6745.86	2855.44	1233.75	6079.61	2163.77	974.5	8022.41	2287.2	4972.34	2758.13	3874.05	2032.85	1617.0	2434.5	2520.38	3614.55	5006.93	2224.63	4066.71	1651.0	5517.27	981.29	2224.63	5711.87	1427.22	1662.49	1594.73	1286.18	1819.35	1104.13	3280.18	1991.0	1551.09	3103.19	1277.29	4671.57	9409.14	1073.91	4671.57	8421.31	1794.29	2701.35	1662.49	1674.06	1331.57	1175.27	1745.2	988.12	1447.15	2451.44	5006.93	3039.3	5076.84	2148.82	587.13	612.11
PPAT	117.6	275.28	728.11	236.21	159.9	244.57	155.5	172.65	457.25	277.2	454.09	229.72	275.28	218.79	185.11	183.82	346.29	186.4	279.14	147.06	205.5	137.14	343.89	85.82	209.84	616.37	111.21	149.12	212.78	131.51	339.14	122.64	166.73	269.6	141.02	318.57	157.68	371.22	339.14	155.5	224.97	283.05	153.34	143.01	199.85	172.65	177.53	197.09	144.01	127.0	126.12	197.09	217.27	255.0	170.25	232.94	129.69	68.07
