	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CV.7235.11A.01R.2016.07	GTEX.ZLFU.0926.SM.5P9F8	TCGA.CJ.4881.01A.01R.1305.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.13FTZ.0526.SM.5IJCW	TCGA.98.A53C.01A.11R.A262.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.12WSB.0726.SM.5N9GD
FIBIN	10.0	59.13	607.87	163.28	136.19	12.18	6.06	1.77	134.3	0.0	21.32	166.73	23.08	50.27	6.16	22.1	48.18	5.92	12.83	31.45	16.39	11.47	16.27	253.23	13.03	842.36	363.56	287.01	231.32	185.11	172.65
FNBP1L	150.17	947.83	624.99	547.75	842.36	142.01	173.85	144.01	220.32	209.84	182.55	346.29	287.01	291.04	231.32	190.34	217.27	122.64	206.94	170.25	129.69	169.07	162.14	180.02	51.35	486.75	514.56	460.44	373.81	620.67	808.0
GLIPR2	86.43	1119.56	1051.79	599.49	785.88	68.55	98.73	50.27	327.56	17.25	62.56	591.22	101.54	194.36	120.94	73.03	145.02	43.02	75.11	108.14	87.65	119.26	73.03	559.28	26.86	2303.12	1119.56	1540.37	947.83	896.64	1540.37
GPR63	0.73	6.21	6.21	9.27	15.91	1.1	1.06	0.58	2.76	0.0	0.72	2.25	0.0	1.22	0.0	0.69	0.0	0.0	0.67	0.69	0.0	0.0	1.97	2.27	0.41	65.26	8.0	30.34	28.86	4.5	16.39
GULP1	13.32	420.68	376.41	57.89	124.37	0.83	5.96	2.18	161.02	0.71	11.47	82.29	3.2	47.17	14.35	12.64	19.25	3.5	10.08	17.38	8.71	18.29	9.06	46.84	63.45	1639.59	251.48	967.76	532.74	142.01	332.14
HFM1	0.8	4.82	17.64	3.44	5.32	0.65	1.11	0.0	3.92	0.0	3.76	10.47	0.0	3.59	1.33	0.77	1.43	0.69	1.35	0.0	0.75	4.03	0.0	2.71	0.3	13.62	9.85	13.12	23.08	11.38	53.57
HIC1	23.42	162.14	120.94	218.79	1081.39	16.75	29.91	20.56	120.1	11.47	68.55	231.32	40.07	98.04	122.64	80.57	76.17	31.67	35.25	106.63	55.89	98.73	116.78	273.37	36.27	575.03	325.29	397.93	583.07	279.14	733.19
HMCN1	88.26	154.42	136.19	154.42	217.27	19.68	6.67	16.27	181.28	7.34	81.71	368.65	36.53	214.27	38.95	138.1	221.86	44.57	105.15	98.04	72.52	81.71	94.67	320.8	33.3	1745.2	579.04	438.59	187.71	358.54	154.42
IFT57	146.03	915.51	848.22	1023.0	607.87	118.43	164.42	103.69	253.23	15.56	140.04	466.88	93.35	269.6	199.85	175.07	175.07	75.64	80.01	144.01	145.02	138.1	171.45	490.14	29.91	1950.0	1883.54	1331.57	723.08	921.88	1051.79
IL7R	197.09	237.86	599.49	167.9	1508.65	58.71	74.58	10.88	825.0	1.25	47.84	483.38	84.04	105.89	122.64	63.89	37.32	17.38	36.27	118.43	51.71	137.14	57.89	775.05	32.36	2739.08	1781.89	915.51	642.59	395.18	157.68
INMT-FAM188B	14.24	30.12	63.0	15.11	30.56	0.0	0.0	0.0	21.63	0.78	15.8	23.42	7.0	8.85	0.0	14.03	3.11	0.0	0.0	0.0	0.0	0.0	3.29	12.45	0.0	733.19	75.64	81.14	134.3	11.3	35.76
KCNE4	42.41	139.07	162.14	303.44	1008.9	8.65	18.29	12.45	228.13	3.5	43.32	307.69	21.63	27.05	44.25	43.94	16.75	41.81	44.89	33.54	27.25	159.9	95.34	46.5	14.45	156.59	110.43	71.5	476.71	214.27	1268.46
KCNH8	2.78	10.47	7.57	0.78	7.34	0.73	0.0	1.57	2.51	0.0	0.0	8.38	0.71	5.54	0.0	0.0	1.5	0.78	1.39	3.79	0.83	1.48	2.2	3.92	0.39	3.03	11.55	9.41	21.16	6.84	10.0
KLRG1	58.71	53.57	127.0	105.89	120.1	26.86	39.22	10.96	56.28	3.99	24.99	102.25	24.81	44.57	76.17	36.53	37.59	14.89	24.63	38.67	45.53	68.07	20.56	83.45	25.35	332.14	172.65	159.9	265.87	46.5	99.43
KPNA5	24.99	79.45	182.55	86.43	102.25	27.44	32.36	31.9	59.13	19.68	37.59	66.18	45.85	42.11	36.01	27.05	51.35	16.27	24.28	31.67	28.65	27.64	26.1	54.72	46.84	242.88	154.42	236.21	224.97	133.36	165.57
LRP12	13.72	164.42	159.9	138.1	167.9	34.02	15.22	8.58	130.6	3.63	15.34	53.57	25.17	27.64	21.32	24.11	33.06	8.19	19.11	23.08	11.13	31.9	19.25	46.84	4.94	198.47	132.44	221.86	123.5	256.78	140.04
LRRC49	11.64	96.68	108.14	82.29	93.35	10.79	8.65	14.56	26.28	2.46	16.75	53.57	7.34	37.59	46.18	6.06	18.29	3.86	32.36	30.34	16.39	26.28	22.26	20.71	6.73	212.78	74.06	236.21	157.68	90.14	118.43
LRRN2	7.22	48.52	169.07	22.59	119.26	10.24	2.18	4.13	41.81	2.73	14.35	121.79	10.79	32.59	12.45	7.46	9.48	5.02	7.75	16.27	6.11	5.11	5.36	78.34	27.05	146.03	103.69	50.27	98.73	61.68	373.81
MAML2	17.13	417.77	273.37	140.04	316.37	10.39	15.11	12.18	50.27	2.25	23.08	69.52	20.56	48.52	21.32	26.67	36.79	5.92	16.88	32.36	12.93	23.93	20.71	121.79	5.87	503.95	171.45	392.44	226.54	212.78	237.86
MARVELD1	94.01	529.06	848.22	579.04	941.27	29.27	41.52	27.44	281.09	55.89	77.25	420.68	96.68	246.28	52.45	95.34	119.26	27.64	61.68	84.04	57.08	74.58	74.06	470.14	36.27	866.07	836.53	1313.23	2133.97	1529.73	1183.45
MAX	525.39	1397.83	1143.1	1208.34	1551.09	547.75	896.64	336.79	764.36	356.05	612.11	884.29	928.3	830.75	679.29	507.46	603.67	426.57	529.06	607.87	507.46	708.18	525.39	854.13	457.25	1745.2	1388.16	1583.71	1119.56	1304.15	1870.53
MEI1	48.87	353.59	346.29	264.03	612.11	43.32	18.84	19.11	198.47	1.64	18.16	287.01	31.45	56.28	70.51	25.72	16.75	10.24	17.13	115.16	42.41	48.52	44.89	162.14	40.64	642.59	1159.07	169.07	154.42	277.2	353.59
MYOZ3	0.8	2.32	14.56	11.64	65.72	1.66	1.6	0.6	11.38	0.54	0.0	17.9	3.99	5.28	1.93	0.77	3.35	0.69	0.74	0.77	2.58	0.78	0.0	10.24	1.27	69.52	28.24	67.59	49.56	16.03	27.84
NCK2	154.42	1870.53	854.13	785.88	2018.8	106.63	169.07	122.64	336.79	81.71	206.94	708.18	127.0	575.03	237.86	141.02	231.32	108.14	221.86	241.19	133.36	176.29	166.73	1268.46	22.92	1757.34	941.27	775.05	1268.46	1167.14	1096.5
OSM	10.08	55.1	111.21	133.36	242.88	5.92	2.81	1.51	20.41	0.61	27.44	96.01	50.63	17.64	50.98	7.4	6.52	0.42	9.56	2.1	8.25	28.65	12.64	97.36	3.38	281.09	90.14	22.75	35.76	85.22	595.34
PCDH7	9.34	28.45	215.77	24.99	61.68	5.02	1.31	1.25	28.65	0.0	8.65	59.97	2.89	17.13	5.36	26.47	16.88	1.57	6.57	10.79	4.28	9.56	7.46	59.13	1.95	153.34	142.01	429.54	1066.48	220.32	162.14
PCYT1B	1.62	7.88	11.82	6.62	10.63	0.43	0.82	0.39	1.16	0.0	0.0	3.2	0.0	2.73	0.99	1.53	2.58	0.0	1.46	1.53	1.01	0.55	0.58	9.41	1.46	12.36	10.39	37.32	15.45	4.86	5.36
PDE3A	11.13	31.67	211.31	158.79	348.71	10.0	11.73	8.78	50.98	2.53	20.26	50.27	6.57	38.67	18.03	20.56	34.51	5.96	25.91	19.97	11.3	26.1	17.13	77.79	4.21	135.24	114.36	256.78	363.56	86.43	156.59
PDE5A	28.24	193.01	295.11	215.77	341.51	19.25	25.72	21.01	63.89	19.53	34.26	78.89	39.22	62.12	41.81	38.95	39.5	21.63	42.41	39.79	14.67	27.84	32.13	40.36	15.0	1447.15	305.55	2018.8	819.3	703.28	638.15
PELP1	323.03	536.45	642.59	493.56	638.15	371.22	486.75	334.46	514.56	283.05	403.5	529.06	273.37	521.76	438.59	351.14	379.04	307.69	373.81	389.72	299.25	325.29	329.84	551.56	417.77	651.58	684.02	791.35	633.73	567.1	693.58
PGM2L1	6.84	102.25	60.39	90.77	103.69	3.26	8.0	9.41	29.7	3.89	6.84	36.53	14.78	12.93	9.63	17.13	15.11	2.05	6.16	12.36	6.26	15.11	21.01	61.25	4.5	37.05	90.14	101.54	120.1	139.07	133.36
PIP4K2A	236.21	366.09	466.88	363.56	723.08	127.0	116.78	138.1	351.14	145.02	143.01	435.55	162.14	218.79	195.72	262.2	204.07	63.0	173.85	273.37	144.01	395.18	244.57	397.93	110.43	842.36	708.18	543.96	785.88	718.08	595.34
PLEKHA2	80.57	429.54	954.43	473.41	567.1	23.93	40.36	56.28	183.82	7.82	70.01	212.78	95.34	140.04	136.19	106.63	153.34	57.08	97.36	173.85	63.0	121.79	92.05	223.41	27.25	1561.89	511.0	633.73	518.15	547.75	693.58
POLR3D	134.3	269.6	205.5	228.13	536.45	82.87	166.73	92.05	223.41	54.33	143.01	291.04	185.11	201.25	178.77	123.5	115.97	101.54	152.28	116.78	125.24	218.79	138.1	239.52	138.1	316.37	379.04	361.04	237.86	540.19	426.57
PRAM1	55.89	201.25	80.57	239.52	262.2	14.03	31.45	14.35	84.04	2.27	25.54	142.01	30.78	57.08	35.5	40.07	69.03	48.18	40.93	64.34	65.26	55.49	41.52	187.71	37.32	173.85	228.13	137.14	138.1	204.07	256.78
PRKG1	19.68	96.01	265.87	107.38	153.34	9.27	6.78	6.46	40.36	2.34	17.51	41.52	7.17	40.64	14.24	13.22	19.11	4.31	19.82	18.03	11.3	25.54	16.63	49.91	7.06	379.04	132.44	217.27	325.29	84.04	320.8
PTGS2	8.85	64.34	157.68	51.71	187.71	10.47	1.89	2.25	20.86	0.39	10.08	231.32	13.42	28.86	57.08	24.46	48.87	8.38	21.47	10.79	13.52	37.32	21.78	77.79	2.18	11504.21	518.15	400.71	297.17	185.11	353.59
RAB31	120.94	753.83	563.18	872.1	1023.0	31.9	51.35	68.07	351.14	13.03	76.71	343.89	120.1	173.85	353.59	131.51	124.37	25.54	62.12	116.78	47.5	186.4	110.43	358.54	57.49	808.0	1286.18	642.59	2537.92	1909.85	2163.77
RAD51D	98.04	130.6	159.9	132.44	163.28	55.89	88.88	68.55	124.37	106.63	63.45	166.73	112.77	148.09	62.12	59.13	87.65	40.07	57.08	103.69	72.01	74.58	70.51	138.1	72.01	260.38	212.78	190.34	181.28	143.01	173.85
RASSF8	60.82	175.07	348.71	87.03	166.73	38.67	27.64	40.36	78.34	19.82	62.56	125.24	57.49	80.01	32.13	73.03	70.01	39.5	75.11	59.13	39.79	82.29	45.53	167.9	4.82	426.57	269.6	435.55	438.59	212.78	167.9
RBM4	1268.46	2645.74	3146.52	2119.22	2451.44	1857.6	1350.18	1477.58	1561.89	1104.13	1457.23	1781.89	1639.59	1745.2	1697.45	1143.1	1529.73	1286.18	1059.11	1304.15	1242.34	1378.57	1216.75	1896.65	1769.57	2627.46	2682.69	2816.11	2104.58	2240.11	2451.44
RCN3	334.46	429.54	1051.79	842.36	954.43	409.15	187.71	197.09	1051.79	114.36	536.45	1417.35	432.53	547.75	212.78	180.02	348.71	221.86	346.29	441.64	277.2	231.32	366.09	575.03	457.25	532.74	1477.58	543.96	1378.57	1268.46	3395.89
RGS1	480.04	3372.43	1397.83	2591.27	10440.2	127.0	198.47	90.14	1208.34	37.85	285.03	4268.94	334.46	409.15	836.53	591.22	229.72	77.79	301.33	314.17	190.34	591.22	764.36	4181.07	43.94	16843.62	4802.93	5791.62	4802.93	2796.65	3874.05
RGS2	540.19	2451.44	3982.99	1277.29	4869.99	76.71	122.64	80.01	595.34	41.52	363.56	2591.27	255.0	281.09	836.53	480.04	217.27	249.73	423.61	211.31	343.89	1167.14	500.46	3491.39	98.73	26614.89	1991.0	5403.7	2163.77	733.19	2384.37
SAA2	932018.1	320506.81	138.1	294926.33	82.29	1800541.22	1108362.75	6381.92	42346.82	1397.83	1903204.61	307450.64	1048575.0	5403.7	2691538.19	3601083.44	1813064.98	322736.12	822695.06	569761.05	1402917.72	2425749.94	3049200.37	565825.41	951601.81	4.03	698.41	358.54	9945.68	11504.21	64.34
SCN2B	0.0	11.82	4.13	1.83	3.53	0.0	0.0	0.0	0.88	0.0	0.0	1.23	0.0	0.55	0.57	0.0	0.0	0.53	1.1	0.0	0.58	0.0	0.0	2.14	0.34	84.63	21.32	46.5	15.91	22.1	32.82
SCRN1	30.12	1073.91	878.17	211.31	320.8	16.88	24.99	19.39	105.15	9.13	24.28	217.27	25.54	130.6	35.25	46.18	53.19	15.0	29.7	54.33	19.97	43.02	31.0	429.54	9.41	470.14	353.59	1037.29	915.51	624.99	624.99
SEMA4A	32.13	647.07	813.63	190.34	348.71	14.35	16.88	22.26	127.89	12.0	11.47	151.22	26.86	42.71	28.65	32.59	32.36	11.21	26.47	55.49	17.9	72.01	27.05	125.24	26.1	842.36	559.28	579.04	244.57	429.54	518.15
SEMA4D	75.64	356.05	967.76	551.56	591.22	54.72	66.65	28.65	279.14	4.54	45.21	237.86	77.79	115.16	82.29	43.94	91.41	24.63	40.93	155.5	49.21	84.63	67.12	214.27	44.89	1023.0	1111.82	603.67	575.03	457.25	647.07
SLC24A3	4.74	191.67	78.34	45.85	93.35	4.46	1.66	1.14	24.28	0.62	1.97	40.07	1.64	33.78	16.39	8.32	13.42	3.5	8.51	12.09	8.13	10.16	12.45	76.71	5.15	525.39	140.04	476.71	137.14	149.12	738.29
SPNS2	204.07	1104.13	3467.27	587.13	1199.98	260.38	53.57	74.58	215.77	8.58	171.45	417.77	244.57	400.71	251.48	84.63	156.59	127.0	131.51	175.07	92.7	100.83	113.56	450.94	67.59	559.28	703.28	420.68	902.89	373.81	441.64
SRGAP2	224.97	397.93	713.11	848.22	1151.06	163.28	143.01	366.09	583.07	185.11	275.28	521.76	363.56	392.44	363.56	264.03	323.03	120.94	255.0	329.84	153.34	303.44	246.28	595.34	237.86	1304.15	1096.5	753.83	1088.92	1119.56	759.08
TCEAL3	145.02	854.13	2075.59	791.35	961.07	128.79	82.87	107.38	373.81	39.79	130.6	525.39	133.36	353.59	204.07	140.04	244.57	80.01	112.77	181.28	149.12	176.29	178.77	642.59	124.37	563.18	866.07	2163.77	1417.35	638.15	1832.01
TCF4	64.8	638.15	289.02	450.94	684.02	37.85	91.41	51.35	246.28	8.99	129.69	162.14	132.44	171.45	159.9	81.14	112.77	16.88	51.71	149.12	43.32	96.68	81.14	273.37	18.97	1268.46	679.29	909.17	866.07	624.99	854.13
TEKT2	8.38	18.43	169.07	12.83	7.75	0.95	1.73	0.87	4.39	0.0	1.62	17.9	1.73	6.62	1.1	2.29	0.67	2.51	2.2	4.94	3.29	1.23	4.21	5.77	2.84	41.52	11.38	12.27	9.27	18.97	50.27
TMEM173	209.84	1605.83	1191.69	1733.13	1781.89	105.15	229.72	156.59	775.05	48.87	376.41	848.22	376.41	543.96	307.69	260.38	228.13	76.71	182.55	316.37	218.79	242.88	195.72	1081.39	226.54	2915.45	2701.35	1697.45	1936.53	2303.12	1936.53
TMEM216	75.64	341.51	503.95	327.56	291.04	103.69	96.01	119.26	163.28	42.41	101.54	173.85	107.38	146.03	111.99	60.82	102.97	99.43	63.89	96.68	96.01	146.03	96.01	128.79	64.8	460.44	403.5	438.59	409.15	353.59	435.55
TMEM71	26.1	381.68	102.97	84.63	152.28	19.82	22.1	8.92	78.34	1.85	21.01	85.22	10.24	33.78	25.72	22.75	37.85	10.47	19.39	17.38	18.7	42.71	24.63	63.89	14.89	325.29	175.07	81.14	169.07	78.34	170.25
TMPRSS13	12.83	454.09	39.22	11.82	15.91	2.66	2.97	1.31	8.65	0.0	2.16	40.64	5.19	18.7	3.08	4.94	4.54	2.58	4.24	9.85	4.82	5.06	22.92	66.65	5.32	44.25	94.67	91.41	49.91	185.11	172.65
TMTC2	15.91	199.85	205.5	96.68	303.44	10.63	14.14	13.03	39.5	2.68	15.34	61.68	22.26	26.1	26.47	15.56	18.43	5.77	12.64	21.01	11.13	29.06	14.89	37.05	16.03	400.71	371.22	232.94	376.41	193.01	145.02
TRERF1	9.7	26.28	138.1	54.72	91.41	5.19	6.36	4.78	38.4	1.46	10.96	29.27	11.55	24.81	15.0	6.89	16.15	3.56	5.5	17.51	5.59	12.83	9.93	48.52	7.17	212.78	96.01	232.94	100.83	99.43	63.89
TSHZ3	13.22	94.01	90.77	74.58	115.97	12.36	11.91	8.78	63.45	1.07	15.11	66.65	23.59	38.12	18.7	18.29	26.28	2.58	16.88	23.42	7.57	22.75	20.41	73.03	12.18	204.07	142.01	356.05	435.55	175.07	248.0
ZBTB4	123.5	896.64	915.51	438.59	693.58	77.79	115.97	85.82	318.57	50.27	165.57	293.07	119.26	248.0	202.66	147.06	201.25	85.22	124.37	177.53	90.77	146.03	108.14	486.75	71.0	1183.45	728.11	1407.55	1111.82	915.51	1340.84
ZEB2	159.9	334.46	872.1	884.29	967.76	78.34	100.83	58.71	283.05	12.45	127.0	426.57	173.85	356.05	201.25	206.94	376.41	77.79	134.3	242.88	127.0	267.73	232.94	743.43	76.17	3168.41	638.15	1250.98	551.56	529.06	884.29
ZNF703	58.3	397.93	295.11	173.85	287.01	35.25	49.56	27.05	150.17	10.39	67.59	185.11	39.79	121.79	171.45	35.0	47.84	33.3	60.82	46.84	43.32	65.26	96.01	103.69	61.68	151.22	366.09	473.41	1832.01	332.14	332.14
