	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.AR.A5QM.01A.11R.A27Q.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.OK.A5Q2.01A.11R.A27Q.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.T6MO.1426.SM.4DM73	TCGA.A6.3810.01A.01R.A278.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.DD.A118.01A.11R.A131.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.55.8302.01A.11R.2326.07
ESD	1950.0	1331.57	2796.65	2018.8	1427.22	1628.26	1081.39	2591.27	1322.37	2061.24	1594.73	2537.92	1977.24	2645.74	2287.2	2018.8	1143.1	2004.85	3081.75	2627.46	2018.8	1870.53	2573.36	2835.7	848.22	1519.15	1572.76	2739.08	5076.84	2178.83	5872.48	3349.13	4450.27	1051.79	1498.22	1896.65	981.29	1487.87	902.89
EXOSC8	642.59	327.56	620.67	497.0	403.5	327.56	244.57	587.13	346.29	665.29	638.15	647.07	373.81	500.46	669.92	536.45	358.54	679.29	629.35	607.87	466.88	567.1	665.29	447.82	193.01	332.14	269.6	417.77	796.86	764.36	1119.56	878.17	1844.76	177.53	281.09	323.03	169.07	277.2	406.31
FBXL3	507.46	444.72	1477.58	629.35	229.72	802.41	161.02	1216.75	314.17	1037.29	723.08	1242.34	860.08	616.37	457.25	1268.46	441.64	872.1	743.43	728.11	988.12	733.19	785.88	753.83	205.5	518.15	384.34	1073.91	1073.91	688.78	2193.99	713.11	1208.34	287.01	149.12	151.22	132.44	117.6	152.28
FNDC3A	297.17	248.0	660.68	373.81	208.38	351.14	117.6	836.53	101.54	854.13	460.44	728.11	559.28	400.71	320.8	660.68	152.28	529.06	497.0	363.56	961.07	612.11	587.13	1467.37	92.7	158.79	334.46	423.61	647.07	529.06	1044.52	743.43	1508.65	228.13	228.13	176.29	309.83	242.88	171.45
GPALPP1	218.79	165.57	463.65	289.02	119.26	242.88	118.43	400.71	175.07	368.65	314.17	371.22	307.69	285.03	221.86	400.71	173.85	291.04	309.83	289.02	438.59	409.15	301.33	348.71	90.77	147.06	281.09	283.05	395.18	444.72	529.06	176.29	1487.87	102.25	113.56	115.16	97.36	92.7	118.43
GPR180	51.71	38.95	123.5	98.04	38.95	53.19	23.59	102.25	40.07	82.29	56.28	88.88	88.26	49.56	37.05	74.58	55.89	137.14	57.89	55.49	97.36	130.6	120.94	105.89	80.57	36.79	28.45	95.34	109.66	55.89	100.13	63.89	346.29	10.31	21.47	29.06	20.41	39.79	37.32
INTS6	251.48	191.67	575.03	381.68	232.94	441.64	123.5	486.75	209.84	723.08	384.34	521.76	518.15	387.02	262.2	1015.93	170.25	490.14	435.55	358.54	444.72	543.96	403.5	551.56	140.04	186.4	183.82	476.71	759.08	389.72	642.59	223.41	1295.13	109.66	154.42	221.86	166.73	151.22	143.01
KBTBD6	76.71	58.71	165.57	66.18	49.56	109.66	40.64	162.14	64.8	157.68	92.7	107.38	144.01	92.7	81.14	143.01	43.63	143.01	104.42	86.43	117.6	124.37	125.24	164.42	53.95	91.41	78.89	87.03	101.54	97.36	267.73	199.85	314.17	55.1	36.27	38.67	46.18	26.1	22.75
KBTBD7	64.34	48.52	277.2	93.35	69.52	77.25	51.35	201.25	52.08	265.87	129.69	204.07	164.42	124.37	99.43	202.66	65.72	291.04	104.42	103.69	141.02	153.34	146.03	159.9	59.55	125.24	97.36	143.01	94.67	88.88	191.67	120.1	271.48	49.56	40.93	29.7	46.5	27.05	17.9
LIG4	66.65	57.49	208.38	121.79	39.79	81.14	42.11	170.25	30.34	164.42	140.04	88.88	95.34	99.43	40.64	151.22	62.12	100.83	64.8	91.41	115.97	271.48	152.28	150.17	50.27	45.85	38.67	132.44	127.0	123.5	153.34	127.0	348.71	35.76	51.35	45.85	43.02	53.95	58.3
MED4	1135.2	713.11	1685.71	974.5	718.08	934.76	490.14	1350.18	642.59	1508.65	1183.45	1175.27	896.64	981.29	1135.2	1457.23	733.19	1709.26	1388.16	1167.14	981.29	1340.84	1151.06	1216.75	435.55	748.61	616.37	1143.1	1857.6	954.43	1721.16	1286.18	2004.85	651.58	417.77	595.34	297.17	420.68	521.76
MICU2	860.08	500.46	1407.55	651.58	500.46	559.28	381.68	1216.75	406.31	1151.06	878.17	1104.13	909.17	909.17	848.22	981.29	575.03	1059.11	1242.34	988.12	753.83	1008.9	753.83	703.28	450.94	679.29	395.18	1015.93	1044.52	1259.69	1508.65	825.0	1551.09	406.31	217.27	211.31	211.31	251.48	332.14
MRPS31	490.14	309.83	563.18	329.84	336.79	273.37	208.38	571.05	205.5	483.38	384.34	511.0	297.17	476.71	483.38	423.61	253.23	518.15	460.44	417.77	414.87	583.07	514.56	412.0	143.01	285.03	193.01	327.56	540.19	728.11	974.5	693.58	1191.69	273.37	295.11	293.07	173.85	329.84	186.4
MTMR6	167.9	111.99	441.64	206.94	119.26	208.38	89.51	356.05	98.73	353.59	195.72	279.14	318.57	232.94	116.78	295.11	126.12	285.03	232.94	223.41	307.69	346.29	239.52	371.22	103.69	44.57	217.27	356.05	490.14	231.32	633.73	176.29	921.88	72.01	62.56	74.06	81.14	68.55	110.43
MYCBP2	323.03	432.53	595.34	438.59	187.71	473.41	166.73	660.68	412.0	616.37	728.11	836.53	551.56	571.05	138.1	543.96	389.72	212.78	366.09	490.14	684.02	830.75	633.73	759.08	198.47	327.56	361.04	476.71	791.35	854.13	708.18	532.74	1498.22	150.17	142.01	85.82	119.26	51.71	173.85
MZT1	253.23	139.07	400.71	348.71	159.9	279.14	113.56	511.0	139.07	336.79	205.5	297.17	231.32	182.55	202.66	255.0	195.72	299.25	343.89	234.57	376.41	329.84	406.31	246.28	86.43	176.29	281.09	307.69	371.22	199.85	417.77	169.07	743.43	120.94	66.65	88.26	34.26	67.12	106.63
N4BP2L2	819.3	571.05	1467.37	713.11	616.37	748.61	389.72	1697.45	457.25	1477.58	1628.26	1427.22	934.76	995.0	620.67	1477.58	698.41	1359.57	967.76	1127.35	1697.45	1322.37	1242.34	1216.75	273.37	466.88	460.44	825.0	1605.83	2434.5	2119.22	1870.53	4704.07	214.27	339.14	325.29	214.27	387.02	414.87
NDFIP2	262.2	182.55	665.29	392.44	206.94	332.14	169.07	693.58	198.47	679.29	387.02	607.87	490.14	397.93	293.07	500.46	231.32	587.13	511.0	376.41	460.44	480.04	366.09	796.86	111.99	262.2	327.56	599.49	532.74	483.38	1487.87	403.5	3443.31	133.36	185.11	159.9	152.28	150.17	195.72
NUFIP1	57.89	45.53	120.94	105.15	55.1	70.51	34.75	98.73	48.52	106.63	64.34	106.63	82.87	74.58	73.54	110.43	59.13	68.07	92.05	93.35	94.67	121.79	77.79	111.99	34.51	52.82	77.25	113.56	151.22	97.36	191.67	92.7	258.57	44.25	39.79	44.89	29.91	38.4	38.12
PAN3	287.01	241.19	480.04	251.48	129.69	248.0	132.44	521.76	176.29	647.07	540.19	500.46	473.41	346.29	173.85	521.76	248.0	429.54	323.03	341.51	460.44	392.44	466.88	457.25	163.28	242.88	209.84	353.59	497.0	575.03	753.83	493.56	1529.73	145.02	60.82	65.26	59.13	92.7	124.37
PIBF1	206.94	133.36	490.14	293.07	191.67	271.48	89.51	343.89	59.55	339.14	228.13	320.8	195.72	232.94	217.27	341.51	144.01	373.81	332.14	293.07	236.21	379.04	343.89	281.09	95.34	128.79	150.17	206.94	432.53	389.72	860.08	229.72	493.56	61.68	62.56	94.67	43.63	115.97	98.04
PPP3CB	409.15	633.73	1088.92	708.18	543.96	555.41	559.28	1008.9	559.28	1023.0	764.36	713.11	769.69	629.35	669.92	934.76	514.56	884.29	934.76	738.29	638.15	878.17	902.89	595.34	412.0	470.14	909.17	1030.12	1295.13	890.44	1662.49	529.06	902.89	249.73	267.73	366.09	285.03	262.2	414.87
RBM26	343.89	256.78	679.29	480.04	260.38	371.22	173.85	738.29	232.94	723.08	547.75	579.04	579.04	384.34	312.0	665.29	241.19	529.06	412.0	429.54	743.43	612.11	559.28	500.46	145.02	267.73	242.88	450.94	500.46	665.29	629.35	587.13	1457.23	137.14	115.97	130.6	123.5	123.5	198.47
RCBTB1	149.12	146.03	486.75	249.73	204.07	202.66	106.63	480.04	154.42	476.71	295.11	366.09	384.34	332.14	285.03	426.57	149.12	351.14	454.09	305.55	363.56	379.04	728.11	493.56	165.57	190.34	215.77	397.93	273.37	392.44	457.25	212.78	1088.92	152.28	172.65	79.45	49.91	48.87	96.68
RNASEH2B	854.13	518.15	928.3	660.68	688.78	529.06	432.53	813.63	346.29	825.0	493.56	813.63	420.68	723.08	713.11	753.83	318.57	612.11	909.17	503.95	591.22	669.92	1030.12	624.99	339.14	406.31	373.81	536.45	460.44	511.0	854.13	555.41	1909.85	159.9	218.79	307.69	138.1	140.04	253.23
RNF219	133.36	98.73	277.2	234.57	77.79	102.97	60.82	248.0	100.13	221.86	134.3	239.52	140.04	157.68	85.22	236.21	78.34	152.28	199.85	157.68	178.77	181.28	201.25	165.57	67.59	87.03	171.45	166.73	133.36	194.36	353.59	136.19	414.87	55.1	26.28	48.52	38.95	42.11	52.45
RNF6	279.14	202.66	718.08	429.54	224.97	255.0	186.4	743.43	232.94	780.44	500.46	599.49	591.22	444.72	249.73	808.0	356.05	638.15	688.78	379.04	571.05	780.44	503.95	748.61	242.88	204.07	291.04	551.56	571.05	376.41	698.41	336.79	1417.35	201.25	133.36	117.6	133.36	72.52	283.05
SAP18	4095.0	2287.2	6121.9	3325.99	4802.93	3372.43	2720.15	5479.15	2271.4	5329.3	3639.7	5594.3	3280.18	4239.45	5366.37	5183.54	3443.31	6935.54	4937.99	3190.46	4038.61	4736.79	3146.52	4388.98	3491.39	3419.52	2645.74	4298.64	7433.4	4419.52	3515.68	4419.52	7230.1	2485.67	1639.59	3190.46	2090.03	2701.35	2061.24
SCGB2A2	964885.69	27745.15	1800541.22	800198.39	978355.0	645473.24	12676.65	938500.81	34.26	1318073.06	875652.15	1163466.92	1238359.56	1788103.97	1751305.3	2279047.19	271387.49	1668359.93	1422501.74	887875.81	1600397.78	1524599.69	8805660.77	1345768.59	619179.28	894051.48	1578364.61	1187913.85	1442359.14	1019901.63	641014.63	1503610.06	4.17	0.0	0.0	0.0	0.78	0.0	0.0
SUCLA2	497.0	356.05	836.53	547.75	275.28	473.41	253.23	878.17	353.59	915.51	567.1	629.35	529.06	669.92	473.41	921.88	503.95	928.3	583.07	693.58	665.29	728.11	713.11	813.63	237.86	414.87	429.54	703.28	1277.29	808.0	1259.69	599.49	2956.17	412.0	239.52	185.11	279.14	175.07	190.34
SUGT1	1119.56	633.73	1001.93	780.44	830.75	529.06	371.22	1286.18	466.88	954.43	620.67	1023.0	684.02	674.59	921.88	1008.9	633.73	808.0	1015.93	728.11	1259.69	974.5	1119.56	1088.92	409.15	595.34	371.22	1088.92	1259.69	688.78	909.17	624.99	2319.15	234.57	409.15	470.14	285.03	327.56	607.87
TGDS	224.97	116.78	285.03	109.66	114.36	135.24	79.45	255.0	85.82	241.19	167.9	180.02	208.38	144.01	208.38	214.27	133.36	289.02	193.01	193.01	293.07	221.86	186.4	241.19	183.82	88.26	80.01	211.31	236.21	193.01	395.18	301.33	759.08	88.88	60.82	66.18	95.34	100.83	92.7
TPP2	392.44	336.79	780.44	503.95	341.51	414.87	159.9	934.76	327.56	633.73	693.58	708.18	915.51	447.82	283.05	743.43	283.05	656.11	961.07	518.15	497.0	1104.13	753.83	624.99	620.67	339.14	267.73	525.39	775.05	967.76	934.76	708.18	2335.28	194.36	198.47	242.88	154.42	176.29	241.19
TRIM13	454.09	303.44	507.46	351.14	320.8	356.05	202.66	753.83	289.02	703.28	529.06	595.34	450.94	466.88	559.28	483.38	156.59	603.67	583.07	454.09	447.82	486.75	500.46	587.13	195.72	279.14	368.65	332.14	543.96	693.58	830.75	567.1	921.88	223.41	108.14	186.4	125.24	164.42	181.28
UFM1	1051.79	647.07	1991.0	1191.69	878.17	775.05	426.57	1508.65	525.39	1561.89	1259.69	1477.58	1397.83	1313.23	1250.98	1388.16	660.68	1936.53	1119.56	988.12	1991.0	1721.16	1208.34	1467.37	373.81	559.28	473.41	1487.87	2148.82	1268.46	2287.2	1806.78	2537.92	470.14	447.82	525.39	361.04	490.14	642.59
UGGT2	161.02	130.6	387.02	198.47	118.43	205.5	58.71	289.02	105.89	271.48	301.33	228.13	275.28	199.85	127.0	297.17	103.69	265.87	234.57	226.54	255.0	303.44	239.52	406.31	172.65	105.89	151.22	277.2	283.05	514.56	507.46	183.82	1662.49	138.1	87.65	115.97	57.89	106.63	81.14
USPL1	102.97	131.51	285.03	171.45	73.54	175.07	64.34	277.2	77.79	403.5	251.48	226.54	171.45	142.01	92.7	256.78	137.14	242.88	133.36	170.25	211.31	255.0	205.5	220.32	48.18	86.43	88.26	146.03	339.14	248.0	463.65	249.73	733.19	75.11	57.08	42.41	46.84	55.89	84.63
UTP14C	171.45	164.42	429.54	231.32	91.41	209.84	114.36	450.94	125.24	470.14	366.09	444.72	356.05	255.0	176.29	444.72	141.02	521.76	258.57	248.0	438.59	392.44	287.01	363.56	85.22	224.97	199.85	248.0	244.57	267.73	587.13	115.16	612.11	96.01	92.7	74.06	100.13	50.63	67.12
VWA8	161.02	82.29	273.37	139.07	121.79	114.36	57.08	281.09	45.53	587.13	161.02	246.28	303.44	195.72	121.79	303.44	72.52	373.81	187.71	156.59	182.55	441.64	231.32	193.01	50.27	85.82	169.07	283.05	353.59	432.53	356.05	139.07	642.59	99.43	117.6	83.45	94.01	94.67	39.22
WBP4	177.53	118.43	229.72	144.01	124.37	110.43	85.22	211.31	91.41	211.31	171.45	193.01	155.5	193.01	138.1	198.47	111.99	154.42	221.86	205.5	193.01	204.07	289.02	212.78	78.34	111.99	78.34	199.85	293.07	249.73	426.57	309.83	514.56	84.63	102.97	108.14	55.49	77.79	106.63
ZC3H13	295.11	255.0	563.18	376.41	201.25	325.29	145.02	536.45	201.25	660.68	432.53	525.39	511.0	454.09	231.32	698.41	242.88	463.65	466.88	400.71	497.0	567.1	547.75	579.04	144.01	341.51	329.84	414.87	599.49	518.15	665.29	460.44	1233.75	173.85	173.85	124.37	119.26	264.03	154.42
ZMYM2	463.65	480.04	1529.73	684.02	571.05	633.73	281.09	1378.57	454.09	1066.48	802.41	909.17	1081.39	665.29	860.08	1250.98	521.76	1023.0	1059.11	656.11	603.67	1191.69	921.88	896.64	525.39	466.88	361.04	796.86	1059.11	1088.92	1304.15	860.08	3280.18	234.57	155.5	195.72	198.47	88.88	525.39
