	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A0T1.01A.21R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CN.4742.01A.02R.1514.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.18.3417.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07
EPC1	251.48	514.56	269.6	356.05	603.67	181.28	703.28	503.95	395.18	363.56	356.05	426.57	312.0	587.13	279.14	587.13	460.44	334.46	248.0	339.14	336.79	309.83	507.46	303.44	303.44	426.57	325.29	872.1	1175.27	988.12	1151.06	543.96	785.88	791.35	567.1	111.99	173.85	175.07	226.54	185.11	139.07	98.04	169.07	189.02	173.85
GCC2	301.33	490.14	395.18	307.69	866.07	223.41	785.88	447.82	417.77	397.93	283.05	473.41	412.0	514.56	165.57	728.11	599.49	343.89	186.4	503.95	559.28	193.01	466.88	567.1	226.54	473.41	273.37	759.08	1001.93	921.88	909.17	387.02	684.02	616.37	866.07	49.91	85.22	120.94	143.01	127.89	52.45	142.01	146.03	88.26	46.18
GLIPR1L2	21.16	36.79	34.51	18.29	91.41	7.4	133.36	45.21	45.85	57.49	55.49	25.35	35.5	82.29	44.57	88.88	27.05	65.72	40.07	21.16	26.28	21.16	96.68	18.56	6.01	49.91	12.83	98.04	127.89	88.88	153.34	92.05	131.51	35.0	48.52	0.46	2.56	2.2	5.23	7.51	4.9	3.2	0.0	6.21	3.82
IP6K2	1757.34	2119.22	1277.29	1963.57	1769.57	2004.85	2555.58	3639.7	2303.12	2047.0	988.12	1628.26	1340.84	2451.44	2287.2	2895.31	2573.36	1844.76	1119.56	1286.18	1757.34	1378.57	1870.53	836.53	1685.71	1936.53	1059.11	3212.66	2434.5	2895.31	2701.35	1208.34	3081.75	2502.97	4937.99	563.18	802.41	638.15	607.87	769.69	406.31	389.72	0.0	748.61	947.83
KIAA0430	547.75	738.29	532.74	470.14	1081.39	307.69	961.07	660.68	555.41	813.63	620.67	651.58	878.17	620.67	406.31	808.0	660.68	486.75	316.37	674.59	540.19	400.71	713.11	536.45	381.68	480.04	389.72	1331.57	1088.92	1397.83	1417.35	693.58	1216.75	1191.69	836.53	181.28	231.32	316.37	356.05	329.84	183.82	178.77	0.0	229.72	100.13
KIF27	32.36	97.36	94.01	65.72	92.7	30.12	128.79	127.0	120.94	91.41	50.63	69.52	82.87	175.07	23.93	149.12	66.65	55.89	27.44	53.19	78.34	33.06	127.89	61.25	29.27	45.21	31.0	138.1	178.77	140.04	214.27	176.29	140.04	171.45	77.79	6.78	8.92	12.0	21.63	5.45	7.28	10.71	0.0	13.42	8.78
LETMD1	902.89	974.5	693.58	995.0	1216.75	423.61	915.51	1572.76	825.0	1073.91	802.41	896.64	1369.04	1268.46	848.22	954.43	1467.37	854.13	607.87	1628.26	679.29	651.58	1697.45	1467.37	629.35	1175.27	476.71	2720.15	2537.92	2976.74	2287.2	1030.12	2255.7	1745.2	2701.35	343.89	660.68	307.69	373.81	392.44	387.02	363.56	878.17	567.1	346.29
LRIG1	1427.22	1583.71	2075.59	928.3	3060.45	713.11	2104.58	2537.92	1709.26	2400.97	1119.56	2835.7	1651.0	3928.15	2351.53	3639.7	3665.02	2956.17	1030.12	2468.49	2573.36	1487.87	6079.61	2758.13	1127.35	1685.71	1583.71	4298.64	2777.33	4066.71	5711.87	2351.53	5872.48	2720.15	4066.71	155.5	198.47	195.72	167.9	206.94	231.32	1551.09	0.0	400.71	58.3
MDM1	226.54	341.51	170.25	211.31	283.05	67.59	334.46	271.48	287.01	246.28	151.22	150.17	211.31	287.01	172.65	318.57	204.07	175.07	159.9	198.47	199.85	239.52	336.79	128.79	112.77	209.84	154.42	403.5	368.65	463.65	361.04	217.27	283.05	366.09	301.33	26.67	62.56	27.84	65.26	42.71	50.98	12.93	0.0	60.82	29.91
MPHOSPH8	346.29	738.29	366.09	463.65	713.11	309.83	733.19	669.92	693.58	624.99	620.67	748.61	603.67	909.17	435.55	928.3	733.19	579.04	417.77	819.3	718.08	457.25	738.29	961.07	358.54	301.33	438.59	1066.48	1119.56	1417.35	1378.57	612.11	1111.82	1030.12	1127.35	265.87	217.27	256.78	400.71	299.25	167.9	234.57	285.03	206.94	79.45
MTERFD2	688.78	688.78	289.02	684.02	743.43	429.54	836.53	796.86	688.78	603.67	423.61	551.56	616.37	738.29	665.29	587.13	1127.35	521.76	323.03	698.41	412.0	571.05	555.41	540.19	490.14	733.19	591.22	1191.69	1066.48	1628.26	1651.0	612.11	1151.06	708.18	848.22	334.46	309.83	226.54	189.02	258.57	389.72	283.05	0.0	273.37	376.41
N4BP2L2	819.3	1467.37	713.11	616.37	1697.45	444.72	1477.58	1628.26	1417.35	1427.22	703.28	934.76	995.0	1508.65	620.67	1477.58	1359.57	967.76	928.3	1697.45	1322.37	1175.27	1242.34	1216.75	733.19	460.44	825.0	2351.53	2720.15	3716.2	3303.0	1605.83	2434.5	1991.0	1870.53	616.37	224.97	336.79	409.15	441.64	281.09	255.0	0.0	307.69	299.25
NEK9	633.73	647.07	624.99	796.86	995.0	303.44	1073.91	1023.0	890.44	819.3	941.27	954.43	802.41	1023.0	490.14	866.07	603.67	583.07	571.05	679.29	780.44	536.45	902.89	660.68	521.76	674.59	397.93	1073.91	1096.5	1651.0	1477.58	759.08	1340.84	896.64	1286.18	381.68	291.04	371.22	368.65	400.71	248.0	269.6	0.0	283.05	242.88
NICN1	176.29	159.9	226.54	244.57	224.97	112.77	406.31	351.14	271.48	191.67	144.01	190.34	172.65	281.09	239.52	267.73	273.37	169.07	59.97	231.32	267.73	68.55	320.8	251.48	201.25	193.01	107.38	480.04	358.54	708.18	743.43	277.2	454.09	493.56	289.02	51.71	41.52	53.19	51.71	67.59	82.87	44.89	0.0	89.51	29.91
NRDE2	113.56	146.03	90.14	209.84	158.79	90.77	204.07	217.27	226.54	175.07	136.19	205.5	127.0	175.07	115.97	153.34	145.02	102.25	110.43	149.12	139.07	90.14	152.28	123.5	117.6	101.54	115.97	242.88	303.44	256.78	260.38	181.28	262.2	277.2	239.52	47.17	82.29	87.03	96.68	121.79	121.79	81.14	0.0	70.01	94.01
PAN2	285.03	346.29	323.03	395.18	466.88	118.43	624.99	902.89	423.61	277.2	248.0	309.83	373.81	780.44	334.46	521.76	368.65	264.03	180.02	723.08	373.81	248.0	698.41	432.53	199.85	246.28	202.66	1487.87	1104.13	1066.48	941.27	525.39	1697.45	660.68	769.69	59.55	181.28	104.42	156.59	116.78	161.02	244.57	0.0	161.02	84.63
R3HDM2	289.02	698.41	612.11	470.14	738.29	291.04	723.08	674.59	698.41	638.15	688.78	591.22	536.45	954.43	275.28	759.08	435.55	536.45	412.0	429.54	665.29	417.77	540.19	642.59	253.23	620.67	525.39	1015.93	915.51	848.22	1059.11	624.99	981.29	954.43	819.3	66.18	223.41	312.0	283.05	366.09	166.73	241.19	518.15	348.71	58.71
RBM5	1286.18	1844.76	915.51	1001.93	1757.34	563.18	1896.65	3491.39	1923.14	1639.59	819.3	1467.37	1313.23	2119.22	1143.1	2104.58	2451.44	878.17	599.49	1883.54	1397.83	988.12	2119.22	1359.57	1073.91	836.53	902.89	3589.58	2935.74	3794.3	3768.09	1733.13	3303.0	2287.2	2555.58	358.54	295.11	348.71	441.64	438.59	223.41	591.22	0.0	285.03	281.09
RP11-287D1.3	2.51	1.93	0.75	0.66	4.43	1.11	1.03	1.55	3.72	1.35	0.85	1.43	0.73	6.16	1.71	3.32	1.3	0.69	0.36	3.69	2.01	1.39	4.24	1.2	1.17	0.69	1.83	8.19	7.22	5.63	5.06	3.82	8.99	0.87	3.38	0.56	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.47	0.0
SCGB2A2	964885.69	1800541.22	800198.39	978355.0	938500.81	731246.37	1318073.06	875652.15	919186.72	1163466.92	659036.03	1238359.56	1788103.97	1034138.94	1751305.3	2279047.19	1668359.93	1422501.74	589853.66	1600397.78	1524599.69	845824.19	8805660.77	1345768.59	499455.67	1578364.61	1187913.85	127486.83	195931.88	114897.47	167058.21	1442359.14	1019901.63	731246.37	1503610.06	0.0	0.0	0.0	0.0	0.0	1.85	4.13	0.0	0.0	0.0
SENP7	127.0	289.02	115.16	116.78	239.52	62.56	299.25	307.69	283.05	176.29	132.44	134.3	147.06	255.0	45.53	307.69	141.02	116.78	108.14	163.28	165.57	167.9	228.13	123.5	57.08	115.97	128.79	376.41	438.59	603.67	571.05	483.38	314.17	480.04	271.48	38.4	47.84	37.05	46.84	32.59	44.89	27.84	0.0	68.07	40.07
SLTM	866.07	1508.65	1183.45	1268.46	1519.15	486.75	1594.73	1883.54	1674.06	1268.46	896.64	1104.13	1143.1	1745.2	866.07	1651.0	1427.22	1151.06	928.3	1378.57	1159.07	941.27	1540.37	1175.27	954.43	1508.65	1216.75	1519.15	1950.0	1819.35	1963.57	1104.13	1757.34	1407.55	1286.18	423.61	429.54	563.18	728.11	483.38	483.38	447.82	0.0	529.06	275.28
SMARCC2	397.93	915.51	656.11	555.41	974.5	339.14	1104.13	1304.15	1313.23	896.64	902.89	1051.79	878.17	1030.12	500.46	1242.34	674.59	954.43	543.96	1259.69	775.05	679.29	1059.11	890.44	629.35	1167.14	629.35	1628.26	1340.84	1417.35	2018.8	612.11	2434.5	1135.2	1519.15	151.22	417.77	476.71	529.06	435.55	183.82	253.23	688.78	559.28	114.36
SMYD4	90.77	125.24	90.77	111.21	167.9	44.89	127.0	143.01	113.56	89.51	93.35	97.36	138.1	167.9	77.25	129.69	72.01	90.77	48.18	93.35	85.22	127.89	109.66	141.02	90.14	65.72	80.01	275.28	258.57	220.32	159.9	118.43	209.84	217.27	131.51	57.08	67.12	33.78	70.51	50.63	48.87	55.49	61.25	40.64	51.35
TRMT10B	154.42	169.07	171.45	151.22	201.25	60.39	194.36	228.13	204.07	209.84	149.12	141.02	206.94	291.04	127.89	205.5	201.25	100.83	65.72	231.32	139.07	186.4	224.97	117.6	103.69	170.25	94.67	343.89	417.77	358.54	305.55	165.57	336.79	234.57	221.86	45.53	55.1	50.63	87.03	29.27	27.25	36.27	0.0	57.89	64.34
TTC14	624.99	684.02	417.77	361.04	1073.91	159.9	961.07	866.07	813.63	507.46	403.5	480.04	629.35	607.87	277.2	743.43	529.06	291.04	334.46	733.19	551.56	265.87	693.58	279.14	271.48	285.03	334.46	842.36	854.13	1066.48	1030.12	497.0	1059.11	595.34	559.28	100.13	132.44	158.79	117.6	153.34	96.68	77.79	0.0	108.9	163.28
TTC18	23.76	50.63	46.18	87.65	68.55	21.01	164.42	120.1	134.3	80.01	26.86	23.76	108.14	137.14	113.56	103.69	45.85	26.1	7.82	19.11	49.56	11.55	157.68	29.91	18.03	4.03	10.24	166.73	154.42	341.51	444.72	137.14	287.01	149.12	1617.0	2.23	3.35	1.36	5.59	1.62	4.31	5.28	0.0	1.93	5.11
UBN2	79.45	153.34	90.14	41.81	88.26	51.71	161.02	148.09	98.73	127.0	100.83	109.66	104.42	133.36	42.71	122.64	108.9	59.97	49.21	100.13	57.08	57.08	120.94	86.43	41.22	72.52	56.28	187.71	141.02	231.32	195.72	94.01	154.42	137.14	117.6	38.4	27.84	31.22	36.79	34.26	7.11	23.25	39.22	27.05	4.98
VAMP2	1225.22	967.76	595.34	909.17	1674.06	703.28	1594.73	1709.26	1781.89	902.89	890.44	981.29	1844.76	1685.71	2004.85	1508.65	1313.23	1794.29	547.75	1216.75	954.43	389.72	2417.67	1519.15	928.3	1322.37	1030.12	2682.69	2335.28	3491.39	2573.36	2209.26	3303.0	2384.37	2104.58	567.1	532.74	389.72	769.69	748.61	395.18	473.41	497.0	599.49	384.34
WDR6	921.88	1572.76	1208.34	2004.85	1369.04	1250.98	1819.35	2816.11	2047.0	1617.0	967.76	1605.83	1233.75	2032.85	1143.1	1617.0	1322.37	1572.76	426.57	1628.26	1225.22	954.43	1857.6	1059.11	1457.23	2384.37	1286.18	3515.68	2555.58	3372.43	3146.52	1407.55	2090.03	1674.06	3794.3	334.46	547.75	361.04	343.89	483.38	258.57	967.76	0.0	551.56	336.79
ZBTB26	75.64	139.07	115.16	76.71	137.14	65.72	171.45	115.16	172.65	107.38	93.35	84.63	102.25	138.1	50.27	146.03	128.79	59.97	105.15	118.43	96.68	62.56	127.0	63.0	45.21	84.04	53.19	205.5	197.09	205.5	208.38	73.03	134.3	117.6	172.65	34.51	22.1	29.7	28.04	25.91	7.34	9.93	0.0	24.46	24.28
ZFP14	84.63	115.97	55.89	79.45	124.37	27.05	162.14	143.01	114.36	115.97	70.01	90.14	110.43	148.09	53.57	148.09	106.63	76.17	77.79	103.69	102.97	52.45	113.56	62.56	45.53	109.66	58.3	155.5	169.07	194.36	171.45	73.03	134.3	87.65	126.12	4.46	17.0	11.04	10.79	6.78	5.5	3.96	0.0	20.41	1.33
ZKSCAN8	71.0	275.28	182.55	176.29	283.05	75.11	387.02	246.28	264.03	231.32	206.94	239.52	206.94	275.28	64.8	277.2	182.55	147.06	144.01	195.72	187.71	37.05	258.57	205.5	66.65	224.97	148.09	435.55	435.55	414.87	358.54	163.28	279.14	224.97	316.37	38.12	65.26	57.08	50.98	68.55	15.0	78.89	0.0	52.45	13.93
ZMAT1	151.22	204.07	97.36	137.14	251.48	42.41	258.57	490.14	381.68	137.14	88.26	116.78	242.88	356.05	52.45	291.04	287.01	55.89	105.15	130.6	165.57	53.95	366.09	63.89	65.72	65.72	85.22	447.82	466.88	1015.93	684.02	395.18	764.36	358.54	848.22	4.46	0.89	4.28	4.03	2.29	4.62	9.56	0.0	10.16	1.58
ZNF136	191.67	228.13	170.25	132.44	231.32	153.34	237.86	214.27	154.42	226.54	126.12	136.19	189.02	171.45	70.01	212.78	211.31	127.0	126.12	132.44	138.1	120.94	139.07	143.01	97.36	185.11	92.7	295.11	435.55	392.44	299.25	201.25	258.57	244.57	112.77	15.68	40.64	44.25	42.71	67.12	53.57	16.75	0.0	38.12	11.47
ZNF280D	612.11	728.11	486.75	620.67	780.44	297.17	753.83	559.28	780.44	603.67	480.04	579.04	426.57	738.29	379.04	688.78	638.15	466.88	379.04	669.92	518.15	295.11	848.22	514.56	432.53	450.94	466.88	854.13	1051.79	1286.18	860.08	775.05	703.28	872.1	890.44	149.12	218.79	169.07	181.28	251.48	159.9	149.12	0.0	262.2	218.79
ZNF318	122.64	163.28	149.12	151.22	223.41	63.89	231.32	246.28	231.32	172.65	195.72	232.94	171.45	253.23	90.14	246.28	177.53	226.54	109.66	141.02	141.02	215.77	197.09	158.79	113.56	159.9	172.65	312.0	271.48	323.03	500.46	183.82	363.56	169.07	204.07	42.41	206.94	75.11	78.89	102.25	73.03	40.64	0.0	100.83	24.46
ZNF354B	120.1	139.07	128.79	115.97	126.12	44.25	204.07	258.57	190.34	108.9	86.43	112.77	133.36	172.65	55.89	183.82	163.28	75.11	118.43	142.01	126.12	77.25	206.94	133.36	60.39	82.29	88.26	318.57	460.44	341.51	202.66	181.28	206.94	176.29	323.03	34.75	18.84	36.53	42.11	32.13	11.13	46.18	0.0	38.4	23.08
ZNF439	162.14	62.12	96.68	74.06	180.02	127.89	182.55	146.03	190.34	193.01	40.93	99.43	180.02	119.26	96.01	177.53	145.02	103.69	131.51	177.53	46.18	18.16	153.34	97.36	25.35	149.12	134.3	212.78	183.82	334.46	327.56	56.68	267.73	147.06	180.02	9.2	11.55	18.29	12.0	17.13	3.76	5.06	0.0	21.01	5.73
ZNF44	287.01	224.97	139.07	177.53	346.29	117.6	279.14	423.61	309.83	395.18	148.09	211.31	291.04	289.02	123.5	432.53	232.94	223.41	116.78	208.38	198.47	148.09	301.33	141.02	104.42	187.71	119.26	429.54	483.38	555.41	540.19	194.36	612.11	387.02	204.07	7.63	43.63	45.85	57.89	48.52	44.25	57.08	0.0	38.4	13.42
ZNF440	138.1	127.0	186.4	81.14	312.0	80.57	283.05	218.79	142.01	208.38	78.89	131.51	182.55	229.72	107.38	153.34	161.02	141.02	94.01	88.26	136.19	123.5	104.42	119.26	91.41	157.68	80.01	195.72	208.38	323.03	291.04	80.57	201.25	161.02	769.69	59.55	49.21	66.18	111.21	81.14	5.06	29.48	0.0	35.76	37.59
ZNF441	89.51	164.42	77.79	71.5	140.04	30.78	182.55	212.78	146.03	193.01	93.35	101.54	158.79	119.26	31.9	159.9	85.22	44.57	41.52	82.87	99.43	65.26	102.97	72.52	39.79	132.44	56.68	199.85	244.57	241.19	256.78	71.5	231.32	94.67	120.1	10.0	11.82	6.31	24.99	19.82	14.24	11.91	0.0	16.27	12.27
ZNF443	113.56	149.12	94.67	109.66	133.36	54.33	157.68	100.83	92.05	195.72	53.57	77.25	137.14	125.24	73.54	182.55	149.12	74.06	91.41	76.17	178.77	105.89	85.82	61.25	74.58	92.05	57.49	155.5	165.57	191.67	180.02	73.54	129.69	108.14	136.19	1.51	14.89	6.16	16.63	13.12	16.88	10.47	0.0	10.88	2.39
ZNF491	47.84	30.12	30.78	54.72	43.02	40.36	96.68	53.57	55.89	50.63	33.54	39.79	39.5	115.16	26.67	59.97	66.18	33.54	28.86	22.75	36.53	25.35	51.71	18.7	11.13	42.71	28.45	61.25	71.5	72.52	76.71	32.82	48.87	37.59	51.35	2.86	4.62	4.98	2.94	3.06	3.06	0.44	0.0	3.89	1.16
ZNF540	58.3	84.63	18.97	32.59	111.21	14.56	133.36	100.13	57.49	82.87	33.3	43.63	83.45	107.38	107.38	96.01	87.65	40.93	13.72	81.71	31.67	16.27	137.14	51.71	10.47	119.26	28.86	151.22	163.28	209.84	149.12	50.27	102.97	90.77	105.89	0.0	8.92	5.96	2.51	8.58	18.16	5.54	0.0	21.94	2.2
ZNF554	83.45	84.63	69.52	69.03	101.54	52.82	107.38	107.38	90.77	108.14	74.06	87.03	97.36	112.77	73.54	112.77	77.79	78.34	52.45	85.82	52.82	46.18	101.54	57.49	34.75	113.56	53.19	175.07	146.03	161.02	155.5	66.18	125.24	105.15	151.22	12.09	21.94	10.96	30.12	11.47	17.77	18.84	0.0	14.03	12.45
ZNF563	105.89	70.51	50.63	128.79	107.38	31.22	97.36	109.66	70.01	115.16	48.87	60.39	120.94	137.14	46.18	99.43	118.43	90.14	45.85	73.54	55.1	57.08	102.25	50.63	40.64	104.42	60.39	89.51	138.1	141.02	151.22	49.56	132.44	90.77	95.34	4.74	17.64	21.32	16.51	22.26	52.08	20.11	0.0	18.16	4.62
ZNF589	139.07	212.78	332.14	143.01	195.72	48.52	191.67	198.47	165.57	180.02	63.89	143.01	120.94	217.27	155.5	195.72	162.14	92.7	68.07	146.03	122.64	52.45	167.9	85.82	139.07	86.43	143.01	273.37	275.28	289.02	209.84	80.01	281.09	165.57	559.28	42.11	41.22	114.36	56.28	40.36	16.15	16.03	0.0	36.01	17.0
ZNF625-ZNF20	94.67	82.29	40.64	59.55	127.0	74.58	118.43	59.55	99.43	108.14	50.63	78.89	94.67	105.89	96.68	111.21	97.36	58.3	34.75	41.22	52.82	40.93	68.07	40.07	28.04	74.06	51.71	98.04	116.78	111.99	120.1	52.45	92.05	84.04	190.34	4.66	24.99	6.36	14.14	14.78	22.1	12.18	0.0	7.82	0.68
ZNF665	138.1	39.79	76.71	36.01	67.12	52.45	77.79	89.51	153.34	100.13	68.55	49.56	101.54	96.01	63.45	135.24	89.51	77.25	51.71	99.43	75.64	63.45	89.51	53.57	24.11	38.67	50.63	221.86	167.9	169.07	197.09	99.43	119.26	121.79	87.03	4.82	4.78	6.11	5.32	5.92	6.46	0.0	0.0	21.94	2.32
