	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.AR.A0U3.01A.11R.A109.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.BH.A0BR.01A.21R.A115.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.ZAJG.0626.SM.5HL8X	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Q2AG.0326.SM.48U1O	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.14AS3.1626.SM.5S2OY	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	TCGA.38.4625.01A.01R.1206.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2778.01A.02R.0851.07
C2CD2	283.05	293.07	279.14	463.65	343.89	293.07	327.56	153.34	366.09	116.78	353.59	251.48	111.21	480.04	241.19	285.03	348.71	336.79	688.78	551.56	159.9	205.5	356.05	234.57	180.02	447.82	246.28	214.27	275.28	157.68	197.09	414.87	579.04	165.57	147.06	191.67	579.04	403.5	438.59	1561.89	1127.35	435.55	909.17	518.15	314.17	273.37	616.37	334.46	693.58	363.56	679.29	353.59	332.14	547.75	305.55	454.09	429.54	423.61	420.68	285.03	896.64	287.01	466.88	346.29	583.07	1313.23	124.37	142.01	90.77	127.89
CLCN6	50.98	57.49	52.08	144.01	38.4	68.55	149.12	68.55	59.13	97.36	84.04	88.88	69.03	97.36	161.02	159.9	72.01	56.28	58.71	71.5	53.95	144.01	53.57	36.53	118.43	134.3	67.59	81.71	187.71	45.21	43.63	118.43	51.35	26.67	57.89	86.43	251.48	307.69	214.27	283.05	251.48	191.67	287.01	248.0	153.34	127.0	217.27	136.19	293.07	231.32	271.48	287.01	277.2	181.28	202.66	320.8	190.34	237.86	334.46	103.69	246.28	42.71	368.65	88.26	366.09	251.48	0.0	26.1	24.46	25.35
CLK4	98.73	320.8	229.72	332.14	166.73	163.28	228.13	223.41	212.78	249.73	351.14	486.75	264.03	450.94	334.46	441.64	275.28	114.36	127.89	316.37	91.41	159.9	142.01	190.34	303.44	147.06	229.72	327.56	371.22	163.28	109.66	165.57	173.85	98.04	167.9	379.04	947.83	759.08	595.34	1044.52	595.34	441.64	511.0	656.11	351.14	332.14	540.19	348.71	1015.93	490.14	921.88	1104.13	698.41	441.64	480.04	638.15	318.57	647.07	486.75	202.66	603.67	297.17	764.36	363.56	540.19	1066.48	0.0	94.01	46.18	61.25
CPEB1	7.46	12.09	23.08	43.32	32.13	17.77	59.13	14.35	10.39	28.24	31.9	12.18	20.41	12.83	0.4	27.05	12.45	52.45	172.65	10.0	7.06	22.75	38.67	5.36	25.54	11.55	38.4	85.22	42.11	7.82	17.0	13.83	39.5	46.84	1.68	17.9	110.43	85.22	63.0	105.89	101.54	118.43	97.36	90.14	62.56	29.06	130.6	55.49	190.34	100.83	100.13	150.17	150.17	98.04	45.21	239.52	119.26	91.41	37.85	21.01	54.72	87.03	56.68	23.42	103.69	111.99	0.0	7.06	0.53	2.48
CYP46A1	30.56	21.32	3.23	49.91	14.45	10.79	10.24	2.32	15.8	3.03	15.34	15.34	3.0	18.43	69.52	18.84	42.41	4.54	15.56	13.42	8.32	19.25	3.69	34.02	10.31	2.51	10.55	12.45	20.41	7.82	3.76	4.1	23.59	2.1	9.27	4.46	19.82	38.12	24.11	38.12	57.08	17.77	44.89	23.93	14.03	18.56	21.32	30.12	56.28	49.21	15.45	63.0	65.72	43.63	77.79	79.45	36.27	94.01	35.0	14.89	44.57	23.76	52.45	7.11	66.18	37.85	0.0	7.82	2.32	3.38
DMTF1	239.52	325.29	312.0	1199.98	559.28	463.65	450.94	450.94	497.0	896.64	612.11	802.41	579.04	679.29	813.63	620.67	543.96	473.41	348.71	718.08	361.04	435.55	412.0	571.05	379.04	480.04	476.71	708.18	813.63	277.2	299.25	395.18	384.34	287.01	447.82	486.75	1304.15	1159.07	974.5	1313.23	1175.27	884.29	1044.52	988.12	808.0	616.37	1001.93	679.29	1191.69	1135.2	1001.93	1331.57	974.5	1233.75	836.53	1477.58	718.08	1081.39	1127.35	389.72	1167.14	236.21	1397.83	343.89	1104.13	1378.57	0.0	187.71	387.02	256.78
DNAH1	15.8	26.67	13.32	108.14	27.44	27.44	31.45	35.25	43.63	68.07	39.22	34.02	92.05	55.89	67.59	80.57	59.97	24.63	9.56	39.5	27.84	27.05	39.5	43.32	43.94	53.19	26.67	68.55	75.64	15.68	26.67	49.21	34.02	21.47	31.22	60.82	92.7	170.25	84.04	131.51	103.69	111.99	120.94	113.56	76.17	52.82	74.06	74.58	126.12	88.26	75.11	92.7	260.38	128.79	94.67	85.82	63.45	150.17	161.02	26.28	115.16	7.28	156.59	31.45	102.25	152.28	0.0	5.32	1.17	6.52
FNBP4	244.57	595.34	368.65	1216.75	518.15	536.45	738.29	703.28	769.69	988.12	785.88	947.83	629.35	934.76	1111.82	1304.15	543.96	651.58	559.28	748.61	780.44	483.38	642.59	743.43	571.05	693.58	1051.79	896.64	764.36	500.46	409.15	633.73	688.78	638.15	454.09	860.08	1651.0	1721.16	1322.37	1498.22	1407.55	1417.35	1313.23	1397.83	961.07	981.29	1477.58	684.02	1674.06	1498.22	1151.06	1437.15	2018.8	1359.57	1457.23	1572.76	1628.26	1359.57	1457.23	1143.1	1151.06	320.8	1662.49	607.87	1331.57	1331.57	518.15	134.3	115.97	171.45
GCNT7	0.0	0.0	0.0	1.04	0.37	0.38	0.0	0.0	1.22	1.3	0.0	1.28	0.0	2.81	0.99	0.75	3.2	0.0	0.36	1.07	0.0	0.0	0.0	0.34	0.37	0.0	0.36	0.65	0.0	0.37	0.0	0.41	0.0	0.0	0.0	0.35	3.79	1.55	0.73	0.82	0.8	1.46	2.89	1.46	1.07	0.71	2.58	0.38	1.36	0.59	0.92	2.18	0.32	2.36	0.35	1.33	3.53	1.87	1.64	0.85	2.53	0.36	5.36	0.33	1.43	1.71	0.0	0.0	0.0	0.4
GOLGA8I	8.45	8.58	10.16	57.49	7.94	4.1	10.96	5.68	8.65	14.89	20.26	7.51	11.64	23.25	27.05	31.0	24.11	2.68	3.89	11.13	4.28	10.63	4.46	11.3	17.77	10.71	7.28	16.63	35.76	5.77	5.59	20.56	5.36	2.1	14.35	22.26	72.52	35.25	30.78	97.36	43.94	54.72	45.21	46.18	39.5	15.91	55.1	35.5	78.89	31.45	37.59	27.44	36.27	44.89	25.35	93.35	24.99	70.51	31.67	9.27	73.54	12.45	54.72	13.42	85.82	171.45	0.0	8.78	2.03	4.98
GOLGA8K	0.0	2.32	0.0	13.12	2.53	0.0	1.31	1.14	0.0	2.32	1.45	1.33	0.68	6.46	7.28	3.41	7.69	0.36	0.0	1.11	0.0	2.1	3.99	1.03	0.75	1.07	6.46	5.82	0.0	0.39	1.13	2.84	0.0	0.0	0.68	2.05	6.62	12.09	1.13	14.56	2.84	10.31	8.13	6.62	3.23	0.39	1.55	5.41	10.39	0.78	7.94	7.88	8.25	22.43	8.13	7.94	8.85	11.73	7.94	2.43	6.36	0.0	3.63	1.19	8.85	5.19	0.0	0.0	0.0	0.0
GOLGA8M	0.0	3.11	0.8	26.28	1.55	0.83	4.98	0.46	2.29	5.41	5.82	2.07	3.06	13.62	13.42	25.91	10.39	0.41	1.14	7.0	0.41	6.01	4.13	2.78	4.82	2.89	1.83	6.94	12.18	0.82	1.97	3.76	0.0	3.0	1.73	7.28	24.28	24.81	23.08	52.45	29.48	24.99	32.82	10.71	19.11	9.63	7.11	14.24	31.22	8.58	29.48	14.14	10.16	20.56	15.22	22.59	4.9	29.06	11.73	2.68	55.49	0.68	15.68	5.54	17.38	72.52	0.0	2.23	0.0	0.82
GOLGA8S	1.91	2.66	1.79	21.63	2.18	1.87	3.86	1.91	3.99	3.29	4.94	1.99	2.63	5.28	7.17	10.63	6.06	1.33	1.43	6.01	0.39	2.1	2.2	4.94	2.89	3.79	3.44	3.56	12.74	1.48	1.51	5.96	1.6	0.35	2.92	8.32	28.04	12.09	6.94	26.28	13.93	17.9	11.82	12.83	10.31	4.35	17.38	9.06	24.81	18.56	15.11	10.08	10.08	8.32	2.27	16.39	4.54	19.39	8.65	4.58	20.41	5.63	19.53	9.7	20.56	42.71	0.0	0.74	0.71	1.77
IQSEC1	307.69	356.05	379.04	518.15	343.89	435.55	1008.9	412.0	620.67	463.65	571.05	454.09	332.14	438.59	521.76	599.49	366.09	348.71	224.97	480.04	244.57	285.03	327.56	133.36	397.93	397.93	316.37	368.65	571.05	249.73	269.6	325.29	480.04	204.07	287.01	287.01	703.28	638.15	575.03	718.08	688.78	571.05	753.83	612.11	575.03	400.71	417.77	497.0	629.35	543.96	842.36	753.83	1081.39	575.03	420.68	684.02	791.35	532.74	555.41	177.53	878.17	373.81	514.56	361.04	651.58	775.05	157.68	104.42	38.12	53.57
ITPR2	58.71	212.78	77.25	684.02	253.23	212.78	241.19	269.6	82.87	97.36	444.72	371.22	389.72	339.14	43.02	642.59	1605.83	260.38	52.45	271.48	59.97	262.2	262.2	1250.98	111.21	177.53	830.75	63.0	271.48	164.42	149.12	373.81	283.05	42.41	177.53	129.69	480.04	679.29	420.68	629.35	743.43	703.28	457.25	420.68	426.57	473.41	457.25	348.71	1151.06	1457.23	1096.5	2555.58	1015.93	403.5	329.84	287.01	808.0	1175.27	293.07	318.57	995.0	61.25	878.17	190.34	1340.84	303.44	0.0	26.47	18.29	15.8
MGP	275175.93	303217.87	998912.34	381149.17	296977.71	1139523.1	659036.03	343510.77	593956.43	502929.67	736332.6	363097.14	375901.76	623486.02	577714.63	248002.34	716197.51	360589.03	350728.68	546551.29	284880.02	280957.98	569761.05	1196176.45	411347.03	405683.88	539026.74	443937.41	623486.02	185362.8	402881.61	706337.4	405683.88	275175.93	687022.54	417089.23	343510.77	177811.84	275175.93	229795.93	275175.93	462789.59	288856.81	277089.94	800198.39	234624.45	397335.0	509950.32	358098.26	598087.73	378516.38	585779.24	1524599.69	496005.67	279017.26	400098.69	565825.41	338781.54	565825.41	869603.57	331809.5	1100706.72	496005.67	1308968.45	305326.92	311742.51	3419.52	15824.9	540.19	4903.87
N4BP2L2	373.81	1081.39	890.44	1674.06	591.22	723.08	1359.57	713.11	733.19	1001.93	1477.58	1322.37	1519.15	1135.2	1151.06	1617.0	872.1	567.1	395.18	995.0	457.25	466.88	703.28	1127.35	1437.15	620.67	1008.9	780.44	1572.76	616.37	540.19	1216.75	493.56	507.46	1277.29	1023.0	2209.26	2018.8	1991.0	2400.97	2271.4	1923.14	2004.85	2061.24	1857.6	1519.15	2645.74	1322.37	3716.2	2209.26	2627.46	3303.0	2701.35	2468.49	1561.89	2485.67	1733.13	2163.77	2434.5	1001.93	1977.24	961.07	2935.74	1066.48	2319.15	3146.52	0.0	379.04	299.25	305.55
NISCH	466.88	409.15	493.56	1806.78	480.04	620.67	651.58	429.54	441.64	679.29	974.5	830.75	921.88	921.88	1540.37	1111.82	656.11	780.44	279.14	679.29	339.14	507.46	785.88	808.0	848.22	480.04	432.53	743.43	1447.15	348.71	327.56	674.59	551.56	389.72	583.07	733.19	1331.57	1936.53	1359.57	1388.16	1183.45	1437.15	1529.73	1540.37	1457.23	1167.14	1030.12	1233.75	2018.8	1519.15	1313.23	2061.24	1407.55	1639.59	1437.15	1529.73	1030.12	2133.97	2148.82	616.37	1427.22	813.63	2915.45	878.17	2133.97	1388.16	0.0	171.45	65.72	205.5
NKTR	86.43	244.57	181.28	1183.45	318.57	281.09	397.93	483.38	275.28	543.96	503.95	674.59	713.11	679.29	536.45	728.11	503.95	285.03	172.65	483.38	158.79	444.72	264.03	607.87	295.11	381.68	384.34	403.5	738.29	226.54	136.19	438.59	154.42	161.02	193.01	547.75	1417.35	1242.34	836.53	1397.83	1304.15	928.3	995.0	860.08	728.11	551.56	813.63	521.76	1277.29	1119.56	791.35	1001.93	1340.84	1096.5	738.29	1167.14	718.08	1023.0	1143.1	450.94	669.92	88.88	1259.69	255.0	902.89	1037.29	223.41	45.21	23.08	65.72
NPHP3	58.3	202.66	70.01	334.46	106.63	111.21	126.12	99.43	96.68	114.36	147.06	173.85	155.5	172.65	178.77	253.23	152.28	58.3	92.05	102.97	71.5	75.11	86.43	132.44	88.26	161.02	125.24	100.13	255.0	80.57	64.34	127.89	97.36	80.57	99.43	182.55	616.37	309.83	417.77	466.88	532.74	426.57	397.93	470.14	260.38	256.78	547.75	223.41	660.68	406.31	395.18	764.36	384.34	392.44	346.29	480.04	273.37	529.06	500.46	171.45	346.29	110.43	607.87	114.36	555.41	642.59	0.0	54.72	37.59	102.25
NRF1	171.45	164.42	181.28	220.32	218.79	212.78	189.02	185.11	187.71	255.0	258.57	217.27	228.13	205.5	223.41	293.07	180.02	162.14	146.03	198.47	239.52	166.73	190.34	185.11	183.82	251.48	194.36	305.55	299.25	197.09	172.65	161.02	249.73	157.68	195.72	198.47	246.28	336.79	297.17	258.57	202.66	303.44	283.05	318.57	316.37	241.19	273.37	224.97	353.59	264.03	264.03	389.72	281.09	334.46	295.11	371.22	339.14	244.57	283.05	208.38	297.17	244.57	287.01	253.23	332.14	273.37	171.45	154.42	100.83	134.3
PAXIP1-AS2	30.12	50.63	117.6	139.07	49.91	84.04	89.51	56.68	126.12	97.36	112.77	66.65	111.99	98.73	87.03	136.19	85.22	26.86	28.86	88.26	70.51	98.73	61.25	76.17	72.52	54.33	46.84	42.71	129.69	25.54	44.25	114.36	29.27	63.45	27.64	66.65	251.48	220.32	198.47	229.72	248.0	163.28	187.71	229.72	175.07	111.99	195.72	113.56	267.73	195.72	303.44	318.57	148.09	211.31	249.73	177.53	77.79	183.82	189.02	119.26	251.48	128.79	291.04	41.22	206.94	267.73	0.0	27.84	9.13	38.4
PLCD3	511.0	293.07	176.29	379.04	400.71	119.26	339.14	253.23	232.94	237.86	454.09	432.53	381.68	743.43	186.4	387.02	181.28	158.79	536.45	199.85	389.72	281.09	221.86	108.9	397.93	559.28	575.03	291.04	808.0	163.28	277.2	155.5	420.68	279.14	156.59	125.24	775.05	872.1	674.59	748.61	603.67	860.08	769.69	848.22	808.0	514.56	353.59	599.49	651.58	713.11	2163.77	802.41	563.18	796.86	279.14	1143.1	426.57	486.75	500.46	199.85	1159.07	981.29	733.19	915.51	1096.5	1322.37	217.27	120.1	239.52	137.14
PLD2	316.37	251.48	138.1	547.75	507.46	256.78	260.38	249.73	295.11	264.03	395.18	460.44	251.48	389.72	236.21	607.87	444.72	476.71	486.75	551.56	607.87	447.82	507.46	612.11	316.37	703.28	567.1	693.58	616.37	155.5	447.82	884.29	633.73	229.72	249.73	420.68	733.19	1331.57	836.53	698.41	547.75	934.76	647.07	884.29	813.63	583.07	616.37	674.59	1015.93	1051.79	759.08	836.53	1051.79	1051.79	1417.35	753.83	830.75	974.5	947.83	497.0	878.17	532.74	1304.15	642.59	842.36	878.17	0.0	135.24	281.09	149.12
POU6F1	46.5	60.39	41.52	138.1	83.45	71.0	126.12	46.18	73.54	78.89	109.66	81.71	99.43	170.25	104.42	187.71	78.89	142.01	90.14	75.64	34.75	127.0	48.18	55.89	107.38	80.01	124.37	197.09	189.02	40.07	147.06	91.41	96.01	116.78	77.25	143.01	316.37	303.44	209.84	260.38	265.87	241.19	318.57	395.18	249.73	100.13	221.86	181.28	249.73	249.73	172.65	205.5	255.0	226.54	395.18	514.56	212.78	366.09	384.34	181.28	191.67	124.37	432.53	69.52	607.87	323.03	0.0	42.11	4.03	11.64
RAPGEF1	293.07	295.11	262.2	642.59	579.04	395.18	1001.93	497.0	336.79	303.44	629.35	444.72	358.54	703.28	860.08	708.18	624.99	309.83	275.28	669.92	559.28	759.08	507.46	387.02	629.35	563.18	454.09	476.71	698.41	400.71	583.07	738.29	493.56	172.65	242.88	193.01	902.89	860.08	713.11	915.51	728.11	1037.29	928.3	902.89	612.11	599.49	521.76	679.29	860.08	450.94	1066.48	967.76	1508.65	954.43	836.53	854.13	1225.22	723.08	791.35	412.0	753.83	406.31	624.99	486.75	909.17	941.27	0.0	218.79	111.21	119.26
