	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.13FTX.0326.SM.5J2NG	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	TCGA.AJ.A8CT.01A.11R.A37O.07	TCGA.DI.A2QY.11A.11R.A19W.07
FBXW9	123.5	144.01	148.09	228.13	226.54	447.82	217.27	176.29	175.07	116.78	130.6	125.24	229.72	320.8	309.83	264.03	583.07	120.1	215.77	193.01	182.55	218.79	275.28	145.02	97.36	165.57	143.01	199.85	118.43	1127.35	872.1
FUT2	27.44	32.36	17.9	161.02	78.89	172.65	24.28	14.24	51.35	47.5	18.56	12.27	70.01	88.26	98.04	108.9	101.54	25.35	22.59	18.43	12.18	92.05	30.78	3.86	27.64	102.97	7.88	17.51	18.43	312.0	395.18
GEMIN7	395.18	406.31	332.14	860.08	518.15	647.07	612.11	684.02	575.03	567.1	500.46	444.72	547.75	571.05	688.78	669.92	559.28	384.34	511.0	426.57	466.88	684.02	764.36	514.56	473.41	540.19	490.14	486.75	591.22	599.49	595.34
GLB1L	231.32	231.32	131.51	341.51	325.29	612.11	301.33	162.14	169.07	194.36	158.79	129.69	242.88	348.71	447.82	406.31	830.75	144.01	283.05	149.12	102.25	384.34	346.29	187.71	279.14	312.0	151.22	220.32	72.52	1023.0	759.08
GTPBP3	161.02	191.67	151.22	381.68	173.85	571.05	253.23	260.38	181.28	138.1	165.57	85.22	211.31	450.94	460.44	221.86	285.03	260.38	234.57	181.28	152.28	267.73	334.46	165.57	223.41	239.52	154.42	244.57	60.39	316.37	400.71
HDHD3	248.0	358.54	343.89	616.37	567.1	684.02	438.59	500.46	334.46	329.84	414.87	273.37	392.44	595.34	555.41	547.75	703.28	285.03	507.46	438.59	299.25	579.04	669.92	295.11	438.59	500.46	363.56	460.44	285.03	981.29	813.63
IFT43	444.72	521.76	441.64	738.29	713.11	1001.93	780.44	684.02	470.14	454.09	447.82	392.44	684.02	743.43	708.18	813.63	1350.18	521.76	738.29	450.94	591.22	603.67	713.11	595.34	403.5	559.28	432.53	555.41	473.41	3982.99	3419.52
IQCC	36.27	42.71	34.75	105.89	71.5	106.63	85.22	55.89	34.51	35.5	29.06	36.79	69.03	110.43	102.97	117.6	171.45	24.28	63.0	48.18	25.54	82.87	92.7	47.17	41.52	75.11	31.22	62.56	19.82	226.54	127.0
KCTD13	242.88	125.24	165.57	379.04	291.04	698.41	299.25	332.14	221.86	114.36	150.17	125.24	256.78	454.09	275.28	341.51	307.69	165.57	283.05	307.69	133.36	149.12	334.46	197.09	166.73	361.04	262.2	291.04	102.25	579.04	656.11
KIF24	8.25	15.91	13.93	50.98	24.81	76.17	24.99	8.51	7.22	15.34	11.73	9.34	41.22	58.71	52.82	44.89	118.43	13.52	20.41	8.71	9.34	39.79	31.22	18.84	14.14	28.04	8.51	20.41	5.02	187.71	88.88
LRRC27	149.12	251.48	201.25	587.13	397.93	791.35	339.14	332.14	167.9	241.19	183.82	162.14	318.57	426.57	595.34	454.09	753.83	114.36	234.57	141.02	105.15	303.44	267.73	155.5	293.07	480.04	189.02	209.84	71.0	1313.23	872.1
LRRC45	108.14	226.54	167.9	429.54	320.8	551.56	251.48	264.03	135.24	162.14	159.9	187.71	165.57	457.25	381.68	348.71	559.28	129.69	271.48	234.57	57.89	346.29	361.04	98.04	218.79	299.25	151.22	232.94	88.88	1388.16	934.76
LRRC61	144.01	406.31	299.25	463.65	612.11	551.56	293.07	299.25	334.46	208.38	260.38	172.65	389.72	346.29	387.02	403.5	764.36	253.23	353.59	327.56	241.19	480.04	395.18	140.04	236.21	316.37	228.13	423.61	191.67	902.89	1151.06
LYPLA2	1119.56	878.17	1242.34	2720.15	1447.15	2895.31	1628.26	2193.99	1199.98	1268.46	1051.79	878.17	1340.84	2075.59	1216.75	1936.53	2434.5	1388.16	2287.2	1259.69	1378.57	2287.2	2303.12	995.0	674.59	1498.22	921.88	1001.93	2047.0	2335.28	2664.15
MRPL54	2090.03	1794.29	2335.28	3168.41	2018.8	1757.34	2351.53	3103.19	2739.08	1857.6	2935.74	1950.0	2148.82	2855.44	3018.3	3419.52	3901.01	1709.26	3847.29	2255.7	1757.34	3564.78	3190.46	1378.57	1697.45	2061.24	1350.18	3060.45	1651.0	2664.15	3491.39
MRPS26	521.76	947.83	753.83	1250.98	1066.48	791.35	1259.69	967.76	995.0	684.02	854.13	802.41	698.41	1183.45	981.29	1519.15	1135.2	679.29	866.07	1151.06	769.69	1286.18	1359.57	713.11	934.76	791.35	1001.93	836.53	764.36	2240.11	2520.38
MZF1	133.36	183.82	199.85	483.38	536.45	981.29	703.28	651.58	275.28	145.02	273.37	236.21	361.04	262.2	921.88	728.11	1250.98	198.47	599.49	470.14	107.38	256.78	669.92	137.14	397.93	497.0	273.37	295.11	93.35	872.1	660.68
NAT14	353.59	392.44	389.72	954.43	384.34	1119.56	540.19	529.06	211.31	307.69	295.11	218.79	409.15	896.64	723.08	718.08	1508.65	346.29	693.58	341.51	150.17	555.41	860.08	137.14	373.81	567.1	273.37	420.68	183.82	3103.19	2303.12
NME7	351.14	397.93	123.5	532.74	575.03	366.09	387.02	521.76	679.29	251.48	208.38	698.41	277.2	769.69	830.75	842.36	1088.92	432.53	376.41	403.5	139.07	497.0	518.15	339.14	381.68	529.06	412.0	255.0	138.1	2178.83	860.08
NOXRED1	4.03	4.31	1.55	8.78	12.09	19.68	7.75	3.2	4.7	0.82	1.81	1.87	6.78	5.96	21.47	12.18	20.86	4.54	8.45	4.21	2.14	6.31	8.99	4.66	4.17	3.69	4.46	5.11	2.63	85.82	16.75
NSUN7	46.18	95.34	46.18	186.4	175.07	299.25	132.44	52.82	57.89	105.15	46.5	36.27	165.57	108.9	559.28	166.73	921.88	37.05	237.86	130.6	83.45	172.65	119.26	50.27	54.33	57.49	69.03	123.5	27.25	392.44	181.28
PCNXL3	435.55	320.8	420.68	775.05	511.0	954.43	575.03	583.07	441.64	264.03	341.51	293.07	529.06	909.17	656.11	647.07	555.41	412.0	825.0	336.79	547.75	447.82	665.29	373.81	490.14	693.58	336.79	483.38	320.8	490.14	607.87
PNKP	483.38	397.93	507.46	1295.13	656.11	1457.23	785.88	591.22	514.56	309.83	384.34	297.17	738.29	1167.14	698.41	819.3	1008.9	325.29	607.87	571.05	253.23	638.15	759.08	287.01	476.71	819.3	412.0	674.59	297.17	1437.15	1073.91
POLD1	273.37	373.81	269.6	1199.98	463.65	813.63	507.46	309.83	511.0	293.07	253.23	256.78	361.04	1437.15	559.28	476.71	332.14	351.14	366.09	341.51	450.94	842.36	559.28	176.29	420.68	698.41	341.51	264.03	299.25	698.41	616.37
PPIL2	454.09	463.65	503.95	1081.39	551.56	1111.82	759.08	698.41	555.41	426.57	490.14	361.04	559.28	1051.79	934.76	669.92	738.29	575.03	698.41	463.65	567.1	665.29	669.92	470.14	620.67	780.44	521.76	616.37	229.72	878.17	688.78
PSENEN	1651.0	1936.53	1594.73	3060.45	3257.52	11745.96	2351.53	2591.27	1883.54	1819.35	1883.54	1857.6	2468.49	4210.15	3349.13	4704.07	12502.12	1697.45	3060.45	2090.03	1397.83	3982.99	3589.58	1250.98	1950.0	1583.71	1572.76	1977.24	1259.69	18304.63	10959.3
REPIN1	866.07	1104.13	1030.12	1721.16	1639.59	2367.9	1498.22	1225.22	1508.65	884.29	1250.98	551.56	1685.71	2956.17	1697.45	1651.0	2163.77	902.89	921.88	1427.22	1313.23	1674.06	2133.97	703.28	981.29	1191.69	981.29	1286.18	1259.69	1950.0	1721.16
RHOT2	708.18	571.05	616.37	1617.0	808.0	2664.15	1059.11	1127.35	748.61	521.76	629.35	466.88	638.15	1104.13	1745.2	1467.37	1437.15	785.88	1295.13	1233.75	796.86	961.07	1697.45	483.38	571.05	860.08	583.07	915.51	591.22	2335.28	1844.76
RHPN1	20.71	64.8	31.9	297.17	204.07	988.12	336.79	193.01	73.03	39.22	30.34	49.91	120.94	137.14	511.0	441.64	866.07	66.18	231.32	159.9	72.52	201.25	327.56	44.57	52.45	107.38	48.52	126.12	26.86	1757.34	878.17
RNF207	31.67	69.03	47.84	167.9	102.25	217.27	150.17	127.89	83.45	53.19	51.35	47.5	111.99	161.02	215.77	191.67	476.71	22.43	149.12	98.04	44.25	62.12	165.57	55.89	64.34	212.78	42.41	70.01	32.59	343.89	293.07
SARS2	277.2	329.84	289.02	1378.57	379.04	1151.06	454.09	473.41	395.18	287.01	228.13	152.28	371.22	1051.79	476.71	460.44	698.41	267.73	500.46	309.83	166.73	514.56	607.87	316.37	343.89	616.37	285.03	387.02	189.02	713.11	842.36
SFTPA1	5809569.18	4987895.16	4495342.72	1775752.63	4252853.3	546551.29	2039804.27	3576208.94	2097151.0	1432396.03	4252853.3	1171559.48	1432396.03	1246973.04	1374046.07	2581895.97	894051.48	1916442.45	3832885.91	3968052.37	2691538.19	1691649.38	1535204.12	2710259.32	2546350.23	4558095.38	1171559.48	2425749.94	3028138.0	0.0	1.81
SPATA24	76.17	205.5	72.52	208.38	171.45	246.28	167.9	70.01	90.77	127.89	110.43	63.0	172.65	194.36	307.69	236.21	406.31	82.87	148.09	102.25	41.22	177.53	187.71	89.51	161.02	178.77	100.83	152.28	61.68	480.04	547.75
SSBP4	796.86	551.56	638.15	1350.18	1322.37	2351.53	1286.18	1167.14	878.17	490.14	620.67	414.87	1167.14	1529.73	1540.37	1286.18	2502.97	656.11	1617.0	878.17	651.58	1051.79	1662.49	583.07	518.15	1191.69	753.83	1183.45	954.43	6294.04	3928.15
ST6GALNAC1	242.88	583.07	62.12	1508.65	1359.57	2502.97	1135.2	323.03	92.7	397.93	131.51	223.41	1183.45	1127.35	1950.0	1331.57	3794.3	78.89	629.35	343.89	35.76	1051.79	988.12	85.82	293.07	708.18	6.16	400.71	42.71	2075.59	334.46
STK11IP	182.55	212.78	154.42	624.99	358.54	896.64	366.09	269.6	241.19	206.94	161.02	125.24	358.54	460.44	514.56	397.93	679.29	224.97	376.41	248.0	134.3	299.25	406.31	195.72	269.6	368.65	220.32	277.2	107.38	825.0	555.41
STRADA	403.5	420.68	395.18	884.29	587.13	1225.22	480.04	525.39	397.93	412.0	371.22	343.89	536.45	928.3	753.83	575.03	808.0	511.0	624.99	444.72	381.68	518.15	607.87	329.84	529.06	769.69	447.82	497.0	262.2	1151.06	775.05
SYTL1	205.5	281.09	260.38	1322.37	753.83	1781.89	723.08	753.83	291.04	194.36	303.44	161.02	638.15	555.41	954.43	651.58	1721.16	423.61	684.02	412.0	190.34	713.11	884.29	121.79	320.8	753.83	262.2	466.88	167.9	1857.6	1417.35
THADA	536.45	412.0	483.38	612.11	473.41	511.0	591.22	420.68	555.41	332.14	379.04	397.93	441.64	567.1	813.63	620.67	769.69	473.41	511.0	301.33	273.37	329.84	642.59	358.54	400.71	698.41	507.46	376.41	361.04	813.63	1175.27
TMEM184A	68.55	49.21	62.56	135.24	99.43	353.59	117.6	67.59	94.67	38.12	30.34	52.45	167.9	75.64	161.02	137.14	309.83	53.95	96.01	40.07	79.45	89.51	90.14	49.21	29.7	68.55	57.89	61.68	67.59	607.87	279.14
TMEM234	134.3	228.13	187.71	559.28	403.5	780.44	384.34	348.71	202.66	181.28	223.41	142.01	339.14	371.22	490.14	371.22	718.08	149.12	262.2	234.57	130.6	343.89	297.17	189.02	303.44	358.54	224.97	314.17	153.34	1963.57	532.74
TREX1	529.06	629.35	470.14	1151.06	915.51	1111.82	1151.06	1208.34	775.05	785.88	629.35	256.78	1119.56	1651.0	1104.13	1037.29	1268.46	660.68	947.83	547.75	769.69	1407.55	775.05	629.35	748.61	921.88	688.78	420.68	551.56	1806.78	1183.45
TRIM17	8.65	6.67	6.84	68.07	29.91	92.05	30.56	13.93	9.63	30.12	11.64	4.82	36.27	48.87	106.63	40.93	218.79	9.7	55.1	18.43	5.23	30.78	68.55	17.51	19.39	35.0	3.79	27.64	5.28	49.21	62.12
TUBGCP2	961.07	830.75	1066.48	1628.26	961.07	2777.33	1008.9	1286.18	954.43	941.27	802.41	764.36	1159.07	1397.83	1427.22	1350.18	2178.83	947.83	1561.89	866.07	1001.93	1304.15	1167.14	934.76	1023.0	1183.45	947.83	934.76	775.05	2319.15	3589.58
UBXN11	384.34	525.39	271.48	819.3	1127.35	2627.46	988.12	698.41	559.28	332.14	339.14	327.56	620.67	854.13	1781.89	1191.69	2720.15	567.1	1088.92	575.03	490.14	896.64	1023.0	395.18	353.59	629.35	420.68	387.02	226.54	5219.6	2555.58
VPS33B	181.28	176.29	148.09	299.25	164.42	420.68	205.5	417.77	248.0	221.86	201.25	181.28	214.27	368.65	406.31	237.86	223.41	211.31	318.57	220.32	309.83	334.46	265.87	206.94	312.0	273.37	275.28	246.28	147.06	363.56	409.15
VPS9D1	361.04	176.29	120.1	397.93	212.78	497.0	229.72	320.8	209.84	104.42	108.14	142.01	181.28	457.25	204.07	232.94	356.05	159.9	301.33	112.77	178.77	186.4	295.11	232.94	189.02	320.8	125.24	253.23	132.44	490.14	309.83
WASH4P	96.01	135.24	69.52	493.56	371.22	688.78	251.48	195.72	185.11	103.69	150.17	76.71	189.02	348.71	320.8	223.41	208.38	140.04	316.37	187.71	157.68	195.72	334.46	172.65	146.03	493.56	187.71	183.82	97.36	759.08	547.75
WRAP53	211.31	153.34	169.07	283.05	262.2	473.41	201.25	229.72	173.85	190.34	178.77	159.9	253.23	429.54	281.09	351.14	525.39	201.25	299.25	199.85	114.36	279.14	336.79	172.65	180.02	181.28	182.55	185.11	189.02	1369.04	928.3
ZBTB48	218.79	277.2	343.89	579.04	647.07	1286.18	624.99	591.22	647.07	193.01	361.04	228.13	417.77	543.96	713.11	698.41	921.88	409.15	718.08	563.18	361.04	583.07	764.36	181.28	414.87	656.11	339.14	559.28	336.79	1143.1	1037.29
ZNF414	343.89	450.94	595.34	1008.9	595.34	854.13	587.13	638.15	463.65	218.79	486.75	323.03	429.54	780.44	603.67	825.0	684.02	281.09	785.88	351.14	309.83	463.65	575.03	358.54	281.09	473.41	356.05	713.11	190.34	647.07	921.88
ZNF837	21.94	31.45	38.12	65.26	43.63	87.65	70.01	58.71	38.95	18.16	33.3	29.7	33.54	77.25	74.06	82.29	92.05	33.3	113.56	45.53	17.0	55.1	71.5	18.29	19.11	35.5	23.25	61.68	11.82	108.9	115.16
