	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.DK.A6B0.01A.11R.A31N.07	TCGA.E7.A7DU.01A.11R.A32O.07	GTEX.139TS.2226.SM.5J2N1	GTEX.12WSJ.0826.SM.5PNWV	TCGA.EL.A3D4.01A.11R.A19O.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.Y5V6.0526.SM.4VBRV	GTEX.OIZG.0226.SM.2TC5L	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
COPA	1191.69	1051.79	934.76	988.12	830.75	669.92	1199.98	1167.14	1551.09	2090.03	1857.6	1923.14	1127.35	1963.57	1806.78	1183.45	1268.46	1427.22	1936.53	1529.73	1427.22	2367.9	1457.23	1977.24	1674.06	2004.85	2018.8	2119.22	2520.38	2400.97	1561.89	1950.0	2047.0	1519.15	1277.29
COPB2	878.17	961.07	928.3	1151.06	738.29	1135.2	1331.57	1059.11	1883.54	1963.57	2209.26	2335.28	1151.06	2255.7	1896.65	1135.2	1199.98	1295.13	1870.53	1378.57	1295.13	2935.74	1277.29	2032.85	1769.57	2555.58	1883.54	1950.0	2555.58	2240.11	1936.53	2018.8	2148.82	1388.16	1277.29
CYP27B1	36.01	24.46	14.56	36.01	4.21	2.71	59.97	40.93	111.21	400.71	205.5	197.09	102.25	454.09	111.21	42.41	68.55	60.82	334.46	63.0	41.22	529.06	71.5	295.11	165.57	283.05	205.5	89.51	124.37	389.72	120.94	325.29	325.29	91.41	105.15
EFR3A	281.09	237.86	269.6	177.53	493.56	305.55	376.41	595.34	902.89	603.67	698.41	902.89	507.46	902.89	583.07	412.0	463.65	669.92	733.19	612.11	356.05	748.61	493.56	738.29	884.29	825.0	454.09	599.49	764.36	1191.69	708.18	703.28	915.51	571.05	507.46
EIF2AK3	113.56	151.22	130.6	152.28	162.14	94.01	195.72	287.01	591.22	603.67	708.18	457.25	329.84	854.13	387.02	414.87	379.04	540.19	507.46	329.84	289.02	1529.73	483.38	743.43	397.93	915.51	460.44	529.06	967.76	607.87	483.38	638.15	728.11	307.69	265.87
EXOC6	98.04	63.0	244.57	104.42	258.57	194.36	277.2	567.1	995.0	842.36	981.29	718.08	616.37	819.3	532.74	466.88	698.41	656.11	909.17	713.11	387.02	1242.34	1008.9	642.59	860.08	802.41	483.38	921.88	866.07	1529.73	713.11	995.0	579.04	723.08	769.69
FAM160A1	26.67	34.75	14.78	7.4	28.45	2.03	52.45	98.04	130.6	241.19	208.38	145.02	100.83	129.69	100.83	59.13	88.26	100.13	162.14	105.89	65.72	334.46	63.0	141.02	58.3	147.06	143.01	145.02	221.86	234.57	95.34	208.38	155.5	89.51	68.55
FNDC3B	414.87	316.37	327.56	228.13	204.07	265.87	371.22	441.64	848.22	571.05	728.11	607.87	417.77	1023.0	638.15	417.77	426.57	688.78	785.88	353.59	438.59	1015.93	366.09	698.41	525.39	902.89	764.36	708.18	866.07	1225.22	525.39	507.46	769.69	435.55	417.77
FUBP3	279.14	260.38	373.81	229.72	638.15	409.15	713.11	961.07	1477.58	1594.73	1477.58	1923.14	974.5	1628.26	1233.75	860.08	1037.29	1088.92	1059.11	1001.93	928.3	1447.15	988.12	1844.76	1199.98	1313.23	1467.37	1417.35	1519.15	1936.53	1175.27	2032.85	2004.85	1008.9	1167.14
G3BP2	460.44	612.11	836.53	397.93	607.87	723.08	620.67	1119.56	2032.85	1781.89	1388.16	1322.37	1044.52	1709.26	1340.84	860.08	995.0	1119.56	1674.06	1127.35	1104.13	2367.9	1350.18	1529.73	1250.98	1498.22	1551.09	1594.73	2303.12	2047.0	1268.46	1651.0	1628.26	1216.75	1037.29
GFPT1	122.64	199.85	195.72	166.73	307.69	112.77	244.57	312.0	802.41	802.41	860.08	698.41	281.09	1340.84	591.22	332.14	314.17	420.68	872.1	480.04	403.5	813.63	511.0	733.19	947.83	1111.82	624.99	802.41	909.17	1151.06	674.59	642.59	836.53	616.37	312.0
GOLGA2	591.22	595.34	543.96	503.95	954.43	389.72	1088.92	988.12	1378.57	1950.0	1896.65	2417.67	1111.82	1447.15	1216.75	1191.69	1151.06	1322.37	1397.83	1183.45	1242.34	1427.22	1378.57	1628.26	1051.79	1923.14	1628.26	1561.89	1628.26	1662.49	1023.0	1583.71	1909.85	981.29	1350.18
HIPK1	177.53	156.59	142.01	229.72	303.44	181.28	341.51	647.07	1008.9	769.69	808.0	1030.12	406.31	974.5	647.07	376.41	432.53	693.58	961.07	647.07	525.39	878.17	532.74	825.0	703.28	1119.56	616.37	813.63	1081.39	1191.69	563.18	785.88	890.44	559.28	665.29
HMGCS1	191.67	151.22	221.86	289.02	348.71	223.41	153.34	316.37	660.68	802.41	830.75	656.11	460.44	1030.12	540.19	320.8	438.59	454.09	555.41	361.04	303.44	808.0	412.0	551.56	507.46	1037.29	575.03	896.64	708.18	825.0	813.63	708.18	1066.48	379.04	447.82
HOMER1	38.4	67.12	30.78	63.0	14.03	32.82	59.55	178.77	466.88	323.03	299.25	392.44	224.97	301.33	256.78	157.68	199.85	223.41	293.07	265.87	99.43	603.67	161.02	267.73	316.37	305.55	255.0	246.28	232.94	470.14	312.0	470.14	297.17	178.77	209.84
HOOK1	63.89	69.52	70.01	67.59	38.95	3.96	77.79	145.02	241.19	256.78	318.57	426.57	224.97	400.71	260.38	164.42	199.85	163.28	239.52	224.97	180.02	320.8	167.9	343.89	273.37	460.44	246.28	221.86	384.34	525.39	239.52	379.04	303.44	202.66	248.0
ITCH	191.67	312.0	177.53	199.85	217.27	158.79	190.34	191.67	403.5	312.0	403.5	409.15	242.88	463.65	327.56	193.01	264.03	289.02	420.68	265.87	198.47	511.0	269.6	400.71	279.14	341.51	318.57	426.57	507.46	480.04	258.57	358.54	327.56	237.86	275.28
ITGB3	27.64	1.62	1.25	6.78	90.77	194.36	684.02	642.59	1487.87	3742.05	1651.0	2061.24	387.02	2335.28	1794.29	633.73	567.1	941.27	1135.2	507.46	376.41	2090.03	769.69	1540.37	854.13	4802.93	703.28	1639.59	2573.36	1233.75	669.92	1923.14	2018.8	480.04	718.08
KPNA1	297.17	242.88	242.88	285.03	301.33	295.11	336.79	303.44	583.07	708.18	525.39	567.1	379.04	583.07	441.64	316.37	376.41	466.88	493.56	361.04	316.37	629.35	376.41	579.04	412.0	660.68	563.18	599.49	854.13	669.92	435.55	503.95	603.67	409.15	387.02
LIG3	195.72	166.73	166.73	162.14	211.31	226.54	232.94	205.5	265.87	400.71	423.61	555.41	334.46	379.04	356.05	228.13	297.17	262.2	414.87	269.6	253.23	507.46	215.77	381.68	248.0	406.31	379.04	438.59	447.82	400.71	258.57	295.11	409.15	248.0	218.79
LPCAT2	251.48	167.9	220.32	155.5	228.13	148.09	563.18	1059.11	1733.13	2502.97	2485.67	2591.27	1073.91	2796.65	1508.65	684.02	1199.98	1051.79	1498.22	1350.18	651.58	2520.38	1208.34	2335.28	2255.7	3303.0	1709.26	1991.0	3190.46	3794.3	2796.65	2434.5	2682.69	1313.23	1594.73
MED14	183.82	165.57	191.67	231.32	248.0	117.6	249.73	346.29	470.14	493.56	532.74	587.13	334.46	426.57	460.44	329.84	341.51	348.71	432.53	379.04	289.02	441.64	356.05	540.19	381.68	450.94	447.82	497.0	503.95	521.76	400.71	500.46	518.15	323.03	356.05
OSBP	303.44	348.71	341.51	241.19	384.34	218.79	384.34	438.59	728.11	802.41	743.43	791.35	406.31	825.0	723.08	480.04	429.54	486.75	819.3	555.41	536.45	981.29	521.76	842.36	679.29	872.1	769.69	830.75	1008.9	813.63	698.41	854.13	825.0	480.04	518.15
PGM3	138.1	190.34	159.9	141.02	248.0	118.43	237.86	236.21	417.77	356.05	341.51	669.92	287.01	547.75	387.02	295.11	305.55	341.51	397.93	291.04	373.81	536.45	332.14	392.44	435.55	612.11	366.09	447.82	802.41	476.71	379.04	417.77	571.05	444.72	273.37
PLOD2	500.46	162.14	397.93	183.82	679.29	507.46	1191.69	1199.98	1991.0	1963.57	1709.26	2287.2	1127.35	2271.4	1757.34	995.0	1066.48	1313.23	1104.13	1697.45	1250.98	1806.78	1594.73	1733.13	2133.97	2384.37	1388.16	1844.76	2193.99	2255.7	2104.58	2133.97	2090.03	1628.26	1268.46
PPP2R5E	142.01	164.42	181.28	114.36	187.71	164.42	186.4	262.2	395.18	273.37	307.69	417.77	220.32	395.18	287.01	236.21	239.52	269.6	450.94	283.05	255.0	656.11	251.48	309.83	239.52	351.14	271.48	325.29	444.72	363.56	264.03	277.2	262.2	255.0	226.54
PTAR1	57.49	46.84	85.22	31.22	115.97	70.51	92.7	155.5	220.32	199.85	226.54	211.31	150.17	253.23	218.79	107.38	127.89	152.28	208.38	189.02	105.15	237.86	116.78	253.23	157.68	231.32	209.84	229.72	287.01	258.57	144.01	232.94	237.86	126.12	164.42
RAB3GAP2	209.84	118.43	121.79	169.07	165.57	92.7	134.3	167.9	283.05	289.02	295.11	384.34	182.55	299.25	255.0	177.53	242.88	267.73	224.97	212.78	214.27	291.04	195.72	275.28	191.67	293.07	246.28	297.17	323.03	332.14	228.13	285.03	285.03	177.53	226.54
RMI1	34.51	52.08	59.55	36.79	57.89	69.52	40.93	80.01	121.79	91.41	127.89	86.43	85.82	177.53	98.73	68.07	76.71	69.52	125.24	108.14	87.65	126.12	77.25	92.7	121.79	98.73	128.79	113.56	107.38	171.45	93.35	115.16	94.01	83.45	107.38
SAR1A	733.19	753.83	921.88	866.07	713.11	915.51	1111.82	934.76	1427.22	1369.04	1417.35	1208.34	921.88	1529.73	1322.37	872.1	934.76	1023.0	1369.04	954.43	896.64	1628.26	1159.07	1250.98	1498.22	1487.87	1051.79	1286.18	1819.35	1572.76	1498.22	1286.18	1407.55	1242.34	1044.52
SEC24A	59.97	63.89	59.13	44.57	100.13	95.34	73.03	108.9	273.37	293.07	287.01	281.09	131.51	316.37	161.02	115.97	134.3	217.27	228.13	154.42	198.47	414.87	175.07	262.2	262.2	343.89	220.32	269.6	525.39	305.55	204.07	244.57	325.29	205.5	118.43
SETX	244.57	281.09	316.37	153.34	460.44	211.31	775.05	974.5	941.27	1044.52	1277.29	1806.78	785.88	1151.06	954.43	836.53	599.49	753.83	1151.06	791.35	503.95	1277.29	607.87	1119.56	1030.12	1388.16	884.29	848.22	1175.27	1304.15	1073.91	1457.23	1030.12	764.36	743.43
SLC25A46	187.71	158.79	193.01	108.14	267.73	264.03	172.65	258.57	480.04	507.46	500.46	500.46	312.0	466.88	366.09	253.23	320.8	329.84	361.04	414.87	314.17	587.13	346.29	463.65	412.0	525.39	441.64	426.57	555.41	490.14	432.53	483.38	518.15	275.28	339.14
SLC41A2	7.51	2.94	3.41	1.01	113.56	49.91	73.03	217.27	291.04	341.51	293.07	368.65	181.28	334.46	327.56	108.9	117.6	146.03	239.52	147.06	121.79	356.05	139.07	262.2	293.07	429.54	187.71	249.73	432.53	497.0	293.07	361.04	305.55	186.4	137.14
SNX13	116.78	106.63	152.28	145.02	199.85	96.01	185.11	256.78	376.41	303.44	371.22	447.82	287.01	547.75	275.28	248.0	275.28	267.73	314.17	376.41	208.38	633.73	287.01	332.14	299.25	376.41	353.59	336.79	525.39	559.28	271.48	423.61	348.71	275.28	236.21
SNX19	406.31	202.66	273.37	136.19	400.71	395.18	409.15	571.05	836.53	813.63	698.41	429.54	587.13	1167.14	728.11	466.88	728.11	525.39	872.1	848.22	521.76	1073.91	764.36	884.29	518.15	708.18	860.08	796.86	974.5	878.17	587.13	713.11	1216.75	447.82	607.87
SRPR	1437.15	1498.22	1628.26	1096.5	1015.93	1119.56	1733.13	1662.49	2351.53	2758.13	2627.46	3235.01	1991.0	2682.69	2224.63	1991.0	2090.03	2163.77	2609.3	2018.8	1963.57	3039.3	2271.4	2739.08	2163.77	2796.65	2682.69	2875.3	3146.52	2664.15	2400.97	2777.33	2739.08	1963.57	2209.26
SUV420H1	454.09	353.59	384.34	237.86	466.88	199.85	371.22	591.22	860.08	921.88	1066.48	775.05	775.05	934.76	647.07	555.41	575.03	624.99	775.05	620.67	571.05	1159.07	791.35	836.53	703.28	896.64	796.86	860.08	1066.48	896.64	698.41	1023.0	796.86	733.19	738.29
TG	99.43	61.25	11.21	25.54	52.82	20.86	623486.02	1282030.25	2068278.89	2247670.86	2126426.15	2111737.85	1622738.51	1634025.56	1984025.69	1984025.69	2986448.72	1567462.05	2025714.3	2425749.94	1327240.99	887875.81	1622738.51	1727194.55	2636147.11	2263304.65	1775752.63	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	2263304.65	2672946.37	1864037.21
TMEM30A	476.71	665.29	836.53	934.76	748.61	571.05	1023.0	1183.45	2384.37	1457.23	1437.15	1781.89	1191.69	2018.8	1467.37	1167.14	1119.56	1721.16	1605.83	1769.57	1286.18	2119.22	1733.13	1781.89	1268.46	1529.73	1242.34	1639.59	1923.14	1923.14	1369.04	1594.73	1628.26	1662.49	1286.18
TNPO1	264.03	226.54	295.11	223.41	303.44	131.51	241.19	540.19	988.12	909.17	988.12	842.36	497.0	866.07	842.36	543.96	318.57	587.13	819.3	555.41	397.93	1617.0	514.56	728.11	642.59	1191.69	759.08	866.07	1030.12	1268.46	567.1	1044.52	1127.35	647.07	629.35
TOP1	480.04	612.11	647.07	525.39	420.68	379.04	612.11	748.61	1369.04	1242.34	1111.82	967.76	718.08	1322.37	1073.91	684.02	825.0	928.3	1135.2	902.89	896.64	1605.83	967.76	1143.1	967.76	1268.46	995.0	1183.45	1639.59	1104.13	941.27	1143.1	1369.04	934.76	884.29
UBA5	466.88	307.69	339.14	307.69	358.54	373.81	435.55	579.04	674.59	651.58	738.29	928.3	669.92	738.29	647.07	547.75	612.11	674.59	607.87	624.99	674.59	884.29	536.45	718.08	633.73	836.53	688.78	607.87	769.69	860.08	624.99	656.11	759.08	665.29	684.02
UBE2Z	791.35	947.83	1088.92	934.76	1151.06	679.29	1417.35	1216.75	1639.59	1769.57	1639.59	1721.16	1119.56	1561.89	1721.16	1127.35	1127.35	1143.1	1662.49	1417.35	1030.12	2148.82	1143.1	1519.15	1286.18	1745.2	1519.15	1594.73	2104.58	1407.55	1199.98	1467.37	1651.0	1023.0	1216.75
UFL1	255.0	253.23	336.79	220.32	221.86	228.13	122.64	316.37	532.74	420.68	483.38	532.74	341.51	543.96	397.93	301.33	314.17	320.8	423.61	373.81	348.71	830.75	373.81	450.94	423.61	532.74	466.88	483.38	503.95	587.13	454.09	521.76	457.25	353.59	376.41
USO1	866.07	651.58	612.11	532.74	665.29	759.08	928.3	1015.93	1628.26	1359.57	2400.97	1583.71	954.43	2303.12	1081.39	813.63	813.63	954.43	1583.71	1233.75	1073.91	2178.83	1340.84	1322.37	1457.23	2384.37	1313.23	1388.16	2224.63	2502.97	2047.0	1794.29	1477.58	1605.83	896.64
YAP1	579.04	476.71	493.56	246.28	518.15	473.41	796.86	1143.1	1832.01	1037.29	1295.13	1540.37	854.13	1674.06	1037.29	819.3	872.1	1111.82	1437.15	915.51	764.36	1378.57	1008.9	1378.57	1030.12	1001.93	1104.13	1477.58	1540.37	1844.76	764.36	1216.75	1208.34	1151.06	860.08
ZNF770	38.4	42.11	43.02	54.33	77.79	52.08	123.5	265.87	698.41	454.09	571.05	343.89	275.28	738.29	438.59	182.55	182.55	164.42	684.02	236.21	149.12	1519.15	220.32	503.95	327.56	521.76	336.79	392.44	633.73	780.44	307.69	759.08	514.56	303.44	339.14
ZNF92	55.1	71.0	63.45	71.5	50.98	12.18	44.25	70.01	139.07	95.34	102.97	84.63	81.71	177.53	105.15	75.64	72.52	74.58	172.65	86.43	82.87	135.24	119.26	96.68	107.38	129.69	82.87	100.13	102.25	164.42	127.89	135.24	92.7	99.43	105.15
ZYG11A	0.69	0.97	0.32	0.97	1.73	0.27	9.78	28.86	22.92	50.63	60.39	197.09	33.54	122.64	49.21	20.56	28.65	16.75	53.95	35.5	14.67	100.13	35.76	82.29	51.71	66.65	26.86	51.71	52.08	115.16	52.82	140.04	67.12	36.01	30.34
