	TCGA.DK.A3IV.01A.22R.A21D.07	TCGA.BP.4798.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.OXRL.0526.SM.2I3EZ	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	TCGA.BR.6706.01A.11R.1884.13	TCGA.HU.8608.01A.11R.2402.13	TCGA.VQ.A923.01A.11R.A414.31	TCGA.BR.7958.01A.21R.2343.13	TCGA.FP.7998.01A.11R.2203.13	TCGA.HU.A4H0.01A.11R.A251.31	TCGA.BR.8686.01A.11R.2402.13	TCGA.FP.7916.01A.11R.2203.13	GTEX.WHPG.0426.SM.4M1XW
DHX30	995.0	514.56	540.19	819.3	775.05	543.96	514.56	915.51	607.87	1088.92	1059.11	567.1	409.15	603.67	381.68	547.75	733.19	532.74	934.76	423.61	547.75	262.2	616.37	612.11	409.15	476.71	995.0	1397.83	890.44	1073.91	1008.9	1159.07	1001.93	836.53	708.18
DNAJC11	813.63	587.13	279.14	547.75	379.04	185.11	301.33	599.49	346.29	563.18	599.49	187.71	187.71	289.02	112.77	217.27	476.71	289.02	603.67	186.4	246.28	152.28	318.57	277.2	187.71	231.32	764.36	1001.93	669.92	708.18	785.88	842.36	728.11	718.08	620.67
DPH2	616.37	379.04	223.41	312.0	217.27	307.69	271.48	329.84	145.02	400.71	339.14	153.34	189.02	248.0	244.57	186.4	135.24	133.36	277.2	186.4	234.57	348.71	115.97	244.57	159.9	130.6	620.67	890.44	363.56	511.0	567.1	728.11	454.09	511.0	406.31
EHMT2	1127.35	1051.79	316.37	1030.12	457.25	214.27	361.04	642.59	587.13	1111.82	1127.35	249.73	332.14	521.76	267.73	305.55	607.87	417.77	748.61	314.17	483.38	228.13	414.87	371.22	351.14	318.57	1183.45	1225.22	1378.57	1233.75	1250.98	1407.55	1685.71	1023.0	674.59
EML2	1059.11	426.57	397.93	1407.55	733.19	301.33	579.04	1477.58	896.64	1175.27	2271.4	412.0	848.22	651.58	236.21	490.14	1001.93	612.11	1175.27	518.15	723.08	177.53	703.28	764.36	417.77	785.88	660.68	753.83	934.76	1183.45	684.02	819.3	909.17	866.07	995.0
EXOSC10	1697.45	1030.12	392.44	915.51	1081.39	466.88	540.19	1662.49	854.13	1685.71	1781.89	802.41	890.44	1015.93	529.06	684.02	1313.23	738.29	791.35	595.34	656.11	441.64	796.86	703.28	616.37	698.41	988.12	1242.34	1427.22	1037.29	1051.79	1066.48	1199.98	1191.69	836.53
EXOSC5	660.68	620.67	450.94	334.46	214.27	101.54	309.83	220.32	450.94	379.04	438.59	111.99	140.04	117.6	68.07	145.02	214.27	153.34	358.54	123.5	145.02	64.8	226.54	98.73	155.5	177.53	1008.9	514.56	559.28	1135.2	563.18	1059.11	480.04	656.11	483.38
FAM213B	1447.15	307.69	231.32	536.45	325.29	73.54	157.68	381.68	361.04	669.92	665.29	271.48	241.19	299.25	267.73	295.11	320.8	211.31	511.0	264.03	633.73	241.19	173.85	157.68	140.04	189.02	1175.27	351.14	1143.1	1359.57	915.51	878.17	529.06	988.12	1277.29
FAM222B	397.93	232.94	155.5	466.88	253.23	251.48	202.66	205.5	242.88	241.19	277.2	120.1	144.01	164.42	172.65	172.65	193.01	127.0	348.71	156.59	107.38	249.73	126.12	221.86	208.38	267.73	463.65	409.15	679.29	688.78	656.11	890.44	775.05	738.29	373.81
FAM83H	941.27	267.73	205.5	392.44	329.84	234.57	323.03	239.52	191.67	236.21	293.07	155.5	162.14	99.43	153.34	94.67	237.86	130.6	540.19	198.47	129.69	182.55	162.14	246.28	102.97	161.02	896.64	1151.06	995.0	1199.98	723.08	1685.71	723.08	1183.45	808.0
FBXO46	579.04	165.57	117.6	457.25	228.13	93.35	164.42	356.05	212.78	373.81	503.95	169.07	172.65	163.28	173.85	126.12	248.0	126.12	444.72	129.69	94.01	125.24	89.51	80.01	150.17	141.02	417.77	536.45	708.18	591.22	426.57	612.11	651.58	483.38	500.46
FIZ1	432.53	215.77	166.73	206.94	186.4	80.01	138.1	232.94	182.55	283.05	336.79	72.52	65.26	170.25	102.97	96.68	172.65	81.71	320.8	94.01	116.78	87.65	86.43	154.42	86.43	128.79	406.31	426.57	438.59	397.93	332.14	450.94	384.34	368.65	255.0
GEMIN7	902.89	441.64	242.88	688.78	389.72	180.02	327.56	543.96	397.93	612.11	698.41	147.06	190.34	208.38	400.71	189.02	228.13	249.73	518.15	189.02	271.48	242.88	277.2	253.23	185.11	191.67	629.35	713.11	785.88	1008.9	414.87	1175.27	616.37	642.59	884.29
GNPDA1	1369.04	884.29	457.25	764.36	420.68	231.32	660.68	497.0	728.11	599.49	791.35	297.17	325.29	366.09	236.21	269.6	454.09	384.34	612.11	389.72	297.17	389.72	476.71	389.72	414.87	297.17	802.41	1304.15	642.59	866.07	791.35	1183.45	872.1	819.3	559.28
HP1BP3	4298.64	2591.27	1175.27	2682.69	1259.69	1167.14	1832.01	2090.03	2119.22	3018.3	3124.78	1662.49	2895.31	2573.36	1397.83	1806.78	1697.45	1697.45	2047.0	2758.13	1508.65	2682.69	1844.76	1572.76	2468.49	1697.45	1883.54	2997.45	3690.52	2502.97	3690.52	1870.53	3982.99	3103.19	1639.59
HSPBP1	1883.54	463.65	1175.27	587.13	1037.29	723.08	441.64	1151.06	759.08	866.07	1037.29	511.0	540.19	435.55	420.68	420.68	432.53	363.56	612.11	358.54	466.88	194.36	271.48	417.77	316.37	543.96	1151.06	1159.07	1030.12	1088.92	718.08	1870.53	866.07	941.27	791.35
IGHMBP2	303.44	277.2	115.16	559.28	287.01	103.69	258.57	525.39	361.04	332.14	470.14	102.97	199.85	248.0	159.9	137.14	198.47	264.03	236.21	120.1	152.28	175.07	231.32	166.73	115.16	195.72	412.0	341.51	616.37	323.03	409.15	314.17	525.39	327.56	186.4
KTI12	279.14	155.5	61.25	182.55	144.01	102.97	154.42	134.3	126.12	147.06	231.32	90.14	59.13	73.54	120.94	135.24	144.01	105.15	208.38	63.45	95.34	128.79	140.04	92.7	109.66	146.03	198.47	239.52	187.71	152.28	155.5	141.02	211.31	195.72	218.79
LENG1	334.46	133.36	128.79	353.59	167.9	86.43	181.28	305.55	215.77	194.36	406.31	99.43	199.85	127.89	185.11	90.77	132.44	103.69	260.38	130.6	224.97	221.86	191.67	186.4	92.05	167.9	256.78	134.3	234.57	277.2	193.01	148.09	239.52	197.09	126.12
LRRC45	825.0	244.57	87.03	293.07	265.87	111.99	137.14	463.65	229.72	376.41	642.59	58.71	229.72	145.02	94.01	83.45	195.72	191.67	325.29	64.8	82.29	54.72	155.5	90.14	92.05	88.88	476.71	575.03	728.11	295.11	412.0	825.0	728.11	447.82	258.57
LRRC47	954.43	595.34	511.0	718.08	599.49	389.72	486.75	674.59	612.11	825.0	981.29	316.37	281.09	358.54	305.55	316.37	547.75	275.28	921.88	277.2	447.82	336.79	571.05	470.14	325.29	299.25	890.44	1001.93	848.22	718.08	934.76	536.45	878.17	743.43	764.36
LYPLA2	2018.8	1498.22	1183.45	1417.35	2090.03	1540.37	1208.34	1594.73	1322.37	1721.16	1923.14	1259.69	1044.52	688.78	2032.85	884.29	928.3	1001.93	1119.56	813.63	902.89	1457.23	947.83	1104.13	612.11	902.89	2047.0	1540.37	1674.06	1605.83	1313.23	1519.15	1806.78	1540.37	2835.7
MTOR	753.83	460.44	406.31	470.14	409.15	154.42	221.86	603.67	224.97	529.06	620.67	202.66	173.85	273.37	71.0	236.21	295.11	441.64	351.14	223.41	177.53	127.89	305.55	182.55	239.52	265.87	409.15	785.88	728.11	490.14	669.92	620.67	660.68	633.73	466.88
MYPOP	190.34	130.6	62.56	134.3	143.01	70.01	92.05	109.66	145.02	105.15	212.78	28.24	110.43	81.14	80.01	42.41	76.71	76.71	93.35	55.89	114.36	121.79	94.67	92.05	59.55	62.12	190.34	134.3	253.23	248.0	167.9	197.09	212.78	181.28	116.78
NOSIP	1870.53	1008.9	1143.1	1757.34	1216.75	769.69	713.11	1721.16	961.07	1304.15	2018.8	693.58	780.44	928.3	1477.58	733.19	1088.92	848.22	1794.29	1151.06	1519.15	1225.22	830.75	1225.22	674.59	703.28	1551.09	854.13	1540.37	1936.53	988.12	1417.35	1369.04	1540.37	1561.89
PHACTR4	387.02	423.61	148.09	435.55	248.0	175.07	163.28	249.73	170.25	358.54	373.81	177.53	118.43	161.02	77.25	244.57	205.5	157.68	400.71	175.07	105.89	136.19	221.86	172.65	199.85	126.12	366.09	543.96	567.1	473.41	532.74	486.75	616.37	540.19	358.54
PIAS4	595.34	265.87	159.9	334.46	226.54	392.44	212.78	332.14	144.01	305.55	379.04	289.02	366.09	366.09	441.64	191.67	206.94	226.54	551.56	318.57	214.27	409.15	170.25	198.47	215.77	269.6	497.0	409.15	312.0	808.0	529.06	463.65	651.58	406.31	384.34
PIH1D1	2209.26	1183.45	941.27	1781.89	1350.18	559.28	866.07	1733.13	2193.99	2004.85	2976.74	620.67	1088.92	1111.82	1135.2	802.41	1369.04	954.43	1594.73	713.11	1268.46	915.51	1037.29	909.17	575.03	896.64	1437.15	1259.69	1674.06	1963.57	1111.82	1628.26	1551.09	1477.58	1369.04
PPP1R37	872.1	381.68	279.14	518.15	389.72	189.02	307.69	490.14	279.14	473.41	525.39	172.65	226.54	376.41	131.51	198.47	316.37	323.03	432.53	165.57	185.11	125.24	358.54	209.84	145.02	183.82	802.41	483.38	974.5	830.75	514.56	802.41	633.73	915.51	463.65
PRPF31	2240.11	1119.56	669.92	1159.07	1135.2	511.0	503.95	1073.91	1111.82	1030.12	1651.0	460.44	381.68	395.18	497.0	521.76	974.5	536.45	1175.27	563.18	563.18	511.0	842.36	743.43	376.41	503.95	1233.75	1135.2	1295.13	1883.54	1183.45	1651.0	1001.93	1487.87	718.08
PSD4	669.92	490.14	384.34	1008.9	579.04	371.22	371.22	974.5	297.17	1662.49	1350.18	283.05	466.88	518.15	307.69	314.17	521.76	575.03	656.11	486.75	323.03	281.09	334.46	473.41	281.09	218.79	1001.93	967.76	1119.56	808.0	854.13	808.0	1216.75	890.44	612.11
PTPN23	660.68	334.46	325.29	647.07	409.15	273.37	397.93	866.07	255.0	753.83	693.58	368.65	283.05	373.81	301.33	358.54	473.41	239.52	599.49	417.77	232.94	395.18	275.28	325.29	285.03	234.57	785.88	866.07	808.0	723.08	775.05	684.02	743.43	620.67	559.28
RBM14	1250.98	733.19	902.89	547.75	412.0	529.06	579.04	764.36	633.73	665.29	872.1	518.15	878.17	836.53	466.88	409.15	575.03	301.33	866.07	599.49	555.41	587.13	454.09	551.56	473.41	624.99	974.5	1572.76	1369.04	1295.13	1378.57	1477.58	1519.15	1199.98	995.0
RCCD1	361.04	161.02	67.12	271.48	60.82	36.27	82.87	147.06	69.03	182.55	165.57	41.52	64.8	109.66	33.54	45.21	82.87	68.55	93.35	51.71	80.01	40.93	77.79	39.5	52.08	71.0	297.17	305.55	412.0	279.14	212.78	275.28	361.04	209.84	134.3
RDH13	1127.35	620.67	115.97	409.15	265.87	118.43	234.57	332.14	114.36	412.0	493.56	84.63	307.69	78.89	43.32	86.43	353.59	131.51	607.87	136.19	115.97	48.18	170.25	126.12	136.19	101.54	669.92	684.02	1350.18	748.61	414.87	1127.35	366.09	748.61	1030.12
RFC4	1151.06	336.79	60.39	248.0	114.36	54.72	157.68	518.15	381.68	384.34	486.75	36.53	70.01	147.06	59.97	24.99	87.03	165.57	204.07	50.27	59.97	44.57	53.95	52.45	30.78	26.28	483.38	808.0	808.0	1159.07	624.99	1143.1	665.29	559.28	595.34
RFC5	738.29	251.48	104.42	229.72	152.28	43.63	93.35	287.01	161.02	297.17	291.04	67.59	42.11	94.01	29.91	57.89	120.94	128.79	218.79	58.71	73.03	35.76	108.14	82.87	82.29	72.52	348.71	503.95	426.57	412.0	395.18	587.13	351.14	473.41	379.04
RHEBL1	173.85	52.45	8.45	48.52	59.97	55.1	10.24	66.65	58.3	68.07	86.43	13.93	95.34	25.35	83.45	10.08	22.1	25.54	29.7	21.78	63.89	42.11	12.83	22.26	22.59	29.48	53.19	94.67	37.05	76.71	97.36	111.99	33.54	55.89	23.08
RNF123	583.07	358.54	353.59	848.22	432.53	244.57	334.46	665.29	283.05	463.65	665.29	376.41	366.09	327.56	320.8	262.2	693.58	507.46	941.27	414.87	232.94	211.31	457.25	226.54	381.68	327.56	591.22	607.87	665.29	579.04	518.15	583.07	660.68	426.57	463.65
RNF26	1073.91	651.58	339.14	470.14	525.39	165.57	258.57	368.65	525.39	532.74	567.1	366.09	151.22	373.81	269.6	269.6	595.34	293.07	896.64	190.34	334.46	175.07	373.81	334.46	316.37	285.03	698.41	743.43	571.05	759.08	693.58	703.28	723.08	575.03	669.92
RPUSD1	363.56	420.68	122.64	366.09	241.19	106.63	163.28	325.29	215.77	305.55	395.18	73.03	65.72	105.15	132.44	132.44	149.12	115.16	285.03	53.19	133.36	107.38	177.53	138.1	96.68	75.64	785.88	679.29	525.39	473.41	529.06	559.28	423.61	432.53	423.61
RPUSD4	476.71	348.71	138.1	366.09	223.41	260.38	314.17	373.81	289.02	420.68	521.76	182.55	134.3	176.29	163.28	187.71	208.38	162.14	287.01	136.19	138.1	187.71	185.11	163.28	153.34	220.32	450.94	647.07	444.72	483.38	397.93	500.46	575.03	303.44	253.23
RUVBL2	1832.01	1331.57	1369.04	967.76	1819.35	1498.22	713.11	1674.06	1369.04	1242.34	1733.13	551.56	934.76	480.04	769.69	688.78	961.07	591.22	1407.55	660.68	860.08	438.59	684.02	753.83	579.04	1081.39	1651.0	1769.57	1963.57	2502.97	1250.98	2417.67	1250.98	1617.0	1844.76
SAC3D1	518.15	134.3	127.89	217.27	105.15	26.1	181.28	178.77	125.24	186.4	218.79	40.64	74.06	104.42	58.3	48.87	119.26	87.65	202.66	48.18	82.87	45.85	62.12	86.43	81.71	68.07	269.6	239.52	295.11	389.72	258.57	314.17	450.94	229.72	180.02
SAMD1	1331.57	463.65	497.0	607.87	287.01	212.78	339.14	669.92	514.56	660.68	693.58	224.97	563.18	518.15	435.55	198.47	346.29	363.56	733.19	454.09	417.77	595.34	223.41	379.04	312.0	283.05	1199.98	1322.37	1208.34	1350.18	1066.48	1359.57	1096.5	1088.92	780.44
SEZ6L2	1111.82	236.21	146.03	497.0	190.34	60.39	239.52	92.7	1051.79	85.22	346.29	78.34	59.13	138.1	78.89	57.08	120.94	40.93	1073.91	49.21	47.17	31.0	490.14	92.05	155.5	152.28	1437.15	555.41	1313.23	1183.45	1277.29	1427.22	1437.15	2004.85	314.17
SHROOM3	591.22	255.0	175.07	248.0	587.13	323.03	265.87	947.83	99.43	258.57	660.68	189.02	470.14	60.82	118.43	201.25	476.71	55.49	1127.35	301.33	334.46	432.53	314.17	836.53	153.34	633.73	872.1	753.83	1427.22	1340.84	1208.34	507.46	902.89	1250.98	1008.9
SNRPC	3515.68	2417.67	2502.97	2720.15	2434.5	928.3	1806.78	1936.53	2417.67	1950.0	2609.3	1143.1	808.0	884.29	684.02	1286.18	1936.53	1183.45	2255.7	1397.83	1437.15	775.05	1350.18	1498.22	1111.82	1066.48	2935.74	2875.3	2485.67	3467.27	2303.12	4419.52	3146.52	2682.69	4607.24
SOGA2	305.55	253.23	77.79	124.37	13.42	46.18	25.72	470.14	69.52	50.63	23.59	34.51	138.1	39.5	13.52	5.5	75.11	19.25	46.18	99.43	13.12	264.03	43.32	16.88	132.44	24.81	435.55	165.57	551.56	275.28	316.37	77.25	291.04	343.89	138.1
TAF3	273.37	134.3	73.54	100.13	92.7	87.65	77.79	110.43	86.43	169.07	142.01	80.57	90.14	67.12	68.07	99.43	88.88	77.25	154.42	138.1	92.7	198.47	92.05	104.42	93.35	109.66	198.47	217.27	204.07	186.4	187.71	242.88	289.02	204.07	75.64
TIMELESS	759.08	191.67	92.7	175.07	65.72	32.36	73.54	198.47	105.89	166.73	170.25	39.5	57.08	84.04	39.5	51.35	80.01	56.68	117.6	46.18	42.11	41.52	52.08	62.56	54.72	46.84	341.51	915.51	647.07	518.15	497.0	723.08	466.88	457.25	307.69
TMEM201	389.72	121.79	78.34	137.14	76.17	72.01	63.45	164.42	45.53	133.36	206.94	36.79	48.87	111.21	36.79	35.76	98.73	48.87	142.01	50.63	92.05	24.99	62.12	59.13	52.45	31.45	329.84	403.5	287.01	267.73	312.0	309.83	289.02	258.57	142.01
TMEM238	559.28	14.45	47.84	145.02	82.29	35.0	98.73	68.55	60.39	44.89	119.26	42.71	69.03	15.45	51.71	35.5	97.36	32.36	237.86	35.25	92.7	43.63	147.06	99.43	86.43	119.26	591.22	212.78	866.07	514.56	141.02	567.1	387.02	379.04	339.14
TMEM54	4419.52	2240.11	2032.85	2739.08	1674.06	607.87	2255.7	733.19	1508.65	1066.48	842.36	842.36	1304.15	1322.37	748.61	299.25	1277.29	450.94	2400.97	1467.37	2502.97	612.11	1066.48	1639.59	947.83	1051.79	2701.35	1757.34	3716.2	3235.01	1594.73	2555.58	2485.67	2682.69	14663.09
TONSL	226.54	52.08	18.29	63.0	22.59	7.22	19.25	78.34	35.76	66.65	87.65	10.71	22.26	21.47	13.72	15.22	26.47	21.32	56.28	10.39	16.75	17.38	11.64	10.24	13.72	11.3	228.13	412.0	329.84	454.09	217.27	693.58	253.23	265.87	234.57
