	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.11I78.1326.SM.5PNY9	GTEX.14C5O.2626.SM.5RQI5	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.38.4625.01A.01R.1206.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.H9.A6BX.01A.31R.A311.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.QV44.1526.SM.4R1KI	GTEX.13111.1326.SM.5GCNO	GTEX.1399T.1226.SM.5P9J5	GTEX.13G51.2326.SM.5LZXV	GTEX.131XF.1926.SM.5DUW4	GTEX.11ZUS.2126.SM.5N9E6	GTEX.11OF3.1726.SM.5GU5Q	TCGA.AG.3732.11A.01R.1660.07	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.BG.A3EW.11A.22R.A22K.07
AS3MT	162.14	178.77	90.14	114.36	127.89	193.01	48.52	69.52	146.03	137.14	185.11	215.77	205.5	89.51	269.6	320.8	381.68	162.14	197.09	348.71	231.32	275.28	381.68	332.14	423.61	429.54	193.01	20.71	57.89	293.07	325.29
AXIN2	265.87	121.79	242.88	295.11	202.66	205.5	128.79	68.07	33.78	251.48	420.68	329.84	693.58	0.0	420.68	511.0	325.29	291.04	285.03	624.99	301.33	341.51	373.81	260.38	483.38	633.73	323.03	438.59	1277.29	171.45	376.41
B3GALT6	156.59	100.83	155.5	202.66	189.02	223.41	253.23	124.37	183.82	171.45	201.25	125.24	256.78	0.0	435.55	417.77	490.14	183.82	249.73	291.04	242.88	239.52	363.56	193.01	271.48	343.89	163.28	215.77	138.1	180.02	279.14
BPI	24.99	86.43	40.64	21.94	44.57	54.33	7.69	10.16	9.85	45.21	61.25	40.07	9.56	0.0	95.34	146.03	127.0	153.34	88.26	73.54	173.85	104.42	163.28	183.82	157.68	253.23	65.26	24.99	122.64	28.65	155.5
BRAT1	336.79	260.38	403.5	532.74	500.46	500.46	318.57	281.09	277.2	669.92	420.68	500.46	473.41	0.0	1199.98	1183.45	1119.56	466.88	915.51	928.3	532.74	743.43	1119.56	629.35	1001.93	1073.91	412.0	320.8	307.69	450.94	693.58
C14orf79	131.51	44.89	126.12	127.0	105.15	195.72	84.63	120.94	77.79	172.65	183.82	102.25	191.67	0.0	316.37	376.41	400.71	236.21	249.73	267.73	180.02	346.29	273.37	155.5	368.65	323.03	134.3	152.28	114.36	157.68	229.72
C1orf229	7.46	7.4	6.16	7.63	12.27	26.47	2.43	2.46	3.2	12.36	11.55	12.83	21.32	0.0	36.01	25.17	24.99	19.11	18.97	16.88	24.63	22.92	35.76	21.01	28.65	22.92	16.75	15.34	11.82	12.83	20.11
C1orf35	244.57	155.5	289.02	387.02	363.56	454.09	136.19	287.01	186.4	476.71	316.37	316.37	346.29	878.17	693.58	595.34	563.18	400.71	483.38	567.1	497.0	429.54	543.96	444.72	559.28	536.45	346.29	211.31	236.21	312.0	470.14
C1orf56	82.87	84.63	169.07	105.15	133.36	204.07	52.08	64.34	71.0	102.97	142.01	125.24	157.68	0.0	262.2	246.28	361.04	161.02	181.28	301.33	285.03	303.44	287.01	191.67	291.04	215.77	100.13	103.69	64.34	90.77	199.85
C22orf29	70.51	38.67	119.26	190.34	147.06	187.71	70.51	177.53	120.1	150.17	173.85	113.56	242.88	0.0	287.01	327.56	305.55	139.07	201.25	343.89	172.65	237.86	358.54	193.01	454.09	336.79	177.53	148.09	95.34	146.03	193.01
C22orf31	1.77	0.0	6.52	6.67	0.0	1.85	0.0	0.0	2.12	2.29	1.97	0.0	3.99	0.0	10.96	8.51	21.16	1.31	5.45	5.68	15.8	7.63	17.13	0.0	18.03	8.0	1.83	2.78	0.0	0.0	11.04
C2orf62	2.2	1.77	1.33	0.0	6.78	0.0	1.2	2.56	0.06	0.75	1.58	0.85	1.33	0.0	44.57	45.85	75.11	10.39	12.83	84.63	33.54	76.17	45.85	27.64	47.84	74.58	0.0	16.15	3.17	2.63	7.34
C5orf49	3.11	7.88	3.08	1.97	3.14	5.5	0.0	2.63	9.34	0.12	2.07	1.07	3.5	0.0	127.0	115.16	144.01	36.79	26.28	98.73	27.84	82.87	58.3	127.0	93.35	74.58	4.13	3.35	1.99	0.0	49.91
C6ORF165	4.43	1.77	0.89	2.97	3.86	3.5	1.55	0.0	1.71	0.0	2.66	1.17	0.78	0.0	11.64	12.83	31.22	1.77	7.57	42.71	8.32	18.7	15.68	8.06	12.64	18.16	0.0	2.43	1.01	2.78	6.57
C9orf9	129.69	126.12	209.84	211.31	221.86	470.14	44.57	114.36	114.36	182.55	202.66	224.97	256.78	0.0	305.55	214.27	217.27	178.77	177.53	269.6	291.04	214.27	297.17	309.83	271.48	291.04	297.17	373.81	169.07	435.55	283.05
C9orf91	301.33	166.73	295.11	246.28	202.66	373.81	237.86	88.88	165.57	185.11	169.07	234.57	366.09	119.26	376.41	412.0	327.56	314.17	265.87	332.14	316.37	483.38	303.44	301.33	361.04	381.68	262.2	147.06	232.94	187.71	147.06
CBY1	1277.29	974.5	1508.65	1167.14	1551.09	2193.99	872.1	1208.34	1378.57	995.0	1437.15	1519.15	1378.57	0.0	1936.53	1757.34	1870.53	2148.82	1529.73	1963.57	2351.53	1844.76	2032.85	1651.0	2303.12	1883.54	1617.0	854.13	974.5	1175.27	1605.83
CCDC11	4.9	4.43	10.08	7.11	5.63	8.25	6.73	6.16	2.36	16.88	7.22	8.38	4.39	0.0	30.12	21.01	28.04	11.47	18.03	32.36	11.64	18.7	31.22	12.36	38.95	17.64	5.82	3.96	2.41	4.24	23.25
CCDC74B	82.29	25.54	79.45	52.45	30.78	41.22	28.86	40.36	30.34	83.45	52.82	60.39	82.29	0.0	239.52	253.23	255.0	120.94	215.77	368.65	81.71	392.44	409.15	318.57	429.54	381.68	57.49	96.68	38.4	22.43	215.77
CCDC88C	166.73	153.34	356.05	175.07	146.03	26.1	68.07	159.9	122.64	336.79	46.84	8.71	73.54	0.0	353.59	397.93	395.18	105.15	356.05	373.81	157.68	384.34	348.71	231.32	414.87	529.06	100.83	105.89	87.65	217.27	224.97
CCDC96	18.03	11.82	41.52	18.97	17.9	26.28	13.52	10.79	17.51	8.71	13.72	18.97	14.89	0.0	51.71	57.08	58.71	27.05	52.82	47.84	48.52	44.25	38.95	75.11	75.11	43.94	18.97	5.59	14.24	11.3	40.07
CDH22	2.63	2.16	0.0	2.51	1.53	3.56	0.83	0.0	0.38	0.55	1.06	2.71	1.5	0.0	41.81	70.51	59.97	5.73	34.02	35.0	10.71	53.95	45.21	7.51	62.56	70.51	4.1	1.81	3.79	1.81	32.36
CDH3	8.06	7.11	1.36	7.69	6.36	5.59	3.23	22.92	8.51	660.68	8.85	1.75	7.0	0.0	1127.35	1529.73	1551.09	366.09	414.87	753.83	242.88	1111.82	327.56	571.05	748.61	624.99	21.63	20.71	60.39	8.06	1159.07
CHST10	136.19	74.06	209.84	129.69	209.84	334.46	106.63	40.36	101.54	206.94	205.5	181.28	316.37	0.0	248.0	285.03	299.25	161.02	183.82	221.86	224.97	246.28	325.29	161.02	291.04	366.09	212.78	129.69	264.03	215.77	334.46
CHST14	273.37	185.11	299.25	281.09	309.83	518.15	161.02	156.59	234.57	376.41	470.14	287.01	376.41	0.0	708.18	607.87	743.43	414.87	490.14	674.59	665.29	633.73	921.88	571.05	764.36	860.08	336.79	371.22	521.76	363.56	514.56
CITED4	234.57	175.07	277.2	389.72	629.35	1008.9	444.72	366.09	246.28	323.03	178.77	214.27	269.6	0.0	500.46	591.22	1001.93	555.41	612.11	1135.2	1167.14	669.92	660.68	1008.9	791.35	624.99	239.52	190.34	251.48	155.5	503.95
COQ10A	167.9	206.94	199.85	265.87	262.2	323.03	155.5	68.55	135.24	166.73	262.2	285.03	159.9	0.0	358.54	371.22	260.38	389.72	299.25	281.09	260.38	295.11	466.88	327.56	358.54	457.25	329.84	126.12	127.89	236.21	279.14
CPAMD8	22.26	21.32	27.05	48.18	45.21	72.52	29.7	37.59	14.24	72.01	111.21	63.0	87.03	0.0	547.75	1208.34	1250.98	228.13	928.3	1519.15	438.59	915.51	733.19	961.07	1242.34	769.69	59.55	22.59	55.89	79.45	217.27
CTB-58E17.5	4.86	1.77	4.43	8.78	5.5	3.99	7.63	3.63	3.92	4.31	4.5	5.87	5.23	0.0	16.63	17.9	19.11	10.0	30.78	31.0	13.12	17.77	62.56	22.92	27.44	16.51	9.34	7.75	4.06	3.17	9.63
CUL7	197.09	163.28	212.78	248.0	237.86	279.14	172.65	120.94	100.83	194.36	262.2	206.94	234.57	0.0	381.68	457.25	373.81	256.78	389.72	507.46	285.03	454.09	579.04	329.84	480.04	490.14	236.21	323.03	130.6	134.3	277.2
CXCL6	7.94	11.82	0.0	6.11	3.29	2.12	3.86	3.92	0.85	22.1	8.85	1.53	4.46	0.0	100.83	157.68	165.57	95.34	65.72	115.97	127.0	92.05	29.91	138.1	101.54	98.73	13.03	1.0	1.91	10.24	2.92
CYHR1	909.17	674.59	988.12	1111.82	1104.13	1304.15	457.25	954.43	599.49	1088.92	1073.91	961.07	1096.5	1066.48	2835.7	2468.49	2351.53	1572.76	1674.06	3491.39	2193.99	2255.7	2956.17	1697.45	2400.97	2609.3	1030.12	642.59	718.08	1073.91	1651.0
CYP39A1	82.29	85.82	99.43	72.52	105.89	98.04	11.13	10.24	28.04	91.41	301.33	163.28	111.21	0.0	269.6	217.27	218.79	211.31	450.94	339.14	208.38	358.54	466.88	231.32	346.29	463.65	98.73	161.02	289.02	65.72	109.66
DACT2	50.27	5.73	41.52	31.22	19.97	17.9	2.25	0.0	92.7	22.43	8.51	7.22	46.5	0.0	121.79	232.94	248.0	46.84	271.48	169.07	31.45	209.84	22.1	11.13	384.34	224.97	29.06	0.0	2.27	1.33	57.89
DLEC1	1.36	0.91	0.46	6.36	4.98	4.9	1.38	4.62	3.44	19.82	12.64	5.45	3.56	0.0	31.22	23.93	18.56	4.24	18.7	68.07	14.56	13.62	22.43	11.13	22.43	14.03	14.24	4.39	0.82	17.0	7.51
DMAP1	599.49	587.13	579.04	708.18	728.11	718.08	381.68	373.81	429.54	591.22	638.15	595.34	764.36	547.75	1135.2	1135.2	1096.5	842.36	967.76	947.83	764.36	896.64	988.12	802.41	954.43	1159.07	651.58	616.37	400.71	591.22	854.13
DNASE1L1	260.38	232.94	223.41	417.77	473.41	269.6	361.04	262.2	323.03	363.56	480.04	301.33	356.05	0.0	551.56	503.95	387.02	473.41	532.74	450.94	571.05	483.38	656.11	532.74	591.22	599.49	295.11	312.0	384.34	283.05	368.65
EFCAB6	22.43	22.59	19.25	19.97	12.64	22.26	11.47	11.38	15.11	13.42	21.47	20.41	30.56	0.0	48.87	61.25	40.36	23.93	30.12	38.95	32.13	55.49	34.26	26.47	58.3	60.39	13.22	6.73	2.73	19.25	20.71
EMID1	16.51	29.06	5.36	57.89	121.79	58.3	54.72	23.42	27.25	17.9	42.71	9.2	12.55	0.0	208.38	307.69	414.87	87.65	77.79	660.68	45.53	305.55	400.71	223.41	343.89	348.71	58.71	68.55	12.93	12.55	255.0
EPHB4	251.48	244.57	211.31	775.05	587.13	872.1	759.08	379.04	323.03	921.88	656.11	529.06	703.28	0.0	1015.93	1498.22	1051.79	1001.93	1561.89	1059.11	941.27	995.0	759.08	928.3	1268.46	802.41	660.68	218.79	348.71	318.57	967.76
EPHB6	426.57	289.02	301.33	137.14	143.01	244.57	81.71	50.63	63.0	466.88	185.11	78.89	175.07	0.0	842.36	1427.22	1594.73	400.71	1119.56	1340.84	819.3	674.59	1191.69	2319.15	2502.97	1051.79	138.1	332.14	915.51	126.12	1044.52
EPS8L1	6.31	7.57	28.86	441.64	220.32	40.07	99.43	99.43	151.22	10.96	0.0	1.87	158.79	0.0	1417.35	1457.23	1594.73	241.19	1001.93	1088.92	441.64	713.11	638.15	420.68	1159.07	1073.91	41.22	80.57	134.3	87.65	441.64
ERMARD	323.03	258.57	285.03	241.19	389.72	265.87	170.25	208.38	172.65	363.56	420.68	279.14	387.02	0.0	616.37	612.11	454.09	454.09	563.18	543.96	540.19	476.71	733.19	493.56	698.41	764.36	412.0	221.86	111.21	153.34	450.94
ETNK2	96.68	121.79	114.36	135.24	166.73	201.25	61.25	81.14	67.12	323.03	232.94	100.83	122.64	0.0	343.89	406.31	432.53	387.02	348.71	599.49	429.54	389.72	733.19	796.86	748.61	490.14	130.6	186.4	961.07	75.64	368.65
EYA2	31.9	24.81	42.71	138.1	234.57	134.3	68.55	36.27	27.44	89.51	52.45	90.14	81.14	0.0	738.29	830.75	1023.0	466.88	1119.56	848.22	884.29	1088.92	555.41	334.46	759.08	915.51	137.14	7.57	5.63	5.45	303.44
FAAH2	10.16	9.63	7.06	25.17	55.1	5.96	10.0	23.42	32.82	17.51	8.0	3.59	27.05	0.0	389.72	329.84	521.76	80.57	305.55	287.01	126.12	269.6	221.86	139.07	361.04	307.69	19.11	7.4	0.0	16.88	70.01
FAM200A	47.5	17.64	53.19	57.08	98.04	76.17	34.75	53.57	49.21	71.5	102.25	67.12	77.25	0.0	141.02	140.04	164.42	118.43	136.19	183.82	136.19	186.4	185.11	170.25	251.48	180.02	121.79	44.57	46.18	71.5	115.16
FAM210B	1066.48	1066.48	1175.27	915.51	988.12	1350.18	647.07	872.1	909.17	1359.57	884.29	974.5	1030.12	633.73	1388.16	1977.24	2485.67	1259.69	1709.26	2104.58	1322.37	2061.24	1407.55	1407.55	2209.26	1745.2	1286.18	1175.27	1295.13	1151.06	1359.57
FAM212A	56.68	9.41	106.63	78.89	150.17	195.72	40.07	69.52	44.89	128.79	146.03	71.0	73.54	0.0	253.23	251.48	285.03	156.59	186.4	208.38	201.25	189.02	486.75	152.28	412.0	320.8	130.6	98.04	197.09	96.01	177.53
FAM71E1	7.11	9.7	10.63	17.0	26.67	14.56	13.03	10.79	11.82	12.09	6.26	12.74	22.43	0.0	108.14	99.43	117.6	26.1	73.54	63.0	46.5	80.57	43.63	58.3	85.22	74.06	19.97	5.82	9.56	17.77	37.05
FANK1	19.11	20.71	29.06	53.95	52.08	39.22	28.45	34.26	40.93	24.11	29.7	14.67	42.11	0.0	155.5	122.64	144.01	89.51	76.71	127.0	33.78	67.59	68.55	111.21	190.34	96.68	65.26	18.03	23.25	32.59	98.73
FBXO2	29.48	46.18	17.0	77.79	104.42	158.79	40.64	62.12	43.63	108.9	239.52	187.71	96.01	0.0	529.06	470.14	303.44	316.37	547.75	638.15	301.33	356.05	1216.75	647.07	629.35	981.29	96.68	49.21	22.26	15.56	140.04
FLYWCH1	708.18	532.74	728.11	532.74	529.06	921.88	341.51	679.29	536.45	902.89	1051.79	1008.9	909.17	0.0	1277.29	934.76	713.11	775.05	961.07	536.45	796.86	638.15	1159.07	743.43	819.3	934.76	698.41	547.75	432.53	825.0	981.29
FOXO6	10.71	27.25	28.65	31.9	25.54	131.51	9.2	16.75	13.32	68.07	54.33	62.56	63.0	0.0	77.79	49.91	61.68	33.3	65.72	117.6	67.59	46.5	105.15	51.71	78.89	75.64	22.92	26.47	22.43	70.51	69.03
GHDC	287.01	341.51	314.17	525.39	571.05	429.54	217.27	289.02	237.86	236.21	368.65	275.28	368.65	480.04	713.11	967.76	1073.91	400.71	684.02	1561.89	629.35	1088.92	1044.52	708.18	1225.22	1519.15	525.39	314.17	255.0	351.14	540.19
GLB1L	92.7	78.34	76.17	124.37	164.42	209.84	75.64	44.89	72.01	56.68	124.37	57.89	84.04	113.56	231.32	232.94	183.82	115.16	169.07	172.65	239.52	226.54	253.23	172.65	246.28	426.57	126.12	102.25	55.49	65.72	109.66
GPR143	1.81	0.91	0.0	16.88	14.35	3.41	2.48	4.28	5.59	11.91	1.06	1.53	6.01	0.0	108.14	104.42	131.51	27.84	44.57	141.02	74.06	81.14	89.51	79.45	123.5	78.89	17.64	0.77	0.1	0.0	28.04
GPR27	14.24	52.45	17.25	35.5	55.1	65.26	13.32	6.11	99.43	46.5	113.56	118.43	154.42	0.0	205.5	218.79	205.5	167.9	120.94	289.02	215.77	232.94	305.55	190.34	299.25	269.6	85.22	202.66	108.14	47.84	194.36
GPRC5C	89.51	112.77	89.51	559.28	780.44	231.32	191.67	301.33	307.69	88.26	162.14	117.6	406.31	0.0	1208.34	1950.0	2367.9	612.11	1583.71	1519.15	780.44	1313.23	1051.79	1175.27	1991.0	1662.49	463.65	177.53	166.73	191.67	1233.75
GSTA4	438.59	543.96	543.96	351.14	674.59	703.28	140.04	351.14	223.41	503.95	551.56	493.56	497.0	0.0	915.51	915.51	884.29	830.75	1081.39	1015.93	656.11	988.12	1508.65	723.08	1477.58	1427.22	723.08	273.37	119.26	329.84	748.61
HAPLN2	4.9	7.06	4.9	13.03	5.15	15.22	5.92	15.0	1.23	84.04	18.97	66.18	9.63	0.0	134.3	197.09	221.86	223.41	218.79	205.5	366.09	175.07	392.44	339.14	275.28	94.01	3.41	12.55	16.75	28.24	189.02
HOGA1	3.99	2.23	3.56	2.78	5.87	4.31	0.0	1.39	1.04	6.73	8.71	10.08	9.34	0.0	75.11	70.51	49.21	66.65	23.42	63.89	232.94	66.65	30.12	155.5	49.56	35.0	8.71	6.52	7.75	2.68	23.76
HSD17B14	232.94	208.38	190.34	134.3	267.73	255.0	51.35	111.99	117.6	236.21	316.37	151.22	134.3	0.0	493.56	466.88	660.68	329.84	209.84	397.93	426.57	733.19	264.03	620.67	688.78	647.07	215.77	185.11	198.47	163.28	647.07
IFITM10	20.56	17.25	20.41	38.12	32.82	26.67	19.11	18.29	25.54	31.9	35.0	28.24	16.51	0.0	80.57	98.73	74.58	19.39	165.57	65.72	81.71	67.12	88.88	49.91	74.06	59.97	24.28	16.39	14.03	37.59	24.46
IFT122	215.77	190.34	287.01	249.73	316.37	339.14	176.29	251.48	194.36	267.73	392.44	303.44	334.46	0.0	429.54	470.14	514.56	242.88	320.8	301.33	246.28	291.04	500.46	239.52	417.77	368.65	334.46	271.48	140.04	137.14	486.75
IFT140	164.42	136.19	198.47	211.31	159.9	212.78	181.28	215.77	90.14	221.86	244.57	221.86	197.09	0.0	387.02	384.34	420.68	215.77	361.04	587.13	172.65	291.04	438.59	339.14	511.0	563.18	217.27	237.86	198.47	392.44	305.55
INHA	4.03	4.43	3.99	11.38	0.0	12.0	0.3	5.54	0.66	22.59	16.15	16.27	7.75	0.0	48.18	38.95	31.9	13.93	17.9	26.28	22.59	25.17	43.94	27.84	46.84	44.25	0.0	3.47	0.0	1.62	27.25
INSRR	0.88	1.73	0.0	1.93	1.08	1.28	1.11	2.97	1.81	0.0	0.18	0.25	0.77	0.0	4.28	4.7	4.06	2.14	18.16	7.17	1.6	4.94	14.24	2.58	8.78	10.24	1.13	1.75	0.27	1.83	2.39
IRX3	12.55	31.22	5.41	6.84	11.82	5.15	0.28	0.52	2.05	89.51	0.71	1.03	10.16	0.0	529.06	567.1	1437.15	205.5	1322.37	356.05	262.2	423.61	387.02	220.32	571.05	460.44	7.22	4.9	5.32	4.9	132.44
ISM2	0.45	1.33	0.89	5.87	1.97	4.66	0.0	0.77	1.27	4.98	518.15	2.01	0.71	0.0	36.01	72.52	94.01	25.54	10.63	18.16	5.45	81.14	16.51	67.59	43.32	24.63	7.17	7.34	0.0	1.48	30.78
ISY1-RAB43	97.36	98.04	129.69	118.43	171.45	146.03	155.5	105.89	137.14	125.24	126.12	100.83	119.26	0.0	236.21	153.34	176.29	116.78	187.71	211.31	153.34	173.85	128.79	178.77	183.82	169.07	161.02	40.93	59.55	43.94	182.55
ISYNA1	193.01	239.52	178.77	346.29	403.5	457.25	133.36	273.37	226.54	1639.59	665.29	1191.69	866.07	0.0	2271.4	2209.26	2384.37	830.75	2004.85	2133.97	728.11	1066.48	3103.19	1096.5	3928.15	2591.27	403.5	497.0	163.28	316.37	2303.12
KIAA1549	38.12	32.36	38.95	35.25	21.01	36.79	46.84	10.31	17.38	28.45	16.39	18.84	42.71	0.0	33.78	44.25	48.52	25.72	41.81	61.25	22.75	61.68	59.13	85.22	88.26	54.33	33.06	10.63	20.11	19.25	32.82
LMF1	226.54	255.0	228.13	269.6	206.94	273.37	161.02	231.32	143.01	199.85	295.11	303.44	332.14	0.0	703.28	679.29	642.59	269.6	571.05	511.0	473.41	547.75	607.87	368.65	669.92	748.61	218.79	412.0	186.4	218.79	327.56
LMO4	1685.71	1286.18	1832.01	941.27	1322.37	1769.57	2255.7	1135.2	1073.91	1508.65	1208.34	1388.16	884.29	1051.79	2384.37	2682.69	2555.58	3443.31	2047.0	1457.23	2104.58	2976.74	2319.15	2609.3	2796.65	1977.24	1457.23	1151.06	490.14	1073.91	1639.59
LRRC29	58.3	32.82	41.81	50.27	79.45	80.01	9.93	18.97	60.82	66.18	86.43	64.34	93.35	0.0	209.84	215.77	178.77	98.04	180.02	158.79	140.04	183.82	231.32	114.36	228.13	293.07	63.0	68.07	40.93	50.98	95.34
LRRC48	36.27	43.32	67.12	69.52	56.28	68.55	40.07	28.24	28.86	48.18	92.05	72.01	55.1	0.0	167.9	120.1	182.55	63.45	90.14	125.24	69.03	101.54	123.5	99.43	226.54	111.99	70.51	49.91	61.25	61.25	144.01
LRTOMT	154.42	138.1	185.11	154.42	244.57	255.0	185.11	244.57	246.28	197.09	236.21	316.37	406.31	49.21	486.75	348.71	493.56	265.87	429.54	476.71	267.73	500.46	409.15	323.03	514.56	591.22	314.17	201.25	198.47	214.27	343.89
LTBP3	1709.26	2004.85	1991.0	2739.08	1745.2	3768.09	995.0	1457.23	1709.26	4419.52	7081.29	4123.49	2895.31	0.0	4704.07	3443.31	2758.13	2032.85	3372.43	4481.23	2796.65	3018.3	7966.99	3564.78	2855.44	4450.27	2609.3	3419.52	2075.59	3515.68	3982.99
LYRM9	368.65	343.89	447.82	314.17	397.93	599.49	115.16	234.57	208.38	182.55	460.44	246.28	551.56	0.0	669.92	753.83	583.07	684.02	567.1	595.34	775.05	642.59	878.17	703.28	848.22	679.29	693.58	318.57	226.54	187.71	651.58
MBTPS1	1001.93	1008.9	1015.93	1191.69	1159.07	1417.35	947.83	743.43	796.86	981.29	1259.69	941.27	961.07	819.3	1259.69	1561.89	1388.16	1208.34	1477.58	1350.18	1208.34	1437.15	1467.37	1350.18	1628.26	1950.0	1359.57	961.07	967.76	967.76	1407.55
MIEF2	150.17	67.59	249.73	217.27	224.97	255.0	102.25	148.09	167.9	185.11	183.82	248.0	209.84	159.9	341.51	409.15	273.37	435.55	351.14	400.71	371.22	358.54	473.41	291.04	414.87	400.71	209.84	170.25	171.45	178.77	348.71
MSI1	2.68	1.35	0.46	39.79	28.45	21.94	0.0	20.11	0.0	18.97	6.11	6.67	3.41	37.85	169.07	124.37	143.01	53.57	52.82	105.89	48.18	103.69	98.04	130.6	123.5	98.04	34.75	8.25	1.0	1.75	38.4
NBAS	753.83	575.03	780.44	511.0	529.06	642.59	339.14	518.15	733.19	460.44	551.56	624.99	780.44	0.0	733.19	713.11	915.51	525.39	638.15	884.29	669.92	674.59	830.75	759.08	896.64	743.43	540.19	353.59	251.48	379.04	825.0
