	GTEX.TMMY.1526.SM.4DXST	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1NF.11A.73R.A14D.07	GTEX.13CF3.2126.SM.5IFJP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.144GM.0826.SM.5O98R	GTEX.RWSA.2026.SM.47JX8	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.ZTX8.1026.SM.5EGHD	GTEX.13X6H.1626.SM.5Q5CT	GTEX.1339X.1426.SM.5K7YO	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J
CNKSR1	42.71	69.52	5.77	30.56	3.2	15.34	6.36	50.98	0.0	0.18	698.41	698.41	703.28	476.71	514.56	563.18	703.28	417.77	748.61	463.65	583.07	329.84	376.41	384.34	743.43	567.1	878.17	607.87	486.75	420.68	819.3	255.0	414.87	297.17	381.68	511.0	503.95	575.03	348.71	356.05	638.15	417.77	463.65	607.87	525.39	532.74	381.68	420.68	28.04	76.71	67.12	44.89	48.18
D2HGDH	218.79	234.57	156.59	206.94	185.11	293.07	277.2	74.06	0.0	1.06	921.88	2119.22	1487.87	728.11	1529.73	1008.9	1313.23	1037.29	1313.23	995.0	1259.69	384.34	638.15	693.58	1561.89	1295.13	1806.78	1051.79	587.13	536.45	2240.11	211.31	769.69	571.05	473.41	860.08	866.07	738.29	447.82	406.31	1397.83	688.78	563.18	780.44	902.89	1037.29	836.53	432.53	128.79	217.27	195.72	134.3	182.55
DEF6	153.34	102.97	65.72	75.64	100.83	38.95	87.65	61.68	0.0	0.42	703.28	941.27	842.36	511.0	733.19	638.15	896.64	688.78	909.17	633.73	684.02	387.02	444.72	616.37	934.76	954.43	934.76	764.36	563.18	463.65	1143.1	327.56	521.76	521.76	507.46	698.41	638.15	679.29	454.09	289.02	764.36	457.25	624.99	819.3	802.41	921.88	514.56	587.13	108.9	46.18	47.5	32.59	62.12
DMAP1	688.78	432.53	587.13	599.49	591.22	567.1	575.03	343.89	547.75	100.83	830.75	1135.2	1119.56	928.3	1135.2	796.86	988.12	1001.93	1259.69	928.3	954.43	669.92	743.43	921.88	1427.22	1015.93	1216.75	928.3	743.43	872.1	1199.98	665.29	884.29	669.92	738.29	884.29	1008.9	1030.12	629.35	693.58	1088.92	753.83	825.0	961.07	934.76	1151.06	775.05	802.41	543.96	426.57	368.65	483.38	525.39
DNAJB13	0.0	0.27	0.0	0.0	0.0	2.18	1.13	2.63	0.0	0.0	5.36	17.25	57.89	8.0	18.56	22.1	12.18	6.36	34.51	5.63	29.48	10.79	5.06	2.94	18.97	20.11	33.06	3.23	7.63	19.82	22.1	11.73	4.43	9.06	16.15	14.14	16.75	23.25	1.46	8.32	64.34	15.68	8.85	7.69	10.71	17.9	18.56	5.87	0.0	0.39	3.53	0.43	0.0
EFCAB4B	11.64	11.64	16.75	19.11	29.06	25.35	60.39	58.71	0.0	0.54	149.12	244.57	327.56	269.6	318.57	343.89	285.03	387.02	237.86	215.77	297.17	346.29	412.0	283.05	158.79	232.94	114.36	327.56	341.51	189.02	205.5	102.97	193.01	211.31	312.0	450.94	237.86	299.25	336.79	175.07	1216.75	269.6	353.59	366.09	206.94	454.09	211.31	202.66	59.55	43.63	40.07	18.7	77.79
ENTPD8	0.82	0.0	1.33	0.0	0.0	0.0	0.45	0.02	0.0	0.25	5.96	14.67	30.56	8.32	25.17	5.96	14.03	11.73	42.11	8.58	62.56	6.57	3.06	5.02	14.35	15.45	7.0	2.66	13.72	12.18	16.88	2.34	6.57	23.25	5.59	13.52	5.68	22.26	6.06	5.36	46.84	11.47	9.13	5.06	5.23	16.03	4.54	16.63	0.0	0.0	2.58	1.28	2.97
FAM160A2	336.79	351.14	327.56	470.14	351.14	400.71	473.41	395.18	0.0	0.77	723.08	934.76	1096.5	642.59	1059.11	825.0	1051.79	769.69	915.51	698.41	909.17	500.46	571.05	438.59	909.17	921.88	1167.14	915.51	679.29	595.34	1096.5	327.56	703.28	490.14	532.74	842.36	890.44	830.75	366.09	466.88	1051.79	532.74	825.0	1259.69	723.08	1081.39	603.67	511.0	251.48	325.29	320.8	246.28	429.54
FAM189A2	629.35	525.39	426.57	599.49	105.89	140.04	109.66	18.29	0.0	0.26	1073.91	1242.34	1417.35	961.07	1001.93	1216.75	825.0	934.76	769.69	842.36	708.18	830.75	733.19	1286.18	1044.52	1023.0	1044.52	1268.46	651.58	866.07	1001.93	423.61	848.22	368.65	878.17	813.63	575.03	842.36	229.72	3325.99	3768.09	536.45	547.75	723.08	620.67	974.5	470.14	303.44	17.0	33.78	176.29	16.03	31.9
FANK1	24.11	14.67	23.76	19.11	40.07	22.59	20.11	10.0	0.0	0.0	148.09	122.64	88.26	52.82	129.69	70.51	79.45	65.72	154.42	53.19	221.86	105.15	75.11	72.01	130.6	119.26	115.16	99.43	80.01	76.71	111.21	85.22	73.54	73.54	54.72	96.01	120.1	157.68	67.59	100.83	258.57	80.57	98.73	113.56	64.34	142.01	120.1	42.41	34.75	36.53	23.93	28.65	27.44
FARP1	212.78	830.75	1059.11	842.36	688.78	412.0	780.44	397.93	218.79	93.35	1340.84	1819.35	1819.35	1508.65	1628.26	1417.35	1233.75	1304.15	1561.89	1508.65	1857.6	1540.37	1745.2	1135.2	1407.55	1628.26	1674.06	1551.09	1313.23	1369.04	1233.75	571.05	1674.06	738.29	1350.18	1135.2	1331.57	2240.11	802.41	1477.58	2915.45	1250.98	1081.39	1757.34	1437.15	1467.37	1151.06	1023.0	334.46	432.53	665.29	264.03	409.15
FBN3	0.0	0.0	6.46	0.0	0.45	0.0	0.46	0.0	0.0	0.06	3.29	32.59	24.81	3.99	14.89	21.94	21.63	13.12	44.57	9.48	15.68	6.78	21.63	3.79	8.92	17.38	41.22	9.93	6.57	17.13	21.32	2.48	2.51	3.53	8.45	34.75	12.36	61.25	17.25	21.01	90.77	17.77	17.64	46.5	33.78	27.64	10.31	20.71	2.05	12.27	5.73	2.58	2.81
GAS8	255.0	262.2	218.79	237.86	197.09	255.0	253.23	189.02	0.0	0.54	373.81	412.0	423.61	307.69	441.64	466.88	400.71	486.75	447.82	435.55	563.18	267.73	353.59	323.03	389.72	389.72	547.75	435.55	426.57	336.79	521.76	265.87	312.0	312.0	334.46	457.25	457.25	454.09	275.28	669.92	563.18	314.17	438.59	493.56	403.5	633.73	332.14	368.65	277.2	163.28	299.25	264.03	256.78
GGT7	147.06	133.36	144.01	162.14	115.97	169.07	154.42	47.17	0.0	0.83	514.56	587.13	521.76	281.09	620.67	397.93	525.39	429.54	684.02	406.31	616.37	341.51	470.14	389.72	599.49	607.87	698.41	397.93	500.46	518.15	698.41	521.76	450.94	571.05	607.87	587.13	457.25	896.64	285.03	279.14	1322.37	368.65	420.68	543.96	764.36	684.02	373.81	301.33	47.17	71.5	98.73	34.75	102.25
HDAC10	218.79	236.21	145.02	151.22	214.27	169.07	301.33	112.77	0.0	0.96	780.44	1175.27	1143.1	583.07	866.07	769.69	1015.93	743.43	954.43	738.29	928.3	309.83	473.41	466.88	909.17	860.08	1605.83	674.59	426.57	403.5	1259.69	279.14	497.0	397.93	403.5	651.58	651.58	583.07	279.14	348.71	698.41	329.84	490.14	780.44	603.67	1051.79	567.1	466.88	204.07	264.03	211.31	169.07	264.03
KCNAB3	4.13	4.54	2.68	0.47	3.38	4.9	16.03	19.97	0.0	0.8	36.01	128.79	93.35	16.27	82.29	68.55	122.64	42.41	63.45	22.92	87.03	29.27	22.26	9.93	35.76	59.97	108.14	63.89	25.17	22.59	119.26	19.39	12.55	31.22	8.92	52.45	57.89	36.53	17.25	15.34	45.53	18.43	26.47	46.84	35.25	65.26	41.22	15.11	8.71	3.06	4.13	3.72	8.38
KCNC3	5.63	5.92	3.56	5.82	5.45	7.28	14.56	6.16	0.0	0.39	34.02	211.31	129.69	26.86	106.63	80.01	62.12	58.3	120.94	66.18	65.26	43.63	56.28	20.26	63.0	85.22	108.14	63.45	34.75	40.64	85.82	11.82	24.99	33.78	48.87	48.52	42.11	134.3	48.18	76.17	155.5	59.97	82.87	91.41	92.05	98.73	100.13	69.52	4.06	7.57	3.38	5.5	2.81
MSMB	3.59	4.94	0.0	0.0	0.0	8.25	0.0	2.53	0.0	0.0	800198.39	411347.03	391864.76	894051.48	360589.03	602247.76	783730.52	569761.05	558035.51	711250.37	1019901.63	811368.76	778316.89	691801.16	659036.03	845824.19	164758.26	1212874.47	554180.87	778316.89	400098.69	1264380.15	1308968.45	1139523.1	1171559.48	919186.72	958220.73	577714.63	919186.72	716197.51	174152.51	509950.32	1645391.11	894051.48	619179.28	762299.34	654483.73	573724.06	0.0	0.0	21.78	0.0	0.0
MTHFSD	137.14	165.57	242.88	189.02	162.14	208.38	215.77	134.3	0.0	0.05	186.4	371.22	409.15	239.52	429.54	271.48	409.15	295.11	381.68	303.44	339.14	231.32	271.48	295.11	348.71	336.79	397.93	289.02	293.07	336.79	426.57	185.11	277.2	223.41	237.86	265.87	275.28	483.38	241.19	215.77	414.87	258.57	271.48	460.44	260.38	420.68	244.57	223.41	189.02	181.28	143.01	169.07	193.01
NEIL1	191.67	159.9	150.17	81.71	149.12	256.78	275.28	81.71	0.0	1.1	514.56	1388.16	1250.98	332.14	1044.52	769.69	1250.98	743.43	1059.11	571.05	1037.29	279.14	262.2	281.09	947.83	796.86	1832.01	878.17	368.65	400.71	1295.13	262.2	255.0	403.5	289.02	684.02	595.34	656.11	224.97	220.32	1037.29	193.01	285.03	463.65	483.38	743.43	417.77	234.57	52.45	95.34	86.43	70.51	132.44
NME9	2.56	1.99	2.66	0.0	7.82	4.7	10.47	11.82	0.0	0.08	12.09	27.84	37.85	11.04	33.3	31.22	27.44	31.67	38.4	32.82	66.65	26.67	22.59	27.25	29.27	40.07	35.0	35.0	31.0	32.82	37.59	30.34	16.39	28.86	23.93	37.59	19.53	45.53	20.26	12.45	62.56	26.86	17.77	44.89	27.25	33.3	28.45	19.82	15.0	11.91	4.54	2.41	8.78
NRDE2	89.51	97.36	137.14	159.9	120.94	130.6	142.01	103.69	0.0	0.43	181.28	189.02	215.77	152.28	229.72	177.53	223.41	157.68	195.72	186.4	194.36	158.79	166.73	134.3	205.5	190.34	267.73	211.31	198.47	151.22	237.86	103.69	166.73	121.79	162.14	212.78	183.82	221.86	127.89	171.45	251.48	172.65	165.57	224.97	172.65	242.88	156.59	201.25	134.3	103.69	72.52	182.55	140.04
OSBPL7	63.0	46.18	100.13	50.98	46.5	26.86	71.0	21.47	0.0	0.85	271.48	450.94	346.29	231.32	348.71	297.17	379.04	279.14	432.53	224.97	260.38	186.4	206.94	206.94	273.37	343.89	339.14	260.38	249.73	301.33	373.81	100.13	182.55	175.07	190.34	334.46	234.57	397.93	112.77	64.8	353.59	137.14	187.71	253.23	246.28	426.57	231.32	161.02	60.82	108.14	80.01	71.5	92.05
PLEKHG4B	0.0	0.14	0.0	0.0	0.75	4.31	0.39	1.3	0.0	0.33	4.78	75.64	74.06	45.21	76.17	47.5	61.68	63.45	108.14	53.57	71.0	51.35	58.3	41.22	49.91	66.18	116.78	46.18	59.55	64.8	101.54	25.54	52.08	27.05	63.45	101.54	78.34	129.69	29.06	111.21	199.85	36.53	40.36	156.59	71.0	98.73	21.94	53.95	0.0	0.09	0.8	0.0	1.64
POU5F1	2.23	7.4	7.11	3.17	1.69	6.06	20.41	30.12	0.0	0.44	63.45	59.55	59.13	17.25	50.63	26.67	68.55	21.01	29.7	32.13	22.59	9.06	21.16	16.39	36.27	42.41	217.27	32.13	36.53	40.64	126.12	13.62	18.29	22.1	15.91	74.06	30.56	167.9	25.35	23.42	236.21	12.18	20.71	29.06	21.47	47.84	46.5	15.0	11.82	5.23	2.94	0.97	5.68
POU5F1B	3.38	0.41	0.0	0.46	1.95	4.46	7.17	5.54	0.0	0.09	105.89	39.22	49.91	28.86	36.53	35.0	36.79	32.59	41.22	44.57	33.78	26.47	18.03	33.78	42.11	24.99	111.21	33.3	14.14	27.44	45.53	9.56	19.11	31.0	31.67	13.22	27.05	34.51	17.51	19.97	87.03	17.38	29.7	34.75	22.43	38.4	33.78	10.16	0.0	1.11	0.67	0.0	0.0
PPOX	218.79	208.38	297.17	226.54	305.55	215.77	295.11	182.55	0.0	0.39	414.87	769.69	674.59	325.29	688.78	603.67	713.11	540.19	713.11	460.44	872.1	316.37	351.14	356.05	679.29	529.06	896.64	633.73	366.09	400.71	723.08	525.39	305.55	444.72	307.69	454.09	587.13	503.95	218.79	269.6	728.11	332.14	376.41	503.95	363.56	616.37	389.72	323.03	209.84	231.32	159.9	172.65	256.78
RAD9A	128.79	101.54	141.02	96.68	120.1	208.38	149.12	133.36	0.0	0.69	599.49	656.11	571.05	269.6	536.45	432.53	463.65	325.29	791.35	409.15	791.35	343.89	463.65	361.04	575.03	514.56	738.29	420.68	351.14	414.87	718.08	275.28	353.59	339.14	366.09	525.39	454.09	571.05	224.97	201.25	579.04	229.72	279.14	381.68	460.44	616.37	309.83	307.69	127.89	120.1	115.16	105.89	103.69
RBM4B	287.01	262.2	358.54	264.03	277.2	267.73	232.94	148.09	0.0	0.2	463.65	688.78	624.99	435.55	693.58	507.46	743.43	571.05	738.29	409.15	642.59	450.94	616.37	460.44	656.11	620.67	733.19	642.59	591.22	559.28	660.68	500.46	460.44	525.39	447.82	587.13	629.35	525.39	381.68	423.61	1030.12	444.72	500.46	624.99	543.96	624.99	480.04	406.31	239.52	262.2	145.02	199.85	343.89
RECQL5	305.55	256.78	251.48	248.0	218.79	320.8	279.14	198.47	0.0	0.59	438.59	890.44	669.92	417.77	733.19	483.38	780.44	457.25	733.19	629.35	698.41	336.79	368.65	454.09	775.05	559.28	934.76	486.75	555.41	454.09	878.17	239.52	503.95	320.8	376.41	525.39	708.18	698.41	287.01	381.68	733.19	507.46	450.94	595.34	463.65	791.35	457.25	389.72	241.19	195.72	248.0	204.07	271.48
RIC3	52.08	40.36	127.0	158.79	78.34	48.87	26.67	6.94	0.0	0.61	73.54	665.29	490.14	228.13	620.67	414.87	486.75	327.56	540.19	273.37	361.04	379.04	361.04	172.65	305.55	457.25	559.28	583.07	339.14	299.25	743.43	244.57	264.03	293.07	312.0	371.22	543.96	480.04	327.56	297.17	1037.29	497.0	559.28	1617.0	521.76	532.74	351.14	241.19	208.38	435.55	201.25	129.69	392.44
RNF165	9.27	3.38	31.22	24.11	22.92	10.0	12.64	3.72	0.0	0.34	7.22	75.11	46.84	29.06	83.45	45.21	52.45	43.94	105.89	48.52	91.41	47.84	34.26	42.41	58.71	99.43	57.49	22.43	57.49	54.33	119.26	30.12	52.45	36.01	42.71	53.19	90.14	139.07	49.91	31.22	175.07	72.52	49.91	149.12	85.22	66.65	19.68	24.11	12.64	16.27	11.04	11.64	44.57
RP11-706O15.1	108.9	98.73	15.22	36.79	130.6	105.89	81.71	142.01	0.0	0.72	480.04	555.41	500.46	379.04	432.53	543.96	384.34	490.14	563.18	444.72	638.15	275.28	341.51	480.04	525.39	358.54	642.59	323.03	392.44	490.14	547.75	336.79	343.89	166.73	249.73	279.14	309.83	620.67	423.61	579.04	656.11	473.41	429.54	493.56	417.77	320.8	336.79	275.28	173.85	75.11	183.82	50.27	63.45
SH3RF2	16.88	5.36	8.45	16.03	60.39	48.52	73.54	2.01	0.0	0.57	150.17	139.07	169.07	139.07	130.6	111.21	102.25	108.14	191.67	105.15	104.42	114.36	173.85	57.08	124.37	86.43	139.07	118.43	100.83	129.69	187.71	48.52	89.51	73.54	92.7	104.42	73.03	129.69	45.85	17.9	447.82	88.26	127.0	107.38	147.06	147.06	137.14	28.04	17.51	31.0	23.25	18.29	30.56
SRRM5	2.34	5.96	7.88	4.43	3.76	5.32	3.41	2.89	0.0	0.37	7.63	30.34	22.75	15.34	32.82	17.9	30.78	15.11	26.86	12.74	31.45	10.24	13.22	8.32	16.03	22.75	30.56	20.41	15.91	12.55	35.76	8.38	17.0	10.71	11.3	12.55	16.63	22.43	10.08	8.99	17.77	10.96	12.93	20.41	14.67	28.45	12.45	10.88	1.73	4.21	4.62	5.19	6.52
STRC	2.84	0.99	0.0	3.99	0.88	1.48	4.43	0.47	0.0	0.55	18.84	36.01	39.22	8.65	20.26	14.03	31.9	13.52	28.65	21.63	36.01	14.14	4.06	5.63	27.44	14.56	94.01	37.32	18.43	7.94	34.02	8.45	10.47	12.27	12.0	11.82	18.7	28.86	5.59	12.0	20.71	4.82	16.39	27.05	11.3	34.02	13.22	4.46	0.82	0.06	0.87	0.0	0.0
TLE6	7.69	4.7	29.06	24.81	20.26	12.36	10.55	23.42	0.0	0.35	12.74	98.04	81.71	31.22	84.63	29.48	42.71	32.36	94.67	34.26	81.71	22.59	34.26	33.06	44.89	68.55	51.35	37.05	28.86	50.98	71.5	42.11	35.0	34.02	23.93	47.84	65.72	43.02	13.72	29.91	152.28	55.1	38.67	66.18	62.56	45.53	23.93	57.08	44.25	26.86	26.1	42.41	5.32
TRIT1	275.28	242.88	217.27	246.28	241.19	226.54	146.03	153.34	0.0	0.74	457.25	536.45	563.18	521.76	559.28	642.59	733.19	500.46	571.05	414.87	497.0	358.54	327.56	507.46	540.19	567.1	591.22	460.44	656.11	536.45	441.64	647.07	500.46	493.56	432.53	511.0	543.96	567.1	612.11	579.04	1277.29	432.53	384.34	642.59	571.05	507.46	429.54	316.37	221.86	239.52	202.66	194.36	258.57
TSNARE1	255.0	120.1	204.07	185.11	142.01	167.9	191.67	153.34	0.0	0.55	417.77	511.0	460.44	299.25	435.55	417.77	412.0	356.05	358.54	414.87	493.56	264.03	341.51	454.09	423.61	368.65	500.46	336.79	463.65	389.72	612.11	164.42	249.73	303.44	389.72	460.44	267.73	521.76	260.38	249.73	669.92	334.46	441.64	432.53	423.61	417.77	336.79	285.03	146.03	114.36	170.25	133.36	190.34
TTC34	1.99	0.71	0.91	0.91	1.28	2.86	2.46	1.91	0.0	0.25	3.96	44.89	19.68	3.44	18.43	11.04	16.63	14.89	12.74	17.0	18.43	8.58	7.06	8.92	7.34	20.86	27.64	14.67	7.17	7.17	23.42	2.27	4.58	14.35	9.13	19.82	12.74	12.45	3.66	3.2	31.22	17.0	7.0	9.27	8.19	8.85	2.84	4.82	2.66	0.61	0.0	1.43	0.06
WBP2NL	2.89	5.54	5.73	3.56	4.1	15.11	8.92	3.06	0.0	0.28	23.42	38.4	35.76	21.78	26.67	25.91	36.27	19.53	48.18	16.39	16.88	17.0	19.97	19.97	25.35	22.26	46.84	20.26	21.32	12.93	25.17	37.05	18.16	41.52	23.08	34.75	44.89	29.91	16.51	6.67	52.82	10.31	25.17	34.51	32.59	28.45	19.68	17.51	5.06	5.36	1.35	3.76	2.86
