	GTEX.SE5C.1026.SM.4BRUG	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.PWN1.0726.SM.48TDR	GTEX.13OVG.0926.SM.5J2OJ	GTEX.TKQ2.1226.SM.4DXSV	GTEX.1399R.0726.SM.5KM2A	TCGA.AG.3732.11A.01R.1660.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.D7.8574.01A.13R.2343.13	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.1399U.1626.SM.5P9J3	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
ASAH2B	13.93	108.14	165.57	78.89	58.71	53.19	37.32	26.86	45.85	32.82	50.63	66.65	55.1	80.57	96.68	57.08	74.58	83.45	98.04	74.06	63.45	60.82	57.08	58.3	89.51	57.49	48.52	46.5	28.24	41.81	33.54	47.84	21.63	17.77	45.53	78.34	46.84	21.16	23.76	76.17	58.3
ATP2B1	205.5	587.13	1304.15	941.27	854.13	215.77	234.57	229.72	177.53	190.34	256.78	406.31	403.5	571.05	473.41	356.05	483.38	769.69	336.79	579.04	400.71	543.96	591.22	212.78	571.05	186.4	92.05	309.83	173.85	165.57	161.02	181.28	293.07	195.72	224.97	248.0	195.72	341.51	229.72	395.18	353.59
ATP2C1	454.09	1819.35	2240.11	2384.37	896.64	575.03	743.43	438.59	420.68	624.99	813.63	896.64	967.76	1378.57	1135.2	1111.82	1030.12	1096.5	866.07	1111.82	743.43	1143.1	808.0	620.67	376.41	460.44	493.56	1151.06	854.13	753.83	441.64	612.11	480.04	409.15	551.56	651.58	651.58	941.27	529.06	848.22	651.58
ATP8A1	7.75	480.04	95.34	232.94	265.87	156.59	69.03	121.79	38.4	62.56	291.04	423.61	343.89	521.76	167.9	224.97	423.61	1001.93	341.51	316.37	234.57	277.2	579.04	56.28	45.85	52.45	43.32	51.71	29.48	82.29	48.18	71.5	22.59	24.46	30.12	37.85	30.78	47.5	28.04	49.21	42.41
ATXN7L1	56.28	186.4	194.36	241.19	161.02	255.0	101.54	178.77	102.97	120.1	159.9	141.02	181.28	232.94	260.38	223.41	195.72	336.79	209.84	281.09	208.38	220.32	379.04	277.2	176.29	167.9	134.3	199.85	199.85	232.94	159.9	183.82	114.36	86.43	116.78	246.28	234.57	189.02	162.14	279.14	162.14
BRINP1	1.6	260.38	295.11	78.89	7.4	7.46	1.79	0.88	1.22	1.62	8.92	3.86	6.94	5.59	1.13	8.58	7.34	15.45	8.19	1.33	5.68	10.96	49.91	17.64	2.43	2.39	2.68	2.32	1.91	5.11	3.23	2.23	3.56	0.16	7.94	4.54	1.83	0.6	0.16	0.53	4.39
BTN3A1	121.79	1572.76	1143.1	1322.37	218.79	327.56	162.14	204.07	146.03	102.25	591.22	341.51	507.46	961.07	277.2	536.45	860.08	1628.26	656.11	684.02	307.69	624.99	1225.22	420.68	124.37	153.34	187.71	100.13	158.79	241.19	171.45	753.83	152.28	93.35	83.45	293.07	170.25	195.72	113.56	543.96	170.25
BTN3A3	87.65	1030.12	909.17	1073.91	217.27	316.37	178.77	139.07	86.43	116.78	579.04	339.14	463.65	656.11	376.41	476.71	713.11	921.88	579.04	551.56	223.41	563.18	941.27	620.67	127.89	239.52	220.32	171.45	195.72	325.29	183.82	961.07	104.42	127.89	147.06	314.17	185.11	287.01	120.1	599.49	205.5
C18orf54	4.94	50.27	45.53	104.42	19.68	33.06	17.13	4.43	6.78	8.13	20.71	25.35	43.02	40.07	17.0	29.27	18.97	27.64	29.06	24.63	21.32	39.79	26.1	23.42	11.04	18.03	15.34	14.56	13.62	18.7	15.56	26.47	9.78	7.88	10.47	17.51	15.8	18.97	18.16	24.99	10.16
C4orf33	57.89	325.29	543.96	540.19	150.17	47.17	66.18	71.5	67.12	57.89	183.82	133.36	223.41	228.13	170.25	242.88	221.86	426.57	177.53	144.01	129.69	148.09	214.27	279.14	204.07	105.89	166.73	167.9	165.57	244.57	115.97	236.21	88.88	98.04	117.6	63.45	182.55	226.54	136.19	155.5	136.19
CD200R1	8.19	92.05	95.34	85.82	15.68	6.62	10.88	12.09	9.78	5.41	24.63	35.76	40.36	38.95	20.26	29.48	45.53	74.06	21.16	39.22	10.96	24.81	59.97	25.72	5.92	34.75	29.27	26.1	23.42	88.26	14.03	78.34	19.39	3.86	17.13	28.86	11.3	21.78	7.51	42.41	21.63
CD28	8.92	217.27	122.64	45.21	8.13	8.85	7.06	6.73	4.35	0.39	9.06	12.74	19.11	127.0	34.75	43.63	175.07	316.37	51.35	197.09	41.81	101.54	249.73	7.82	34.51	31.9	25.54	25.72	5.68	22.92	11.91	22.92	12.83	35.5	45.53	14.35	10.39	12.93	19.68	26.28	30.78
CDK14	97.36	450.94	406.31	503.95	147.06	293.07	126.12	130.6	119.26	162.14	256.78	287.01	299.25	409.15	275.28	269.6	327.56	460.44	295.11	392.44	242.88	281.09	435.55	295.11	172.65	112.77	92.7	195.72	93.35	154.42	131.51	432.53	45.85	71.0	84.63	150.17	87.03	163.28	73.03	218.79	70.51
CEP135	24.81	148.09	118.43	140.04	63.0	62.56	49.21	40.07	24.28	37.85	53.19	70.01	75.64	159.9	87.03	114.36	129.69	264.03	113.56	111.99	85.22	114.36	149.12	77.25	42.71	44.25	47.5	50.98	34.26	57.89	36.01	76.17	40.93	38.67	34.75	44.89	55.1	59.13	37.59	60.39	29.91
CEP170	169.07	825.0	583.07	620.67	316.37	460.44	373.81	303.44	224.97	214.27	346.29	450.94	497.0	693.58	473.41	423.61	583.07	688.78	521.76	647.07	420.68	660.68	551.56	483.38	248.0	273.37	199.85	287.01	204.07	305.55	214.27	412.0	224.97	165.57	199.85	275.28	215.77	287.01	285.03	295.11	198.47
CEP97	33.06	112.77	139.07	156.59	70.01	76.17	66.65	21.94	29.7	47.17	111.99	90.77	87.03	121.79	81.14	105.89	80.57	111.99	118.43	115.97	108.9	100.13	127.0	94.67	50.63	51.71	37.05	65.72	67.12	63.0	53.95	114.36	29.48	25.54	49.91	55.89	66.18	66.18	70.51	94.67	46.18
CEPT1	271.48	954.43	1051.79	1111.82	389.72	299.25	269.6	262.2	226.54	258.57	371.22	429.54	511.0	679.29	318.57	571.05	769.69	1008.9	511.0	684.02	343.89	389.72	909.17	389.72	249.73	229.72	236.21	246.28	214.27	316.37	265.87	312.0	161.02	146.03	193.01	325.29	314.17	262.2	226.54	376.41	234.57
CMTR2	127.89	450.94	688.78	466.88	231.32	169.07	128.79	117.6	121.79	152.28	236.21	232.94	293.07	379.04	299.25	327.56	397.93	395.18	307.69	363.56	258.57	285.03	387.02	228.13	145.02	155.5	111.99	228.13	171.45	206.94	135.24	277.2	98.73	115.16	130.6	253.23	186.4	204.07	102.97	291.04	181.28
CNPY3	603.67	1407.55	1216.75	915.51	703.28	660.68	555.41	551.56	555.41	476.71	616.37	780.44	669.92	1313.23	547.75	1119.56	1388.16	1529.73	1030.12	1216.75	947.83	775.05	1870.53	830.75	400.71	759.08	713.11	591.22	507.46	708.18	551.56	674.59	518.15	543.96	567.1	579.04	684.02	723.08	423.61	890.44	460.44
CNTN4	11.55	199.85	463.65	212.78	91.41	63.45	78.89	91.41	61.68	39.5	88.88	80.57	165.57	283.05	119.26	127.0	144.01	141.02	256.78	130.6	92.7	220.32	228.13	343.89	63.0	251.48	24.81	102.97	28.65	244.57	37.05	71.5	40.93	82.87	50.63	116.78	46.84	94.67	52.08	111.99	52.82
DDX55	229.72	371.22	447.82	381.68	277.2	281.09	249.73	260.38	159.9	234.57	353.59	327.56	341.51	334.46	323.03	397.93	309.83	529.06	351.14	260.38	346.29	346.29	397.93	221.86	141.02	173.85	119.26	153.34	150.17	287.01	137.14	209.84	226.54	153.34	130.6	409.15	265.87	161.02	133.36	175.07	165.57
DHX34	224.97	265.87	255.0	181.28	239.52	161.02	237.86	260.38	166.73	191.67	248.0	293.07	142.01	454.09	224.97	379.04	379.04	529.06	341.51	320.8	295.11	303.44	381.68	149.12	137.14	124.37	141.02	251.48	226.54	143.01	141.02	264.03	171.45	176.29	111.21	343.89	206.94	277.2	199.85	241.19	163.28
DISC1	5.96	125.24	98.04	87.03	20.26	28.65	37.32	32.13	22.92	18.7	41.22	42.71	43.94	108.14	39.79	46.5	83.45	100.13	63.0	84.63	38.67	68.07	78.89	70.51	32.82	26.86	17.38	27.44	12.09	27.44	13.83	53.19	14.67	18.7	10.24	24.11	12.93	30.56	19.68	34.75	15.91
DNAH2	0.0	21.32	78.89	43.02	2.71	2.76	2.58	3.06	1.57	1.06	7.69	0.61	2.34	9.78	2.71	9.7	10.88	7.94	5.5	10.79	10.71	1.35	10.55	0.95	1.62	8.0	0.43	0.0	1.01	7.82	0.04	5.59	1.06	1.46	0.46	1.0	2.73	0.1	0.06	2.68	1.5
DNMT3B	6.78	40.64	62.56	48.52	12.27	15.22	10.24	9.7	7.11	6.31	18.97	26.28	20.11	40.64	15.0	43.02	37.32	32.13	35.5	26.67	16.88	40.07	33.78	12.36	2.46	8.19	4.28	6.62	5.32	12.83	5.45	14.78	2.25	0.6	3.63	20.26	6.57	1.79	3.76	22.75	5.63
EHMT2	1159.07	1066.48	1295.13	890.44	866.07	1023.0	743.43	511.0	579.04	540.19	1208.34	1008.9	813.63	1159.07	775.05	842.36	1023.0	1066.48	1037.29	928.3	872.1	872.1	1304.15	1167.14	470.14	808.0	656.11	802.41	780.44	748.61	836.53	1167.14	514.56	414.87	629.35	1340.84	764.36	698.41	656.11	1051.79	693.58
ENTPD1	1427.22	607.87	802.41	665.29	329.84	1259.69	753.83	403.5	392.44	373.81	759.08	836.53	480.04	1175.27	738.29	728.11	1008.9	521.76	802.41	928.3	830.75	693.58	796.86	954.43	529.06	629.35	414.87	450.94	567.1	764.36	511.0	1059.11	271.48	412.0	486.75	669.92	447.82	854.13	384.34	656.11	438.59
EPS8	796.86	909.17	679.29	1697.45	1662.49	785.88	547.75	595.34	423.61	412.0	476.71	921.88	1167.14	1277.29	1487.87	836.53	1388.16	1167.14	1159.07	1135.2	909.17	1111.82	866.07	748.61	718.08	1037.29	271.48	738.29	327.56	563.18	395.18	336.79	361.04	287.01	277.2	728.11	412.0	438.59	400.71	764.36	327.56
ERCC6	28.24	136.19	161.02	145.02	60.82	81.71	44.57	55.1	24.28	61.25	74.06	89.51	77.79	125.24	87.65	99.43	96.01	140.04	84.04	90.77	63.45	92.05	109.66	67.59	31.9	46.5	35.76	50.98	49.21	55.49	47.5	84.63	26.47	18.16	37.85	67.59	73.03	75.11	43.32	85.22	50.27
FAM102B	106.63	412.0	703.28	435.55	234.57	151.22	228.13	201.25	84.04	88.88	223.41	256.78	246.28	693.58	193.01	341.51	351.14	483.38	454.09	417.77	162.14	389.72	395.18	318.57	237.86	118.43	98.73	211.31	86.43	111.21	75.64	265.87	130.6	122.64	130.6	181.28	74.58	244.57	152.28	212.78	96.01
FAM111A	130.6	780.44	974.5	733.19	269.6	232.94	186.4	236.21	151.22	232.94	500.46	334.46	493.56	665.29	426.57	595.34	890.44	988.12	660.68	616.37	325.29	543.96	1001.93	381.68	120.94	191.67	198.47	176.29	180.02	285.03	199.85	429.54	120.1	106.63	115.97	232.94	248.0	223.41	162.14	327.56	189.02
FBXW7	120.94	928.3	775.05	764.36	269.6	214.27	291.04	242.88	204.07	346.29	224.97	318.57	291.04	417.77	258.57	339.14	312.0	447.82	295.11	279.14	303.44	325.29	473.41	206.94	193.01	136.19	135.24	186.4	180.02	224.97	177.53	175.07	217.27	153.34	164.42	148.09	161.02	169.07	136.19	275.28	217.27
FHAD1	26.1	75.11	106.63	65.72	18.43	35.0	0.67	0.89	1.93	6.36	59.97	7.88	23.93	35.76	48.52	39.79	66.18	33.54	53.57	22.26	31.22	44.89	39.5	105.89	21.47	15.56	34.75	92.05	17.38	28.86	11.3	55.89	14.35	4.7	13.22	20.41	34.26	32.13	7.69	24.63	9.06
FIP1L1	575.03	1159.07	1519.15	1104.13	813.63	688.78	612.11	579.04	441.64	713.11	647.07	563.18	785.88	743.43	791.35	633.73	591.22	928.3	733.19	647.07	616.37	603.67	813.63	571.05	543.96	532.74	583.07	376.41	532.74	599.49	540.19	463.65	486.75	334.46	507.46	486.75	525.39	341.51	420.68	559.28	529.06
FOCAD	90.77	307.69	679.29	638.15	273.37	309.83	208.38	220.32	134.3	198.47	172.65	332.14	343.89	387.02	387.02	299.25	289.02	325.29	255.0	264.03	334.46	246.28	215.77	265.87	150.17	231.32	226.54	199.85	211.31	256.78	106.63	164.42	151.22	194.36	262.2	454.09	152.28	312.0	169.07	265.87	118.43
GGA2	583.07	2720.15	1733.13	1950.0	624.99	860.08	651.58	579.04	503.95	629.35	967.76	941.27	878.17	1605.83	1143.1	1295.13	1883.54	2367.9	1295.13	2400.97	961.07	1617.0	2758.13	748.61	432.53	651.58	423.61	679.29	624.99	836.53	497.0	1023.0	571.05	414.87	397.93	1037.29	791.35	738.29	595.34	896.64	493.56
GIMAP2	25.72	679.29	373.81	854.13	131.51	163.28	45.85	120.1	56.68	70.01	178.77	158.79	269.6	346.29	172.65	312.0	397.93	1008.9	287.01	318.57	190.34	209.84	587.13	265.87	56.28	140.04	175.07	88.88	96.68	221.86	102.25	483.38	43.94	54.33	54.33	159.9	92.7	110.43	55.49	239.52	88.26
GIT2	314.17	967.76	780.44	808.0	500.46	638.15	551.56	371.22	426.57	476.71	713.11	633.73	624.99	1037.29	928.3	769.69	961.07	1216.75	909.17	1001.93	759.08	825.0	1096.5	1030.12	325.29	536.45	400.71	629.35	473.41	674.59	521.76	848.22	397.93	303.44	343.89	775.05	616.37	587.13	486.75	718.08	486.75
GM2A	500.46	1551.09	954.43	1295.13	379.04	493.56	591.22	291.04	293.07	258.57	470.14	490.14	500.46	713.11	532.74	698.41	896.64	791.35	595.34	764.36	444.72	599.49	1073.91	1250.98	708.18	660.68	567.1	651.58	547.75	1369.04	444.72	1331.57	361.04	366.09	490.14	860.08	656.11	638.15	426.57	1081.39	441.64
GPBP1	620.67	1769.57	1991.0	1896.65	921.88	967.76	836.53	884.29	669.92	802.41	947.83	967.76	1135.2	1242.34	1159.07	1030.12	995.0	1757.34	954.43	981.29	947.83	967.76	1183.45	878.17	656.11	470.14	642.59	674.59	616.37	764.36	703.28	616.37	555.41	438.59	665.29	563.18	684.02	638.15	532.74	842.36	665.29
HLA-DMA	341.51	5672.41	1781.89	1950.0	915.51	738.29	603.67	842.36	358.54	361.04	1427.22	684.02	1001.93	1819.35	1119.56	2224.63	3018.3	2875.3	1268.46	1991.0	1008.9	1508.65	2502.97	1417.35	587.13	928.3	753.83	764.36	603.67	1313.23	651.58	2032.85	450.94	624.99	476.71	1081.39	624.99	796.86	351.14	3614.55	656.11
HLA-DMB	128.79	4671.57	1781.89	1487.87	346.29	334.46	277.2	507.46	187.71	126.12	1015.93	381.68	708.18	1651.0	703.28	1225.22	2119.22	2400.97	1044.52	1685.71	532.74	1015.93	2193.99	563.18	432.53	493.56	291.04	363.56	551.56	1331.57	429.54	1757.34	299.25	320.8	403.5	866.07	480.04	426.57	273.37	1819.35	490.14
IFIT2	49.91	262.2	450.94	454.09	72.52	98.04	77.79	74.06	49.21	41.22	239.52	180.02	161.02	107.38	97.36	183.82	163.28	356.05	130.6	164.42	115.97	265.87	283.05	202.66	154.42	111.99	199.85	34.75	41.52	139.07	57.49	503.95	50.27	47.17	41.22	189.02	67.12	48.52	31.22	226.54	62.56
INIP	142.01	511.0	684.02	547.75	236.21	175.07	139.07	98.73	128.79	144.01	264.03	134.3	341.51	389.72	189.02	309.83	432.53	412.0	229.72	262.2	201.25	224.97	420.68	273.37	156.59	201.25	356.05	161.02	155.5	255.0	177.53	293.07	145.02	137.14	189.02	167.9	170.25	187.71	141.02	209.84	154.42
JRKL	120.94	336.79	363.56	607.87	143.01	138.1	94.01	61.25	82.29	94.67	142.01	150.17	220.32	199.85	182.55	224.97	167.9	194.36	173.85	166.73	120.94	177.53	214.27	74.58	42.71	63.45	60.39	66.65	53.95	78.89	40.93	92.05	26.47	35.25	44.25	68.55	80.01	71.0	30.56	138.1	57.08
KDM2B	273.37	647.07	457.25	363.56	275.28	301.33	289.02	253.23	191.67	221.86	351.14	325.29	334.46	651.58	384.34	457.25	753.83	890.44	473.41	753.83	312.0	563.18	830.75	223.41	275.28	229.72	218.79	305.55	279.14	277.2	265.87	603.67	232.94	232.94	239.52	698.41	136.19	279.14	348.71	483.38	246.28
KNOP1	303.44	575.03	896.64	591.22	316.37	172.65	88.88	138.1	151.22	153.34	159.9	275.28	289.02	460.44	186.4	571.05	323.03	373.81	429.54	251.48	395.18	334.46	318.57	137.14	150.17	279.14	314.17	164.42	157.68	265.87	236.21	182.55	64.34	119.26	172.65	217.27	167.9	143.01	81.71	325.29	147.06
LRRC61	99.43	265.87	327.56	140.04	198.47	214.27	135.24	132.44	151.22	86.43	301.33	177.53	180.02	244.57	260.38	283.05	387.02	376.41	295.11	379.04	258.57	297.17	532.74	228.13	231.32	187.71	181.28	255.0	171.45	176.29	164.42	346.29	120.94	154.42	173.85	251.48	187.71	171.45	269.6	295.11	180.02
MAML2	31.9	497.0	493.56	796.86	97.36	96.68	148.09	90.77	134.3	93.35	132.44	148.09	148.09	281.09	232.94	223.41	299.25	460.44	214.27	356.05	178.77	237.86	277.2	171.45	149.12	208.38	109.66	132.44	55.1	163.28	85.22	135.24	69.03	75.64	118.43	183.82	78.34	121.79	90.14	156.59	53.57
MAP3K7	208.38	633.73	612.11	529.06	293.07	346.29	318.57	299.25	273.37	260.38	320.8	384.34	426.57	387.02	490.14	366.09	400.71	432.53	376.41	366.09	403.5	397.93	406.31	307.69	279.14	198.47	201.25	208.38	281.09	258.57	299.25	260.38	206.94	153.34	206.94	214.27	231.32	212.78	211.31	361.04	314.17
MAST3	41.52	215.77	194.36	153.34	159.9	85.22	111.99	88.26	120.94	117.6	145.02	130.6	132.44	457.25	75.11	199.85	353.59	728.11	242.88	307.69	114.36	165.57	441.64	206.94	57.08	137.14	155.5	119.26	85.82	171.45	226.54	339.14	108.14	112.77	97.36	93.35	161.02	146.03	107.38	164.42	84.63
MGA	84.63	316.37	409.15	414.87	140.04	148.09	112.77	133.36	104.42	109.66	190.34	171.45	165.57	271.48	253.23	228.13	217.27	392.44	246.28	267.73	194.36	277.2	271.48	126.12	151.22	161.02	92.05	163.28	143.01	145.02	115.97	237.86	114.36	90.77	79.45	164.42	211.31	178.77	155.5	195.72	139.07
MLEC	1561.89	1662.49	1991.0	1870.53	1769.57	954.43	674.59	620.67	819.3	723.08	1151.06	1397.83	1417.35	3515.68	1331.57	2032.85	2018.8	2796.65	2209.26	1745.2	1477.58	1628.26	2956.17	651.58	470.14	743.43	587.13	791.35	738.29	825.0	638.15	780.44	620.67	693.58	587.13	633.73	928.3	928.3	607.87	928.3	688.78
MORC3	205.5	567.1	738.29	748.61	297.17	403.5	460.44	450.94	246.28	265.87	403.5	450.94	521.76	543.96	480.04	480.04	450.94	684.02	521.76	486.75	406.31	438.59	559.28	743.43	381.68	303.44	397.93	412.0	389.72	438.59	384.34	536.45	264.03	303.44	320.8	429.54	376.41	384.34	341.51	563.18	297.17
MSL2	133.36	624.99	713.11	529.06	244.57	271.48	226.54	273.37	199.85	212.78	318.57	358.54	366.09	536.45	507.46	441.64	616.37	738.29	450.94	540.19	368.65	381.68	728.11	368.65	226.54	220.32	271.48	187.71	201.25	228.13	206.94	348.71	334.46	269.6	197.09	283.05	279.14	220.32	122.64	429.54	228.13
MYH11	479109.86	3564.78	4152.18	5403.7	373305.21	925580.18	839981.65	299043.36	137587.47	280957.98	286861.53	322736.12	400098.69	15824.9	425853.18	108699.57	34635.37	909.17	155870.75	147462.67	209994.66	211455.3	3589.58	527933.71	721179.07	513497.31	456418.21	606436.73	857631.47	462789.59	370726.6	561916.97	520665.48	290865.98	682276.92	577714.63	527933.71	428815.23	565825.41	381149.17	696613.03
NLRC5	121.79	1259.69	146.03	463.65	486.75	256.78	193.01	264.03	138.1	134.3	518.15	248.0	277.2	1605.83	511.0	902.89	1183.45	2758.13	723.08	1242.34	583.07	872.1	1950.0	231.32	450.94	107.38	100.83	183.82	202.66	211.31	103.69	559.28	236.21	220.32	98.04	149.12	170.25	414.87	126.12	343.89	171.45
P4HA1	435.55	476.71	802.41	547.75	341.51	327.56	363.56	283.05	195.72	194.36	525.39	450.94	444.72	476.71	305.55	460.44	518.15	480.04	480.04	486.75	281.09	529.06	547.75	323.03	123.5	157.68	202.66	220.32	126.12	170.25	161.02	260.38	151.22	163.28	153.34	121.79	166.73	198.47	132.44	248.0	146.03
PAPOLG	69.52	269.6	285.03	295.11	125.24	166.73	132.44	90.14	76.71	81.14	136.19	157.68	191.67	279.14	242.88	221.86	260.38	351.14	301.33	249.73	231.32	242.88	264.03	177.53	191.67	123.5	135.24	125.24	122.64	161.02	130.6	236.21	86.43	79.45	117.6	143.01	180.02	167.9	135.24	193.01	120.94
PCMTD2	171.45	1159.07	2240.11	2104.58	507.46	693.58	480.04	336.79	287.01	493.56	748.61	808.0	872.1	1225.22	764.36	830.75	1081.39	1322.37	974.5	1127.35	616.37	1167.14	995.0	688.78	403.5	356.05	463.65	454.09	381.68	579.04	480.04	988.12	285.03	185.11	269.6	780.44	426.57	532.74	397.93	796.86	283.05
