	TCGA.A8.A081.01A.11R.A00Z.07	TCGA.C8.A278.01A.11R.A169.07	TCGA.BH.A0DL.01A.11R.A115.07	TCGA.AR.A1AJ.01A.21R.A12P.07	TCGA.D8.A1JG.01B.11R.A13Q.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.XK.AAIV.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.V1.A9O5.01A.11R.A41O.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.ZG.A9L0.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.ZG.A8QW.01A.11R.A37L.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07
BUB1B	291.04	287.01	400.71	392.44	244.57	543.96	183.82	35.5	15.8	57.49	18.29	17.13	83.45	88.88	27.25	21.47	35.76	106.63	16.88	115.97	22.43	32.59	18.43	24.81	41.81	21.63	10.55	27.25	38.95	18.03	76.71	26.86	19.97	23.25	44.57	51.71	122.64	71.0	52.08	158.79	23.08	76.71	273.37	30.12	21.32	35.76	63.0	24.28	34.26	29.48	159.9	28.04	62.12	43.94	104.42	52.08	56.68	75.64	38.67	96.01	27.84	102.25	151.22	14.67	70.51	82.87	40.64	38.95	28.24	63.89	86.43	41.22	106.63	46.84	30.78	20.56	24.99	23.25	59.55	21.01	21.63	34.26	10.79	84.63	39.5	34.75	4.7	11.55	5.28	151.22	19.11
C17orf53	150.17	52.82	108.14	143.01	44.57	115.16	66.65	1.58	7.51	11.13	3.92	7.75	44.57	18.29	9.7	9.63	8.06	16.88	7.22	43.32	10.96	14.03	9.2	9.2	13.93	9.63	16.03	11.13	10.0	6.78	21.78	12.09	3.5	7.28	10.63	14.78	56.28	17.13	21.32	40.64	8.45	23.59	46.5	15.45	10.31	11.82	22.26	9.13	10.71	12.74	56.28	10.88	10.0	9.41	28.65	15.68	9.06	31.67	12.09	18.03	3.08	27.44	39.5	15.8	14.03	24.11	12.18	8.85	11.91	24.28	26.47	16.27	21.94	13.12	6.67	7.4	9.56	12.93	21.94	12.83	13.62	14.78	6.52	14.14	5.82	6.84	10.79	14.89	16.03	39.79	19.11
C1orf112	397.93	221.86	281.09	343.89	244.57	246.28	153.34	46.84	46.18	61.25	40.64	46.18	81.14	90.77	54.72	63.89	45.85	98.73	50.63	96.68	57.89	73.54	63.89	55.89	34.02	74.06	39.5	60.82	60.82	37.32	82.29	54.33	59.55	53.95	53.19	54.33	132.44	55.1	80.01	63.0	45.53	70.01	159.9	54.33	49.56	53.57	68.07	49.21	56.28	54.33	110.43	77.79	56.28	43.32	100.83	72.52	47.84	89.51	55.1	52.45	46.18	67.59	83.45	49.56	76.17	108.9	58.71	51.35	62.56	84.04	80.01	57.89	79.45	67.59	43.63	40.36	58.3	45.21	66.18	38.4	64.34	70.01	41.22	81.14	48.18	52.45	65.26	82.87	38.95	109.66	62.12
CASP8	642.59	791.35	708.18	780.44	1073.91	483.38	387.02	157.68	224.97	381.68	221.86	232.94	371.22	329.84	255.0	197.09	242.88	463.65	256.78	525.39	127.0	249.73	146.03	277.2	197.09	217.27	127.89	271.48	309.83	195.72	450.94	205.5	178.77	159.9	218.79	447.82	435.55	258.57	232.94	50.98	201.25	423.61	669.92	228.13	180.02	198.47	178.77	262.2	178.77	273.37	246.28	265.87	264.03	218.79	256.78	273.37	228.13	343.89	145.02	314.17	376.41	500.46	728.11	158.79	281.09	521.76	143.01	305.55	295.11	624.99	208.38	220.32	334.46	314.17	228.13	161.02	255.0	198.47	141.02	181.28	177.53	242.88	201.25	412.0	205.5	178.77	171.45	195.72	117.6	248.0	183.82
CCNA2	447.82	249.73	708.18	684.02	642.59	802.41	212.78	38.95	14.56	82.29	27.25	17.64	157.68	119.26	46.84	38.12	43.63	133.36	26.86	120.94	31.45	47.17	34.51	49.21	61.68	48.18	13.62	35.5	35.76	39.22	88.88	20.41	23.08	39.5	53.57	43.63	118.43	49.56	98.04	73.54	50.98	101.54	273.37	39.79	29.06	38.67	76.17	32.36	40.64	50.27	258.57	42.71	46.18	58.71	119.26	85.22	40.36	120.1	43.02	140.04	18.43	166.73	205.5	48.52	53.95	136.19	59.13	43.63	56.28	80.01	151.22	69.03	201.25	74.58	33.54	20.26	22.26	73.54	51.71	47.84	38.95	34.02	20.71	154.42	38.4	61.25	24.11	30.78	10.24	287.01	25.54
CD80	25.17	64.8	47.5	118.43	41.22	83.45	25.35	7.34	3.99	7.69	0.0	0.27	5.68	5.11	9.56	1.27	2.34	11.13	2.66	13.42	0.29	6.78	0.92	1.31	4.7	5.77	0.31	0.95	2.51	1.06	28.04	2.34	0.93	1.3	2.68	5.32	13.62	2.18	3.23	2.05	9.34	7.06	53.95	1.79	0.0	2.97	0.96	6.16	3.29	6.16	11.73	2.84	1.93	2.32	6.94	1.77	0.95	17.9	0.0	6.06	0.0	9.93	26.86	1.95	4.24	6.73	1.93	2.25	0.59	14.45	15.8	0.0	12.36	3.03	1.33	2.36	4.1	2.81	30.56	2.27	3.86	2.97	2.32	8.92	6.89	0.3	1.95	5.59	2.2	7.51	3.06
CDC45	460.44	366.09	262.2	339.14	251.48	303.44	180.02	20.71	14.14	57.49	27.44	12.18	169.07	58.71	26.47	20.56	23.42	85.82	9.78	107.38	25.72	17.25	25.91	32.82	34.51	23.25	7.28	63.89	23.93	26.67	87.65	15.8	10.31	11.64	28.04	45.53	145.02	7.06	49.91	237.86	32.59	43.63	173.85	25.35	22.1	18.56	67.12	27.05	28.65	33.3	246.28	29.7	29.7	43.02	126.12	57.89	28.45	94.01	31.67	87.65	12.18	142.01	95.34	27.44	29.06	211.31	68.55	39.22	20.41	29.06	49.21	50.98	102.97	53.95	22.43	13.52	36.27	29.91	41.81	15.34	16.27	36.27	30.56	41.52	148.09	37.85	8.45	19.82	3.38	223.41	15.0
CDC6	743.43	4937.99	412.0	314.17	579.04	353.59	221.86	30.34	30.34	45.85	35.25	18.29	108.14	54.72	51.71	39.79	34.02	85.22	27.25	82.29	69.03	38.67	82.29	33.78	32.36	23.76	29.91	47.5	94.01	36.01	98.73	22.59	33.78	37.05	35.0	57.08	103.69	36.27	37.05	124.37	39.22	64.8	205.5	34.75	101.54	34.26	89.51	32.59	26.86	35.25	229.72	50.63	55.1	81.71	161.02	81.14	43.63	70.01	46.5	71.5	20.26	125.24	159.9	27.64	44.25	167.9	88.88	40.36	16.63	73.54	111.99	66.65	89.51	87.65	67.12	37.59	37.59	20.41	43.94	35.25	37.32	40.36	24.46	63.89	67.59	47.84	28.65	35.5	9.85	214.27	27.05
CDCA5	872.1	591.22	555.41	540.19	518.15	651.58	218.79	42.11	19.25	58.3	26.86	26.28	167.9	108.14	51.71	33.54	47.17	153.34	35.76	209.84	44.57	35.25	35.25	38.95	74.06	41.22	24.28	47.84	40.93	38.67	71.0	23.76	24.63	30.12	59.97	92.7	206.94	33.3	127.0	246.28	53.19	71.5	406.31	33.06	46.5	33.78	81.14	51.71	43.32	32.59	251.48	66.18	44.89	54.72	153.34	147.06	61.25	125.24	47.5	121.79	16.63	144.01	224.97	52.82	49.91	273.37	67.59	47.17	55.89	64.34	130.6	57.08	134.3	83.45	42.11	34.02	46.5	53.57	67.59	47.84	37.59	54.72	25.17	157.68	51.71	53.19	15.22	28.04	18.16	193.01	23.08
CENPE	120.94	80.57	142.01	232.94	253.23	205.5	52.82	2.94	4.74	22.59	4.94	4.35	29.48	25.54	11.64	7.63	11.73	35.25	8.65	32.13	6.36	7.34	11.3	11.47	15.56	12.36	2.39	9.27	11.04	9.63	17.64	5.82	7.28	5.15	11.13	12.83	46.84	7.75	15.22	20.11	4.94	33.54	99.43	6.67	4.35	7.94	28.65	7.4	7.28	7.75	55.89	10.39	13.62	17.13	58.3	27.44	12.55	22.43	7.94	35.25	2.76	36.53	24.46	5.68	11.55	22.59	9.85	8.45	19.82	20.86	34.02	11.91	26.28	17.38	13.32	4.9	8.85	8.13	16.75	9.48	16.27	12.18	4.5	36.79	7.82	11.21	4.43	7.28	4.98	52.08	4.54
CENPF	967.76	733.19	1583.71	2271.4	674.59	1991.0	363.56	15.68	17.9	84.63	15.56	20.56	186.4	116.78	51.71	26.67	33.06	171.45	36.79	193.01	41.22	36.27	24.11	38.12	61.68	34.51	8.32	41.22	46.84	12.83	59.55	12.09	20.56	17.51	51.71	84.04	518.15	35.0	107.38	256.78	35.25	89.51	525.39	40.64	31.22	25.17	45.53	42.71	33.78	19.68	291.04	57.89	50.27	68.55	295.11	121.79	48.87	173.85	34.75	195.72	15.34	232.94	307.69	29.27	39.79	189.02	47.5	33.78	60.82	71.0	166.73	69.03	226.54	73.03	26.86	28.24	43.32	50.98	99.43	19.25	30.78	55.1	10.31	223.41	40.64	53.57	4.43	4.28	7.82	220.32	4.54
CENPI	154.42	89.51	183.82	193.01	201.25	217.27	58.71	4.03	2.32	21.32	2.73	2.27	26.47	28.86	4.78	9.34	6.31	32.82	5.92	25.17	8.19	3.96	6.67	6.36	5.96	4.94	2.18	5.54	3.47	4.06	10.96	3.38	2.32	2.71	7.34	13.93	62.56	2.94	14.24	20.41	3.53	24.28	101.54	2.56	5.19	6.16	14.03	10.16	3.59	4.31	82.87	6.01	9.27	10.71	42.71	16.03	8.13	20.41	4.98	23.25	2.29	35.25	37.05	4.58	11.91	31.67	3.29	6.11	8.19	16.63	24.81	7.94	25.35	13.03	7.4	3.06	7.34	1.77	9.85	4.54	8.19	11.3	2.68	37.32	5.32	6.26	2.29	4.7	2.58	35.25	4.31
CEP55	473.41	400.71	575.03	447.82	373.81	974.5	127.89	10.47	5.5	41.52	7.06	8.78	81.71	34.02	17.38	12.64	13.22	61.25	14.67	56.68	16.39	10.88	10.63	19.11	20.11	14.35	4.98	13.03	13.03	12.83	42.71	7.88	5.77	7.82	15.91	39.79	87.65	13.03	47.84	67.59	17.0	58.71	157.68	14.03	9.78	14.89	33.54	10.96	14.78	15.68	94.67	20.26	16.39	24.99	85.22	41.52	22.26	46.18	16.27	52.45	5.11	81.14	140.04	10.79	14.78	96.68	20.41	13.42	19.39	40.36	72.01	32.82	136.19	37.32	8.32	9.85	15.68	17.51	27.84	18.16	5.15	13.72	4.94	105.89	16.88	21.63	1.79	9.7	2.01	144.01	5.02
CEP85	239.52	214.27	493.56	470.14	316.37	435.55	133.36	84.04	64.8	84.63	84.63	59.55	171.45	140.04	78.89	52.45	80.01	124.37	73.54	98.73	84.04	107.38	76.71	55.89	69.52	75.64	55.1	70.01	140.04	44.57	152.28	69.52	85.22	76.71	98.04	81.14	149.12	59.13	98.04	101.54	64.34	134.3	165.57	70.51	64.34	70.01	107.38	47.17	72.01	76.17	214.27	66.65	125.24	95.34	139.07	108.14	67.59	129.69	94.67	94.67	49.56	128.79	212.78	70.51	132.44	131.51	68.55	98.73	112.77	139.07	120.94	65.26	114.36	108.9	89.51	58.3	69.52	70.01	106.63	62.12	84.63	68.07	58.3	97.36	106.63	120.1	88.88	54.72	49.21	158.79	78.34
CKAP2L	206.94	108.9	138.1	256.78	242.88	237.86	52.08	3.0	1.39	23.25	8.71	1.95	37.05	34.51	7.94	3.17	7.22	49.91	6.21	34.26	6.84	4.1	5.19	7.28	10.88	5.36	1.87	7.06	4.21	4.24	16.63	2.97	2.27	1.73	6.01	18.56	45.53	4.54	18.97	27.84	4.86	35.76	147.06	4.86	4.03	6.78	13.32	4.13	2.58	4.74	59.13	11.82	6.11	14.67	27.25	13.52	5.92	27.84	4.46	34.02	5.77	28.24	59.55	4.1	9.78	40.07	6.41	5.5	12.09	22.59	22.26	10.16	41.52	13.52	5.19	3.59	6.67	9.13	10.24	4.62	4.31	17.9	1.73	26.47	7.22	6.57	0.8	4.24	3.26	46.18	3.89
CLSPN	185.11	110.43	191.67	194.36	211.31	133.36	60.39	2.58	5.28	15.34	1.36	2.07	29.27	33.3	6.16	4.62	5.73	32.82	4.03	18.7	10.63	6.26	4.24	10.31	6.06	4.66	4.06	7.51	5.36	3.79	24.46	7.34	1.17	1.83	6.36	15.34	37.85	5.54	18.16	12.0	8.92	27.64	122.64	3.03	4.28	6.21	7.34	4.39	0.85	5.68	41.81	13.62	7.75	8.85	50.63	6.46	7.88	10.96	5.41	14.89	0.54	36.53	56.28	3.69	7.0	43.63	7.75	9.56	3.0	13.83	18.97	8.32	20.71	16.39	7.46	1.55	5.41	5.63	5.82	8.06	7.94	6.26	0.56	27.25	2.81	2.94	3.41	2.86	1.69	43.63	3.17
