	TCGA.A2.A1G0.01A.11R.A13Q.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.YFC4.1426.SM.5IFJG	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.QK.A8ZA.01A.11R.A39I.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.33.4587.01A.11R.2125.07
NFYC	1407.55	1259.69	1331.57	1359.57	1437.15	1437.15	1477.58	860.08	1250.98	1628.26	1119.56	743.43	934.76	1143.1	967.76	775.05	866.07	928.3	651.58	825.0	866.07	830.75	1073.91	909.17	866.07	961.07	1286.18	928.3	2956.17
POT1	575.03	361.04	466.88	543.96	547.75	447.82	264.03	114.36	387.02	392.44	536.45	112.77	143.01	204.07	199.85	138.1	232.94	463.65	161.02	150.17	92.7	209.84	138.1	90.77	74.06	232.94	205.5	120.1	547.75
RBM48	279.14	211.31	314.17	293.07	540.19	358.54	412.0	92.7	215.77	156.59	194.36	97.36	172.65	156.59	211.31	128.79	154.42	218.79	128.79	141.02	172.65	107.38	182.55	120.94	86.43	118.43	198.47	149.12	307.69
RSBN1L	423.61	305.55	397.93	525.39	454.09	503.95	366.09	150.17	260.38	190.34	256.78	102.25	148.09	101.54	94.67	93.35	178.77	176.29	84.04	93.35	105.89	66.18	145.02	90.14	102.25	107.38	260.38	112.77	295.11
SMIM10	97.36	98.73	202.66	138.1	135.24	137.14	96.01	5.45	226.54	29.06	66.18	20.11	16.27	11.64	19.11	10.31	38.67	7.17	2.07	12.74	7.69	33.78	30.34	6.46	13.52	11.64	92.7	19.11	113.56
SPDYE3	163.28	98.04	115.16	103.69	110.43	115.97	101.54	48.52	52.45	77.79	111.21	34.26	42.41	43.32	31.22	24.28	55.49	73.54	43.02	34.02	23.42	23.93	23.42	18.56	27.25	47.84	53.19	39.5	123.5
ST7	363.56	441.64	444.72	454.09	802.41	563.18	511.0	204.07	397.93	373.81	320.8	241.19	323.03	351.14	269.6	248.0	351.14	361.04	271.48	314.17	267.73	281.09	314.17	215.77	264.03	305.55	379.04	241.19	320.8
TAF1	518.15	406.31	599.49	718.08	583.07	791.35	693.58	195.72	295.11	275.28	312.0	152.28	253.23	161.02	190.34	147.06	267.73	329.84	99.43	159.9	140.04	85.22	285.03	206.94	117.6	169.07	325.29	119.26	476.71
TCEANC2	141.02	87.03	96.68	118.43	145.02	132.44	122.64	85.82	116.78	53.95	84.04	71.5	68.55	57.89	79.45	39.22	84.63	50.98	48.52	57.89	50.98	45.21	76.71	69.03	38.12	75.11	111.99	72.52	353.59
THAP6	417.77	299.25	400.71	406.31	444.72	444.72	423.61	152.28	169.07	105.89	137.14	73.54	140.04	127.0	124.37	52.45	120.1	191.67	104.42	80.01	97.36	78.34	122.64	76.17	45.21	112.77	199.85	107.38	229.72
TRIM4	669.92	575.03	825.0	915.51	1135.2	909.17	665.29	316.37	470.14	262.2	397.93	279.14	289.02	202.66	323.03	265.87	540.19	476.71	215.77	346.29	258.57	151.22	312.0	127.89	217.27	312.0	447.82	293.07	563.18
ZFP14	136.19	87.65	191.67	139.07	194.36	171.45	151.22	56.28	50.98	34.51	47.17	14.78	12.74	29.48	8.92	7.57	15.34	35.76	6.78	3.44	6.57	8.25	20.26	7.06	13.52	10.55	48.87	15.22	92.7
ZFP30	237.86	87.65	195.72	166.73	190.34	217.27	256.78	38.67	69.52	50.27	53.57	36.79	42.11	55.49	46.5	3.56	43.02	74.06	1.22	23.42	32.59	13.42	52.82	21.01	20.41	6.21	80.57	22.43	180.02
ZFR	1111.82	1088.92	1250.98	1540.37	1781.89	1551.09	1151.06	555.41	836.53	872.1	1088.92	403.5	543.96	503.95	511.0	279.14	723.08	854.13	387.02	500.46	480.04	325.29	802.41	460.44	327.56	514.56	743.43	497.0	1331.57
ZKSCAN5	186.4	152.28	159.9	194.36	232.94	283.05	223.41	55.49	115.16	107.38	140.04	60.39	81.71	82.29	76.71	44.89	114.36	132.44	78.34	65.72	57.49	59.55	90.14	45.85	49.91	85.82	113.56	64.34	208.38
ZNF10	189.02	214.27	281.09	343.89	426.57	387.02	366.09	33.54	173.85	113.56	162.14	14.35	68.55	72.52	46.84	24.81	10.88	108.9	27.84	23.08	62.56	86.43	54.72	35.0	21.01	22.75	62.56	26.86	239.52
ZNF107	476.71	246.28	223.41	316.37	242.88	312.0	318.57	287.01	105.89	129.69	115.16	55.49	58.71	49.56	50.98	78.89	92.05	172.65	29.7	71.0	47.5	31.67	79.45	56.68	85.22	39.5	68.07	50.27	299.25
ZNF112	100.13	94.67	145.02	112.77	146.03	155.5	152.28	22.92	44.89	36.01	68.07	17.25	30.34	30.12	24.46	17.51	31.9	65.26	28.86	11.04	20.86	14.24	58.3	14.89	15.11	30.34	37.05	18.56	98.04
ZNF140	403.5	536.45	638.15	599.49	1023.0	909.17	866.07	239.52	305.55	236.21	244.57	73.54	195.72	239.52	234.57	137.14	60.39	423.61	183.82	181.28	165.57	183.82	217.27	173.85	121.79	138.1	239.52	126.12	563.18
ZNF155	148.09	117.6	181.28	197.09	379.04	309.83	146.03	38.12	71.0	76.17	111.21	17.13	56.68	52.08	48.52	35.25	69.52	104.42	63.0	30.78	34.26	27.84	122.64	35.25	46.5	45.21	82.29	38.95	176.29
ZNF160	603.67	454.09	529.06	591.22	476.71	567.1	638.15	78.34	217.27	297.17	86.43	103.69	110.43	209.84	147.06	21.01	189.02	334.46	46.84	24.81	127.89	124.37	205.5	132.44	16.88	27.25	129.69	55.49	507.46
ZNF175	143.01	121.79	214.27	258.57	212.78	269.6	429.54	7.69	64.34	57.08	26.67	28.65	33.3	4.78	44.25	14.67	49.21	49.21	63.45	23.08	38.67	27.05	94.67	27.05	23.76	52.82	88.26	29.48	64.34
ZNF177	98.04	42.41	74.58	78.89	163.28	71.5	178.77	2.18	34.02	14.35	19.39	2.27	0.0	3.5	8.71	0.0	12.27	17.0	0.0	0.0	6.73	0.0	6.94	3.96	2.39	2.23	18.29	11.38	27.84
ZNF181	353.59	295.11	457.25	409.15	620.67	612.11	403.5	56.68	122.64	91.41	167.9	36.01	105.89	95.34	49.91	31.67	122.64	90.77	51.35	43.63	53.57	38.67	127.89	35.5	30.12	57.89	146.03	38.95	150.17
ZNF189	353.59	457.25	423.61	540.19	733.19	551.56	624.99	127.0	218.79	82.29	183.82	80.01	87.65	107.38	162.14	74.58	114.36	108.14	112.77	67.59	92.05	66.65	189.02	82.29	82.29	113.56	170.25	64.8	271.48
ZNF222	158.79	71.5	88.88	123.5	204.07	167.9	138.1	18.56	67.59	36.53	70.01	15.0	26.67	28.65	24.11	12.18	38.67	66.18	52.82	19.53	20.26	44.57	105.15	16.15	17.9	25.91	51.71	22.1	147.06
ZNF223	142.01	128.79	172.65	176.29	301.33	348.71	180.02	35.0	94.01	53.95	94.01	20.86	49.21	50.27	27.84	39.5	26.28	98.73	50.98	3.96	19.11	25.54	95.34	20.56	28.45	33.78	57.89	18.03	208.38
ZNF224	412.0	379.04	470.14	525.39	460.44	587.13	802.41	61.68	223.41	241.19	287.01	55.49	149.12	101.54	78.34	178.77	124.37	175.07	75.11	91.41	120.94	80.57	299.25	81.14	62.56	115.16	138.1	42.41	387.02
ZNF225	115.16	69.03	117.6	123.5	215.77	189.02	226.54	23.25	45.21	30.34	56.68	11.47	29.91	23.76	22.26	12.27	40.64	60.82	23.08	23.25	30.78	16.75	60.82	17.9	13.52	18.7	44.57	21.94	96.01
ZNF227	432.53	353.59	441.64	514.56	507.46	547.75	620.67	117.6	176.29	166.73	256.78	63.0	105.15	106.63	96.01	45.85	143.01	248.0	102.25	62.56	81.71	92.7	194.36	67.59	57.49	98.73	166.73	65.72	438.59
ZNF230	96.01	56.28	100.83	87.03	140.04	96.01	166.73	64.8	47.17	39.79	47.84	11.55	21.32	19.25	23.08	13.32	34.02	72.01	24.11	23.25	18.16	17.9	71.5	21.01	13.12	31.67	45.53	11.91	104.42
ZNF234	165.57	140.04	163.28	173.85	218.79	281.09	336.79	26.47	33.54	60.82	82.29	25.91	40.93	81.71	44.57	32.82	40.93	81.71	49.91	24.81	48.87	31.45	98.73	37.32	23.76	47.5	42.11	26.67	126.12
ZNF235	129.69	88.26	115.97	152.28	116.78	83.45	195.72	37.85	41.52	35.5	88.26	22.75	49.91	48.18	27.05	24.28	58.71	64.34	37.59	26.86	25.17	37.59	62.56	36.53	24.81	30.56	39.79	22.26	114.36
ZNF248	157.68	221.86	285.03	267.73	389.72	327.56	384.34	66.65	120.1	76.17	135.24	32.36	59.97	67.12	61.25	41.22	53.19	68.55	28.04	21.94	59.55	35.5	80.01	37.59	44.57	59.55	84.63	33.06	267.73
ZNF260	269.6	193.01	299.25	249.73	368.65	343.89	397.93	120.94	112.77	83.45	149.12	55.89	62.12	70.01	59.97	55.89	88.26	104.42	58.3	27.84	50.27	60.39	131.51	48.87	46.84	44.57	81.14	33.78	351.14
ZNF28	532.74	223.41	275.28	293.07	258.57	529.06	295.11	180.02	157.68	246.28	113.56	89.51	150.17	229.72	152.28	29.91	248.0	260.38	41.22	81.14	112.77	122.64	232.94	101.54	60.82	9.85	100.83	142.01	400.71
ZNF284	68.07	41.52	47.84	49.91	70.01	49.21	85.22	13.72	20.41	16.39	24.63	10.63	11.3	9.41	9.85	10.55	15.11	33.78	27.64	7.17	10.88	14.03	29.91	10.71	6.57	12.18	17.38	4.82	43.02
ZNF3	796.86	665.29	775.05	669.92	660.68	743.43	791.35	473.41	373.81	389.72	473.41	136.19	299.25	209.84	260.38	185.11	325.29	435.55	221.86	226.54	170.25	208.38	301.33	133.36	126.12	267.73	366.09	172.65	1259.69
ZNF329	426.57	217.27	239.52	366.09	432.53	743.43	591.22	61.68	106.63	75.11	82.29	38.67	26.1	57.08	57.89	7.82	44.25	74.58	2.58	33.3	39.79	55.1	104.42	45.53	58.71	32.36	102.25	36.79	189.02
ZNF345	102.97	111.21	186.4	166.73	217.27	205.5	181.28	28.65	74.58	42.41	52.45	13.83	38.4	24.46	30.34	18.16	31.45	38.12	2.1	5.96	42.71	20.41	42.11	24.81	9.41	5.87	42.41	20.56	170.25
ZNF347	169.07	111.99	187.71	191.67	193.01	121.79	269.6	9.85	73.54	41.81	13.03	5.15	5.5	3.03	55.89	9.41	19.39	77.79	1.97	2.51	7.75	5.96	40.07	10.88	7.94	10.79	35.25	10.0	148.09
ZNF350	171.45	444.72	361.04	395.18	373.81	493.56	348.71	44.89	70.01	171.45	85.82	28.86	39.79	12.83	6.26	19.39	77.79	63.45	6.84	14.14	49.56	55.49	73.03	32.36	35.25	25.35	108.9	22.92	334.46
ZNF420	353.59	224.97	351.14	295.11	435.55	346.29	258.57	44.25	85.22	58.3	44.57	46.84	34.75	19.68	38.95	10.79	32.13	52.45	5.5	10.47	18.7	10.31	79.45	18.43	29.27	12.83	89.51	36.79	205.5
ZNF43	295.11	226.54	320.8	332.14	493.56	656.11	536.45	18.43	165.57	61.68	15.56	4.62	12.18	7.22	12.18	5.54	26.28	38.95	1.25	5.19	3.99	8.45	31.0	7.28	4.86	10.71	66.65	12.74	249.73
ZNF461	140.04	104.42	185.11	150.17	169.07	202.66	178.77	11.13	51.35	67.12	67.59	22.92	29.48	34.51	44.89	12.18	26.28	82.29	22.43	6.94	18.97	28.65	46.18	27.05	8.45	3.69	51.35	18.43	132.44
ZNF468	283.05	220.32	241.19	198.47	325.29	234.57	373.81	148.09	205.5	132.44	84.63	100.13	84.04	118.43	208.38	11.21	199.85	271.48	19.39	59.97	77.79	51.71	148.09	85.82	43.32	12.18	126.12	67.12	232.94
ZNF493	204.07	212.78	295.11	339.14	423.61	361.04	329.84	54.33	144.01	69.52	20.41	11.55	45.53	10.63	27.84	7.82	42.71	19.68	4.9	7.75	47.84	10.31	47.5	9.06	7.17	8.32	57.08	23.25	122.64
ZNF525	406.31	170.25	260.38	242.88	265.87	239.52	262.2	169.07	159.9	108.14	148.09	34.02	32.13	173.85	65.72	6.89	145.02	159.9	4.28	2.2	60.82	6.26	155.5	66.65	8.38	12.55	55.89	15.22	379.04
ZNF567	176.29	159.9	139.07	165.57	194.36	231.32	244.57	81.14	126.12	101.54	144.01	28.24	38.95	66.65	46.18	18.7	22.26	102.97	23.59	38.95	51.35	38.12	100.83	33.3	29.27	25.54	60.39	30.56	178.77
ZNF569	119.26	82.87	118.43	111.21	127.0	191.67	131.51	1.28	53.95	29.91	36.27	14.14	9.85	3.5	17.77	2.92	12.0	40.64	1.13	3.99	13.32	5.19	13.83	11.91	11.64	4.5	36.53	4.98	85.82
ZNF570	126.12	96.01	115.16	138.1	177.53	221.86	198.47	18.97	35.25	23.59	28.65	12.0	18.56	4.62	17.51	3.38	23.59	58.3	1.79	3.17	5.73	4.82	24.28	22.59	13.12	4.13	38.95	11.38	114.36
ZNF577	236.21	532.74	346.29	759.08	723.08	620.67	1081.39	83.45	85.82	226.54	102.25	25.54	63.45	17.0	54.33	57.49	50.63	58.71	5.82	3.96	43.94	80.01	80.57	11.04	54.72	27.64	103.69	64.8	151.22
ZNF605	133.36	121.79	193.01	208.38	211.31	246.28	293.07	35.25	120.94	105.89	126.12	27.64	57.08	59.97	38.4	28.45	14.35	154.42	19.68	13.62	37.85	22.1	73.03	32.36	23.42	23.76	58.71	18.84	193.01
ZNF606	289.02	281.09	242.88	285.03	397.93	327.56	258.57	26.67	141.02	115.16	64.8	9.93	11.64	39.79	49.56	8.78	32.36	103.69	5.23	6.78	6.36	55.49	40.36	3.86	36.01	12.74	49.91	10.31	361.04
ZNF607	155.5	77.79	175.07	118.43	231.32	199.85	251.48	55.49	78.34	78.89	60.82	57.08	45.85	2.53	29.91	1.64	38.12	55.49	0.53	28.04	55.89	11.55	49.91	31.9	24.46	2.84	74.58	37.85	104.42
ZNF611	198.47	132.44	146.03	171.45	165.57	150.17	157.68	170.25	105.15	83.45	76.17	63.89	130.6	70.51	84.04	14.45	76.71	142.01	41.52	37.59	46.84	38.95	105.15	63.45	27.84	44.57	81.71	33.06	241.19
ZNF613	83.45	198.47	176.29	148.09	201.25	299.25	320.8	26.86	70.01	67.59	44.89	32.82	29.48	6.67	23.08	41.52	42.41	75.11	4.21	3.29	33.78	39.5	36.01	33.3	35.25	66.65	71.5	41.81	89.51
ZNF614	72.52	108.14	198.47	136.19	289.02	145.02	138.1	3.76	8.65	53.95	68.07	17.38	5.96	6.89	33.54	30.78	29.91	61.25	3.79	5.32	47.17	38.67	42.11	26.47	31.67	52.82	72.01	26.67	101.54
ZNF615	145.02	163.28	309.83	297.17	543.96	384.34	351.14	16.51	14.56	71.0	42.41	20.11	37.32	49.21	22.59	28.04	44.89	72.52	13.93	6.06	30.78	20.71	35.25	22.75	37.85	33.78	99.43	21.47	143.01
ZNF616	172.65	178.77	228.13	262.2	325.29	307.69	277.2	46.5	101.54	60.39	84.04	50.27	73.03	76.71	42.41	31.9	103.69	135.24	37.32	58.71	48.87	46.5	84.63	56.68	44.25	59.55	101.54	47.17	185.11
ZNF641	218.79	297.17	327.56	251.48	295.11	423.61	381.68	61.68	129.69	126.12	172.65	46.18	75.11	88.88	111.21	43.63	117.6	146.03	49.91	61.25	76.17	53.19	175.07	78.34	56.28	80.57	169.07	43.32	186.4
ZNF649	175.07	381.68	387.02	373.81	473.41	414.87	381.68	50.98	74.06	88.88	63.45	38.4	43.02	5.15	40.93	25.17	63.45	56.28	6.16	8.45	47.17	40.07	68.07	20.71	47.84	22.75	100.83	63.89	154.42
ZNF678	100.83	75.11	115.16	122.64	120.1	171.45	307.69	28.24	85.22	25.54	59.97	15.91	21.16	18.43	12.45	6.46	35.25	94.01	12.55	13.32	18.03	17.13	33.78	11.82	8.85	15.34	51.71	14.67	129.69
ZNF680	591.22	417.77	332.14	603.67	521.76	915.51	669.92	145.02	215.77	111.21	139.07	25.17	69.52	25.35	46.84	31.45	42.11	206.94	37.85	52.45	44.89	38.4	90.77	51.71	24.99	30.34	108.9	32.13	309.83
ZNF736	236.21	185.11	249.73	209.84	242.88	242.88	325.29	47.5	133.36	55.89	50.27	7.22	36.53	8.0	45.21	8.19	24.11	130.6	2.2	5.73	9.41	6.52	31.22	2.07	13.03	3.69	45.85	5.82	323.03
ZNF738	138.1	111.21	135.24	182.55	312.0	226.54	358.54	356.05	265.87	144.01	46.84	33.54	62.12	12.64	47.84	7.0	29.27	90.14	15.22	15.68	56.68	30.12	70.01	40.64	24.11	39.22	72.52	35.76	332.14
ZNF766	384.34	305.55	392.44	376.41	540.19	500.46	314.17	152.28	177.53	173.85	237.86	80.01	113.56	140.04	95.34	61.68	163.28	191.67	139.07	132.44	94.67	107.38	206.94	108.9	102.97	113.56	169.07	86.43	493.56
ZNF785	208.38	190.34	249.73	283.05	232.94	289.02	384.34	72.01	110.43	96.01	149.12	37.59	68.55	73.54	74.58	23.59	48.87	113.56	66.65	40.36	67.12	47.17	116.78	40.36	29.27	62.56	88.88	63.0	218.79
ZNF793	178.77	96.01	130.6	177.53	212.78	199.85	258.57	43.02	90.77	33.54	55.1	19.82	2.81	1.39	45.21	1.17	4.62	63.45	0.0	2.01	1.89	2.48	16.15	35.25	5.32	2.89	27.64	6.73	181.28
ZNF808	176.29	114.36	126.12	189.02	209.84	271.48	255.0	40.93	78.89	71.5	68.55	29.7	25.72	62.12	37.59	4.21	72.01	94.67	0.93	8.85	18.84	29.48	46.5	3.5	11.13	12.09	65.72	6.36	145.02
ZNF813	173.85	54.33	86.43	85.22	111.21	134.3	44.57	8.51	22.92	25.17	18.84	6.16	5.5	2.03	1.28	1.07	8.92	18.7	0.8	1.45	1.75	1.6	12.27	5.77	1.14	3.06	31.67	3.72	84.04
ZNF816	251.48	169.07	287.01	239.52	191.67	417.77	366.09	281.09	134.3	78.89	49.91	63.89	48.52	102.97	63.89	15.91	159.9	137.14	9.34	20.56	22.43	42.71	113.56	57.49	42.41	14.89	157.68	42.41	183.82
ZNF83	1304.15	1008.9	1250.98	1242.34	1250.98	1359.57	1923.14	356.05	866.07	947.83	583.07	264.03	497.0	325.29	293.07	49.56	341.51	363.56	12.36	15.0	470.14	246.28	199.85	177.53	25.35	31.67	136.19	269.6	947.83
ZNF836	246.28	218.79	351.14	301.33	348.71	255.0	426.57	214.27	131.51	148.09	155.5	95.34	117.6	153.34	87.03	113.56	91.41	135.24	70.51	108.14	103.69	63.0	158.79	116.78	122.64	88.88	150.17	103.69	339.14
ZNF84	521.76	414.87	571.05	647.07	830.75	718.08	830.75	152.28	316.37	332.14	307.69	60.39	145.02	187.71	144.01	68.07	81.71	341.51	62.56	64.34	110.43	152.28	180.02	97.36	79.45	70.51	201.25	45.21	1023.0
ZSCAN21	271.48	224.97	323.03	329.84	381.68	358.54	466.88	82.29	145.02	190.34	198.47	76.71	81.71	133.36	72.01	38.12	132.44	223.41	99.43	108.14	76.71	90.77	132.44	44.25	55.89	137.14	116.78	68.07	301.33
