	TCGA.4Z.AA7N.01A.11R.A39I.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CV.7410.01A.21R.2081.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BB.7864.01A.11R.2232.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CN.A6V3.01A.12R.A34R.07	TCGA.44.3919.01A.02R.1107.07	TCGA.85.8353.01A.21R.2296.07	TCGA.22.4596.01A.01R.1201.07	TCGA.85.A4PA.01A.11R.A24Z.07	GTEX.13QJC.0826.SM.5RQKC
CCR6	339.14	764.36	483.38	111.21	198.47	1.35	0.96	3.11	20.11	0.68	16.63	81.14	24.99	215.77	253.23	35.0
CCR7	2193.99	2351.53	3372.43	33.54	836.53	9.13	8.13	4.17	57.49	3.47	48.52	258.57	92.7	435.55	2090.03	275.28
CCR8	111.21	75.11	170.25	0.0	56.68	1.58	6.36	2.86	23.93	0.0	11.73	22.75	27.05	80.57	44.89	15.56
CD180	301.33	961.07	860.08	90.77	438.59	5.45	14.56	1.31	50.63	0.51	22.75	144.01	142.01	202.66	723.08	121.79
CD247	796.86	1259.69	1628.26	314.17	587.13	14.14	17.13	25.35	87.03	4.35	94.01	264.03	185.11	412.0	1417.35	1437.15
CD27	1111.82	2835.7	3901.01	45.21	1313.23	20.26	59.97	6.46	363.56	1.39	244.57	583.07	651.58	559.28	2720.15	3124.78
CD28	500.46	441.64	559.28	76.71	323.03	1.87	3.96	2.92	19.53	0.0	15.56	78.34	65.26	171.45	426.57	205.5
CD37	9740.98	15285.81	20170.07	591.22	5112.16	61.25	48.18	133.36	414.87	17.25	297.17	1617.0	802.41	2287.2	13399.51	6840.04
CD3D	1923.14	2758.13	5995.9	314.17	1662.49	45.21	37.85	25.91	137.14	19.82	329.84	738.29	395.18	909.17	3303.0	2400.97
CD3E	2555.58	4543.8	8778.97	638.15	2335.28	19.82	46.84	28.45	269.6	18.7	343.89	866.07	476.71	1119.56	4512.4	7081.29
CD3G	366.09	1159.07	1008.9	318.57	450.94	2.78	8.06	2.81	40.64	1.31	57.49	198.47	97.36	187.71	387.02	476.71
CD4	1674.06	2032.85	3190.46	733.19	1551.09	52.45	34.26	476.71	269.6	7.57	241.19	1832.01	928.3	2739.08	2090.03	819.3
CD48	3467.27	5441.3	9344.14	884.29	2997.45	20.86	17.38	9.56	231.32	5.11	204.07	1111.82	460.44	1286.18	5147.73	2400.97
CD5	738.29	1008.9	1073.91	41.52	595.34	11.38	6.01	4.46	57.89	0.44	43.32	195.72	109.66	220.32	703.28	409.15
CD52	16727.26	24490.61	50011.46	1457.23	13033.07	420.68	167.9	132.44	713.11	51.35	633.73	3874.05	1487.87	5183.54	28328.16	10154.69
CD53	4152.18	7749.1	9808.75	529.06	4298.64	109.66	111.21	59.97	559.28	24.46	559.28	2351.53	1313.23	3665.02	9673.69	10084.54
CD6	813.63	1242.34	1143.1	117.6	551.56	9.78	6.78	5.59	57.49	26.28	57.08	287.01	170.25	305.55	1447.15	830.75
CD7	1519.15	1044.52	1457.23	21.78	1250.98	44.89	40.36	45.85	159.9	12.45	379.04	327.56	334.46	836.53	3190.46	1268.46
CD72	836.53	1167.14	1977.24	36.79	642.59	11.82	13.83	3.92	39.22	0.99	18.56	226.54	127.0	279.14	3768.09	351.14
CD79B	3372.43	5517.27	8363.13	223.41	3614.55	15.68	23.93	4.82	132.44	2.86	89.51	295.11	264.03	497.0	8247.98	995.0
CD96	808.0	819.3	1119.56	137.14	361.04	12.18	20.56	17.9	57.08	15.56	124.37	205.5	123.5	279.14	412.0	860.08
CEACAM21	135.24	314.17	412.0	32.59	197.09	0.0	41.22	3.86	25.54	2.16	26.86	61.25	53.19	129.69	271.48	228.13
CFP	361.04	236.21	1135.2	47.17	334.46	3.23	4.54	5.63	51.35	6.01	24.28	76.71	69.52	279.14	1135.2	149.12
CLNK	19.25	40.64	59.13	0.68	19.39	0.49	1.51	0.51	6.26	0.0	3.76	10.55	7.11	10.31	31.9	30.56
CORO1A	8778.97	12853.63	15499.21	366.09	9740.98	198.47	169.07	287.01	555.41	171.45	738.29	2609.3	1388.16	3614.55	24321.43	5292.48
CR1L	12.45	34.51	47.17	8.06	24.11	4.66	0.0	0.78	6.16	2.32	1.43	17.51	9.63	34.02	58.3	12.74
CST7	836.53	1950.0	2855.44	103.69	460.44	37.85	25.54	32.13	187.71	5.96	150.17	429.54	420.68	1199.98	842.36	1286.18
CXCL13	4639.29	8598.28	11035.54	31.0	3303.0	37.05	36.53	5.41	1119.56	36.53	1369.04	872.1	514.56	1857.6	5791.62	32767.0
CXorf21	92.7	244.57	260.38	70.01	83.45	4.03	3.69	2.61	15.11	0.4	15.68	100.13	38.4	158.79	152.28	85.22
DBH	18.16	40.07	23.93	2.76	8.78	0.42	0.39	0.78	1.87	0.0	2.46	11.38	6.94	7.0	52.08	49.56
DOCK10	514.56	1037.29	1295.13	307.69	563.18	26.1	11.82	11.82	111.99	145.02	82.29	234.57	199.85	397.93	775.05	346.29
DOCK2	961.07	1551.09	1594.73	234.57	813.63	24.63	24.11	10.47	122.64	7.34	102.97	358.54	269.6	483.38	1819.35	738.29
DOCK8	808.0	1519.15	1639.59	299.25	748.61	13.72	27.84	32.13	83.45	6.06	105.89	587.13	253.23	339.14	1073.91	872.1
DOK2	607.87	698.41	808.0	38.67	511.0	24.46	15.68	59.97	88.88	4.9	127.0	368.65	214.27	713.11	780.44	275.28
EBI3	197.09	423.61	483.38	21.16	303.44	4.21	4.82	2.84	36.53	23.76	31.45	154.42	80.01	320.8	808.0	108.14
EVI2A	713.11	791.35	2255.7	84.63	587.13	25.17	25.35	8.78	104.42	3.23	94.67	432.53	249.73	878.17	921.88	934.76
EVI2B	1233.75	2915.45	4704.07	341.51	1388.16	27.44	42.11	11.47	195.72	9.34	159.9	688.78	476.71	1073.91	2163.77	3235.01
FAM65B	1051.79	1909.85	2178.83	56.28	616.37	5.06	2.94	2.84	46.18	2.92	43.02	193.01	98.73	309.83	1745.2	947.83
FAM78A	231.32	738.29	579.04	33.3	253.23	18.29	13.62	4.21	60.39	9.93	42.71	146.03	90.14	186.4	703.28	332.14
FCRL3	260.38	669.92	988.12	20.71	147.06	0.87	1.5	0.49	8.99	0.0	9.56	45.53	35.0	63.0	954.43	642.59
FERMT3	1561.89	2303.12	3190.46	127.89	1844.76	58.71	53.95	43.94	234.57	30.34	237.86	878.17	679.29	1427.22	5594.3	1191.69
FGD3	638.15	1073.91	1208.34	38.67	441.64	8.92	46.5	13.42	76.71	9.13	155.5	180.02	136.19	234.57	1175.27	791.35
FLT3	55.49	100.13	147.06	2.56	33.3	0.0	1.77	1.2	14.67	0.0	6.36	20.86	8.92	31.67	98.73	36.01
FMNL1	1806.78	2537.92	3060.45	209.84	1519.15	59.13	43.63	53.95	229.72	51.71	389.72	1008.9	713.11	1143.1	3955.48	1427.22
FOXP3	336.79	299.25	713.11	3.03	361.04	16.75	21.01	9.7	75.64	1.89	56.28	140.04	108.14	283.05	507.46	94.67
GAPT	234.57	1081.39	1119.56	135.24	279.14	0.44	0.42	1.91	22.26	0.41	14.56	84.63	34.02	171.45	432.53	148.09
GMFG	3168.41	4388.98	8022.41	1066.48	3081.75	209.84	180.02	89.51	529.06	77.79	460.44	1583.71	848.22	2537.92	6164.49	2075.59
GMIP	884.29	1127.35	884.29	57.08	679.29	124.37	117.6	318.57	303.44	92.7	236.21	483.38	346.29	665.29	1583.71	514.56
GPR114	132.44	232.94	253.23	10.47	144.01	0.49	3.5	0.0	39.22	18.43	81.14	71.0	59.13	103.69	507.46	189.02
GPR171	226.54	305.55	928.3	48.18	262.2	2.1	1.93	12.55	10.71	2.53	91.41	54.33	62.12	146.03	476.71	616.37
GPR174	102.97	376.41	460.44	37.85	108.14	1.99	1.51	0.0	12.64	0.0	10.63	56.68	37.32	75.11	226.54	249.73
GPR18	309.83	674.59	647.07	65.26	209.84	2.63	1.77	1.2	8.71	2.07	3.56	62.56	17.13	74.06	559.28	73.03
GPR55	17.9	48.18	77.79	2.32	33.3	1.08	2.89	1.1	15.68	0.36	8.85	12.09	8.06	15.0	54.33	23.76
GPSM3	2609.3	3874.05	4836.35	147.06	2163.77	137.14	67.12	50.63	281.09	49.56	341.51	1151.06	660.68	1605.83	4736.79	1651.0
GRAP2	181.28	511.0	486.75	68.07	212.78	10.47	5.63	2.81	25.72	7.22	42.41	117.6	125.24	123.5	447.82	229.72
GZMM	277.2	642.59	1151.06	37.85	262.2	2.43	2.56	0.74	26.47	1.91	34.75	99.43	76.17	165.57	473.41	323.03
HCLS1	3018.3	5403.7	5711.87	395.18	2875.3	490.14	62.56	48.52	486.75	27.64	412.0	1437.15	1001.93	1909.85	7642.41	3901.01
HMHA1	2485.67	3146.52	3589.58	85.82	1662.49	212.78	121.79	156.59	409.15	460.44	476.71	941.27	693.58	1331.57	5791.62	2573.36
HSH2D	738.29	1023.0	1167.14	25.72	486.75	18.29	23.93	17.64	67.12	5.5	215.77	483.38	253.23	356.05	2119.22	559.28
ICAM2	1340.84	1896.65	2609.3	591.22	981.29	99.43	81.71	136.19	339.14	40.93	106.63	842.36	500.46	872.1	2004.85	633.73
ICAM3	1923.14	2875.3	2935.74	149.12	1331.57	389.72	185.11	115.16	486.75	137.14	381.68	872.1	656.11	1088.92	3257.52	967.76
ICOS	297.17	228.13	397.93	44.25	127.89	3.35	7.28	2.36	12.27	0.64	24.63	72.01	29.7	146.03	267.73	373.81
IKZF1	599.49	1388.16	1883.54	195.72	698.41	8.19	10.63	3.35	77.79	3.03	67.59	241.19	156.59	316.37	1259.69	1199.98
IKZF3	191.67	830.75	327.56	37.59	201.25	1.57	3.08	1.57	40.07	0.0	25.54	68.55	78.89	73.54	253.23	429.54
IL16	1757.34	3349.13	4123.49	102.25	1508.65	118.43	32.13	10.96	214.27	14.35	92.05	511.0	392.44	603.67	2816.11	1030.12
IL21	12.64	43.63	70.01	0.0	11.04	0.0	0.0	0.0	1.01	0.0	1.89	6.11	5.02	9.93	27.84	27.05
IL21R	387.02	536.45	518.15	5.19	295.11	4.78	4.7	4.82	24.28	2.53	29.06	176.29	123.5	423.61	995.0	132.44
IL2RA	260.38	237.86	503.95	56.28	336.79	12.36	15.91	24.11	58.3	1.23	73.54	201.25	137.14	376.41	483.38	100.83
IL2RB	603.67	1111.82	1073.91	121.79	511.0	16.51	18.7	16.63	92.7	21.01	90.77	307.69	253.23	450.94	738.29	532.74
IL2RG	3235.01	5183.54	10440.2	376.41	3325.99	102.97	94.01	473.41	387.02	29.06	703.28	1605.83	769.69	2178.83	5219.6	4450.27
IL3RA	237.86	260.38	444.72	104.42	153.34	24.81	27.25	14.14	71.5	6.21	36.01	67.59	68.55	170.25	281.09	73.03
INPP5D	2255.7	3742.05	2739.08	483.38	1605.83	26.1	194.36	15.8	334.46	21.47	163.28	647.07	473.41	830.75	4268.94	1745.2
IPCEF1	96.01	193.01	277.2	83.45	79.45	3.79	7.82	0.74	12.93	0.67	20.71	65.72	29.7	142.01	136.19	1066.48
IRF8	1781.89	2591.27	2303.12	133.36	890.44	13.72	19.11	8.0	94.67	3.92	68.07	457.25	256.78	620.67	3257.52	896.64
ITGAL	1104.13	2193.99	2701.35	460.44	934.76	6.67	15.34	5.96	128.79	3.0	94.01	435.55	318.57	429.54	2739.08	808.0
ITK	518.15	532.74	1159.07	96.68	267.73	2.03	4.62	2.05	32.82	1.53	41.22	104.42	97.36	201.25	660.68	819.3
JAK3	775.05	934.76	1583.71	102.97	543.96	46.5	26.86	28.86	115.16	15.34	67.12	305.55	305.55	463.65	2997.45	341.51
KCNJ10	40.93	48.52	111.21	0.0	46.5	0.54	0.51	0.0	0.93	0.0	0.89	43.63	15.45	8.45	84.63	8.32
KIAA0226L	1073.91	633.73	698.41	173.85	334.46	16.03	7.06	8.85	33.54	2.39	16.51	108.9	85.82	110.43	1583.71	279.14
KIR3DX1	2.2	10.71	8.32	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	1.43	1.51	1.89	6.46	1.97
LAPTM5	8191.0	15499.21	19214.73	3349.13	8479.89	483.38	279.14	209.84	1159.07	96.68	1250.98	5954.47	3146.52	8840.04	14461.21	6840.04
LAT2	954.43	1674.06	1794.29	53.57	947.83	96.01	47.17	70.01	170.25	17.13	112.77	486.75	262.2	693.58	2384.37	629.35
LCP1	5112.16	8363.13	9673.69	1529.73	5517.27	473.41	83.45	127.0	629.35	50.27	603.67	2271.4	1066.48	3589.58	8840.04	1639.59
LGALS2	525.39	571.05	1857.6	50.27	656.11	13.03	3.2	0.95	19.39	0.0	55.89	69.52	81.14	95.34	915.51	69.03
LTA	190.34	303.44	400.71	15.91	260.38	4.1	2.56	1.77	10.88	0.36	11.55	67.59	32.13	77.79	476.71	31.0
LY86	660.68	1388.16	1277.29	82.29	555.41	16.75	9.7	3.63	41.22	1.35	31.0	301.33	81.71	397.93	988.12	206.94
LY9	1167.14	1001.93	1467.37	11.73	346.29	2.53	16.15	4.86	48.52	0.89	47.5	157.68	149.12	165.57	836.53	718.08
MAP4K1	1233.75	1991.0	2468.49	65.72	1175.27	22.92	16.39	41.52	139.07	21.94	133.36	267.73	363.56	376.41	4388.98	1794.29
MS4A1	5147.73	9945.68	17927.91	26.86	3847.29	0.0	4.86	1.0	66.18	0.56	36.01	358.54	316.37	460.44	16045.82	8778.97
NCF4	819.3	860.08	1561.89	124.37	633.73	27.84	34.51	20.71	159.9	4.43	151.22	525.39	376.41	842.36	2148.82	567.1
NCKAP1L	808.0	1457.23	1583.71	130.6	848.22	20.56	11.82	11.38	111.21	4.1	82.29	514.56	255.0	723.08	1447.15	591.22
NUGGC	110.43	140.04	113.56	9.63	64.8	0.6	3.11	0.6	19.82	0.0	14.78	15.45	35.0	24.63	490.14	111.21
P2RY10	603.67	981.29	1030.12	180.02	305.55	4.94	7.06	2.56	29.06	2.29	23.08	114.36	92.7	236.21	457.25	507.46
P2RY8	336.79	490.14	435.55	8.92	152.28	7.11	6.21	1.66	23.59	1.17	15.68	52.82	53.57	70.51	483.38	48.18
PDCD1	218.79	417.77	587.13	2.03	173.85	1.57	6.06	2.32	28.65	9.48	83.45	75.64	50.63	120.1	651.58	954.43
PIK3AP1	511.0	1096.5	1037.29	108.14	583.07	152.28	47.17	47.5	57.89	8.32	50.27	291.04	172.65	376.41	915.51	255.0
PIK3R5	253.23	438.59	470.14	18.84	169.07	9.56	14.78	5.32	80.57	2.71	75.64	185.11	140.04	260.38	547.75	819.3
PIP4K2A	764.36	1331.57	1583.71	878.17	669.92	212.78	141.02	125.24	441.64	143.01	255.0	518.15	336.79	559.28	1286.18	743.43
PLA2G2D	902.89	420.68	2720.15	18.97	450.94	0.0	1.07	0.0	10.55	0.0	9.63	209.84	142.01	118.43	1023.0	100.13
PLD4	389.72	397.93	500.46	14.03	267.73	4.21	3.26	7.34	13.22	1.01	23.93	119.26	55.89	198.47	295.11	57.89
PPP1R16B	559.28	1286.18	599.49	191.67	323.03	7.63	16.51	4.98	62.56	4.17	33.06	134.3	108.14	209.84	836.53	197.09
PREX1	679.29	1191.69	1225.22	66.65	669.92	36.79	31.45	18.56	249.73	21.16	114.36	351.14	426.57	575.03	1259.69	476.71
PRKCB	684.02	1104.13	1001.93	141.02	486.75	3.72	3.76	2.66	52.45	4.98	23.42	171.45	105.15	208.38	878.17	836.53
PTCRA	23.42	11.13	103.69	2.97	50.98	2.53	0.0	0.0	0.77	0.0	1.75	8.38	8.25	30.56	85.82	3.59
PTPN22	180.02	279.14	454.09	88.88	187.71	5.28	4.21	4.58	25.17	5.77	40.93	163.28	59.55	209.84	293.07	234.57
PTPN6	2855.44	5517.27	7911.95	366.09	3589.58	500.46	500.46	836.53	511.0	441.64	785.88	1870.53	1199.98	2384.37	8598.28	1857.6
PTPRC	2664.15	5147.73	6561.36	435.55	2209.26	17.77	30.78	14.56	231.32	6.84	229.72	890.44	607.87	1529.73	3742.05	2935.74
PTPRCAP	2915.45	5672.41	5329.3	11.38	3081.75	16.88	33.78	16.63	180.02	16.39	262.2	759.08	490.14	1015.93	8247.98	1745.2
PVRIG	567.1	665.29	1008.9	107.38	332.14	2.39	5.23	0.91	27.64	0.49	32.82	83.45	65.26	120.1	825.0	256.78
RAB33A	103.69	214.27	223.41	113.56	151.22	16.75	6.36	3.86	18.03	3.14	20.41	60.39	33.06	95.34	244.57	28.45
RAB39B	37.32	95.34	115.97	38.67	46.84	0.88	1.85	0.51	9.48	0.82	7.22	15.68	19.53	17.9	84.63	76.71
RASAL3	1151.06	1388.16	1519.15	197.09	656.11	13.83	12.83	11.64	158.79	7.06	91.41	332.14	248.0	381.68	2720.15	733.19
RASSF2	796.86	1250.98	1030.12	164.42	571.05	29.06	18.29	10.0	118.43	4.5	43.63	356.05	255.0	497.0	1304.15	202.66
RCSD1	928.3	1685.71	2004.85	651.58	713.11	17.77	18.97	8.99	141.02	7.46	95.34	271.48	158.79	346.29	1651.0	954.43
RGL4	161.02	206.94	334.46	1.0	108.9	1.53	3.66	0.83	15.0	0.42	11.64	68.55	48.87	74.58	426.57	52.45
RHOH	1991.0	2502.97	2645.74	97.36	1135.2	13.32	15.11	10.0	111.99	8.71	181.28	341.51	325.29	529.06	2664.15	1697.45
SAMSN1	1051.79	878.17	1073.91	61.25	417.77	24.11	18.03	19.25	82.29	6.41	161.02	460.44	228.13	860.08	825.0	303.44
SASH3	1508.65	3325.99	3039.3	143.01	1583.71	14.45	22.1	13.03	144.01	5.73	102.25	629.35	316.37	890.44	3235.01	1250.98
SCIMP	409.15	738.29	497.0	22.92	339.14	2.76	2.89	0.52	20.26	0.48	16.15	125.24	79.45	214.27	591.22	234.57
SELL	3303.0	4481.23	8363.13	172.65	2915.45	13.72	17.0	1.93	114.36	3.69	57.89	708.18	244.57	825.0	4358.66	1709.26
SELPLG	836.53	1697.45	2209.26	143.01	947.83	53.19	62.56	36.53	217.27	15.34	166.73	532.74	432.53	967.76	1208.34	629.35
SEPT1	825.0	1427.22	1991.0	1.598261246E7	559.28	0.0	0.0	0.0	22.43	0.0	52.08	110.43	40.36	97.36	1023.0	2.669377385E7
SEPT6	2193.99	3589.58	5872.48	647.07	1819.35	84.63	121.79	151.22	181.28	178.77	334.46	884.29	718.08	1216.75	2777.33	1304.15
SH2D1A	255.0	607.87	1119.56	108.9	218.79	2.46	2.27	0.75	15.22	0.0	23.76	94.01	49.56	165.57	420.68	273.37
SH2D3C	305.55	1096.5	967.76	320.8	532.74	80.01	55.1	35.0	166.73	59.55	62.12	185.11	209.84	379.04	1051.79	291.04
SIRPG	447.82	612.11	1313.23	87.65	358.54	5.15	7.51	6.84	42.41	1.91	96.01	142.01	69.03	206.94	825.0	1551.09
SIT1	521.76	1259.69	1628.26	14.45	616.37	16.88	9.63	26.28	49.91	2.36	53.19	212.78	78.89	260.38	1447.15	660.68
SKAP1	540.19	836.53	2090.03	214.27	438.59	13.93	21.16	3.29	42.41	1.25	67.59	189.02	237.86	251.48	1008.9	403.5
SLA	591.22	1159.07	1529.73	78.34	493.56	15.56	24.63	11.04	175.07	6.89	246.28	361.04	253.23	583.07	1066.48	748.61
SLA2	145.02	318.57	414.87	22.59	162.14	4.66	5.59	6.06	22.75	2.68	42.11	92.05	62.12	108.9	283.05	155.5
SLAMF1	258.57	486.75	775.05	89.51	262.2	2.46	7.46	1.71	37.32	1.91	46.84	102.25	85.82	155.5	497.0	271.48
SLAMF6	392.44	988.12	1844.76	29.06	379.04	4.58	8.58	3.14	61.68	0.84	70.01	145.02	132.44	205.5	866.07	2720.15
SMAP2	2627.46	3349.13	3794.3	529.06	1529.73	241.19	384.34	389.72	785.88	460.44	718.08	1208.34	674.59	1457.23	4210.15	3081.75
SNAI3	101.54	159.9	165.57	6.94	72.52	11.73	9.2	4.78	16.03	1.75	41.81	50.98	25.91	55.89	170.25	109.66
SNX20	426.57	728.11	961.07	28.04	460.44	8.13	9.7	57.08	59.97	3.0	41.52	237.86	90.77	368.65	780.44	392.44
SPN	466.88	988.12	928.3	204.07	503.95	15.68	7.28	9.34	63.0	3.69	68.07	231.32	102.25	314.17	665.29	414.87
SPOCK2	2758.13	3235.01	2701.35	56.68	1259.69	18.43	34.02	28.86	141.02	11.13	157.68	476.71	323.03	733.19	2335.28	2351.53
SSTR3	7.28	37.85	48.52	0.62	12.74	0.0	0.0	0.0	0.45	0.41	0.43	6.11	2.97	5.5	58.71	34.75
SUSD3	518.15	981.29	1709.26	221.86	500.46	7.57	15.22	4.31	52.08	62.56	178.77	199.85	127.89	348.71	1757.34	571.05
TBC1D10C	1104.13	2090.03	3190.46	163.28	1175.27	5.36	14.45	4.24	85.22	2.43	106.63	332.14	226.54	476.71	3928.15	1427.22
TBX21	71.0	145.02	135.24	4.43	62.56	0.85	2.14	0.87	4.5	1.79	13.62	30.12	23.08	35.25	126.12	140.04
TESPA1	426.57	665.29	1151.06	50.27	303.44	5.82	3.76	2.66	21.94	3.06	24.46	138.1	48.52	157.68	620.67	307.69
TIGIT	656.11	728.11	1819.35	32.13	376.41	11.55	14.35	10.71	50.63	4.13	82.29	175.07	119.26	190.34	796.86	1208.34
TMC8	1073.91	1950.0	2758.13	297.17	967.76	138.1	11.3	42.41	159.9	16.88	180.02	480.04	426.57	543.96	5329.3	1794.29
TMEM156	287.01	532.74	961.07	11.64	229.72	1.77	4.86	4.9	29.91	1.97	19.53	123.5	99.43	148.09	651.58	256.78
TNFRSF1B	1583.71	1685.71	1628.26	356.05	1051.79	54.33	60.82	38.95	291.04	20.41	249.73	796.86	579.04	1199.98	1769.57	651.58
TRAT1	265.87	403.5	808.0	75.64	123.5	0.0	0.95	1.36	6.67	0.0	9.7	74.06	40.07	102.25	256.78	171.45
TSPAN32	77.79	131.51	348.71	28.45	57.49	2.12	6.16	1.73	7.17	0.0	19.68	34.75	29.27	73.03	361.04	97.36
TTC24	102.25	78.89	149.12	2.05	40.36	0.44	2.07	1.53	2.27	0.0	5.92	12.55	19.68	13.52	249.73	49.21
TVP23A	53.57	67.59	74.06	36.53	43.02	0.57	1.25	2.12	4.43	1.58	11.21	27.84	8.25	46.84	204.07	52.45
UBASH3A	123.5	303.44	409.15	13.93	142.01	0.41	1.68	0.78	15.11	1.33	19.68	62.12	38.12	79.45	323.03	341.51
UCP2	6250.56	8658.09	12502.12	521.76	4181.07	1487.87	507.46	890.44	651.58	68.07	1111.82	3847.29	2816.11	5366.37	11345.82	2485.67
VAV1	679.29	961.07	1286.18	94.01	540.19	8.58	8.25	4.86	67.12	18.84	92.05	271.48	307.69	438.59	1242.34	616.37
WAS	1167.14	1844.76	2384.37	48.52	1111.82	17.38	19.82	12.55	146.03	4.82	120.1	438.59	327.56	679.29	2855.44	1359.57
WDFY4	848.22	1073.91	1378.57	30.56	612.11	5.28	10.47	1.66	69.03	0.0	31.9	157.68	126.12	194.36	1407.55	244.57
ZC3H12D	409.15	612.11	529.06	15.11	177.53	1.75	5.11	0.0	23.93	2.29	26.1	90.14	57.08	151.22	1119.56	381.68
ZNF101	500.46	775.05	1135.2	214.27	435.55	105.89	155.5	130.6	191.67	171.45	198.47	242.88	181.28	325.29	775.05	297.17
ZNF80	8.78	25.54	67.59	1.3	17.0	0.0	0.44	0.47	1.97	0.43	2.23	3.41	5.5	18.16	78.89	73.54
ZNF831	49.21	123.5	163.28	37.32	37.32	0.39	0.67	0.39	4.82	0.0	4.9	13.93	10.24	17.25	111.21	176.29
