	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.86.8669.01A.11R.2403.07	TCGA.49.4510.01A.01R.1206.07	TCGA.75.6206.01A.11R.1755.07	TCGA.78.7161.01A.11R.2039.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.91.6849.01A.11R.1949.07	TCGA.MP.A5C7.01A.11R.A262.07	TCGA.86.8359.01A.11R.2326.07	TCGA.86.8281.01A.11R.2287.07	TCGA.38.4625.01A.01R.1206.07	TCGA.50.5932.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.MP.A4TE.01A.22R.A466.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4675.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.4B.A93V.01A.11R.A39D.07	TCGA.78.7537.01A.11R.2066.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.78.7167.01A.11R.2066.07	TCGA.J2.8194.01A.11R.2241.07	TCGA.NJ.A7XG.01A.12R.A39D.07	TCGA.86.7713.01A.11R.2066.07	TCGA.55.6970.01A.11R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.ZT9W.0726.SM.4YCDC	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ
CACNG1	0.0	0.0	0.0	0.72	0.96	0.0	0.0	0.55	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.99	0.0	0.3	0.32	0.61	0.64	0.3	0.0	0.0	0.0	0.0	0.3	0.0	0.64	0.0	0.0	0.32	6.62	3.79	5.41	3.32	3.96	9.48	5.19	0.0	2.78	1.51	5.5	1.14	6.73	2.68	2.68	7.4	0.0	6.16	3.2	3.63	1.35	3.89	13.62	3.79	10.31	4.62	2.43	5.02	4.9	1.23	2.61	2.48	3.11	2.89	4.35	2.32	1.14	0.84	2.43	1.97	2.48	15.45	4.86	3.17	4.5	3.63	0.93	0.79	0.88	1.27	3.99	14.45	0.82	3.47
CAV1	191.67	92.7	514.56	878.17	915.51	532.74	4038.61	281.09	1709.26	309.83	587.13	3372.43	1639.59	511.0	599.49	87.03	1030.12	2075.59	3081.75	169.07	1059.11	1870.53	2796.65	156.59	854.13	217.27	1508.65	536.45	1709.26	599.49	318.57	1268.46	26614.89	35363.15	33455.53	35363.15	5517.27	24832.5	40062.48	14765.09	24153.43	29124.6	6207.38	19082.0	36864.92	39510.91	7280.4	9606.86	14971.21	30785.28	39510.91	12502.12	9409.14	24153.43	31650.8	14867.79	24321.43	26248.46	15392.14	19618.49	23986.58	10225.32	21768.19	22380.2	38966.94	28525.2	49666.0	33922.56	7433.4	23009.42	21768.19	53601.03	43537.38	31215.04	21919.61	47974.16	48982.22	19754.96	54349.29	58250.19	32315.87	20170.07	38430.46	45072.75	16611.71	30999.42
CBL	10.31	10.47	64.8	42.41	124.37	81.14	57.08	48.18	59.97	83.45	85.82	76.17	0.0	92.7	52.08	61.25	0.46	56.28	60.82	73.03	78.89	119.26	76.17	32.59	80.57	69.52	88.26	92.05	86.43	100.13	76.17	106.63	157.68	90.77	141.02	182.55	87.65	81.14	173.85	106.63	187.71	113.56	99.43	148.09	99.43	158.79	118.43	119.26	123.5	125.24	108.14	153.34	109.66	74.58	206.94	170.25	177.53	92.7	75.11	153.34	197.09	155.5	106.63	108.14	165.57	87.03	85.82	97.36	142.01	115.97	111.99	159.9	70.01	325.29	111.99	108.14	126.12	83.45	162.14	110.43	267.73	178.77	169.07	178.77	80.01	199.85
CCDC90B	785.88	599.49	253.23	224.97	164.42	454.09	229.72	371.22	363.56	267.73	555.41	289.02	0.0	896.64	176.29	172.65	0.4	170.25	463.65	616.37	269.6	279.14	334.46	339.14	358.54	167.9	414.87	293.07	361.04	409.15	173.85	651.58	460.44	587.13	483.38	543.96	249.73	438.59	909.17	769.69	406.31	872.1	327.56	397.93	830.75	1023.0	595.34	633.73	444.72	708.18	785.88	547.75	309.83	603.67	258.57	753.83	665.29	665.29	269.6	334.46	830.75	579.04	759.08	540.19	511.0	400.71	591.22	629.35	878.17	669.92	476.71	480.04	995.0	1073.91	1073.91	1225.22	587.13	642.59	738.29	1259.69	954.43	629.35	723.08	764.36	633.73	353.59
CCM2L	24.81	39.5	40.64	52.45	41.52	49.21	42.11	28.45	40.93	33.54	20.11	38.95	0.0	25.54	34.26	17.77	0.04	25.91	46.18	26.28	57.49	119.26	53.95	23.25	71.0	16.15	50.98	37.32	57.08	24.46	13.22	42.11	191.67	444.72	525.39	271.48	40.64	599.49	532.74	277.2	432.53	279.14	87.03	327.56	301.33	665.29	236.21	220.32	262.2	373.81	277.2	223.41	183.82	460.44	159.9	389.72	497.0	358.54	63.89	305.55	599.49	412.0	205.5	307.69	460.44	226.54	389.72	275.28	110.43	417.77	447.82	273.37	325.29	441.64	231.32	159.9	480.04	242.88	221.86	381.68	438.59	470.14	265.87	738.29	59.97	214.27
CD109	4.17	2.23	24.99	39.5	37.59	25.35	19.53	6.52	53.57	11.73	75.11	24.11	0.0	51.35	20.56	46.84	0.6	32.82	44.89	43.94	55.89	40.36	74.06	5.63	32.36	45.21	47.5	39.5	87.65	39.5	33.78	224.97	241.19	406.31	708.18	432.53	152.28	166.73	108.14	109.66	190.34	126.12	3.96	118.43	406.31	93.35	199.85	157.68	305.55	769.69	466.88	126.12	563.18	208.38	191.67	69.03	134.3	529.06	30.34	353.59	123.5	62.12	189.02	356.05	532.74	212.78	384.34	291.04	46.84	356.05	181.28	334.46	176.29	178.77	146.03	262.2	450.94	111.21	187.71	40.93	454.09	43.63	967.76	441.64	67.12	190.34
CD1D	12.0	11.73	63.45	23.42	23.93	17.51	13.83	6.89	45.53	14.56	24.99	19.25	0.0	9.34	20.56	24.63	0.24	27.44	13.12	28.45	65.26	43.32	12.45	50.98	28.45	46.84	21.16	15.0	34.26	11.13	14.24	41.81	32.13	28.04	17.9	152.28	71.5	52.08	70.01	65.26	89.51	91.41	52.08	148.09	73.54	135.24	127.0	72.01	144.01	69.03	98.73	78.34	144.01	42.71	28.45	55.49	105.89	77.79	53.19	135.24	75.11	92.7	88.88	50.63	218.79	67.12	90.77	84.04	120.94	232.94	125.24	139.07	122.64	73.03	86.43	39.22	51.71	85.82	35.76	75.11	87.65	73.54	124.37	55.1	178.77	41.52
CD300LG	61.25	21.94	0.6	36.01	0.95	0.68	42.41	0.0	3.35	0.27	0.0	8.32	0.0	7.11	1.93	4.62	0.0	0.0	16.03	0.0	1.28	13.12	10.47	0.0	1.77	0.0	34.51	5.11	2.58	1.23	0.87	12.45	198.47	432.53	368.65	334.46	256.78	743.43	178.77	412.0	1233.75	665.29	40.36	860.08	476.71	647.07	579.04	236.21	212.78	559.28	244.57	166.73	351.14	620.67	105.89	218.79	76.71	271.48	63.45	1127.35	125.24	406.31	218.79	420.68	684.02	511.0	42.41	633.73	39.5	124.37	511.0	420.68	642.59	332.14	82.87	316.37	1819.35	85.22	698.41	78.89	567.1	72.52	647.07	64.34	30.56	629.35
CDO1	4010.71	4268.94	13.32	14.56	22.92	17.77	31.22	7.34	14.67	11.47	3.2	19.53	0.0	18.97	6.57	10.63	0.28	20.11	25.54	8.06	44.25	42.71	24.99	3.72	32.59	7.34	21.63	24.46	22.43	7.4	7.0	36.53	163.28	221.86	356.05	171.45	38.4	190.34	336.79	447.82	180.02	169.07	25.17	158.79	281.09	295.11	232.94	19.11	204.07	825.0	116.78	289.02	74.06	229.72	204.07	214.27	543.96	395.18	208.38	75.64	264.03	87.65	202.66	214.27	305.55	376.41	348.71	220.32	52.08	193.01	126.12	98.73	366.09	660.68	176.29	151.22	221.86	205.5	543.96	463.65	314.17	417.77	239.52	400.71	80.01	295.11
CEACAM21	3.32	1.66	65.26	27.05	29.06	13.42	23.59	12.09	34.51	15.11	49.21	15.45	0.0	36.01	21.32	19.97	0.2	16.15	36.27	7.94	43.63	51.71	21.94	21.47	29.48	18.56	33.06	12.36	31.67	77.79	22.59	49.21	166.73	253.23	100.83	111.99	102.97	199.85	285.03	122.64	139.07	329.84	137.14	70.01	703.28	325.29	791.35	63.45	497.0	262.2	921.88	146.03	397.93	392.44	327.56	125.24	172.65	83.45	273.37	112.77	595.34	323.03	224.97	285.03	161.02	166.73	463.65	384.34	417.77	283.05	239.52	595.34	121.79	242.88	785.88	72.52	423.61	186.4	500.46	343.89	253.23	100.83	301.33	25.91	684.02	84.63
CHM	110.43	54.33	198.47	177.53	146.03	194.36	212.78	103.69	251.48	299.25	204.07	153.34	0.0	231.32	177.53	120.94	0.45	185.11	148.09	236.21	175.07	157.68	169.07	202.66	162.14	173.85	117.6	113.56	323.03	201.25	248.0	175.07	183.82	198.47	205.5	246.28	85.82	246.28	221.86	265.87	158.79	351.14	175.07	221.86	287.01	291.04	224.97	182.55	228.13	316.37	332.14	320.8	129.69	223.41	153.34	221.86	241.19	239.52	133.36	231.32	309.83	248.0	249.73	264.03	289.02	130.6	251.48	224.97	231.32	273.37	206.94	212.78	237.86	312.0	291.04	400.71	181.28	423.61	242.88	271.48	305.55	220.32	368.65	423.61	212.78	195.72
CMTM5	0.0	1.6	0.0	8.06	6.41	2.34	0.0	0.0	8.25	8.0	0.0	0.97	0.0	3.96	1.79	0.0	0.21	2.14	9.06	2.51	6.11	6.73	6.11	3.38	0.0	0.97	2.56	3.72	7.22	4.74	1.3	5.92	124.37	7.17	38.12	21.78	12.45	38.4	22.59	12.36	172.65	47.84	44.57	30.34	29.91	111.99	100.83	71.5	13.03	21.47	140.04	38.4	9.85	6.01	17.9	42.41	232.94	40.36	3.56	24.28	8.92	82.87	14.78	38.12	20.71	10.88	9.41	48.18	32.36	18.16	89.51	25.35	35.0	460.44	34.02	24.63	137.14	7.4	45.21	50.27	78.34	98.73	81.14	32.36	25.72	43.63
COTL1	58.71	65.72	3168.41	909.17	1059.11	684.02	629.35	470.14	1721.16	733.19	2417.67	928.3	0.0	759.08	1286.18	3742.05	0.72	1745.2	1135.2	1781.89	3018.3	1427.22	753.83	830.75	1304.15	1259.69	830.75	591.22	1369.04	591.22	769.69	1551.09	2956.17	2047.0	995.0	6294.04	3467.27	1651.0	5147.73	2956.17	3614.55	4543.8	4937.99	2047.0	2303.12	7966.99	4937.99	6381.92	3742.05	2032.85	3901.01	5041.77	3901.01	1081.39	2271.4	7911.95	9540.5	2520.38	2855.44	3060.45	5366.37	3039.3	5329.3	1794.29	4639.29	1733.13	2664.15	2451.44	10808.41	2855.44	2855.44	8363.13	5954.47	4836.35	5441.3	3874.05	1991.0	3614.55	1250.98	15607.02	2032.85	3639.7	3039.3	2609.3	5255.91	3212.66
CYP27A1	14971.21	7695.57	642.59	688.78	1340.84	366.09	309.83	373.81	1208.34	384.34	343.89	356.05	0.0	343.89	457.25	173.85	0.52	559.28	490.14	281.09	890.44	1037.29	341.51	371.22	269.6	223.41	392.44	389.72	256.78	283.05	111.21	660.68	2935.74	5751.61	1191.69	3564.78	514.56	3039.3	9540.5	3768.09	3235.01	2335.28	536.45	1733.13	8363.13	4869.99	7485.11	2956.17	5292.48	3124.78	7911.95	6037.61	4298.64	5441.3	12943.04	2303.12	2701.35	2209.26	1883.54	2224.63	17197.56	2468.49	7537.18	3768.09	2384.37	2090.03	6792.79	3372.43	5995.9	5954.47	1709.26	8963.45	1583.71	3081.75	4903.87	1896.65	2796.65	7749.1	1896.65	7130.55	2875.3	6337.83	2855.44	679.29	3280.18	2133.97
DYSF	110.43	363.56	178.77	152.28	264.03	205.5	138.1	122.64	170.25	146.03	234.57	246.28	0.0	103.69	159.9	86.43	0.56	119.26	169.07	127.89	343.89	348.71	281.09	102.25	232.94	120.94	236.21	97.36	466.88	106.63	94.67	387.02	748.61	616.37	320.8	1467.37	177.53	450.94	441.64	395.18	1066.48	669.92	713.11	718.08	186.4	275.28	660.68	1015.93	511.0	368.65	129.69	802.41	139.07	236.21	163.28	1936.53	1066.48	336.79	406.31	466.88	356.05	842.36	211.31	224.97	679.29	253.23	149.12	591.22	1008.9	275.28	921.88	532.74	242.88	1304.15	444.72	358.54	307.69	497.0	220.32	1073.91	1001.93	656.11	412.0	1175.27	1167.14	890.44
EFNB1	65.26	78.34	175.07	177.53	115.97	198.47	156.59	121.79	121.79	94.67	291.04	147.06	0.0	129.69	180.02	135.24	0.97	244.57	177.53	256.78	249.73	329.84	117.6	102.25	224.97	229.72	185.11	90.14	234.57	239.52	77.25	146.03	287.01	1617.0	2367.9	1066.48	660.68	1498.22	842.36	299.25	1340.84	463.65	460.44	2163.77	728.11	825.0	403.5	616.37	1159.07	2303.12	1015.93	607.87	4512.4	733.19	612.11	348.71	301.33	1407.55	476.71	748.61	713.11	1199.98	420.68	1304.15	1936.53	447.82	1119.56	624.99	555.41	647.07	651.58	1950.0	759.08	1073.91	426.57	713.11	2591.27	206.94	366.09	215.77	981.29	420.68	1806.78	1175.27	2032.85	2739.08
FANCC	48.18	43.32	72.01	48.18	73.03	72.52	88.88	67.59	52.08	64.34	77.25	65.26	0.0	53.95	48.18	39.5	0.52	62.56	60.82	98.73	72.52	100.83	76.71	137.14	69.03	65.26	69.03	75.11	65.72	77.79	90.14	111.99	80.01	140.04	144.01	177.53	76.71	89.51	117.6	120.1	140.04	108.9	61.68	102.25	90.77	118.43	66.18	97.36	87.03	81.14	92.7	206.94	71.5	109.66	157.68	96.68	90.77	113.56	60.39	131.51	99.43	108.14	92.05	71.0	117.6	73.03	100.13	102.97	53.95	98.04	127.89	59.13	82.29	88.26	84.63	73.54	121.79	79.45	152.28	95.34	178.77	190.34	115.97	258.57	170.25	55.49
FBXL3	283.05	120.1	536.45	432.53	403.5	307.69	417.77	262.2	540.19	429.54	231.32	579.04	0.0	529.06	314.17	218.79	0.31	258.57	684.02	647.07	351.14	447.82	575.03	148.09	563.18	381.68	447.82	551.56	406.31	273.37	246.28	454.09	759.08	764.36	1051.79	921.88	1127.35	1066.48	988.12	1104.13	860.08	1051.79	441.64	836.53	1167.14	780.44	669.92	674.59	896.64	1477.58	1447.15	848.22	567.1	954.43	466.88	753.83	1135.2	974.5	236.21	995.0	842.36	890.44	1081.39	872.1	1175.27	1104.13	1088.92	915.51	703.28	1030.12	785.88	830.75	941.27	954.43	878.17	1277.29	1159.07	928.3	1397.83	723.08	1529.73	624.99	1572.76	1457.23	708.18	954.43
