	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11P82.0426.SM.5HL5D	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1211K.1326.SM.5FQV2	GTEX.12WSJ.0726.SM.5GCN6	GTEX.11NSD.1226.SM.5986Q	GTEX.U3ZM.0626.SM.4DXTV	GTEX.WFJO.0726.SM.4LVM8	GTEX.1122O.1626.SM.5N9CX	GTEX.ZT9W.1226.SM.57WE4	GTEX.13OVG.0926.SM.5J2OJ	GTEX.13X6H.1426.SM.5SI91	GTEX.ZZPU.1826.SM.5E43L	GTEX.YB5K.0726.SM.5LU8R	GTEX.11XUK.0726.SM.5EQMX	GTEX.PLZ6.0626.SM.3P61B	GTEX.YF7O.0826.SM.4W21F	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZTSS.0726.SM.51MSN	GTEX.ZPCL.1226.SM.4WWFF	GTEX.X3Y1.1226.SM.4PQZ8	GTEX.11VI4.0626.SM.5EQLO	GTEX.11P81.0926.SM.59874	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.13111.1226.SM.5GCNC	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
BCL11A	470.14	151.22	159.9	110.43	40.07	33.3	120.94	119.26	57.49	74.58	39.5	53.95	21.16	72.01	129.69	54.33	61.25	103.69	66.18	151.22	139.07	100.83	138.1	80.01	146.03	0.0	0.44	356.05	587.13	450.94	1295.13	748.61	2537.92	1331.57	1551.09	1977.24	785.88	1225.22	2468.49	1757.34	674.59	2047.0	1936.53	660.68	2434.5	4328.55	878.17	2997.45	2255.7	1551.09	2351.53	2351.53	1781.89
BMPER	18.03	11.73	65.72	90.77	89.51	22.1	25.35	48.18	64.8	20.86	26.1	18.84	26.47	9.48	31.0	19.11	37.32	50.63	25.54	89.51	86.43	33.06	28.04	56.28	25.91	0.0	0.39	68.07	293.07	228.13	191.67	651.58	115.16	183.82	417.77	133.36	444.72	450.94	281.09	199.85	204.07	412.0	209.84	154.42	563.18	155.5	246.28	299.25	78.34	559.28	239.52	137.14	279.14
BTBD3	332.14	181.28	429.54	334.46	363.56	212.78	312.0	381.68	314.17	258.57	318.57	279.14	264.03	214.27	295.11	220.32	346.29	299.25	221.86	343.89	287.01	376.41	316.37	267.73	379.04	0.0	0.49	629.35	769.69	961.07	500.46	713.11	361.04	612.11	514.56	547.75	351.14	543.96	603.67	316.37	647.07	532.74	665.29	532.74	603.67	269.6	813.63	454.09	616.37	1088.92	1467.37	406.31	403.5
C14orf64	85.82	37.59	43.32	37.85	5.68	10.96	5.92	18.16	3.23	25.54	10.0	6.31	8.19	9.63	2.23	0.13	12.18	27.44	13.93	4.39	3.96	6.46	1.55	15.0	19.97	0.0	0.13	43.32	71.0	31.67	202.66	146.03	48.52	41.22	206.94	25.17	32.36	31.67	31.45	24.81	107.38	232.94	356.05	45.85	47.5	202.66	40.36	96.68	98.73	28.45	14.14	89.51	41.81
C1QTNF4	103.69	102.25	102.25	60.82	23.76	15.0	27.64	58.3	35.76	20.26	28.45	38.4	37.85	10.55	17.77	15.11	34.75	44.57	25.35	45.53	38.4	40.07	31.45	53.19	64.8	0.0	0.33	92.05	137.14	87.03	171.45	132.44	239.52	151.22	218.79	204.07	55.49	147.06	173.85	193.01	77.79	154.42	94.67	139.07	98.04	329.84	118.43	84.63	132.44	139.07	134.3	155.5	113.56
C2orf40	2384.37	2434.5	11345.82	4575.41	4836.35	1757.34	2303.12	1583.71	1721.16	1794.29	1697.45	1594.73	2555.58	1709.26	1322.37	1008.9	551.56	2119.22	2758.13	2777.33	1388.16	1733.13	2090.03	981.29	6121.9	0.0	0.19	2758.13	12076.21	12244.81	17197.56	47974.16	14361.31	19754.96	73221.53	13123.73	11189.6	61999.83	12076.21	10883.59	34876.28	28923.41	13586.57	36106.23	19754.96	10808.41	22072.07	23820.89	7180.15	15715.58	46986.85	10512.82	35363.15
CADM1	514.56	285.03	223.41	236.21	157.68	90.77	152.28	201.25	102.25	77.79	138.1	99.43	128.79	131.51	161.02	76.71	205.5	106.63	84.04	251.48	100.83	123.5	119.26	122.64	332.14	142.01	212.78	432.53	579.04	642.59	2209.26	379.04	713.11	373.81	1721.16	1350.18	265.87	348.71	1135.2	267.73	470.14	796.86	547.75	231.32	463.65	796.86	206.94	289.02	607.87	224.97	358.54	878.17	599.49
CAPN5	217.27	189.02	341.51	218.79	76.71	65.72	146.03	191.67	127.0	41.81	100.13	57.89	111.21	60.82	120.1	90.14	81.71	75.64	81.14	94.01	66.18	95.34	113.56	138.1	164.42	0.0	0.58	575.03	323.03	289.02	896.64	303.44	825.0	473.41	679.29	376.41	417.77	251.48	381.68	343.89	620.67	723.08	525.39	406.31	269.6	438.59	277.2	307.69	460.44	339.14	332.14	1397.83	376.41
CAPN6	198.47	25.54	75.64	37.32	12.55	4.21	40.07	66.18	17.77	24.99	10.31	6.46	13.93	4.5	5.11	4.5	11.55	11.3	8.92	8.06	3.17	13.93	11.3	10.16	12.36	0.0	0.0	656.11	297.17	329.84	698.41	40.36	2796.65	100.83	7803.01	271.48	27.25	40.07	120.1	28.86	221.86	2119.22	842.36	87.65	32.13	90.77	113.56	255.0	212.78	50.63	173.85	273.37	88.88
CBFA2T2	343.89	212.78	260.38	220.32	206.94	131.51	142.01	256.78	220.32	151.22	201.25	155.5	120.94	115.97	231.32	110.43	202.66	212.78	116.78	156.59	180.02	146.03	224.97	206.94	253.23	0.0	0.58	325.29	389.72	543.96	656.11	373.81	351.14	258.57	441.64	329.84	269.6	234.57	753.83	591.22	420.68	842.36	264.03	187.71	248.0	616.37	327.56	500.46	638.15	466.88	351.14	633.73	403.5
CC2D2A	1628.26	1277.29	1023.0	743.43	463.65	409.15	332.14	748.61	384.34	291.04	323.03	148.09	279.14	283.05	607.87	159.9	217.27	579.04	412.0	532.74	460.44	429.54	353.59	583.07	444.72	0.0	0.0	759.08	1331.57	1259.69	872.1	738.29	1104.13	547.75	1651.0	490.14	872.1	1388.16	884.29	961.07	941.27	1467.37	1508.65	665.29	947.83	743.43	713.11	1008.9	674.59	361.04	1088.92	848.22	571.05
CERCAM	808.0	587.13	656.11	551.56	293.07	303.44	361.04	547.75	454.09	265.87	206.94	202.66	265.87	217.27	417.77	236.21	258.57	301.33	269.6	262.2	343.89	316.37	348.71	454.09	412.0	0.0	0.52	536.45	599.49	521.76	660.68	909.17	2178.83	769.69	2335.28	764.36	825.0	660.68	1001.93	854.13	1437.15	1594.73	1508.65	511.0	679.29	785.88	563.18	878.17	656.11	543.96	921.88	759.08	674.59
CHST15	1407.55	2004.85	1508.65	961.07	909.17	688.78	733.19	775.05	587.13	647.07	854.13	603.67	486.75	567.1	1059.11	414.87	638.15	934.76	493.56	830.75	718.08	703.28	780.44	703.28	791.35	0.0	0.82	1909.85	1685.71	1369.04	3564.78	1037.29	981.29	1529.73	1059.11	2178.83	1304.15	1151.06	1628.26	1605.83	1191.69	1685.71	1167.14	1447.15	1369.04	2664.15	2032.85	947.83	2591.27	2319.15	1819.35	1923.14	2417.67
CTSO	733.19	392.44	599.49	612.11	587.13	483.38	493.56	503.95	500.46	497.0	624.99	486.75	532.74	536.45	339.14	563.18	387.02	351.14	514.56	438.59	363.56	273.37	316.37	444.72	518.15	0.0	0.36	775.05	743.43	708.18	1322.37	1331.57	934.76	1051.79	1605.83	1605.83	878.17	1369.04	651.58	764.36	1437.15	1594.73	947.83	500.46	571.05	830.75	612.11	435.55	441.64	713.11	1143.1	607.87	738.29
DAB1	35.25	17.0	23.42	17.9	5.36	5.82	8.71	12.64	5.54	6.36	13.12	5.11	5.45	6.94	11.21	10.08	15.56	8.06	2.86	3.38	6.73	12.55	13.72	12.36	14.56	0.0	0.12	8.32	27.25	40.36	204.07	122.64	96.68	169.07	102.97	68.07	76.17	104.42	397.93	387.02	358.54	76.71	76.71	199.85	54.72	113.56	269.6	113.56	441.64	125.24	131.51	150.17	98.04
DACT3	6935.54	7280.4	2255.7	1104.13	808.0	708.18	753.83	1199.98	825.0	656.11	708.18	738.29	842.36	500.46	748.61	848.22	466.88	713.11	909.17	915.51	836.53	988.12	1081.39	748.61	1001.93	0.0	0.32	1369.04	2061.24	2520.38	1806.78	2075.59	2468.49	1397.83	2451.44	3257.52	2047.0	1857.6	4038.61	3665.02	1857.6	2468.49	1572.76	1437.15	2018.8	2758.13	1111.82	2287.2	2835.7	2209.26	995.0	2075.59	2163.77
ESYT3	279.14	10.24	22.26	22.59	18.29	11.64	23.08	49.91	16.75	10.96	11.04	8.51	38.95	3.96	3.59	10.96	24.46	10.96	6.01	10.55	6.01	17.25	5.5	13.22	38.4	0.0	0.33	143.01	249.73	150.17	381.68	186.4	256.78	96.68	76.17	154.42	166.73	117.6	271.48	334.46	241.19	232.94	255.0	153.34	189.02	156.59	185.11	228.13	189.02	395.18	88.88	113.56	379.04
FAM229B	1037.29	503.95	656.11	454.09	287.01	743.43	511.0	371.22	339.14	373.81	543.96	466.88	429.54	265.87	358.54	493.56	420.68	551.56	473.41	368.65	454.09	373.81	412.0	500.46	536.45	0.0	0.28	603.67	1331.57	1135.2	1508.65	612.11	1340.84	988.12	1407.55	1096.5	1304.15	1806.78	543.96	896.64	954.43	1340.84	633.73	371.22	1250.98	620.67	775.05	769.69	684.02	988.12	1242.34	934.76	1159.07
FAXDC2	4671.57	698.41	1111.82	1066.48	830.75	769.69	376.41	733.19	567.1	860.08	547.75	723.08	387.02	674.59	854.13	242.88	540.19	753.83	500.46	647.07	420.68	293.07	624.99	718.08	688.78	0.0	0.46	2004.85	2434.5	2537.92	2224.63	2701.35	3081.75	2796.65	3690.52	1806.78	3639.7	2255.7	1073.91	2956.17	3168.41	4010.71	3639.7	1023.0	1896.65	2417.67	2502.97	1769.57	1781.89	2664.15	3564.78	2032.85	2018.8
FBN3	2.41	2.43	1.13	3.2	0.0	0.0	0.27	3.47	0.0	3.06	0.0	2.25	0.64	0.0	0.27	0.0	0.26	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.27	0.0	0.06	0.65	0.61	3.29	60.82	8.06	8.71	7.11	2.89	3.96	5.36	18.43	16.51	14.14	3.53	11.82	7.06	5.5	2.58	36.01	35.25	2.81	5.23	2.32	2.25	47.5	6.94
FOXP2	1119.56	490.14	403.5	642.59	551.56	260.38	409.15	454.09	314.17	473.41	575.03	460.44	450.94	447.82	514.56	125.24	529.06	532.74	301.33	361.04	301.33	293.07	366.09	289.02	579.04	0.0	0.24	1111.82	961.07	909.17	921.88	896.64	995.0	890.44	1733.13	1135.2	583.07	819.3	1259.69	1167.14	1015.93	1936.53	1167.14	551.56	878.17	1806.78	780.44	1378.57	1304.15	813.63	1295.13	1733.13	961.07
FREM1	624.99	55.1	63.45	30.34	16.63	9.2	9.56	15.91	9.13	21.78	19.39	14.35	11.3	17.51	13.12	10.55	6.62	21.01	12.09	17.0	12.45	22.43	32.82	23.42	33.54	0.0	0.17	123.5	77.79	75.64	305.55	171.45	848.22	60.82	493.56	182.55	123.5	87.03	76.71	71.5	80.57	470.14	206.94	40.93	63.89	111.21	91.41	70.01	98.73	98.73	135.24	114.36	43.63
FRRS1L	92.7	127.89	102.25	27.44	14.03	2.61	24.11	19.53	2.48	8.25	13.52	19.25	15.11	2.05	28.65	11.38	12.83	26.28	1.55	25.54	44.57	21.47	30.34	28.65	42.11	0.0	0.09	165.57	166.73	201.25	199.85	82.29	157.68	115.16	171.45	133.36	48.18	123.5	92.7	115.97	148.09	258.57	34.26	51.71	127.89	167.9	148.09	132.44	104.42	42.71	327.56	96.68	73.03
GAREML	152.28	164.42	116.78	103.69	76.71	56.28	75.11	86.43	101.54	71.5	53.19	77.25	94.01	52.45	94.01	69.03	67.59	63.45	87.65	65.26	73.03	95.34	55.1	81.71	93.35	0.0	0.48	186.4	182.55	181.28	186.4	204.07	325.29	299.25	221.86	159.9	194.36	255.0	120.94	244.57	205.5	279.14	186.4	123.5	232.94	303.44	180.02	169.07	289.02	253.23	289.02	226.54	144.01
GLCCI1	126.12	76.17	120.94	89.51	83.45	49.21	79.45	85.82	78.34	83.45	92.05	82.29	77.79	62.56	93.35	47.5	71.0	88.88	76.17	80.57	57.49	60.82	82.87	65.72	123.5	0.0	0.32	356.05	497.0	563.18	693.58	591.22	1119.56	511.0	665.29	490.14	255.0	438.59	583.07	780.44	591.22	599.49	529.06	255.0	395.18	698.41	674.59	698.41	486.75	490.14	909.17	1096.5	532.74
GM2A	493.56	591.22	426.57	361.04	244.57	201.25	435.55	351.14	255.0	251.48	215.77	181.28	258.57	301.33	323.03	191.67	220.32	248.0	265.87	256.78	239.52	297.17	314.17	387.02	379.04	0.0	0.23	532.74	463.65	470.14	1001.93	836.53	981.29	808.0	1250.98	708.18	660.68	567.1	651.58	547.75	1369.04	1331.57	1304.15	361.04	490.14	860.08	656.11	529.06	638.15	426.57	665.29	1081.39	441.64
GNAO1	5791.62	221.86	842.36	532.74	1143.1	74.58	130.6	155.5	69.52	94.67	59.13	84.04	253.23	64.34	162.14	134.3	158.79	248.0	61.68	343.89	48.52	159.9	95.34	144.01	236.21	0.0	0.32	1628.26	2816.11	2335.28	2627.46	2351.53	2627.46	2645.74	2609.3	2485.67	1977.24	1733.13	1594.73	2451.44	2319.15	3467.27	3515.68	2193.99	2209.26	1594.73	3212.66	1769.57	1551.09	2645.74	1674.06	1674.06	2875.3
GPC6	239.52	103.69	271.48	93.35	61.68	53.19	109.66	73.54	65.26	77.25	75.64	59.97	57.08	60.39	84.63	74.58	53.95	53.57	84.04	70.51	73.54	71.0	77.25	74.58	61.25	0.0	0.39	483.38	291.04	320.8	312.0	152.28	241.19	348.71	358.54	381.68	199.85	159.9	320.8	199.85	258.57	244.57	575.03	120.1	165.57	209.84	131.51	171.45	153.34	164.42	189.02	366.09	186.4
GPRASP2	665.29	281.09	232.94	246.28	131.51	145.02	170.25	155.5	111.21	154.42	170.25	146.03	129.69	139.07	198.47	117.6	148.09	209.84	120.94	119.26	130.6	105.15	175.07	169.07	236.21	0.0	0.28	297.17	423.61	432.53	603.67	277.2	366.09	305.55	312.0	490.14	341.51	323.03	316.37	329.84	312.0	532.74	236.21	131.51	182.55	532.74	314.17	228.13	242.88	285.03	371.22	507.46	320.8
GRID1	59.55	32.59	20.56	27.64	10.0	6.36	25.17	12.83	22.59	6.62	13.22	2.92	10.55	12.74	9.93	9.13	17.13	16.75	18.03	10.79	9.48	14.14	12.0	11.3	17.9	0.0	0.22	108.14	208.38	171.45	220.32	293.07	145.02	241.19	189.02	212.78	178.77	205.5	150.17	169.07	172.65	316.37	158.79	119.26	175.07	221.86	220.32	232.94	136.19	273.37	256.78	215.77	199.85
ILVBL	1388.16	688.78	1127.35	1183.45	961.07	775.05	915.51	981.29	1159.07	679.29	624.99	591.22	954.43	651.58	688.78	571.05	575.03	842.36	981.29	785.88	684.02	802.41	624.99	703.28	902.89	0.0	0.56	728.11	1135.2	1378.57	2816.11	981.29	1819.35	1225.22	1151.06	1242.34	1322.37	1359.57	2451.44	2915.45	1991.0	2367.9	1167.14	1369.04	1477.58	3589.58	1936.53	1896.65	2609.3	1651.0	1127.35	2240.11	3235.01
INPP4B	100.13	96.68	156.59	161.02	101.54	61.68	44.25	50.98	67.59	52.82	77.79	56.68	47.5	38.67	35.76	28.04	40.93	54.33	31.22	62.12	53.95	29.27	52.45	61.25	73.54	0.0	0.58	208.38	444.72	441.64	255.0	379.04	264.03	575.03	379.04	293.07	379.04	343.89	237.86	470.14	301.33	379.04	327.56	251.48	500.46	325.29	318.57	348.71	194.36	551.56	435.55	466.88	591.22
JPH1	21.78	3.66	94.67	32.36	21.94	5.19	8.99	2.01	3.99	8.32	1.04	2.51	2.01	3.03	6.11	6.41	10.63	3.11	2.46	7.94	5.5	32.13	24.11	8.78	4.62	56.68	71.0	57.89	88.26	80.57	141.02	194.36	151.22	438.59	124.37	90.14	60.39	40.07	733.19	314.17	194.36	154.42	144.01	73.03	148.09	395.18	201.25	115.16	329.84	63.89	579.04	507.46	101.54
KCNG1	124.37	39.79	15.0	24.28	3.06	5.5	16.15	6.36	14.45	5.77	5.02	4.03	10.47	4.1	16.15	23.59	5.92	12.45	5.41	6.73	4.5	14.14	9.2	14.14	3.29	0.0	0.47	144.01	18.43	22.26	74.58	39.5	106.63	624.99	43.94	587.13	52.08	19.68	1250.98	96.68	94.01	41.52	80.01	77.25	85.22	633.73	137.14	85.82	1295.13	106.63	155.5	381.68	181.28
KCNN3	339.14	140.04	108.9	40.07	46.5	15.45	42.11	58.3	57.49	33.78	41.22	48.52	42.71	26.67	41.52	19.25	26.1	45.21	43.02	60.82	24.11	54.72	27.44	41.81	60.82	0.0	0.13	100.13	140.04	185.11	514.56	124.37	435.55	133.36	808.0	314.17	131.51	91.41	397.93	142.01	92.05	753.83	277.2	102.97	78.89	325.29	80.01	255.0	339.14	236.21	115.16	249.73	100.13
KY	638.15	72.52	20.86	53.95	12.27	3.96	8.71	29.27	18.29	4.21	8.38	3.79	10.24	5.19	11.64	0.6	5.02	30.56	2.41	6.52	6.41	8.38	26.1	14.03	37.85	0.0	0.01	76.71	93.35	144.01	249.73	191.67	154.42	125.24	140.04	85.82	134.3	77.79	97.36	262.2	283.05	312.0	88.26	30.34	54.33	102.25	183.82	124.37	53.19	108.9	135.24	60.39	142.01
L3MBTL4	58.3	10.88	51.35	17.13	9.63	7.94	10.0	12.36	16.88	7.06	5.68	9.13	6.21	5.59	13.83	7.94	9.63	5.36	6.57	13.42	8.32	8.51	15.34	13.62	31.0	0.0	0.45	56.28	100.13	73.03	90.77	29.06	127.0	60.39	46.5	77.79	14.03	22.1	88.88	46.18	61.68	23.08	17.0	6.94	12.64	43.63	48.52	22.75	23.08	20.11	29.48	59.55	66.18
LNP1	114.36	82.29	69.52	66.18	36.53	62.12	40.64	68.55	33.54	61.25	56.28	33.06	51.35	94.67	59.97	26.28	43.63	61.68	41.81	55.89	48.87	34.02	75.64	82.29	77.25	0.0	0.16	74.06	90.77	124.37	105.89	116.78	92.05	75.64	187.71	90.77	89.51	101.54	83.45	86.43	98.04	91.41	72.01	54.33	84.04	142.01	88.88	105.15	75.64	66.18	115.97	128.79	60.82
LRRC3	277.2	68.55	117.6	83.45	73.54	100.13	32.59	57.89	46.84	82.87	54.33	44.57	67.59	50.27	55.49	31.9	59.13	63.89	32.59	27.05	13.42	46.5	29.7	48.52	115.16	0.0	0.21	106.63	371.22	214.27	525.39	262.2	329.84	500.46	460.44	432.53	336.79	303.44	579.04	571.05	497.0	500.46	473.41	289.02	343.89	334.46	656.11	420.68	429.54	547.75	796.86	595.34	651.58
LRRC3DN	395.18	94.67	139.07	120.94	98.04	133.36	60.39	85.82	101.54	96.01	58.71	63.89	97.36	52.82	57.89	59.13	74.06	62.12	75.11	30.78	33.3	56.68	30.78	74.06	127.0	0.0	0.27	90.77	244.57	161.02	423.61	251.48	373.81	260.38	473.41	283.05	287.01	314.17	536.45	497.0	409.15	336.79	307.69	348.71	295.11	265.87	579.04	373.81	414.87	392.44	529.06	387.02	660.68
LRRC4	36.01	30.56	24.99	20.41	9.93	11.38	10.88	30.34	15.22	4.28	9.93	9.78	6.41	3.47	10.63	6.01	6.36	1.83	9.63	9.41	5.15	17.0	5.41	14.35	6.78	0.0	0.07	98.04	100.83	260.38	208.38	58.3	36.27	21.63	99.43	125.24	28.45	44.89	74.06	35.5	46.84	132.44	43.63	31.9	38.12	199.85	33.54	65.26	75.64	72.01	49.56	107.38	45.85
