	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.PX3G.0826.SM.48TZS	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.ZYW4.1126.SM.5SI99	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13U4I.0526.SM.5LU59	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
FHAD1	13.52	1159.07	11.13	7.57	32.59	35.0	17.77	26.1	41.52	20.11	0.0	4.28	9.34	1.04	1.39	9.41	0.28	0.8	1.2	3.17	17.13	1.13	5.15	2.63	11.04	10.71	7.28	0.83	0.3	14.67	40.36	55.89	59.13	25.91	70.51	36.27	31.9	19.97	35.0	22.26	41.52	56.28	40.36	49.56	105.89	25.35	43.02	33.06	53.57	68.07	36.53	60.82	20.11
FUBP1	1437.15	1369.04	961.07	866.07	733.19	1561.89	1088.92	1111.82	1350.18	947.83	301.33	289.02	848.22	366.09	351.14	656.11	309.83	476.71	525.39	379.04	307.69	412.0	384.34	571.05	603.67	656.11	802.41	145.02	514.56	473.41	2271.4	2209.26	2451.44	2119.22	2004.85	2400.97	1977.24	2163.77	2209.26	1685.71	1923.14	2915.45	2004.85	2303.12	2224.63	4450.27	2701.35	2895.31	2915.45	2178.83	1991.0	2796.65	2816.11
GATAD2B	159.9	180.02	267.73	154.42	120.94	182.55	119.26	186.4	148.09	92.05	58.3	59.97	127.89	86.43	71.0	80.57	69.52	80.57	67.59	64.34	77.79	83.45	63.45	108.14	83.45	60.82	124.37	53.57	61.68	34.02	285.03	303.44	287.01	291.04	194.36	327.56	279.14	299.25	279.14	212.78	273.37	334.46	190.34	256.78	231.32	275.28	209.84	253.23	239.52	194.36	175.07	251.48	275.28
GLYR1	1286.18	836.53	854.13	947.83	854.13	1963.57	896.64	780.44	1151.06	514.56	500.46	595.34	915.51	642.59	633.73	825.0	525.39	748.61	830.75	1030.12	417.77	723.08	1030.12	651.58	466.88	934.76	483.38	503.95	651.58	974.5	1208.34	1340.84	1216.75	1208.34	981.29	1143.1	1135.2	1242.34	1277.29	1044.52	988.12	1359.57	866.07	1225.22	1277.29	1001.93	1457.23	1427.22	1151.06	1111.82	1191.69	1427.22	1437.15
GPATCH8	212.78	256.78	273.37	161.02	281.09	314.17	181.28	239.52	307.69	101.54	46.18	51.71	178.77	74.06	108.9	149.12	48.18	114.36	191.67	129.69	67.12	186.4	70.01	102.25	36.27	143.01	137.14	37.85	88.26	69.03	409.15	429.54	450.94	406.31	256.78	470.14	503.95	417.77	397.93	269.6	371.22	532.74	287.01	466.88	316.37	629.35	409.15	438.59	438.59	412.0	285.03	529.06	503.95
GTF2H2C	297.17	507.46	432.53	348.71	361.04	1151.06	251.48	429.54	438.59	305.55	150.17	137.14	389.72	173.85	169.07	152.28	293.07	299.25	187.71	376.41	138.1	217.27	152.28	273.37	154.42	309.83	244.57	55.89	490.14	316.37	454.09	438.59	480.04	297.17	397.93	503.95	332.14	373.81	529.06	376.41	473.41	638.15	325.29	441.64	878.17	830.75	688.78	1044.52	679.29	1143.1	633.73	902.89	759.08
HIVEP3	166.73	62.56	66.18	36.53	83.45	281.09	54.72	155.5	65.26	42.71	30.12	42.11	138.1	121.79	30.78	76.17	11.21	107.38	48.52	17.25	153.34	22.43	29.48	29.06	47.84	112.77	48.18	19.11	136.19	46.18	142.01	159.9	166.73	100.13	162.14	127.0	126.12	123.5	112.77	108.14	138.1	152.28	161.02	163.28	202.66	157.68	279.14	320.8	157.68	248.0	236.21	226.54	273.37
HKR1	854.13	1059.11	723.08	540.19	361.04	525.39	638.15	409.15	607.87	389.72	180.02	105.15	305.55	193.01	88.88	307.69	244.57	89.51	121.79	125.24	92.7	223.41	177.53	120.1	264.03	218.79	301.33	132.44	115.97	76.17	854.13	1286.18	878.17	708.18	830.75	974.5	961.07	872.1	660.68	753.83	915.51	1096.5	860.08	1044.52	1044.52	1199.98	703.28	967.76	1096.5	1183.45	743.43	1104.13	921.88
KMT2A	206.94	205.5	208.38	146.03	144.01	236.21	118.43	194.36	237.86	58.71	38.4	38.67	169.07	111.99	105.15	113.56	46.18	176.29	119.26	131.51	94.01	72.01	80.01	169.07	58.71	120.1	119.26	25.17	62.12	112.77	356.05	403.5	363.56	312.0	208.38	376.41	417.77	358.54	429.54	191.67	248.0	536.45	208.38	343.89	220.32	518.15	400.71	400.71	486.75	325.29	211.31	473.41	503.95
KMT2E	316.37	540.19	660.68	376.41	414.87	403.5	229.72	470.14	409.15	121.79	84.04	46.18	249.73	92.7	115.16	165.57	96.01	202.66	178.77	145.02	214.27	163.28	130.6	182.55	198.47	228.13	242.88	44.25	118.43	118.43	728.11	785.88	660.68	624.99	486.75	813.63	748.61	679.29	759.08	373.81	642.59	575.03	493.56	698.41	486.75	848.22	642.59	660.68	738.29	718.08	490.14	813.63	703.28
LIPT1	152.28	312.0	228.13	170.25	127.0	126.12	176.29	123.5	145.02	73.03	106.63	40.36	105.89	84.63	111.21	89.51	79.45	114.36	109.66	50.63	88.88	71.0	96.01	102.97	76.71	142.01	92.05	42.11	85.22	45.21	309.83	189.02	264.03	246.28	285.03	277.2	262.2	204.07	260.38	246.28	262.2	332.14	191.67	258.57	265.87	361.04	218.79	260.38	316.37	392.44	234.57	312.0	187.71
MAP3K7	497.0	403.5	327.56	189.02	273.37	381.68	283.05	293.07	253.23	150.17	133.36	64.34	178.77	139.07	190.34	211.31	106.63	159.9	209.84	111.99	73.03	151.22	107.38	122.64	155.5	265.87	191.67	57.49	158.79	126.12	460.44	414.87	536.45	473.41	406.31	457.25	454.09	480.04	500.46	432.53	358.54	559.28	336.79	426.57	366.09	518.15	438.59	480.04	450.94	486.75	329.84	423.61	490.14
MAP3K9	15.68	22.1	31.0	7.94	31.67	80.01	29.7	37.59	46.84	20.11	5.41	9.63	14.14	6.26	11.47	21.16	3.99	6.41	9.85	11.47	12.93	18.16	8.19	5.92	4.13	26.1	9.48	2.1	17.64	14.14	66.65	87.65	80.57	42.41	49.21	68.07	77.79	52.82	69.52	42.71	47.5	67.59	53.19	44.57	56.28	63.89	59.55	96.01	65.26	139.07	61.25	90.14	71.0
MAP4K3	450.94	392.44	301.33	165.57	156.59	221.86	223.41	253.23	246.28	71.0	114.36	67.12	214.27	82.29	136.19	158.79	143.01	137.14	139.07	88.26	121.79	135.24	113.56	217.27	129.69	389.72	133.36	186.4	175.07	120.1	406.31	438.59	450.94	429.54	379.04	547.75	723.08	414.87	500.46	343.89	358.54	480.04	316.37	392.44	363.56	521.76	454.09	567.1	432.53	511.0	423.61	616.37	571.05
MGA	299.25	140.04	102.97	55.1	65.26	102.25	71.5	78.89	102.25	34.51	29.7	16.63	96.01	47.84	61.25	139.07	16.03	113.56	57.08	44.89	62.56	49.56	48.87	78.89	20.11	63.45	59.55	9.7	31.22	70.51	158.79	180.02	147.06	127.89	113.56	144.01	159.9	140.04	152.28	84.63	108.14	208.38	81.14	129.69	151.22	125.24	167.9	191.67	173.85	214.27	162.14	237.86	226.54
N4BP1	414.87	438.59	441.64	273.37	273.37	392.44	277.2	361.04	260.38	178.77	182.55	80.01	346.29	224.97	208.38	214.27	224.97	178.77	231.32	142.01	293.07	218.79	151.22	214.27	420.68	211.31	291.04	134.3	323.03	130.6	420.68	420.68	395.18	395.18	323.03	400.71	555.41	336.79	395.18	339.14	400.71	595.34	371.22	432.53	412.0	518.15	420.68	454.09	540.19	493.56	420.68	476.71	397.93
NAA35	220.32	178.77	198.47	163.28	177.53	204.07	218.79	157.68	211.31	87.03	86.43	72.01	123.5	100.13	158.79	123.5	90.77	143.01	126.12	127.0	116.78	106.63	114.36	131.51	74.58	96.01	123.5	59.55	100.83	127.89	271.48	289.02	285.03	281.09	239.52	301.33	305.55	297.17	281.09	232.94	237.86	363.56	224.97	273.37	303.44	376.41	314.17	381.68	318.57	273.37	271.48	351.14	414.87
NEK4	232.94	146.03	214.27	88.88	209.84	208.38	162.14	157.68	249.73	91.41	114.36	69.03	224.97	111.21	170.25	229.72	161.02	182.55	205.5	232.94	90.77	195.72	151.22	205.5	92.05	193.01	198.47	69.52	251.48	211.31	269.6	246.28	242.88	220.32	242.88	281.09	273.37	291.04	283.05	214.27	202.66	316.37	181.28	199.85	293.07	255.0	303.44	406.31	316.37	607.87	299.25	432.53	351.14
NFRKB	307.69	379.04	212.78	143.01	135.24	215.77	181.28	171.45	229.72	187.71	78.34	87.03	186.4	158.79	117.6	122.64	104.42	151.22	141.02	140.04	131.51	142.01	139.07	158.79	130.6	148.09	112.77	51.71	132.44	98.73	305.55	480.04	460.44	346.29	271.48	435.55	343.89	403.5	356.05	307.69	297.17	511.0	316.37	466.88	389.72	642.59	420.68	543.96	607.87	460.44	400.71	651.58	480.04
NUP98	961.07	656.11	1059.11	708.18	575.03	703.28	536.45	674.59	651.58	470.14	490.14	500.46	567.1	486.75	679.29	486.75	356.05	620.67	575.03	525.39	575.03	547.75	567.1	660.68	642.59	587.13	454.09	547.75	490.14	473.41	981.29	1151.06	796.86	866.07	785.88	896.64	1037.29	860.08	802.41	915.51	866.07	1059.11	684.02	909.17	802.41	1051.79	1096.5	1135.2	1066.48	1066.48	872.1	967.76	1397.83
OR2A7	12.36	215.77	154.42	23.25	48.87	46.5	45.85	74.58	167.9	32.59	40.64	6.94	129.69	6.52	71.0	11.82	8.58	139.07	72.01	17.13	17.9	82.87	50.98	24.81	17.13	1.11	24.99	36.27	1.38	7.94	81.71	323.03	249.73	246.28	108.14	325.29	97.36	122.64	49.91	102.25	84.63	177.53	91.41	126.12	346.29	303.44	587.13	291.04	85.22	76.71	287.01	161.02	178.77
PAPD4	435.55	665.29	490.14	226.54	373.81	525.39	473.41	403.5	447.82	241.19	226.54	130.6	295.11	327.56	466.88	281.09	329.84	260.38	291.04	320.8	205.5	242.88	249.73	529.06	358.54	237.86	356.05	332.14	336.79	161.02	791.35	718.08	802.41	921.88	607.87	995.0	854.13	878.17	954.43	866.07	723.08	1015.93	703.28	896.64	612.11	1277.29	718.08	728.11	703.28	497.0	454.09	669.92	665.29
PCNXL4	555.41	460.44	358.54	414.87	332.14	500.46	373.81	265.87	563.18	339.14	147.06	126.12	220.32	155.5	107.38	175.07	138.1	156.59	115.97	132.44	167.9	170.25	134.3	185.11	98.04	224.97	223.41	94.01	117.6	125.24	470.14	358.54	507.46	389.72	521.76	486.75	400.71	341.51	387.02	332.14	353.59	713.11	262.2	400.71	480.04	414.87	400.71	551.56	591.22	540.19	387.02	536.45	381.68
