	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
CHCHD6	239.52	218.79	108.9	152.28	255.0	246.28	157.68	460.44	236.21	215.77	57.49	115.16	161.02	366.09	316.37	314.17	638.15	397.93	363.56	262.2	244.57	518.15	226.54	368.65	295.11	265.87	878.17	392.44	395.18	289.02	194.36	540.19	486.75	414.87	414.87	287.01	486.75	551.56	457.25	381.68	334.46	454.09	438.59	242.88	698.41	412.0	234.57	529.06	463.65	420.68	507.46	412.0	476.71	287.01	368.65	309.83	483.38	420.68	420.68	463.65	381.68	301.33	293.07	450.94	432.53	287.01	346.29	387.02	466.88	368.65	432.53	432.53	457.25	417.77	314.17	371.22	269.6	525.39	229.72	368.65	327.56	457.25	466.88	473.41	536.45	190.34	389.72	397.93	518.15	186.4	420.68	529.06	346.29	642.59	412.0	332.14	351.14	813.63	555.41	480.04	507.46	346.29	343.89	743.43	371.22	599.49	329.84	420.68	314.17	336.79	301.33	329.84	753.83	555.41	251.48	249.73	473.41	305.55	466.88	473.41	329.84	281.09	228.13	256.78	1051.79	309.83	486.75	392.44	429.54	249.73	409.15	237.86	620.67	473.41	295.11	429.54	275.28	341.51	341.51	249.73	486.75	373.81	376.41	283.05	441.64	441.64	796.86	262.2	400.71	483.38	406.31	438.59	599.49	397.93	591.22	368.65	358.54	551.56	316.37	293.07	463.65	435.55	381.68	287.01	353.59	447.82	441.64	295.11	361.04	532.74	483.38	409.15	339.14	275.28
COMMD4	988.12	872.1	890.44	665.29	1096.5	796.86	759.08	642.59	1008.9	860.08	713.11	547.75	532.74	1208.34	1519.15	1487.87	2240.11	2997.45	1769.57	1498.22	1295.13	2240.11	830.75	1594.73	928.3	1331.57	2758.13	2061.24	1594.73	2047.0	988.12	2061.24	2384.37	1896.65	2178.83	1104.13	1733.13	2090.03	1685.71	1697.45	1427.22	1617.0	915.51	1340.84	2193.99	1519.15	1208.34	1674.06	1923.14	2004.85	1794.29	2417.67	2701.35	1437.15	1617.0	1721.16	2061.24	2119.22	2163.77	2573.36	1806.78	1697.45	1242.34	2209.26	1674.06	878.17	2224.63	1697.45	1369.04	1781.89	2090.03	1447.15	2075.59	1508.65	1322.37	1923.14	1674.06	1617.0	1135.2	1081.39	1250.98	2148.82	1883.54	2148.82	2701.35	1167.14	2104.58	1963.57	3491.39	1051.79	1709.26	2627.46	1467.37	2434.5	2400.97	2119.22	1639.59	2004.85	1870.53	2367.9	2468.49	1721.16	2075.59	1991.0	1529.73	1127.35	1242.34	1457.23	1674.06	1662.49	1437.15	1651.0	1883.54	1769.57	1674.06	1242.34	1733.13	775.05	2240.11	2075.59	1617.0	1651.0	1008.9	1340.84	2417.67	1359.57	2240.11	1551.09	2004.85	1127.35	1806.78	1167.14	2555.58	1685.71	1216.75	2032.85	1175.27	1250.98	1427.22	1167.14	3146.52	1923.14	2193.99	2178.83	2367.9	1844.76	2573.36	1477.58	1498.22	1662.49	2555.58	2061.24	1909.85	2720.15	2224.63	2609.3	2319.15	2627.46	2271.4	2090.03	1757.34	2032.85	1572.76	1781.89	1427.22	2061.24	2224.63	1427.22	1304.15	2255.7	2319.15	1832.01	1540.37	1508.65
CTD-2192J16.22	53.95	93.35	99.43	55.89	115.16	48.52	70.51	10.71	20.86	80.57	24.28	57.89	92.05	56.68	46.84	88.88	142.01	194.36	107.38	93.35	19.97	164.42	50.27	69.03	40.93	71.5	66.65	86.43	95.34	94.67	33.78	156.59	197.09	164.42	215.77	73.03	28.04	242.88	162.14	189.02	92.7	90.14	75.64	65.26	197.09	43.94	31.22	94.01	142.01	56.68	90.77	206.94	212.78	44.89	40.36	43.94	223.41	299.25	82.29	587.13	287.01	193.01	17.64	159.9	206.94	20.41	175.07	32.59	97.36	101.54	171.45	60.82	307.69	143.01	23.08	20.41	78.34	43.02	99.43	24.46	52.08	234.57	316.37	57.08	403.5	56.68	67.59	194.36	105.15	33.3	205.5	193.01	36.01	126.12	279.14	99.43	124.37	102.25	112.77	143.01	343.89	156.59	81.14	327.56	84.04	65.26	85.82	60.39	96.68	38.4	66.18	89.51	206.94	135.24	287.01	45.53	120.94	94.67	182.55	255.0	121.79	45.53	29.48	24.81	226.54	53.95	387.02	42.71	140.04	94.01	110.43	61.68	303.44	82.87	66.18	96.01	38.67	91.41	68.07	62.12	215.77	97.36	65.72	169.07	48.87	153.34	150.17	59.55	151.22	48.52	170.25	281.09	218.79	212.78	163.28	190.34	125.24	132.44	379.04	279.14	139.07	314.17	53.19	32.59	19.39	50.27	175.07	60.39	35.0	40.93	80.01	43.02	31.67	25.35
DDX54	656.11	587.13	332.14	435.55	674.59	656.11	336.79	236.21	289.02	708.18	389.72	309.83	660.68	1015.93	1096.5	1143.1	2417.67	1819.35	1216.75	1519.15	947.83	1674.06	1030.12	1583.71	928.3	974.5	2255.7	1119.56	1378.57	1639.59	967.76	2956.17	1561.89	1397.83	1417.35	1001.93	1313.23	1551.09	1628.26	1477.58	1135.2	1467.37	1135.2	1135.2	2240.11	1216.75	1081.39	1151.06	1883.54	813.63	1674.06	1651.0	2004.85	1216.75	854.13	1295.13	1857.6	2133.97	1359.57	1561.89	1529.73	1487.87	921.88	1832.01	1467.37	866.07	2835.7	1583.71	1111.82	1259.69	1769.57	743.43	1561.89	1167.14	1111.82	1359.57	1313.23	1216.75	1111.82	954.43	1081.39	1883.54	1963.57	2209.26	2591.27	954.43	1572.76	1685.71	1794.29	866.07	2119.22	2520.38	1175.27	1674.06	1909.85	1277.29	1183.45	1407.55	1583.71	3235.01	1844.76	1745.2	1447.15	2075.59	1268.46	1073.91	1199.98	1233.75	1216.75	961.07	1529.73	1167.14	1832.01	1844.76	1806.78	947.83	1709.26	1639.59	1617.0	1769.57	1066.48	1159.07	860.08	854.13	1870.53	825.0	2090.03	1096.5	1896.65	1081.39	1369.04	1259.69	2835.7	1037.29	1023.0	1617.0	915.51	1143.1	1208.34	1259.69	2075.59	1350.18	1304.15	2193.99	1331.57	1883.54	1733.13	1073.91	1697.45	1417.35	1127.35	1639.59	2287.2	1757.34	1427.22	1769.57	2271.4	1457.23	1819.35	1639.59	1977.24	2004.85	769.69	728.11	921.88	1104.13	1313.23	947.83	1037.29	974.5	1119.56	866.07	866.07	599.49
DGCR6L	866.07	660.68	444.72	400.71	629.35	665.29	356.05	607.87	536.45	567.1	94.67	185.11	198.47	1427.22	1250.98	1498.22	2701.35	2682.69	1819.35	1551.09	1037.29	2240.11	1250.98	1963.57	872.1	1388.16	2739.08	2555.58	1378.57	2018.8	1088.92	1963.57	2240.11	1651.0	1936.53	1286.18	1819.35	2956.17	1617.0	1909.85	1340.84	1066.48	1467.37	1322.37	2520.38	1199.98	1183.45	2537.92	2627.46	2090.03	2119.22	2351.53	3018.3	1331.57	1950.0	2004.85	2645.74	2303.12	2835.7	2816.11	1745.2	1936.53	1277.29	1870.53	1870.53	587.13	2319.15	2193.99	1304.15	1844.76	2209.26	1369.04	2627.46	1594.73	1304.15	2178.83	1697.45	1991.0	1628.26	1487.87	1794.29	2468.49	1769.57	2758.13	3103.19	1313.23	2193.99	1870.53	2816.11	1059.11	1819.35	3257.52	1685.71	2682.69	2609.3	1745.2	1733.13	1977.24	1870.53	2075.59	2645.74	1844.76	2018.8	2351.53	1769.57	1286.18	1417.35	1594.73	1605.83	1721.16	1896.65	2018.8	2591.27	2351.53	1709.26	1143.1	1551.09	1572.76	2875.3	2004.85	1572.76	1896.65	1044.52	1340.84	2895.31	1259.69	2555.58	1733.13	1697.45	1208.34	2075.59	1487.87	3349.13	1950.0	1216.75	2417.67	1151.06	1857.6	1388.16	1159.07	3124.78	2133.97	2664.15	2148.82	2976.74	2163.77	2935.74	1467.37	2178.83	2018.8	2739.08	1950.0	3124.78	2485.67	2351.53	2664.15	2451.44	3039.3	2645.74	2061.24	1870.53	1674.06	1896.65	2032.85	1322.37	2434.5	2758.13	1806.78	1437.15	2682.69	2956.17	1540.37	1844.76	1551.09
DNAJB2	1540.37	1250.98	1119.56	1250.98	1508.65	1277.29	1088.92	1639.59	1096.5	1322.37	780.44	400.71	486.75	2061.24	2178.83	2384.37	3395.89	3515.68	3146.52	2855.44	2133.97	2895.31	1594.73	2591.27	1781.89	2319.15	3716.2	3039.3	2502.97	2591.27	2148.82	3257.52	2400.97	2451.44	2796.65	2224.63	3124.78	2935.74	2240.11	2090.03	2303.12	2417.67	1832.01	2032.85	2645.74	2209.26	1721.16	2997.45	2997.45	3168.41	3257.52	2777.33	2777.33	2075.59	2997.45	2609.3	2976.74	2875.3	3349.13	2915.45	2956.17	2148.82	2303.12	2573.36	2061.24	1685.71	2645.74	2240.11	1923.14	2816.11	2875.3	2240.11	2875.3	1857.6	1896.65	2434.5	3124.78	2384.37	2319.15	2178.83	2255.7	2915.45	3103.19	4066.71	3168.41	2367.9	2997.45	3639.7	2777.33	1733.13	2004.85	3325.99	2240.11	3614.55	3515.68	2573.36	2018.8	2855.44	3820.7	3540.14	2664.15	2591.27	2895.31	2485.67	2485.67	2627.46	1909.85	2133.97	1883.54	2287.2	2796.65	2434.5	4210.15	3060.45	2163.77	2468.49	2485.67	2701.35	3325.99	2915.45	2193.99	2915.45	1857.6	2417.67	3060.45	2417.67	3395.89	2816.11	3018.3	1551.09	2664.15	2240.11	3443.31	2287.2	1529.73	2956.17	1896.65	2835.7	1806.78	2075.59	3280.18	3039.3	3467.27	3018.3	2591.27	2591.27	2758.13	2018.8	3716.2	3018.3	3124.78	3039.3	4937.99	3039.3	2664.15	3124.78	3103.19	3039.3	3419.52	3491.39	2645.74	2502.97	2335.28	2835.7	2645.74	3639.7	3190.46	2915.45	2032.85	3540.14	2997.45	2627.46	2400.97	2835.7
DOHH	45.21	36.53	45.85	25.72	47.84	102.25	22.26	17.64	11.47	90.77	31.22	7.28	10.55	193.01	147.06	368.65	417.77	423.61	285.03	320.8	136.19	406.31	131.51	316.37	115.97	204.07	480.04	249.73	373.81	368.65	92.05	392.44	346.29	234.57	348.71	279.14	239.52	429.54	363.56	309.83	258.57	275.28	199.85	209.84	525.39	193.01	165.57	236.21	384.34	232.94	348.71	444.72	376.41	201.25	323.03	271.48	341.51	438.59	351.14	529.06	400.71	336.79	132.44	441.64	320.8	144.01	373.81	220.32	204.07	395.18	295.11	258.57	314.17	279.14	169.07	283.05	348.71	208.38	180.02	158.79	171.45	358.54	438.59	397.93	543.96	191.67	346.29	376.41	332.14	138.1	316.37	353.59	165.57	381.68	536.45	253.23	305.55	356.05	301.33	435.55	395.18	323.03	381.68	361.04	285.03	253.23	186.4	218.79	176.29	182.55	190.34	242.88	463.65	397.93	366.09	242.88	309.83	299.25	403.5	384.34	167.9	242.88	102.97	149.12	417.77	226.54	435.55	264.03	379.04	226.54	334.46	251.48	529.06	234.57	185.11	231.32	143.01	336.79	285.03	155.5	444.72	303.44	305.55	387.02	267.73	470.14	406.31	166.73	339.14	242.88	351.14	417.77	420.68	353.59	432.53	358.54	343.89	269.6	387.02	409.15	358.54	287.01	181.28	146.03	162.14	277.2	368.65	231.32	264.03	162.14	215.77	194.36	198.47	165.57
ECI1	660.68	674.59	563.18	567.1	753.83	674.59	341.51	351.14	291.04	629.35	195.72	165.57	258.57	1617.0	1883.54	2434.5	4481.23	4836.35	2400.97	2163.77	1104.13	3794.3	1369.04	2627.46	1467.37	2133.97	3419.52	3124.78	2434.5	2997.45	1135.2	2796.65	2895.31	2573.36	2875.3	1950.0	2240.11	2997.45	2400.97	2895.31	2018.8	2573.36	1909.85	1844.76	3540.14	1639.59	1529.73	2875.3	3280.18	2319.15	2090.03	3768.09	4903.87	1794.29	2485.67	2417.67	3081.75	3146.52	2701.35	3928.15	2627.46	2400.97	1088.92	2502.97	2682.69	1477.58	4836.35	2609.3	1991.0	2240.11	4095.0	2004.85	3325.99	2384.37	2133.97	1896.65	2485.67	2796.65	2485.67	1697.45	1745.2	3303.0	3467.27	3060.45	5147.73	1769.57	3103.19	2664.15	3372.43	1437.15	3349.13	5403.7	1508.65	3081.75	3874.05	2573.36	5479.15	2032.85	2047.0	2367.9	4419.52	2915.45	3395.89	2682.69	2319.15	1417.35	1909.85	2555.58	2915.45	2573.36	2018.8	2701.35	3235.01	2701.35	3081.75	1662.49	2271.4	4869.99	3146.52	2485.67	2997.45	2502.97	1199.98	1259.69	3124.78	1457.23	3665.02	2047.0	2451.44	1757.34	3190.46	1950.0	4010.71	2555.58	1583.71	2915.45	1519.15	2502.97	2417.67	1508.65	4298.64	2555.58	3665.02	2739.08	2739.08	3257.52	2224.63	1857.6	2875.3	2271.4	4450.27	2303.12	3443.31	3665.02	2875.3	3443.31	3303.0	3820.7	2796.65	3372.43	2451.44	3303.0	2664.15	2193.99	1651.0	2956.17	3124.78	2240.11	1733.13	2178.83	3081.75	1832.01	1991.0	1769.57
EMC10	988.12	961.07	638.15	733.19	928.3	785.88	921.88	660.68	759.08	1572.76	688.78	429.54	518.15	3103.19	2816.11	3614.55	6652.97	3982.99	3690.52	4607.24	1963.57	3443.31	2935.74	4769.75	2537.92	3124.78	4769.75	4937.99	3564.78	3212.66	2240.11	4607.24	3081.75	3820.7	3303.0	3325.99	3540.14	4802.93	3820.7	3491.39	3768.09	4066.71	3235.01	3280.18	5366.37	3467.27	2384.37	6164.49	4972.34	3103.19	3768.09	4010.71	3742.05	2935.74	4066.71	4152.18	4095.0	4328.55	3419.52	5006.93	4239.45	4607.24	2178.83	4575.41	3955.48	1896.65	5041.77	4639.29	2816.11	3901.01	3928.15	2796.65	4095.0	3395.89	3690.52	4010.71	4210.15	4512.4	5041.77	3372.43	3103.19	3419.52	4038.61	3665.02	5183.54	3639.7	3716.2	3060.45	3349.13	2796.65	4769.75	7485.11	3395.89	2855.44	3742.05	2976.74	3614.55	3564.78	3742.05	5183.54	4481.23	3874.05	4066.71	5995.9	3190.46	4123.49	2816.11	4038.61	4123.49	3955.48	4181.07	3372.43	5633.22	4671.57	3690.52	2777.33	5219.6	3419.52	4972.34	3982.99	3168.41	2645.74	2351.53	2104.58	3235.01	2178.83	3395.89	3928.15	3349.13	2875.3	3982.99	4736.79	5913.33	3372.43	3190.46	4512.4	2451.44	3124.78	2739.08	2271.4	3742.05	3540.14	3280.18	4010.71	3280.18	4358.66	4010.71	2777.33	4869.99	5112.16	4066.71	2956.17	3349.13	3955.48	3564.78	3716.2	3665.02	3039.3	3820.7	3103.19	4388.98	3614.55	2796.65	3303.0	2061.24	3303.0	3928.15	3395.89	2796.65	2209.26	3982.99	2224.63	2701.35	2816.11
EMC6	490.14	435.55	454.09	454.09	473.41	387.02	497.0	204.07	224.97	497.0	688.78	476.71	361.04	753.83	599.49	1015.93	1733.13	1397.83	890.44	1044.52	414.87	1175.27	703.28	1135.2	743.43	693.58	1639.59	1015.93	1233.75	1015.93	656.11	1151.06	1159.07	915.51	1175.27	769.69	981.29	1313.23	1059.11	1250.98	796.86	921.88	830.75	796.86	1259.69	507.46	599.49	902.89	1143.1	808.0	1051.79	1183.45	1216.75	743.43	684.02	825.0	1096.5	1167.14	995.0	1487.87	1023.0	1059.11	679.29	1225.22	1143.1	693.58	1208.34	830.75	872.1	1199.98	1216.75	854.13	1167.14	988.12	813.63	921.88	1151.06	884.29	769.69	791.35	693.58	1175.27	1135.2	1233.75	1832.01	718.08	1135.2	1135.2	1427.22	660.68	1135.2	1250.98	743.43	1023.0	1304.15	941.27	1199.98	866.07	1151.06	1388.16	1268.46	866.07	1159.07	1277.29	995.0	738.29	759.08	988.12	1073.91	674.59	753.83	934.76	1388.16	1073.91	1208.34	743.43	890.44	1143.1	1037.29	1111.82	748.61	896.64	559.28	674.59	1030.12	764.36	1447.15	860.08	743.43	738.29	995.0	612.11	1508.65	974.5	802.41	1119.56	660.68	967.76	738.29	728.11	1313.23	708.18	954.43	1191.69	703.28	967.76	1487.87	703.28	934.76	981.29	1437.15	1259.69	995.0	1322.37	1143.1	1073.91	1023.0	1151.06	902.89	1233.75	1242.34	1073.91	1127.35	743.43	723.08	967.76	1119.56	825.0	743.43	769.69	1081.39	753.83	684.02	775.05
ENDOV	208.38	265.87	126.12	316.37	336.79	193.01	208.38	307.69	273.37	125.24	72.01	218.79	267.73	447.82	486.75	486.75	620.67	503.95	599.49	336.79	389.72	620.67	314.17	555.41	371.22	384.34	785.88	500.46	473.41	642.59	253.23	543.96	802.41	463.65	642.59	371.22	575.03	688.78	575.03	493.56	563.18	346.29	389.72	395.18	703.28	493.56	358.54	518.15	651.58	633.73	547.75	518.15	551.56	540.19	497.0	543.96	547.75	607.87	555.41	503.95	490.14	511.0	406.31	518.15	486.75	281.09	497.0	493.56	429.54	567.1	476.71	483.38	511.0	466.88	480.04	450.94	575.03	503.95	476.71	392.44	551.56	665.29	358.54	563.18	403.5	463.65	521.76	511.0	616.37	454.09	470.14	728.11	409.15	656.11	633.73	575.03	403.5	521.76	753.83	563.18	540.19	536.45	463.65	808.0	384.34	373.81	318.57	460.44	397.93	358.54	540.19	547.75	988.12	543.96	525.39	327.56	748.61	638.15	620.67	518.15	417.77	493.56	242.88	406.31	583.07	514.56	599.49	503.95	417.77	299.25	525.39	432.53	629.35	447.82	397.93	454.09	312.0	432.53	334.46	371.22	796.86	450.94	718.08	525.39	718.08	400.71	738.29	457.25	860.08	503.95	567.1	591.22	688.78	624.99	665.29	612.11	723.08	629.35	651.58	595.34	497.0	470.14	438.59	460.44	441.64	743.43	493.56	511.0	406.31	547.75	529.06	595.34	454.09	373.81
ERCC1	1447.15	1242.34	902.89	1639.59	1605.83	1081.39	1250.98	1044.52	1437.15	612.11	1127.35	540.19	559.28	1583.71	2935.74	2591.27	3443.31	2537.92	1617.0	1477.58	1697.45	2720.15	1662.49	2004.85	1709.26	1870.53	2555.58	2287.2	1806.78	2468.49	1594.73	2133.97	1721.16	2224.63	1977.24	1407.55	2976.74	2163.77	1721.16	2664.15	1923.14	2075.59	1896.65	1923.14	2004.85	2351.53	1794.29	2835.7	2664.15	2133.97	2271.4	2319.15	2451.44	2047.0	2367.9	2485.67	2555.58	2104.58	2555.58	2720.15	1991.0	2193.99	1721.16	2335.28	2224.63	1685.71	2255.7	2664.15	1733.13	1909.85	2591.27	1407.55	2209.26	1870.53	2004.85	1794.29	1674.06	2367.9	2627.46	2032.85	1806.78	2271.4	1832.01	2956.17	2997.45	1757.34	2434.5	1721.16	2485.67	1487.87	2148.82	3212.66	2163.77	1950.0	2400.97	2004.85	2075.59	2061.24	2573.36	2255.7	2720.15	2018.8	1909.85	2400.97	2255.7	2133.97	2075.59	2400.97	1923.14	1769.57	1104.13	2351.53	1697.45	2451.44	2451.44	1605.83	2367.9	2224.63	2502.97	2303.12	2303.12	2178.83	1508.65	1378.57	2816.11	1781.89	2485.67	2032.85	2271.4	1277.29	2645.74	2240.11	3190.46	2303.12	1447.15	2758.13	1909.85	2209.26	2047.0	1583.71	2591.27	2104.58	2104.58	3168.41	1605.83	2956.17	2255.7	2047.0	2855.44	2720.15	2255.7	1857.6	2720.15	2645.74	2287.2	2537.92	2047.0	2104.58	2573.36	2075.59	2739.08	2915.45	1369.04	2240.11	1378.57	2032.85	1936.53	1639.59	1378.57	2061.24	2537.92	1674.06	1617.0	1457.23
