	TCGA.BP.5178.01A.01R.1426.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5094.01A.01R.1420.07	TCGA.CZ.5986.01A.11R.1672.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.CW.5580.01A.01R.1672.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.139YR.0226.SM.5IFEM
ASAP2	135.24	703.28	275.28	579.04	107.38	195.72	273.37	215.77	197.09	248.0	277.2	59.97	229.72	417.77	450.94	239.52	195.72	189.02	258.57	435.55	379.04	339.14	236.21	285.03	279.14	366.09	420.68	144.01	587.13	107.38	170.25	320.8	236.21	246.28	20.56	14.35	8.45	15.45	10.63	19.11	11.73	10.39	7.63
ASH1L	96.01	500.46	246.28	463.65	82.29	141.02	258.57	204.07	346.29	211.31	172.65	127.0	94.01	208.38	423.61	172.65	217.27	100.13	387.02	262.2	218.79	379.04	139.07	307.69	256.78	361.04	414.87	139.07	450.94	126.12	132.44	325.29	166.73	249.73	54.33	36.79	54.33	47.17	66.65	63.89	55.49	24.11	71.0
ASXL3	4.31	48.18	39.5	55.49	0.77	1.55	20.71	15.68	17.51	10.63	16.88	3.99	0.0	26.86	68.55	17.51	31.45	0.37	68.55	1.57	17.51	22.75	8.71	27.25	25.91	20.26	24.46	10.39	22.1	2.12	8.51	23.08	14.35	28.86	2.73	2.36	1.1	0.68	6.21	7.28	8.06	4.66	0.48
ATF6	231.32	473.41	318.57	438.59	229.72	189.02	343.89	381.68	518.15	371.22	343.89	170.25	293.07	414.87	463.65	285.03	267.73	239.52	447.82	463.65	339.14	493.56	224.97	368.65	379.04	463.65	397.93	167.9	470.14	209.84	253.23	417.77	275.28	348.71	368.65	209.84	258.57	351.14	165.57	246.28	190.34	195.72	281.09
BDP1	110.43	348.71	305.55	483.38	205.5	166.73	221.86	194.36	273.37	190.34	208.38	131.51	175.07	275.28	253.23	234.57	262.2	144.01	406.31	318.57	361.04	195.72	125.24	291.04	158.79	309.83	297.17	149.12	406.31	127.89	119.26	287.01	154.42	237.86	77.79	59.97	54.72	74.06	82.87	69.52	67.59	23.42	49.56
BMS1	185.11	255.0	182.55	327.56	120.94	214.27	253.23	193.01	241.19	202.66	171.45	124.37	89.51	180.02	260.38	208.38	220.32	262.2	228.13	275.28	271.48	236.21	163.28	221.86	237.86	279.14	212.78	155.5	285.03	94.01	165.57	156.59	152.28	158.79	171.45	128.79	73.54	151.22	100.13	111.99	100.13	66.18	146.03
BROX	353.59	842.36	521.76	1044.52	444.72	483.38	521.76	599.49	547.75	470.14	414.87	371.22	500.46	718.08	813.63	381.68	571.05	291.04	753.83	629.35	444.72	836.53	343.89	633.73	688.78	921.88	536.45	314.17	775.05	305.55	483.38	830.75	591.22	532.74	124.37	201.25	258.57	241.19	191.67	170.25	149.12	104.42	161.02
C17orf80	148.09	476.71	258.57	441.64	151.22	178.77	246.28	199.85	234.57	206.94	175.07	190.34	117.6	314.17	246.28	190.34	242.88	253.23	361.04	239.52	249.73	285.03	152.28	244.57	283.05	323.03	301.33	178.77	297.17	241.19	208.38	239.52	206.94	153.34	88.26	101.54	78.34	120.94	98.04	85.82	71.5	44.57	103.69
C4orf36	127.0	217.27	237.86	264.03	78.89	106.63	162.14	98.73	180.02	137.14	110.43	104.42	72.01	107.38	182.55	156.59	170.25	121.79	148.09	153.34	181.28	156.59	102.97	154.42	137.14	204.07	186.4	129.69	134.3	99.43	119.26	126.12	175.07	120.1	38.4	31.0	23.42	54.72	27.84	33.3	28.65	11.55	23.93
C5orf42	39.79	170.25	156.59	307.69	39.22	56.68	115.97	157.68	92.05	131.51	116.78	72.52	65.26	208.38	150.17	110.43	148.09	79.45	218.79	214.27	177.53	164.42	52.08	148.09	133.36	145.02	144.01	75.64	255.0	82.87	109.66	137.14	55.89	118.43	21.63	8.58	13.62	38.95	21.32	12.45	7.51	9.93	17.38
CCDC176	119.26	177.53	114.36	283.05	86.43	116.78	111.21	145.02	144.01	232.94	181.28	108.9	119.26	165.57	149.12	120.94	132.44	90.14	186.4	190.34	151.22	150.17	133.36	120.1	171.45	202.66	212.78	131.51	182.55	65.72	117.6	162.14	137.14	123.5	51.71	41.52	27.84	101.54	80.01	76.71	55.1	23.08	50.98
CCDC47	941.27	2032.85	1709.26	2400.97	802.41	909.17	1745.2	1540.37	1709.26	1447.15	1313.23	1081.39	2240.11	1757.34	1883.54	1066.48	1806.78	2319.15	1685.71	2104.58	1295.13	2209.26	1175.27	1508.65	2271.4	1870.53	1745.2	896.64	1757.34	1242.34	1104.13	1498.22	1397.83	1242.34	915.51	1143.1	1175.27	878.17	1143.1	890.44	941.27	698.41	1216.75
CDC42BPA	226.54	438.59	271.48	441.64	170.25	305.55	426.57	348.71	348.71	312.0	269.6	215.77	242.88	525.39	665.29	260.38	275.28	303.44	575.03	420.68	327.56	490.14	264.03	303.44	420.68	497.0	476.71	279.14	551.56	54.72	346.29	444.72	295.11	332.14	151.22	143.01	151.22	191.67	181.28	153.34	151.22	52.45	185.11
CDK19	120.94	551.56	423.61	679.29	165.57	180.02	237.86	242.88	688.78	412.0	236.21	164.42	191.67	579.04	954.43	371.22	466.88	181.28	660.68	356.05	327.56	429.54	185.11	242.88	281.09	567.1	429.54	194.36	412.0	149.12	376.41	314.17	253.23	334.46	49.21	34.26	39.5	61.68	61.25	50.27	53.95	41.52	41.52
CDKL2	21.94	84.04	101.54	130.6	15.34	16.51	32.13	24.46	21.63	33.3	62.12	19.25	19.39	100.83	87.65	57.08	55.49	3.47	75.11	43.32	36.27	83.45	12.74	46.18	52.08	130.6	53.95	17.9	40.93	4.82	32.82	64.34	34.51	44.57	0.0	0.0	0.0	0.0	0.58	1.01	2.36	0.0	0.0
CEP44	43.32	198.47	189.02	253.23	73.54	86.43	146.03	82.29	140.04	85.22	97.36	90.14	113.56	161.02	135.24	105.15	134.3	68.55	194.36	137.14	85.22	127.89	71.0	108.14	96.01	151.22	214.27	108.14	202.66	108.9	95.34	161.02	130.6	87.65	53.95	59.97	43.94	75.64	54.33	52.82	43.02	13.32	44.25
COG5	231.32	450.94	571.05	595.34	289.02	242.88	323.03	379.04	368.65	432.53	412.0	197.09	447.82	497.0	414.87	305.55	312.0	490.14	532.74	435.55	309.83	480.04	214.27	476.71	454.09	454.09	423.61	226.54	414.87	348.71	285.03	384.34	387.02	417.77	93.35	105.15	127.89	73.03	80.57	90.77	71.5	77.79	130.6
CTDSP2	1175.27	4152.18	3639.7	3874.05	1447.15	1277.29	3146.52	2047.0	1331.57	4298.64	3146.52	1037.29	1111.82	2351.53	2915.45	1950.0	1529.73	1059.11	4239.45	1819.35	2032.85	3018.3	1030.12	2240.11	1757.34	2664.15	2796.65	1191.69	3190.46	1175.27	1340.84	2209.26	1721.16	2485.67	511.0	511.0	547.75	1135.2	669.92	607.87	860.08	743.43	808.0
CYB5RL	28.24	114.36	132.44	127.89	36.53	32.59	48.87	66.65	38.4	92.7	81.71	58.3	19.68	129.69	124.37	62.56	86.43	41.52	100.13	45.85	29.7	138.1	53.95	61.68	110.43	120.94	85.22	60.82	60.39	92.7	67.12	94.67	97.36	70.01	19.11	54.72	48.18	35.25	23.08	30.56	24.63	33.3	13.12
DDX46	356.05	780.44	466.88	1015.93	291.04	341.51	620.67	463.65	432.53	555.41	500.46	281.09	242.88	403.5	607.87	480.04	447.82	285.03	728.11	733.19	825.0	748.61	373.81	693.58	759.08	521.76	688.78	389.72	854.13	297.17	289.02	638.15	466.88	547.75	246.28	202.66	181.28	194.36	199.85	248.0	206.94	126.12	204.07
EXOC1	339.14	543.96	460.44	674.59	341.51	368.65	507.46	307.69	476.71	417.77	348.71	285.03	348.71	599.49	571.05	438.59	529.06	366.09	486.75	511.0	376.41	518.15	327.56	463.65	417.77	551.56	447.82	476.71	591.22	329.84	368.65	500.46	389.72	400.71	145.02	98.73	101.54	138.1	120.94	119.26	99.43	44.57	127.89
FAM161A	23.25	82.87	127.89	161.02	26.67	22.92	76.17	33.06	43.94	35.25	53.95	49.56	40.07	127.0	100.83	72.52	80.01	18.97	163.28	32.82	82.87	81.14	30.12	90.14	67.59	87.03	68.07	51.71	120.94	45.21	68.07	86.43	49.21	45.85	7.4	8.45	4.74	11.47	14.35	18.16	11.91	3.99	10.16
FAM20B	183.82	426.57	262.2	438.59	218.79	255.0	316.37	281.09	438.59	262.2	267.73	234.57	248.0	289.02	400.71	258.57	285.03	242.88	400.71	348.71	336.79	389.72	242.88	341.51	318.57	403.5	356.05	173.85	493.56	255.0	223.41	521.76	312.0	283.05	155.5	148.09	239.52	212.78	133.36	157.68	124.37	111.99	88.26
FAT4	22.92	320.8	106.63	312.0	29.91	34.51	34.02	41.22	69.52	97.36	138.1	32.59	53.57	115.16	145.02	48.87	72.01	18.29	178.77	92.05	94.01	105.89	27.84	63.89	87.65	161.02	108.14	26.86	110.43	17.9	37.85	78.34	60.39	62.12	16.75	8.0	11.04	14.35	21.78	15.68	16.03	13.72	8.13
FBXO28	204.07	536.45	358.54	733.19	289.02	301.33	358.54	318.57	339.14	368.65	303.44	181.28	547.75	633.73	514.56	320.8	420.68	158.79	497.0	521.76	264.03	486.75	273.37	483.38	476.71	559.28	486.75	190.34	642.59	293.07	325.29	511.0	438.59	497.0	172.65	111.21	117.6	127.89	154.42	189.02	169.07	144.01	164.42
GOSR1	460.44	981.29	599.49	1268.46	307.69	441.64	688.78	529.06	629.35	571.05	518.15	466.88	334.46	878.17	866.07	463.65	633.73	412.0	928.3	633.73	660.68	909.17	470.14	708.18	679.29	909.17	674.59	381.68	902.89	351.14	503.95	486.75	507.46	571.05	318.57	236.21	195.72	376.41	260.38	361.04	273.37	287.01	325.29
HDHD2	316.37	825.0	674.59	878.17	297.17	417.77	624.99	521.76	813.63	500.46	409.15	221.86	412.0	1159.07	1081.39	638.15	497.0	368.65	842.36	435.55	392.44	884.29	466.88	559.28	738.29	808.0	836.53	476.71	780.44	314.17	642.59	890.44	587.13	559.28	353.59	406.31	341.51	420.68	476.71	511.0	486.75	483.38	543.96
HEATR5B	132.44	361.04	232.94	450.94	82.29	123.5	211.31	161.02	251.48	202.66	287.01	123.5	127.0	320.8	303.44	193.01	186.4	127.0	366.09	198.47	234.57	293.07	123.5	279.14	267.73	363.56	309.83	152.28	279.14	100.83	172.65	215.77	170.25	253.23	85.82	70.51	40.36	55.49	96.68	71.0	62.56	56.68	56.68
HOOK1	88.88	866.07	591.22	967.76	115.97	87.03	206.94	325.29	473.41	246.28	237.86	269.6	167.9	638.15	791.35	209.84	361.04	20.56	647.07	202.66	229.72	753.83	194.36	559.28	500.46	595.34	514.56	150.17	193.01	131.51	429.54	226.54	420.68	260.38	220.32	87.65	93.35	102.97	237.86	327.56	237.86	70.01	133.36
HSPA4L	67.12	343.89	312.0	532.74	85.82	67.59	109.66	63.89	277.2	152.28	145.02	86.43	166.73	432.53	397.93	176.29	165.57	78.34	253.23	191.67	112.77	379.04	80.57	323.03	273.37	267.73	299.25	62.56	283.05	81.71	149.12	185.11	273.37	122.64	48.52	177.53	127.0	33.3	26.86	69.03	57.89	36.53	145.02
IGSF3	125.24	242.88	473.41	314.17	124.37	143.01	119.26	232.94	269.6	194.36	133.36	147.06	141.02	176.29	406.31	187.71	205.5	255.0	191.67	244.57	277.2	299.25	141.02	303.44	454.09	241.19	253.23	99.43	112.77	228.13	85.82	111.99	130.6	201.25	25.17	13.83	6.06	18.43	4.74	4.24	4.1	4.86	37.85
ITGB8	96.68	825.0	1819.35	872.1	260.38	114.36	309.83	426.57	1127.35	373.81	669.92	155.5	329.84	988.12	2133.97	435.55	264.03	36.27	1295.13	234.57	679.29	878.17	299.25	2976.74	514.56	1167.14	2119.22	305.55	591.22	224.97	454.09	599.49	708.18	651.58	12.64	0.47	0.85	1.64	5.68	17.25	4.46	0.66	3.82
KIAA0319L	555.41	1044.52	1350.18	1407.55	429.54	583.07	728.11	890.44	974.5	665.29	878.17	579.04	420.68	638.15	1135.2	854.13	825.0	775.05	890.44	813.63	753.83	1015.93	493.56	1081.39	1127.35	1119.56	995.0	647.07	612.11	775.05	624.99	679.29	503.95	796.86	371.22	909.17	764.36	423.61	599.49	429.54	486.75	571.05	587.13
KIAA0947	98.73	325.29	241.19	414.87	136.19	117.6	195.72	197.09	186.4	237.86	139.07	98.73	127.0	265.87	258.57	177.53	231.32	117.6	339.14	291.04	236.21	224.97	132.44	231.32	198.47	255.0	201.25	96.01	361.04	121.79	117.6	224.97	176.29	177.53	98.04	62.12	50.63	55.49	69.52	74.58	51.35	29.7	68.07
KIDINS220	218.79	921.88	476.71	854.13	231.32	289.02	486.75	420.68	607.87	579.04	476.71	318.57	303.44	753.83	769.69	320.8	470.14	346.29	981.29	587.13	529.06	656.11	312.0	543.96	514.56	684.02	688.78	343.89	620.67	228.13	318.57	532.74	368.65	633.73	134.3	121.79	108.14	140.04	155.5	130.6	111.99	76.17	83.45
KIF16B	130.6	226.54	246.28	336.79	84.04	102.25	182.55	181.28	181.28	137.14	256.78	120.1	132.44	201.25	208.38	183.82	131.51	116.78	267.73	229.72	312.0	236.21	94.01	269.6	260.38	258.57	186.4	107.38	232.94	117.6	116.78	177.53	155.5	267.73	76.71	79.45	58.3	61.25	44.25	42.41	41.81	43.02	76.71
KPNB1	2240.11	2835.7	2573.36	4095.0	1583.71	2537.92	3212.66	2004.85	2664.15	3018.3	2119.22	1662.49	1388.16	2627.46	2915.45	2104.58	2609.3	1896.65	3491.39	3443.31	2485.67	2875.3	2485.67	2720.15	3515.68	3491.39	2367.9	1857.6	2935.74	1277.29	1605.83	2319.15	1806.78	2627.46	896.64	1331.57	872.1	1081.39	988.12	934.76	743.43	423.61	1143.1
LSM14A	1295.13	2451.44	2104.58	2520.38	1044.52	1199.98	1896.65	1662.49	1674.06	1819.35	1662.49	1769.57	1015.93	2119.22	2209.26	1225.22	1551.09	684.02	2075.59	1674.06	1709.26	1923.14	1369.04	1697.45	1745.2	1950.0	2032.85	1199.98	2163.77	954.43	1447.15	1662.49	1832.01	1628.26	688.78	738.29	718.08	928.3	733.19	753.83	718.08	473.41	866.07
LYRM2	281.09	583.07	583.07	791.35	283.05	444.72	470.14	395.18	567.1	500.46	366.09	229.72	384.34	764.36	665.29	389.72	376.41	291.04	629.35	693.58	397.93	591.22	325.29	356.05	457.25	638.15	500.46	262.2	555.41	376.41	447.82	551.56	341.51	361.04	201.25	214.27	117.6	229.72	148.09	241.19	155.5	60.82	255.0
MACC1	47.17	414.87	351.14	723.08	26.47	31.45	152.28	127.89	211.31	262.2	117.6	121.79	12.45	119.26	1519.15	28.45	26.67	5.28	269.6	36.01	316.37	412.0	80.01	842.36	148.09	417.77	941.27	78.89	118.43	65.72	187.71	50.63	301.33	155.5	8.13	0.33	1.01	0.36	2.07	8.06	1.36	1.73	6.52
MPP6	81.71	414.87	209.84	775.05	94.01	69.52	80.01	170.25	158.79	120.1	157.68	63.45	75.11	118.43	318.57	119.26	87.65	136.19	403.5	94.01	75.64	228.13	90.77	368.65	169.07	209.84	320.8	74.06	172.65	148.09	81.71	97.36	206.94	98.73	98.04	164.42	78.89	71.5	80.01	100.83	73.54	60.39	103.69
MSI2	309.83	684.02	595.34	866.07	223.41	316.37	373.81	503.95	647.07	490.14	334.46	536.45	242.88	599.49	633.73	351.14	490.14	329.84	718.08	616.37	397.93	693.58	373.81	603.67	587.13	486.75	769.69	318.57	583.07	202.66	389.72	395.18	483.38	366.09	212.78	215.77	158.79	110.43	172.65	218.79	215.77	199.85	309.83
MTPAP	95.34	289.02	148.09	277.2	76.17	134.3	183.82	140.04	177.53	164.42	113.56	133.36	153.34	260.38	244.57	161.02	175.07	98.73	208.38	182.55	264.03	163.28	173.85	180.02	156.59	246.28	194.36	125.24	212.78	98.73	132.44	289.02	136.19	145.02	133.36	112.77	87.65	132.44	98.73	127.0	87.03	88.88	98.04
MTR	244.57	583.07	447.82	884.29	148.09	228.13	387.02	281.09	281.09	197.09	283.05	397.93	169.07	366.09	376.41	297.17	435.55	170.25	450.94	387.02	262.2	384.34	199.85	320.8	435.55	571.05	473.41	303.44	728.11	239.52	217.27	688.78	228.13	301.33	76.71	51.35	80.01	56.28	60.39	57.08	42.41	17.51	17.64
MTX3	15.68	164.42	125.24	226.54	30.78	37.85	81.14	74.06	111.99	74.58	74.58	30.34	20.56	110.43	150.17	82.87	122.64	52.82	173.85	137.14	141.02	94.67	21.78	109.66	61.25	117.6	136.19	24.63	258.57	48.52	22.43	120.1	68.07	92.7	7.69	8.32	6.26	6.06	8.13	9.56	5.41	4.7	5.5
MYO9A	94.01	802.41	454.09	1051.79	77.25	126.12	224.97	232.94	316.37	403.5	291.04	171.45	102.25	432.53	669.92	229.72	318.57	139.07	708.18	339.14	329.84	406.31	138.1	232.94	397.93	830.75	463.65	145.02	493.56	101.54	202.66	283.05	269.6	384.34	21.78	6.73	8.13	23.93	13.52	16.63	15.91	12.93	19.39
NARG2	223.41	547.75	583.07	743.43	271.48	381.68	381.68	351.14	656.11	444.72	403.5	305.55	651.58	866.07	728.11	536.45	599.49	251.48	616.37	497.0	363.56	591.22	336.79	316.37	447.82	759.08	620.67	271.48	507.46	429.54	480.04	379.04	503.95	323.03	242.88	163.28	112.77	134.3	220.32	241.19	234.57	73.54	167.9
NARS	1551.09	2255.7	1806.78	2537.92	1457.23	1295.13	1617.0	1781.89	1551.09	1151.06	1350.18	587.13	1733.13	1883.54	2351.53	1417.35	1277.29	1350.18	1857.6	1437.15	1295.13	2855.44	1806.78	1662.49	3257.52	2335.28	1883.54	1216.75	2287.2	1104.13	1313.23	2163.77	1883.54	1519.15	909.17	1295.13	1008.9	947.83	902.89	753.83	669.92	796.86	1259.69
NF1	148.09	463.65	366.09	476.71	115.16	197.09	303.44	341.51	353.59	320.8	277.2	165.57	208.38	366.09	438.59	214.27	307.69	169.07	381.68	406.31	334.46	457.25	182.55	299.25	343.89	429.54	403.5	209.84	521.76	111.21	180.02	299.25	204.07	256.78	90.14	81.14	76.71	85.82	93.35	83.45	75.64	52.08	50.63
NIPA1	100.13	305.55	312.0	381.68	187.71	98.73	147.06	130.6	212.78	187.71	318.57	120.94	189.02	231.32	248.0	159.9	218.79	202.66	246.28	161.02	84.04	206.94	96.01	132.44	237.86	305.55	236.21	100.13	249.73	144.01	120.1	156.59	170.25	162.14	68.07	74.58	69.03	72.01	57.49	58.71	47.17	62.12	117.6
NLRP14	2.1	3.56	6.46	12.45	0.36	0.74	4.46	0.75	8.38	1.16	5.63	0.71	0.51	7.51	15.56	3.23	3.79	0.34	3.56	2.63	4.5	3.32	0.37	3.29	4.31	3.44	2.76	0.88	3.99	2.05	1.45	5.02	1.87	1.79	2.34	0.0	0.0	1.03	1.53	2.27	1.3	2.1	1.64
NT5DC1	406.31	748.61	785.88	1268.46	486.75	599.49	466.88	684.02	583.07	819.3	417.77	371.22	1001.93	1159.07	753.83	764.36	500.46	791.35	825.0	872.1	813.63	813.63	547.75	842.36	780.44	536.45	1008.9	273.37	603.67	334.46	384.34	536.45	718.08	738.29	426.57	450.94	392.44	283.05	412.0	638.15	503.95	500.46	406.31
NUP133	201.25	511.0	366.09	563.18	312.0	264.03	379.04	312.0	334.46	387.02	323.03	277.2	314.17	473.41	514.56	444.72	351.14	262.2	480.04	409.15	423.61	441.64	264.03	417.77	403.5	529.06	412.0	231.32	563.18	267.73	329.84	651.58	387.02	384.34	205.5	164.42	237.86	195.72	138.1	134.3	124.37	158.79	211.31
PHIP	63.89	392.44	312.0	463.65	119.26	128.79	152.28	175.07	289.02	134.3	137.14	92.7	291.04	320.8	251.48	189.02	226.54	82.87	406.31	267.73	122.64	248.0	96.68	183.82	215.77	273.37	312.0	111.21	220.32	139.07	127.89	198.47	140.04	175.07	41.81	22.75	15.68	49.91	48.52	43.63	33.06	9.63	27.84
PLEKHA1	551.56	2061.24	1191.69	2319.15	921.88	603.67	860.08	1051.79	1030.12	1286.18	1639.59	848.22	1191.69	1487.87	1313.23	1001.93	896.64	339.14	1407.55	967.76	1073.91	1250.98	1111.82	1832.01	1674.06	1909.85	1561.89	703.28	1175.27	878.17	825.0	738.29	1519.15	1044.52	325.29	256.78	264.03	265.87	376.41	366.09	381.68	206.94	381.68
POLR2B	543.96	1104.13	796.86	1001.93	511.0	647.07	884.29	514.56	915.51	896.64	679.29	447.82	532.74	1015.93	1001.93	785.88	967.76	555.41	780.44	860.08	620.67	860.08	579.04	836.53	669.92	1008.9	896.64	595.34	1066.48	954.43	567.1	764.36	785.88	651.58	483.38	395.18	329.84	397.93	358.54	371.22	353.59	332.14	486.75
