	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.145MF.0826.SM.5QGQA	GTEX.P78B.1326.SM.3P611	GTEX.14753.1626.SM.5NQ9L	GTEX.13NYC.2626.SM.5K7VN
EFCAB7	50.98	72.01	135.24	59.97	497.0	105.15	81.14	53.95	84.63	119.26	69.03	341.51	258.57	147.06	194.36	251.48	102.97	27.64	32.36	14.56	15.68	23.08	33.54	26.28	47.5	20.71	10.79	115.97
EFTUD2	909.17	1030.12	1286.18	1498.22	2627.46	995.0	1191.69	1183.45	1397.83	995.0	1175.27	1277.29	1508.65	1794.29	1697.45	1199.98	866.07	872.1	954.43	656.11	633.73	660.68	684.02	656.11	660.68	603.67	521.76	1359.57
FBXO30	51.71	89.51	152.28	62.12	293.07	82.87	64.8	45.53	80.01	100.13	54.72	132.44	195.72	88.88	71.5	223.41	85.82	31.0	39.22	23.76	15.68	23.93	21.01	22.26	13.93	27.25	5.96	124.37
GRIK3	8.51	5.45	45.53	2.66	303.44	6.94	14.14	8.51	9.63	41.22	47.5	70.01	312.0	60.82	318.57	35.0	87.65	1.04	0.0	0.6	0.0	0.0	0.0	0.66	0.16	0.14	0.0	16.51
HDAC1	1417.35	1781.89	2351.53	1008.9	4607.24	743.43	1286.18	1936.53	1331.57	1757.34	1651.0	2090.03	2720.15	2148.82	2224.63	1617.0	1923.14	909.17	1331.57	896.64	915.51	1073.91	830.75	866.07	629.35	1304.15	450.94	1096.5
HIPK1	318.57	748.61	587.13	457.25	1295.13	775.05	395.18	262.2	432.53	500.46	303.44	759.08	764.36	395.18	579.04	813.63	457.25	244.57	228.13	127.89	161.02	155.5	178.77	180.02	132.44	155.5	183.82	476.71
ITGB3BP	211.31	947.83	703.28	521.76	1674.06	444.72	406.31	503.95	497.0	555.41	633.73	854.13	497.0	438.59	753.83	753.83	1015.93	131.51	237.86	166.73	62.12	190.34	134.3	72.01	224.97	189.02	193.01	244.57
ITPR1	163.28	226.54	1286.18	190.34	1216.75	346.29	170.25	253.23	381.68	182.55	265.87	3515.68	4268.94	1159.07	1191.69	1923.14	896.64	117.6	113.56	31.22	35.25	49.56	64.8	129.69	16.88	26.86	34.02	170.25
KHDC1	9.48	11.38	57.49	18.03	244.57	39.22	19.39	84.63	47.17	103.69	56.28	108.9	84.04	122.64	72.52	23.42	53.57	5.59	1.46	3.0	2.43	0.0	2.61	3.29	0.0	0.0	0.0	28.24
KIAA1468	144.01	246.28	332.14	248.0	547.75	267.73	151.22	215.77	248.0	187.71	389.72	450.94	444.72	403.5	441.64	486.75	265.87	127.0	120.94	89.51	84.63	84.04	100.83	107.38	114.36	84.04	45.21	275.28
KLHL12	255.0	559.28	688.78	381.68	2148.82	866.07	417.77	435.55	836.53	591.22	607.87	1037.29	769.69	703.28	595.34	591.22	403.5	275.28	297.17	149.12	194.36	231.32	220.32	211.31	220.32	228.13	75.64	325.29
LCA5	32.36	43.32	117.6	24.99	136.19	66.18	37.05	11.91	56.28	75.64	32.13	387.02	521.76	148.09	176.29	226.54	74.06	8.38	7.46	2.14	2.53	5.23	7.0	7.46	5.06	4.1	4.06	25.91
MIER1	204.07	289.02	423.61	283.05	1151.06	334.46	297.17	177.53	414.87	318.57	224.97	616.37	529.06	246.28	334.46	954.43	358.54	204.07	193.01	229.72	81.71	218.79	180.02	205.5	173.85	127.89	161.02	332.14
MMGT1	221.86	251.48	373.81	547.75	848.22	403.5	253.23	318.57	316.37	289.02	150.17	460.44	423.61	287.01	297.17	480.04	426.57	136.19	111.99	100.13	87.65	92.7	94.67	117.6	121.79	77.79	139.07	275.28
MTF1	87.65	220.32	158.79	111.99	381.68	115.16	79.45	76.71	115.16	72.01	77.79	226.54	264.03	97.36	116.78	118.43	102.25	45.53	51.35	35.25	13.62	31.22	28.04	39.22	29.06	37.05	17.25	187.71
MUCL1	2216726.5	794671.01	919186.72	828417.36	602247.76	1273174.62	524287.0	1255646.43	900270.11	668235.84	985160.01	294926.33	292889.12	887875.81	677564.08	492579.5	1299926.74	0.0	34.26	0.0	9.2	0.0	0.0	0.0	0.0	1.66	0.0	9635979.21
MYB	283.05	974.5	2555.58	134.3	4152.18	490.14	215.77	251.48	1233.75	688.78	1950.0	802.41	2075.59	567.1	1977.24	842.36	1159.07	2.73	4.78	0.69	0.68	1.83	2.32	1.33	0.38	2.1	1.71	624.99
NBN	346.29	764.36	995.0	607.87	1594.73	872.1	414.87	563.18	703.28	559.28	693.58	1216.75	1331.57	1119.56	974.5	1378.57	642.59	289.02	265.87	156.59	73.54	158.79	206.94	208.38	180.02	193.01	171.45	450.94
NBPF6	7.4	1.38	8.45	0.0	283.05	2.34	9.7	29.91	0.75	2.34	36.27	100.83	36.79	8.71	246.28	3.08	8.38	0.87	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NKAIN1	76.71	23.76	32.36	15.68	1447.15	9.27	68.55	27.64	13.83	36.53	412.0	25.17	551.56	4.98	217.27	72.01	59.55	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78	0.0	81.14
NSL1	366.09	447.82	902.89	536.45	2351.53	567.1	563.18	769.69	825.0	409.15	595.34	753.83	1008.9	575.03	603.67	884.29	718.08	397.93	283.05	299.25	214.27	353.59	414.87	392.44	412.0	384.34	201.25	293.07
NXPE3	202.66	149.12	555.41	93.35	1151.06	120.94	108.14	348.71	260.38	511.0	281.09	500.46	244.57	138.1	329.84	529.06	480.04	37.32	19.97	7.57	13.12	17.64	16.88	21.78	14.35	11.38	8.85	175.07
PHIP	66.18	511.0	316.37	120.94	532.74	255.0	125.24	70.51	217.27	165.57	161.02	769.69	529.06	327.56	432.53	389.72	189.02	47.84	46.84	33.06	9.63	39.79	43.94	40.64	24.28	40.07	14.45	138.1
PKN2	193.01	239.52	460.44	204.07	587.13	346.29	223.41	193.01	295.11	363.56	389.72	854.13	780.44	518.15	587.13	921.88	332.14	147.06	159.9	134.3	65.72	129.69	137.14	138.1	152.28	63.45	82.87	167.9
PPP1R12A	309.83	490.14	503.95	392.44	890.44	703.28	395.18	265.87	483.38	579.04	285.03	1088.92	1250.98	780.44	934.76	866.07	543.96	143.01	119.26	76.71	30.34	78.89	100.13	111.21	117.6	68.07	71.0	332.14
RASSF3	293.07	279.14	483.38	813.63	1183.45	368.65	269.6	500.46	409.15	392.44	318.57	647.07	860.08	583.07	473.41	1216.75	603.67	193.01	175.07	21.63	146.03	57.08	57.89	119.26	50.63	175.07	102.25	89.51
RGS22	2.25	3.53	95.34	0.39	269.6	3.63	5.63	2.12	22.43	22.26	22.59	57.89	96.68	38.4	9.13	93.35	8.51	0.55	0.0	0.0	0.0	0.0	0.6	0.64	0.0	0.0	0.31	18.56
RPRD1A	316.37	343.89	718.08	400.71	1674.06	483.38	289.02	289.02	579.04	366.09	441.64	842.36	616.37	1233.75	1277.29	1159.07	679.29	314.17	320.8	249.73	180.02	279.14	271.48	291.04	267.73	181.28	218.79	579.04
SBSPON	33.06	11.73	95.34	7.22	1104.13	813.63	34.26	78.34	120.1	7.75	9.78	718.08	511.0	120.94	591.22	120.94	595.34	22.92	5.73	7.11	0.97	3.5	3.99	4.24	1.11	4.24	4.39	193.01
SCAF8	244.57	559.28	583.07	287.01	791.35	417.77	281.09	267.73	426.57	514.56	346.29	915.51	718.08	748.61	796.86	934.76	470.14	173.85	163.28	117.6	101.54	131.51	149.12	147.06	141.02	118.43	84.04	336.79
SIN3A	368.65	698.41	896.64	470.14	1167.14	457.25	334.46	260.38	583.07	532.74	536.45	1143.1	1350.18	825.0	961.07	928.3	409.15	234.57	195.72	165.57	122.64	211.31	167.9	198.47	120.1	162.14	256.78	426.57
SLC26A4	5.19	2.66	7.69	16.15	334.46	5.63	5.96	1.13	8.71	15.56	6.31	30.34	95.34	122.64	9.13	20.26	4.28	1.04	1.45	0.0	3.14	0.61	2.27	3.0	2.76	1.99	0.36	48.18
SLC30A9	559.28	616.37	1037.29	612.11	1340.84	718.08	624.99	500.46	825.0	450.94	591.22	1250.98	1151.06	909.17	884.29	1369.04	688.78	341.51	409.15	260.38	223.41	239.52	323.03	289.02	409.15	226.54	392.44	595.34
SLC39A6	1233.75	2400.97	14663.09	1359.57	61999.83	1457.23	928.3	819.3	12076.21	2061.24	10512.82	9409.14	47974.16	1950.0	6294.04	12853.63	33922.56	224.97	201.25	76.17	94.01	126.12	100.83	144.01	129.69	90.77	70.51	529.06
SLC4A7	178.77	246.28	543.96	159.9	2895.31	299.25	115.16	52.82	287.01	115.16	285.03	1073.91	1001.93	320.8	1295.13	1467.37	1088.92	31.9	58.71	19.97	15.8	27.44	15.34	19.11	7.94	8.85	13.12	299.25
SMAD2	684.02	921.88	1331.57	1081.39	1844.76	1417.35	718.08	679.29	1268.46	1286.18	836.53	1467.37	2537.92	1030.12	733.19	2739.08	1286.18	500.46	480.04	209.84	348.71	414.87	384.34	406.31	323.03	420.68	353.59	733.19
SMARCAD1	193.01	209.84	339.14	136.19	507.46	244.57	256.78	191.67	281.09	215.77	150.17	915.51	620.67	334.46	356.05	368.65	214.27	122.64	108.9	94.01	34.26	97.36	94.01	104.42	59.13	68.55	18.43	281.09
SNRNP40	748.61	974.5	1008.9	967.76	2193.99	703.28	769.69	1175.27	974.5	764.36	825.0	928.3	934.76	890.44	1437.15	1551.09	1151.06	435.55	432.53	332.14	255.0	289.02	277.2	392.44	277.2	438.59	139.07	1008.9
ST6GALNAC5	44.25	37.85	145.02	137.14	525.39	201.25	114.36	38.12	92.7	154.42	24.28	124.37	119.26	307.69	234.57	163.28	84.63	2.92	1.46	2.43	0.55	0.59	0.0	2.18	0.0	0.0	0.0	9.06
STXBP3	476.71	547.75	819.3	507.46	1104.13	624.99	497.0	567.1	647.07	738.29	575.03	1277.29	1023.0	591.22	785.88	1437.15	791.35	334.46	361.04	258.57	153.34	358.54	309.83	307.69	217.27	239.52	214.27	503.95
SUDS3	271.48	493.56	532.74	295.11	764.36	559.28	246.28	316.37	500.46	376.41	409.15	775.05	753.83	559.28	607.87	708.18	287.01	198.47	155.5	142.01	120.1	173.85	155.5	151.22	212.78	186.4	128.79	229.72
SYT6	14.56	8.25	5.19	2.86	61.68	3.06	8.38	4.5	2.12	4.17	2.43	13.93	13.12	22.1	3.17	11.73	7.51	1.41	0.0	0.53	0.51	0.0	0.0	0.0	0.0	0.0	0.0	1.22
TATDN3	267.73	221.86	457.25	258.57	988.12	341.51	244.57	346.29	332.14	220.32	339.14	343.89	379.04	248.0	256.78	567.1	279.14	206.94	232.94	154.42	131.51	175.07	182.55	195.72	208.38	129.69	181.28	236.21
THAP1	126.12	217.27	190.34	202.66	295.11	146.03	125.24	116.78	175.07	169.07	87.65	265.87	271.48	181.28	159.9	265.87	267.73	123.5	121.79	113.56	30.12	122.64	124.37	127.0	90.77	103.69	54.33	130.6
TMEM69	693.58	607.87	836.53	406.31	1331.57	612.11	392.44	591.22	698.41	698.41	728.11	974.5	775.05	819.3	591.22	1437.15	718.08	307.69	457.25	229.72	224.97	332.14	277.2	318.57	346.29	289.02	172.65	607.87
TSPYL5	473.41	229.72	563.18	59.55	2701.35	387.02	122.64	764.36	189.02	119.26	128.79	629.35	1143.1	902.89	221.86	220.32	1096.5	33.54	12.74	14.35	19.11	28.04	41.81	31.0	14.35	19.25	5.96	53.95
USP33	476.71	511.0	896.64	595.34	1457.23	624.99	507.46	521.76	551.56	679.29	674.59	1259.69	1081.39	785.88	1001.93	1685.71	718.08	314.17	314.17	226.54	134.3	269.6	234.57	279.14	231.32	293.07	187.71	312.0
UST	43.94	22.26	66.65	43.63	738.29	47.84	63.45	71.5	46.18	113.56	67.12	180.02	303.44	248.0	115.16	157.68	84.63	27.05	32.36	8.0	15.91	10.0	11.21	12.93	19.68	3.38	8.85	91.41
UTRN	242.88	454.09	988.12	384.34	1628.26	660.68	336.79	256.78	599.49	547.75	301.33	1023.0	2485.67	656.11	743.43	1199.98	669.92	169.07	111.99	43.94	53.95	60.82	128.79	144.01	108.9	109.66	66.65	620.67
VAV3	780.44	3349.13	2591.27	669.92	12764.83	1936.53	884.29	830.75	2758.13	2148.82	2956.17	1225.22	2956.17	1037.29	1051.79	2104.58	928.3	30.56	49.91	4.35	13.62	12.0	12.18	21.94	3.96	14.14	7.57	2209.26
ZCCHC17	1037.29	915.51	848.22	785.88	2351.53	703.28	656.11	947.83	769.69	796.86	860.08	890.44	748.61	1151.06	808.0	1437.15	1073.91	312.0	414.87	211.31	149.12	283.05	297.17	251.48	244.57	251.48	267.73	733.19
ZMYM4	277.2	674.59	571.05	297.17	1540.37	511.0	289.02	262.2	529.06	463.65	320.8	988.12	1001.93	595.34	612.11	1135.2	341.51	190.34	127.0	93.35	49.91	117.6	124.37	141.02	97.36	102.97	48.87	176.29
ZNF239	21.63	108.14	189.02	40.64	244.57	183.82	37.32	100.13	314.17	130.6	139.07	346.29	214.27	236.21	258.57	486.75	120.1	12.93	23.08	6.73	4.82	13.12	11.13	8.0	5.06	5.82	0.0	63.89
