	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX
MEIS2	119.26	78.89	82.29	189.02	180.02	36.53	23.42	40.64	127.89	133.36	220.32	224.97	320.8	258.57	139.07	28.65	195.72	33.54	45.85	90.14	100.13	134.3	559.28	251.48	532.74	107.38	297.17	20.26	35.25	178.77	463.65	529.06	35.76	466.88	27.84	229.72	325.29	220.32	22.43	27.84	115.97	23.93	77.25	56.28	231.32	23.08	293.07	34.26	503.95	320.8	153.34	120.1	44.25	215.77	307.69	406.31	50.27	228.13	42.11	25.91	31.22	29.06	31.9	260.38	36.27	71.5	164.42	98.04	84.04	31.45	31.9	63.45	303.44	301.33	32.13	120.94	170.25	525.39	61.68	50.27	31.9	275.28	33.3	31.22	93.35	289.02	46.5	30.78	58.3	28.86	325.29	470.14	28.65	241.19	52.82	229.72	24.63	112.77	420.68	420.68	66.18	181.28	236.21	500.46	24.28	40.64	15.91
MLTK	49.56	52.45	142.01	363.56	358.54	92.05	58.3	127.89	241.19	236.21	366.09	426.57	466.88	366.09	237.86	79.45	318.57	93.35	135.24	197.09	228.13	187.71	703.28	423.61	921.88	190.34	486.75	77.25	121.79	316.37	708.18	890.44	97.36	567.1	114.36	454.09	791.35	356.05	81.14	114.36	253.23	102.25	194.36	127.0	389.72	82.29	693.58	126.12	665.29	728.11	309.83	262.2	121.79	447.82	679.29	884.29	162.14	460.44	150.17	98.73	67.59	113.56	86.43	529.06	100.83	114.36	376.41	176.29	208.38	102.25	117.6	175.07	543.96	607.87	83.45	255.0	325.29	909.17	127.89	126.12	96.01	480.04	86.43	77.79	170.25	363.56	130.6	87.65	126.12	100.83	674.59	775.05	115.16	420.68	126.12	392.44	84.04	246.28	575.03	525.39	189.02	567.1	351.14	738.29	104.42	114.36	63.89
MPDZ	23.25	52.08	52.45	130.6	80.01	33.54	21.01	45.21	88.88	88.26	141.02	127.89	154.42	114.36	82.87	26.47	121.79	30.56	53.19	67.59	70.51	90.14	332.14	164.42	287.01	85.22	191.67	16.15	36.79	140.04	228.13	309.83	36.27	202.66	35.0	208.38	167.9	110.43	34.51	34.51	88.88	23.93	72.01	44.25	176.29	43.32	173.85	32.36	283.05	212.78	134.3	68.07	34.75	149.12	182.55	307.69	73.03	145.02	30.12	41.22	32.82	33.06	19.82	154.42	49.56	49.56	99.43	102.25	62.56	33.3	51.35	51.71	187.71	211.31	41.22	93.35	94.01	258.57	43.63	46.18	35.76	186.4	42.71	34.02	75.64	152.28	74.58	26.47	77.79	28.24	251.48	241.19	32.36	134.3	49.56	164.42	33.3	62.12	182.55	277.2	55.1	151.22	183.82	271.48	38.67	63.0	27.84
MYOCD	10.79	44.25	45.85	152.28	116.78	15.11	12.09	24.63	74.06	71.5	133.36	163.28	146.03	135.24	61.68	12.27	122.64	27.25	25.91	61.68	49.91	67.59	368.65	305.55	406.31	84.04	289.02	7.11	18.29	185.11	283.05	457.25	18.29	384.34	11.64	187.71	277.2	108.14	19.97	18.43	67.59	19.68	52.08	53.57	172.65	13.52	178.77	21.01	318.57	271.48	85.22	81.71	33.54	170.25	198.47	295.11	34.26	217.27	39.22	19.82	23.25	23.08	8.85	158.79	21.94	33.78	94.67	41.22	52.08	13.32	22.92	48.52	176.29	262.2	25.91	52.08	132.44	392.44	27.84	28.45	24.99	293.07	13.22	24.28	52.08	163.28	28.45	11.04	21.78	21.32	373.81	323.03	19.25	157.68	23.25	121.79	19.53	71.5	258.57	201.25	45.85	157.68	105.89	309.83	11.38	31.45	8.51
NCALD	94.67	96.68	124.37	133.36	118.43	50.63	59.97	40.64	129.69	161.02	112.77	163.28	253.23	153.34	130.6	60.39	167.9	77.79	119.26	73.03	84.04	146.03	224.97	172.65	246.28	84.04	281.09	56.28	90.14	140.04	229.72	260.38	52.08	309.83	83.45	129.69	314.17	139.07	84.04	126.12	212.78	112.77	68.55	70.01	264.03	27.25	161.02	50.63	384.34	176.29	264.03	92.7	103.69	131.51	134.3	193.01	68.07	158.79	78.34	50.27	73.03	39.22	59.97	126.12	88.88	74.06	204.07	93.35	90.14	58.3	60.82	78.89	150.17	244.57	72.01	108.14	158.79	309.83	81.14	74.58	84.63	232.94	72.52	91.41	59.55	165.57	70.01	66.18	58.71	98.04	215.77	318.57	39.22	153.34	84.63	273.37	71.0	115.16	241.19	476.71	125.24	187.71	136.19	248.0	89.51	53.19	32.36
NECAB1	1.6	5.06	12.18	21.94	23.08	3.69	4.13	5.11	15.8	20.11	25.72	35.76	41.22	28.04	16.51	5.11	17.0	8.0	6.31	14.03	14.03	20.41	62.56	26.86	64.8	18.16	41.52	3.06	4.78	20.86	52.08	75.64	7.4	40.36	6.67	20.11	48.87	21.78	5.15	2.71	26.86	4.21	8.32	6.21	48.18	4.94	37.85	6.26	62.56	41.52	24.28	11.55	5.11	27.44	37.32	53.95	7.94	29.48	5.41	8.92	3.56	5.02	2.89	27.64	5.23	12.27	20.26	8.38	12.27	2.89	4.98	9.13	29.27	37.05	3.17	16.75	27.84	54.72	7.94	4.62	3.66	42.71	4.06	5.28	14.24	25.91	6.06	4.13	6.89	5.28	39.79	42.41	4.5	32.59	7.17	37.85	5.82	17.51	34.02	37.32	8.06	31.0	29.27	56.28	2.48	7.11	4.98
NFIA	98.73	89.51	108.14	127.0	135.24	82.29	73.54	94.01	124.37	96.68	126.12	157.68	146.03	147.06	116.78	74.58	131.51	82.87	114.36	99.43	107.38	107.38	236.21	123.5	241.19	88.26	152.28	53.19	77.79	110.43	197.09	223.41	81.14	172.65	75.64	183.82	214.27	119.26	78.34	90.77	105.15	78.89	114.36	84.04	143.01	52.45	165.57	81.71	195.72	149.12	121.79	110.43	84.04	161.02	153.34	202.66	93.35	118.43	112.77	91.41	63.89	82.87	88.88	167.9	92.05	78.89	115.97	133.36	116.78	61.68	83.45	85.82	153.34	180.02	90.14	100.13	127.89	251.48	69.03	82.87	90.77	135.24	76.71	96.68	85.22	130.6	98.04	68.55	90.14	81.71	183.82	204.07	82.29	141.02	124.37	130.6	87.03	104.42	177.53	180.02	103.69	142.01	135.24	229.72	89.51	95.34	69.03
NFIC	275.28	325.29	248.0	493.56	575.03	265.87	155.5	279.14	387.02	376.41	497.0	579.04	848.22	420.68	356.05	239.52	397.93	220.32	353.59	435.55	435.55	325.29	921.88	753.83	1359.57	327.56	884.29	136.19	368.65	599.49	1037.29	1286.18	279.14	1030.12	253.23	555.41	1322.37	563.18	239.52	199.85	409.15	237.86	450.94	237.86	909.17	275.28	791.35	336.79	1030.12	941.27	543.96	414.87	248.0	718.08	775.05	1096.5	336.79	723.08	403.5	275.28	182.55	283.05	212.78	674.59	275.28	255.0	543.96	409.15	339.14	232.94	269.6	275.28	728.11	698.41	228.13	406.31	591.22	1551.09	389.72	269.6	248.0	595.34	242.88	183.82	361.04	426.57	253.23	202.66	312.0	232.94	995.0	1135.2	291.04	575.03	409.15	703.28	248.0	237.86	836.53	647.07	371.22	599.49	575.03	1051.79	269.6	312.0	209.84
NKIRAS1	69.52	80.57	54.33	111.99	57.89	39.79	41.22	55.89	68.55	64.34	87.65	93.35	116.78	74.06	61.68	49.21	87.03	54.33	47.84	61.25	69.52	61.25	136.19	96.68	152.28	68.55	115.16	57.08	52.08	92.05	147.06	133.36	45.21	106.63	42.11	111.99	120.94	94.67	63.0	44.57	66.65	63.89	63.45	59.13	82.29	43.63	127.89	68.07	167.9	116.78	74.58	89.51	42.41	88.26	145.02	158.79	71.5	119.26	51.35	70.01	53.57	61.68	44.25	105.15	61.25	53.57	75.11	85.22	93.35	47.5	56.68	65.72	105.89	130.6	48.87	59.97	71.0	135.24	53.19	53.19	41.52	119.26	52.45	52.45	58.3	100.13	66.65	48.87	59.13	37.85	125.24	132.44	68.07	100.13	59.97	117.6	65.72	74.06	112.77	136.19	57.08	102.25	94.01	141.02	64.8	61.25	38.12
NPTXR	6.62	14.45	17.9	50.63	30.78	7.17	6.31	10.88	30.78	29.06	53.57	53.19	100.13	43.63	27.64	3.76	52.82	9.13	17.25	23.59	22.1	40.36	162.14	45.21	140.04	27.84	67.12	4.86	10.55	49.21	99.43	145.02	9.41	136.19	12.64	67.59	125.24	59.13	6.06	8.85	37.32	5.59	15.22	14.67	80.57	6.11	62.12	9.41	143.01	59.55	40.36	25.54	8.25	65.26	69.03	67.59	20.26	59.55	14.78	7.51	10.16	8.51	3.14	51.71	8.51	17.0	34.75	22.1	24.11	6.73	11.55	19.82	57.08	83.45	10.08	21.01	54.33	87.65	15.8	9.34	5.87	74.58	7.0	8.85	14.14	52.45	13.03	7.34	16.63	4.78	94.67	102.25	7.34	64.8	11.64	48.87	7.22	25.91	96.68	123.5	18.29	53.19	62.12	107.38	6.06	10.88	4.06
NRP2	172.65	114.36	113.56	293.07	318.57	53.57	23.25	70.01	209.84	166.73	309.83	363.56	473.41	309.83	204.07	49.91	336.79	35.76	52.82	139.07	134.3	223.41	759.08	656.11	934.76	120.94	500.46	18.7	74.58	287.01	633.73	796.86	85.22	866.07	59.97	312.0	493.56	305.55	73.54	45.85	228.13	52.08	146.03	70.01	429.54	59.97	429.54	81.14	764.36	591.22	186.4	248.0	61.25	466.88	438.59	954.43	85.22	426.57	116.78	51.71	47.84	77.79	39.5	353.59	75.11	105.15	186.4	92.7	127.0	76.71	77.79	129.69	414.87	599.49	53.19	172.65	318.57	642.59	108.14	74.06	86.43	353.59	40.93	75.64	108.14	325.29	62.12	42.41	74.06	29.7	651.58	825.0	57.49	301.33	67.12	295.11	62.56	220.32	808.0	665.29	128.79	285.03	325.29	693.58	96.01	93.35	34.26
NT5C3B	299.25	890.44	371.22	603.67	420.68	441.64	271.48	392.44	688.78	529.06	575.03	624.99	954.43	497.0	460.44	384.34	571.05	507.46	463.65	358.54	406.31	551.56	1242.34	708.18	1143.1	353.59	848.22	291.04	381.68	514.56	947.83	1277.29	341.51	808.0	450.94	819.3	759.08	529.06	285.03	299.25	780.44	303.44	316.37	387.02	780.44	325.29	718.08	392.44	1088.92	866.07	660.68	563.18	248.0	486.75	708.18	995.0	511.0	559.28	277.2	507.46	450.94	332.14	256.78	713.11	387.02	470.14	470.14	555.41	392.44	277.2	457.25	323.03	708.18	866.07	336.79	403.5	473.41	1044.52	305.55	379.04	406.31	728.11	373.81	273.37	353.59	547.75	563.18	371.22	406.31	387.02	723.08	688.78	366.09	660.68	332.14	633.73	316.37	511.0	669.92	1059.11	547.75	669.92	679.29	842.36	275.28	387.02	255.0
OBSL1	161.02	303.44	137.14	244.57	149.12	139.07	44.57	125.24	151.22	387.02	473.41	248.0	450.94	194.36	177.53	98.73	287.01	58.71	137.14	185.11	226.54	229.72	718.08	267.73	728.11	171.45	299.25	59.13	122.64	241.19	665.29	559.28	114.36	376.41	92.05	255.0	329.84	361.04	87.03	87.65	271.48	85.82	87.03	60.39	346.29	82.29	229.72	180.02	529.06	447.82	275.28	273.37	102.25	229.72	239.52	842.36	189.02	289.02	98.73	58.71	112.77	144.01	58.71	293.07	78.34	115.16	217.27	130.6	104.42	84.63	113.56	102.97	267.73	483.38	121.79	202.66	211.31	511.0	126.12	120.1	85.22	373.81	93.35	109.66	113.56	303.44	171.45	165.57	129.69	98.73	490.14	384.34	115.16	426.57	92.05	397.93	115.97	189.02	595.34	629.35	123.5	262.2	423.61	444.72	41.52	96.01	88.88
PCDH7	33.54	44.89	44.57	123.5	96.68	31.0	12.64	31.9	66.65	66.18	144.01	157.68	181.28	128.79	127.0	18.16	72.52	46.84	39.22	49.91	55.89	49.21	244.57	103.69	457.25	50.98	217.27	8.25	47.5	126.12	251.48	353.59	29.91	351.14	28.65	120.94	346.29	99.43	39.22	30.78	76.17	29.91	64.34	37.32	145.02	11.38	204.07	23.08	283.05	217.27	102.97	82.29	39.79	157.68	211.31	325.29	38.4	185.11	32.59	25.54	31.67	31.9	11.55	143.01	38.12	32.36	102.97	67.59	46.5	25.72	35.5	56.28	182.55	198.47	42.71	66.65	141.02	392.44	52.45	49.21	26.47	158.79	20.41	34.75	41.22	149.12	37.59	10.55	33.78	21.16	206.94	351.14	27.44	115.16	29.91	141.02	21.01	66.65	241.19	371.22	26.47	143.01	136.19	376.41	29.06	34.02	10.47
PCDHB10	12.83	10.31	10.63	27.05	21.01	3.0	4.9	5.41	16.75	12.45	14.78	13.62	33.54	13.03	12.09	5.06	18.16	6.57	8.45	6.78	9.13	13.12	30.12	20.26	37.32	11.73	22.92	4.24	6.89	17.25	27.64	49.56	2.32	43.94	6.06	14.78	35.0	18.7	6.84	5.19	7.63	4.43	10.55	8.0	26.28	6.52	22.92	5.77	30.56	25.17	13.62	9.13	8.38	10.16	15.8	16.39	9.27	30.34	11.55	6.06	4.62	7.46	7.94	18.7	10.47	10.24	15.91	15.56	8.51	3.41	6.84	6.78	18.29	30.34	6.46	17.25	23.76	43.32	9.34	9.2	2.97	25.91	6.67	4.82	9.63	19.97	12.0	3.14	6.67	5.68	20.71	28.86	2.14	15.91	9.7	21.63	4.78	17.0	33.06	33.3	12.0	22.92	18.43	23.42	8.19	9.56	2.84
PCDHB16	4.94	6.06	5.77	10.16	9.48	2.58	1.0	2.41	7.75	6.41	7.69	10.47	12.0	7.22	3.11	3.35	6.16	3.63	8.71	5.02	4.62	9.27	19.53	16.51	16.39	4.86	18.16	0.0	3.96	8.71	12.83	26.1	1.75	19.39	3.32	4.28	18.16	9.34	3.47	2.2	6.41	3.29	5.45	4.46	14.89	1.13	7.88	2.66	16.39	10.16	10.24	4.35	4.74	6.41	11.91	6.84	2.61	11.73	8.99	2.36	2.18	4.9	1.62	14.67	2.34	3.44	3.63	6.73	3.23	1.66	3.63	2.05	5.63	22.92	2.48	7.57	11.21	22.59	3.11	4.86	0.31	18.7	3.86	0.91	4.7	13.72	2.03	1.43	6.26	2.73	8.65	20.86	2.76	9.06	4.82	11.13	1.39	7.11	25.91	22.43	4.74	10.71	9.34	12.0	1.69	3.92	0.13
PCDHB5	4.21	6.41	7.4	10.0	17.25	3.56	2.34	2.89	8.13	12.74	11.21	10.47	19.11	15.0	9.27	5.11	10.55	5.19	8.99	4.9	2.2	5.11	22.92	19.82	24.28	6.21	15.11	1.25	3.08	10.55	14.03	31.9	2.23	18.97	2.07	9.06	27.25	15.56	4.17	3.2	4.46	2.29	7.0	5.82	18.43	1.85	8.58	4.74	25.35	9.7	13.32	14.56	8.85	11.82	16.27	8.0	3.56	15.68	7.88	3.11	2.66	5.28	3.99	12.36	3.06	4.9	12.18	5.5	4.43	0.89	6.01	2.78	22.92	19.25	6.26	9.85	20.11	26.28	3.82	6.67	1.73	15.0	4.31	4.13	3.44	18.84	9.7	3.38	3.59	2.97	11.04	17.13	3.79	17.77	3.35	19.82	2.1	8.38	21.94	21.01	6.62	10.63	10.0	16.88	2.16	5.15	1.04
PCDHGA4	0.84	3.38	4.98	7.75	9.13	4.86	2.63	3.66	2.14	4.28	5.23	13.93	15.34	9.48	3.86	2.84	5.63	3.56	4.03	1.97	5.73	5.77	16.39	10.71	15.68	3.11	10.63	3.41	3.14	10.63	17.51	18.03	4.28	17.13	0.72	7.28	21.63	13.72	2.25	0.49	3.79	2.39	2.43	1.41	15.45	1.66	5.96	2.92	14.56	5.82	10.88	9.56	5.32	9.85	8.45	8.38	8.25	8.92	6.16	1.07	2.73	3.82	0.0	12.55	2.41	0.49	14.78	6.36	2.58	2.2	3.03	1.31	7.88	11.73	3.69	7.75	8.51	24.81	3.41	6.57	2.58	18.03	0.97	0.87	4.28	7.63	2.36	3.89	4.31	2.81	8.19	18.97	1.11	14.67	4.94	8.99	1.46	5.59	19.25	15.68	6.26	13.72	14.45	16.15	1.75	2.86	0.57
PCDHGB6	3.92	26.28	12.27	25.17	25.17	4.54	10.47	10.47	25.72	17.77	27.05	23.76	44.25	19.82	11.21	5.11	23.76	13.72	10.08	11.21	10.96	18.84	65.72	30.56	49.91	10.08	30.34	4.86	6.11	43.63	26.86	80.01	12.83	52.82	4.17	36.27	52.45	18.7	4.24	17.38	18.7	8.38	12.0	9.56	40.07	3.47	21.01	10.39	52.82	38.4	29.27	16.63	12.64	40.07	32.13	12.83	6.01	45.53	15.91	6.16	6.46	8.32	5.92	27.84	7.88	9.34	35.25	28.86	10.0	5.92	9.56	7.82	20.71	49.56	15.56	10.08	33.78	64.8	8.99	20.56	6.84	41.81	8.13	10.63	3.96	30.12	14.78	11.21	19.82	7.75	41.81	53.95	7.46	22.92	9.93	14.14	5.02	17.51	46.18	64.8	27.25	34.51	26.1	49.91	10.16	11.82	2.34
PCDHGB7	10.63	40.93	34.75	91.41	59.55	20.11	13.93	18.56	38.12	42.11	65.26	60.39	84.04	60.82	24.28	15.45	44.89	23.93	32.82	31.45	36.01	45.85	125.24	55.49	127.89	33.06	91.41	7.34	21.47	55.1	78.89	178.77	13.03	110.43	14.67	62.12	105.15	56.68	17.77	30.56	45.21	17.9	24.63	14.35	96.68	13.32	73.03	18.84	115.16	80.57	66.18	40.64	25.72	67.59	72.52	74.06	35.0	96.68	59.55	24.28	17.77	17.64	12.55	64.8	21.32	20.86	41.81	65.26	24.46	10.16	20.86	25.17	63.0	92.05	17.0	24.63	53.57	141.02	28.24	32.59	9.06	89.51	16.27	15.8	12.83	80.57	29.27	14.24	28.45	16.63	79.45	108.14	17.51	60.82	19.53	50.98	17.77	38.67	97.36	81.71	34.51	75.64	82.87	80.57	16.88	20.11	11.55
PDZRN3	65.72	251.48	244.57	339.14	392.44	193.01	96.68	135.24	353.59	329.84	373.81	493.56	748.61	457.25	366.09	163.28	371.22	140.04	154.42	195.72	289.02	251.48	1008.9	275.28	1313.23	217.27	567.1	70.51	163.28	279.14	995.0	921.88	163.28	642.59	117.6	642.59	647.07	450.94	155.5	173.85	316.37	151.22	249.73	167.9	476.71	120.94	896.64	150.17	785.88	723.08	351.14	267.73	161.02	470.14	921.88	1268.46	173.85	559.28	186.4	142.01	140.04	147.06	149.12	656.11	141.02	151.22	293.07	212.78	248.0	127.0	138.1	206.94	674.59	753.83	140.04	218.79	412.0	1001.93	215.77	158.79	124.37	397.93	158.79	169.07	215.77	395.18	162.14	115.16	135.24	115.97	753.83	988.12	143.01	551.56	201.25	583.07	157.68	271.48	693.58	723.08	152.28	406.31	595.34	995.0	133.36	169.07	121.79
PGM5	66.65	264.03	543.96	1167.14	1008.9	124.37	102.25	149.12	764.36	571.05	1477.58	1447.15	2335.28	1697.45	693.58	85.82	1119.56	108.14	112.77	361.04	529.06	620.67	3443.31	1111.82	4095.0	575.03	1909.85	63.89	135.24	1151.06	2287.2	3280.18	110.43	2133.97	138.1	1551.09	1487.87	1313.23	101.54	120.94	848.22	115.97	303.44	273.37	1628.26	84.63	2367.9	186.4	3235.01	2720.15	1066.48	769.69	159.9	1111.82	2240.11	3349.13	260.38	1674.06	123.5	114.36	142.01	176.29	69.52	1896.65	126.12	246.28	1081.39	194.36	503.95	105.89	96.01	420.68	2434.5	2627.46	193.01	642.59	1233.75	2367.9	260.38	119.26	98.04	1551.09	105.15	136.19	432.53	1277.29	166.73	59.55	150.17	84.04	2701.35	2591.27	148.09	1437.15	158.79	1674.06	119.26	748.61	2739.08	2193.99	291.04	1594.73	1143.1	3103.19	61.68	194.36	82.29
PHGR1	783730.52	472513.8	269512.87	180294.02	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	253213.41	233003.78	149521.18	338781.54	348306.01	267651.2	355624.68	307450.64	301123.38	271387.49	248002.34	133825.1	174152.51	107948.72	288856.81	175363.84	509950.32	271387.49	262143.0	126606.21	138544.47	320506.81	208544.12	299043.36	234624.45	137587.47	229795.93	253213.41	437825.58	414208.18	311742.51	341137.96	267651.2	228208.61	279017.26	225066.78	301123.38	119776.72	131982.68	226632.25	256748.15	237899.7	198667.0	220434.95	98646.85	290865.98	239554.43	271387.49	249727.34	249727.34	279017.26	313910.86	198667.0	271387.49	338781.54	311742.51	241220.67	218912.29	307450.64	273275.14	256748.15	174152.51	140478.49	284880.02	303217.87	248002.34	148488.36	378516.38	221968.2	253213.41	244588.0	370726.6	239554.43	322736.12	389157.95	273275.14	209994.66	269512.87	400098.69	117311.73	114103.8	290865.98	226632.25	229795.93	184082.4	244588.0	419990.32	135693.24	81244.48	223512.12	249727.34	253213.41	134755.94	263966.36	288856.81	294926.33
PHYHD1	70.01	132.44	153.34	108.9	155.5	133.36	41.52	94.67	129.69	223.41	166.73	175.07	363.56	113.56	144.01	76.71	148.09	61.68	173.85	94.67	201.25	104.42	460.44	194.36	426.57	135.24	208.38	40.36	51.71	248.0	426.57	329.84	131.51	169.07	68.07	68.07	262.2	229.72	60.82	49.56	249.73	44.57	60.82	39.22	271.48	113.56	226.54	100.13	291.04	269.6	312.0	150.17	86.43	140.04	172.65	366.09	99.43	237.86	44.57	60.82	73.03	95.34	61.68	277.2	59.97	76.71	195.72	94.01	64.34	60.82	138.1	81.14	242.88	283.05	85.82	165.57	198.47	373.81	67.59	66.65	134.3	218.79	86.43	67.12	91.41	237.86	87.65	124.37	146.03	82.87	264.03	368.65	104.42	283.05	94.67	255.0	114.36	98.73	299.25	312.0	102.97	198.47	262.2	356.05	44.25	90.14	82.87
PINLYP	12.83	73.54	56.28	83.45	62.12	23.59	42.41	53.19	108.9	95.34	82.29	85.22	98.04	99.43	57.08	21.94	125.24	23.25	47.17	67.59	45.53	83.45	218.79	95.34	130.6	43.02	111.99	13.42	28.65	88.88	149.12	126.12	28.04	81.71	28.65	83.45	149.12	115.97	40.07	36.79	116.78	30.56	36.79	38.95	128.79	31.9	65.72	36.79	187.71	81.71	140.04	60.39	22.59	108.14	84.04	173.85	56.68	78.89	39.79	33.78	36.27	38.12	19.25	96.01	50.63	36.27	47.17	79.45	55.89	22.75	43.63	28.24	96.68	124.37	37.32	83.45	41.81	132.44	27.64	35.25	19.39	118.43	37.05	21.78	31.9	88.26	60.82	30.78	53.57	49.21	118.43	134.3	25.35	83.45	23.08	95.34	17.77	44.89	105.15	226.54	45.53	130.6	118.43	149.12	51.35	34.51	36.53
PKD1	493.56	860.08	813.63	947.83	780.44	575.03	457.25	660.68	947.83	909.17	995.0	1111.82	1199.98	866.07	890.44	450.94	1268.46	493.56	708.18	753.83	884.29	753.83	2004.85	1030.12	1709.26	708.18	1923.14	414.87	591.22	1096.5	1832.01	1572.76	486.75	1561.89	603.67	1208.34	1427.22	1119.56	507.46	743.43	830.75	406.31	555.41	543.96	1529.73	679.29	915.51	616.37	1674.06	1697.45	1467.37	836.53	624.99	1407.55	1183.45	1721.16	688.78	988.12	476.71	454.09	591.22	500.46	503.95	1151.06	748.61	775.05	1030.12	669.92	866.07	521.76	624.99	728.11	1111.82	1216.75	759.08	896.64	1073.91	1242.34	616.37	603.67	785.88	1508.65	497.0	660.68	780.44	1175.27	595.34	656.11	679.29	525.39	1304.15	1127.35	733.19	1167.14	660.68	1242.34	525.39	684.02	1331.57	1781.89	796.86	1183.45	1417.35	1745.2	503.95	733.19	368.65
