	TCGA.EW.A1IY.01A.11R.A13Q.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.R55C.0526.SM.3GIKA	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.WFON.0426.SM.3GIL4	GTEX.OHPL.0526.SM.3NM8U	GTEX.13N2G.0826.SM.5IJE6	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.PW2O.0526.SM.2I3DX	GTEX.11LCK.0426.SM.5A5M8
CCT8	4268.94	2193.99	2163.77	2485.67	1561.89	1896.65	2209.26	1572.76	3257.52	3443.31	2287.2	2935.74	2090.03	3690.52	1991.0	2104.58	3955.48	2004.85	3235.01	2816.11	1662.49	1477.58	1896.65	1639.59	2997.45	4450.27	1950.0	2976.74
CEP63	384.34	253.23	406.31	283.05	295.11	215.77	409.15	158.79	406.31	521.76	353.59	249.73	297.17	414.87	460.44	134.3	595.34	71.0	336.79	414.87	406.31	239.52	318.57	336.79	435.55	603.67	237.86	457.25
CHAC2	138.1	84.04	37.05	90.14	32.36	21.94	78.34	53.95	154.42	131.51	82.87	129.69	72.52	120.94	102.97	12.27	150.17	11.91	135.24	78.34	24.81	45.85	53.95	38.12	159.9	148.09	63.0	95.34
CLTC	5594.3	3467.27	2573.36	4512.4	2075.59	2224.63	1977.24	2537.92	4239.45	6037.61	3540.14	3372.43	2400.97	4972.34	2537.92	1794.29	5913.33	1259.69	4038.61	3235.01	1857.6	1832.01	1369.04	1733.13	4239.45	8134.41	2468.49	3325.99
COMMD8	813.63	301.33	376.41	567.1	297.17	140.04	547.75	289.02	693.58	733.19	518.15	406.31	363.56	703.28	511.0	124.37	723.08	64.34	607.87	555.41	187.71	323.03	285.03	267.73	665.29	733.19	301.33	525.39
CWC27	638.15	253.23	371.22	441.64	264.03	164.42	397.93	229.72	334.46	423.61	441.64	409.15	224.97	466.88	348.71	123.5	607.87	85.82	361.04	371.22	265.87	332.14	199.85	343.89	361.04	559.28	262.2	447.82
DDX1	2133.97	1639.59	1167.14	1551.09	1037.29	1135.2	1331.57	1104.13	1844.76	2209.26	1437.15	1561.89	1008.9	2224.63	1487.87	368.65	1794.29	287.01	1963.57	1583.71	651.58	1008.9	1008.9	1051.79	1870.53	2032.85	1199.98	1594.73
DLAT	796.86	429.54	463.65	525.39	480.04	275.28	423.61	438.59	595.34	769.69	406.31	480.04	387.02	684.02	518.15	177.53	748.61	77.79	629.35	555.41	255.0	368.65	373.81	348.71	775.05	624.99	414.87	571.05
DLD	1794.29	1183.45	1304.15	1378.57	1066.48	674.59	1208.34	1268.46	1651.0	2271.4	1268.46	1498.22	1313.23	1769.57	1183.45	497.0	1757.34	583.07	2119.22	1561.89	684.02	878.17	878.17	791.35	1572.76	2271.4	1066.48	1417.35
DNAJC8	2303.12	1991.0	2502.97	3190.46	1427.22	1605.83	2855.44	1721.16	3168.41	3212.66	2468.49	3325.99	1896.65	3419.52	2895.31	1331.57	5112.16	1605.83	3190.46	2915.45	1540.37	1781.89	2133.97	1639.59	2163.77	4095.0	1605.83	2537.92
DNAL1	733.19	175.07	112.77	177.53	211.31	119.26	275.28	159.9	175.07	201.25	189.02	146.03	89.51	239.52	202.66	172.65	392.44	89.51	329.84	212.78	202.66	170.25	99.43	93.35	217.27	323.03	95.34	166.73
EARS2	647.07	307.69	231.32	303.44	271.48	202.66	251.48	197.09	412.0	470.14	339.14	493.56	215.77	305.55	277.2	75.64	441.64	60.39	299.25	334.46	214.27	204.07	191.67	183.82	373.81	490.14	253.23	392.44
ECHDC1	599.49	2609.3	2351.53	2739.08	1427.22	1286.18	2664.15	1477.58	3124.78	3467.27	1923.14	2573.36	2032.85	3257.52	2468.49	656.11	3372.43	409.15	4010.71	1857.6	2451.44	1407.55	2417.67	1304.15	2384.37	3847.29	1295.13	3257.52
EIF2A	2758.13	1572.76	2351.53	2303.12	1388.16	1977.24	1674.06	1059.11	3564.78	3491.39	1216.75	3212.66	1540.37	3257.52	2303.12	656.11	4512.4	718.08	3146.52	2032.85	1167.14	1844.76	2434.5	1832.01	2240.11	5041.77	1378.57	2335.28
EMG1	1037.29	836.53	808.0	1369.04	651.58	607.87	1286.18	941.27	1457.23	1268.46	1015.93	1733.13	961.07	825.0	967.76	500.46	2018.8	507.46	1457.23	1088.92	669.92	753.83	624.99	748.61	1397.83	2148.82	733.19	1407.55
ENOPH1	890.44	454.09	607.87	878.17	417.77	444.72	633.73	343.89	878.17	1023.0	603.67	866.07	457.25	909.17	718.08	239.52	1268.46	226.54	890.44	836.53	395.18	457.25	417.77	417.77	1015.93	1151.06	343.89	842.36
ERGIC2	3874.05	836.53	679.29	1529.73	718.08	791.35	1167.14	559.28	2018.8	2720.15	1088.92	1508.65	1059.11	2351.53	1427.22	669.92	2758.13	409.15	2004.85	1551.09	728.11	518.15	674.59	392.44	1662.49	2739.08	941.27	1417.35
ERP44	941.27	444.72	551.56	616.37	417.77	525.39	511.0	447.82	796.86	860.08	718.08	642.59	525.39	796.86	587.13	483.38	915.51	483.38	796.86	791.35	563.18	417.77	497.0	457.25	555.41	1073.91	351.14	759.08
FAM103A1	698.41	503.95	356.05	438.59	403.5	466.88	473.41	412.0	612.11	567.1	483.38	521.76	371.22	507.46	547.75	113.56	629.35	158.79	620.67	529.06	246.28	392.44	532.74	244.57	603.67	703.28	371.22	543.96
FAM120A	2777.33	1397.83	1369.04	1594.73	1143.1	708.18	1561.89	1159.07	1561.89	1991.0	1350.18	1794.29	1159.07	1936.53	1487.87	928.3	2573.36	420.68	1487.87	1991.0	1216.75	1250.98	1250.98	813.63	2061.24	2417.67	1225.22	1896.65
FAM136A	769.69	389.72	392.44	547.75	339.14	323.03	529.06	444.72	651.58	713.11	543.96	551.56	466.88	642.59	497.0	152.28	753.83	135.24	595.34	638.15	277.2	463.65	521.76	384.34	753.83	738.29	435.55	559.28
FAM35A	753.83	432.53	265.87	395.18	297.17	466.88	379.04	297.17	583.07	688.78	397.93	444.72	275.28	660.68	432.53	147.06	808.0	95.34	651.58	490.14	217.27	325.29	262.2	301.33	387.02	1037.29	307.69	466.88
FAM86C1	166.73	104.42	92.05	127.0	88.26	78.34	96.68	75.11	113.56	112.77	135.24	129.69	92.05	102.97	129.69	23.76	198.47	18.7	94.01	127.0	63.0	112.77	61.25	72.01	158.79	183.82	86.43	115.16
FCF1	1487.87	780.44	872.1	866.07	595.34	624.99	896.64	599.49	796.86	1322.37	967.76	981.29	555.41	1001.93	974.5	224.97	1388.16	118.43	1037.29	796.86	551.56	775.05	780.44	503.95	825.0	1151.06	638.15	1143.1
FH	2627.46	954.43	1008.9	1540.37	808.0	493.56	967.76	866.07	1259.69	1457.23	1233.75	1477.58	961.07	1225.22	1030.12	283.05	1617.0	318.57	1477.58	1167.14	808.0	733.19	723.08	684.02	1639.59	1709.26	915.51	1350.18
FKBP14	521.76	90.77	91.41	105.15	84.63	211.31	70.51	105.15	146.03	297.17	166.73	155.5	94.67	140.04	96.01	66.18	320.8	46.84	157.68	256.78	71.5	62.56	59.55	73.54	316.37	275.28	100.83	265.87
FKTN	381.68	92.05	96.01	87.03	86.43	75.11	63.89	82.29	109.66	180.02	89.51	116.78	84.04	107.38	90.14	19.97	186.4	10.63	134.3	119.26	64.8	94.67	79.45	75.11	99.43	164.42	74.58	108.9
GCSH	579.04	256.78	327.56	493.56	177.53	265.87	242.88	251.48	665.29	866.07	507.46	616.37	384.34	460.44	414.87	60.39	543.96	136.19	629.35	703.28	275.28	387.02	293.07	329.84	1111.82	995.0	251.48	813.63
GDI2	6652.97	3820.7	3540.14	3874.05	2178.83	1594.73	3257.52	2645.74	4450.27	5479.15	3303.0	4450.27	3372.43	5403.7	3564.78	1529.73	5791.62	1447.15	4419.52	4903.87	2193.99	2758.13	3018.3	1844.76	3982.99	5403.7	3103.19	4543.8
GPX8	2573.36	39.79	126.12	156.59	82.29	50.63	130.6	71.5	325.29	500.46	198.47	167.9	258.57	228.13	70.51	92.7	432.53	30.12	264.03	486.75	150.17	70.51	100.83	74.58	567.1	551.56	161.02	318.57
GTF2F2	753.83	353.59	460.44	563.18	371.22	208.38	414.87	255.0	470.14	669.92	466.88	684.02	318.57	603.67	420.68	183.82	698.41	231.32	703.28	599.49	309.83	287.01	351.14	444.72	607.87	909.17	406.31	708.18
GTF2H3	785.88	423.61	327.56	353.59	244.57	205.5	334.46	309.83	473.41	547.75	444.72	368.65	314.17	493.56	368.65	68.07	607.87	64.34	438.59	450.94	202.66	379.04	323.03	255.0	470.14	543.96	346.29	470.14
GTF3C6	2351.53	1322.37	1059.11	1498.22	802.41	780.44	1250.98	1119.56	1781.89	2075.59	1427.22	1605.83	1037.29	2004.85	1407.55	348.71	1832.01	297.17	1709.26	1781.89	688.78	1277.29	854.13	854.13	2287.2	1977.24	1030.12	1551.09
HDAC2	2502.97	1088.92	1044.52	1407.55	674.59	708.18	1378.57	854.13	1551.09	1477.58	1015.93	1733.13	698.41	2133.97	1119.56	854.13	2720.15	447.82	2664.15	1709.26	780.44	688.78	738.29	620.67	1639.59	2271.4	1233.75	1844.76
IMMT	1745.2	1059.11	1059.11	1304.15	941.27	616.37	967.76	1135.2	1268.46	2090.03	1104.13	1437.15	1159.07	1369.04	1008.9	389.72	1721.16	684.02	1369.04	1286.18	507.46	967.76	825.0	733.19	1529.73	1508.65	1111.82	1088.92
ISOC1	921.88	567.1	426.57	679.29	583.07	201.25	733.19	395.18	679.29	684.02	848.22	476.71	432.53	819.3	819.3	265.87	974.5	189.02	947.83	529.06	450.94	381.68	547.75	454.09	703.28	813.63	497.0	679.29
KDELC2	688.78	173.85	353.59	400.71	351.14	351.14	242.88	320.8	441.64	733.19	329.84	236.21	486.75	547.75	316.37	246.28	854.13	149.12	669.92	620.67	301.33	167.9	241.19	154.42	612.11	808.0	215.77	334.46
KDELR2	8658.09	2178.83	1909.85	2739.08	1651.0	2895.31	1857.6	1685.71	3235.01	4450.27	2915.45	2895.31	1639.59	3515.68	2502.97	1806.78	4010.71	1628.26	2384.37	3540.14	1628.26	1733.13	1350.18	1923.14	3060.45	3928.15	1407.55	3564.78
LYRM2	1044.52	738.29	738.29	638.15	540.19	371.22	647.07	642.59	1023.0	1059.11	708.18	808.0	775.05	1151.06	872.1	204.07	1044.52	140.04	884.29	791.35	466.88	587.13	713.11	476.71	854.13	1340.84	493.56	921.88
MAGOHB	813.63	395.18	329.84	483.38	189.02	199.85	389.72	239.52	607.87	1023.0	587.13	497.0	279.14	518.15	466.88	105.89	629.35	125.24	629.35	536.45	190.34	273.37	242.88	271.48	603.67	638.15	332.14	555.41
MBLAC2	116.78	42.41	51.71	61.68	56.68	23.42	67.12	37.85	68.07	90.77	80.01	65.72	51.35	57.89	66.18	10.71	111.99	10.47	69.52	90.77	63.45	35.25	56.68	27.44	81.14	92.7	54.72	83.45
METTL5	1844.76	603.67	836.53	1233.75	723.08	476.71	836.53	728.11	1088.92	1605.83	981.29	934.76	764.36	1757.34	928.3	277.2	1551.09	151.22	1225.22	915.51	620.67	764.36	813.63	915.51	1051.79	1498.22	624.99	902.89
MICU2	1457.23	878.17	642.59	928.3	480.04	567.1	780.44	579.04	1242.34	1819.35	974.5	981.29	660.68	1268.46	825.0	414.87	1397.83	258.57	1540.37	890.44	607.87	540.19	642.59	529.06	802.41	1769.57	830.75	848.22
MRPL15	1617.0	934.76	796.86	1350.18	612.11	466.88	819.3	780.44	1457.23	1388.16	1001.93	1340.84	796.86	1322.37	1104.13	164.42	1369.04	206.94	1674.06	1233.75	358.54	698.41	703.28	486.75	1467.37	1583.71	684.02	1183.45
MRPS30	4095.0	307.69	299.25	532.74	289.02	346.29	438.59	289.02	854.13	688.78	540.19	591.22	366.09	583.07	536.45	221.86	842.36	122.64	688.78	656.11	283.05	346.29	638.15	275.28	723.08	860.08	400.71	791.35
MRPS35	1685.71	1066.48	802.41	1135.2	603.67	753.83	928.3	708.18	1295.13	1437.15	995.0	1313.23	775.05	1331.57	995.0	224.97	1583.71	127.0	1216.75	1111.82	457.25	860.08	764.36	603.67	1417.35	1721.16	769.69	1295.13
NDUFS1	1457.23	836.53	974.5	1059.11	842.36	703.28	620.67	769.69	884.29	1225.22	759.08	995.0	884.29	1111.82	878.17	341.51	1183.45	279.14	1277.29	830.75	665.29	583.07	708.18	480.04	1457.23	1359.57	796.86	1030.12
NOL11	1066.48	497.0	275.28	536.45	327.56	651.58	612.11	417.77	703.28	669.92	647.07	753.83	371.22	693.58	441.64	175.07	902.89	218.79	769.69	629.35	217.27	414.87	688.78	353.59	571.05	813.63	532.74	684.02
NSF	1044.52	616.37	521.76	483.38	466.88	293.07	497.0	409.15	587.13	819.3	656.11	599.49	417.77	656.11	555.41	145.02	775.05	128.79	563.18	660.68	277.2	392.44	291.04	299.25	703.28	791.35	540.19	733.19
NUCB2	10733.74	1127.35	947.83	2178.83	872.1	974.5	1909.85	1397.83	3742.05	3039.3	2777.33	1844.76	1437.15	3303.0	1143.1	1388.16	4450.27	738.29	1936.53	3212.66	1639.59	1001.93	1051.79	1551.09	2434.5	4972.34	656.11	3168.41
NUP37	656.11	320.8	371.22	450.94	323.03	182.55	417.77	358.54	525.39	607.87	497.0	438.59	348.71	555.41	379.04	103.69	579.04	44.57	620.67	480.04	262.2	325.29	376.41	262.2	511.0	583.07	368.65	438.59
OCIAD1	7331.05	3212.66	3235.01	4239.45	2816.11	2240.11	3443.31	2209.26	4903.87	6935.54	3820.7	3491.39	3168.41	5711.87	3515.68	1104.13	5329.3	473.41	5555.65	4210.15	1963.57	2133.97	3124.78	2591.27	5517.27	7589.61	2384.37	4123.49
OCRL	392.44	332.14	249.73	320.8	260.38	231.32	265.87	218.79	348.71	616.37	299.25	323.03	332.14	389.72	273.37	143.01	518.15	68.07	463.65	334.46	341.51	265.87	258.57	163.28	441.64	503.95	299.25	400.71
OSTC	5872.48	1487.87	1551.09	2485.67	1111.82	1331.57	1733.13	1037.29	3614.55	4450.27	2485.67	2335.28	1721.16	3820.7	1697.45	728.11	3665.02	656.11	2956.17	3820.7	1135.2	1225.22	1397.83	1397.83	4358.66	4937.99	1322.37	2682.69
PAIP1	4066.71	1096.5	1183.45	2485.67	1135.2	1685.71	1477.58	1111.82	2645.74	2384.37	1477.58	1529.73	1250.98	2758.13	2090.03	379.04	3168.41	426.57	2627.46	1806.78	1008.9	1151.06	1259.69	981.29	2178.83	3467.27	836.53	1674.06
PDHX	764.36	480.04	395.18	486.75	470.14	301.33	420.68	334.46	450.94	674.59	473.41	575.03	470.14	656.11	438.59	169.07	733.19	122.64	571.05	395.18	444.72	285.03	470.14	412.0	620.67	620.67	371.22	579.04
PIGX	785.88	318.57	239.52	511.0	140.04	129.69	368.65	182.55	339.14	878.17	325.29	256.78	361.04	264.03	343.89	77.79	967.76	15.0	371.22	503.95	154.42	120.1	175.07	239.52	791.35	708.18	297.17	483.38
POLR3F	293.07	133.36	151.22	163.28	126.12	237.86	157.68	162.14	273.37	309.83	187.71	199.85	156.59	183.82	226.54	74.06	269.6	43.94	217.27	197.09	95.34	145.02	140.04	87.65	267.73	301.33	131.51	202.66
PPIL1	915.51	450.94	206.94	536.45	260.38	176.29	426.57	309.83	642.59	603.67	559.28	703.28	251.48	500.46	392.44	187.71	878.17	209.84	429.54	490.14	141.02	336.79	214.27	187.71	575.03	825.0	264.03	466.88
PPIP5K2	1378.57	432.53	384.34	444.72	305.55	255.0	493.56	273.37	503.95	780.44	454.09	392.44	420.68	563.18	414.87	106.63	723.08	69.03	536.45	536.45	264.03	403.5	447.82	258.57	521.76	651.58	358.54	567.1
PRDX4	3124.78	1572.76	1447.15	2319.15	1023.0	1225.22	1447.15	1350.18	3395.89	3614.55	3372.43	2351.53	1923.14	2384.37	1519.15	915.51	3039.3	791.35	2720.15	3491.39	1233.75	1561.89	1561.89	1388.16	3768.09	4736.79	1199.98	2555.58
PRKRA	1685.71	738.29	583.07	995.0	769.69	743.43	769.69	651.58	1745.2	1457.23	842.36	974.5	660.68	1331.57	848.22	409.15	1819.35	514.56	1437.15	1059.11	723.08	836.53	1044.52	842.36	1208.34	2255.7	620.67	890.44
PRRC1	2367.9	624.99	503.95	748.61	587.13	473.41	591.22	432.53	684.02	1127.35	775.05	743.43	473.41	830.75	629.35	265.87	1073.91	134.3	713.11	1001.93	693.58	389.72	521.76	426.57	896.64	1135.2	571.05	1030.12
PSMA5	4239.45	1794.29	1896.65	3081.75	1378.57	753.83	2319.15	2061.24	2555.58	3303.0	2609.3	3564.78	1950.0	3018.3	2061.24	1467.37	2796.65	1819.35	2664.15	3257.52	1594.73	1594.73	1605.83	1304.15	2835.7	3190.46	1529.73	2682.69
PSMC2	1697.45	1950.0	1340.84	2224.63	1081.39	1977.24	1617.0	1617.0	2193.99	3325.99	2119.22	2701.35	1304.15	2240.11	1883.54	902.89	2417.67	915.51	2319.15	2573.36	1295.13	1437.15	1259.69	1111.82	2351.53	2855.44	1119.56	2367.9
PSMD10	1583.71	842.36	1037.29	1417.35	688.78	476.71	1037.29	595.34	1208.34	1745.2	1295.13	884.29	819.3	1417.35	1030.12	503.95	1819.35	256.78	1883.54	1250.98	1073.91	551.56	836.53	629.35	1030.12	1896.65	848.22	1259.69
PSMD14	1733.13	995.0	703.28	1208.34	518.15	819.3	713.11	679.29	1104.13	1388.16	995.0	1331.57	713.11	1044.52	884.29	265.87	1529.73	318.57	1096.5	1208.34	543.96	638.15	444.72	493.56	1417.35	1540.37	551.56	1183.45
PTPLAD1	3716.2	1242.34	1350.18	1127.35	1233.75	547.75	1127.35	1023.0	1208.34	1447.15	1331.57	1143.1	1208.34	1508.65	1259.69	551.56	1529.73	166.73	1340.84	1191.69	1037.29	947.83	934.76	1044.52	1350.18	1769.57	1268.46	1051.79
RPP40	412.0	106.63	54.33	136.19	48.87	42.71	108.9	65.26	195.72	114.36	116.78	143.01	59.13	117.6	83.45	26.1	185.11	32.82	115.97	194.36	27.25	55.49	65.26	97.36	221.86	215.77	64.8	137.14
SCP2	5555.65	3540.14	4298.64	4388.98	3039.3	2303.12	3690.52	2502.97	7180.15	11189.6	5183.54	4328.55	4066.71	6426.31	4769.75	1295.13	6745.86	884.29	5147.73	5633.22	2935.74	2935.74	2555.58	2835.7	5672.41	11664.82	3716.2	5041.77
SDAD1	1037.29	447.82	346.29	490.14	287.01	373.81	460.44	332.14	698.41	612.11	463.65	708.18	400.71	607.87	567.1	164.42	928.3	189.02	624.99	624.99	264.03	353.59	447.82	253.23	567.1	830.75	273.37	633.73
SEC22A	603.67	412.0	287.01	624.99	295.11	356.05	392.44	190.34	638.15	802.41	579.04	336.79	299.25	435.55	432.53	145.02	583.07	107.38	493.56	457.25	197.09	409.15	277.2	312.0	796.86	669.92	429.54	395.18
SEC23A	1175.27	435.55	470.14	638.15	559.28	435.55	297.17	314.17	460.44	1023.0	305.55	490.14	693.58	1044.52	497.0	476.71	1216.75	109.66	638.15	769.69	483.38	363.56	351.14	204.07	1044.52	1119.56	463.65	603.67
SEC24D	3103.19	595.34	343.89	591.22	279.14	660.68	395.18	260.38	633.73	1119.56	532.74	728.11	395.18	738.29	395.18	624.99	1268.46	599.49	567.1	866.07	555.41	251.48	420.68	387.02	743.43	1199.98	406.31	775.05
SEC31A	6516.03	3564.78	2193.99	3395.89	2224.63	2287.2	1832.01	1870.53	3614.55	5594.3	3212.66	2090.03	1769.57	4298.64	2319.15	2090.03	5329.3	1127.35	3665.02	3303.0	2133.97	1936.53	1757.34	2434.5	3515.68	7642.41	2384.37	3060.45
SEC61G	8778.97	3540.14	2090.03	6121.9	1757.34	3901.01	3443.31	1709.26	6792.79	7589.61	6164.49	6037.61	2335.28	5329.3	3794.3	1950.0	6207.38	4388.98	5995.9	7537.18	2485.67	2255.7	3257.52	3564.78	9606.86	7642.41	1605.83	5517.27
SFTPA1	0.4	5809569.18	4987895.16	1703415.74	4495342.72	3028138.0	4252853.3	2636147.11	3245478.02	1472666.19	3576208.94	2097151.0	3406832.48	1432396.03	4252853.3	15715.58	1432396.03	5403.7	1788103.97	887875.81	3806410.22	3832885.91	3968052.37	2082664.91	1578364.61	2710259.32	4558095.38	1171559.48
SKP1	21919.61	8134.41	10585.95	13399.51	6121.9	6607.01	8658.09	6607.01	17317.18	24490.61	14361.31	9409.14	7382.04	18689.27	10154.69	7642.41	15075.35	10440.2	21026.65	13306.94	10014.87	7966.99	7695.57	7857.29	10014.87	30999.42	4671.57	8363.13
SLC39A9	2018.8	896.64	860.08	928.3	890.44	521.76	693.58	796.86	988.12	1250.98	1037.29	743.43	728.11	1127.35	796.86	297.17	1001.93	237.86	1008.9	921.88	555.41	651.58	723.08	579.04	819.3	1159.07	796.86	775.05
SNRPE	9025.81	1909.85	1519.15	2835.7	753.83	2193.99	1769.57	1216.75	2090.03	2555.58	2758.13	3665.02	1487.87	2935.74	1639.59	684.02	2997.45	967.76	3168.41	3039.3	1388.16	1685.71	1896.65	1529.73	3794.3	4010.71	1457.23	2682.69
SPG21	3303.0	2384.37	2224.63	2976.74	1757.34	1572.76	2627.46	1963.57	3257.52	2895.31	2502.97	2287.2	2417.67	2468.49	2468.49	1561.89	3491.39	1233.75	3190.46	2520.38	2224.63	2148.82	1923.14	2032.85	2645.74	3103.19	2319.15	2609.3
SRBD1	429.54	212.78	255.0	228.13	215.77	47.84	218.79	234.57	229.72	346.29	236.21	248.0	170.25	249.73	241.19	86.43	366.09	73.03	358.54	303.44	140.04	177.53	121.79	171.45	253.23	341.51	253.23	283.05
SRP19	2855.44	1417.35	1001.93	1781.89	764.36	1286.18	1781.89	866.07	2468.49	1757.34	1498.22	2351.53	1066.48	1806.78	1832.01	1104.13	2119.22	764.36	1498.22	1662.49	915.51	1369.04	1277.29	896.64	2133.97	2485.67	995.0	2032.85
