	TCGA.KM.8639.01A.11R.2403.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.UZ.A9PR.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.2Z.A9JS.01A.21R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.ZTPG.1426.SM.51MT3	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR
DMTF1	279.14	356.05	928.3	642.59	511.0	265.87	2004.85	819.3	273.37	309.83	529.06	318.57	2287.2	1709.26	733.19	229.72	301.33	1340.84	660.68	616.37	412.0	429.54	616.37	297.17	1208.34	1044.52	575.03	1806.78	2032.85	361.04	2061.24	1794.29	228.13	409.15	2032.85	395.18	165.57	287.01	170.25	214.27	121.79	432.53	133.36	42.11	264.03	108.14	49.56	93.35
DYRK1A	728.11	351.14	497.0	583.07	346.29	185.11	688.78	320.8	599.49	346.29	339.14	368.65	540.19	713.11	441.64	275.28	356.05	371.22	444.72	476.71	587.13	642.59	206.94	242.88	563.18	769.69	341.51	579.04	603.67	521.76	473.41	674.59	267.73	341.51	480.04	529.06	175.07	211.31	143.01	208.38	145.02	215.77	181.28	234.57	305.55	177.53	120.94	291.04
FAM133B	351.14	303.44	281.09	293.07	358.54	327.56	688.78	366.09	518.15	229.72	287.01	206.94	669.92	420.68	435.55	232.94	287.01	579.04	450.94	299.25	295.11	271.48	277.2	231.32	406.31	363.56	299.25	486.75	473.41	316.37	785.88	1721.16	164.42	285.03	567.1	236.21	173.85	244.57	171.45	236.21	198.47	285.03	206.94	186.4	285.03	182.55	81.71	120.1
FAM200A	136.19	173.85	108.14	145.02	185.11	95.34	297.17	161.02	92.05	151.22	162.14	136.19	285.03	239.52	176.29	131.51	115.16	223.41	186.4	164.42	78.34	155.5	111.99	113.56	206.94	181.28	98.73	256.78	189.02	129.69	273.37	312.0	80.57	116.78	281.09	72.52	70.01	60.82	27.05	30.12	43.02	48.18	44.89	16.51	41.52	28.24	34.02	40.93
FAR1	244.57	226.54	343.89	295.11	379.04	205.5	743.43	389.72	60.39	185.11	248.0	166.73	438.59	450.94	381.68	218.79	295.11	363.56	532.74	400.71	217.27	406.31	348.71	198.47	420.68	483.38	305.55	470.14	420.68	242.88	435.55	651.58	182.55	262.2	334.46	241.19	100.13	45.85	20.41	33.06	18.16	90.77	31.0	80.01	171.45	17.64	4.39	12.45
GATAD1	389.72	567.1	848.22	414.87	607.87	460.44	1183.45	775.05	325.29	497.0	1008.9	395.18	1583.71	1008.9	796.86	525.39	490.14	1259.69	836.53	909.17	332.14	500.46	473.41	525.39	974.5	684.02	921.88	1225.22	1096.5	480.04	2032.85	4210.15	291.04	575.03	1388.16	603.67	518.15	256.78	201.25	267.73	199.85	265.87	187.71	108.14	236.21	244.57	239.52	358.54
HCFC1	780.44	575.03	503.95	688.78	518.15	441.64	698.41	571.05	633.73	403.5	620.67	497.0	665.29	624.99	733.19	490.14	529.06	651.58	563.18	769.69	612.11	764.36	559.28	447.82	713.11	866.07	540.19	656.11	642.59	567.1	620.67	941.27	503.95	454.09	674.59	518.15	363.56	327.56	363.56	389.72	358.54	341.51	220.32	271.48	320.8	208.38	98.73	201.25
HGSNAT	872.1	878.17	1159.07	1023.0	941.27	1081.39	1340.84	915.51	1088.92	836.53	796.86	941.27	1208.34	1313.23	1407.55	1286.18	1216.75	1119.56	921.88	878.17	1088.92	1059.11	921.88	669.92	1313.23	1233.75	563.18	1369.04	1313.23	713.11	1397.83	1191.69	733.19	866.07	1183.45	854.13	320.8	432.53	193.01	483.38	189.02	336.79	351.14	336.79	183.82	199.85	309.83	426.57
HOXA1	17.64	71.5	82.29	52.45	44.89	7.69	63.89	77.79	13.62	62.12	62.56	60.39	84.63	78.89	65.26	6.89	7.51	72.01	80.01	102.25	25.35	42.11	40.07	52.45	78.89	53.57	104.42	59.13	69.52	36.53	80.01	89.51	31.9	57.89	53.19	74.58	38.95	2.71	1.85	3.17	2.97	3.29	0.54	4.21	2.53	0.0	0.65	1.43
HOXA5	50.98	896.64	536.45	607.87	356.05	163.28	525.39	785.88	202.66	890.44	348.71	507.46	665.29	1388.16	738.29	529.06	149.12	579.04	283.05	624.99	232.94	444.72	493.56	279.14	743.43	158.79	486.75	785.88	830.75	193.01	624.99	547.75	543.96	205.5	1104.13	708.18	457.25	18.56	10.55	9.85	23.42	25.72	9.48	28.86	37.05	10.31	1.31	23.76
HOXA6	30.34	68.55	52.45	134.3	50.27	48.87	144.01	87.65	120.1	102.97	92.7	62.56	150.17	176.29	186.4	87.03	68.07	147.06	120.1	228.13	116.78	152.28	78.89	48.87	127.0	54.33	112.77	190.34	185.11	48.52	119.26	190.34	21.47	46.18	255.0	136.19	15.45	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOXA7	633.73	796.86	473.41	1066.48	409.15	466.88	287.01	595.34	476.71	1295.13	633.73	432.53	543.96	624.99	1167.14	253.23	271.48	599.49	287.01	555.41	638.15	878.17	473.41	202.66	642.59	14.45	651.58	1628.26	1044.52	848.22	688.78	1529.73	441.64	303.44	1277.29	1331.57	297.17	0.48	1.22	3.26	4.5	5.36	1.06	0.0	1.71	0.0	1.51	0.0
IQCE	249.73	336.79	215.77	358.54	162.14	281.09	941.27	376.41	226.54	204.07	260.38	178.77	595.34	497.0	536.45	132.44	147.06	514.56	490.14	312.0	417.77	267.73	255.0	152.28	514.56	688.78	366.09	660.68	551.56	208.38	629.35	454.09	161.02	281.09	629.35	191.67	80.57	53.95	111.21	75.64	77.79	81.14	33.78	94.01	59.97	42.41	30.34	35.76
IRF5	224.97	470.14	830.75	409.15	291.04	351.14	825.0	684.02	73.03	791.35	1183.45	447.82	1037.29	738.29	713.11	511.0	105.15	555.41	748.61	1769.57	265.87	679.29	220.32	483.38	802.41	878.17	703.28	1685.71	547.75	463.65	947.83	2193.99	567.1	460.44	1051.79	353.59	277.2	224.97	115.16	115.97	176.29	256.78	71.5	132.44	65.26	38.4	15.34	51.35
KMT2C	323.03	291.04	387.02	358.54	262.2	187.71	825.0	414.87	368.65	339.14	320.8	242.88	660.68	583.07	450.94	215.77	336.79	466.88	429.54	348.71	400.71	368.65	287.01	163.28	476.71	460.44	223.41	525.39	612.11	303.44	665.29	400.71	205.5	397.93	500.46	291.04	118.43	162.14	148.09	155.5	111.21	187.71	149.12	108.14	205.5	117.6	105.15	189.02
KRIT1	356.05	303.44	450.94	307.69	316.37	356.05	1044.52	529.06	363.56	305.55	493.56	325.29	988.12	708.18	633.73	305.55	463.65	733.19	684.02	629.35	318.57	366.09	348.71	289.02	525.39	547.75	409.15	813.63	642.59	412.0	1051.79	1977.24	194.36	275.28	764.36	339.14	131.51	162.14	163.28	131.51	114.36	214.27	138.1	111.21	158.79	186.4	78.89	147.06
L3MBTL3	72.01	115.97	78.34	131.51	105.15	89.51	262.2	180.02	95.34	74.06	96.68	101.54	197.09	253.23	140.04	62.12	124.37	178.77	133.36	151.22	155.5	163.28	145.02	77.25	171.45	201.25	122.64	214.27	229.72	77.25	214.27	246.28	74.58	112.77	142.01	108.14	44.57	34.02	29.7	22.92	21.01	65.72	45.85	22.1	45.85	60.82	26.28	34.75
LCMT2	228.13	301.33	244.57	176.29	417.77	144.01	389.72	154.42	69.52	171.45	273.37	166.73	400.71	232.94	348.71	226.54	123.5	287.01	371.22	312.0	320.8	229.72	231.32	178.77	348.71	351.14	154.42	346.29	260.38	199.85	237.86	237.86	126.12	279.14	376.41	146.03	98.04	73.54	71.5	63.45	45.85	70.51	77.79	121.79	53.19	77.79	37.59	46.18
LMTK2	234.57	353.59	242.88	220.32	212.78	205.5	842.36	379.04	361.04	381.68	316.37	214.27	825.0	612.11	497.0	205.5	297.17	400.71	432.53	693.58	303.44	417.77	246.28	180.02	490.14	540.19	669.92	551.56	497.0	126.12	518.15	483.38	155.5	327.56	612.11	149.12	115.97	67.59	86.43	85.82	83.45	78.34	63.45	70.51	114.36	44.25	32.36	166.73
MCM3AP	934.76	514.56	808.0	698.41	571.05	603.67	785.88	555.41	708.18	423.61	579.04	603.67	915.51	791.35	791.35	397.93	638.15	738.29	679.29	688.78	587.13	693.58	325.29	457.25	1111.82	860.08	813.63	1073.91	878.17	559.28	842.36	1037.29	500.46	511.0	753.83	669.92	262.2	529.06	674.59	511.0	438.59	555.41	395.18	447.82	575.03	336.79	228.13	351.14
MIOS	255.0	348.71	307.69	291.04	246.28	281.09	796.86	301.33	242.88	201.25	267.73	190.34	450.94	392.44	500.46	140.04	297.17	591.22	563.18	351.14	244.57	267.73	249.73	220.32	466.88	521.76	379.04	457.25	409.15	258.57	551.56	379.04	183.82	329.84	500.46	314.17	129.69	86.43	77.25	83.45	72.52	112.77	139.07	153.34	112.77	102.25	116.78	93.35
MORC3	169.07	147.06	299.25	201.25	144.01	158.79	297.17	186.4	249.73	171.45	141.02	159.9	267.73	258.57	226.54	170.25	206.94	237.86	209.84	165.57	209.84	218.79	91.41	173.85	293.07	316.37	143.01	312.0	293.07	169.07	376.41	356.05	122.64	220.32	267.73	215.77	74.06	134.3	74.58	131.51	86.43	167.9	152.28	100.13	231.32	121.79	127.89	130.6
NAPEPLD	212.78	325.29	236.21	273.37	336.79	231.32	1191.69	441.64	275.28	241.19	435.55	289.02	934.76	780.44	830.75	267.73	127.0	1369.04	703.28	902.89	417.77	253.23	435.55	251.48	497.0	518.15	444.72	583.07	435.55	201.25	825.0	2303.12	234.57	329.84	718.08	197.09	163.28	46.5	70.51	46.18	87.65	81.14	105.15	95.34	76.71	95.34	172.65	94.67
NDUFA5	3081.75	2303.12	1709.26	2119.22	2104.58	1135.2	3794.3	3443.31	1104.13	2555.58	3039.3	2209.26	4010.71	2739.08	2976.74	3103.19	1322.37	3928.15	3467.27	2502.97	1806.78	1529.73	1909.85	1685.71	3190.46	1832.01	2032.85	2935.74	2855.44	3564.78	4802.93	1378.57	2090.03	3081.75	3614.55	2935.74	1697.45	718.08	743.43	647.07	733.19	961.07	1322.37	1259.69	1059.11	1883.54	1529.73	1250.98
NOM1	163.28	197.09	217.27	170.25	156.59	150.17	381.68	224.97	159.9	206.94	285.03	123.5	457.25	299.25	223.41	92.05	135.24	358.54	271.48	226.54	122.64	129.69	152.28	133.36	332.14	260.38	182.55	244.57	279.14	117.6	327.56	351.14	123.5	212.78	379.04	153.34	201.25	130.6	131.51	146.03	82.29	94.67	94.67	71.5	143.01	109.66	63.89	77.25
PAXIP1	96.01	130.6	136.19	108.14	137.14	140.04	287.01	135.24	158.79	114.36	187.71	102.97	260.38	206.94	167.9	103.69	149.12	262.2	197.09	190.34	127.89	163.28	111.99	98.73	194.36	224.97	171.45	256.78	202.66	123.5	255.0	182.55	83.45	113.56	262.2	104.42	55.49	81.14	60.39	77.25	68.55	90.77	64.34	62.56	59.55	41.52	22.26	36.53
PMS2	334.46	412.0	332.14	256.78	316.37	251.48	708.18	406.31	120.1	255.0	314.17	291.04	441.64	403.5	521.76	281.09	187.71	708.18	529.06	490.14	423.61	339.14	389.72	265.87	493.56	543.96	454.09	327.56	353.59	242.88	551.56	444.72	142.01	320.8	454.09	279.14	91.41	37.05	48.87	61.25	40.07	45.85	45.85	65.26	35.25	36.27	28.45	33.54
POFUT2	334.46	346.29	480.04	493.56	264.03	381.68	638.15	567.1	981.29	521.76	305.55	309.83	518.15	454.09	426.57	379.04	435.55	511.0	555.41	356.05	267.73	339.14	273.37	180.02	848.22	514.56	366.09	620.67	599.49	327.56	587.13	884.29	287.01	400.71	583.07	346.29	237.86	212.78	180.02	237.86	176.29	232.94	204.07	59.13	246.28	161.02	105.15	223.41
POGK	713.11	356.05	463.65	463.65	381.68	406.31	860.08	403.5	967.76	303.44	420.68	373.81	595.34	974.5	543.96	389.72	529.06	414.87	629.35	476.71	591.22	612.11	426.57	346.29	507.46	708.18	275.28	748.61	651.58	603.67	583.07	603.67	226.54	336.79	575.03	353.59	241.19	194.36	114.36	173.85	120.94	249.73	117.6	221.86	199.85	98.04	43.32	79.45
POM121	629.35	420.68	441.64	490.14	255.0	356.05	1447.15	536.45	583.07	536.45	540.19	314.17	967.76	878.17	825.0	361.04	389.72	748.61	780.44	1008.9	551.56	684.02	392.44	368.65	733.19	1015.93	563.18	872.1	718.08	293.07	1008.9	651.58	195.72	511.0	854.13	339.14	175.07	114.36	144.01	197.09	144.01	220.32	224.97	273.37	256.78	141.02	206.94	209.84
POM121C	713.11	466.88	688.78	563.18	316.37	397.93	1617.0	595.34	693.58	665.29	532.74	303.44	1015.93	872.1	872.1	392.44	463.65	813.63	854.13	954.43	638.15	651.58	460.44	417.77	759.08	1015.93	674.59	915.51	791.35	339.14	1233.75	848.22	271.48	603.67	872.1	441.64	258.57	201.25	197.09	201.25	170.25	234.57	209.84	204.07	521.76	190.34	114.36	187.71
PPP1R10	872.1	860.08	733.19	769.69	1151.06	511.0	1498.22	947.83	460.44	791.35	466.88	486.75	1250.98	780.44	1191.69	423.61	698.41	1286.18	1259.69	738.29	1119.56	915.51	915.51	536.45	961.07	866.07	400.71	1143.1	941.27	708.18	1457.23	1216.75	532.74	493.56	995.0	500.46	244.57	387.02	521.76	373.81	397.93	463.65	348.71	237.86	348.71	348.71	202.66	269.6
PPP1R9A	101.54	98.04	99.43	125.24	108.9	67.59	343.89	110.43	151.22	81.71	110.43	82.29	236.21	204.07	175.07	84.04	85.22	166.73	157.68	236.21	130.6	159.9	151.22	57.89	171.45	212.78	128.79	214.27	214.27	95.34	193.01	620.67	70.01	89.51	208.38	93.35	55.1	10.08	0.66	1.83	7.22	1.64	4.54	1.46	0.54	0.74	0.48	0.87
PTCD1	209.84	223.41	111.21	105.15	85.82	134.3	281.09	224.97	133.36	249.73	220.32	133.36	241.19	209.84	229.72	137.14	98.04	267.73	237.86	260.38	116.78	177.53	162.14	157.68	229.72	195.72	273.37	241.19	187.71	128.79	242.88	264.03	104.42	142.01	246.28	145.02	115.16	110.43	171.45	147.06	164.42	121.79	70.51	59.13	70.51	87.65	29.7	81.71
PURB	199.85	234.57	246.28	256.78	190.34	182.55	591.22	277.2	249.73	303.44	305.55	154.42	579.04	412.0	297.17	172.65	260.38	435.55	366.09	299.25	253.23	202.66	195.72	173.85	392.44	339.14	177.53	483.38	429.54	162.14	447.82	387.02	139.07	246.28	507.46	171.45	118.43	96.01	57.49	93.35	64.8	85.22	68.07	91.41	152.28	45.21	38.12	58.3
RBAK	82.29	96.01	149.12	128.79	88.88	62.12	260.38	141.02	128.79	94.01	77.25	77.79	236.21	171.45	137.14	84.63	68.55	205.5	178.77	126.12	78.89	146.03	98.04	64.8	172.65	172.65	92.7	211.31	157.68	77.25	249.73	237.86	53.19	109.66	186.4	90.77	36.01	57.08	36.79	58.3	34.02	66.18	46.18	20.71	44.57	47.84	25.91	63.89
RPS6KA4	466.88	607.87	460.44	514.56	409.15	796.86	684.02	543.96	583.07	406.31	397.93	551.56	612.11	497.0	669.92	204.07	406.31	518.15	514.56	395.18	599.49	476.71	447.82	343.89	591.22	780.44	616.37	638.15	551.56	447.82	555.41	642.59	406.31	358.54	728.11	470.14	381.68	248.0	239.52	332.14	241.19	371.22	176.29	334.46	217.27	132.44	62.56	187.71
RPTOR	320.8	454.09	191.67	371.22	334.46	295.11	567.1	392.44	518.15	323.03	323.03	275.28	529.06	595.34	525.39	432.53	414.87	400.71	493.56	616.37	426.57	423.61	476.71	438.59	450.94	587.13	368.65	514.56	450.94	267.73	356.05	262.2	226.54	289.02	511.0	287.01	208.38	148.09	287.01	211.31	158.79	147.06	130.6	154.42	132.44	182.55	117.6	120.94
SCAF4	283.05	194.36	249.73	275.28	279.14	239.52	366.09	237.86	267.73	199.85	234.57	215.77	384.34	339.14	267.73	165.57	223.41	229.72	255.0	312.0	271.48	289.02	126.12	217.27	403.5	339.14	289.02	400.71	406.31	202.66	295.11	358.54	173.85	232.94	320.8	205.5	120.1	167.9	190.34	205.5	191.67	209.84	170.25	156.59	285.03	193.01	112.77	117.6
SCRN1	1277.29	1233.75	1104.13	967.76	830.75	1001.93	3639.7	1277.29	866.07	1561.89	1104.13	607.87	2434.5	2591.27	2004.85	902.89	1096.5	2032.85	1819.35	1991.0	1268.46	591.22	854.13	616.37	1733.13	2133.97	1096.5	1832.01	1819.35	848.22	2384.37	1208.34	660.68	1617.0	2319.15	1015.93	307.69	35.5	12.0	25.54	18.7	63.0	19.97	91.41	142.01	24.11	4.13	6.57
SLC37A3	808.0	612.11	470.14	642.59	476.71	429.54	1781.89	802.41	1044.52	708.18	723.08	490.14	1259.69	1250.98	1030.12	753.83	624.99	1437.15	738.29	563.18	454.09	384.34	444.72	351.14	1104.13	1096.5	1015.93	1030.12	1104.13	555.41	1697.45	555.41	429.54	642.59	1259.69	647.07	291.04	152.28	152.28	189.02	141.02	260.38	145.02	127.89	384.34	199.85	88.88	186.4
SMO	854.13	866.07	480.04	1447.15	624.99	8.78	1447.15	684.02	21.63	921.88	813.63	599.49	1295.13	1127.35	860.08	1250.98	234.57	1467.37	866.07	753.83	830.75	796.86	642.59	651.58	967.76	1259.69	674.59	1639.59	1268.46	373.81	1561.89	4328.55	607.87	579.04	1208.34	420.68	769.69	197.09	151.22	379.04	392.44	343.89	299.25	144.01	50.98	114.36	143.01	166.73
SON	1991.0	1322.37	2319.15	1806.78	1806.78	1081.39	3146.52	1561.89	2701.35	1295.13	1685.71	1331.57	2271.4	2451.44	1757.34	1066.48	1594.73	1991.0	2047.0	1794.29	1977.24	1709.26	860.08	1073.91	2739.08	2451.44	1639.59	2434.5	2591.27	1487.87	2701.35	3540.14	1159.07	1572.76	2287.2	1745.2	974.5	1388.16	1030.12	1081.39	974.5	1313.23	974.5	674.59	1583.71	1088.92	417.77	961.07
SPP1	517068.97	405683.88	654483.73	363097.14	422911.59	343510.77	290865.98	311742.51	492579.5	402881.61	614902.29	397335.0	95949.32	208544.12	334117.42	368165.8	509950.32	363097.14	204252.32	408505.64	414208.18	520665.48	386469.83	296977.71	161367.56	301123.38	450134.56	184082.4	226632.25	822695.06	191899.64	472513.8	241220.67	383800.28	275175.93	499455.67	422911.59	7280.4	44145.15	56657.31	6745.86	63302.6	616.37	951601.81	132900.7	915.51	80.01	3794.3
SUPT6H	591.22	708.18	612.11	633.73	808.0	612.11	1030.12	878.17	698.41	802.41	543.96	669.92	921.88	1119.56	915.51	708.18	981.29	656.11	896.64	1088.92	693.58	753.83	1127.35	669.92	878.17	1044.52	713.11	1081.39	954.43	571.05	791.35	808.0	518.15	753.83	854.13	616.37	447.82	389.72	638.15	532.74	414.87	525.39	483.38	423.61	591.22	480.04	267.73	438.59
