	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.145MF.0826.SM.5QGQA	TCGA.49.4512.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.U8XE.1426.SM.3DB8Q	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.QESD.0626.SM.2I5G4	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.PLZ6.0426.SM.5IFK2	GTEX.T8EM.0326.SM.3DB7F	GTEX.OHPM.0526.SM.2YUMJ	TCGA.77.7335.11A.01R.2045.07
MIEF1	211.31	131.51	289.02	323.03	201.25	674.59	332.14	329.84	603.67	353.59	348.71	356.05	400.71	476.71	323.03	599.49	323.03	412.0	293.07	607.87	228.13	493.56	693.58	232.94
MKL1	147.06	111.21	105.15	158.79	358.54	624.99	638.15	733.19	607.87	748.61	329.84	490.14	748.61	521.76	420.68	486.75	624.99	713.11	483.38	624.99	281.09	486.75	842.36	379.04
MREG	102.97	214.27	64.8	80.01	114.36	551.56	251.48	728.11	291.04	466.88	332.14	336.79	389.72	432.53	217.27	438.59	454.09	356.05	381.68	466.88	180.02	392.44	559.28	181.28
NACC1	167.9	129.69	205.5	229.72	202.66	1008.9	563.18	1487.87	974.5	738.29	429.54	587.13	1242.34	764.36	587.13	1175.27	607.87	748.61	466.88	1208.34	389.72	921.88	1508.65	244.57
NCDN	162.14	28.45	87.03	63.0	176.29	921.88	332.14	587.13	981.29	688.78	187.71	264.03	551.56	241.19	323.03	872.1	283.05	414.87	307.69	201.25	189.02	305.55	713.11	155.5
NFKB1	109.66	84.63	234.57	237.86	384.34	1331.57	511.0	3349.13	2835.7	1096.5	688.78	808.0	1059.11	791.35	514.56	2335.28	808.0	665.29	708.18	1583.71	447.82	941.27	1950.0	540.19
NKX3-1	11.3	5.36	33.78	40.64	29.48	295.11	12.55	204.07	239.52	159.9	55.49	50.27	100.83	63.0	21.32	571.05	95.34	59.13	39.79	242.88	23.08	176.29	444.72	23.59
NOP2	127.0	42.71	208.38	148.09	164.42	1119.56	146.03	688.78	2163.77	1487.87	323.03	395.18	708.18	341.51	287.01	1936.53	603.67	753.83	420.68	819.3	256.78	500.46	896.64	226.54
NOP9	37.05	45.21	176.29	150.17	202.66	480.04	318.57	356.05	575.03	426.57	299.25	358.54	376.41	283.05	234.57	1037.29	373.81	356.05	329.84	348.71	154.42	267.73	490.14	149.12
PHC2	1369.04	1331.57	909.17	1167.14	1819.35	3349.13	3665.02	3820.7	4937.99	3742.05	2209.26	1119.56	2591.27	2502.97	1819.35	5006.93	3039.3	3467.27	2178.83	5403.7	1745.2	2645.74	6792.79	1769.57
PITPNA	718.08	265.87	603.67	426.57	995.0	2148.82	1437.15	3168.41	2047.0	1350.18	1127.35	1216.75	1709.26	1844.76	1143.1	2855.44	2271.4	1651.0	1008.9	2287.2	1378.57	1936.53	2451.44	1015.93
PLEKHG1	21.01	20.11	37.32	37.05	88.26	223.41	167.9	269.6	269.6	265.87	117.6	80.57	149.12	171.45	92.05	575.03	295.11	142.01	102.97	279.14	56.28	329.84	551.56	93.35
PRCC	376.41	351.14	674.59	339.14	780.44	1498.22	738.29	1662.49	1388.16	909.17	819.3	1143.1	1119.56	1119.56	624.99	2148.82	848.22	1286.18	813.63	1781.89	1250.98	1369.04	1883.54	808.0
QSOX2	62.56	31.67	59.13	72.52	76.71	189.02	90.77	323.03	264.03	318.57	136.19	156.59	178.77	128.79	165.57	356.05	106.63	204.07	138.1	206.94	75.11	182.55	260.38	84.04
RBM15B	118.43	55.49	128.79	146.03	224.97	896.64	540.19	503.95	595.34	518.15	432.53	450.94	521.76	543.96	426.57	769.69	473.41	713.11	486.75	728.11	473.41	503.95	759.08	198.47
RHBDF2	92.7	79.45	66.65	51.35	226.54	620.67	373.81	567.1	473.41	470.14	246.28	320.8	547.75	389.72	279.14	353.59	406.31	426.57	291.04	457.25	205.5	293.07	555.41	211.31
RP11-565P22.6	0.0	10.55	12.74	35.0	10.63	94.01	27.44	48.18	58.71	56.68	41.52	14.35	31.0	54.72	29.06	70.51	62.12	22.59	33.3	66.65	14.56	47.5	163.28	8.06
RPL36A-HNRNPH2	27.05	4.46	10.08	0.0	6.36	264.03	0.0	85.82	77.25	9.41	0.0	29.27	44.89	33.3	29.91	170.25	83.45	0.0	30.12	54.72	0.0	14.67	154.42	13.22
RRS1	150.17	71.0	111.99	156.59	242.88	708.18	255.0	423.61	1457.23	1001.93	327.56	343.89	518.15	358.54	336.79	974.5	363.56	400.71	281.09	490.14	334.46	373.81	785.88	170.25
S1PR1	314.17	256.78	242.88	248.0	1001.93	3491.39	2739.08	4575.41	5913.33	2915.45	2193.99	1151.06	2777.33	3665.02	1119.56	12853.63	4066.71	1662.49	1923.14	5441.3	967.76	1832.01	13586.57	2061.24
SEMA6B	42.11	117.6	21.32	19.53	42.11	291.04	130.6	587.13	1487.87	358.54	94.01	96.68	194.36	57.89	126.12	1519.15	190.34	111.21	191.67	591.22	126.12	224.97	633.73	34.75
SFTPA2	1.89	0.0	5.02	4.7	254974.66	6014443.23	4495342.72	3995652.37	417089.23	2343119.96	3995652.37	3806410.22	3940643.03	5163792.94	3526974.2	1070607.81	2786455.11	5163792.94	3968052.37	2825352.59	2617937.91	2904784.09	4051429.61	262143.0
SH3GL1	314.17	198.47	703.28	551.56	575.03	1030.12	728.11	1794.29	1191.69	1051.79	392.44	656.11	1322.37	490.14	540.19	1088.92	521.76	813.63	878.17	1051.79	769.69	1143.1	1286.18	638.15
SLC46A2	1.83	0.78	0.0	0.0	341.51	2835.7	1697.45	1322.37	406.31	470.14	896.64	1832.01	1088.92	1757.34	819.3	2335.28	1745.2	1572.76	395.18	2032.85	1051.79	848.22	1844.76	463.65
SLC6A14	0.0	4.21	0.0	1.83	217.27	4481.23	1143.1	10296.45	6079.61	5672.41	2537.92	1023.0	2895.31	2075.59	400.71	4543.8	2193.99	1844.76	1331.57	5006.93	961.07	3039.3	5672.41	205.5
SLC7A5	31.67	3.92	204.07	82.87	87.65	555.41	348.71	1008.9	825.0	334.46	95.34	85.22	612.11	58.71	44.25	629.35	389.72	231.32	258.57	212.78	112.77	373.81	571.05	63.0
SMG6	185.11	49.91	334.46	234.57	412.0	1088.92	808.0	403.5	842.36	460.44	438.59	866.07	490.14	473.41	490.14	947.83	444.72	733.19	825.0	860.08	728.11	591.22	1259.69	450.94
SMIM3	0.0	0.0	0.0	0.0	0.0	6.62	3.29	9.7	12.93	10.0	7.11	0.0	0.82	1.91	4.46	1.0	5.41	2.41	2.41	8.99	0.85	3.53	13.32	0.0
SPTBN5	1.57	1.23	1.41	2.48	12.64	22.1	15.11	69.52	76.71	53.95	16.63	10.63	12.18	4.78	10.24	114.36	17.0	34.02	5.5	6.11	1.77	19.25	62.12	0.0
SSH1	45.21	36.53	87.65	82.87	85.82	624.99	231.32	633.73	571.05	591.22	231.32	241.19	251.48	269.6	221.86	791.35	346.29	361.04	214.27	780.44	169.07	297.17	607.87	148.09
STAT3	332.14	110.43	860.08	1268.46	1477.58	5831.91	2682.69	7081.29	5366.37	3955.48	2502.97	2303.12	4095.0	3168.41	1950.0	7911.95	3716.2	3768.09	2555.58	5292.48	1963.57	3716.2	6037.61	2224.63
STC2	25.17	7.11	2.63	0.91	20.71	173.85	83.45	403.5	169.07	102.97	14.24	38.67	68.55	32.13	71.5	403.5	138.1	78.34	75.11	128.79	6.21	28.45	197.09	20.86
STK40	387.02	161.02	629.35	540.19	476.71	2537.92	638.15	2664.15	1794.29	2075.59	708.18	1183.45	1437.15	941.27	651.58	2875.3	1378.57	1331.57	688.78	1745.2	457.25	796.86	3491.39	563.18
TACSTD2	96.68	36.53	40.36	49.21	4869.99	12502.12	6164.49	21026.65	7911.95	14262.1	8022.41	7032.37	7485.11	8963.45	5183.54	10440.2	7130.55	6983.79	5913.33	11909.94	7537.18	7537.18	17804.06	2468.49
TEAD3	73.54	17.38	122.64	111.99	226.54	629.35	435.55	470.14	264.03	660.68	277.2	191.67	314.17	289.02	283.05	616.37	543.96	583.07	336.79	684.02	320.8	299.25	878.17	253.23
