	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.EA.A50E.01A.21R.A26T.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.VS.A8EG.01A.11R.A36F.07	TCGA.A6.A567.01A.31R.A28H.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.A45Z.01A.21R.A24Z.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.5232.01A.21R.1820.07	TCGA.CI.6623.01B.11R.1830.07	TCGA.AG.3592.01A.02R.1736.07	TCGA.F5.6861.01A.11R.1928.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
GBP6	9975791.32	323.03	1044.52	1143.1	0.99	1.97	0.0	92040.7	131982.68	152662.96	974.5	17558.94	0.0	0.0	0.17	1794.29	0.59	0.57	1.23	39785.74	53973.86	28723.62	38966.94	29531.18	32994.92
HIST1H2AD	638.15	16.15	25.35	27.25	2.71	0.0	0.51	42.11	57.89	28.86	34.26	41.81	15.0	0.0	0.39	28.04	6.84	20.56	3.35	6.46	33.06	38.95	87.03	120.94	175.07
HIST1H3D	473.41	110.43	32.82	78.89	27.25	19.39	22.26	88.88	878.17	507.46	46.18	88.26	19.39	0.0	0.65	53.19	14.03	19.82	34.51	53.19	111.99	76.17	159.9	209.84	341.51
HK1	3716.2	1583.71	2163.77	2133.97	902.89	607.87	974.5	3467.27	3540.14	4095.0	3589.58	4210.15	447.82	921.88	119.26	2367.9	1151.06	819.3	1295.13	5633.22	7081.29	4543.8	7180.15	6037.61	7589.61
HK2	1519.15	915.51	450.94	688.78	73.03	101.54	167.9	146.03	307.69	728.11	511.0	866.07	507.46	0.0	0.36	830.75	201.25	232.94	397.93	1268.46	2224.63	607.87	3928.15	2209.26	1051.79
IER2	8840.04	2119.22	2271.4	2209.26	591.22	1427.22	1225.22	1896.65	2468.49	2520.38	2319.15	2739.08	713.11	1745.2	1378.57	2240.11	1233.75	1583.71	1870.53	1594.73	5831.91	2609.3	6887.62	3280.18	3716.2
IL1A	57847.82	144.01	45.85	237.86	2.14	4.7	1.04	249.73	854.13	665.29	47.5	764.36	0.96	0.0	0.0	67.12	12.83	11.73	27.64	688.78	791.35	2335.28	1628.26	2018.8	6471.02
IMP3	2976.74	1250.98	1015.93	1397.83	406.31	1104.13	571.05	1519.15	1242.34	2018.8	1088.92	1628.26	723.08	0.0	0.0	1467.37	493.56	954.43	1167.14	2367.9	2956.17	1745.2	2758.13	2451.44	2209.26
IPPK	2591.27	638.15	412.0	473.41	186.4	231.32	187.71	1806.78	1447.15	1143.1	753.83	941.27	205.5	0.0	0.69	660.68	232.94	217.27	316.37	1151.06	3018.3	1044.52	2240.11	2209.26	2335.28
ITPRIP	3443.31	529.06	409.15	819.3	116.78	149.12	96.68	1259.69	1369.04	1378.57	432.53	791.35	251.48	0.0	0.39	825.0	133.36	151.22	199.85	1359.57	2434.5	1233.75	1883.54	1781.89	2209.26
JUNB	58250.19	5594.3	3820.7	6607.01	603.67	1259.69	1477.58	7589.61	9025.81	9876.98	6037.61	6840.04	896.64	0.0	0.0	4639.29	1378.57	1651.0	1844.76	9876.98	25179.16	10225.32	26986.43	12853.63	20170.07
KLF3	4298.64	718.08	466.88	878.17	483.38	387.02	295.11	1001.93	1225.22	1216.75	1096.5	1191.69	277.2	218.79	85.82	947.83	514.56	450.94	460.44	1250.98	2976.74	1191.69	1685.71	1407.55	1806.78
KRT4	3.697379928E7	18689.27	2.61	403.5	0.0	158.79	0.0	1.810644424E7	2.276004283E7	3.109113511E7	1175.27	677564.08	1.57	0.0	0.0	6.46	0.0	8.32	4.13	1.236706555E7	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
MAB21L3	8901.53	16.03	10.16	63.45	10.88	0.39	2.94	1295.13	5672.41	3794.3	16.27	95.34	6.16	0.0	0.13	57.89	1.38	8.51	6.36	713.11	688.78	647.07	171.45	279.14	400.71
MAPK6	3589.58	703.28	733.19	1001.93	220.32	199.85	126.12	872.1	1447.15	1242.34	733.19	1159.07	339.14	0.0	0.66	808.0	172.65	151.22	414.87	1551.09	1639.59	1059.11	1697.45	1674.06	1709.26
MXD1	22692.63	872.1	244.57	1183.45	118.43	173.85	97.36	8022.41	17197.56	18178.19	441.64	3372.43	156.59	293.07	651.58	642.59	138.1	90.14	214.27	3103.19	6840.04	3372.43	7803.01	6037.61	8421.31
MYO1H	32.59	1.83	4.06	7.88	0.0	0.8	3.63	26.1	21.47	27.05	6.89	21.63	0.0	0.0	0.16	4.86	0.8	1.51	3.5	59.55	47.5	57.08	7.94	18.97	40.93
N4BP1	3060.45	669.92	638.15	928.3	363.56	232.94	218.79	1135.2	1709.26	1467.37	825.0	1304.15	248.0	0.0	0.52	656.11	395.18	423.61	389.72	1304.15	2104.58	1167.14	2163.77	1819.35	2178.83
NFE2L2	8963.45	3018.3	1259.69	2875.3	1397.83	1359.57	1447.15	4543.8	5517.27	4671.57	9344.14	4543.8	1733.13	0.0	0.95	8247.98	1037.29	1119.56	1250.98	13776.25	19348.38	10733.74	10154.69	11112.3	21026.65
OTOP3	738.29	7.17	0.35	0.0	0.0	0.0	0.0	3303.0	3168.41	3103.19	13.03	307.69	0.0	0.0	0.0	0.42	0.0	0.0	0.0	5872.48	5791.62	5479.15	6935.54	20310.37	14262.1
OVOL1	24832.5	503.95	329.84	591.22	140.04	112.77	149.12	5183.54	4239.45	68318.04	336.79	967.76	28.45	84.04	111.99	599.49	146.03	155.5	363.56	2855.44	8538.88	2935.74	8305.36	5711.87	2895.31
PARD3	4358.66	961.07	1378.57	1081.39	921.88	518.15	351.14	1794.29	2520.38	2520.38	1977.24	2075.59	454.09	0.0	0.66	1407.55	928.3	536.45	819.3	2400.97	4736.79	2384.37	7382.04	3614.55	5633.22
PCBP1	9088.59	6699.25	8191.0	6516.03	5255.91	6426.31	6079.61	7966.99	9025.81	10084.54	7130.55	8479.89	6079.61	0.0	1.07	6607.01	5076.84	5366.37	5913.33	11345.82	9673.69	9025.81	9673.69	10659.59	10959.3
PLS3	3768.09	4450.27	1594.73	2367.9	1369.04	688.78	647.07	3928.15	4639.29	4358.66	3257.52	4836.35	796.86	0.0	0.83	2367.9	1794.29	2104.58	1216.75	5555.65	8078.22	4903.87	5672.41	4769.75	6381.92
RALBP1	2319.15	896.64	728.11	928.3	532.74	551.56	429.54	1369.04	1508.65	1216.75	934.76	1322.37	753.83	0.0	0.59	769.69	521.76	518.15	796.86	2224.63	2032.85	1857.6	1551.09	1857.6	2400.97
RGMA	237.86	134.3	142.01	150.17	116.78	22.59	8.78	2133.97	1674.06	2796.65	356.05	693.58	3.92	0.0	0.69	909.17	48.87	65.26	111.99	813.63	4419.52	1447.15	2645.74	1923.14	1073.91
RHOD	21172.91	2018.8	473.41	1015.93	438.59	190.34	212.78	7382.04	12415.75	9808.75	1745.2	3901.01	363.56	0.0	0.45	830.75	336.79	343.89	279.14	10014.87	33688.23	10512.82	23656.34	20310.37	25530.66
RIPK4	4152.18	264.03	297.17	718.08	62.12	40.07	131.51	5954.47	4903.87	5041.77	514.56	1295.13	189.02	0.0	0.24	1081.39	131.51	76.17	159.9	974.5	4239.45	1721.16	5006.93	2178.83	3419.52
RORA	316.37	102.97	77.25	138.1	82.87	11.91	13.12	287.01	441.64	656.11	167.9	379.04	74.58	17.77	39.79	312.0	22.43	28.65	21.47	435.55	2163.77	842.36	884.29	1167.14	759.08
SPSB1	406.31	275.28	493.56	429.54	575.03	162.14	99.43	819.3	738.29	890.44	638.15	723.08	384.34	0.0	0.21	698.41	289.02	414.87	400.71	928.3	1487.87	764.36	1175.27	1233.75	1111.82
SREK1IP1	854.13	579.04	336.79	237.86	242.88	205.5	181.28	318.57	248.0	251.48	438.59	884.29	118.43	0.0	0.27	483.38	228.13	147.06	220.32	1225.22	988.12	500.46	633.73	674.59	1233.75
STON2	1883.54	124.37	423.61	381.68	32.59	34.75	21.78	353.59	698.41	387.02	241.19	295.11	246.28	0.0	0.67	244.57	23.93	23.25	31.9	718.08	1088.92	624.99	1322.37	743.43	961.07
TET3	291.04	112.77	170.25	234.57	139.07	106.63	72.01	262.2	273.37	426.57	229.72	234.57	33.3	0.0	0.68	217.27	55.49	75.64	101.54	218.79	780.44	215.77	518.15	249.73	275.28
THOC3	4268.94	1806.78	2400.97	1437.15	1159.07	1551.09	954.43	3146.52	1143.1	4388.98	1733.13	2004.85	1359.57	0.0	0.48	3847.29	1030.12	1277.29	934.76	3060.45	5076.84	2384.37	5041.77	3168.41	4512.4
TRAFD1	2271.4	543.96	536.45	503.95	341.51	244.57	157.68	1111.82	1277.29	1167.14	713.11	819.3	384.34	0.0	0.36	638.15	397.93	480.04	503.95	1030.12	2061.24	1208.34	2645.74	1175.27	1639.59
TSPAN14	4010.71	947.83	2004.85	2720.15	656.11	579.04	420.68	4210.15	5112.16	5147.73	1322.37	1605.83	483.38	961.07	1015.93	2609.3	551.56	483.38	878.17	3060.45	2664.15	3235.01	2875.3	3212.66	2645.74
TSPAN5	579.04	194.36	191.67	409.15	119.26	132.44	131.51	297.17	476.71	368.65	348.71	575.03	15.45	0.0	0.39	264.03	60.39	58.3	299.25	785.88	915.51	514.56	909.17	836.53	438.59
VDAC2	26614.89	8479.89	8022.41	7280.4	2335.28	5555.65	3820.7	8963.45	10084.54	13306.94	11745.96	9025.81	3349.13	0.0	1.28	8718.32	4736.79	2816.11	5041.77	13776.25	15499.21	11035.54	17681.08	13033.07	17078.76
VPS4B	4769.75	1143.1	878.17	1037.29	466.88	289.02	218.79	2485.67	4152.18	3190.46	1044.52	2520.38	303.44	0.0	0.21	947.83	447.82	381.68	638.15	3564.78	4736.79	3060.45	5183.54	3081.75	4298.64
WDR47	836.53	166.73	133.36	173.85	112.77	45.21	72.01	283.05	403.5	441.64	102.25	454.09	125.24	0.0	0.48	212.78	50.27	90.14	76.71	486.75	743.43	291.04	603.67	454.09	830.75
YWHAZ	36864.92	17437.64	13306.94	15285.81	9740.98	8305.36	12076.21	23330.64	28723.62	26614.89	14461.21	29736.59	5954.47	15285.81	1733.13	18304.63	12244.81	7803.01	6792.79	45072.75	54727.32	31870.96	39237.98	29327.18	42937.97
ZBTB7C	14262.1	339.14	400.71	854.13	70.01	8.65	8.13	902.89	1059.11	1088.92	633.73	769.69	34.51	0.0	0.39	941.27	20.26	26.47	27.25	1977.24	6337.83	3103.19	3491.39	3190.46	5633.22
ZFP36	98646.85	9088.59	2367.9	3190.46	1561.89	1639.59	2468.49	12502.12	11267.44	17681.08	2591.27	10512.82	2796.65	0.0	0.34	4937.99	1088.92	1685.71	1870.53	11345.82	57448.23	17927.91	30999.42	14663.09	25005.23
ZNF750	341137.96	599.49	808.0	1697.45	10.0	1.99	1.14	11827.67	12244.81	25179.16	607.87	3103.19	0.0	0.0	0.2	1191.69	4.24	3.06	2.29	9673.69	25354.3	8078.22	20451.65	10512.82	10512.82
ZSCAN31	163.28	152.28	96.01	155.5	83.45	74.58	67.12	161.02	314.17	273.37	136.19	201.25	119.26	0.0	0.08	150.17	59.97	129.69	88.88	620.67	244.57	293.07	1417.35	651.58	638.15
