	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.MT.A67F.01A.11R.A30B.07	GTEX.131XE.0326.SM.5LZVO	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.X4EP.0526.SM.3P5YW
CHST12	314.17	220.32	189.02	287.01	212.78	429.54	559.28	591.22	171.45	236.21	688.78	514.56	674.59	143.01	198.47	543.96	490.14	287.01	647.07	813.63	351.14	624.99	483.38	389.72	518.15	599.49	291.04	551.56	532.74	543.96	511.0	351.14	563.18	314.17	497.0	368.65	708.18	356.05	343.89	260.38
CHST14	143.01	209.84	273.37	181.28	84.04	265.87	521.76	825.0	120.1	269.6	563.18	620.67	836.53	170.25	193.01	412.0	231.32	332.14	684.02	802.41	389.72	743.43	555.41	669.92	265.87	473.41	486.75	638.15	902.89	595.34	571.05	493.56	457.25	167.9	633.73	348.71	591.22	543.96	289.02	325.29
CIB4	0.0	1.57	0.0	0.0	0.0	0.0	4.13	12.74	3.38	1.43	9.13	2.43	12.45	0.0	2.68	2.34	0.0	1.53	10.24	2.71	4.9	9.2	10.24	10.39	2.36	6.57	7.69	13.72	14.45	4.74	5.77	7.88	4.5	3.69	0.0	4.1	3.72	0.0	0.0	5.92
CLEC14A	137.14	44.57	71.5	121.79	134.3	336.79	2796.65	4038.61	703.28	1104.13	2976.74	2875.3	6079.61	1819.35	521.76	1628.26	660.68	1551.09	3303.0	1322.37	3018.3	4358.66	3716.2	3589.58	974.5	2240.11	1757.34	1806.78	3665.02	1437.15	1151.06	1685.71	872.1	540.19	2367.9	921.88	2384.37	1909.85	1295.13	490.14
CORO7-PAM16	0.0	0.64	0.67	0.64	0.0	3.17	9.13	9.93	0.0	0.0	23.93	8.65	5.92	2.23	2.92	1.99	9.56	3.03	17.64	7.82	4.1	4.39	12.27	4.24	0.0	8.25	3.17	1.27	7.75	11.91	9.85	10.79	3.86	1.95	0.0	4.66	0.0	4.28	1.48	3.23
COX4I2	183.82	35.76	25.35	63.89	82.29	4.1	2193.99	3589.58	1111.82	629.35	1286.18	3168.41	3515.68	156.59	518.15	497.0	708.18	144.01	3982.99	890.44	3742.05	3716.2	4239.45	3639.7	872.1	2417.67	500.46	1529.73	2976.74	1167.14	3212.66	2351.53	656.11	830.75	2485.67	1572.76	819.3	297.17	251.48	1104.13
CPNE2	256.78	273.37	743.43	379.04	518.15	251.48	1127.35	3257.52	260.38	866.07	1477.58	1757.34	2816.11	780.44	473.41	1437.15	890.44	1340.84	2119.22	1397.83	1088.92	2271.4	2178.83	1225.22	703.28	2061.24	890.44	1447.15	2485.67	1594.73	1685.71	1487.87	1561.89	555.41	1540.37	769.69	2075.59	825.0	1023.0	638.15
CPNE3	624.99	447.82	312.0	444.72	486.75	532.74	587.13	934.76	583.07	423.61	802.41	1051.79	703.28	775.05	329.84	665.29	607.87	414.87	1250.98	934.76	854.13	1088.92	902.89	909.17	698.41	1199.98	1023.0	1127.35	1250.98	1023.0	1030.12	896.64	819.3	1015.93	1104.13	642.59	1417.35	808.0	947.83	417.77
CSAD	346.29	229.72	387.02	384.34	297.17	406.31	158.79	713.11	356.05	133.36	1104.13	748.61	1008.9	69.52	209.84	209.84	327.56	241.19	543.96	728.11	518.15	836.53	551.56	1417.35	426.57	896.64	239.52	171.45	536.45	995.0	1023.0	368.65	483.38	269.6	607.87	540.19	368.65	110.43	96.01	460.44
CTDSPL	660.68	457.25	171.45	228.13	353.59	181.28	607.87	1313.23	334.46	253.23	848.22	1225.22	1208.34	414.87	303.44	674.59	571.05	607.87	961.07	1216.75	1151.06	1104.13	1819.35	941.27	409.15	1015.93	1030.12	1388.16	1757.34	1183.45	1088.92	759.08	1167.14	400.71	1551.09	808.0	1199.98	438.59	511.0	579.04
CTF1	151.22	26.28	27.25	26.86	32.59	26.1	241.19	928.3	92.05	73.54	571.05	220.32	575.03	85.22	86.43	195.72	125.24	176.29	309.83	414.87	285.03	457.25	483.38	624.99	127.89	825.0	334.46	309.83	909.17	620.67	995.0	209.84	395.18	348.71	708.18	379.04	518.15	171.45	90.77	279.14
CTPS2	99.43	101.54	97.36	78.89	93.35	80.57	223.41	381.68	136.19	67.12	215.77	307.69	397.93	82.87	75.64	143.01	154.42	125.24	198.47	312.0	140.04	476.71	275.28	332.14	198.47	241.19	183.82	163.28	358.54	205.5	490.14	281.09	187.71	170.25	438.59	226.54	287.01	124.37	120.94	194.36
DPY19L4	185.11	153.34	165.57	137.14	125.24	102.97	189.02	339.14	101.54	157.68	320.8	299.25	320.8	85.22	199.85	224.97	147.06	140.04	387.02	236.21	316.37	361.04	400.71	301.33	211.31	312.0	204.07	248.0	381.68	281.09	336.79	279.14	228.13	253.23	287.01	187.71	392.44	217.27	139.07	132.44
DSTYK	71.0	76.17	61.25	76.71	41.81	40.64	144.01	234.57	77.79	65.72	177.53	201.25	115.16	66.65	67.12	157.68	104.42	74.58	232.94	208.38	148.09	267.73	283.05	118.43	172.65	159.9	90.14	206.94	275.28	234.57	177.53	229.72	106.63	110.43	154.42	104.42	241.19	129.69	84.63	69.03
EEF2K	187.71	185.11	356.05	208.38	115.97	124.37	616.37	780.44	283.05	175.07	854.13	796.86	860.08	163.28	387.02	384.34	356.05	269.6	665.29	954.43	466.88	624.99	518.15	896.64	392.44	603.67	323.03	674.59	660.68	616.37	642.59	559.28	301.33	500.46	753.83	470.14	769.69	387.02	281.09	166.73
EPB41L1	241.19	73.54	248.0	181.28	285.03	283.05	928.3	2004.85	392.44	283.05	1277.29	1721.16	1709.26	264.03	426.57	457.25	802.41	127.0	1340.84	884.29	967.76	1096.5	1104.13	1447.15	346.29	1529.73	547.75	1250.98	1519.15	1417.35	2682.69	1651.0	1529.73	1457.23	1457.23	612.11	1322.37	629.35	249.73	348.71
EPS15	307.69	361.04	231.32	316.37	351.14	281.09	595.34	656.11	890.44	341.51	587.13	896.64	1001.93	392.44	674.59	703.28	575.03	486.75	791.35	866.07	775.05	848.22	902.89	854.13	748.61	540.19	684.02	536.45	759.08	543.96	802.41	688.78	460.44	785.88	748.61	551.56	743.43	429.54	444.72	432.53
FAM189A1	1.97	0.0	0.84	0.0	1.0	1.85	34.02	98.04	10.31	6.01	10.71	21.78	77.25	6.73	2.46	15.91	20.71	22.1	55.49	15.45	7.63	64.8	82.87	66.18	7.88	33.06	5.15	127.0	68.55	27.64	52.45	85.22	10.79	16.51	55.89	16.39	33.54	9.13	9.93	6.01
FAM227B	51.35	127.0	86.43	24.11	38.95	76.71	135.24	341.51	136.19	77.79	241.19	220.32	204.07	63.89	147.06	102.97	125.24	108.9	307.69	220.32	148.09	281.09	223.41	305.55	122.64	167.9	275.28	154.42	236.21	267.73	395.18	158.79	162.14	180.02	166.73	307.69	163.28	103.69	77.79	108.9
FAM228B	56.68	48.52	37.32	28.45	57.89	102.97	293.07	748.61	172.65	157.68	444.72	460.44	463.65	70.01	177.53	173.85	159.9	234.57	368.65	368.65	348.71	450.94	684.02	320.8	158.79	551.56	353.59	438.59	651.58	743.43	866.07	180.02	249.73	186.4	454.09	339.14	236.21	201.25	157.68	303.44
FAM26E	7.69	6.31	2.18	27.84	8.13	8.85	33.06	83.45	1.41	19.82	21.32	89.51	36.01	5.73	2.48	50.63	6.78	35.76	67.12	39.22	16.03	92.05	81.71	72.52	20.41	46.5	60.39	85.82	73.54	32.82	35.76	63.89	65.26	9.2	61.25	79.45	80.57	29.7	40.07	22.1
FN3KRP	759.08	647.07	450.94	1225.22	591.22	239.52	536.45	896.64	299.25	511.0	872.1	1044.52	988.12	253.23	397.93	395.18	371.22	373.81	954.43	1277.29	842.36	1208.34	860.08	743.43	353.59	884.29	624.99	703.28	1183.45	1001.93	974.5	638.15	872.1	414.87	703.28	688.78	753.83	591.22	314.17	376.41
FZD1	128.79	52.08	62.56	96.01	74.58	187.71	387.02	1388.16	117.6	100.83	463.65	1183.45	1127.35	87.03	218.79	551.56	287.01	392.44	1697.45	497.0	656.11	2303.12	1030.12	1151.06	327.56	356.05	275.28	665.29	1096.5	429.54	1059.11	693.58	420.68	171.45	679.29	514.56	638.15	152.28	183.82	325.29
GAB1	35.25	43.63	50.27	146.03	211.31	79.45	334.46	384.34	114.36	75.64	368.65	633.73	599.49	205.5	262.2	361.04	185.11	242.88	1037.29	353.59	273.37	1340.84	587.13	764.36	293.07	343.89	381.68	454.09	559.28	211.31	486.75	563.18	206.94	441.64	291.04	356.05	392.44	152.28	251.48	281.09
GEMIN8	381.68	187.71	525.39	158.79	381.68	381.68	392.44	802.41	366.09	204.07	612.11	616.37	988.12	199.85	339.14	273.37	563.18	420.68	660.68	503.95	511.0	688.78	571.05	743.43	624.99	665.29	373.81	346.29	825.0	796.86	1037.29	412.0	518.15	463.65	967.76	813.63	967.76	412.0	450.94	529.06
GJC2	10.55	7.57	22.59	13.83	18.7	17.77	13.62	241.19	15.68	29.91	130.6	42.71	102.97	21.78	34.02	75.11	48.18	77.25	149.12	117.6	33.78	149.12	176.29	153.34	16.27	90.14	41.81	79.45	100.13	64.8	256.78	85.22	125.24	15.91	64.8	55.49	71.5	38.95	64.34	133.36
GNG11	112.77	108.9	65.26	94.01	224.97	463.65	2004.85	3589.58	547.75	1313.23	934.76	2537.92	3212.66	543.96	909.17	1015.93	438.59	2255.7	3982.99	384.34	1277.29	4481.23	3467.27	2997.45	1001.93	872.1	2915.45	2417.67	3168.41	872.1	2701.35	3874.05	624.99	543.96	1529.73	791.35	854.13	341.51	591.22	961.07
GPD1L	301.33	121.79	78.34	70.01	77.79	113.56	660.68	1340.84	387.02	163.28	915.51	819.3	679.29	285.03	193.01	583.07	279.14	341.51	1628.26	928.3	848.22	1073.91	1313.23	642.59	447.82	2351.53	651.58	1378.57	1143.1	1781.89	1331.57	583.07	836.53	780.44	1477.58	1030.12	1685.71	450.94	620.67	277.2
GTF2IRD2B	234.57	198.47	267.73	189.02	81.71	289.02	769.69	921.88	447.82	170.25	941.27	860.08	872.1	318.57	334.46	373.81	432.53	258.57	854.13	1059.11	607.87	995.0	830.75	748.61	387.02	674.59	688.78	808.0	688.78	1183.45	1286.18	432.53	698.41	483.38	1096.5	1081.39	967.76	417.77	438.59	368.65
HSD17B3	7.17	3.86	13.83	1.58	5.02	25.54	11.04	76.17	14.35	2.61	30.78	32.36	64.8	1.51	9.34	7.28	18.56	20.86	26.28	53.95	44.57	43.94	119.26	54.72	16.88	25.54	15.45	11.64	57.49	56.28	61.25	23.25	10.47	14.24	197.09	61.68	3.99	7.0	0.38	13.52
KAT6B	30.12	51.35	62.12	48.18	44.57	67.59	154.42	251.48	84.63	50.63	255.0	351.14	251.48	74.06	73.54	195.72	121.79	92.05	339.14	339.14	275.28	412.0	271.48	379.04	126.12	234.57	205.5	206.94	289.02	253.23	279.14	224.97	161.02	116.78	239.52	316.37	363.56	114.36	130.6	77.25
KIAA1217	236.21	77.79	191.67	507.46	547.75	120.94	403.5	974.5	435.55	98.04	616.37	603.67	679.29	244.57	195.72	248.0	486.75	223.41	603.67	320.8	271.48	921.88	420.68	723.08	387.02	507.46	299.25	753.83	728.11	638.15	759.08	480.04	423.61	540.19	775.05	277.2	780.44	251.48	202.66	105.15
KIF26A	13.72	0.66	3.76	8.71	4.62	9.41	50.27	262.2	6.06	13.83	102.97	95.34	161.02	29.91	37.59	85.82	48.18	50.27	175.07	92.7	14.45	309.83	111.99	209.84	36.01	36.01	16.88	71.0	271.48	71.5	189.02	67.12	86.43	7.28	81.71	29.7	29.7	9.85	32.59	11.3
KLHDC1	8.06	3.86	7.0	7.63	12.09	20.26	63.0	121.79	39.5	25.54	82.87	127.0	142.01	11.13	31.22	71.0	27.25	42.11	162.14	111.21	65.72	181.28	153.34	102.25	55.1	106.63	63.89	67.12	143.01	107.38	189.02	43.94	54.33	41.52	173.85	55.1	73.54	18.43	24.99	79.45
LONP2	249.73	412.0	289.02	334.46	403.5	660.68	256.78	733.19	325.29	309.83	866.07	842.36	934.76	441.64	450.94	356.05	395.18	293.07	748.61	651.58	320.8	1259.69	775.05	890.44	529.06	688.78	620.67	595.34	836.53	1216.75	988.12	559.28	583.07	392.44	954.43	591.22	587.13	429.54	470.14	366.09
MAN2B2	204.07	417.77	162.14	279.14	246.28	406.31	825.0	941.27	323.03	301.33	769.69	1242.34	571.05	224.97	221.86	486.75	339.14	473.41	974.5	1304.15	878.17	1437.15	1167.14	624.99	669.92	764.36	387.02	708.18	1001.93	723.08	878.17	476.71	769.69	466.88	559.28	579.04	1167.14	507.46	356.05	723.08
MARVELD1	181.28	713.11	358.54	587.13	738.29	100.13	536.45	1073.91	209.84	563.18	1295.13	1127.35	1135.2	221.86	144.01	1066.48	476.71	642.59	896.64	902.89	947.83	848.22	1242.34	1183.45	470.14	1104.13	909.17	884.29	1583.71	684.02	1225.22	981.29	1059.11	234.57	1268.46	1359.57	1059.11	813.63	595.34	476.71
MEGF6	29.48	35.5	420.68	92.7	55.89	155.5	244.57	629.35	387.02	113.56	1467.37	785.88	1216.75	135.24	63.45	633.73	373.81	204.07	476.71	1286.18	358.54	848.22	1073.91	555.41	363.56	507.46	353.59	341.51	733.19	2193.99	587.13	575.03	967.76	155.5	1030.12	381.68	808.0	229.72	68.55	599.49
MOAP1	224.97	161.02	198.47	205.5	289.02	381.68	902.89	500.46	490.14	325.29	674.59	497.0	540.19	703.28	438.59	438.59	603.67	351.14	684.02	567.1	698.41	612.11	612.11	607.87	397.93	1183.45	435.55	836.53	660.68	1088.92	555.41	703.28	995.0	1023.0	684.02	426.57	1159.07	693.58	406.31	314.17
MYO6	87.65	361.04	172.65	178.77	341.51	403.5	603.67	500.46	599.49	134.3	624.99	620.67	660.68	981.29	591.22	208.38	457.25	201.25	743.43	441.64	540.19	1081.39	728.11	718.08	373.81	884.29	713.11	785.88	303.44	708.18	679.29	633.73	947.83	2090.03	656.11	339.14	981.29	463.65	353.59	376.41
NEK3	137.14	214.27	221.86	21.16	171.45	31.9	301.33	599.49	133.36	150.17	403.5	329.84	633.73	121.79	269.6	159.9	181.28	226.54	260.38	363.56	293.07	547.75	457.25	612.11	307.69	429.54	260.38	199.85	511.0	265.87	438.59	295.11	242.88	242.88	417.77	287.01	323.03	127.0	105.89	208.38
NICN1	69.52	138.1	71.0	29.7	91.41	120.1	211.31	559.28	253.23	87.03	629.35	616.37	466.88	86.43	197.09	212.78	299.25	158.79	320.8	842.36	400.71	575.03	392.44	511.0	251.48	669.92	244.57	273.37	368.65	651.58	470.14	500.46	460.44	228.13	435.55	283.05	435.55	111.99	122.64	157.68
NIPAL2	228.13	194.36	158.79	115.16	124.37	52.45	217.27	607.87	152.28	78.34	417.77	518.15	450.94	90.14	61.68	177.53	139.07	135.24	281.09	511.0	329.84	796.86	525.39	392.44	146.03	409.15	224.97	281.09	493.56	480.04	432.53	325.29	189.02	212.78	651.58	363.56	366.09	130.6	102.97	159.9
NUTM2D	33.78	19.39	48.87	81.14	35.25	13.42	69.52	242.88	43.63	26.28	194.36	146.03	136.19	11.91	84.63	54.33	66.18	36.53	92.05	177.53	77.25	124.37	167.9	143.01	18.43	177.53	84.04	153.34	133.36	236.21	107.38	205.5	88.26	76.71	77.25	90.14	135.24	38.12	66.18	116.78
OBSCN	62.56	81.71	177.53	140.04	111.21	42.41	90.77	444.72	95.34	33.3	961.07	256.78	348.71	29.48	36.53	116.78	169.07	53.57	387.02	195.72	185.11	638.15	514.56	336.79	61.68	460.44	81.71	79.45	366.09	265.87	514.56	287.01	197.09	39.22	376.41	166.73	194.36	53.95	63.0	150.17
PCYOX1	500.46	320.8	314.17	397.93	122.64	285.03	878.17	1721.16	444.72	426.57	1151.06	1605.83	1119.56	612.11	283.05	934.76	660.68	507.46	1096.5	1304.15	1277.29	1991.0	1733.13	1216.75	660.68	1540.37	1295.13	1529.73	1794.29	1447.15	2255.7	1313.23	1111.82	1096.5	1143.1	934.76	2119.22	902.89	665.29	540.19
PKDREJ	0.0	0.33	0.78	0.73	0.39	0.14	0.85	2.48	0.0	0.42	2.23	2.51	1.16	0.15	0.44	0.0	1.89	0.13	4.21	2.43	1.6	3.29	1.58	3.29	1.58	1.22	1.08	1.17	2.01	5.06	1.08	0.56	0.88	1.23	3.89	1.11	6.26	1.17	1.08	0.13
PLEKHA5	202.66	279.14	299.25	265.87	426.57	126.12	624.99	1096.5	346.29	96.01	348.71	743.43	698.41	231.32	223.41	339.14	403.5	135.24	629.35	620.67	457.25	624.99	397.93	642.59	289.02	384.34	429.54	417.77	583.07	674.59	1015.93	915.51	438.59	723.08	1104.13	447.82	713.11	211.31	171.45	115.97
PPP1R9A	0.37	0.0	0.43	0.67	2.78	7.63	74.58	140.04	24.46	0.0	60.39	70.51	281.09	38.95	28.86	18.16	47.17	12.0	104.42	66.65	71.0	258.57	80.01	237.86	22.59	476.71	128.79	141.02	74.58	231.32	198.47	92.05	101.54	211.31	138.1	67.12	199.85	31.45	35.76	1.75
PQLC3	397.93	587.13	118.43	147.06	403.5	212.78	808.0	1437.15	389.72	353.59	830.75	2384.37	1023.0	228.13	236.21	733.19	269.6	314.17	1378.57	1250.98	738.29	1397.83	1721.16	860.08	525.39	1111.82	698.41	743.43	1191.69	1066.48	1551.09	1104.13	642.59	764.36	1127.35	587.13	1143.1	551.56	555.41	312.0
RERG	7.82	1.95	30.56	13.52	13.83	55.1	429.54	808.0	114.36	79.45	248.0	1477.58	1286.18	36.01	108.9	728.11	120.94	218.79	2224.63	447.82	563.18	2004.85	1208.34	1088.92	163.28	169.07	279.14	312.0	743.43	351.14	981.29	825.0	236.21	74.58	775.05	679.29	476.71	120.94	84.04	183.82
RNF38	93.35	127.0	127.0	108.9	281.09	158.79	454.09	599.49	366.09	185.11	371.22	909.17	454.09	295.11	271.48	438.59	269.6	190.34	769.69	642.59	660.68	825.0	825.0	463.65	486.75	441.64	540.19	603.67	808.0	490.14	480.04	529.06	258.57	432.53	503.95	273.37	669.92	260.38	237.86	237.86
RP11-6L6.2	0.0	0.0	0.0	0.0	0.0	2.94	3.82	6.84	7.88	6.36	7.0	13.32	24.81	2.14	9.93	4.9	15.0	1.08	41.52	13.12	17.13	27.44	22.59	25.35	1.99	37.59	24.28	5.68	16.03	52.82	12.64	18.56	3.79	2.32	70.01	9.56	14.14	7.57	1.25	8.71
SCGB1A1	0.0	0.0	17.0	0.0	6.06	0.0	3336720.86	845824.19	2581895.97	66449.85	2141216.62	731246.37	3178687.03	2068278.89	1739208.14	834179.46	1093103.58	303217.87	1041331.96	3156730.23	845824.19	51417.5	80683.28	2691538.19	757033.75	3178687.03	1556634.79	3091765.64	828417.36	3968052.37	3134925.09	2392353.91	2082664.91	2825352.59	2691538.19	1255646.43	3070409.25	811368.76	938500.81	41763.8
