	TCGA.AK.3447.01A.01R.1766.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.50.8460.01A.11R.2326.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07
C19orf55	19.82	57.89	44.57	48.18	16.39	53.57	28.24	18.84	249.73	103.69	183.82	201.25	137.14	109.66	170.25	133.36	271.48	124.37	118.43	218.79	171.45	164.42	244.57	172.65	151.22	217.27	267.73	119.26	249.73	187.71	176.29	167.9	289.02	244.57	323.03	260.38	131.51	173.85	395.18	204.07	275.28	150.17	70.01	249.73	167.9	239.52	303.44	214.27	100.13	85.82	273.37	111.99	178.77	275.28	264.03	120.1	281.09	285.03	253.23	130.6	218.79	129.69	150.17	307.69	209.84	336.79	139.07	197.09	183.82	144.01	267.73	303.44	173.85	194.36	255.0	161.02	283.05	305.55	149.12	146.03	209.84	104.42	94.67	473.41	264.03	163.28	211.31	171.45	291.04	334.46	246.28	253.23	239.52	151.22	198.47	131.51	171.45	332.14	152.28	212.78	180.02	190.34
CASC3	148.09	460.44	417.77	325.29	316.37	356.05	269.6	187.71	967.76	764.36	1447.15	896.64	1388.16	941.27	1030.12	1096.5	1427.22	1008.9	802.41	1331.57	1191.69	1096.5	1268.46	1304.15	1487.87	1605.83	1417.35	1059.11	1313.23	1127.35	1331.57	1417.35	1721.16	1340.84	1277.29	1508.65	775.05	1369.04	1794.29	1313.23	1268.46	1191.69	1242.34	1388.16	1250.98	1313.23	1540.37	1159.07	764.36	928.3	1709.26	791.35	1143.1	1572.76	1529.73	1051.79	1175.27	1183.45	1167.14	954.43	1304.15	1051.79	1340.84	1583.71	1498.22	1498.22	1044.52	1551.09	981.29	674.59	1617.0	1594.73	1088.92	1030.12	1277.29	842.36	1359.57	1685.71	1167.14	1104.13	1508.65	947.83	961.07	1437.15	1359.57	974.5	1519.15	1167.14	1561.89	1769.57	1096.5	1051.79	1208.34	1259.69	1073.91	1111.82	1216.75	1781.89	813.63	1331.57	981.29	1151.06
CCNT1	43.94	67.59	76.17	66.65	62.56	85.22	47.5	59.13	94.67	115.97	145.02	134.3	132.44	111.21	148.09	131.51	208.38	101.54	77.79	157.68	138.1	133.36	253.23	153.34	181.28	251.48	189.02	116.78	138.1	155.5	131.51	148.09	231.32	137.14	146.03	198.47	101.54	157.68	283.05	145.02	201.25	156.59	107.38	199.85	148.09	162.14	193.01	153.34	80.57	124.37	248.0	77.25	130.6	163.28	195.72	119.26	134.3	152.28	148.09	94.67	142.01	135.24	139.07	249.73	116.78	199.85	131.51	244.57	124.37	99.43	163.28	221.86	100.13	123.5	185.11	101.54	178.77	253.23	122.64	140.04	177.53	101.54	111.21	186.4	150.17	132.44	149.12	115.97	221.86	329.84	141.02	175.07	142.01	143.01	166.73	122.64	127.89	232.94	134.3	146.03	115.97	118.43
CCNT2	29.06	102.25	57.89	126.12	123.5	161.02	115.97	53.95	234.57	161.02	281.09	297.17	303.44	185.11	318.57	285.03	318.57	202.66	93.35	400.71	293.07	325.29	521.76	325.29	327.56	417.77	327.56	246.28	253.23	341.51	314.17	392.44	366.09	271.48	285.03	493.56	211.31	255.0	420.68	341.51	379.04	368.65	146.03	329.84	368.65	312.0	397.93	204.07	172.65	194.36	447.82	249.73	236.21	287.01	334.46	215.77	269.6	429.54	397.93	127.0	293.07	348.71	209.84	363.56	269.6	476.71	275.28	435.55	217.27	217.27	281.09	351.14	154.42	244.57	363.56	226.54	361.04	371.22	208.38	376.41	246.28	283.05	212.78	423.61	346.29	241.19	400.71	361.04	307.69	607.87	293.07	341.51	271.48	267.73	395.18	228.13	253.23	457.25	255.0	287.01	251.48	199.85
CDK13	97.36	198.47	169.07	193.01	214.27	221.86	189.02	122.64	301.33	353.59	441.64	454.09	387.02	339.14	409.15	454.09	507.46	327.56	264.03	571.05	387.02	387.02	559.28	511.0	457.25	536.45	429.54	242.88	480.04	483.38	457.25	490.14	599.49	426.57	480.04	629.35	387.02	341.51	620.67	460.44	529.06	532.74	262.2	540.19	532.74	412.0	603.67	307.69	314.17	204.07	551.56	329.84	454.09	414.87	470.14	366.09	376.41	587.13	466.88	228.13	444.72	438.59	305.55	497.0	361.04	764.36	441.64	532.74	351.14	389.72	412.0	470.14	389.72	358.54	438.59	256.78	444.72	595.34	339.14	444.72	507.46	293.07	327.56	490.14	379.04	285.03	503.95	371.22	486.75	825.0	363.56	423.61	356.05	409.15	412.0	356.05	409.15	567.1	429.54	447.82	318.57	406.31
CEP164	6.06	103.69	88.88	95.34	82.87	78.34	63.45	32.36	295.11	151.22	521.76	312.0	384.34	281.09	334.46	307.69	417.77	277.2	228.13	429.54	486.75	371.22	389.72	435.55	348.71	381.68	476.71	301.33	583.07	351.14	363.56	387.02	490.14	356.05	397.93	669.92	262.2	307.69	583.07	438.59	698.41	287.01	334.46	466.88	429.54	444.72	629.35	325.29	327.56	262.2	486.75	297.17	356.05	387.02	417.77	299.25	532.74	595.34	483.38	209.84	412.0	457.25	293.07	490.14	403.5	603.67	389.72	447.82	320.8	197.09	473.41	460.44	314.17	327.56	327.56	343.89	384.34	466.88	397.93	409.15	435.55	299.25	281.09	490.14	441.64	244.57	435.55	507.46	444.72	543.96	423.61	403.5	379.04	387.02	376.41	371.22	454.09	620.67	409.15	420.68	329.84	473.41
CEP76	46.5	62.12	47.17	50.98	77.25	57.49	45.85	43.32	67.12	71.5	69.52	86.43	59.13	60.82	97.36	84.63	74.58	55.89	55.89	110.43	61.25	73.03	102.25	75.11	85.22	96.01	66.65	55.89	56.68	59.97	67.59	78.34	86.43	77.25	90.14	85.22	53.57	62.12	120.94	84.63	108.9	111.99	58.71	87.65	73.03	56.28	102.25	71.0	68.07	54.72	77.79	75.64	67.59	82.87	90.77	70.51	69.03	97.36	73.54	43.02	52.08	69.52	85.22	123.5	66.65	89.51	94.01	125.24	80.01	48.52	73.03	120.94	87.65	87.03	97.36	63.89	97.36	98.04	53.57	87.03	83.45	53.57	69.03	102.97	72.52	80.57	76.17	68.55	90.14	139.07	77.25	73.03	82.29	64.8	108.14	75.64	68.07	96.68	90.77	81.71	111.99	48.87
CLASP1	17.51	147.06	132.44	142.01	127.89	153.34	112.77	93.35	299.25	183.82	351.14	325.29	217.27	234.57	307.69	260.38	490.14	234.57	211.31	463.65	297.17	303.44	447.82	395.18	414.87	366.09	447.82	297.17	351.14	387.02	249.73	423.61	575.03	351.14	381.68	497.0	303.44	260.38	624.99	392.44	412.0	389.72	197.09	395.18	470.14	307.69	441.64	363.56	221.86	205.5	521.76	285.03	327.56	403.5	397.93	244.57	301.33	423.61	341.51	312.0	277.2	329.84	248.0	417.77	275.28	500.46	303.44	414.87	309.83	371.22	343.89	466.88	293.07	323.03	343.89	283.05	336.79	529.06	262.2	363.56	414.87	242.88	287.01	463.65	332.14	277.2	450.94	285.03	447.82	620.67	343.89	395.18	341.51	291.04	325.29	265.87	329.84	540.19	287.01	325.29	269.6	251.48
CNOT2	198.47	490.14	389.72	384.34	371.22	356.05	384.34	164.42	743.43	466.88	748.61	759.08	669.92	599.49	813.63	669.92	728.11	665.29	656.11	813.63	665.29	759.08	934.76	708.18	848.22	909.17	884.29	547.75	651.58	791.35	688.78	848.22	860.08	693.58	819.3	954.43	587.13	698.41	974.5	718.08	915.51	748.61	525.39	902.89	842.36	688.78	954.43	642.59	603.67	525.39	974.5	525.39	669.92	728.11	830.75	684.02	660.68	836.53	723.08	438.59	693.58	764.36	693.58	854.13	713.11	995.0	660.68	802.41	679.29	518.15	819.3	848.22	587.13	753.83	764.36	633.73	753.83	1030.12	698.41	748.61	808.0	647.07	679.29	947.83	842.36	684.02	878.17	688.78	830.75	1313.23	684.02	785.88	780.44	713.11	915.51	583.07	718.08	934.76	703.28	743.43	713.11	629.35
CREBBP	64.8	218.79	162.14	150.17	147.06	169.07	167.9	126.12	389.72	170.25	379.04	417.77	343.89	234.57	351.14	303.44	587.13	287.01	256.78	503.95	332.14	371.22	529.06	397.93	460.44	514.56	423.61	242.88	384.34	356.05	325.29	460.44	633.73	381.68	575.03	579.04	273.37	343.89	775.05	397.93	441.64	341.51	248.0	532.74	403.5	414.87	620.67	400.71	253.23	218.79	624.99	229.72	343.89	457.25	547.75	325.29	423.61	438.59	447.82	234.57	373.81	291.04	323.03	579.04	384.34	656.11	283.05	567.1	392.44	303.44	470.14	616.37	361.04	363.56	438.59	301.33	417.77	743.43	325.29	318.57	473.41	258.57	277.2	571.05	423.61	339.14	480.04	297.17	587.13	713.11	460.44	460.44	392.44	320.8	373.81	323.03	387.02	656.11	285.03	423.61	299.25	366.09
CTBP2	521.76	136.19	123.5	103.69	94.67	137.14	49.21	26.47	764.36	447.82	1909.85	1175.27	1008.9	941.27	967.76	1208.34	1605.83	1183.45	1175.27	2032.85	1286.18	1295.13	1551.09	1857.6	1781.89	1594.73	1583.71	1096.5	1721.16	1259.69	928.3	1628.26	1806.78	1225.22	1111.82	2271.4	1242.34	1051.79	2573.36	1378.57	1721.16	1369.04	808.0	1721.16	2018.8	1183.45	1685.71	1331.57	791.35	1096.5	2004.85	1030.12	1111.82	1119.56	1369.04	1001.93	1183.45	1397.83	1127.35	1639.59	1709.26	1216.75	909.17	2193.99	1088.92	2032.85	961.07	1991.0	1111.82	1340.84	1350.18	1950.0	1175.27	1135.2	1529.73	1233.75	1417.35	1508.65	1225.22	1151.06	1781.89	981.29	1167.14	1111.82	1183.45	1378.57	2351.53	842.36	1508.65	2104.58	1259.69	1617.0	1151.06	954.43	1388.16	1001.93	1936.53	1806.78	1508.65	1540.37	1088.92	1119.56
