	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.S3.AA11.01A.31R.A41B.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.A7.A13F.11A.42R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.XUZC.1626.SM.4BRVP	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZLV1.1426.SM.4WWES	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.1313W.0826.SM.5EQ4T	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.YJ8O.2226.SM.5IFHW	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.D5.6922.01A.11R.1928.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.1339X.1126.SM.5J2OI	GTEX.131XE.1226.SM.5EGKF	GTEX.NPJ8.2026.SM.3TW91	GTEX.146FH.1626.SM.5NQ9H	GTEX.ZTTD.1426.SM.4YCEX	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.6705.01A.12R.1884.13	GTEX.13NZ9.1126.SM.5MR37
DGKQ	215.77	348.71	74.58	88.26	139.07	99.43	73.03	37.32	43.32	71.5	96.01	135.24	104.42	99.43	155.5	99.43	61.25	63.89	70.51	111.99	73.03	138.1	64.34	68.55	65.26	50.63	84.04	134.3	97.36	60.82	191.67	92.7	59.13	161.02	244.57	85.82	63.0	57.49	92.05	87.65	180.02	47.17	115.16	180.02	46.18	33.78	77.79	67.12	74.06	141.02	112.77	98.04	137.14	348.71	332.14	241.19	253.23	454.09	309.83	226.54	35.5	44.89	50.98	229.72	361.04
DHX30	1059.11	928.3	532.74	599.49	808.0	688.78	529.06	373.81	400.71	493.56	647.07	753.83	669.92	718.08	860.08	583.07	438.59	563.18	629.35	620.67	543.96	808.0	497.0	563.18	507.46	409.15	567.1	825.0	698.41	432.53	1081.39	688.78	389.72	759.08	684.02	688.78	607.87	764.36	629.35	825.0	708.18	587.13	830.75	476.71	500.46	483.38	480.04	356.05	341.51	796.86	718.08	607.87	1059.11	1295.13	607.87	1369.04	1277.29	1583.71	1135.2	1447.15	307.69	289.02	420.68	947.83	1159.07
E4F1	567.1	612.11	134.3	157.68	303.44	228.13	116.78	75.11	87.65	147.06	255.0	251.48	178.77	223.41	334.46	183.82	84.63	138.1	195.72	214.27	158.79	303.44	125.24	162.14	140.04	96.01	152.28	285.03	187.71	186.4	476.71	173.85	99.43	242.88	432.53	180.02	214.27	198.47	185.11	237.86	260.38	167.9	234.57	153.34	115.16	85.22	153.34	77.79	126.12	211.31	267.73	166.73	389.72	521.76	341.51	674.59	607.87	961.07	493.56	575.03	82.29	109.66	116.78	420.68	679.29
EHMT1	941.27	1233.75	571.05	651.58	819.3	718.08	748.61	460.44	486.75	633.73	748.61	848.22	733.19	866.07	1167.14	703.28	583.07	540.19	813.63	764.36	642.59	872.1	551.56	698.41	703.28	583.07	764.36	909.17	642.59	429.54	1159.07	830.75	511.0	1135.2	1081.39	660.68	441.64	896.64	848.22	642.59	884.29	563.18	902.89	587.13	785.88	389.72	536.45	454.09	547.75	575.03	825.0	830.75	967.76	1073.91	543.96	921.88	909.17	1295.13	915.51	1175.27	194.36	287.01	242.88	1001.93	1250.98
ENTHD2	547.75	616.37	153.34	178.77	279.14	189.02	141.02	120.94	177.53	143.01	205.5	256.78	190.34	228.13	392.44	232.94	183.82	163.28	169.07	262.2	165.57	295.11	172.65	221.86	189.02	153.34	162.14	279.14	229.72	131.51	836.53	215.77	186.4	361.04	466.88	181.28	112.77	149.12	267.73	158.79	295.11	88.88	327.56	258.57	118.43	84.63	158.79	142.01	145.02	218.79	356.05	246.28	285.03	791.35	457.25	1008.9	1119.56	1540.37	848.22	1135.2	63.89	73.03	98.04	567.1	961.07
FAM203A	480.04	647.07	134.3	249.73	295.11	267.73	177.53	145.02	159.9	327.56	253.23	265.87	281.09	244.57	412.0	199.85	161.02	123.5	173.85	279.14	214.27	334.46	167.9	277.2	229.72	201.25	197.09	441.64	256.78	307.69	723.08	353.59	368.65	214.27	624.99	341.51	244.57	47.17	297.17	212.78	633.73	197.09	236.21	587.13	98.73	180.02	194.36	273.37	241.19	529.06	426.57	29.27	555.41	1233.75	189.02	438.59	289.02	435.55	543.96	551.56	211.31	201.25	146.03	583.07	620.67
FAM73B	470.14	490.14	181.28	211.31	277.2	351.14	255.0	180.02	140.04	275.28	229.72	371.22	251.48	366.09	447.82	329.84	157.68	265.87	381.68	260.38	258.57	358.54	253.23	236.21	206.94	256.78	368.65	358.54	221.86	208.38	830.75	441.64	212.78	262.2	414.87	181.28	100.83	98.04	371.22	231.32	305.55	121.79	334.46	229.72	115.16	107.38	142.01	244.57	226.54	241.19	327.56	156.59	323.03	603.67	457.25	733.19	647.07	1259.69	638.15	723.08	57.89	69.03	84.63	473.41	860.08
FBRSL1	1397.83	1477.58	423.61	559.28	703.28	688.78	387.02	255.0	366.09	346.29	620.67	830.75	497.0	633.73	884.29	555.41	470.14	361.04	679.29	463.65	346.29	791.35	441.64	339.14	262.2	271.48	447.82	728.11	567.1	299.25	1250.98	555.41	379.04	860.08	1340.84	587.13	426.57	567.1	928.3	651.58	376.41	575.03	665.29	170.25	470.14	172.65	387.02	265.87	309.83	718.08	454.09	642.59	1225.22	2682.69	708.18	1583.71	1674.06	1369.04	1709.26	1832.01	163.28	115.97	249.73	2209.26	1037.29
FLJ00104	53.57	44.25	16.51	22.43	35.5	33.06	14.03	17.77	28.86	15.0	18.43	36.01	34.51	34.02	58.71	23.76	30.34	30.12	24.81	24.11	19.97	39.79	15.91	30.78	24.81	21.01	21.47	47.84	28.45	31.22	94.67	37.59	12.09	39.5	56.68	35.0	17.13	16.03	38.95	24.46	34.26	7.94	32.59	20.71	11.55	24.28	15.45	9.41	28.04	31.22	29.48	30.78	56.28	176.29	17.77	79.45	96.68	117.6	65.72	135.24	11.21	4.46	6.36	78.34	107.38
GIGYF1	961.07	836.53	248.0	195.72	470.14	368.65	253.23	144.01	204.07	226.54	264.03	384.34	264.03	426.57	674.59	332.14	158.79	248.0	314.17	312.0	215.77	483.38	275.28	303.44	295.11	223.41	256.78	438.59	329.84	277.2	555.41	332.14	152.28	412.0	389.72	281.09	187.71	325.29	447.82	429.54	379.04	88.26	371.22	234.57	209.84	128.79	211.31	144.01	297.17	241.19	348.71	444.72	669.92	967.76	332.14	651.58	748.61	995.0	595.34	743.43	120.94	33.78	63.89	669.92	866.07
GTPBP3	555.41	612.11	134.3	162.14	258.57	234.57	136.19	76.17	81.14	146.03	147.06	195.72	145.02	241.19	339.14	212.78	130.6	150.17	208.38	199.85	149.12	283.05	144.01	186.4	169.07	137.14	147.06	267.73	226.54	172.65	500.46	275.28	114.36	269.6	271.48	187.71	127.89	109.66	224.97	197.09	320.8	106.63	246.28	193.01	158.79	107.38	186.4	110.43	108.9	275.28	255.0	241.19	480.04	802.41	305.55	334.46	312.0	368.65	353.59	295.11	78.89	82.29	81.71	728.11	547.75
HCFC1	764.36	884.29	429.54	503.95	543.96	571.05	366.09	339.14	368.65	348.71	371.22	575.03	500.46	507.46	555.41	376.41	435.55	397.93	447.82	450.94	356.05	567.1	376.41	348.71	339.14	368.65	409.15	624.99	470.14	463.65	808.0	629.35	438.59	733.19	679.29	444.72	387.02	483.38	450.94	525.39	579.04	403.5	486.75	607.87	414.87	239.52	450.94	423.61	343.89	579.04	559.28	387.02	728.11	1242.34	483.38	679.29	896.64	753.83	1073.91	791.35	215.77	127.89	297.17	1127.35	728.11
HERC2	934.76	1159.07	624.99	808.0	679.29	842.36	587.13	679.29	629.35	447.82	540.19	718.08	733.19	684.02	785.88	733.19	780.44	587.13	679.29	679.29	624.99	791.35	583.07	633.73	525.39	713.11	559.28	791.35	854.13	764.36	819.3	934.76	733.19	890.44	1143.1	759.08	579.04	551.56	842.36	547.75	902.89	327.56	941.27	575.03	529.06	229.72	647.07	620.67	860.08	896.64	503.95	688.78	890.44	1685.71	583.07	1066.48	1259.69	1151.06	1135.2	1066.48	303.44	236.21	260.38	738.29	934.76
KLC2	466.88	660.68	185.11	204.07	381.68	389.72	164.42	74.58	127.89	279.14	265.87	314.17	262.2	273.37	409.15	249.73	164.42	189.02	208.38	237.86	109.66	397.93	125.24	195.72	185.11	171.45	208.38	346.29	244.57	287.01	279.14	651.58	253.23	307.69	775.05	232.94	117.6	87.65	395.18	236.21	199.85	234.57	353.59	241.19	170.25	175.07	217.27	256.78	100.13	435.55	379.04	223.41	599.49	1037.29	351.14	981.29	1127.35	1216.75	954.43	988.12	132.44	110.43	147.06	759.08	540.19
KLHL17	214.27	463.65	26.47	47.5	97.36	51.71	40.93	16.27	25.17	34.02	40.93	49.56	66.65	64.8	115.16	49.56	36.79	41.22	55.1	57.89	39.22	92.05	38.4	42.11	36.27	32.36	35.5	73.54	98.73	34.26	180.02	144.01	43.63	84.04	148.09	67.59	27.25	13.83	59.55	43.63	147.06	30.12	127.89	153.34	22.1	35.76	33.54	32.82	15.0	67.59	119.26	45.85	115.97	665.29	91.41	368.65	575.03	743.43	339.14	503.95	27.64	8.38	19.68	146.03	395.18
LRRC14	540.19	651.58	224.97	299.25	318.57	327.56	173.85	191.67	194.36	187.71	258.57	289.02	314.17	309.83	409.15	283.05	237.86	237.86	255.0	218.79	217.27	387.02	218.79	244.57	178.77	198.47	220.32	348.71	351.14	211.31	896.64	303.44	165.57	420.68	351.14	277.2	208.38	195.72	281.09	275.28	341.51	153.34	273.37	293.07	291.04	97.36	248.0	126.12	163.28	387.02	366.09	228.13	376.41	1331.57	248.0	514.56	909.17	1340.84	791.35	656.11	190.34	146.03	153.34	480.04	723.08
MROH1	346.29	403.5	115.16	151.22	251.48	205.5	90.77	102.25	103.69	88.88	169.07	226.54	218.79	217.27	281.09	183.82	127.89	123.5	190.34	193.01	151.22	283.05	109.66	158.79	134.3	120.1	122.64	285.03	177.53	108.14	738.29	190.34	64.34	318.57	215.77	167.9	76.71	102.97	305.55	149.12	146.03	125.24	182.55	163.28	151.22	126.12	100.83	83.45	69.52	159.9	206.94	182.55	244.57	1331.57	205.5	575.03	575.03	748.61	417.77	323.03	55.1	28.86	87.03	412.0	842.36
NACC1	607.87	1111.82	244.57	525.39	503.95	473.41	205.5	231.32	162.14	320.8	381.68	518.15	543.96	363.56	460.44	343.89	376.41	244.57	343.89	316.37	279.14	483.38	182.55	283.05	195.72	221.86	289.02	665.29	426.57	521.76	656.11	532.74	316.37	595.34	612.11	348.71	260.38	273.37	500.46	444.72	579.04	206.94	303.44	599.49	262.2	299.25	271.48	466.88	371.22	547.75	327.56	221.86	438.59	915.51	389.72	470.14	514.56	423.61	693.58	854.13	152.28	253.23	244.57	1950.0	423.61
NAT9	915.51	896.64	241.19	332.14	567.1	426.57	329.84	194.36	229.72	339.14	373.81	435.55	363.56	397.93	647.07	376.41	215.77	318.57	346.29	346.29	320.8	547.75	221.86	454.09	336.79	223.41	343.89	638.15	423.61	301.33	753.83	275.28	169.07	540.19	529.06	351.14	291.04	293.07	470.14	500.46	624.99	316.37	309.83	438.59	185.11	325.29	228.13	181.28	289.02	343.89	547.75	351.14	854.13	1388.16	376.41	1073.91	981.29	1757.34	791.35	802.41	141.02	301.33	279.14	620.67	1313.23
NEURL4	563.18	764.36	165.57	147.06	325.29	241.19	185.11	120.94	147.06	181.28	204.07	251.48	221.86	283.05	486.75	220.32	155.5	138.1	279.14	267.73	149.12	356.05	154.42	223.41	177.53	185.11	167.9	358.54	223.41	187.71	708.18	303.44	161.02	381.68	412.0	211.31	185.11	166.73	339.14	303.44	314.17	115.97	351.14	191.67	106.63	118.43	163.28	151.22	173.85	232.94	271.48	289.02	493.56	547.75	241.19	802.41	941.27	1183.45	796.86	848.22	40.36	40.64	67.12	368.65	738.29
PCNXL3	620.67	1015.93	273.37	381.68	409.15	376.41	217.27	197.09	209.84	234.57	269.6	395.18	435.55	348.71	473.41	336.79	332.14	251.48	334.46	312.0	237.86	460.44	228.13	258.57	231.32	229.72	267.73	503.95	392.44	320.8	1088.92	339.14	262.2	473.41	595.34	346.29	323.03	246.28	412.0	327.56	466.88	180.02	392.44	361.04	287.01	150.17	234.57	271.48	297.17	420.68	387.02	358.54	470.14	954.43	460.44	693.58	603.67	759.08	665.29	854.13	234.57	155.5	241.19	854.13	785.88
PDDC1	1457.23	1191.69	384.34	679.29	679.29	638.15	368.65	291.04	366.09	514.56	486.75	603.67	638.15	563.18	928.3	551.56	473.41	503.95	540.19	500.46	400.71	813.63	417.77	476.71	438.59	417.77	312.0	796.86	698.41	642.59	1268.46	884.29	392.44	665.29	775.05	733.19	226.54	279.14	1127.35	444.72	974.5	212.78	412.0	915.51	332.14	217.27	450.94	466.88	379.04	928.3	595.34	295.11	830.75	1437.15	387.02	1175.27	1286.18	1572.76	1183.45	1340.84	195.72	115.97	291.04	872.1	1208.34
PHRF1	503.95	547.75	193.01	163.28	358.54	343.89	220.32	107.38	120.94	199.85	301.33	366.09	215.77	320.8	389.72	297.17	115.97	167.9	283.05	281.09	211.31	358.54	182.55	214.27	212.78	131.51	262.2	406.31	224.97	175.07	376.41	305.55	163.28	316.37	314.17	264.03	187.71	348.71	299.25	265.87	327.56	251.48	301.33	175.07	209.84	91.41	143.01	148.09	177.53	264.03	353.59	204.07	435.55	514.56	305.55	514.56	507.46	624.99	409.15	376.41	72.01	65.72	81.14	612.11	466.88
PI4KA	1044.52	1359.57	679.29	860.08	796.86	884.29	559.28	688.78	651.58	525.39	638.15	884.29	860.08	796.86	1023.0	764.36	890.44	656.11	759.08	866.07	616.37	836.53	583.07	698.41	669.92	684.02	647.07	909.17	796.86	543.96	1457.23	872.1	441.64	1127.35	1304.15	679.29	476.71	583.07	974.5	703.28	708.18	728.11	1437.15	825.0	607.87	476.71	454.09	414.87	389.72	947.83	796.86	753.83	1066.48	934.76	791.35	1529.73	1369.04	2240.11	1721.16	1427.22	249.73	371.22	543.96	1295.13	1844.76
PPIL2	785.88	1216.75	379.04	518.15	638.15	532.74	339.14	285.03	329.84	366.09	438.59	555.41	532.74	470.14	620.67	500.46	432.53	381.68	454.09	466.88	395.18	587.13	299.25	397.93	389.72	327.56	444.72	551.56	555.41	329.84	830.75	334.46	275.28	559.28	559.28	463.65	432.53	476.71	511.0	688.78	450.94	336.79	406.31	414.87	373.81	454.09	387.02	336.79	339.14	346.29	329.84	423.61	536.45	854.13	480.04	579.04	579.04	540.19	595.34	684.02	142.01	197.09	291.04	947.83	961.07
PPP6R1	780.44	941.27	423.61	466.88	633.73	656.11	409.15	255.0	318.57	381.68	579.04	629.35	500.46	587.13	665.29	529.06	389.72	414.87	493.56	674.59	454.09	620.67	348.71	438.59	454.09	316.37	476.71	796.86	503.95	368.65	1044.52	567.1	412.0	647.07	961.07	420.68	490.14	638.15	567.1	470.14	633.73	255.0	775.05	547.75	277.2	221.86	371.22	334.46	490.14	738.29	718.08	503.95	728.11	1175.27	543.96	1191.69	1191.69	1159.07	1295.13	1397.83	336.79	371.22	438.59	1417.35	1551.09
PPP6R2	1104.13	1583.71	525.39	463.65	830.75	669.92	555.41	318.57	312.0	612.11	529.06	733.19	612.11	748.61	836.53	616.37	366.09	507.46	738.29	595.34	551.56	854.13	473.41	532.74	441.64	400.71	551.56	785.88	651.58	334.46	1477.58	486.75	299.25	825.0	1030.12	480.04	327.56	403.5	819.3	647.07	642.59	253.23	426.57	438.59	361.04	358.54	379.04	379.04	497.0	551.56	624.99	693.58	995.0	1037.29	633.73	1639.59	1331.57	1819.35	1119.56	1268.46	124.37	223.41	361.04	1008.9	1617.0
PSKH1	567.1	567.1	500.46	555.41	460.44	629.35	493.56	361.04	379.04	532.74	441.64	642.59	567.1	571.05	638.15	551.56	363.56	463.65	571.05	493.56	525.39	511.0	463.65	423.61	358.54	486.75	540.19	607.87	518.15	511.0	748.61	563.18	507.46	647.07	698.41	429.54	447.82	612.11	718.08	473.41	543.96	198.47	791.35	450.94	363.56	231.32	551.56	518.15	483.38	698.41	503.95	361.04	555.41	713.11	406.31	575.03	780.44	595.34	669.92	629.35	127.89	239.52	281.09	718.08	575.03
PTCD1	163.28	156.59	78.89	88.88	116.78	109.66	88.88	80.01	73.54	102.97	114.36	106.63	98.04	113.56	149.12	144.01	84.04	93.35	123.5	108.9	97.36	116.78	69.52	97.36	86.43	68.55	100.83	138.1	111.21	105.15	197.09	136.19	83.45	108.9	148.09	100.13	91.41	78.34	183.82	90.77	163.28	92.7	130.6	73.54	111.21	67.12	92.05	80.01	108.14	115.97	87.03	99.43	187.71	295.11	100.83	198.47	202.66	163.28	224.97	260.38	43.94	49.91	47.5	202.66	172.65
PYGO2	813.63	1286.18	414.87	547.75	638.15	607.87	507.46	447.82	447.82	463.65	476.71	473.41	612.11	536.45	713.11	555.41	463.65	514.56	656.11	490.14	486.75	669.92	540.19	620.67	503.95	466.88	540.19	599.49	583.07	674.59	1088.92	1051.79	547.75	551.56	896.64	559.28	486.75	217.27	723.08	426.57	733.19	348.71	532.74	733.19	389.72	579.04	368.65	532.74	490.14	595.34	551.56	397.93	780.44	884.29	389.72	733.19	995.0	748.61	896.64	688.78	275.28	291.04	435.55	759.08	1119.56
