	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13113.1326.SM.5GCOI	GTEX.11NUK.1226.SM.5P9GM	GTEX.XBEC.1526.SM.4AT68	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
PCNP	1073.91	703.28	514.56	796.86	698.41	848.22	995.0	775.05	3060.45	3874.05	2384.37	1991.0	3060.45	2047.0	4268.94	2627.46	3168.41	3564.78	2004.85	2271.4	2682.69	2133.97	1709.26	3349.13	2400.97	1844.76	3081.75	2895.31	3742.05	3540.14	3146.52	2335.28	3443.31	3081.75	2018.8	2255.7	3874.05	1769.57	3515.68	2255.7	4010.71	3982.99	2451.44	1991.0	2351.53	2591.27	2537.92	1870.53	2645.74	2664.15	2255.7	2367.9	1794.29	2090.03	2032.85	4671.57	3564.78	3874.05	2502.97	3303.0	3168.41
PNRC2	511.0	339.14	283.05	1008.9	497.0	356.05	536.45	536.45	3372.43	3928.15	2240.11	2075.59	3212.66	2485.67	3982.99	2591.27	4210.15	3039.3	1733.13	2061.24	3124.78	2319.15	1745.2	3665.02	2209.26	2119.22	3589.58	2701.35	3303.0	2976.74	3168.41	3190.46	3467.27	3491.39	1651.0	2367.9	4358.66	1963.57	4152.18	2367.9	3955.48	5255.91	2520.38	2384.37	2303.12	2591.27	2976.74	1721.16	2777.33	2816.11	2148.82	2935.74	1628.26	2119.22	2178.83	4268.94	3955.48	3928.15	2502.97	3955.48	3039.3
POLR2M	229.72	181.28	112.77	223.41	115.16	145.02	163.28	106.63	612.11	738.29	371.22	348.71	713.11	361.04	825.0	444.72	536.45	555.41	376.41	412.0	529.06	480.04	295.11	733.19	620.67	438.59	642.59	684.02	878.17	575.03	698.41	660.68	579.04	607.87	281.09	441.64	733.19	320.8	791.35	463.65	660.68	802.41	387.02	480.04	414.87	587.13	507.46	403.5	460.44	511.0	363.56	486.75	287.01	320.8	412.0	819.3	591.22	842.36	483.38	543.96	624.99
PRNP	669.92	159.9	532.74	642.59	248.0	334.46	253.23	204.07	3190.46	3614.55	1721.16	1628.26	3212.66	890.44	3901.01	1870.53	2627.46	1963.57	1233.75	1135.2	1721.16	1963.57	1350.18	3168.41	2075.59	1457.23	2485.67	2976.74	4066.71	2502.97	2627.46	2591.27	1870.53	2645.74	934.76	2303.12	3589.58	693.58	2720.15	1857.6	3395.89	4066.71	1529.73	1923.14	1639.59	2018.8	2193.99	1819.35	2434.5	2351.53	1896.65	2287.2	1059.11	2367.9	1447.15	5751.61	2400.97	2047.0	2075.59	2935.74	2240.11
PTPRA	493.56	256.78	334.46	183.82	232.94	281.09	309.83	224.97	2468.49	2148.82	1322.37	1208.34	2075.59	1023.0	2163.77	1104.13	1508.65	1883.54	1159.07	1268.46	1191.69	1519.15	1001.93	2451.44	1350.18	1331.57	1844.76	2133.97	2645.74	1685.71	2287.2	1295.13	1733.13	2047.0	1030.12	1304.15	2224.63	967.76	2119.22	1467.37	2193.99	1685.71	995.0	1059.11	1561.89	1359.57	1340.84	1295.13	1369.04	1369.04	1119.56	1199.98	981.29	1427.22	1183.45	2148.82	1397.83	1617.0	1561.89	2090.03	1781.89
SH3BGRL	500.46	281.09	325.29	403.5	463.65	198.47	279.14	409.15	3190.46	3665.02	2075.59	1769.57	3103.19	2104.58	3515.68	1781.89	2816.11	2875.3	1733.13	1844.76	2287.2	1628.26	1583.71	3443.31	2303.12	1991.0	3103.19	2434.5	3349.13	2682.69	3060.45	2502.97	2835.7	2915.45	1617.0	2047.0	3515.68	1674.06	3212.66	1806.78	3820.7	3716.2	2163.77	1883.54	1769.57	2004.85	2384.37	1709.26	1977.24	1857.6	1883.54	2193.99	1457.23	2664.15	1883.54	3372.43	2609.3	2303.12	2255.7	2720.15	3081.75
STAG2	237.86	273.37	94.67	170.25	136.19	255.0	307.69	141.02	748.61	1277.29	813.63	647.07	1037.29	769.69	1250.98	1023.0	1104.13	791.35	587.13	825.0	974.5	974.5	543.96	1030.12	830.75	674.59	819.3	842.36	1073.91	825.0	878.17	1051.79	988.12	1066.48	536.45	791.35	2004.85	567.1	954.43	802.41	988.12	1350.18	595.34	759.08	884.29	954.43	909.17	723.08	1111.82	890.44	486.75	764.36	480.04	656.11	796.86	1561.89	934.76	890.44	785.88	1059.11	1059.11
SVIP	318.57	332.14	206.94	175.07	293.07	182.55	152.28	371.22	1467.37	1304.15	884.29	674.59	1397.83	748.61	2032.85	928.3	1183.45	1277.29	665.29	660.68	928.3	647.07	607.87	1322.37	974.5	808.0	1508.65	1030.12	1594.73	1467.37	1111.82	848.22	1437.15	1191.69	591.22	902.89	1685.71	808.0	1498.22	909.17	1127.35	1304.15	967.76	836.53	1096.5	909.17	961.07	599.49	796.86	764.36	921.88	981.29	532.74	915.51	769.69	1159.07	1304.15	1225.22	1023.0	1369.04	1572.76
SYF2	1030.12	1081.39	551.56	480.04	679.29	848.22	656.11	616.37	2451.44	2816.11	1991.0	1477.58	2758.13	1697.45	2796.65	2119.22	2148.82	2178.83	1697.45	1909.85	2090.03	1781.89	1407.55	2417.67	1757.34	2004.85	2434.5	2573.36	2956.17	2915.45	2075.59	1757.34	2178.83	2468.49	1540.37	2018.8	2758.13	1594.73	2664.15	2047.0	3039.3	2645.74	1806.78	1487.87	2148.82	2303.12	1896.65	1896.65	1870.53	1870.53	1844.76	2384.37	1407.55	2148.82	1697.45	2451.44	2451.44	2664.15	2224.63	2061.24	2417.67
TATDN1	674.59	417.77	215.77	281.09	291.04	426.57	237.86	232.94	1295.13	1437.15	854.13	575.03	1135.2	642.59	1369.04	728.11	1119.56	1167.14	684.02	624.99	796.86	612.11	764.36	928.3	718.08	656.11	1111.82	1008.9	1111.82	1175.27	934.76	753.83	1250.98	1259.69	532.74	748.61	1639.59	703.28	1175.27	848.22	1135.2	1159.07	802.41	738.29	884.29	825.0	708.18	743.43	915.51	723.08	638.15	878.17	713.11	808.0	607.87	1216.75	1051.79	1167.14	967.76	1119.56	1023.0
