	GTEX.147F4.0926.SM.5Q5EO	GTEX.WFG8.0926.SM.3GIKJ	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QEG5.1126.SM.33HC2
CATSPER1	12.64	224.97	152.28	708.18	47.84	10.08	17.51	148.09	212.78	8.13	122.64	187.71	153.34	72.52	24.63	35.76
CCDC97	195.72	656.11	248.0	371.22	660.68	149.12	187.71	769.69	612.11	182.55	688.78	718.08	738.29	620.67	457.25	384.34
CENPBD1	52.08	170.25	59.97	100.83	194.36	38.67	38.95	212.78	204.07	43.63	201.25	214.27	195.72	157.68	149.12	85.22
CLP1	186.4	381.68	231.32	161.02	327.56	127.89	128.79	368.65	348.71	134.3	371.22	336.79	406.31	336.79	305.55	241.19
COG8	77.25	336.79	165.57	224.97	392.44	129.69	141.02	339.14	305.55	172.65	346.29	325.29	327.56	346.29	256.78	221.86
DDX28	54.72	244.57	118.43	127.0	223.41	34.51	45.53	260.38	246.28	52.82	256.78	217.27	260.38	283.05	234.57	155.5
DHDDS	273.37	802.41	417.77	426.57	629.35	246.28	249.73	688.78	802.41	242.88	884.29	753.83	967.76	769.69	612.11	620.67
DNAJC30	71.0	239.52	111.21	115.97	251.48	28.65	51.35	265.87	218.79	49.21	293.07	217.27	249.73	256.78	209.84	116.78
EDF1	6164.49	11584.24	9740.98	10154.69	12589.08	7230.1	6745.86	11827.67	9808.75	3589.58	17197.56	15934.98	13033.07	4736.79	9409.14	7642.41
ELOF1	612.11	1757.34	915.51	1127.35	1883.54	575.03	791.35	1709.26	1467.37	620.67	1832.01	1950.0	2075.59	1277.29	1359.57	1111.82
EXO5	31.9	198.47	69.03	64.34	236.21	43.63	25.17	173.85	152.28	35.25	175.07	170.25	185.11	165.57	142.01	78.34
FEM1A	51.71	358.54	130.6	189.02	444.72	77.79	55.49	381.68	444.72	92.7	325.29	486.75	764.36	521.76	392.44	143.01
FICD	61.68	229.72	90.14	86.43	199.85	64.8	39.22	163.28	187.71	40.93	190.34	281.09	346.29	159.9	92.05	63.45
FIZ1	93.35	356.05	120.1	172.65	381.68	132.44	88.88	323.03	318.57	82.87	269.6	318.57	307.69	237.86	194.36	141.02
FKBPL	104.42	136.19	57.89	82.29	127.0	81.71	66.18	166.73	100.83	95.34	151.22	157.68	229.72	79.45	126.12	105.15
FTSJ2	165.57	629.35	323.03	409.15	651.58	157.68	156.59	698.41	642.59	204.07	743.43	620.67	718.08	525.39	543.96	341.51
FTSJ3	314.17	447.82	171.45	334.46	633.73	246.28	228.13	688.78	616.37	182.55	669.92	915.51	842.36	334.46	325.29	236.21
GPATCH3	108.9	353.59	135.24	204.07	273.37	92.05	110.43	334.46	249.73	108.9	291.04	303.44	332.14	223.41	262.2	201.25
GPN2	197.09	514.56	384.34	403.5	429.54	275.28	273.37	444.72	532.74	201.25	583.07	497.0	759.08	525.39	395.18	379.04
GSTP1	11345.82	28132.47	35856.82	39785.74	35609.13	11345.82	12853.63	46662.28	44145.15	6561.36	48982.22	48982.22	34396.12	38697.77	23656.34	30361.44
IMP3	616.37	1242.34	674.59	748.61	1628.26	325.29	295.11	1977.24	1397.83	389.72	1417.35	1540.37	1477.58	1167.14	1119.56	555.41
JAGN1	356.05	1023.0	514.56	536.45	884.29	205.5	256.78	995.0	791.35	381.68	947.83	928.3	961.07	780.44	854.13	669.92
KCTD21	95.34	239.52	53.19	115.97	177.53	53.95	62.56	209.84	163.28	68.55	172.65	202.66	264.03	111.21	128.79	63.45
KTI12	72.01	253.23	159.9	134.3	218.79	105.15	61.25	253.23	185.11	92.7	214.27	224.97	260.38	220.32	217.27	175.07
LCMT2	50.98	185.11	63.0	75.64	170.25	48.52	32.36	198.47	170.25	38.95	218.79	212.78	228.13	155.5	96.01	73.03
LDOC1L	97.36	348.71	199.85	212.78	412.0	84.04	100.13	406.31	318.57	92.05	429.54	412.0	423.61	312.0	293.07	123.5
LRP10	1844.76	3665.02	4268.94	3639.7	3395.89	2591.27	2434.5	3742.05	2777.33	3060.45	4512.4	2537.92	6840.04	3955.48	2537.92	3540.14
LSM6	543.96	1350.18	866.07	988.12	1295.13	769.69	476.71	1561.89	1639.59	432.53	1199.98	1923.14	974.5	1044.52	718.08	591.22
MED18	57.08	327.56	123.5	187.71	332.14	63.89	85.22	417.77	329.84	117.6	384.34	348.71	463.65	314.17	229.72	127.0
MEPCE	624.99	866.07	334.46	497.0	988.12	713.11	389.72	909.17	1051.79	587.13	1030.12	954.43	1233.75	743.43	647.07	450.94
MIEF1	206.94	329.84	265.87	241.19	353.59	221.86	92.7	373.81	483.38	205.5	457.25	348.71	441.64	389.72	332.14	231.32
NCOA5	281.09	454.09	267.73	279.14	665.29	258.57	224.97	642.59	483.38	228.13	518.15	665.29	579.04	361.04	409.15	220.32
NDUFA1	1870.53	3257.52	2591.27	3280.18	2976.74	1950.0	1909.85	3235.01	3690.52	988.12	3982.99	4358.66	2591.27	2875.3	2319.15	1088.92
NDUFA4	1477.58	2555.58	1745.2	2664.15	2895.31	1044.52	1487.87	3280.18	3716.2	1088.92	3018.3	4972.34	3303.0	2701.35	2255.7	1397.83
NDUFAF3	1397.83	2417.67	2609.3	2855.44	3146.52	902.89	1175.27	3168.41	2997.45	587.13	3614.55	3742.05	2758.13	3212.66	2004.85	1883.54
NEDD8	2271.4	8901.53	3794.3	5183.54	5555.65	2451.44	2875.3	6983.79	7382.04	2319.15	7280.4	11745.96	6983.79	4937.99	5112.16	3955.48
NME7	135.24	258.57	312.0	808.0	842.36	121.79	223.41	595.34	406.31	161.02	563.18	723.08	346.29	363.56	507.46	165.57
NT5DC2	368.65	902.89	414.87	825.0	1313.23	665.29	988.12	1457.23	988.12	616.37	1111.82	1583.71	1963.57	802.41	1159.07	454.09
NUFIP1	35.25	91.41	40.64	32.59	97.36	35.5	26.1	90.14	94.01	16.51	97.36	108.9	104.42	90.14	74.58	72.52
NUP214	361.04	1242.34	575.03	854.13	1151.06	389.72	518.15	1015.93	748.61	441.64	1001.93	1407.55	1242.34	753.83	1388.16	693.58
PES1	432.53	1498.22	708.18	674.59	1175.27	426.57	305.55	1066.48	1508.65	297.17	1540.37	1909.85	2163.77	1250.98	759.08	896.64
PITHD1	1023.0	1457.23	872.1	1268.46	1304.15	759.08	612.11	1277.29	1216.75	638.15	1388.16	1551.09	1605.83	954.43	1008.9	1151.06
PMVK	429.54	1628.26	624.99	988.12	1487.87	395.18	414.87	1617.0	1662.49	435.55	1909.85	1757.34	2303.12	1331.57	1199.98	728.11
POLR2F	967.76	2032.85	1268.46	1417.35	2047.0	571.05	587.13	1628.26	1757.34	441.64	2537.92	3443.31	1832.01	1477.58	1397.83	708.18
POLR2I	896.64	1487.87	1529.73	2271.4	2720.15	988.12	1286.18	2520.38	1651.0	559.28	2271.4	4328.55	2047.0	974.5	1313.23	1199.98
POLR2L	1721.16	6561.36	2997.45	7331.05	5479.15	2178.83	3491.39	4972.34	5594.3	1487.87	7589.61	9673.69	7642.41	6121.9	4836.35	1437.15
PPP1CA	1540.37	4802.93	2520.38	3325.99	4543.8	1674.06	1651.0	4671.57	4419.52	1733.13	5112.16	5147.73	5517.27	4358.66	3901.01	3060.45
PSMC3	2682.69	4239.45	2468.49	1844.76	2976.74	1950.0	1639.59	4010.71	4450.27	1250.98	3540.14	5954.47	4671.57	2739.08	1477.58	2645.74
PSMC5	1242.34	3419.52	1605.83	1551.09	3901.01	1044.52	1037.29	3564.78	4152.18	836.53	3665.02	5329.3	4419.52	2468.49	2555.58	2645.74
PTPN6	1199.98	3103.19	1844.76	3928.15	2287.2	1540.37	1806.78	2384.37	3716.2	1225.22	2816.11	3820.7	4210.15	2935.74	2148.82	1883.54
RAB1B	1950.0	3491.39	4575.41	5441.3	5594.3	3168.41	2777.33	5633.22	3081.75	2485.67	6294.04	4937.99	4937.99	2875.3	3443.31	2271.4
RBM15B	314.17	441.64	366.09	373.81	559.28	267.73	277.2	521.76	389.72	246.28	466.88	486.75	500.46	457.25	454.09	183.82
RNF40	1199.98	1519.15	967.76	1340.84	1794.29	842.36	988.12	1331.57	1540.37	947.83	2367.9	2209.26	2720.15	1051.79	1111.82	1498.22
ROMO1	1487.87	3820.7	3639.7	3235.01	3690.52	1991.0	2555.58	4358.66	4358.66	947.83	5441.3	9606.86	4358.66	3349.13	3564.78	3103.19
RP11-343C2.12	132.44	387.02	137.14	193.01	253.23	141.02	0.0	197.09	281.09	92.7	255.0	260.38	366.09	105.89	181.28	122.64
RP4-758J18.2	133.36	320.8	158.79	287.01	395.18	120.1	181.28	480.04	432.53	127.0	246.28	473.41	473.41	305.55	289.02	127.0
RPTOR	202.66	361.04	239.52	476.71	371.22	189.02	189.02	412.0	285.03	177.53	312.0	348.71	532.74	312.0	248.0	312.0
SAP18	3018.3	3303.0	3928.15	2855.44	2645.74	1508.65	1268.46	3103.19	4869.99	1331.57	5954.47	6426.31	3103.19	4239.45	2835.7	2075.59
SCAF1	514.56	607.87	447.82	718.08	1059.11	450.94	353.59	842.36	669.92	169.07	688.78	961.07	791.35	466.88	262.2	190.34
SCAP	264.03	769.69	490.14	796.86	1030.12	368.65	460.44	872.1	842.36	493.56	967.76	1081.39	1175.27	878.17	753.83	633.73
SF3B4	728.11	1350.18	796.86	638.15	1561.89	674.59	555.41	1369.04	1417.35	432.53	1594.73	1819.35	1896.65	1242.34	1015.93	532.74
SFTPB	2777.33	1890058.21	3007221.12	2825352.59	2884719.27	373.81	2485.67	3223059.86	2845004.48	126606.21	5057523.59	762299.34	2493947.08	3245478.02	2359417.65	2546350.23
SLC10A3	301.33	860.08	470.14	476.71	728.11	234.57	397.93	780.44	503.95	228.13	733.19	684.02	896.64	579.04	780.44	327.56
SUPT4H1	902.89	3303.0	1572.76	2104.58	2163.77	633.73	995.0	3690.52	2193.99	1322.37	3081.75	3467.27	1923.14	2271.4	2351.53	947.83
SWI5	334.46	571.05	297.17	521.76	660.68	406.31	473.41	583.07	444.72	450.94	808.0	728.11	775.05	444.72	507.46	607.87
SYP	15.0	73.03	63.89	75.11	223.41	14.78	31.67	221.86	125.24	44.89	194.36	124.37	205.5	61.68	45.21	22.75
TACO1	70.51	426.57	202.66	214.27	400.71	107.38	123.5	395.18	447.82	115.16	463.65	444.72	476.71	406.31	334.46	289.02
TADA3	463.65	1551.09	718.08	909.17	1561.89	500.46	703.28	1605.83	1295.13	753.83	1605.83	1639.59	1639.59	1199.98	1268.46	1001.93
TFIP11	447.82	450.94	244.57	486.75	733.19	473.41	435.55	684.02	563.18	373.81	555.41	884.29	813.63	507.46	503.95	450.94
TMA7	3257.52	9215.48	5913.33	8363.13	8479.89	3564.78	4836.35	6792.79	8658.09	2816.11	9151.82	11584.24	6121.9	7032.37	7032.37	3955.48
TMEM186	88.26	267.73	123.5	152.28	232.94	62.12	51.35	255.0	264.03	85.82	260.38	279.14	295.11	176.29	198.47	115.16
TMEM199	229.72	748.61	339.14	334.46	665.29	209.84	283.05	698.41	688.78	209.84	878.17	1127.35	884.29	603.67	503.95	318.57
TMEM205	2004.85	3443.31	3794.3	2664.15	4358.66	2485.67	2664.15	3212.66	2895.31	1508.65	5872.48	6337.83	7331.05	2178.83	3303.0	5594.3
TMEM258	2468.49	5555.65	5995.9	4937.99	5441.3	1769.57	2895.31	5555.65	4937.99	2271.4	8305.36	8901.53	8247.98	3955.48	4328.55	4903.87
TMEM261	339.14	1322.37	624.99	813.63	819.3	348.71	293.07	753.83	1447.15	303.44	1529.73	1551.09	1044.52	723.08	460.44	381.68
TOE1	68.07	258.57	111.99	84.04	226.54	115.16	112.77	256.78	186.4	99.43	260.38	253.23	301.33	223.41	140.04	117.6
UFSP1	7.11	66.65	7.4	11.38	54.72	9.41	11.47	74.06	66.65	0.0	55.89	78.89	70.01	73.03	20.56	8.25
UQCR11	1225.22	4419.52	2997.45	4328.55	3742.05	1950.0	2004.85	3303.0	4481.23	1286.18	6121.9	6250.56	6037.61	5183.54	4937.99	2209.26
VAPB	316.37	902.89	441.64	583.07	693.58	381.68	341.51	813.63	947.83	460.44	981.29	1001.93	947.83	688.78	660.68	460.44
VIMP	1896.65	3665.02	2664.15	1457.23	2976.74	1001.93	954.43	3349.13	2701.35	1015.93	2895.31	3982.99	3419.52	2384.37	2701.35	1662.49
WDR24	37.85	136.19	156.59	201.25	242.88	111.99	94.01	206.94	181.28	67.59	228.13	244.57	248.0	190.34	171.45	172.65
WDR5	111.99	457.25	320.8	409.15	493.56	195.72	239.52	579.04	616.37	265.87	583.07	748.61	718.08	432.53	525.39	299.25
ZBTB45	47.5	264.03	127.89	157.68	262.2	62.12	51.35	299.25	318.57	86.43	281.09	323.03	389.72	279.14	202.66	118.43
ZC3H4	150.17	536.45	251.48	256.78	642.59	191.67	129.69	525.39	514.56	144.01	660.68	540.19	674.59	412.0	389.72	251.48
ZMAT5	194.36	656.11	444.72	559.28	848.22	190.34	226.54	854.13	775.05	289.02	1044.52	796.86	921.88	679.29	836.53	591.22
ZNF2	18.16	71.5	14.35	32.59	55.1	15.91	23.08	56.28	57.08	22.43	74.58	54.72	62.56	45.53	33.3	24.11
ZNF557	33.06	54.33	27.25	34.02	66.65	19.25	37.32	86.43	65.72	53.57	75.11	66.18	82.87	60.39	41.81	37.05
ZNF764	47.5	68.07	82.29	120.94	136.19	94.01	88.88	134.3	76.71	58.71	152.28	126.12	120.94	99.43	86.43	67.59
ZNF79	37.85	70.51	36.79	50.63	86.43	30.78	29.48	94.01	80.57	26.28	98.04	83.45	127.89	78.34	52.45	44.89
ZSWIM3	19.39	83.45	16.27	26.86	92.7	18.7	16.27	76.71	74.58	25.35	89.51	101.54	102.97	53.57	41.81	25.72
