	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.FD.A5BZ.01A.11R.A28M.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.FD.A3B8.01A.31R.A20F.07	TCGA.FD.A3SP.01A.31R.A22U.07	TCGA.FD.A62S.01A.11R.A30C.07	TCGA.E9.A226.01A.21R.A157.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.D8.A1JE.01A.11R.A13Q.07	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.D8.A1JU.01A.11R.A13Q.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.E2.A1BC.01A.11R.A12P.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A7.A26F.01A.21R.A169.07.1	TCGA.A8.A07J.01A.11R.A00Z.07	TCGA.AR.A24T.01A.11R.A169.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.BH.A0BJ.01A.11R.A056.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.D8.A27K.01A.11R.A16F.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.CQ.7072.01A.21R.A30B.07	TCGA.CV.7433.01A.11R.2132.07	TCGA.78.8648.01A.11R.2403.07	TCGA.MP.A4TC.01A.11R.A24X.07	TCGA.44.6774.01A.21R.1858.07	TCGA.44.7662.01A.11R.2066.07	TCGA.J2.8192.01A.11R.2241.07	TCGA.43.6647.01A.11R.1820.07	TCGA.18.3417.01A.01R.1443.07	TCGA.60.2724.01A.01R.0851.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.85.8582.01A.21R.2403.07	TCGA.34.5928.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.N6.A4VF.01A.31R.A28V.07
CDON	89.51	27.44	55.89	16.03	53.19	43.63	21.32	366.09	92.7	392.44	100.13	571.05	718.08	226.54	339.14	118.43	277.2	111.99	151.22	76.71	115.97	36.27	124.37	351.14	149.12	189.02	121.79	47.17	36.79	40.93	218.79	759.08	363.56	921.88	44.25	48.87	242.88	125.24	96.68	389.72	215.77	102.97	1059.11	346.29	796.86	226.54	57.49	33.54	54.72	19.97	84.63	74.58	104.42	21.01	11.55	11.73	24.11	47.17	55.89	55.49	32.82	62.12	60.82	39.5	16.88	49.91	27.84	226.54	102.25	72.01	82.29	27.05	49.21	66.18	44.89	58.3	171.45	1733.13	131.51	108.14	134.3
CEP120	115.97	136.19	149.12	124.37	198.47	135.24	107.38	358.54	224.97	320.8	215.77	201.25	400.71	291.04	417.77	173.85	199.85	281.09	229.72	194.36	303.44	182.55	189.02	217.27	287.01	264.03	283.05	132.44	190.34	206.94	305.55	283.05	409.15	215.77	167.9	152.28	237.86	343.89	198.47	297.17	260.38	253.23	423.61	158.79	217.27	246.28	183.82	87.65	69.52	63.0	217.27	145.02	97.36	88.26	120.94	65.72	97.36	127.0	137.14	134.3	128.79	113.56	98.04	104.42	73.03	183.82	105.89	154.42	162.14	248.0	130.6	80.01	93.35	193.01	122.64	132.44	139.07	234.57	366.09	283.05	152.28
CHD1	563.18	241.19	206.94	173.85	447.82	312.0	273.37	620.67	551.56	656.11	339.14	368.65	1135.2	642.59	2502.97	379.04	543.96	1378.57	521.76	1359.57	825.0	301.33	785.88	647.07	764.36	759.08	559.28	228.13	460.44	381.68	684.02	825.0	1819.35	679.29	371.22	376.41	470.14	1447.15	389.72	1135.2	660.68	624.99	651.58	406.31	346.29	579.04	497.0	400.71	221.86	126.12	483.38	376.41	217.27	265.87	303.44	273.37	224.97	575.03	275.28	295.11	297.17	295.11	351.14	366.09	262.2	403.5	348.71	429.54	303.44	693.58	283.05	176.29	221.86	638.15	341.51	314.17	466.88	555.41	848.22	796.86	432.53
CLASP2	127.0	169.07	221.86	193.01	277.2	234.57	181.28	454.09	371.22	460.44	297.17	279.14	555.41	543.96	1037.29	307.69	379.04	679.29	414.87	277.2	438.59	269.6	336.79	318.57	353.59	351.14	460.44	175.07	336.79	237.86	497.0	536.45	624.99	423.61	253.23	269.6	414.87	1407.55	256.78	708.18	473.41	356.05	1295.13	486.75	397.93	543.96	303.44	163.28	165.57	121.79	291.04	229.72	185.11	153.34	182.55	91.41	129.69	221.86	249.73	191.67	189.02	162.14	217.27	214.27	125.24	239.52	127.89	258.57	180.02	267.73	193.01	139.07	136.19	297.17	199.85	255.0	164.42	307.69	579.04	438.59	206.94
COL3A1	239554.43	97965.44	246289.25	122293.5	73730.83	93325.55	80125.95	58655.36	119776.72	155870.75	215898.44	108699.57	110216.97	40904.3	32092.64	131982.68	159145.95	87681.42	112532.89	114897.47	55877.28	209994.66	73221.53	65082.31	86474.27	108699.57	84694.64	69753.56	133825.1	184082.4	90773.53	95949.32	36610.26	45701.96	138544.47	127486.83	215898.44	53601.03	115696.65	43236.64	29736.59	120609.84	119776.72	286861.53	434801.29	142439.51	89523.81	88291.3	172949.54	80683.28	160252.91	97965.44	110216.97	99333.0	72213.45	389157.95	195931.88	111755.56	209994.66	136637.07	96616.71	146444.06	127486.83	111755.56	80683.28	149521.18	59887.86	144427.91	70727.3	67377.47	115696.65	78476.96	85876.94	160252.91	147462.67	128373.58	128373.58	194578.47	70238.75	147462.67	87075.75
COMMD10	316.37	447.82	323.03	267.73	511.0	346.29	406.31	967.76	583.07	679.29	571.05	432.53	708.18	808.0	1059.11	532.74	447.82	698.41	854.13	651.58	1037.29	460.44	651.58	947.83	775.05	780.44	981.29	351.14	764.36	571.05	796.86	733.19	1088.92	1015.93	587.13	595.34	529.06	1340.84	1044.52	723.08	764.36	718.08	733.19	551.56	713.11	389.72	414.87	363.56	358.54	275.28	423.61	387.02	305.55	232.94	325.29	157.68	271.48	366.09	339.14	363.56	283.05	480.04	420.68	301.33	336.79	435.55	258.57	389.72	387.02	583.07	343.89	507.46	368.65	441.64	309.83	397.93	325.29	507.46	387.02	346.29	521.76
CSNK1G3	271.48	279.14	287.01	262.2	336.79	279.14	231.32	633.73	406.31	555.41	412.0	438.59	703.28	579.04	1286.18	341.51	309.83	1037.29	559.28	493.56	866.07	438.59	536.45	454.09	620.67	651.58	688.78	273.37	395.18	389.72	748.61	603.67	759.08	547.75	371.22	318.57	303.44	1059.11	406.31	583.07	642.59	460.44	698.41	595.34	267.73	320.8	269.6	204.07	187.71	224.97	376.41	368.65	273.37	241.19	329.84	194.36	246.28	406.31	346.29	305.55	316.37	420.68	432.53	332.14	198.47	293.07	215.77	363.56	309.83	463.65	281.09	249.73	218.79	444.72	251.48	343.89	454.09	384.34	376.41	473.41	297.17
CTPS2	153.34	140.04	214.27	275.28	191.67	236.21	194.36	1066.48	356.05	511.0	256.78	332.14	426.57	836.53	514.56	438.59	329.84	346.29	215.77	470.14	389.72	228.13	323.03	490.14	656.11	454.09	348.71	217.27	454.09	151.22	343.89	379.04	607.87	511.0	620.67	1617.0	269.6	607.87	253.23	466.88	583.07	297.17	551.56	387.02	320.8	183.82	187.71	143.01	65.72	69.52	108.14	94.67	108.14	107.38	121.79	127.0	228.13	76.17	167.9	117.6	93.35	98.73	106.63	140.04	104.42	221.86	253.23	299.25	211.31	353.59	204.07	133.36	92.05	279.14	133.36	129.69	218.79	197.09	323.03	271.48	368.65
CXorf23	70.01	51.71	98.04	69.52	85.22	72.01	74.58	199.85	143.01	175.07	102.25	101.54	149.12	142.01	248.0	127.0	117.6	135.24	141.02	134.3	175.07	115.97	144.01	110.43	211.31	144.01	231.32	70.01	87.65	93.35	191.67	159.9	190.34	150.17	81.71	114.36	129.69	226.54	98.73	133.36	172.65	139.07	194.36	120.94	45.85	75.11	70.01	44.57	36.79	28.24	61.68	66.65	63.0	40.07	44.57	59.13	75.64	52.45	88.88	41.81	54.72	47.17	49.91	43.94	46.18	59.97	115.97	74.58	59.13	140.04	46.84	27.25	38.67	137.14	79.45	52.45	66.18	108.14	141.02	145.02	78.89
DCTN4	312.0	312.0	457.25	289.02	547.75	441.64	334.46	1191.69	995.0	1059.11	684.02	575.03	1313.23	1088.92	1119.56	563.18	567.1	802.41	981.29	915.51	1378.57	547.75	693.58	1073.91	909.17	967.76	1088.92	400.71	616.37	507.46	1183.45	995.0	1397.83	1183.45	743.43	764.36	748.61	1561.89	1044.52	961.07	1175.27	688.78	1359.57	825.0	543.96	599.49	457.25	426.57	466.88	258.57	713.11	723.08	620.67	379.04	387.02	703.28	241.19	1044.52	480.04	346.29	575.03	1143.1	642.59	327.56	753.83	417.77	341.51	493.56	454.09	599.49	406.31	387.02	559.28	575.03	414.87	435.55	547.75	629.35	759.08	848.22	674.59
DHFRL1	36.01	60.39	62.12	77.79	63.89	78.89	72.01	161.02	111.21	155.5	82.29	170.25	239.52	170.25	111.21	165.57	100.83	81.71	150.17	156.59	218.79	151.22	73.54	173.85	170.25	108.9	128.79	59.97	74.58	73.03	149.12	145.02	115.16	84.04	101.54	115.16	137.14	153.34	100.13	153.34	127.0	146.03	301.33	81.14	209.84	85.82	61.68	87.65	73.03	31.22	104.42	77.79	69.52	81.71	70.51	84.04	53.95	50.98	81.14	92.7	85.82	92.7	79.45	59.97	48.52	81.71	31.22	62.56	40.36	99.43	53.19	24.46	42.11	77.25	67.59	61.25	94.67	130.6	87.65	58.3	44.57
DHX29	187.71	299.25	255.0	220.32	320.8	289.02	307.69	536.45	447.82	490.14	346.29	346.29	854.13	620.67	808.0	420.68	366.09	974.5	575.03	320.8	1059.11	435.55	866.07	532.74	679.29	624.99	733.19	256.78	417.77	435.55	802.41	660.68	934.76	733.19	420.68	379.04	473.41	1119.56	490.14	616.37	642.59	454.09	698.41	339.14	395.18	392.44	323.03	325.29	281.09	137.14	392.44	329.84	212.78	236.21	291.04	285.03	172.65	708.18	325.29	256.78	226.54	318.57	312.0	281.09	244.57	289.02	234.57	279.14	262.2	599.49	273.37	277.2	177.53	341.51	249.73	314.17	293.07	447.82	361.04	351.14	417.77
DMXL1	195.72	309.83	205.5	169.07	277.2	151.22	153.34	248.0	368.65	356.05	258.57	312.0	583.07	490.14	1295.13	285.03	309.83	1135.2	414.87	314.17	395.18	255.0	320.8	327.56	432.53	314.17	514.56	279.14	299.25	202.66	429.54	341.51	503.95	466.88	253.23	191.67	353.59	1397.83	441.64	429.54	379.04	346.29	759.08	567.1	248.0	211.31	217.27	113.56	171.45	155.5	295.11	279.14	123.5	177.53	191.67	98.73	141.02	241.19	134.3	197.09	197.09	246.28	244.57	232.94	117.6	293.07	167.9	255.0	130.6	329.84	170.25	104.42	99.43	241.19	149.12	170.25	267.73	518.15	447.82	426.57	205.5
DTWD2	11.3	61.68	47.84	29.27	60.39	40.93	32.13	159.9	68.55	111.99	43.32	78.89	186.4	120.94	228.13	109.66	61.68	155.5	127.0	80.57	176.29	115.97	115.16	90.14	100.83	102.25	156.59	47.84	89.51	31.22	164.42	115.97	92.05	142.01	59.55	72.52	118.43	201.25	127.89	153.34	176.29	88.26	211.31	78.89	58.3	57.08	25.54	34.26	48.52	29.06	64.8	60.82	25.91	31.9	33.06	23.08	18.03	69.03	44.25	52.08	59.55	98.04	68.07	37.32	25.35	54.72	27.25	49.21	24.99	108.14	38.95	29.7	22.59	48.87	38.12	51.71	63.0	78.34	108.14	77.79	54.33
ERBB2IP	258.57	454.09	397.93	329.84	503.95	412.0	403.5	1233.75	860.08	974.5	532.74	684.02	1388.16	1540.37	2591.27	825.0	629.35	1832.01	813.63	830.75	1023.0	733.19	934.76	848.22	1322.37	1015.93	1225.22	297.17	698.41	514.56	1259.69	860.08	1583.71	902.89	444.72	579.04	775.05	2209.26	854.13	1286.18	941.27	902.89	1073.91	684.02	633.73	463.65	381.68	728.11	389.72	269.6	595.34	511.0	420.68	316.37	323.03	423.61	251.48	656.11	525.39	371.22	423.61	559.28	555.41	536.45	312.0	429.54	403.5	500.46	463.65	753.83	368.65	211.31	287.01	583.07	373.81	493.56	529.06	603.67	928.3	723.08	514.56
FAM13B	68.55	143.01	293.07	140.04	251.48	180.02	183.82	493.56	351.14	547.75	283.05	334.46	518.15	379.04	633.73	183.82	368.65	376.41	466.88	195.72	387.02	343.89	271.48	195.72	325.29	463.65	466.88	169.07	289.02	209.84	381.68	371.22	387.02	389.72	248.0	279.14	318.57	612.11	339.14	507.46	521.76	291.04	967.76	417.77	435.55	205.5	164.42	109.66	120.94	25.91	162.14	158.79	78.89	115.97	117.6	75.11	65.26	107.38	111.21	93.35	154.42	98.73	134.3	102.97	84.04	181.28	108.14	186.4	136.19	241.19	59.97	20.71	73.03	220.32	125.24	128.79	124.37	409.15	490.14	281.09	283.05
FAM151B	31.45	26.67	33.54	21.01	22.1	35.0	21.78	73.54	44.25	43.32	31.0	38.12	57.49	37.85	89.51	46.84	37.05	76.71	62.12	41.22	63.45	50.27	28.45	28.45	34.51	47.5	84.63	17.13	61.25	39.5	66.18	38.4	70.51	46.84	46.18	31.9	43.32	100.83	43.32	34.75	45.85	49.56	70.01	65.72	41.52	39.79	27.84	28.24	11.38	7.17	24.99	23.93	17.51	17.0	22.43	34.26	35.76	15.91	25.35	30.34	27.84	31.45	17.77	15.0	15.8	31.0	25.54	44.25	14.67	44.25	24.28	16.03	16.75	38.4	29.06	19.53	29.48	68.55	35.0	47.5	42.71
FAM214A	163.28	332.14	341.51	348.71	279.14	176.29	195.72	1991.0	902.89	575.03	450.94	723.08	941.27	2287.2	2004.85	698.41	1015.93	651.58	981.29	454.09	2224.63	819.3	579.04	1304.15	1540.37	1477.58	579.04	909.17	571.05	271.48	764.36	1477.58	2271.4	759.08	728.11	1662.49	769.69	2090.03	591.22	2047.0	2895.31	819.3	1572.76	890.44	414.87	379.04	249.73	212.78	285.03	154.42	301.33	348.71	180.02	403.5	211.31	181.28	149.12	376.41	212.78	332.14	432.53	312.0	476.71	412.0	229.72	529.06	514.56	320.8	651.58	733.19	348.71	87.03	215.77	441.64	406.31	414.87	228.13	473.41	995.0	808.0	486.75
FBXL17	88.26	140.04	138.1	105.15	211.31	138.1	94.67	460.44	285.03	301.33	172.65	183.82	447.82	336.79	441.64	305.55	185.11	381.68	361.04	279.14	297.17	273.37	307.69	400.71	271.48	246.28	356.05	84.04	220.32	211.31	376.41	287.01	381.68	441.64	144.01	201.25	275.28	514.56	275.28	379.04	368.65	251.48	480.04	140.04	251.48	212.78	147.06	189.02	206.94	75.11	223.41	122.64	133.36	141.02	175.07	155.5	116.78	172.65	113.56	148.09	149.12	190.34	236.21	155.5	72.52	140.04	88.26	141.02	99.43	303.44	159.9	105.15	90.77	202.66	141.02	96.01	177.53	265.87	314.17	195.72	116.78
FBXO38	226.54	348.71	271.48	198.47	341.51	299.25	285.03	860.08	616.37	470.14	381.68	316.37	884.29	642.59	995.0	389.72	444.72	620.67	466.88	473.41	854.13	316.37	470.14	603.67	543.96	567.1	802.41	325.29	511.0	406.31	599.49	651.58	902.89	521.76	463.65	392.44	466.88	1119.56	473.41	647.07	555.41	521.76	791.35	612.11	460.44	500.46	351.14	237.86	320.8	212.78	361.04	346.29	279.14	258.57	249.73	255.0	223.41	336.79	336.79	265.87	307.69	332.14	312.0	265.87	343.89	414.87	220.32	368.65	295.11	563.18	262.2	191.67	206.94	490.14	264.03	269.6	348.71	376.41	620.67	595.34	334.46
