	TCGA.A8.A08Z.01A.21R.A00Z.07	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E2.A159.01A.11R.A115.07	TCGA.AR.A1AR.01A.31R.A137.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.CV.7407.01A.11R.2081.07	TCGA.55.1592.01A.01R.0946.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.86.7711.01A.11R.2066.07	TCGA.60.2704.01A.11R.2045.07	TCGA.66.2742.01A.01R.0980.07	TCGA.85.8666.01A.11R.2403.07	TCGA.77.7338.01A.11R.2045.07	TCGA.56.A62T.01A.11R.A405.07	TCGA.34.2608.01A.02R.0851.07	TCGA.66.2773.01A.01R.1201.07	TCGA.63.A5MH.01A.12R.A27Q.07	TCGA.85.7844.01A.11R.2125.07	TCGA.21.1071.01A.01R.0692.07	TCGA.BR.8289.01A.11R.2343.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	GTEX.R55C.0626.SM.2TF4Q	GTEX.ZTPG.0826.SM.5DUVC	GTEX.11TT1.1126.SM.5P9GV
CAPZA1	2645.74	2209.26	3847.29	4575.41	2956.17	1781.89	1096.5	2075.59	3395.89	2976.74	2485.67	2303.12	3395.89	2627.46	2255.7	2018.8	2591.27	2591.27	3146.52	3060.45	2935.74	1508.65	4328.55	1096.5	974.5	1508.65	1119.56	830.75	1551.09	1721.16	1583.71	1487.87	1088.92	954.43	1277.29	988.12	915.51	1250.98	1037.29	1819.35	981.29	1268.46	836.53	1059.11	1457.23	1745.2	872.1	1508.65	1467.37	1378.57	808.0	1159.07	1467.37	1733.13	1175.27	981.29	967.76	1191.69	1135.2	1023.0	1183.45	1540.37	1605.83	1250.98	1295.13	1417.35	1551.09	1378.57	1477.58	1508.65	1277.29	1427.22	1199.98	1350.18	988.12	1322.37	1001.93	1397.83	1529.73	1268.46	1151.06	1175.27	1388.16	921.88	1127.35	1225.22	995.0	1225.22	1350.18	1467.37	1250.98	988.12	1225.22	1397.83	1467.37	1359.57	1104.13	1806.78	1923.14	1583.71	1268.46	1427.22	1769.57	1008.9	1127.35	1225.22	1295.13	1639.59	1081.39	1225.22	1794.29	1225.22	1427.22	1427.22	2537.92	1519.15	988.12	1015.93
CDC73	674.59	842.36	450.94	769.69	279.14	444.72	307.69	460.44	642.59	511.0	656.11	438.59	656.11	466.88	591.22	309.83	356.05	371.22	529.06	429.54	457.25	444.72	269.6	229.72	229.72	218.79	191.67	236.21	236.21	287.01	265.87	220.32	214.27	220.32	228.13	125.24	228.13	209.84	148.09	271.48	265.87	258.57	167.9	176.29	256.78	303.44	134.3	253.23	191.67	281.09	146.03	220.32	189.02	253.23	264.03	265.87	121.79	224.97	237.86	182.55	180.02	248.0	229.72	237.86	150.17	211.31	223.41	218.79	204.07	265.87	236.21	226.54	241.19	182.55	215.77	175.07	217.27	212.78	236.21	265.87	277.2	175.07	316.37	206.94	197.09	264.03	166.73	218.79	232.94	231.32	237.86	264.03	258.57	221.86	208.38	154.42	199.85	236.21	303.44	343.89	181.28	142.01	262.2	228.13	154.42	228.13	262.2	301.33	195.72	206.94	258.57	223.41	260.38	204.07	373.81	470.14	334.46	323.03
CHD1L	688.78	703.28	1096.5	802.41	665.29	518.15	748.61	967.76	1111.82	616.37	866.07	575.03	890.44	563.18	785.88	395.18	543.96	633.73	954.43	536.45	1015.93	1001.93	769.69	397.93	327.56	307.69	361.04	368.65	316.37	293.07	363.56	320.8	353.59	221.86	387.02	279.14	253.23	447.82	244.57	358.54	279.14	379.04	253.23	260.38	283.05	438.59	373.81	480.04	379.04	275.28	356.05	373.81	384.34	406.31	241.19	273.37	307.69	212.78	241.19	363.56	291.04	406.31	414.87	246.28	249.73	301.33	258.57	299.25	400.71	486.75	303.44	460.44	363.56	334.46	275.28	255.0	262.2	320.8	381.68	334.46	271.48	283.05	291.04	212.78	329.84	334.46	366.09	392.44	293.07	363.56	318.57	167.9	358.54	314.17	435.55	332.14	420.68	384.34	457.25	543.96	283.05	334.46	423.61	297.17	291.04	540.19	392.44	376.41	314.17	221.86	395.18	395.18	454.09	295.11	525.39	339.14	187.71	226.54
CNOT11	813.63	796.86	1277.29	1111.82	651.58	1081.39	507.46	1447.15	1457.23	1183.45	995.0	669.92	802.41	1037.29	808.0	718.08	669.92	836.53	647.07	748.61	1127.35	1159.07	1896.65	503.95	348.71	507.46	466.88	511.0	463.65	432.53	532.74	503.95	460.44	395.18	379.04	293.07	277.2	518.15	267.73	500.46	312.0	444.72	336.79	426.57	417.77	444.72	336.79	454.09	348.71	500.46	303.44	397.93	412.0	490.14	395.18	376.41	341.51	379.04	409.15	392.44	483.38	463.65	438.59	366.09	373.81	361.04	387.02	423.61	414.87	457.25	395.18	444.72	438.59	392.44	395.18	414.87	346.29	389.72	483.38	409.15	555.41	395.18	486.75	228.13	384.34	332.14	323.03	450.94	490.14	454.09	470.14	295.11	536.45	493.56	503.95	346.29	389.72	334.46	463.65	318.57	366.09	493.56	432.53	379.04	346.29	414.87	312.0	438.59	363.56	373.81	414.87	406.31	470.14	457.25	603.67	633.73	490.14	490.14
COPA	3589.58	3768.09	3146.52	3955.48	2701.35	1594.73	1896.65	2163.77	3349.13	2591.27	2816.11	2319.15	3665.02	2240.11	2224.63	1662.49	1844.76	1950.0	2148.82	2895.31	1963.57	2682.69	3395.89	1322.37	1378.57	1519.15	1397.83	1340.84	1498.22	2061.24	1617.0	1378.57	1159.07	1151.06	1313.23	1191.69	1322.37	1073.91	1030.12	1709.26	1794.29	1605.83	1066.48	1378.57	1498.22	1794.29	1175.27	2148.82	1594.73	1583.71	1151.06	1295.13	1794.29	1769.57	1268.46	1628.26	934.76	1286.18	1407.55	1233.75	1605.83	2119.22	2133.97	1447.15	1467.37	1331.57	1331.57	1175.27	1183.45	1721.16	1674.06	1437.15	1286.18	1191.69	1277.29	1340.84	1111.82	1487.87	1519.15	1467.37	1745.2	1467.37	1857.6	1477.58	1467.37	1437.15	1216.75	1088.92	1397.83	1508.65	1304.15	1508.65	2061.24	1340.84	1467.37	1225.22	1015.93	1498.22	1331.57	1832.01	1477.58	1572.76	1407.55	1605.83	1081.39	1757.34	1519.15	1651.0	1397.83	1697.45	1662.49	1369.04	1832.01	1096.5	1709.26	2224.63	1909.85	1832.01
CSNK1G3	651.58	612.11	346.29	466.88	381.68	348.71	269.6	293.07	291.04	392.44	229.72	486.75	341.51	287.01	429.54	463.65	339.14	376.41	327.56	332.14	603.67	291.04	318.57	164.42	195.72	191.67	173.85	152.28	231.32	253.23	229.72	175.07	202.66	183.82	166.73	111.21	237.86	183.82	127.89	253.23	195.72	251.48	154.42	155.5	165.57	299.25	132.44	193.01	218.79	220.32	136.19	153.34	173.85	231.32	163.28	217.27	105.15	177.53	176.29	158.79	158.79	223.41	221.86	153.34	141.02	161.02	159.9	148.09	170.25	209.84	208.38	173.85	202.66	149.12	154.42	154.42	147.06	195.72	229.72	242.88	220.32	149.12	236.21	197.09	181.28	205.5	132.44	164.42	218.79	223.41	187.71	223.41	275.28	206.94	214.27	145.02	172.65	201.25	215.77	201.25	149.12	183.82	202.66	181.28	159.9	214.27	187.71	248.0	163.28	152.28	244.57	190.34	169.07	141.02	363.56	277.2	271.48	221.86
CTDSPL2	476.71	395.18	351.14	511.0	356.05	353.59	186.4	246.28	314.17	307.69	341.51	529.06	389.72	241.19	392.44	187.71	366.09	429.54	435.55	860.08	358.54	256.78	543.96	191.67	195.72	161.02	170.25	131.51	214.27	228.13	226.54	155.5	155.5	158.79	104.42	78.34	132.44	137.14	96.01	198.47	169.07	218.79	111.21	130.6	180.02	273.37	100.83	163.28	148.09	164.42	105.15	148.09	169.07	186.4	166.73	157.68	88.26	255.0	127.89	117.6	133.36	197.09	279.14	185.11	130.6	151.22	126.12	105.15	150.17	198.47	209.84	159.9	186.4	136.19	170.25	163.28	123.5	221.86	205.5	241.19	189.02	173.85	229.72	121.79	177.53	215.77	105.15	120.94	189.02	236.21	202.66	162.14	312.0	147.06	176.29	115.97	121.79	166.73	167.9	178.77	153.34	115.97	165.57	211.31	102.97	185.11	236.21	251.48	115.16	133.36	251.48	199.85	142.01	157.68	297.17	476.71	226.54	197.09
CTSB	38164.99	11112.3	34396.12	28132.47	75803.72	122293.5	131071.0	31650.8	15285.81	27745.15	104271.56	47974.16	131982.68	90773.53	65082.31	122293.5	78476.96	162489.97	49666.0	60304.42	138544.47	129266.49	127486.83	378516.38	365622.68	172949.54	193234.41	228208.61	301123.38	184082.4	267651.2	253213.41	175363.84	177811.84	221968.2	215898.44	307450.64	193234.41	198667.0	197294.7	290865.98	189257.69	101420.22	311742.51	177811.84	154794.07	131982.68	174152.51	214407.12	389157.95	144427.91	151608.43	171754.88	182810.84	148488.36	282912.21	98646.85	220434.95	202841.44	242898.5	191899.64	201440.3	204252.32	327241.36	391864.76	165904.25	198667.0	200048.85	200048.85	168220.2	201440.3	176583.6	179048.63	185362.8	158046.64	162489.97	162489.97	299043.36	167058.21	185362.8	191899.64	175363.84	185362.8	428815.23	170568.48	207103.59	193234.41	168220.2	197294.7	208544.12	190574.09	260332.24	162489.97	218912.29	167058.21	158046.64	175363.84	226632.25	212926.09	241220.67	175363.84	174152.51	209994.66	184082.4	208544.12	288856.81	181548.07	214407.12	163620.18	180294.02	163620.18	165904.25	236256.4	194578.47	104996.83	120609.84	156954.93	191899.64
DCAF12	848.22	902.89	1313.23	1216.75	603.67	759.08	1081.39	780.44	2061.24	674.59	376.41	1030.12	612.11	603.67	713.11	571.05	698.41	441.64	536.45	728.11	638.15	928.3	679.29	400.71	307.69	329.84	320.8	381.68	373.81	387.02	368.65	285.03	327.56	348.71	237.86	253.23	277.2	406.31	215.77	392.44	358.54	392.44	231.32	305.55	297.17	480.04	242.88	366.09	373.81	343.89	229.72	334.46	329.84	406.31	265.87	381.68	206.94	389.72	389.72	264.03	336.79	438.59	426.57	334.46	316.37	323.03	287.01	258.57	297.17	336.79	356.05	341.51	273.37	248.0	312.0	281.09	275.28	371.22	339.14	305.55	432.53	277.2	426.57	387.02	303.44	426.57	309.83	285.03	314.17	343.89	368.65	457.25	371.22	312.0	309.83	255.0	305.55	356.05	376.41	363.56	334.46	325.29	320.8	353.59	271.48	348.71	343.89	420.68	303.44	336.79	387.02	358.54	318.57	277.2	563.18	521.76	551.56	376.41
DCUN1D1	642.59	947.83	775.05	947.83	457.25	371.22	1268.46	486.75	476.71	860.08	684.02	1304.15	1477.58	633.73	1757.34	703.28	941.27	1023.0	583.07	1191.69	1896.65	669.92	264.03	273.37	307.69	201.25	191.67	189.02	226.54	332.14	228.13	212.78	154.42	181.28	116.78	119.26	171.45	147.06	156.59	241.19	197.09	237.86	134.3	177.53	178.77	343.89	138.1	201.25	190.34	260.38	144.01	164.42	237.86	229.72	167.9	253.23	102.25	287.01	214.27	153.34	178.77	206.94	281.09	199.85	173.85	176.29	193.01	126.12	152.28	189.02	209.84	186.4	191.67	178.77	191.67	172.65	149.12	214.27	220.32	223.41	212.78	178.77	295.11	193.01	185.11	305.55	205.5	175.07	253.23	237.86	232.94	320.8	339.14	165.57	248.0	114.36	165.57	228.13	217.27	181.28	177.53	140.04	171.45	262.2	134.3	262.2	202.66	312.0	175.07	157.68	277.2	205.5	171.45	201.25	406.31	368.65	325.29	332.14
DDX21	1268.46	1467.37	674.59	2720.15	1044.52	961.07	974.5	529.06	921.88	1216.75	1467.37	1467.37	1662.49	1923.14	2400.97	842.36	1015.93	915.51	748.61	616.37	1350.18	1639.59	1111.82	536.45	500.46	334.46	329.84	368.65	642.59	624.99	470.14	429.54	353.59	392.44	237.86	181.28	480.04	486.75	226.54	447.82	559.28	521.76	183.82	318.57	226.54	571.05	218.79	426.57	432.53	500.46	163.28	249.73	316.37	497.0	197.09	511.0	180.02	403.5	403.5	307.69	316.37	514.56	536.45	395.18	329.84	262.2	237.86	193.01	368.65	450.94	348.71	387.02	426.57	262.2	379.04	363.56	239.52	444.72	409.15	409.15	490.14	309.83	629.35	395.18	297.17	457.25	297.17	293.07	470.14	429.54	486.75	703.28	543.96	273.37	309.83	244.57	384.34	450.94	476.71	450.94	373.81	309.83	454.09	476.71	226.54	387.02	503.95	884.29	277.2	341.51	567.1	466.88	356.05	420.68	1111.82	555.41	583.07	620.67
DDX6	1529.73	967.76	1199.98	1359.57	961.07	775.05	486.75	842.36	796.86	1191.69	728.11	1191.69	1051.79	616.37	802.41	698.41	679.29	764.36	599.49	830.75	713.11	674.59	688.78	441.64	366.09	403.5	387.02	241.19	358.54	679.29	450.94	327.56	258.57	279.14	181.28	214.27	285.03	273.37	202.66	503.95	279.14	500.46	211.31	281.09	316.37	620.67	248.0	525.39	368.65	366.09	172.65	256.78	435.55	486.75	256.78	397.93	138.1	381.68	297.17	217.27	368.65	463.65	693.58	381.68	277.2	239.52	221.86	142.01	334.46	507.46	490.14	334.46	432.53	303.44	332.14	325.29	165.57	507.46	460.44	551.56	348.71	381.68	591.22	287.01	334.46	379.04	194.36	248.0	368.65	583.07	412.0	353.59	825.0	327.56	417.77	194.36	189.02	376.41	299.25	339.14	353.59	373.81	361.04	463.65	191.67	563.18	423.61	651.58	289.02	301.33	624.99	366.09	346.29	267.73	684.02	947.83	934.76	660.68
DESI2	866.07	1225.22	1030.12	1096.5	518.15	603.67	759.08	624.99	785.88	748.61	1359.57	718.08	490.14	748.61	1044.52	373.81	599.49	890.44	718.08	713.11	836.53	743.43	1417.35	297.17	285.03	397.93	441.64	269.6	412.0	346.29	417.77	332.14	406.31	332.14	356.05	232.94	309.83	299.25	307.69	414.87	249.73	417.77	297.17	253.23	325.29	540.19	283.05	412.0	400.71	397.93	267.73	332.14	351.14	423.61	329.84	353.59	260.38	346.29	395.18	265.87	299.25	444.72	395.18	299.25	271.48	318.57	334.46	299.25	295.11	395.18	318.57	361.04	314.17	299.25	312.0	279.14	221.86	387.02	423.61	356.05	323.03	275.28	511.0	303.44	277.2	387.02	256.78	275.28	371.22	387.02	351.14	397.93	392.44	334.46	392.44	301.33	348.71	373.81	353.59	470.14	323.03	309.83	343.89	353.59	351.14	279.14	373.81	518.15	271.48	256.78	457.25	348.71	490.14	293.07	521.76	432.53	543.96	353.59
DFFA	551.56	447.82	733.19	612.11	571.05	392.44	438.59	624.99	470.14	457.25	334.46	395.18	346.29	470.14	384.34	684.02	490.14	412.0	679.29	518.15	417.77	1023.0	470.14	325.29	400.71	267.73	277.2	559.28	366.09	403.5	348.71	281.09	273.37	329.84	301.33	281.09	291.04	236.21	232.94	301.33	299.25	387.02	291.04	249.73	343.89	441.64	267.73	305.55	336.79	379.04	258.57	256.78	281.09	334.46	277.2	373.81	275.28	358.54	348.71	275.28	295.11	358.54	392.44	281.09	253.23	229.72	249.73	269.6	320.8	379.04	368.65	293.07	358.54	327.56	285.03	295.11	251.48	297.17	325.29	351.14	339.14	312.0	332.14	265.87	251.48	336.79	343.89	262.2	392.44	351.14	291.04	256.78	460.44	258.57	303.44	273.37	346.29	305.55	307.69	281.09	316.37	264.03	279.14	368.65	267.73	373.81	320.8	366.09	271.48	293.07	414.87	323.03	285.03	373.81	463.65	397.93	400.71	379.04
DIEXF	258.57	339.14	150.17	303.44	112.77	164.42	164.42	115.16	178.77	173.85	68.07	156.59	139.07	176.29	283.05	115.16	113.56	170.25	193.01	118.43	183.82	176.29	153.34	77.79	102.25	94.67	84.63	64.34	93.35	67.59	89.51	89.51	78.89	83.45	84.04	71.0	105.89	55.49	66.65	92.7	61.68	116.78	71.5	54.33	78.34	111.99	80.57	125.24	90.14	62.12	81.71	50.98	105.89	90.14	70.51	76.17	64.34	98.04	67.59	72.52	88.26	93.35	111.21	59.13	43.63	46.84	50.27	71.0	88.26	101.54	98.73	95.34	84.63	74.06	96.01	86.43	53.95	108.14	98.04	105.89	68.07	83.45	77.79	82.29	63.0	87.03	67.12	94.67	96.68	108.14	96.68	106.63	127.89	77.79	94.01	53.95	63.0	98.04	96.01	135.24	98.04	73.03	96.01	107.38	64.34	79.45	105.89	110.43	46.5	49.91	115.97	107.38	128.79	76.71	115.97	86.43	104.42	81.71
ELMOD2	529.06	325.29	295.11	555.41	426.57	231.32	189.02	307.69	514.56	316.37	341.51	334.46	209.84	167.9	289.02	409.15	318.57	175.07	314.17	277.2	248.0	226.54	198.47	208.38	264.03	236.21	215.77	173.85	214.27	373.81	305.55	258.57	206.94	212.78	171.45	151.22	248.0	195.72	133.36	255.0	226.54	249.73	166.73	228.13	271.48	323.03	172.65	189.02	191.67	258.57	164.42	249.73	218.79	218.79	248.0	234.57	166.73	198.47	226.54	166.73	175.07	214.27	182.55	195.72	271.48	242.88	212.78	197.09	182.55	187.71	239.52	251.48	242.88	215.77	212.78	186.4	221.86	220.32	234.57	228.13	244.57	212.78	277.2	214.27	234.57	248.0	146.03	183.82	265.87	262.2	221.86	361.04	258.57	212.78	246.28	176.29	205.5	209.84	285.03	180.02	199.85	187.71	244.57	214.27	170.25	181.28	191.67	237.86	242.88	211.31	246.28	260.38	218.79	214.27	316.37	403.5	305.55	303.44
ENAH	4937.99	6337.83	5872.48	2855.44	1143.1	1225.22	4095.0	1437.15	1617.0	1991.0	3639.7	2148.82	3235.01	1977.24	1909.85	2451.44	2287.2	2434.5	3614.55	2609.3	4512.4	2400.97	2209.26	688.78	848.22	397.93	258.57	334.46	921.88	595.34	647.07	470.14	412.0	387.02	271.48	211.31	329.84	381.68	299.25	620.67	438.59	708.18	172.65	353.59	356.05	961.07	237.86	684.02	638.15	480.04	152.28	262.2	703.28	579.04	371.22	450.94	163.28	265.87	379.04	353.59	316.37	759.08	684.02	563.18	234.57	312.0	205.5	189.02	309.83	733.19	318.57	441.64	521.76	212.78	363.56	412.0	234.57	466.88	532.74	536.45	514.56	547.75	616.37	358.54	206.94	483.38	511.0	348.71	555.41	563.18	334.46	406.31	733.19	336.79	642.59	226.54	476.71	521.76	463.65	612.11	392.44	303.44	366.09	703.28	339.14	518.15	620.67	802.41	265.87	379.04	633.73	651.58	612.11	579.04	2209.26	363.56	392.44	497.0
ENTPD7	289.02	109.66	145.02	156.59	159.9	107.38	511.0	165.57	144.01	149.12	177.53	258.57	176.29	193.01	420.68	269.6	293.07	289.02	293.07	212.78	269.6	206.94	185.11	38.67	46.84	28.04	23.76	37.85	61.68	60.39	43.02	33.78	29.48	20.86	21.47	15.8	36.01	22.75	12.18	48.52	43.63	49.56	16.88	23.25	25.72	62.56	18.03	49.56	52.82	44.25	15.8	27.44	41.81	46.18	24.99	41.22	14.56	38.95	27.44	18.29	29.27	50.98	56.68	34.26	32.36	20.26	17.13	17.13	27.05	41.52	30.78	27.84	26.28	14.56	22.92	19.53	16.03	33.54	33.3	24.99	32.36	20.41	49.21	37.05	28.86	25.72	17.0	24.81	29.91	40.93	33.3	70.01	52.82	22.26	43.02	13.42	24.63	40.36	30.34	24.99	25.91	41.81	27.25	44.89	21.78	35.0	38.67	55.49	27.84	26.67	43.63	42.11	37.85	23.76	211.31	82.87	71.5	64.34
ETV3	476.71	412.0	460.44	603.67	244.57	265.87	511.0	299.25	376.41	507.46	373.81	486.75	514.56	457.25	660.68	249.73	273.37	327.56	1111.82	194.36	353.59	358.54	220.32	172.65	119.26	134.3	154.42	114.36	177.53	161.02	155.5	120.1	119.26	114.36	88.88	72.01	114.36	81.71	77.79	149.12	100.83	186.4	105.89	125.24	131.51	186.4	105.89	178.77	123.5	140.04	92.05	121.79	149.12	162.14	113.56	158.79	85.22	111.99	124.37	90.14	134.3	146.03	170.25	127.0	103.69	112.77	100.13	93.35	110.43	181.28	149.12	142.01	147.06	120.94	119.26	111.21	101.54	162.14	136.19	131.51	129.69	132.44	165.57	116.78	121.79	118.43	90.77	85.82	127.0	151.22	122.64	158.79	205.5	116.78	147.06	95.34	107.38	95.34	105.15	149.12	128.79	111.21	127.0	141.02	100.83	175.07	159.9	195.72	118.43	126.12	177.53	135.24	150.17	105.89	249.73	303.44	194.36	234.57
EXO5	194.36	426.57	214.27	251.48	191.67	140.04	148.09	283.05	305.55	204.07	153.34	145.02	177.53	94.01	181.28	113.56	169.07	96.01	493.56	237.86	131.51	110.43	551.56	117.6	139.07	120.1	108.9	105.15	114.36	102.97	129.69	108.9	128.79	110.43	98.04	81.14	77.25	94.01	26.86	113.56	58.3	116.78	99.43	82.29	132.44	93.35	98.04	125.24	107.38	62.12	68.07	76.71	119.26	129.69	65.72	58.71	78.89	88.88	97.36	82.87	96.68	98.73	128.79	73.03	84.63	82.87	78.34	74.06	157.68	103.69	138.1	115.16	120.1	135.24	99.43	94.01	82.87	94.67	142.01	140.04	86.43	96.68	87.03	81.14	67.59	140.04	94.67	104.42	84.04	120.94	105.15	60.39	117.6	123.5	115.16	72.01	93.35	96.68	136.19	64.34	117.6	111.99	123.5	111.21	87.03	195.72	81.71	133.36	62.12	69.52	143.01	82.87	91.41	136.19	195.72	162.14	133.36	126.12
EXOC5	941.27	1216.75	769.69	1508.65	708.18	466.88	303.44	417.77	511.0	764.36	432.53	660.68	529.06	412.0	555.41	674.59	457.25	295.11	483.38	500.46	651.58	309.83	373.81	295.11	543.96	237.86	221.86	275.28	336.79	414.87	336.79	271.48	248.0	251.48	178.77	145.02	341.51	239.52	185.11	314.17	267.73	358.54	170.25	195.72	228.13	457.25	131.51	332.14	320.8	329.84	127.89	209.84	285.03	327.56	187.71	356.05	147.06	281.09	275.28	214.27	229.72	336.79	341.51	283.05	246.28	220.32	202.66	211.31	236.21	334.46	297.17	234.57	260.38	165.57	239.52	287.01	161.02	287.01	303.44	307.69	281.09	173.85	414.87	293.07	202.66	307.69	189.02	217.27	269.6	376.41	283.05	403.5	366.09	246.28	265.87	194.36	249.73	314.17	325.29	269.6	215.77	195.72	255.0	329.84	170.25	309.83	293.07	397.93	220.32	220.32	429.54	289.02	305.55	255.0	587.13	327.56	435.55	275.28
FADS1	234.57	497.0	218.79	169.07	258.57	318.57	423.61	921.88	808.0	543.96	135.24	563.18	603.67	571.05	1540.37	723.08	447.82	1250.98	316.37	665.29	1295.13	134.3	563.18	205.5	206.94	52.45	74.58	182.55	197.09	151.22	138.1	120.94	94.01	48.18	72.01	96.01	186.4	92.05	32.36	236.21	49.21	110.43	28.65	118.43	154.42	108.9	83.45	287.01	83.45	79.45	65.72	144.01	135.24	130.6	58.71	122.64	99.43	59.97	102.97	105.89	139.07	108.14	167.9	237.86	229.72	144.01	140.04	80.01	195.72	106.63	201.25	169.07	107.38	70.01	82.29	92.05	143.01	104.42	128.79	102.97	105.15	105.89	74.58	178.77	91.41	77.79	38.95	197.09	105.15	108.14	70.01	123.5	85.22	92.05	115.97	96.01	92.7	166.73	110.43	116.78	126.12	236.21	112.77	176.29	159.9	187.71	206.94	116.78	129.69	159.9	127.89	175.07	201.25	140.04	218.79	82.87	108.14	332.14
