	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.BP.4769.01A.01R.1289.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.QESD.2026.SM.447BI	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.HC.7737.11A.02R.2118.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EL.A3T6.01A.11R.A220.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7	GTEX.U3ZN.0726.SM.4DXT5
ATXN7L2	106.63	141.02	87.03	45.85	50.27	53.95	112.77	162.14	76.17	74.06	81.71	105.15	53.19	48.18	21.47	30.12	43.32	18.84	21.16	55.1	19.68	45.21	52.08	34.26	32.36	29.06	24.81	61.25	22.26	26.47	36.27	30.78	23.42	19.11	45.53	39.22	20.86	25.17	46.84	32.13	39.22	31.0	258.57	258.57	260.38	199.85	237.86	190.34	127.0	244.57	156.59	214.27	110.43	146.03	231.32	341.51	202.66	159.9	256.78	265.87	260.38	312.0	145.02	119.26	255.0	211.31	139.07	285.03	334.46	223.41	185.11	258.57	205.5	182.55	119.26	189.02	454.09	135.24	121.79	147.06
BGLAP	9.63	59.55	8.45	2.29	11.73	10.16	7.75	39.22	7.57	6.94	16.03	10.79	10.63	16.03	0.05	1.81	6.57	1.81	2.41	2.81	1.53	13.42	15.34	1.99	3.03	1.73	9.48	8.85	0.35	9.06	6.89	7.28	1.31	13.72	12.36	13.72	5.68	0.33	9.85	1.62	4.5	19.25	66.65	41.52	88.26	27.84	53.19	53.19	12.64	106.63	39.5	61.68	10.16	40.36	45.53	57.89	68.55	46.18	73.54	57.89	96.01	126.12	18.29	21.32	44.57	56.68	53.95	101.54	37.59	71.0	65.26	55.89	31.67	46.18	23.08	48.52	42.11	28.24	59.97	21.16
C1orf63	351.14	3303.0	532.74	228.13	1498.22	1183.45	423.61	1191.69	896.64	713.11	318.57	1088.92	708.18	563.18	277.2	186.4	283.05	299.25	102.25	607.87	226.54	638.15	426.57	423.61	521.76	332.14	373.81	228.13	87.65	463.65	339.14	480.04	121.79	647.07	629.35	514.56	325.29	346.29	647.07	309.83	426.57	813.63	4543.8	2502.97	3716.2	3491.39	2537.92	3928.15	842.36	4152.18	1685.71	4239.45	2976.74	3039.3	2739.08	4671.57	2384.37	2240.11	4181.07	4419.52	2609.3	3847.29	2935.74	1268.46	1896.65	1628.26	1417.35	3901.01	2148.82	3419.52	4010.71	3349.13	2555.58	1896.65	1359.57	2090.03	595.34	947.83	1697.45	995.0
C6ORF50	6.73	47.17	9.48	3.03	10.96	9.78	2.73	35.0	3.82	8.45	4.58	5.45	3.2	1.57	0.71	0.56	4.9	1.77	0.69	6.11	2.27	7.17	3.79	2.94	4.03	2.05	0.0	1.77	0.0	2.41	2.46	6.89	0.0	4.13	3.89	2.48	0.0	1.33	3.0	0.0	1.13	14.35	56.68	40.07	59.55	44.25	47.5	48.52	22.26	85.82	66.18	67.59	40.36	40.93	28.86	38.4	53.95	72.52	74.58	55.89	79.45	66.18	37.05	20.11	29.06	23.59	59.13	100.13	29.06	76.71	70.01	44.57	47.17	27.44	15.68	26.86	24.11	17.51	55.89	24.63
C9orf163	5.15	29.48	2.73	3.99	4.06	5.11	1.89	18.84	9.34	19.68	0.71	5.63	2.07	0.0	5.5	1.62	1.93	1.6	3.86	3.2	1.45	2.73	0.34	1.85	5.82	3.92	6.46	0.4	2.84	1.73	2.01	2.89	5.59	0.37	4.58	1.16	0.06	1.69	0.92	6.21	0.21	4.21	17.9	10.96	23.08	11.64	24.11	11.13	4.31	30.12	10.16	24.99	5.77	15.11	16.27	16.27	20.86	13.52	21.16	19.53	24.81	20.86	5.96	8.99	15.56	13.62	7.51	18.84	17.13	23.42	14.45	12.45	11.55	15.0	11.13	21.47	8.78	13.72	6.31	6.78
CACNB1	33.54	3540.14	157.68	17.0	291.04	27.05	387.02	73.54	39.5	40.36	30.78	87.65	18.84	18.29	6.78	2.73	6.94	6.06	0.58	10.79	5.87	2.78	7.28	1.08	11.21	2.36	24.99	1.45	10.55	3.59	6.73	14.56	6.62	14.35	16.51	17.77	4.5	6.41	7.17	3.69	7.57	307.69	497.0	412.0	679.29	511.0	397.93	438.59	209.84	796.86	384.34	1081.39	190.34	679.29	447.82	688.78	420.68	447.82	796.86	1498.22	698.41	1081.39	423.61	332.14	348.71	417.77	373.81	785.88	384.34	679.29	500.46	551.56	395.18	299.25	110.43	134.3	63.45	190.34	108.14	46.84
CEP164	212.78	409.15	264.03	96.01	201.25	156.59	226.54	249.73	226.54	205.5	152.28	231.32	127.0	159.9	68.55	49.56	105.15	46.84	57.08	127.0	64.8	88.26	106.63	59.97	90.14	66.65	55.1	125.24	65.72	86.43	87.03	105.15	69.03	122.64	101.54	132.44	32.36	82.29	93.35	67.12	55.49	181.28	435.55	429.54	483.38	389.72	435.55	348.71	287.01	669.92	480.04	656.11	312.0	287.01	466.88	607.87	429.54	486.75	595.34	457.25	575.03	603.67	447.82	279.14	450.94	435.55	426.57	603.67	435.55	457.25	454.09	447.82	525.39	423.61	316.37	518.15	447.82	307.69	511.0	246.28
CHKA	567.1	1806.78	299.25	144.01	89.51	567.1	104.42	466.88	239.52	400.71	368.65	173.85	486.75	285.03	226.54	157.68	466.88	256.78	258.57	460.44	177.53	279.14	379.04	190.34	209.84	239.52	253.23	571.05	256.78	417.77	239.52	426.57	242.88	769.69	305.55	921.88	251.48	194.36	353.59	244.57	135.24	1073.91	1088.92	808.0	1540.37	872.1	941.27	1008.9	409.15	1447.15	1167.14	878.17	808.0	1250.98	842.36	1561.89	1073.91	1030.12	1407.55	1295.13	1417.35	1583.71	842.36	547.75	819.3	753.83	1417.35	1417.35	860.08	1119.56	1519.15	1159.07	1008.9	1199.98	947.83	1051.79	830.75	1051.79	223.41	497.0
CHKB-CPT1B	30.34	287.01	19.53	9.78	224.97	108.9	5.06	212.78	164.42	125.24	74.58	204.07	73.03	81.71	24.11	29.48	46.84	11.64	37.32	144.01	0.58	37.05	21.16	2.48	45.21	93.35	63.0	16.51	17.25	46.18	33.3	39.5	40.36	58.71	18.7	107.38	4.78	44.57	75.11	71.5	80.57	26.1	325.29	384.34	414.87	134.3	258.57	269.6	103.69	297.17	361.04	595.34	316.37	206.94	191.67	346.29	205.5	182.55	543.96	435.55	260.38	438.59	241.19	176.29	156.59	132.44	228.13	329.84	279.14	244.57	312.0	503.95	441.64	151.22	58.71	185.11	384.34	112.77	38.95	42.41
CLK2	660.68	1605.83	575.03	409.15	780.44	780.44	518.15	684.02	599.49	587.13	620.67	743.43	497.0	273.37	323.03	237.86	387.02	232.94	169.07	397.93	258.57	381.68	253.23	277.2	341.51	348.71	303.44	341.51	229.72	339.14	275.28	457.25	269.6	229.72	521.76	441.64	87.65	281.09	384.34	316.37	242.88	708.18	1467.37	1369.04	1369.04	1304.15	1199.98	1242.34	961.07	1896.65	1617.0	1551.09	1286.18	1313.23	1304.15	1709.26	1313.23	1378.57	1639.59	1417.35	1397.83	1806.78	1159.07	848.22	1175.27	1143.1	1378.57	1832.01	1242.34	1417.35	1437.15	1350.18	1551.09	1208.34	974.5	1304.15	1191.69	896.64	1417.35	860.08
CLU	1472666.19	2729110.67	677564.08	482442.34	1085552.95	614902.29	894051.48	558035.51	469249.9	517068.97	535303.41	496005.67	546551.29	450134.56	447025.24	391864.76	672883.8	509950.32	450134.56	539026.74	411347.03	659036.03	437825.58	1171559.48	817012.28	414208.18	614902.29	456418.21	309589.14	479109.86	1383603.33	1171559.48	341137.96	550352.86	731246.37	619179.28	456418.21	417089.23	517068.97	331809.5	958220.73	492579.5	475800.4	472513.8	447025.24	400098.69	405683.88	558035.51	482442.34	348306.01	524287.0	450134.56	475800.4	672883.8	434801.29	331809.5	475800.4	641014.63	322736.12	462789.59	527933.71	265802.39	598087.73	654483.73	502929.67	475800.4	535303.41	499455.67	938500.81	524287.0	589853.66	459592.86	736332.6	687022.54	736332.6	691801.16	682276.92	1131651.83	668235.84	422911.59
CPT1B	108.9	669.92	78.34	51.35	620.67	555.41	34.02	607.87	327.56	277.2	432.53	423.61	205.5	197.09	57.89	84.04	129.69	78.34	108.14	253.23	15.11	214.27	132.44	10.71	215.77	295.11	163.28	86.43	88.88	197.09	92.05	138.1	47.84	275.28	102.97	279.14	31.67	139.07	248.0	182.55	226.54	60.39	1167.14	1191.69	1508.65	417.77	890.44	947.83	307.69	1167.14	1008.9	1844.76	915.51	633.73	769.69	1023.0	647.07	536.45	1794.29	1233.75	802.41	1427.22	651.58	616.37	406.31	486.75	529.06	842.36	947.83	890.44	1001.93	1709.26	1388.16	543.96	255.0	441.64	1208.34	307.69	198.47	171.45
CRYGS	12.83	109.66	50.98	6.46	35.5	17.0	23.08	73.03	15.56	21.63	9.56	19.11	30.34	35.5	20.41	10.31	17.0	10.55	8.99	29.27	6.57	26.47	36.79	13.42	16.63	14.67	25.72	28.45	6.62	7.75	12.93	22.1	7.22	21.16	41.22	23.59	2.66	15.68	29.7	14.24	25.91	20.41	86.43	60.39	172.65	100.13	96.01	64.34	20.41	181.28	48.18	146.03	35.5	79.45	83.45	147.06	87.03	87.03	159.9	118.43	126.12	144.01	44.57	31.9	71.5	77.79	86.43	121.79	62.12	111.99	85.22	87.65	94.67	82.29	47.17	71.5	138.1	53.19	71.0	24.63
CTTN	2468.49	3874.05	2627.46	1819.35	5255.91	3325.99	2895.31	1745.2	2701.35	2915.45	1819.35	3820.7	1769.57	1008.9	915.51	703.28	1037.29	595.34	633.73	1143.1	723.08	1721.16	684.02	921.88	1350.18	928.3	780.44	624.99	780.44	1073.91	1044.52	1183.45	595.34	718.08	2915.45	1104.13	463.65	1088.92	1073.91	921.88	1369.04	2075.59	6121.9	4836.35	4869.99	4704.07	4328.55	4419.52	5292.48	5403.7	5006.93	5831.91	4802.93	5255.91	4704.07	5555.65	5183.54	4836.35	5255.91	5006.93	5076.84	6037.61	4481.23	8022.41	4239.45	3768.09	3564.78	5255.91	4802.93	5594.3	3982.99	5292.48	4869.99	3716.2	3280.18	2997.45	3820.7	2816.11	4937.99	3716.2
CXXC1	423.61	1651.0	1135.2	679.29	656.11	947.83	1467.37	1378.57	1104.13	995.0	1225.22	1030.12	791.35	500.46	466.88	384.34	547.75	303.44	346.29	525.39	297.17	579.04	511.0	361.04	497.0	480.04	555.41	429.54	339.14	514.56	426.57	563.18	432.53	309.83	665.29	525.39	156.59	395.18	607.87	514.56	460.44	974.5	1819.35	1540.37	1709.26	1159.07	1295.13	1127.35	813.63	1832.01	1268.46	1697.45	1268.46	890.44	1487.87	2004.85	1322.37	1277.29	1883.54	1674.06	1857.6	1844.76	1183.45	1066.48	1331.57	1277.29	1015.93	1561.89	1119.56	1857.6	1437.15	1832.01	1605.83	1572.76	1295.13	1467.37	1519.15	1081.39	1540.37	1151.06
DIP2A	441.64	486.75	262.2	226.54	198.47	234.57	211.31	329.84	202.66	236.21	153.34	199.85	193.01	118.43	68.07	77.79	130.6	84.63	65.26	117.6	63.0	115.97	153.34	118.43	154.42	107.38	76.17	82.87	71.0	107.38	100.13	182.55	60.82	181.28	186.4	129.69	82.29	85.82	102.25	86.43	90.77	220.32	435.55	414.87	323.03	376.41	406.31	273.37	309.83	503.95	346.29	540.19	309.83	299.25	348.71	444.72	318.57	417.77	536.45	397.93	334.46	555.41	323.03	341.51	295.11	265.87	297.17	444.72	316.37	432.53	264.03	389.72	363.56	389.72	339.14	371.22	353.59	271.48	429.54	262.2
DMTF1	473.41	921.88	514.56	208.38	587.13	318.57	358.54	1081.39	429.54	409.15	113.56	486.75	279.14	212.78	154.42	172.65	114.36	271.48	141.02	239.52	144.01	215.77	205.5	108.14	165.57	162.14	159.9	62.12	120.94	193.01	110.43	154.42	199.85	195.72	353.59	318.57	49.56	217.27	190.34	133.36	150.17	387.02	1417.35	1250.98	1286.18	1605.83	1088.92	1295.13	543.96	2434.5	1286.18	1605.83	915.51	1233.75	1286.18	1819.35	1331.57	1674.06	1819.35	1304.15	1628.26	2209.26	1151.06	679.29	947.83	934.76	1322.37	2032.85	1151.06	1519.15	1135.2	1277.29	1605.83	860.08	1008.9	1733.13	1819.35	1044.52	1250.98	518.15
DPH7	255.0	780.44	303.44	146.03	262.2	356.05	223.41	521.76	301.33	165.57	429.54	271.48	256.78	169.07	101.54	109.66	155.5	111.99	85.22	180.02	101.54	173.85	226.54	116.78	151.22	159.9	165.57	195.72	94.67	144.01	112.77	187.71	139.07	221.86	214.27	281.09	103.69	144.01	186.4	111.99	119.26	400.71	884.29	688.78	796.86	607.87	669.92	500.46	426.57	1015.93	555.41	954.43	595.34	540.19	651.58	1044.52	647.07	555.41	1023.0	813.63	988.12	1119.56	490.14	679.29	633.73	595.34	511.0	866.07	642.59	934.76	796.86	775.05	693.58	511.0	371.22	693.58	660.68	332.14	738.29	591.22
FAM156A	135.24	536.45	218.79	106.63	215.77	126.12	202.66	563.18	80.57	128.79	102.97	152.28	119.26	63.0	37.32	57.89	79.45	10.47	13.93	54.72	16.39	39.5	64.34	57.49	64.8	68.07	70.01	38.4	42.11	56.28	19.53	53.95	68.07	61.25	126.12	125.24	18.56	54.33	75.64	57.89	37.59	171.45	395.18	363.56	547.75	187.71	320.8	275.28	132.44	547.75	384.34	361.04	283.05	211.31	271.48	414.87	316.37	336.79	775.05	587.13	384.34	579.04	220.32	275.28	295.11	309.83	110.43	500.46	248.0	532.74	412.0	483.38	336.79	260.38	87.65	246.28	265.87	226.54	376.41	217.27
