	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.VUSG.0126.SM.4KL1X	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.S7SE.0926.SM.2XCD6	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJ3.1026.SM.5QGQU	GTEX.T6MN.0826.SM.32PM4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.ZYT6.0526.SM.5GIEA	GTEX.XQ8I.1126.SM.4BOO2	GTEX.QEG4.0526.SM.48TZD	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ	TCGA.85.7710.11A.01R.2125.07	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.RD.A8N0.01A.12R.A36D.31
GTF3C2	356.05	346.29	323.03	329.84	373.81	309.83	1208.34	624.99	460.44	698.41	830.75	1322.37	575.03	511.0	507.46	490.14	1359.57	1037.29	1008.9	507.46	813.63	679.29	1733.13	547.75	483.38	409.15	575.03	698.41	753.83	579.04	753.83	1023.0	361.04	341.51	624.99	476.71	848.22	1167.14	1350.18
HPS4	172.65	189.02	139.07	92.05	117.6	172.65	275.28	351.14	229.72	295.11	320.8	497.0	279.14	158.79	287.01	224.97	473.41	490.14	387.02	85.82	299.25	511.0	521.76	363.56	249.73	195.72	293.07	275.28	312.0	348.71	271.48	429.54	130.6	45.21	260.38	89.51	511.0	529.06	607.87
INTS2	22.92	21.16	25.35	7.34	8.0	19.97	89.51	64.8	66.18	50.98	118.43	134.3	94.01	56.68	90.77	50.63	92.7	129.69	126.12	15.68	65.72	68.07	118.43	78.89	60.39	68.07	88.26	85.22	107.38	53.19	80.01	91.41	45.21	24.81	72.52	51.35	140.04	162.14	156.59
KCNA2	0.0	0.0	0.0	0.0	0.0	0.0	3.79	1.87	2.41	4.13	16.51	20.26	2.66	0.25	0.0	0.87	5.59	6.78	4.46	2.46	3.63	3.86	15.0	6.41	1.95	0.91	2.07	12.0	13.32	2.1	3.44	2.2	0.21	5.68	2.81	1.27	13.03	5.77	12.09
KIAA1407	13.22	4.94	5.96	3.38	11.04	4.39	153.34	69.03	111.99	76.71	265.87	343.89	67.59	31.9	111.99	100.83	297.17	265.87	341.51	28.04	114.36	120.94	209.84	181.28	89.51	63.45	78.89	178.77	341.51	72.52	147.06	118.43	65.26	21.16	72.01	22.92	182.55	194.36	191.67
MED23	72.52	74.06	75.11	67.59	74.06	75.11	289.02	167.9	220.32	205.5	532.74	540.19	212.78	170.25	232.94	118.43	366.09	438.59	583.07	136.19	221.86	265.87	470.14	277.2	161.02	162.14	198.47	260.38	295.11	190.34	256.78	204.07	132.44	158.79	224.97	110.43	454.09	718.08	647.07
MGME1	122.64	126.12	107.38	134.3	48.52	76.17	217.27	128.79	135.24	108.14	277.2	285.03	108.9	81.14	218.79	143.01	392.44	329.84	176.29	93.35	205.5	148.09	353.59	169.07	142.01	131.51	181.28	156.59	251.48	109.66	170.25	346.29	102.25	61.25	124.37	82.29	438.59	435.55	346.29
MSH5	35.25	40.93	47.5	29.06	41.81	36.01	197.09	50.27	83.45	87.03	141.02	158.79	137.14	91.41	74.58	146.03	198.47	93.35	150.17	53.95	67.59	87.65	387.02	104.42	72.52	78.34	67.59	125.24	183.82	94.01	125.24	129.69	71.5	31.45	70.51	11.82	283.05	647.07	567.1
NUP43	76.71	85.22	92.05	56.68	38.67	49.21	221.86	159.9	186.4	217.27	287.01	366.09	148.09	143.01	140.04	123.5	334.46	275.28	327.56	82.29	144.01	181.28	486.75	226.54	198.47	135.24	208.38	156.59	232.94	118.43	255.0	287.01	161.02	102.97	181.28	133.36	351.14	441.64	438.59
ORMDL1	420.68	314.17	387.02	454.09	363.56	532.74	1487.87	785.88	954.43	1088.92	1457.23	1832.01	656.11	587.13	872.1	698.41	2133.97	1242.34	1304.15	642.59	934.76	1286.18	2032.85	1447.15	896.64	785.88	1216.75	915.51	1350.18	947.83	1135.2	1225.22	693.58	518.15	703.28	514.56	1733.13	1870.53	2032.85
PARP2	187.71	194.36	195.72	131.51	96.68	131.51	376.41	193.01	214.27	329.84	463.65	540.19	144.01	149.12	316.37	237.86	540.19	684.02	406.31	114.36	221.86	332.14	607.87	361.04	185.11	201.25	336.79	289.02	571.05	269.6	334.46	400.71	164.42	85.82	269.6	97.36	507.46	450.94	521.76
PCNXL2	1.57	7.88	10.63	9.85	19.39	7.94	129.69	59.13	107.38	65.26	137.14	309.83	26.1	20.26	120.1	166.73	476.71	102.25	115.97	58.71	62.56	77.25	579.04	102.97	90.14	65.26	53.95	123.5	143.01	51.35	94.67	171.45	96.01	58.3	130.6	55.49	218.79	420.68	423.61
POLI	64.34	21.32	81.71	48.18	49.21	57.89	384.34	182.55	314.17	244.57	733.19	651.58	341.51	136.19	358.54	163.28	633.73	483.38	642.59	98.04	244.57	253.23	497.0	406.31	212.78	176.29	312.0	353.59	476.71	327.56	220.32	660.68	181.28	58.71	205.5	55.89	384.34	599.49	708.18
PPIL2	361.04	503.95	368.65	392.44	329.84	279.14	620.67	503.95	381.68	579.04	563.18	988.12	289.02	420.68	444.72	540.19	1081.39	651.58	543.96	223.41	532.74	607.87	1909.85	518.15	460.44	334.46	503.95	497.0	612.11	629.35	583.07	808.0	316.37	129.69	753.83	229.72	791.35	1001.93	961.07
PPIL3	205.5	154.42	189.02	162.14	164.42	242.88	260.38	339.14	684.02	332.14	808.0	896.64	361.04	412.0	249.73	343.89	1037.29	638.15	961.07	142.01	718.08	242.88	1233.75	543.96	264.03	343.89	656.11	529.06	947.83	476.71	743.43	493.56	353.59	139.07	299.25	258.57	1208.34	878.17	748.61
PPWD1	163.28	79.45	120.1	175.07	172.65	89.51	409.15	356.05	318.57	297.17	909.17	759.08	281.09	262.2	470.14	277.2	1081.39	629.35	703.28	248.0	293.07	669.92	759.08	529.06	214.27	301.33	444.72	438.59	647.07	447.82	409.15	616.37	159.9	159.9	279.14	178.77	921.88	1407.55	1175.27
PVRIG	12.64	46.18	8.65	17.64	33.3	56.28	87.65	29.91	191.67	81.71	141.02	543.96	39.79	23.25	113.56	45.21	607.87	208.38	248.0	76.17	122.64	73.03	753.83	127.0	63.45	70.51	94.67	170.25	163.28	48.87	231.32	39.79	118.43	14.14	74.58	74.58	406.31	358.54	318.57
RCAN3	7.94	13.12	27.25	6.62	21.63	6.36	255.0	217.27	175.07	152.28	255.0	358.54	132.44	73.03	164.42	131.51	450.94	234.57	201.25	88.88	94.67	197.09	483.38	150.17	106.63	185.11	229.72	194.36	285.03	214.27	140.04	244.57	165.57	91.41	132.44	122.64	318.57	368.65	540.19
SACM1L	269.6	221.86	301.33	307.69	197.09	293.07	1111.82	896.64	954.43	444.72	1331.57	1135.2	466.88	406.31	764.36	412.0	934.76	1044.52	1135.2	486.75	435.55	688.78	1437.15	808.0	669.92	656.11	1159.07	802.41	825.0	743.43	813.63	665.29	802.41	514.56	633.73	514.56	1044.52	947.83	909.17
SAPCD1	11.21	0.0	12.36	15.34	21.47	0.0	52.45	14.14	18.56	37.32	49.21	75.11	23.59	8.19	24.63	27.84	88.26	39.79	44.25	8.85	31.0	27.05	194.36	54.72	20.71	8.0	27.25	43.32	49.56	41.22	40.93	153.34	22.92	6.46	43.63	7.69	117.6	312.0	175.07
SENP7	44.57	15.91	35.5	31.45	44.89	32.59	158.79	164.42	223.41	108.9	389.72	392.44	85.22	84.63	255.0	119.26	392.44	638.15	329.84	47.5	123.5	287.01	346.29	195.72	105.89	115.97	223.41	182.55	267.73	156.59	234.57	214.27	98.04	68.07	120.94	68.55	438.59	511.0	532.74
SETDB2	54.72	36.01	46.5	18.03	20.71	46.18	146.03	117.6	149.12	96.68	334.46	275.28	120.1	55.1	135.24	96.68	248.0	186.4	186.4	66.65	112.77	117.6	195.72	152.28	106.63	85.82	156.59	131.51	199.85	84.63	109.66	112.77	67.59	62.56	80.01	49.56	251.48	287.01	226.54
SLC25A35	30.56	33.06	21.94	20.71	13.83	15.0	147.06	169.07	181.28	116.78	260.38	215.77	94.67	22.75	75.11	176.29	264.03	197.09	151.22	57.49	75.64	158.79	224.97	162.14	120.1	66.18	260.38	88.26	214.27	173.85	224.97	187.71	104.42	24.63	112.77	101.54	185.11	262.2	258.57
SLX4	15.8	20.41	8.32	4.13	5.77	8.06	38.4	45.53	48.18	49.91	55.1	102.25	31.0	23.76	38.95	37.85	84.04	44.25	81.71	8.51	24.28	45.53	90.14	45.85	25.35	47.17	50.98	39.79	56.68	29.7	39.22	46.18	19.11	12.18	25.17	32.36	97.36	142.01	91.41
TARBP1	130.6	72.01	109.66	197.09	206.94	50.63	389.72	253.23	229.72	312.0	738.29	1037.29	116.78	223.41	379.04	201.25	708.18	738.29	432.53	94.01	189.02	480.04	1143.1	267.73	199.85	194.36	281.09	220.32	563.18	400.71	642.59	698.41	232.94	80.57	149.12	106.63	915.51	1259.69	981.29
TCHP	96.01	104.42	88.88	116.78	30.56	81.14	323.03	164.42	237.86	255.0	314.17	460.44	236.21	89.51	265.87	152.28	332.14	279.14	373.81	88.88	248.0	220.32	366.09	273.37	201.25	211.31	234.57	258.57	376.41	176.29	295.11	371.22	135.24	65.26	231.32	131.51	376.41	376.41	361.04
THAP6	102.25	40.64	79.45	37.59	32.59	75.64	150.17	155.5	116.78	134.3	194.36	255.0	109.66	102.25	191.67	120.1	289.02	281.09	215.77	55.89	129.69	211.31	329.84	186.4	145.02	114.36	167.9	138.1	303.44	114.36	189.02	423.61	96.01	21.16	132.44	94.67	332.14	248.0	305.55
VPS29	2163.77	1617.0	1844.76	1617.0	1378.57	2537.92	3491.39	1709.26	2520.38	2434.5	4181.07	3847.29	2591.27	2018.8	2119.22	2351.53	3303.0	4575.41	2682.69	1286.18	2271.4	3716.2	5872.48	3060.45	2555.58	2367.9	2520.38	3124.78	3540.14	2537.92	1963.57	3372.43	2555.58	1594.73	2537.92	1923.14	3515.68	3372.43	3325.99
VPS45	253.23	212.78	180.02	97.36	115.16	244.57	693.58	454.09	651.58	450.94	1023.0	1167.14	409.15	201.25	450.94	579.04	813.63	808.0	854.13	251.48	460.44	575.03	872.1	723.08	521.76	551.56	563.18	753.83	954.43	603.67	476.71	693.58	406.31	206.94	381.68	361.04	728.11	775.05	813.63
WDR11	255.0	242.88	226.54	211.31	221.86	255.0	595.34	587.13	638.15	511.0	1096.5	896.64	366.09	223.41	543.96	285.03	748.61	872.1	902.89	170.25	343.89	718.08	738.29	595.34	318.57	387.02	518.15	555.41	825.0	480.04	414.87	860.08	327.56	140.04	246.28	273.37	947.83	9808.75	981.29
ZBED5	77.25	37.85	91.41	78.34	44.57	48.52	651.58	297.17	555.41	325.29	1119.56	954.43	674.59	255.0	435.55	295.11	1233.75	1143.1	825.0	231.32	511.0	679.29	928.3	629.35	620.67	283.05	669.92	674.59	836.53	373.81	547.75	723.08	255.0	140.04	406.31	307.69	1051.79	1167.14	988.12
ZDHHC6	353.59	293.07	341.51	221.86	186.4	258.57	669.92	389.72	536.45	547.75	1073.91	1167.14	381.68	341.51	599.49	470.14	902.89	854.13	688.78	325.29	567.1	559.28	1001.93	733.19	403.5	470.14	638.15	620.67	921.88	426.57	457.25	647.07	466.88	361.04	316.37	325.29	878.17	995.0	872.1
ZMYM6	57.89	30.56	53.95	42.11	54.33	37.59	223.41	175.07	151.22	180.02	341.51	334.46	182.55	98.04	175.07	105.89	277.2	248.0	258.57	78.89	126.12	189.02	373.81	169.07	108.14	105.89	201.25	155.5	241.19	177.53	170.25	255.0	90.77	92.7	110.43	97.36	320.8	334.46	403.5
ZNF251	49.91	33.06	49.21	42.41	45.85	63.89	218.79	74.58	148.09	212.78	234.57	595.34	82.29	62.56	198.47	149.12	435.55	312.0	336.79	68.07	260.38	190.34	318.57	214.27	158.79	53.57	141.02	255.0	265.87	172.65	209.84	234.57	99.43	83.45	112.77	56.28	273.37	511.0	406.31
ZNF600	33.06	23.25	28.04	32.82	38.4	5.02	339.14	127.0	110.43	269.6	316.37	381.68	111.21	86.43	149.12	43.94	361.04	255.0	361.04	46.18	138.1	327.56	819.3	218.79	114.36	57.49	107.38	271.48	175.07	150.17	214.27	75.64	100.83	58.71	164.42	73.54	279.14	299.25	169.07
ZNF789	61.68	47.84	56.68	132.44	73.03	32.13	145.02	121.79	141.02	138.1	387.02	353.59	73.54	74.06	102.25	97.36	307.69	281.09	275.28	56.28	88.88	158.79	363.56	147.06	113.56	52.45	130.6	153.34	283.05	147.06	158.79	172.65	84.04	44.89	78.34	86.43	403.5	497.0	457.25
