	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8329.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.BQ.7056.01A.11R.1965.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.DW.7840.01A.11R.A32Z.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.1497J.0726.SM.5Q5D1
ATP10D	212.78	299.25	275.28	660.68	1023.0	1191.69	123.5	1457.23	1378.57	1119.56	1081.39	1417.35	1806.78	1081.39	1119.56	1216.75	1175.27	460.44	1397.83	583.07	836.53	389.72	92.7	819.3	848.22	111.21	753.83	1709.26	248.0	211.31	2255.7	153.34	183.82	260.38	153.34	209.84	178.77	187.71	265.87	152.28	171.45	260.38	44.57	86.43
BRAP	246.28	251.48	224.97	293.07	189.02	246.28	336.79	336.79	262.2	267.73	329.84	336.79	316.37	277.2	237.86	287.01	291.04	283.05	327.56	285.03	323.03	152.28	220.32	305.55	309.83	220.32	373.81	346.29	267.73	74.06	432.53	187.71	251.48	244.57	167.9	155.5	271.48	131.51	167.9	185.11	260.38	158.79	171.45	197.09
C11orf57	299.25	320.8	231.32	457.25	336.79	283.05	387.02	493.56	363.56	255.0	392.44	435.55	353.59	293.07	329.84	297.17	341.51	291.04	426.57	289.02	483.38	450.94	842.36	343.89	400.71	460.44	511.0	356.05	242.88	279.14	356.05	348.71	279.14	327.56	180.02	279.14	366.09	80.01	199.85	267.73	277.2	156.59	341.51	167.9
C9orf156	348.71	303.44	165.57	400.71	420.68	438.59	262.2	429.54	483.38	397.93	599.49	536.45	503.95	435.55	348.71	583.07	356.05	406.31	547.75	397.93	583.07	312.0	277.2	429.54	607.87	176.29	603.67	514.56	332.14	226.54	693.58	147.06	181.28	244.57	208.38	105.89	301.33	163.28	126.12	127.89	262.2	211.31	157.68	231.32
CAND1	860.08	336.79	376.41	674.59	547.75	486.75	409.15	974.5	679.29	819.3	1313.23	603.67	1008.9	432.53	547.75	808.0	909.17	307.69	1051.79	567.1	813.63	825.0	703.28	450.94	995.0	866.07	954.43	1268.46	995.0	231.32	1857.6	376.41	480.04	532.74	353.59	532.74	738.29	323.03	379.04	314.17	616.37	503.95	336.79	229.72
CBWD1	836.53	1044.52	555.41	1487.87	2104.58	1066.48	854.13	1685.71	1883.54	830.75	1350.18	1388.16	981.29	921.88	1295.13	1397.83	1551.09	1023.0	1199.98	1119.56	1457.23	825.0	1733.13	884.29	1268.46	490.14	2537.92	1073.91	1044.52	1757.34	1111.82	660.68	698.41	483.38	660.68	320.8	1111.82	423.61	476.71	679.29	698.41	480.04	902.89	583.07
CENPC	116.78	74.58	100.13	215.77	150.17	205.5	83.45	323.03	206.94	180.02	224.97	295.11	208.38	156.59	140.04	199.85	223.41	115.97	223.41	248.0	197.09	141.02	81.71	162.14	187.71	97.36	339.14	303.44	131.51	78.34	620.67	122.64	98.04	110.43	36.79	95.34	118.43	10.0	41.81	57.89	87.03	25.54	46.84	43.94
CENPL	111.21	40.64	24.46	68.55	72.52	42.71	58.71	136.19	100.13	62.12	134.3	78.89	63.45	38.12	48.87	72.52	71.5	63.45	112.77	58.71	60.39	28.86	25.72	61.68	102.97	58.3	99.43	65.26	37.05	88.88	96.68	47.17	27.05	34.51	38.12	54.72	78.89	24.11	32.82	31.9	35.0	33.06	21.16	28.04
CLINT1	1936.53	543.96	395.18	1437.15	1350.18	819.3	1457.23	1519.15	1572.76	1088.92	1322.37	1175.27	1844.76	1143.1	1477.58	1467.37	1111.82	1159.07	1467.37	995.0	2032.85	1313.23	2209.26	1096.5	1295.13	3928.15	1697.45	2104.58	738.29	954.43	2104.58	551.56	633.73	684.02	708.18	791.35	1909.85	444.72	733.19	612.11	591.22	463.65	624.99	486.75
COL4A3BP	454.09	341.51	195.72	1322.37	1259.69	660.68	236.21	967.76	1159.07	902.89	1023.0	884.29	934.76	426.57	842.36	1127.35	1044.52	633.73	884.29	679.29	1199.98	258.57	246.28	587.13	1073.91	454.09	1151.06	1322.37	409.15	423.61	1447.15	293.07	356.05	228.13	253.23	226.54	403.5	127.89	234.57	368.65	256.78	161.02	221.86	218.79
COPS2	642.59	743.43	518.15	934.76	780.44	743.43	780.44	1073.91	764.36	723.08	1259.69	1044.52	866.07	688.78	665.29	743.43	967.76	591.22	1135.2	813.63	1175.27	1088.92	1936.53	728.11	890.44	514.56	1199.98	1208.34	679.29	703.28	1350.18	429.54	351.14	473.41	327.56	647.07	808.0	93.35	397.93	507.46	392.44	232.94	1059.11	764.36
CPEB4	665.29	500.46	275.28	1674.06	1674.06	1199.98	514.56	1540.37	1870.53	1044.52	1447.15	1259.69	1923.14	967.76	830.75	890.44	1583.71	1250.98	2319.15	967.76	1883.54	470.14	1059.11	532.74	1127.35	753.83	2032.85	1674.06	356.05	149.12	1721.16	81.71	129.69	154.42	122.64	75.64	555.41	107.38	124.37	49.21	150.17	102.97	94.01	412.0
CREBRF	190.34	128.79	88.88	316.37	287.01	267.73	136.19	571.05	441.64	275.28	237.86	395.18	299.25	323.03	265.87	283.05	438.59	262.2	368.65	262.2	529.06	325.29	80.01	154.42	314.17	295.11	660.68	500.46	159.9	197.09	813.63	167.9	92.05	148.09	90.77	154.42	137.14	40.93	123.5	163.28	138.1	88.26	90.14	74.06
CUL4B	420.68	363.56	269.6	460.44	532.74	417.77	358.54	698.41	620.67	454.09	633.73	503.95	575.03	435.55	521.76	490.14	497.0	371.22	563.18	429.54	616.37	429.54	361.04	476.71	435.55	312.0	633.73	647.07	454.09	242.88	414.87	297.17	237.86	312.0	201.25	307.69	441.64	93.35	236.21	283.05	303.44	170.25	283.05	262.2
CUL5	334.46	307.69	223.41	595.34	447.82	332.14	150.17	540.19	571.05	293.07	808.0	373.81	525.39	253.23	320.8	802.41	412.0	283.05	723.08	438.59	902.89	343.89	429.54	267.73	417.77	277.2	441.64	1151.06	232.94	299.25	2133.97	146.03	145.02	122.64	111.99	164.42	285.03	73.54	98.73	142.01	141.02	65.72	87.03	120.94
DCAF10	343.89	299.25	109.66	381.68	397.93	316.37	336.79	532.74	409.15	409.15	616.37	356.05	490.14	258.57	314.17	403.5	371.22	241.19	624.99	291.04	591.22	267.73	486.75	291.04	403.5	358.54	567.1	607.87	269.6	181.28	514.56	136.19	178.77	178.77	204.07	167.9	409.15	151.22	171.45	194.36	165.57	155.5	183.82	303.44
DDX3X	1457.23	961.07	791.35	1457.23	1199.98	1259.69	723.08	2004.85	1447.15	2018.8	2018.8	1447.15	2417.67	1322.37	1127.35	1832.01	1909.85	780.44	1685.71	1135.2	2104.58	1662.49	1378.57	1037.29	1572.76	1572.76	1806.78	2255.7	1662.49	395.18	2537.92	836.53	866.07	890.44	836.53	1286.18	1250.98	890.44	974.5	791.35	967.76	1008.9	476.71	878.17
DDX6	348.71	277.2	155.5	620.67	476.71	287.01	120.1	848.22	555.41	540.19	769.69	679.29	688.78	277.2	341.51	629.35	476.71	161.02	769.69	457.25	808.0	277.2	1023.0	361.04	599.49	363.56	808.0	1073.91	246.28	50.27	2255.7	201.25	127.89	170.25	176.29	223.41	366.09	132.44	164.42	139.07	155.5	186.4	88.88	125.24
DENND4A	120.1	84.04	136.19	137.14	151.22	169.07	108.9	262.2	212.78	206.94	205.5	198.47	301.33	185.11	182.55	260.38	194.36	162.14	251.48	170.25	329.84	173.85	92.7	226.54	229.72	146.03	269.6	376.41	185.11	197.09	563.18	122.64	94.01	121.79	78.89	107.38	100.83	22.26	127.0	132.44	129.69	77.25	58.3	158.79
DNAJB14	251.48	291.04	199.85	426.57	403.5	293.07	228.13	591.22	470.14	363.56	497.0	423.61	480.04	327.56	356.05	387.02	438.59	303.44	547.75	289.02	555.41	267.73	155.5	267.73	540.19	309.83	417.77	665.29	195.72	329.84	947.83	114.36	148.09	172.65	102.97	208.38	297.17	27.84	111.99	156.59	159.9	65.72	119.26	102.25
DNAJC24	172.65	127.89	93.35	172.65	79.45	165.57	126.12	314.17	275.28	181.28	221.86	236.21	206.94	127.89	228.13	214.27	264.03	149.12	234.57	212.78	289.02	111.21	269.6	166.73	223.41	172.65	229.72	264.03	127.0	74.58	351.14	74.58	67.59	116.78	42.41	132.44	198.47	20.11	77.25	83.45	65.26	18.7	75.64	57.89
EIF2S1	1369.04	1407.55	1081.39	2133.97	2148.82	1427.22	1127.35	2816.11	1745.2	1883.54	2956.17	2193.99	2047.0	1639.59	1936.53	1794.29	2240.11	1199.98	2796.65	1286.18	2018.8	825.0	1467.37	954.43	2520.38	1322.37	2451.44	2537.92	1216.75	1870.53	3081.75	540.19	718.08	307.69	1111.82	1199.98	1977.24	941.27	567.1	493.56	612.11	693.58	1832.01	1015.93
ERCC6L2	158.79	244.57	90.14	476.71	366.09	403.5	82.29	563.18	629.35	441.64	599.49	587.13	624.99	358.54	381.68	470.14	543.96	199.85	830.75	379.04	718.08	289.02	202.66	307.69	536.45	255.0	500.46	723.08	183.82	49.56	1639.59	105.15	97.36	123.5	65.26	85.22	149.12	12.18	60.82	98.04	105.15	35.76	69.52	72.52
ETF1	961.07	473.41	406.31	1073.91	1088.92	802.41	775.05	1561.89	1073.91	947.83	1242.34	1096.5	1233.75	848.22	988.12	1167.14	1191.69	836.53	1378.57	902.89	1183.45	1015.93	1044.52	830.75	1044.52	967.76	1870.53	1340.84	896.64	483.38	1662.49	400.71	587.13	387.02	591.22	555.41	1030.12	591.22	571.05	555.41	480.04	514.56	759.08	785.88
EXOC5	426.57	253.23	177.53	351.14	299.25	226.54	246.28	693.58	366.09	414.87	466.88	358.54	493.56	279.14	307.69	373.81	392.44	224.97	551.56	301.33	457.25	358.54	460.44	232.94	525.39	271.48	490.14	785.88	253.23	161.02	728.11	155.5	145.02	155.5	152.28	201.25	463.65	48.52	154.42	155.5	152.28	85.82	169.07	195.72
EXOSC3	356.05	423.61	154.42	559.28	420.68	591.22	514.56	642.59	409.15	629.35	693.58	547.75	525.39	599.49	473.41	486.75	595.34	366.09	713.11	483.38	563.18	384.34	371.22	500.46	483.38	164.42	503.95	620.67	571.05	212.78	665.29	351.14	381.68	363.56	441.64	229.72	493.56	361.04	493.56	305.55	232.94	336.79	480.04	432.53
EXOSC7	1183.45	607.87	2384.37	5831.91	3235.01	2485.67	2119.22	2555.58	3589.58	1594.73	5219.6	4328.55	1733.13	2335.28	2004.85	4038.61	2591.27	1674.06	4095.0	5183.54	4095.0	1277.29	1051.79	2417.67	3395.89	981.29	4095.0	2148.82	1096.5	5076.84	2417.67	1088.92	733.19	638.15	836.53	775.05	1832.01	1073.91	909.17	934.76	607.87	967.76	1561.89	620.67
FBXL17	497.0	267.73	167.9	928.3	848.22	444.72	267.73	1388.16	1286.18	688.78	1015.93	878.17	1066.48	579.04	921.88	791.35	902.89	708.18	1001.93	620.67	961.07	429.54	713.11	555.41	1127.35	540.19	872.1	961.07	283.05	848.22	1001.93	130.6	195.72	128.79	124.37	145.02	406.31	68.55	113.56	115.16	189.02	67.59	115.97	70.01
FBXO38	363.56	206.94	157.68	476.71	392.44	384.34	277.2	450.94	480.04	426.57	521.76	595.34	518.15	339.14	409.15	518.15	480.04	312.0	575.03	373.81	543.96	264.03	175.07	429.54	529.06	309.83	660.68	647.07	351.14	159.9	928.3	217.27	208.38	236.21	234.57	183.82	395.18	145.02	236.21	224.97	202.66	173.85	171.45	183.82
FBXW2	529.06	521.76	273.37	759.08	780.44	511.0	387.02	1037.29	866.07	780.44	1159.07	796.86	878.17	395.18	693.58	934.76	633.73	571.05	1104.13	688.78	791.35	463.65	698.41	460.44	603.67	341.51	860.08	848.22	480.04	105.89	713.11	258.57	289.02	226.54	312.0	220.32	575.03	476.71	400.71	336.79	305.55	363.56	226.54	309.83
FEM1C	198.47	103.69	94.67	163.28	134.3	130.6	190.34	356.05	170.25	150.17	264.03	187.71	231.32	127.0	171.45	190.34	166.73	143.01	301.33	148.09	211.31	147.06	80.57	172.65	134.3	299.25	429.54	224.97	202.66	181.28	211.31	111.21	136.19	114.36	111.99	154.42	212.78	107.38	100.13	102.25	113.56	87.03	98.73	137.14
FGD4	271.48	371.22	189.02	532.74	540.19	334.46	226.54	928.3	733.19	397.93	447.82	514.56	563.18	291.04	356.05	423.61	493.56	441.64	656.11	316.37	775.05	186.4	132.44	241.19	327.56	215.77	684.02	674.59	283.05	93.35	1304.15	130.6	139.07	157.68	77.79	133.36	215.77	47.17	63.89	171.45	239.52	67.59	87.03	87.03
FNIP1	205.5	125.24	93.35	339.14	339.14	226.54	100.83	432.53	438.59	346.29	358.54	361.04	400.71	234.57	318.57	400.71	356.05	277.2	486.75	217.27	470.14	90.14	71.0	183.82	264.03	177.53	483.38	497.0	164.42	76.17	753.83	120.94	83.45	99.43	100.83	111.99	161.02	47.84	92.05	90.77	152.28	72.52	79.45	123.5
FRS2	162.14	90.77	84.04	131.51	150.17	101.54	88.26	211.31	159.9	148.09	208.38	148.09	151.22	113.56	126.12	161.02	136.19	92.05	226.54	81.71	253.23	177.53	490.14	72.01	163.28	209.84	208.38	256.78	163.28	33.3	297.17	73.03	69.03	146.03	50.63	95.34	158.79	34.26	69.52	64.8	114.36	96.68	26.28	64.8
FXYD2	368165.8	225066.78	223512.12	244588.0	327241.36	221968.2	397335.0	90146.51	253213.41	290865.98	195931.88	249727.34	159145.95	301123.38	248002.34	191899.64	194578.47	284880.02	200048.85	246289.25	162489.97	520665.48	851707.37	292889.12	378516.38	482442.34	331809.5	170568.48	263966.36	627822.72	197294.7	33922.56	48307.85	48982.22	66449.85	102125.66	303217.87	92680.9	79022.82	46339.95	70238.75	18052.61	234624.45	593956.43
G3BP2	819.3	884.29	703.28	1233.75	1350.18	1167.14	441.64	1477.58	1733.13	1819.35	1909.85	1583.71	2271.4	1407.55	1519.15	1794.29	1950.0	733.19	2209.26	1487.87	1331.57	1259.69	3018.3	1096.5	1709.26	921.88	1832.01	2384.37	808.0	872.1	3018.3	624.99	679.29	441.64	733.19	738.29	764.36	532.74	642.59	567.1	708.18	587.13	493.56	616.37
GABARAPL1	11584.24	10084.54	6037.61	19348.38	8134.41	11584.24	4639.29	16383.0	13492.72	10659.59	11664.82	14971.21	14065.74	8778.97	15824.9	12853.63	16960.78	14461.21	14561.8	15934.98	14867.79	3690.52	13968.57	11504.21	16383.0	5913.33	32994.92	14262.1	3103.19	5872.48	12676.65	1259.69	2875.3	2555.58	2209.26	1397.83	9151.82	3515.68	3124.78	1388.16	2935.74	2573.36	2739.08	1259.69
GFM2	480.04	500.46	293.07	1268.46	1359.57	872.1	444.72	995.0	1388.16	718.08	1268.46	1111.82	890.44	651.58	1073.91	884.29	1119.56	848.22	909.17	836.53	988.12	1030.12	511.0	854.13	1030.12	693.58	1242.34	878.17	432.53	1127.35	1340.84	295.11	414.87	361.04	193.01	454.09	775.05	153.34	186.4	366.09	406.31	228.13	384.34	698.41
GNAQ	312.0	438.59	323.03	967.76	1030.12	915.51	244.57	1331.57	954.43	884.29	1119.56	1175.27	1111.82	1015.93	674.59	1250.98	995.0	521.76	1119.56	1159.07	1407.55	555.41	444.72	1088.92	1008.9	249.73	1051.79	1923.14	312.0	387.02	1662.49	497.0	412.0	381.68	318.57	249.73	277.2	124.37	358.54	555.41	392.44	242.88	341.51	228.13
GRID2	0.0	3.5	1.08	35.5	28.24	17.51	0.36	4.31	4.13	9.41	8.38	4.31	9.34	10.0	12.83	6.21	44.57	6.16	4.06	8.38	5.28	3.86	0.0	17.13	6.06	0.0	11.3	27.64	0.0	8.32	14.89	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0
HAUS2	241.19	194.36	248.0	293.07	218.79	158.79	199.85	348.71	269.6	228.13	420.68	258.57	307.69	164.42	267.73	291.04	262.2	209.84	275.28	221.86	348.71	144.01	312.0	246.28	346.29	158.79	332.14	348.71	164.42	221.86	414.87	133.36	104.42	118.43	150.17	130.6	251.48	70.01	120.94	131.51	115.16	114.36	102.97	115.97
HERC5	202.66	94.67	38.4	58.3	69.52	176.29	74.06	211.31	119.26	166.73	44.57	173.85	162.14	142.01	190.34	142.01	164.42	56.28	176.29	112.77	198.47	167.9	87.03	82.87	50.98	80.01	265.87	103.69	148.09	92.05	139.07	53.95	44.57	46.84	63.45	60.82	81.14	51.35	49.21	39.5	40.07	65.72	61.68	29.06
HNRNPH2	1583.71	1378.57	1322.37	1794.29	1685.71	2018.8	1135.2	2047.0	1819.35	1733.13	2018.8	1909.85	2451.44	1950.0	1721.16	2104.58	2255.7	1175.27	2104.58	1896.65	1870.53	1508.65	2855.44	1551.09	2209.26	967.76	2591.27	2287.2	1583.71	941.27	2645.74	836.53	1059.11	713.11	1208.34	1073.91	1662.49	1199.98	1487.87	780.44	1051.79	1135.2	1216.75	759.08
HSDL2	1477.58	1096.5	379.04	1191.69	1127.35	954.43	1175.27	2004.85	1427.22	775.05	647.07	1340.84	1313.23	1427.22	1073.91	1111.82	854.13	616.37	1313.23	1331.57	1104.13	1498.22	3303.0	1407.55	848.22	1340.84	1457.23	1781.89	947.83	2796.65	1819.35	420.68	525.39	351.14	400.71	493.56	1757.34	239.52	473.41	624.99	318.57	269.6	1081.39	902.89
HSPA9	5219.6	5479.15	3349.13	13586.57	11745.96	6840.04	5112.16	9409.14	9474.59	7911.95	14663.09	8901.53	9606.86	7433.4	9025.81	9540.5	10733.74	9344.14	10368.08	7280.4	11504.21	4181.07	6381.92	7695.57	7130.55	6121.9	12943.04	9344.14	5791.62	8363.13	10225.32	3190.46	3103.19	1896.65	3325.99	3982.99	6037.61	3124.78	2758.13	4481.23	2682.69	1832.01	3955.48	3589.58
IPO7	457.25	1037.29	551.56	1151.06	551.56	775.05	420.68	1250.98	1191.69	825.0	1340.84	1167.14	1030.12	616.37	854.13	1096.5	1447.15	698.41	1605.83	830.75	1857.6	599.49	1208.34	679.29	1175.27	723.08	1295.13	1498.22	536.45	454.09	1617.0	420.68	356.05	368.65	460.44	486.75	624.99	204.07	454.09	429.54	397.93	289.02	629.35	490.14
IREB2	301.33	295.11	231.32	457.25	412.0	265.87	146.03	599.49	536.45	417.77	563.18	432.53	540.19	361.04	400.71	438.59	441.64	258.57	713.11	260.38	579.04	267.73	193.01	267.73	567.1	256.78	312.0	633.73	234.57	148.09	638.15	182.55	163.28	164.42	148.09	181.28	293.07	64.8	123.5	165.57	186.4	122.64	151.22	176.29
ITPR2	241.19	138.1	159.9	902.89	723.08	438.59	131.51	866.07	1088.92	647.07	1583.71	1397.83	1487.87	473.41	890.44	1340.84	1030.12	190.34	1617.0	493.56	890.44	156.59	220.32	432.53	529.06	312.0	723.08	1268.46	234.57	60.39	2895.31	22.26	42.11	43.63	32.13	144.01	301.33	37.32	42.11	13.83	37.32	24.63	20.71	125.24
KIAA0368	629.35	698.41	457.25	967.76	607.87	819.3	909.17	1059.11	693.58	808.0	1088.92	884.29	902.89	698.41	842.36	921.88	775.05	684.02	1159.07	819.3	1051.79	559.28	591.22	1111.82	954.43	473.41	1119.56	1304.15	693.58	131.51	1936.53	406.31	518.15	460.44	540.19	356.05	1066.48	486.75	444.72	525.39	441.64	438.59	775.05	318.57
KIAA1191	4607.24	3794.3	1388.16	6935.54	6250.56	3955.48	2915.45	4903.87	5751.61	4038.61	5441.3	4268.94	5112.16	3081.75	6207.38	6037.61	5751.61	5076.84	3467.27	3235.01	4512.4	2997.45	6935.54	4123.49	2816.11	2895.31	7081.29	5441.3	2148.82	9474.59	5076.84	1208.34	1477.58	1794.29	1529.73	1617.0	3212.66	1819.35	1457.23	1167.14	1457.23	1477.58	1583.71	1030.12
KLHL8	170.25	103.69	121.79	197.09	244.57	166.73	120.94	325.29	172.65	264.03	285.03	255.0	307.69	204.07	237.86	209.84	283.05	163.28	379.04	224.97	293.07	218.79	244.57	177.53	202.66	136.19	215.77	224.97	104.42	135.24	267.73	65.26	72.01	77.79	85.22	120.1	217.27	48.87	94.67	75.64	77.79	52.08	45.53	69.52
KLHL9	332.14	297.17	137.14	450.94	379.04	358.54	208.38	808.0	688.78	511.0	612.11	591.22	703.28	444.72	567.1	642.59	457.25	323.03	551.56	343.89	764.36	312.0	249.73	327.56	616.37	217.27	583.07	738.29	279.14	218.79	860.08	201.25	180.02	220.32	166.73	105.15	363.56	106.63	171.45	162.14	165.57	143.01	161.02	139.07
