	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.G2.AA3D.01A.11R.A39I.07	TCGA.LT.A8JT.01A.11R.A36F.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.GD.A2C5.11A.11R.A180.07	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.K4.A54R.11A.11R.A26T.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EK.A2RJ.01A.11R.A18M.07	GTEX.ZTPG.1626.SM.5DUX2	GTEX.X4XY.1726.SM.46MVO	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	TCGA.62.A46O.01A.11R.A24H.07	TCGA.35.3615.01A.01R.0946.07	TCGA.86.7955.01A.11R.2187.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4631.01A.01R.1755.07	TCGA.73.4677.01A.01R.1206.07	TCGA.62.A471.01A.12R.A24H.07	TCGA.69.8253.01A.11R.2287.07	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3
CDK1	3491.39	1015.93	1208.34	860.08	199.85	1216.75	2178.83	121.79	146.03	348.71	1883.54	1350.18	457.25	575.03	896.64	473.41	323.03	1628.26	490.14	1561.89	2133.97	607.87	1572.76	1819.35	201.25	84.63	12.93	612.11	878.17	358.54	130.6	4.03	8.45	14.67	6.89	1709.26	115.16	540.19	120.1	1304.15	144.01	1044.52	108.14	444.72	575.03	275.28	90.14	327.56
CDT1	796.86	191.67	327.56	293.07	62.56	303.44	500.46	48.18	53.19	94.01	579.04	348.71	82.29	267.73	1167.14	91.41	211.31	540.19	307.69	759.08	1127.35	253.23	264.03	723.08	115.16	30.78	4.9	95.34	117.6	289.02	80.57	6.31	4.13	9.2	3.86	283.05	27.25	275.28	42.11	269.6	30.34	295.11	18.43	363.56	60.82	148.09	49.21	171.45
CENPA	612.11	529.06	231.32	450.94	38.95	150.17	470.14	22.59	43.94	135.24	748.61	429.54	58.71	128.79	234.57	75.11	92.05	397.93	95.34	429.54	267.73	106.63	195.72	366.09	105.89	15.0	1.77	154.42	379.04	91.41	58.3	1.08	8.38	5.02	0.84	466.88	24.63	392.44	25.54	555.41	33.3	395.18	41.22	145.02	117.6	92.7	21.78	25.91
CENPF	1340.84	414.87	503.95	435.55	107.38	629.35	718.08	40.07	73.03	260.38	1977.24	1127.35	191.67	327.56	698.41	182.55	454.09	633.73	231.32	723.08	1674.06	693.58	547.75	563.18	334.46	40.64	1.79	318.57	423.61	267.73	116.78	6.31	11.91	3.0	2.51	896.64	45.21	476.71	51.71	178.77	81.14	748.61	127.89	327.56	42.41	33.3	17.25	71.5
CENPH	934.76	189.02	651.58	236.21	113.56	256.78	934.76	100.83	66.65	130.6	423.61	435.55	229.72	312.0	353.59	180.02	183.82	616.37	202.66	336.79	878.17	435.55	507.46	460.44	223.41	126.12	65.26	220.32	176.29	178.77	93.35	35.0	23.42	21.16	17.38	353.59	124.37	246.28	118.43	403.5	87.65	248.0	127.0	147.06	133.36	110.43	44.57	34.75
CENPI	166.73	48.87	44.89	49.21	13.52	84.63	147.06	4.54	5.92	63.89	109.66	78.34	26.1	39.5	76.71	17.38	50.63	88.26	23.76	100.83	62.56	32.13	99.43	147.06	37.59	7.4	0.39	74.06	121.79	20.71	10.71	0.0	22.75	8.0	0.79	178.77	9.41	172.65	8.19	154.42	12.27	108.14	5.92	70.01	8.85	50.63	7.46	18.03
CENPK	921.88	291.04	389.72	164.42	45.53	336.79	420.68	30.34	22.59	132.44	540.19	239.52	72.01	159.9	309.83	112.77	107.38	341.51	53.57	759.08	543.96	214.27	376.41	320.8	109.66	29.06	14.03	139.07	141.02	108.9	86.43	6.46	22.26	8.65	0.68	595.34	48.52	143.01	39.22	486.75	32.82	255.0	50.98	150.17	361.04	123.5	65.72	65.26
CENPM	1044.52	738.29	1175.27	395.18	164.42	420.68	1388.16	104.42	67.12	176.29	1096.5	791.35	167.9	836.53	941.27	212.78	358.54	1457.23	420.68	189.02	638.15	536.45	438.59	1487.87	265.87	115.97	34.51	540.19	131.51	234.57	169.07	10.0	10.24	21.63	21.94	299.25	104.42	567.1	129.69	830.75	94.01	890.44	64.8	267.73	808.0	503.95	107.38	249.73
CENPO	293.07	189.02	202.66	218.79	49.56	246.28	454.09	73.03	74.06	111.99	363.56	202.66	105.89	135.24	229.72	109.66	171.45	209.84	124.37	186.4	295.11	132.44	143.01	395.18	77.79	47.17	32.82	289.02	348.71	80.01	88.26	35.0	40.36	59.55	20.71	320.8	131.51	224.97	108.9	312.0	113.56	231.32	96.01	262.2	58.71	96.01	43.32	57.08
CEP55	1066.48	182.55	376.41	346.29	88.88	312.0	1322.37	22.43	35.25	182.55	616.37	878.17	149.12	176.29	381.68	106.63	130.6	733.19	301.33	318.57	279.14	201.25	392.44	476.71	98.04	27.84	5.59	218.79	285.03	144.01	89.51	3.14	7.17	0.82	3.06	351.14	39.5	267.73	43.32	312.0	61.68	470.14	55.49	214.27	124.37	186.4	43.94	100.83
CHAF1A	674.59	432.53	529.06	205.5	150.17	368.65	551.56	244.57	389.72	309.83	540.19	209.84	191.67	529.06	395.18	256.78	397.93	500.46	223.41	660.68	356.05	314.17	476.71	1088.92	303.44	212.78	157.68	139.07	318.57	241.19	178.77	68.55	77.25	29.91	43.94	291.04	84.04	214.27	63.0	120.94	61.68	353.59	73.03	251.48	83.45	195.72	57.89	92.05
CHAF1B	301.33	98.73	105.89	88.88	35.0	64.8	191.67	24.63	13.12	46.18	277.2	97.36	55.49	65.26	103.69	42.41	78.34	77.25	52.08	223.41	206.94	106.63	147.06	279.14	60.39	30.78	18.97	142.01	98.73	49.21	24.46	2.58	21.01	6.01	2.1	214.27	58.71	156.59	61.68	164.42	43.32	149.12	48.87	75.64	36.27	39.79	12.18	27.25
CHEK1	854.13	264.03	480.04	224.97	106.63	279.14	403.5	64.34	63.45	134.3	1268.46	202.66	205.5	171.45	234.57	175.07	143.01	265.87	180.02	234.57	902.89	226.54	334.46	624.99	190.34	53.95	19.68	215.77	341.51	229.72	70.51	25.91	25.17	24.99	15.11	620.67	51.71	656.11	73.03	348.71	53.95	450.94	55.89	217.27	167.9	127.89	63.89	68.55
CHEK2	603.67	703.28	872.1	409.15	143.01	368.65	665.29	212.78	95.34	260.38	348.71	392.44	197.09	320.8	612.11	236.21	249.73	447.82	234.57	301.33	587.13	236.21	314.17	358.54	281.09	265.87	228.13	146.03	363.56	150.17	171.45	54.72	52.45	125.24	93.35	759.08	153.34	503.95	76.17	450.94	89.51	684.02	106.63	177.53	236.21	166.73	131.51	107.38
CKAP2L	166.73	97.36	96.01	135.24	20.11	122.64	376.41	10.47	10.55	77.79	242.88	206.94	43.02	59.13	88.26	44.25	66.18	87.03	50.27	253.23	379.04	88.26	244.57	303.44	42.11	5.32	2.81	99.43	96.68	67.59	21.32	1.99	7.57	0.96	1.14	348.71	13.42	96.01	9.13	121.79	14.67	132.44	17.0	88.88	39.22	43.02	8.32	89.51
CLSPN	132.44	35.0	42.71	50.27	17.64	31.22	113.56	2.58	9.93	77.79	164.42	100.83	37.32	27.25	143.01	26.67	50.98	64.34	12.18	164.42	56.68	39.22	102.25	158.79	45.53	15.56	0.72	51.35	78.34	38.67	8.99	0.0	1.04	3.14	0.77	346.29	11.04	123.5	6.11	76.17	8.65	136.19	7.57	100.13	12.93	66.65	0.0	28.45
DEPDC1	208.38	102.25	65.26	106.63	15.68	73.03	41.52	4.5	10.24	43.63	262.2	204.07	45.85	27.84	117.6	29.91	66.18	131.51	31.22	182.55	147.06	59.97	108.14	126.12	54.33	3.69	1.41	23.76	159.9	55.1	31.0	0.0	1.39	0.44	0.54	291.04	16.63	123.5	12.09	186.4	8.51	102.25	11.73	49.21	49.21	28.24	6.52	43.94
DEPDC1B	669.92	109.66	267.73	145.02	22.75	115.16	297.17	10.24	36.27	78.34	547.75	124.37	65.72	76.71	115.97	75.64	54.33	267.73	37.05	239.52	239.52	90.14	248.0	199.85	83.45	8.0	2.12	78.34	59.55	53.57	27.05	3.82	6.31	3.14	2.61	189.02	24.99	112.77	19.82	221.86	19.68	115.97	23.93	205.5	83.45	49.91	29.48	69.03
DLGAP5	307.69	178.77	314.17	329.84	44.89	262.2	285.03	17.0	28.45	129.69	698.41	392.44	100.83	142.01	209.84	70.51	101.54	205.5	115.97	543.96	241.19	180.02	392.44	303.44	126.12	14.24	6.26	111.99	212.78	102.25	29.7	2.86	3.72	3.03	1.91	376.41	29.27	163.28	31.9	293.07	36.27	273.37	40.36	122.64	69.03	98.73	20.86	57.89
DNA2	236.21	65.26	80.57	42.11	22.75	57.49	176.29	17.25	64.8	29.91	105.15	79.45	47.84	34.26	75.11	42.41	31.45	65.72	31.22	115.97	135.24	38.67	118.43	108.14	56.68	18.7	13.72	34.51	84.63	49.21	34.75	10.31	4.78	32.82	22.92	371.22	55.89	94.01	28.65	159.9	31.22	169.07	27.25	103.69	59.55	26.86	49.91	52.82
DNMT1	1583.71	1111.82	1111.82	813.63	392.44	679.29	941.27	507.46	490.14	764.36	1417.35	764.36	525.39	802.41	2104.58	638.15	616.37	1015.93	536.45	2018.8	819.3	848.22	954.43	1883.54	842.36	514.56	507.46	665.29	1104.13	915.51	612.11	281.09	406.31	262.2	211.31	1437.15	624.99	1104.13	256.78	536.45	403.5	1023.0	769.69	1111.82	281.09	583.07	587.13	420.68
DONSON	941.27	397.93	395.18	327.56	190.34	343.89	551.56	130.6	105.15	224.97	866.07	583.07	194.36	346.29	316.37	209.84	389.72	473.41	438.59	1044.52	909.17	379.04	281.09	463.65	417.77	176.29	177.53	397.93	651.58	262.2	277.2	208.38	88.88	120.1	167.9	1008.9	279.14	802.41	167.9	759.08	205.5	480.04	248.0	403.5	153.34	182.55	114.36	325.29
DSCC1	226.54	93.35	97.36	176.29	26.86	153.34	361.04	13.12	21.01	57.08	183.82	91.41	39.22	70.51	138.1	71.5	95.34	193.01	21.32	154.42	197.09	133.36	144.01	309.83	73.54	19.82	4.62	389.72	104.42	65.72	17.64	9.27	15.0	15.45	10.31	253.23	31.45	87.03	65.72	299.25	23.93	98.04	9.2	155.5	78.89	45.85	23.76	11.64
DSN1	387.02	327.56	417.77	325.29	220.32	262.2	674.59	139.07	102.25	154.42	460.44	426.57	152.28	486.75	511.0	166.73	441.64	591.22	165.57	476.71	599.49	450.94	297.17	842.36	518.15	177.53	123.5	275.28	473.41	110.43	94.01	83.45	165.57	122.64	89.51	723.08	166.73	651.58	166.73	343.89	162.14	409.15	94.01	379.04	248.0	141.02	92.7	73.03
DTYMK	1277.29	791.35	1662.49	2193.99	486.75	1183.45	1233.75	595.34	273.37	444.72	1617.0	688.78	497.0	1508.65	1183.45	521.76	1268.46	1359.57	511.0	521.76	1151.06	878.17	1001.93	2047.0	441.64	353.59	212.78	669.92	665.29	507.46	460.44	341.51	221.86	228.13	205.5	1662.49	967.76	934.76	698.41	1529.73	476.71	1733.13	551.56	1001.93	1378.57	684.02	264.03	441.64
E2F1	2032.85	231.32	525.39	423.61	98.73	178.77	819.3	37.32	72.52	165.57	1477.58	466.88	45.21	470.14	563.18	104.42	285.03	432.53	108.9	473.41	713.11	255.0	215.77	995.0	208.38	53.57	13.83	269.6	543.96	84.04	59.55	4.86	13.32	5.45	2.84	525.39	50.63	1709.26	146.03	703.28	92.05	387.02	45.85	339.14	85.22	127.0	36.27	105.15
E2F7	148.09	12.74	43.02	18.56	9.93	47.84	73.54	27.84	6.16	30.12	167.9	20.86	30.12	19.68	35.25	17.9	10.31	52.08	10.55	78.89	26.86	47.5	58.71	59.13	15.68	21.94	8.0	11.21	23.59	33.3	6.73	0.0	0.85	0.0	4.54	60.82	3.41	19.82	1.25	68.07	2.1	29.06	3.23	25.17	3.17	14.14	36.01	17.38
ERCC6L	92.05	61.68	45.21	37.05	5.5	50.63	95.34	7.06	10.63	32.82	86.43	73.03	17.77	21.01	55.49	17.64	40.07	76.17	16.63	62.56	126.12	9.13	77.25	145.02	30.12	3.35	1.77	59.55	35.76	25.54	7.94	0.0	0.8	2.39	1.04	57.89	7.06	71.5	10.63	94.67	4.74	69.03	7.34	27.25	20.11	24.11	4.58	13.12
ESCO2	140.04	75.11	73.54	30.34	31.67	45.53	135.24	2.89	13.32	21.32	182.55	104.42	37.85	29.48	89.51	23.08	30.12	88.88	21.63	55.89	42.41	49.21	108.14	153.34	42.11	7.0	3.86	68.07	98.04	60.39	5.23	1.46	5.59	1.51	0.0	107.38	10.24	147.06	6.67	131.51	12.27	117.6	6.01	110.43	66.65	65.26	21.94	36.01
EXO1	253.23	154.42	206.94	178.77	15.91	66.18	228.13	9.85	20.11	64.8	281.09	146.03	66.65	99.43	154.42	62.12	119.26	144.01	30.34	152.28	209.84	94.67	117.6	253.23	45.85	11.3	2.46	190.34	194.36	63.45	9.13	1.5	2.71	7.0	2.61	483.38	19.97	161.02	19.39	148.09	26.28	397.93	8.0	96.01	22.59	49.56	15.56	29.27
EZH2	860.08	229.72	473.41	371.22	57.49	191.67	341.51	74.58	147.06	127.89	567.1	255.0	105.89	221.86	447.82	142.01	231.32	323.03	102.97	780.44	723.08	242.88	185.11	356.05	75.11	92.05	53.19	392.44	454.09	343.89	228.13	20.11	28.24	34.02	19.53	547.75	118.43	423.61	43.02	400.71	63.0	854.13	91.41	400.71	111.99	134.3	97.36	145.02
FAM64A	1498.22	129.69	199.85	154.42	33.06	145.02	314.17	28.04	34.51	132.44	1304.15	180.02	91.41	102.25	351.14	77.79	177.53	291.04	84.04	279.14	733.19	134.3	309.83	688.78	59.13	24.81	2.12	113.56	37.05	65.26	50.27	1.91	4.24	1.36	0.4	127.0	76.71	186.4	25.72	551.56	31.0	277.2	24.63	33.78	74.06	64.34	16.51	57.49
FAM72A	223.41	123.5	111.99	151.22	111.21	121.79	198.47	45.21	27.05	70.01	148.09	246.28	34.51	90.14	156.59	82.29	122.64	112.77	30.34	140.04	212.78	116.78	117.6	113.56	62.56	37.32	32.13	34.26	129.69	51.71	44.25	2.05	41.81	12.83	15.91	258.57	12.74	105.89	21.01	122.64	49.56	113.56	42.41	76.71	65.72	23.42	13.62	21.32
