	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.ZF.AA4W.01A.12R.A38B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.DS.A1OD.01A.11R.A14Y.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.VS.A8Q9.01A.12R.A37O.07	TCGA.Q1.A6DV.01A.11R.A32P.07	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.ZJ.AAXF.01A.31R.A42T.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1MH.01A.11R.A14Y.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.BI.A0VR.01A.11R.A10U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.BB.A6UM.01A.12R.A34R.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.94.8490.01A.11R.2326.07	TCGA.NK.A5D1.01A.11R.A26W.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
RCCD1	206.94	312.0	323.03	339.14	293.07	656.11	514.56	2209.26	656.11	616.37	438.59	450.94	941.27	403.5	507.46	518.15	860.08	563.18	420.68	476.71	981.29	518.15	555.41	381.68	441.64	100.13	182.55	55.1	147.06	122.64	144.01	409.15	77.79	111.21	332.14	271.48	138.1	164.42	142.01	80.01	155.5	215.77	267.73	155.5	215.77	135.24	170.25	158.79	145.02	195.72	202.66	55.89	151.22	166.73	96.68	205.5	241.19	162.14	134.3	170.25	223.41	105.15	157.68	239.52	688.78	204.07	155.5	152.28	113.56	346.29	559.28	114.36	36.01
RECQL4	563.18	409.15	684.02	1508.65	242.88	2075.59	961.07	3124.78	1286.18	1340.84	928.3	848.22	848.22	769.69	1467.37	967.76	2915.45	1208.34	688.78	616.37	1417.35	1111.82	1008.9	961.07	1991.0	99.43	312.0	133.36	466.88	197.09	147.06	463.65	145.02	327.56	543.96	587.13	124.37	387.02	297.17	191.67	441.64	279.14	199.85	279.14	264.03	260.38	441.64	336.79	173.85	373.81	503.95	258.57	299.25	679.29	169.07	305.55	346.29	376.41	384.34	435.55	1216.75	113.56	241.19	323.03	961.07	426.57	190.34	314.17	172.65	536.45	1551.09	209.84	15.0
RHOT2	1359.57	872.1	1378.57	1477.58	866.07	2224.63	1447.15	4152.18	1697.45	1721.16	3564.78	2384.37	2104.58	2047.0	2018.8	1721.16	2451.44	1950.0	1685.71	1674.06	1923.14	1508.65	3768.09	1883.54	2895.31	896.64	1250.98	934.76	1697.45	1008.9	1191.69	1088.92	842.36	941.27	1135.2	1388.16	728.11	1540.37	1073.91	1322.37	1529.73	1322.37	3716.2	1639.59	1159.07	1594.73	1605.83	988.12	1268.46	1457.23	1143.1	1135.2	1304.15	1529.73	1119.56	1437.15	1023.0	1304.15	961.07	1111.82	1883.54	819.3	1331.57	1467.37	1757.34	1883.54	967.76	1378.57	981.29	1936.53	2796.65	1008.9	854.13
RHPN1	40.64	229.72	8.71	159.9	135.24	769.69	301.33	297.17	780.44	105.15	460.44	141.02	112.77	591.22	358.54	518.15	346.29	193.01	126.12	147.06	267.73	256.78	595.34	237.86	307.69	9.06	12.27	6.11	53.19	7.57	5.45	17.38	10.79	47.17	18.97	22.43	20.11	33.3	35.76	67.59	500.46	23.93	59.97	15.22	4.43	10.08	40.36	16.03	8.78	27.64	40.36	22.1	36.01	19.82	21.16	12.27	7.06	5.36	35.5	15.56	122.64	9.34	8.99	11.38	187.71	12.0	49.91	15.8	8.51	307.69	423.61	43.94	24.81
RP11-1212A22.4	356.05	854.13	316.37	559.28	397.93	1883.54	1397.83	1233.75	1159.07	1191.69	3018.3	371.22	796.86	884.29	660.68	1322.37	603.67	1073.91	1540.37	1427.22	1037.29	1191.69	4239.45	1104.13	866.07	44.89	77.25	64.8	620.67	629.35	309.83	954.43	125.24	183.82	579.04	89.51	299.25	490.14	441.64	414.87	603.67	429.54	974.5	381.68	153.34	150.17	688.78	476.71	400.71	435.55	348.71	158.79	785.88	414.87	480.04	167.9	194.36	215.77	223.41	409.15	941.27	220.32	293.07	271.48	728.11	514.56	273.37	316.37	177.53	1427.22	1397.83	162.14	183.82
RP11-126K1.2	63.45	84.63	17.25	36.01	36.53	98.04	39.79	81.71	113.56	58.71	24.28	8.85	70.51	48.18	36.79	34.02	32.82	90.77	57.08	20.56	26.1	75.11	41.81	58.71	32.59	20.26	13.03	9.13	16.75	11.82	8.0	16.27	28.65	13.52	105.15	41.52	13.83	18.97	19.82	16.51	21.16	25.35	39.22	8.51	63.89	14.56	17.77	11.82	7.17	27.44	19.82	11.82	16.88	13.62	17.9	38.4	24.99	13.12	27.05	16.27	31.22	12.0	28.04	28.86	62.12	6.62	8.19	17.64	10.39	45.53	79.45	6.11	34.02
RP11-89K11.1	22.1	6.21	7.22	6.41	3.06	103.69	16.51	20.11	4.78	38.4	27.05	15.56	24.28	13.22	23.25	7.28	143.01	32.13	46.84	32.13	76.17	34.02	178.77	24.46	150.17	10.24	1.57	3.0	8.78	2.14	6.89	8.45	2.29	7.57	21.16	7.51	5.06	14.78	5.45	10.31	45.85	0.0	10.16	4.43	1.99	11.47	13.72	15.45	4.78	9.41	5.32	1.69	12.64	5.32	12.83	20.26	21.78	0.0	4.98	4.74	17.38	2.58	7.94	2.41	31.22	0.0	12.27	0.0	13.12	20.41	193.01	3.63	0.0
RTEL1	121.79	191.67	128.79	169.07	47.5	299.25	299.25	400.71	674.59	226.54	265.87	356.05	248.0	256.78	265.87	265.87	264.03	265.87	170.25	194.36	1233.75	264.03	599.49	189.02	414.87	71.5	178.77	108.14	191.67	119.26	107.38	202.66	85.22	108.9	170.25	289.02	83.45	137.14	137.14	124.37	143.01	110.43	221.86	180.02	99.43	121.79	193.01	127.0	98.04	152.28	204.07	141.02	98.04	165.57	139.07	189.02	145.02	148.09	131.51	143.01	171.45	61.68	124.37	163.28	149.12	113.56	141.02	130.6	87.65	169.07	480.04	99.43	105.89
SEC31B	34.75	12.93	10.24	22.43	28.04	129.69	133.36	327.56	143.01	130.6	156.59	118.43	73.03	66.18	123.5	90.77	152.28	123.5	85.82	60.39	65.26	125.24	493.56	52.82	180.02	10.08	9.34	2.92	72.01	14.89	17.51	20.56	3.29	55.1	104.42	8.13	9.27	50.98	26.86	49.91	46.18	70.51	128.79	10.63	7.46	16.39	21.63	35.5	24.99	61.68	24.81	10.08	66.65	12.0	40.07	19.39	15.22	6.16	11.82	10.79	30.34	9.27	12.45	27.44	64.8	59.13	15.45	15.68	9.63	60.82	134.3	15.68	8.85
SFI1	135.24	193.01	119.26	211.31	255.0	620.67	503.95	567.1	1001.93	647.07	769.69	260.38	540.19	423.61	291.04	503.95	368.65	256.78	460.44	332.14	307.69	218.79	633.73	447.82	872.1	45.53	136.19	57.08	211.31	65.72	106.63	116.78	65.26	98.04	218.79	51.35	111.21	123.5	116.78	204.07	194.36	164.42	239.52	142.01	90.14	118.43	157.68	135.24	102.97	172.65	147.06	54.33	202.66	63.45	143.01	113.56	93.35	99.43	78.34	142.01	125.24	43.02	116.78	107.38	307.69	204.07	115.97	147.06	72.52	371.22	420.68	85.82	122.64
SLC25A37	191.67	403.5	395.18	406.31	209.84	497.0	470.14	1023.0	483.38	493.56	518.15	507.46	258.57	603.67	497.0	796.86	379.04	466.88	518.15	444.72	693.58	363.56	764.36	503.95	1127.35	395.18	236.21	167.9	518.15	108.9	454.09	269.6	836.53	237.86	265.87	591.22	159.9	199.85	423.61	423.61	291.04	262.2	514.56	289.02	426.57	320.8	473.41	248.0	273.37	503.95	198.47	189.02	371.22	212.78	397.93	423.61	358.54	316.37	303.44	218.79	490.14	190.34	348.71	381.68	305.55	194.36	151.22	122.64	111.21	713.11	743.43	154.42	679.29
SMG9	483.38	493.56	373.81	607.87	607.87	3982.99	629.35	3847.29	1030.12	825.0	1051.79	698.41	1477.58	1008.9	679.29	860.08	1030.12	688.78	656.11	785.88	808.0	595.34	1167.14	738.29	995.0	153.34	429.54	258.57	563.18	251.48	232.94	395.18	325.29	312.0	414.87	387.02	202.66	327.56	476.71	241.19	358.54	262.2	1397.83	371.22	713.11	332.14	241.19	332.14	267.73	318.57	423.61	236.21	493.56	518.15	320.8	299.25	514.56	780.44	389.72	224.97	507.46	220.32	379.04	423.61	624.99	295.11	275.28	381.68	117.6	483.38	1151.06	332.14	277.2
SMPD4	915.51	1225.22	1208.34	961.07	532.74	2075.59	1651.0	1529.73	1477.58	1369.04	1304.15	988.12	1457.23	872.1	1096.5	1322.37	2701.35	1081.39	1286.18	1066.48	1437.15	1066.48	2163.77	2004.85	2032.85	429.54	896.64	733.19	796.86	647.07	775.05	1159.07	629.35	603.67	718.08	1457.23	638.15	808.0	1167.14	607.87	1001.93	890.44	836.53	902.89	860.08	813.63	830.75	759.08	825.0	947.83	961.07	884.29	909.17	974.5	738.29	988.12	848.22	995.0	753.83	836.53	1350.18	723.08	769.69	1259.69	1208.34	647.07	791.35	708.18	738.29	1832.01	1498.22	651.58	555.41
SNRPA1	2384.37	1508.65	1794.29	2682.69	974.5	2701.35	2468.49	5555.65	2047.0	2434.5	1794.29	2163.77	2502.97	2032.85	1781.89	1721.16	2645.74	2400.97	1909.85	2796.65	5751.61	3443.31	2209.26	1605.83	2148.82	1313.23	947.83	1208.34	1359.57	1295.13	1286.18	2434.5	780.44	1030.12	1407.55	1806.78	1407.55	1561.89	1529.73	1378.57	1806.78	1819.35	791.35	1313.23	1208.34	915.51	1340.84	1369.04	1088.92	1225.22	3955.48	896.64	1519.15	1662.49	872.1	1697.45	1477.58	1183.45	1896.65	1605.83	1769.57	981.29	1225.22	1407.55	1896.65	1295.13	954.43	1417.35	1378.57	1685.71	4152.18	616.37	3081.75
SPRN	22.26	23.25	33.06	31.45	32.59	54.33	89.51	113.56	56.28	38.4	50.27	63.45	72.52	48.18	92.7	61.25	53.19	58.71	34.75	31.45	40.64	52.45	63.0	98.04	27.44	14.03	22.75	13.03	40.36	11.13	14.14	31.67	12.55	37.05	15.56	20.11	15.8	23.76	26.28	48.87	33.78	17.64	68.55	28.24	18.16	26.67	31.22	20.26	17.38	40.64	31.45	12.36	30.56	16.27	23.42	17.38	24.63	21.32	17.64	19.25	22.43	9.63	27.64	24.81	40.07	13.72	22.26	37.32	11.82	82.87	102.25	15.34	2.97
SRRT	1709.26	1733.13	1427.22	1870.53	1674.06	2417.67	3060.45	3847.29	2796.65	2777.33	2875.3	3124.78	2384.37	2319.15	2468.49	2664.15	2739.08	1519.15	2645.74	2627.46	2004.85	1508.65	4388.98	3768.09	3794.3	743.43	1331.57	1111.82	1721.16	1295.13	1350.18	1540.37	842.36	1242.34	1259.69	1369.04	1081.39	1388.16	1191.69	1250.98	2555.58	1350.18	2075.59	1467.37	1447.15	1175.27	1936.53	1322.37	1119.56	1561.89	1594.73	1081.39	1857.6	1467.37	1233.75	1143.1	1437.15	1498.22	1250.98	1127.35	2090.03	830.75	1540.37	1407.55	2384.37	1268.46	1143.1	1378.57	1225.22	2520.38	3491.39	1088.92	934.76
SRSF7	3257.52	3081.75	2468.49	2335.28	1832.01	5255.91	4419.52	4152.18	4903.87	4358.66	4123.49	5219.6	2935.74	4038.61	3060.45	4328.55	3349.13	3190.46	4607.24	4239.45	4358.66	3564.78	4543.8	4298.64	4543.8	1923.14	2240.11	1498.22	2178.83	2384.37	2627.46	2645.74	1199.98	1709.26	2287.2	2502.97	1819.35	2178.83	2163.77	1397.83	3257.52	1832.01	1259.69	4152.18	3257.52	2240.11	2875.3	1781.89	1757.34	2119.22	2573.36	1519.15	3168.41	1883.54	1963.57	1819.35	1628.26	2555.58	2075.59	2384.37	2287.2	1015.93	2075.59	2976.74	3564.78	2319.15	1883.54	2645.74	2240.11	3467.27	4972.34	5183.54	1572.76
SUGP2	500.46	703.28	511.0	860.08	379.04	708.18	1151.06	808.0	1313.23	688.78	1015.93	612.11	775.05	642.59	813.63	866.07	521.76	785.88	708.18	693.58	599.49	819.3	2303.12	1617.0	2119.22	158.79	249.73	176.29	575.03	299.25	325.29	612.11	152.28	376.41	470.14	293.07	217.27	368.65	339.14	403.5	348.71	309.83	764.36	351.14	258.57	251.48	403.5	511.0	327.56	353.59	559.28	267.73	444.72	185.11	323.03	301.33	181.28	305.55	303.44	384.34	466.88	173.85	281.09	303.44	629.35	441.64	293.07	262.2	154.42	848.22	1167.14	351.14	279.14
SULT1A3	587.13	264.03	403.5	429.54	466.88	1369.04	967.76	2209.26	753.83	353.59	1111.82	493.56	329.84	551.56	435.55	536.45	775.05	384.34	336.79	718.08	848.22	629.35	373.81	136.19	384.34	10.16	108.14	12.36	356.05	105.15	15.91	96.68	36.27	130.6	162.14	93.35	145.02	223.41	242.88	100.83	334.46	127.0	1331.57	45.53	161.02	40.36	133.36	107.38	50.98	117.6	182.55	66.65	267.73	191.67	60.82	153.34	95.34	17.25	24.28	19.53	373.81	60.39	74.58	50.98	356.05	185.11	13.83	31.22	85.82	329.84	289.02	48.52	100.13
SULT1A4	361.04	147.06	62.12	33.54	86.43	283.05	299.25	785.88	476.71	441.64	480.04	429.54	224.97	234.57	500.46	447.82	234.57	239.52	507.46	444.72	551.56	181.28	258.57	72.01	101.54	65.72	115.16	53.19	165.57	198.47	100.13	318.57	79.45	201.25	173.85	135.24	3.59	158.79	124.37	142.01	316.37	75.64	1159.07	138.1	68.07	180.02	217.27	169.07	152.28	206.94	214.27	59.55	273.37	3.66	205.5	81.71	224.97	122.64	131.51	132.44	127.0	60.39	128.79	99.43	78.34	95.34	114.36	186.4	35.25	167.9	275.28	104.42	77.79
SUPT7L	665.29	848.22	473.41	638.15	327.56	591.22	703.28	1191.69	884.29	532.74	532.74	483.38	665.29	507.46	808.0	915.51	684.02	896.64	753.83	591.22	967.76	995.0	1051.79	540.19	819.3	246.28	323.03	251.48	460.44	395.18	358.54	559.28	305.55	392.44	447.82	343.89	312.0	371.22	497.0	555.41	543.96	470.14	536.45	368.65	791.35	291.04	332.14	599.49	368.65	432.53	647.07	373.81	493.56	403.5	406.31	497.0	351.14	255.0	267.73	536.45	454.09	271.48	423.61	429.54	599.49	457.25	438.59	316.37	275.28	981.29	848.22	381.68	197.09
TAF15	2468.49	6426.31	2133.97	1477.58	3768.09	3794.3	2796.65	4671.57	3901.01	3901.01	4095.0	4869.99	3794.3	4298.64	3515.68	2609.3	3146.52	4152.18	4066.71	3419.52	4358.66	4450.27	4450.27	6037.61	4607.24	988.12	2520.38	1447.15	3060.45	3081.75	2956.17	2384.37	1388.16	1628.26	1437.15	1757.34	2434.5	2739.08	2417.67	1277.29	1540.37	2520.38	2104.58	2997.45	1883.54	2255.7	1950.0	2701.35	1857.6	2090.03	2319.15	1685.71	2502.97	2119.22	2018.8	1447.15	2351.53	2335.28	2047.0	2240.11	2997.45	1832.01	2895.31	2148.82	4210.15	2758.13	1794.29	2061.24	2061.24	2148.82	4038.61	2935.74	1936.53
TBC1D31	113.56	108.9	88.88	204.07	88.26	133.36	152.28	102.97	164.42	368.65	115.16	137.14	119.26	123.5	237.86	163.28	246.28	151.22	154.42	147.06	82.87	212.78	136.19	224.97	327.56	65.26	63.45	35.76	113.56	78.89	73.54	113.56	54.72	57.08	193.01	133.36	45.85	92.7	101.54	28.65	255.0	67.12	53.57	65.72	41.81	64.34	119.26	71.0	65.26	72.52	81.14	70.01	92.05	157.68	52.08	85.82	78.89	68.55	85.22	67.59	93.35	46.5	50.27	66.18	149.12	95.34	75.11	53.57	50.63	135.24	204.07	53.95	56.28
THOC1	441.64	583.07	368.65	543.96	351.14	1073.91	902.89	674.59	1073.91	780.44	860.08	708.18	928.3	723.08	607.87	620.67	660.68	563.18	483.38	547.75	743.43	703.28	830.75	825.0	988.12	223.41	273.37	204.07	463.65	299.25	283.05	460.44	128.79	204.07	486.75	420.68	209.84	426.57	373.81	356.05	242.88	371.22	447.82	368.65	356.05	285.03	366.09	228.13	387.02	454.09	660.68	153.34	397.93	163.28	205.5	283.05	307.69	189.02	291.04	228.13	684.02	171.45	339.14	432.53	480.04	218.79	186.4	346.29	291.04	555.41	753.83	229.72	215.77
TIPIN	229.72	412.0	229.72	293.07	307.69	256.78	423.61	514.56	438.59	341.51	327.56	395.18	316.37	323.03	368.65	269.6	397.93	351.14	460.44	381.68	316.37	500.46	299.25	249.73	297.17	198.47	137.14	95.34	204.07	194.36	169.07	435.55	77.79	171.45	269.6	249.73	90.77	167.9	211.31	93.35	194.36	170.25	83.45	220.32	189.02	131.51	224.97	173.85	161.02	154.42	281.09	97.36	191.67	264.03	100.13	193.01	251.48	127.0	258.57	185.11	197.09	94.01	141.02	215.77	314.17	201.25	122.64	133.36	194.36	209.84	409.15	218.79	137.14
TMCO6	220.32	293.07	155.5	264.03	217.27	267.73	532.74	463.65	283.05	450.94	389.72	237.86	249.73	256.78	151.22	384.34	346.29	426.57	214.27	258.57	191.67	460.44	638.15	444.72	718.08	133.36	193.01	124.37	145.02	170.25	101.54	224.97	118.43	136.19	423.61	204.07	164.42	167.9	95.34	116.78	195.72	197.09	273.37	132.44	297.17	211.31	178.77	76.17	178.77	171.45	176.29	100.83	190.34	173.85	142.01	130.6	190.34	144.01	132.44	114.36	229.72	63.0	180.02	197.09	214.27	185.11	120.1	195.72	140.04	226.54	323.03	155.5	83.45
TMEM50B	237.86	229.72	242.88	332.14	318.57	836.53	785.88	176.29	1407.55	567.1	703.28	583.07	426.57	775.05	638.15	802.41	486.75	457.25	559.28	612.11	728.11	476.71	1104.13	327.56	698.41	409.15	309.83	287.01	435.55	291.04	279.14	267.73	182.55	332.14	595.34	237.86	273.37	336.79	325.29	361.04	447.82	314.17	624.99	379.04	299.25	447.82	316.37	429.54	265.87	571.05	301.33	228.13	406.31	136.19	351.14	212.78	154.42	384.34	314.17	273.37	389.72	234.57	283.05	260.38	525.39	320.8	334.46	400.71	486.75	547.75	503.95	525.39	297.17
TONSL	60.39	149.12	211.31	260.38	231.32	253.23	267.73	603.67	204.07	518.15	473.41	198.47	190.34	356.05	409.15	406.31	642.59	426.57	287.01	309.83	409.15	305.55	575.03	486.75	543.96	38.12	153.34	77.79	158.79	112.77	172.65	140.04	43.02	97.36	234.57	356.05	80.01	112.77	92.05	54.33	202.66	108.14	63.89	189.02	159.9	119.26	220.32	95.34	128.79	187.71	212.78	165.57	144.01	176.29	68.07	80.57	140.04	198.47	153.34	176.29	241.19	60.82	152.28	124.37	287.01	156.59	100.13	137.14	71.0	267.73	339.14	113.56	7.46
WDR90	435.55	633.73	384.34	460.44	316.37	1199.98	836.53	2520.38	1896.65	1023.0	2224.63	988.12	902.89	802.41	660.68	842.36	967.76	896.64	785.88	708.18	967.76	780.44	2104.58	629.35	1175.27	84.04	177.53	190.34	339.14	116.78	187.71	218.79	87.03	139.07	339.14	264.03	123.5	348.71	208.38	187.71	540.19	194.36	470.14	223.41	264.03	195.72	417.77	273.37	167.9	299.25	412.0	113.56	265.87	204.07	194.36	325.29	137.14	241.19	110.43	142.01	559.28	100.83	139.07	291.04	595.34	348.71	138.1	166.73	81.14	974.5	1427.22	148.09	117.6
ZC3H18	473.41	915.51	698.41	231.32	281.09	642.59	660.68	954.43	647.07	708.18	902.89	775.05	532.74	684.02	620.67	902.89	583.07	660.68	669.92	620.67	825.0	674.59	1096.5	629.35	981.29	218.79	575.03	392.44	595.34	387.02	466.88	603.67	426.57	454.09	555.41	660.68	395.18	555.41	775.05	265.87	281.09	500.46	764.36	547.75	595.34	473.41	599.49	381.68	420.68	507.46	595.34	500.46	381.68	571.05	571.05	543.96	624.99	599.49	403.5	525.39	775.05	346.29	532.74	532.74	607.87	503.95	470.14	532.74	500.46	819.3	921.88	769.69	543.96
ZGLP1	45.21	38.67	19.39	22.75	19.97	87.65	156.59	351.14	180.02	110.43	116.78	88.26	71.0	101.54	204.07	41.22	202.66	83.45	42.11	68.07	77.25	111.21	94.01	61.68	143.01	6.21	13.93	4.1	95.34	19.82	16.63	27.44	28.65	76.71	35.25	9.41	14.89	24.99	51.71	28.65	57.08	16.88	100.13	35.5	4.94	11.55	23.59	19.53	12.55	28.86	34.75	7.11	27.25	9.85	22.1	13.22	17.77	10.79	11.82	17.25	64.8	5.41	14.14	41.81	66.65	38.67	17.25	34.02	11.13	25.54	116.78	30.78	5.92
ZNF513	260.38	426.57	376.41	353.59	339.14	529.06	454.09	514.56	490.14	412.0	336.79	305.55	381.68	480.04	429.54	444.72	525.39	301.33	403.5	503.95	438.59	293.07	591.22	460.44	395.18	129.69	150.17	163.28	343.89	242.88	80.57	253.23	183.82	246.28	312.0	150.17	248.0	320.8	232.94	599.49	366.09	293.07	466.88	195.72	497.0	155.5	256.78	149.12	34.51	426.57	275.28	92.7	242.88	260.38	297.17	289.02	204.07	194.36	139.07	256.78	389.72	255.0	277.2	262.2	500.46	209.84	249.73	234.57	325.29	642.59	438.59	318.57	435.55
ZRANB3	103.69	109.66	48.18	102.97	53.95	81.71	107.38	55.89	84.63	68.07	52.82	49.21	36.53	38.95	88.26	43.32	50.27	143.01	107.38	62.56	77.79	161.02	105.15	126.12	172.65	37.32	77.79	32.36	44.25	49.21	38.67	75.64	18.43	31.67	96.01	66.65	23.08	26.1	39.22	14.03	82.29	55.89	48.52	55.89	40.93	43.02	46.5	25.72	28.65	29.7	43.63	26.1	35.5	35.0	33.78	56.28	52.82	32.36	34.75	24.28	30.78	28.65	42.41	55.49	63.0	47.5	28.65	37.85	28.24	67.12	96.01	85.82	17.77
ZWILCH	217.27	264.03	341.51	132.44	297.17	423.61	341.51	733.19	466.88	518.15	348.71	470.14	563.18	327.56	346.29	423.61	343.89	301.33	490.14	497.0	473.41	417.77	473.41	297.17	728.11	171.45	246.28	186.4	217.27	201.25	275.28	273.37	106.63	165.57	435.55	571.05	128.79	248.0	204.07	74.06	201.25	226.54	102.97	246.28	187.71	223.41	173.85	177.53	190.34	193.01	291.04	105.89	220.32	265.87	154.42	215.77	248.0	177.53	253.23	269.6	137.14	96.01	301.33	281.09	368.65	253.23	149.12	183.82	166.73	277.2	389.72	198.47	46.18
