	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.A8.A08C.01A.11R.A00Z.07	TCGA.A7.A13G.01A.11R.A13Q.07	TCGA.BH.A0DP.01A.21R.A056.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.A8.A099.01A.11R.A00Z.07	TCGA.A2.A0YD.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.E2.A1BD.01A.11R.A12P.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.E9.A1RC.01A.11R.A157.07	TCGA.BH.A0BD.01A.11R.A034.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.A8.A093.01A.11R.A00Z.07	TCGA.BH.A1FL.01A.11R.A13Q.07	TCGA.BH.A1FJ.01A.11R.A13Q.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.E2.A15G.01A.11R.A12D.07	TCGA.E9.A249.01A.11R.A169.07	TCGA.C8.A274.01A.11R.A16F.07	TCGA.BH.A28Q.01A.11R.A16F.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.A2.A0D3.01A.11R.A115.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E9.A22H.01A.11R.A157.07	TCGA.AR.A24P.01A.11R.A169.07	TCGA.B6.A0RP.01A.21R.A084.07	TCGA.AQ.A1H3.01A.31R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.XBED.1126.SM.48TCF	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.PWOO.1026.SM.48TCN	GTEX.XBED.0926.SM.48TCE	GTEX.12WSL.1326.SM.5LZVW	GTEX.14C5O.1726.SM.5RQI9	GTEX.S3XE.0826.SM.4AD4U	GTEX.1211K.1026.SM.5EQ4B	GTEX.QDVJ.0826.SM.48U1S	GTEX.S4Q7.0526.SM.4AD5N	GTEX.O5YT.0726.SM.3MJHA	GTEX.13CF3.1526.SM.5J2NB	GTEX.11EM3.0726.SM.5GZZM	GTEX.145ME.0626.SM.5O99Q	GTEX.RUSQ.0926.SM.47JWU	GTEX.QDVN.1126.SM.48TZ7	GTEX.Q2AH.1026.SM.48TZI	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.LG.A9QC.01A.11R.A37K.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.DD.A73E.01A.12R.A32O.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.AADD.01A.11R.A41C.07	TCGA.EP.A26S.01A.11R.A16W.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.G3.A3CK.01A.11R.A213.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.SJXC.1226.SM.4DM78	GTEX.ZZPU.0426.SM.5GZYH
BCL9	780.44	1529.73	1143.1	753.83	500.46	928.3	1561.89	1059.11	620.67	567.1	476.71	1378.57	532.74	525.39	866.07	1216.75	1457.23	848.22	748.61	1167.14	769.69	1447.15	825.0	1277.29	1304.15	723.08	703.28	1216.75	909.17	1295.13	1104.13	529.06	1023.0	825.0	1030.12	872.1	1073.91	1081.39	743.43	113.56	463.65	432.53	466.88	476.71	406.31	239.52	435.55	547.75	500.46	441.64	420.68	406.31	470.14	420.68	463.65	392.44	559.28	73.03	142.01	429.54	73.54	126.12	43.32	109.66	57.89	140.04	88.88	74.06	136.19	64.34	209.84	69.52	148.09	209.84	281.09	144.01	275.28	119.26	136.19	153.34	241.19	30.12	70.01	217.27	329.84	126.12	45.85	135.24	88.26	376.41	79.45	287.01	223.41	39.5	269.6	134.3	136.19	28.86	94.01
BLZF1	808.0	1008.9	941.27	642.59	595.34	1208.34	1059.11	947.83	743.43	713.11	514.56	934.76	764.36	579.04	1508.65	647.07	642.59	1242.34	1225.22	890.44	679.29	603.67	974.5	1037.29	733.19	633.73	571.05	836.53	607.87	842.36	819.3	1498.22	830.75	591.22	967.76	884.29	693.58	884.29	1242.34	231.32	387.02	232.94	299.25	361.04	289.02	175.07	309.83	273.37	323.03	215.77	299.25	244.57	297.17	307.69	366.09	269.6	341.51	236.21	281.09	500.46	205.5	232.94	236.21	176.29	167.9	162.14	226.54	220.32	187.71	199.85	551.56	163.28	138.1	273.37	275.28	228.13	325.29	271.48	312.0	277.2	336.79	127.89	228.13	239.52	423.61	363.56	165.57	525.39	291.04	432.53	343.89	299.25	258.57	169.07	343.89	159.9	289.02	106.63	134.3
BPNT1	1457.23	2104.58	1883.54	1143.1	836.53	1923.14	2224.63	1819.35	1397.83	1208.34	1304.15	1769.57	1487.87	780.44	1662.49	1295.13	1909.85	2537.92	1331.57	1313.23	1427.22	1242.34	1697.45	1909.85	1651.0	1331.57	1417.35	1950.0	1350.18	1757.34	1794.29	1277.29	1870.53	1388.16	1605.83	1498.22	1104.13	1519.15	1561.89	457.25	309.83	221.86	316.37	318.57	327.56	223.41	348.71	277.2	231.32	301.33	371.22	316.37	262.2	198.47	381.68	189.02	327.56	389.72	642.59	842.36	612.11	629.35	532.74	366.09	457.25	346.29	559.28	351.14	473.41	723.08	967.76	336.79	848.22	529.06	1030.12	796.86	1023.0	612.11	703.28	791.35	902.89	299.25	543.96	503.95	825.0	679.29	612.11	1030.12	642.59	543.96	612.11	616.37	612.11	275.28	684.02	503.95	656.11	267.73	591.22
BRCC3	486.75	571.05	563.18	429.54	567.1	748.61	426.57	579.04	555.41	591.22	780.44	769.69	529.06	423.61	651.58	536.45	665.29	647.07	514.56	483.38	612.11	738.29	633.73	693.58	575.03	656.11	441.64	808.0	490.14	718.08	791.35	463.65	532.74	579.04	808.0	624.99	559.28	551.56	426.57	224.97	217.27	525.39	291.04	224.97	299.25	182.55	211.31	242.88	226.54	229.72	295.11	253.23	212.78	202.66	211.31	204.07	279.14	242.88	251.48	392.44	93.35	341.51	127.89	251.48	159.9	171.45	124.37	173.85	325.29	131.51	312.0	255.0	176.29	180.02	341.51	161.02	267.73	173.85	190.34	193.01	236.21	123.5	99.43	205.5	172.65	361.04	143.01	417.77	197.09	172.65	199.85	339.14	226.54	175.07	325.29	154.42	150.17	114.36	226.54
BROX	1963.57	2047.0	1628.26	1467.37	1023.0	2148.82	1844.76	1794.29	1340.84	1259.69	723.08	1709.26	1572.76	813.63	2224.63	1437.15	1417.35	2875.3	1417.35	1977.24	1183.45	1183.45	1457.23	1721.16	1508.65	1104.13	1242.34	1674.06	748.61	2047.0	1551.09	3982.99	1159.07	1081.39	1167.14	1909.85	1295.13	1498.22	2047.0	447.82	395.18	351.14	325.29	381.68	293.07	291.04	483.38	392.44	312.0	316.37	426.57	289.02	323.03	309.83	320.8	323.03	329.84	283.05	470.14	802.41	447.82	387.02	486.75	343.89	356.05	295.11	395.18	228.13	353.59	384.34	743.43	339.14	420.68	454.09	551.56	414.87	463.65	426.57	447.82	420.68	571.05	232.94	363.56	339.14	775.05	460.44	303.44	624.99	397.93	688.78	371.22	518.15	551.56	309.83	633.73	303.44	473.41	267.73	183.82
C1orf21	3146.52	9945.68	4836.35	4358.66	3103.19	3060.45	3349.13	4095.0	4607.24	2573.36	1427.22	2855.44	6471.02	1551.09	4066.71	3901.01	3443.31	5183.54	4066.71	5041.77	6745.86	4903.87	7081.29	3847.29	5594.3	1896.65	2335.28	2915.45	2417.67	6471.02	6792.79	2555.58	2520.38	2627.46	3280.18	2915.45	3928.15	2271.4	2875.3	1572.76	1498.22	2451.44	1143.1	1529.73	599.49	3018.3	1135.2	1183.45	1015.93	1001.93	1487.87	1183.45	967.76	825.0	1437.15	738.29	1135.2	961.07	507.46	961.07	195.72	1081.39	53.19	384.34	2018.8	110.43	612.11	312.0	1498.22	813.63	934.76	4181.07	708.18	607.87	830.75	305.55	11.13	3589.58	854.13	1208.34	1143.1	2335.28	1447.15	271.48	387.02	2627.46	521.76	3303.0	3928.15	1008.9	55.1	559.28	769.69	507.46	2047.0	69.52	1259.69	1151.06	1340.84
C1orf27	934.76	1051.79	954.43	620.67	647.07	1340.84	967.76	878.17	764.36	748.61	575.03	1044.52	684.02	473.41	934.76	583.07	872.1	1583.71	769.69	872.1	866.07	674.59	813.63	1104.13	860.08	591.22	525.39	974.5	567.1	1104.13	1023.0	1674.06	633.73	587.13	669.92	764.36	703.28	825.0	1167.14	277.2	307.69	291.04	260.38	325.29	195.72	366.09	329.84	211.31	239.52	287.01	234.57	215.77	218.79	217.27	305.55	299.25	255.0	275.28	529.06	651.58	507.46	684.02	796.86	363.56	432.53	486.75	457.25	283.05	438.59	476.71	723.08	432.53	251.48	334.46	660.68	444.72	426.57	325.29	563.18	423.61	493.56	307.69	529.06	483.38	511.0	540.19	414.87	651.58	368.65	713.11	463.65	603.67	599.49	332.14	651.58	312.0	373.81	221.86	170.25
C1orf74	211.31	215.77	277.2	144.01	157.68	215.77	273.37	244.57	205.5	146.03	92.7	277.2	217.27	92.05	149.12	241.19	220.32	389.72	189.02	169.07	141.02	152.28	181.28	181.28	123.5	204.07	187.71	195.72	127.89	285.03	217.27	305.55	237.86	149.12	249.73	221.86	201.25	195.72	195.72	27.84	24.11	28.24	40.36	22.59	29.06	24.63	27.64	22.1	30.34	30.34	35.76	26.67	13.93	20.26	32.82	32.59	22.92	57.08	92.7	151.22	58.3	90.14	26.47	98.04	80.57	84.63	155.5	38.12	143.01	100.13	114.36	71.5	133.36	73.54	108.14	87.65	198.47	112.77	94.01	124.37	172.65	40.64	55.49	153.34	181.28	88.88	88.26	157.68	120.1	193.01	121.79	164.42	101.54	55.49	123.5	44.57	102.97	20.71	50.63
C9orf41	218.79	429.54	223.41	167.9	198.47	234.57	199.85	264.03	256.78	163.28	180.02	169.07	135.24	186.4	314.17	205.5	244.57	140.04	234.57	202.66	202.66	175.07	246.28	220.32	232.94	228.13	166.73	214.27	149.12	297.17	348.71	497.0	180.02	131.51	258.57	253.23	165.57	202.66	246.28	100.13	53.57	65.72	90.14	59.55	80.01	71.5	74.58	55.89	76.17	70.01	73.54	84.04	52.08	63.45	80.01	61.25	59.13	124.37	115.97	167.9	123.5	102.97	140.04	145.02	77.79	190.34	87.65	115.16	98.04	111.21	161.02	111.99	122.64	139.07	112.77	101.54	115.16	114.36	93.35	127.89	97.36	74.58	106.63	183.82	236.21	151.22	73.54	107.38	151.22	81.71	154.42	260.38	127.89	115.97	175.07	158.79	148.09	159.9	108.14
CASP8	884.29	723.08	575.03	551.56	363.56	703.28	674.59	532.74	563.18	389.72	423.61	503.95	400.71	480.04	647.07	420.68	591.22	463.65	603.67	470.14	400.71	490.14	483.38	738.29	629.35	733.19	476.71	435.55	466.88	743.43	759.08	775.05	728.11	412.0	934.76	660.68	429.54	525.39	547.75	249.73	191.67	209.84	197.09	165.57	176.29	193.01	201.25	187.71	111.99	348.71	197.09	251.48	189.02	140.04	190.34	186.4	121.79	441.64	447.82	470.14	175.07	287.01	255.0	283.05	119.26	329.84	353.59	366.09	255.0	271.48	438.59	155.5	320.8	327.56	248.0	616.37	314.17	253.23	251.48	336.79	132.44	141.02	137.14	403.5	332.14	295.11	249.73	583.07	293.07	187.71	244.57	387.02	273.37	256.78	211.31	368.65	329.84	204.07	231.32
CDC73	629.35	796.86	633.73	660.68	454.09	1044.52	848.22	753.83	624.99	567.1	351.14	633.73	780.44	403.5	902.89	599.49	665.29	1268.46	547.75	743.43	503.95	500.46	571.05	780.44	775.05	514.56	555.41	830.75	525.39	728.11	961.07	1111.82	603.67	473.41	571.05	769.69	567.1	624.99	866.07	339.14	309.83	336.79	299.25	336.79	351.14	275.28	320.8	239.52	241.19	231.32	356.05	253.23	305.55	289.02	348.71	231.32	371.22	145.02	193.01	463.65	244.57	201.25	397.93	135.24	234.57	269.6	258.57	154.42	236.21	195.72	392.44	198.47	182.55	255.0	334.46	163.28	273.37	237.86	226.54	218.79	256.78	180.02	148.09	221.86	299.25	228.13	180.02	379.04	237.86	234.57	244.57	316.37	283.05	186.4	376.41	191.67	215.77	97.36	135.24
CENPL	264.03	205.5	208.38	149.12	120.94	248.0	164.42	236.21	198.47	178.77	117.6	202.66	384.34	153.34	187.71	191.67	305.55	457.25	181.28	255.0	166.73	130.6	287.01	323.03	164.42	121.79	228.13	217.27	101.54	191.67	220.32	297.17	189.02	131.51	246.28	232.94	144.01	214.27	253.23	59.97	76.17	99.43	71.0	70.01	76.71	87.03	75.64	52.45	73.03	57.49	67.59	99.43	69.52	75.64	63.45	55.49	80.57	53.95	102.97	75.11	66.18	24.46	37.85	96.01	24.81	31.22	109.66	14.78	66.65	43.32	83.45	35.76	39.22	57.89	37.32	88.26	129.69	35.25	47.5	32.82	59.97	32.13	42.41	42.71	155.5	71.0	37.85	80.57	49.56	74.58	49.21	88.88	54.72	19.53	149.12	113.56	55.1	10.31	16.75
