	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.EW.A424.01A.11R.A24H.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.PE.A5DD.01A.12R.A27Q.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.W5X1.2326.SM.3GIL6	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.TMMY.0726.SM.33HBE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13N11.1126.SM.5KM41	GTEX.1117F.2426.SM.5EGGH
ARL5A	961.07	244.57	127.89	599.49	463.65	497.0	579.04	332.14	688.78	507.46	336.79	376.41	303.44	395.18	371.22	575.03	802.41	753.83	403.5	595.34	728.11	579.04	329.84	860.08	265.87	395.18	463.65	595.34	206.94	389.72	532.74	591.22	575.03	547.75	638.15	718.08	348.71	420.68	518.15	848.22	420.68	753.83	583.07	197.09	624.99	307.69	679.29	381.68	954.43	547.75	693.58	293.07	1119.56	769.69	947.83	759.08	669.92	361.04	638.15	583.07	693.58	638.15	1088.92	397.93	607.87	651.58	860.08	830.75	376.41	775.05	540.19	423.61	1340.84	384.34	638.15	503.95	842.36	791.35	848.22	334.46	376.41	934.76	571.05	813.63	579.04	961.07	231.32	511.0	583.07	748.61	514.56	995.0	305.55	145.02	265.87	256.78	147.06	171.45	157.68	258.57	246.28
ASXL2	384.34	62.56	44.89	202.66	111.21	164.42	153.34	75.11	242.88	82.87	55.1	78.89	115.97	182.55	115.16	111.99	249.73	186.4	153.34	198.47	202.66	187.71	85.82	281.09	78.34	98.73	149.12	297.17	52.08	91.41	116.78	209.84	137.14	110.43	214.27	164.42	94.01	138.1	84.63	244.57	74.06	232.94	142.01	43.63	212.78	88.26	316.37	77.79	325.29	156.59	195.72	62.12	368.65	239.52	320.8	346.29	234.57	71.5	239.52	191.67	283.05	224.97	256.78	115.16	299.25	197.09	441.64	447.82	244.57	185.11	239.52	99.43	780.44	267.73	144.01	127.0	395.18	208.38	209.84	132.44	138.1	122.64	318.57	397.93	53.19	218.79	109.66	273.37	96.68	201.25	316.37	281.09	72.52	43.94	72.01	66.18	20.71	31.22	23.25	99.43	91.41
ATAD1	866.07	392.44	376.41	713.11	866.07	426.57	796.86	525.39	995.0	642.59	629.35	379.04	444.72	769.69	476.71	624.99	1051.79	669.92	460.44	656.11	902.89	441.64	412.0	669.92	63.89	559.28	587.13	2485.67	346.29	403.5	647.07	836.53	830.75	555.41	854.13	551.56	287.01	764.36	417.77	808.0	525.39	967.76	753.83	187.71	961.07	486.75	1073.91	503.95	1104.13	571.05	813.63	312.0	1216.75	1044.52	1059.11	1073.91	854.13	470.14	915.51	764.36	1225.22	854.13	1167.14	563.18	1104.13	1769.57	1119.56	1119.56	1369.04	785.88	1066.48	450.94	2417.67	698.41	1447.15	947.83	1008.9	842.36	872.1	493.56	647.07	1322.37	1388.16	1250.98	607.87	2400.97	267.73	791.35	665.29	426.57	1059.11	1397.83	384.34	273.37	406.31	281.09	239.52	234.57	297.17	429.54	339.14
ATF2	759.08	334.46	187.71	567.1	457.25	503.95	651.58	373.81	620.67	473.41	195.72	351.14	397.93	429.54	371.22	514.56	688.78	525.39	507.46	518.15	591.22	414.87	273.37	759.08	171.45	480.04	400.71	638.15	283.05	339.14	441.64	493.56	470.14	368.65	642.59	693.58	185.11	466.88	334.46	616.37	309.83	540.19	379.04	98.04	591.22	373.81	848.22	258.57	836.53	327.56	603.67	283.05	1015.93	738.29	813.63	738.29	579.04	303.44	669.92	612.11	743.43	665.29	878.17	325.29	947.83	830.75	656.11	693.58	669.92	688.78	624.99	289.02	1639.59	599.49	733.19	674.59	791.35	718.08	1044.52	587.13	466.88	480.04	688.78	896.64	463.65	1216.75	241.19	555.41	389.72	483.38	947.83	961.07	269.6	123.5	253.23	190.34	173.85	129.69	122.64	334.46	571.05
ATF7	1143.1	447.82	642.59	688.78	392.44	500.46	813.63	629.35	323.03	454.09	346.29	409.15	454.09	808.0	476.71	392.44	620.67	665.29	454.09	441.64	961.07	511.0	728.11	684.02	476.71	514.56	642.59	928.3	656.11	595.34	384.34	599.49	830.75	420.68	591.22	332.14	348.71	642.59	320.8	738.29	409.15	518.15	373.81	299.25	1242.34	521.76	928.3	444.72	902.89	511.0	708.18	432.53	1199.98	915.51	896.64	947.83	764.36	511.0	780.44	669.92	1066.48	995.0	842.36	466.88	1216.75	1143.1	954.43	819.3	1015.93	733.19	961.07	473.41	1388.16	988.12	1066.48	507.46	728.11	1015.93	684.02	728.11	896.64	728.11	866.07	1104.13	493.56	1498.22	432.53	947.83	599.49	769.69	909.17	1135.2	295.11	253.23	334.46	438.59	186.4	137.14	155.5	358.54	444.72
ATRX	836.53	189.02	98.04	395.18	242.88	373.81	521.76	204.07	432.53	289.02	107.38	271.48	177.53	414.87	264.03	314.17	518.15	316.37	251.48	409.15	878.17	353.59	166.73	521.76	169.07	241.19	406.31	708.18	81.71	239.52	277.2	447.82	376.41	177.53	444.72	343.89	212.78	351.14	170.25	511.0	193.01	323.03	258.57	63.0	356.05	148.09	587.13	180.02	780.44	343.89	473.41	150.17	902.89	493.56	679.29	703.28	490.14	158.79	466.88	366.09	693.58	660.68	665.29	253.23	669.92	854.13	536.45	547.75	629.35	543.96	660.68	177.53	785.88	507.46	420.68	387.02	684.02	521.76	1030.12	376.41	441.64	708.18	595.34	733.19	193.01	764.36	141.02	387.02	307.69	384.34	698.41	780.44	63.45	25.35	85.22	50.63	57.89	45.85	27.25	194.36	273.37
BIRC6	954.43	493.56	231.32	660.68	616.37	693.58	728.11	480.04	638.15	669.92	567.1	435.55	463.65	743.43	591.22	525.39	842.36	647.07	463.65	775.05	748.61	738.29	460.44	954.43	547.75	551.56	583.07	1242.34	297.17	435.55	599.49	656.11	551.56	486.75	780.44	624.99	579.04	647.07	547.75	819.3	373.81	642.59	532.74	255.0	796.86	432.53	995.0	480.04	921.88	571.05	764.36	366.09	1175.27	769.69	848.22	1104.13	813.63	435.55	733.19	728.11	967.76	854.13	921.88	476.71	961.07	808.0	941.27	915.51	974.5	555.41	780.44	444.72	1639.59	718.08	529.06	934.76	1008.9	866.07	665.29	785.88	679.29	392.44	1081.39	878.17	346.29	775.05	444.72	819.3	389.72	718.08	1199.98	915.51	269.6	204.07	258.57	194.36	217.27	190.34	212.78	642.59	473.41
C18orf25	346.29	152.28	88.88	236.21	249.73	246.28	204.07	170.25	426.57	312.0	275.28	165.57	176.29	140.04	236.21	212.78	255.0	141.02	211.31	267.73	312.0	147.06	130.6	194.36	273.37	194.36	120.94	208.38	98.73	162.14	142.01	314.17	144.01	234.57	242.88	98.73	186.4	198.47	125.24	242.88	129.69	381.68	236.21	87.65	147.06	119.26	325.29	127.0	301.33	260.38	253.23	101.54	376.41	214.27	332.14	307.69	269.6	175.07	323.03	242.88	346.29	426.57	351.14	209.84	279.14	363.56	320.8	312.0	279.14	256.78	231.32	181.28	444.72	258.57	177.53	320.8	441.64	387.02	212.78	201.25	343.89	339.14	379.04	316.37	162.14	387.02	199.85	376.41	178.77	264.03	307.69	334.46	98.73	73.54	91.41	100.83	92.7	69.52	55.1	220.32	189.02
C5orf51	497.0	231.32	134.3	327.56	231.32	293.07	301.33	181.28	392.44	353.59	199.85	264.03	173.85	348.71	241.19	249.73	346.29	356.05	157.68	353.59	463.65	212.78	182.55	318.57	182.55	248.0	325.29	507.46	122.64	191.67	218.79	316.37	371.22	253.23	327.56	236.21	118.43	312.0	208.38	363.56	234.57	232.94	264.03	102.25	307.69	224.97	417.77	181.28	450.94	173.85	291.04	140.04	503.95	395.18	395.18	414.87	279.14	152.28	262.2	297.17	412.0	334.46	460.44	186.4	389.72	301.33	387.02	409.15	295.11	318.57	231.32	191.67	708.18	309.83	172.65	361.04	493.56	356.05	218.79	318.57	236.21	159.9	293.07	521.76	65.26	343.89	152.28	267.73	146.03	228.13	334.46	368.65	136.19	104.42	142.01	136.19	137.14	75.64	63.0	361.04	262.2
CAMSAP2	490.14	218.79	120.1	318.57	127.0	392.44	384.34	199.85	470.14	162.14	127.0	258.57	199.85	460.44	141.02	265.87	287.01	343.89	248.0	172.65	547.75	169.07	161.02	348.71	119.26	368.65	309.83	575.03	73.03	191.67	423.61	262.2	500.46	158.79	316.37	381.68	151.22	260.38	202.66	327.56	221.86	264.03	334.46	72.01	258.57	60.39	583.07	137.14	521.76	305.55	376.41	153.34	629.35	423.61	575.03	447.82	397.93	131.51	346.29	299.25	389.72	607.87	591.22	209.84	400.71	599.49	387.02	373.81	470.14	353.59	575.03	182.55	909.17	297.17	438.59	332.14	463.65	473.41	1167.14	191.67	271.48	420.68	309.83	460.44	117.6	547.75	167.9	366.09	205.5	323.03	476.71	703.28	121.79	47.17	138.1	74.58	39.22	55.1	21.94	255.0	358.54
CCDC6	713.11	656.11	343.89	698.41	819.3	698.41	1044.52	511.0	1199.98	909.17	669.92	595.34	400.71	612.11	620.67	896.64	866.07	813.63	728.11	603.67	1037.29	674.59	540.19	457.25	872.1	728.11	713.11	420.68	511.0	518.15	967.76	718.08	884.29	651.58	819.3	813.63	318.57	872.1	872.1	981.29	866.07	866.07	703.28	373.81	967.76	281.09	1477.58	759.08	1498.22	896.64	954.43	497.0	1268.46	1225.22	974.5	1081.39	941.27	647.07	769.69	928.3	1233.75	1259.69	1519.15	616.37	928.3	1594.73	884.29	796.86	1340.84	764.36	1015.93	547.75	1030.12	796.86	1135.2	941.27	921.88	1073.91	698.41	748.61	884.29	1037.29	967.76	967.76	503.95	1447.15	450.94	1407.55	713.11	693.58	748.61	941.27	339.14	297.17	366.09	279.14	158.79	134.3	96.68	802.41	441.64
CCSER2	525.39	236.21	92.05	438.59	248.0	532.74	642.59	194.36	1104.13	334.46	212.78	275.28	231.32	426.57	289.02	327.56	444.72	447.82	205.5	629.35	684.02	620.67	420.68	525.39	579.04	237.86	447.82	518.15	267.73	708.18	312.0	934.76	432.53	242.88	490.14	587.13	260.38	470.14	273.37	521.76	426.57	514.56	423.61	163.28	713.11	289.02	738.29	269.6	854.13	454.09	624.99	269.6	1111.82	842.36	988.12	848.22	775.05	281.09	674.59	563.18	921.88	733.19	915.51	373.81	961.07	836.53	842.36	921.88	791.35	1104.13	703.28	327.56	1407.55	733.19	1331.57	420.68	780.44	738.29	1175.27	490.14	642.59	624.99	743.43	1001.93	289.02	1583.71	215.77	872.1	403.5	595.34	708.18	1199.98	175.07	86.43	176.29	87.03	107.38	85.22	54.72	366.09	242.88
