	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.ZG.A9LY.01A.11R.A41O.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.FC.7708.01A.11R.2118.07	TCGA.HC.7818.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.A76X.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.KK.A7AP.01A.12R.A33R.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07
ELMO1	198.47	63.45	79.45	164.42	55.89	139.07	32.13	220.32	28.65	158.79	152.28	96.01	87.65	223.41	214.27	214.27	52.82	119.26	126.12	108.9	131.51	105.89	209.84	101.54	165.57	249.73	108.14	148.09	73.03	156.59	242.88	208.38	47.5	123.5	85.22	79.45	65.26	153.34	77.79	351.14	161.02	186.4	70.01	153.34	48.18	85.22	211.31	167.9	133.36	76.17	111.21	231.32	312.0	163.28	26.47	79.45	141.02	180.02	116.78	139.07	145.02	198.47	138.1	137.14	32.13	103.69	98.73	92.05	68.55	107.38	104.42	42.41	281.09	111.99	205.5	91.41	490.14	66.18	56.28	70.51	147.06	53.95	62.56	143.01	111.21	98.04	75.64	209.84	143.01	124.37	80.57	108.14	167.9	182.55	38.67	152.28	106.63	121.79	50.27	83.45	54.33	176.29	123.5	136.19	111.21	299.25	180.02	108.9	269.6	140.04	96.01	267.73
ELTD1	223.41	64.34	75.11	217.27	63.45	197.09	28.04	435.55	30.78	163.28	95.34	97.36	111.21	559.28	223.41	500.46	101.54	77.25	111.21	98.04	293.07	146.03	318.57	105.89	180.02	633.73	108.14	147.06	57.08	248.0	417.77	215.77	58.71	191.67	90.77	143.01	96.68	226.54	85.82	267.73	115.16	124.37	81.71	228.13	82.29	76.17	248.0	147.06	75.11	38.67	89.51	301.33	480.04	209.84	40.93	88.26	314.17	318.57	74.06	186.4	54.33	265.87	194.36	194.36	57.08	84.04	88.88	90.77	72.01	62.56	84.04	80.57	262.2	150.17	211.31	156.59	214.27	66.18	67.12	55.89	175.07	36.79	43.63	226.54	145.02	123.5	159.9	279.14	102.97	50.98	127.0	109.66	303.44	144.01	54.33	239.52	138.1	209.84	31.67	48.87	48.18	231.32	105.89	191.67	112.77	438.59	275.28	185.11	412.0	193.01	82.29	366.09
EMCN	318.57	100.13	88.26	320.8	74.06	251.48	49.91	536.45	46.18	221.86	131.51	156.59	140.04	718.08	275.28	708.18	117.6	115.97	167.9	145.02	297.17	332.14	525.39	153.34	283.05	1119.56	119.26	221.86	87.65	336.79	417.77	271.48	71.0	260.38	175.07	194.36	127.0	332.14	149.12	343.89	178.77	151.22	117.6	260.38	109.66	101.54	253.23	202.66	122.64	93.35	136.19	314.17	476.71	309.83	49.21	110.43	612.11	738.29	109.66	212.78	82.29	457.25	256.78	285.03	54.33	117.6	82.87	105.15	64.8	76.71	128.79	123.5	432.53	180.02	373.81	248.0	412.0	121.79	98.04	87.65	202.66	40.64	29.27	231.32	158.79	214.27	209.84	412.0	92.7	50.27	195.72	137.14	441.64	209.84	37.05	409.15	193.01	279.14	35.25	92.7	55.49	583.07	178.77	457.25	248.0	785.88	559.28	312.0	497.0	466.88	187.71	536.45
ENTPD1	343.89	53.95	82.29	171.45	46.18	244.57	36.01	583.07	70.51	208.38	98.04	88.88	92.05	497.0	264.03	376.41	104.42	143.01	139.07	177.53	289.02	128.79	358.54	161.02	215.77	392.44	140.04	153.34	89.51	341.51	339.14	256.78	67.59	133.36	103.69	143.01	114.36	255.0	104.42	353.59	236.21	116.78	117.6	265.87	73.54	102.97	277.2	169.07	102.25	120.94	78.34	373.81	493.56	226.54	41.81	115.16	198.47	265.87	126.12	234.57	90.14	373.81	127.89	220.32	69.03	102.25	149.12	90.77	101.54	82.87	103.69	80.57	400.71	126.12	420.68	143.01	273.37	85.22	70.01	93.35	217.27	68.55	53.19	223.41	177.53	134.3	108.14	234.57	105.89	50.27	314.17	156.59	291.04	253.23	76.71	223.41	154.42	186.4	56.68	72.01	63.45	346.29	134.3	262.2	208.38	563.18	441.64	204.07	454.09	339.14	134.3	540.19
EPB41L2	540.19	106.63	84.63	277.2	85.82	551.56	45.85	403.5	35.25	521.76	127.89	155.5	191.67	624.99	351.14	379.04	145.02	212.78	166.73	303.44	301.33	217.27	547.75	161.02	353.59	318.57	217.27	395.18	130.6	379.04	392.44	412.0	71.0	119.26	104.42	159.9	137.14	559.28	129.69	511.0	208.38	154.42	127.89	277.2	44.25	151.22	463.65	249.73	163.28	223.41	133.36	334.46	521.76	379.04	73.54	164.42	271.48	336.79	144.01	244.57	81.71	463.65	295.11	273.37	70.01	190.34	166.73	195.72	149.12	130.6	255.0	74.06	638.15	206.94	607.87	133.36	616.37	138.1	122.64	146.03	293.07	69.03	63.89	289.02	212.78	253.23	94.67	277.2	145.02	40.64	126.12	164.42	460.44	327.56	62.56	323.03	141.02	229.72	72.52	134.3	94.67	414.87	217.27	493.56	289.02	764.36	373.81	373.81	819.3	435.55	144.01	656.11
ETS1	551.56	208.38	117.6	323.03	199.85	493.56	43.32	591.22	84.63	470.14	180.02	279.14	277.2	902.89	389.72	693.58	175.07	397.93	237.86	211.31	309.83	234.57	733.19	201.25	316.37	836.53	163.28	323.03	267.73	301.33	514.56	633.73	135.24	269.6	178.77	295.11	137.14	525.39	115.97	486.75	441.64	283.05	195.72	476.71	92.05	99.43	748.61	275.28	167.9	241.19	95.34	441.64	595.34	441.64	177.53	185.11	423.61	607.87	127.89	532.74	111.21	698.41	314.17	412.0	155.5	162.14	125.24	258.57	159.9	181.28	116.78	136.19	470.14	189.02	493.56	303.44	708.18	194.36	101.54	107.38	368.65	229.72	82.29	406.31	201.25	182.55	244.57	476.71	384.34	60.39	297.17	124.37	536.45	463.65	88.26	441.64	191.67	297.17	124.37	167.9	110.43	441.64	162.14	373.81	267.73	854.13	511.0	305.55	624.99	318.57	212.78	620.67
F8	327.56	107.38	100.13	193.01	94.01	239.52	91.41	303.44	162.14	221.86	180.02	100.83	102.97	417.77	150.17	170.25	132.44	150.17	150.17	148.09	193.01	170.25	228.13	191.67	153.34	279.14	111.99	149.12	147.06	201.25	241.19	221.86	92.7	124.37	177.53	142.01	154.42	236.21	175.07	162.14	144.01	125.24	147.06	239.52	114.36	98.04	269.6	155.5	137.14	107.38	66.18	314.17	285.03	162.14	102.25	193.01	161.02	215.77	132.44	212.78	131.51	208.38	171.45	215.77	102.97	265.87	145.02	134.3	119.26	89.51	195.72	141.02	264.03	131.51	283.05	153.34	215.77	525.39	81.71	137.14	143.01	140.04	181.28	149.12	224.97	166.73	201.25	190.34	170.25	79.45	177.53	211.31	223.41	202.66	107.38	231.32	107.38	187.71	91.41	106.63	104.42	180.02	165.57	175.07	124.37	287.01	176.29	244.57	334.46	265.87	169.07	426.57
FAM124B	8.32	1.3	3.89	8.92	0.97	11.91	4.31	29.27	0.33	7.46	5.06	1.1	2.68	18.84	15.68	11.55	0.96	4.62	2.05	4.9	14.89	4.66	16.15	5.45	6.57	16.88	3.69	7.63	5.82	2.58	15.8	15.22	3.63	3.08	4.78	0.67	6.84	8.85	5.59	15.56	12.93	1.04	5.45	5.15	0.32	2.68	8.99	8.78	1.43	1.38	6.11	15.34	17.0	10.0	2.32	3.82	10.88	10.47	2.05	5.19	5.19	6.57	6.84	4.5	3.38	3.86	7.94	3.17	2.46	3.03	1.46	6.41	9.27	4.82	19.68	4.35	15.68	3.76	3.06	3.03	5.59	3.35	4.24	8.92	6.67	6.78	2.36	10.31	3.23	3.29	4.28	4.24	17.38	8.25	1.69	1.77	5.77	6.46	2.12	1.41	2.92	14.35	3.63	15.22	3.44	27.05	11.21	12.45	12.09	14.45	4.06	14.24
FGD5	124.37	15.22	34.75	84.04	17.25	89.51	17.77	190.34	27.25	130.6	41.22	62.12	47.5	183.82	132.44	256.78	39.79	57.08	64.8	94.01	99.43	98.73	131.51	76.71	75.64	164.42	70.01	96.01	57.49	107.38	135.24	108.9	44.89	80.01	65.72	67.59	62.56	107.38	58.71	102.97	94.01	86.43	49.91	105.89	35.76	41.22	108.9	102.97	29.91	43.02	53.95	140.04	251.48	140.04	11.55	61.25	187.71	170.25	64.8	82.87	54.72	185.11	64.8	100.83	36.01	60.82	54.33	57.89	47.84	36.79	42.71	35.5	205.5	71.0	206.94	65.26	164.42	55.89	51.35	43.94	110.43	23.08	18.97	133.36	81.14	104.42	48.18	125.24	39.5	20.71	78.34	57.89	176.29	107.38	26.47	105.89	66.65	70.01	19.97	48.18	27.84	145.02	80.57	105.15	82.29	217.27	109.66	111.21	275.28	145.02	69.03	226.54
FLI1	206.94	45.53	51.71	129.69	36.01	152.28	29.48	256.78	32.59	182.55	60.82	70.01	72.01	248.0	169.07	281.09	84.63	128.79	88.88	80.57	150.17	98.73	220.32	81.71	102.97	187.71	111.21	96.68	79.45	156.59	241.19	208.38	64.34	94.01	61.25	95.34	85.22	204.07	64.8	212.78	117.6	92.7	87.03	181.28	26.1	67.12	178.77	128.79	61.68	100.13	69.52	224.97	329.84	195.72	31.0	73.54	149.12	212.78	68.07	127.89	50.98	215.77	158.79	162.14	41.22	83.45	77.79	78.34	73.54	88.26	64.8	67.12	384.34	101.54	175.07	92.05	236.21	57.08	50.63	61.68	164.42	29.48	30.56	153.34	79.45	90.14	61.68	195.72	77.25	28.65	133.36	64.34	167.9	185.11	38.12	135.24	98.73	126.12	31.67	52.82	44.25	199.85	83.45	140.04	64.8	356.05	204.07	133.36	217.27	183.82	65.26	289.02
FMNL3	133.36	37.32	35.25	89.51	39.22	171.45	16.39	190.34	13.93	165.57	35.25	67.59	73.03	197.09	202.66	231.32	50.98	102.97	95.34	87.03	129.69	94.67	162.14	82.87	121.79	185.11	87.65	109.66	71.5	103.69	154.42	163.28	50.63	75.64	67.12	56.68	48.87	137.14	35.25	149.12	111.21	99.43	77.25	131.51	32.59	74.06	144.01	78.89	75.64	104.42	55.1	127.0	177.53	185.11	32.59	100.13	146.03	149.12	55.89	127.0	48.87	205.5	82.87	119.26	38.95	42.71	67.59	92.05	75.64	92.05	57.49	28.04	269.6	81.14	181.28	66.65	180.02	64.8	51.71	43.94	148.09	48.87	26.28	158.79	91.41	71.5	65.72	152.28	76.17	25.72	137.14	67.59	170.25	127.89	47.5	150.17	104.42	97.36	39.79	58.3	54.33	121.79	77.79	110.43	72.01	218.79	116.78	88.88	165.57	106.63	62.56	191.67
FRY	269.6	56.28	45.21	125.24	44.25	327.56	18.97	392.44	50.63	289.02	99.43	132.44	68.07	267.73	285.03	307.69	217.27	140.04	77.25	214.27	226.54	131.51	258.57	182.55	253.23	301.33	88.26	209.84	52.08	320.8	242.88	147.06	89.51	82.87	77.79	142.01	82.29	182.55	84.63	285.03	211.31	166.73	85.22	127.0	43.32	82.29	195.72	107.38	78.89	191.67	111.99	232.94	223.41	248.0	27.84	128.79	221.86	218.79	182.55	182.55	75.11	297.17	166.73	95.34	202.66	307.69	102.97	136.19	159.9	120.1	128.79	53.95	175.07	133.36	346.29	95.34	521.76	66.18	61.25	88.26	173.85	256.78	109.66	197.09	107.38	156.59	155.5	185.11	87.03	133.36	89.51	133.36	273.37	325.29	84.63	185.11	90.14	149.12	50.63	72.01	63.45	260.38	113.56	265.87	320.8	525.39	217.27	417.77	409.15	483.38	189.02	336.79
GIMAP6	176.29	69.52	65.26	135.24	43.32	127.0	20.41	366.09	28.45	178.77	60.39	47.5	84.04	312.0	166.73	417.77	58.3	134.3	61.68	71.5	176.29	75.11	271.48	110.43	105.15	299.25	111.21	86.43	57.49	127.0	237.86	214.27	78.34	82.29	96.01	56.68	70.01	152.28	45.53	178.77	166.73	98.73	108.9	134.3	43.02	59.97	153.34	120.1	47.5	92.05	78.34	241.19	271.48	224.97	21.47	62.56	221.86	255.0	73.03	82.29	42.71	223.41	137.14	164.42	41.81	90.14	76.17	72.01	72.01	88.88	36.53	46.18	236.21	122.64	224.97	117.6	287.01	77.25	48.18	46.5	158.79	31.0	27.05	258.57	77.79	108.9	58.71	206.94	56.28	27.25	143.01	55.1	267.73	185.11	27.64	111.21	85.22	155.5	50.63	42.41	42.11	353.59	92.05	273.37	96.68	392.44	258.57	185.11	224.97	175.07	91.41	256.78
GIMAP8	107.38	23.76	38.95	70.01	30.12	83.45	14.35	155.5	15.45	103.69	45.85	23.93	40.07	185.11	88.26	232.94	46.18	54.72	36.53	45.85	98.04	57.08	140.04	64.34	81.14	220.32	42.71	61.68	38.67	70.01	170.25	105.89	35.25	33.54	39.5	31.0	45.21	97.36	42.71	90.14	90.77	38.4	49.91	81.14	31.0	41.22	80.01	74.06	35.25	49.21	46.18	140.04	157.68	80.01	16.75	37.85	105.89	153.34	31.45	56.28	22.75	81.14	62.12	88.26	20.56	35.0	42.41	35.0	42.41	47.5	27.64	33.78	138.1	67.59	108.9	59.97	149.12	43.94	28.04	34.26	77.79	14.56	17.64	104.42	49.21	57.89	52.08	107.38	29.7	18.7	54.72	38.12	166.73	100.83	14.67	64.8	50.27	55.49	16.03	23.59	31.9	121.79	42.41	89.51	61.68	183.82	81.14	89.51	146.03	106.63	37.32	146.03
GLIPR1	277.2	97.36	40.93	329.84	126.12	327.56	35.25	241.19	17.13	371.22	134.3	135.24	206.94	371.22	220.32	273.37	86.43	166.73	147.06	195.72	224.97	163.28	281.09	78.89	248.0	68.55	68.07	154.42	141.02	234.57	334.46	329.84	38.12	81.14	163.28	131.51	57.08	420.68	35.5	176.29	163.28	102.25	87.03	187.71	16.15	176.29	409.15	244.57	215.77	198.47	102.25	202.66	143.01	224.97	23.76	151.22	120.94	559.28	74.06	314.17	61.68	289.02	191.67	169.07	20.11	36.53	53.95	90.14	157.68	102.97	130.6	56.68	414.87	100.83	291.04	75.11	381.68	67.59	93.35	61.68	229.72	42.41	48.52	112.77	100.83	78.89	54.72	115.16	110.43	36.79	61.68	102.97	214.27	309.83	58.3	185.11	72.52	154.42	37.59	113.56	49.21	688.78	111.99	307.69	195.72	532.74	493.56	177.53	371.22	189.02	98.73	341.51
HECW2	18.84	10.79	2.92	10.16	7.63	14.89	6.84	47.84	1.91	18.16	16.27	8.92	9.63	96.01	11.82	59.97	3.47	8.13	11.47	12.36	10.24	11.64	31.45	10.0	12.93	98.04	10.24	15.11	10.79	8.78	9.13	13.93	29.27	11.38	7.11	12.09	5.41	12.45	13.42	26.28	10.24	6.89	5.41	8.0	8.0	2.36	22.59	24.46	7.82	7.82	3.41	22.1	22.92	15.56	2.97	17.0	52.08	35.76	7.4	8.58	5.19	48.52	8.13	28.45	6.31	6.26	3.79	3.89	6.26	2.03	1.48	3.69	15.68	9.48	24.81	22.26	31.9	11.13	3.76	10.0	6.94	3.69	1.33	22.1	9.7	6.06	17.9	34.02	6.01	2.41	18.84	2.84	19.97	18.29	6.67	19.68	13.32	8.38	3.03	3.17	5.45	17.64	6.89	24.99	13.22	32.59	11.04	12.64	36.27	19.39	6.73	22.75
KCNN3	50.63	4.46	4.86	16.75	5.5	24.28	1.28	66.65	2.07	39.22	11.47	11.55	10.71	36.53	11.55	35.25	3.08	10.96	9.78	16.27	13.72	19.97	39.22	10.79	12.45	81.71	6.31	21.01	9.48	18.43	27.84	31.0	6.31	15.91	11.64	10.96	8.71	20.56	11.13	16.39	20.11	8.13	10.47	11.73	8.92	7.51	29.48	18.56	6.84	11.3	5.45	17.77	49.21	18.56	4.58	8.85	23.08	17.0	7.28	14.35	8.51	38.12	11.64	17.64	5.59	3.41	7.34	6.41	4.13	8.92	12.74	4.7	22.75	9.13	38.95	15.91	75.64	10.47	3.66	8.25	18.16	1.85	2.48	21.63	9.34	16.88	9.63	32.59	8.38	1.66	22.59	14.67	32.13	29.91	3.63	22.1	7.57	11.55	3.59	8.58	9.34	17.64	11.55	27.05	12.36	44.89	21.63	18.29	43.94	26.47	12.93	46.18
KDR	303.44	49.21	40.93	171.45	63.45	195.72	22.92	483.38	29.48	205.5	117.6	103.69	120.1	536.45	241.19	769.69	59.55	116.78	148.09	134.3	251.48	258.57	334.46	234.57	120.1	921.88	88.26	171.45	99.43	185.11	171.45	134.3	70.51	125.24	136.19	120.1	82.87	189.02	120.1	327.56	120.1	120.1	115.97	122.64	78.34	40.07	204.07	127.89	68.55	81.14	59.13	397.93	414.87	264.03	37.05	74.58	583.07	633.73	85.82	107.38	53.19	473.41	104.42	318.57	53.95	89.51	93.35	77.25	66.18	40.64	87.03	39.5	389.72	118.43	409.15	236.21	555.41	85.22	75.64	91.41	98.04	31.45	25.72	279.14	120.94	133.36	130.6	251.48	42.11	32.82	253.23	149.12	293.07	236.21	31.45	217.27	120.1	162.14	38.95	52.08	42.41	271.48	124.37	237.86	173.85	435.55	152.28	314.17	473.41	473.41	127.0	395.18
KIRREL	228.13	52.08	21.16	130.6	38.4	215.77	12.09	232.94	11.55	234.57	76.71	81.71	77.25	189.02	180.02	224.97	44.89	111.21	108.9	170.25	161.02	109.66	173.85	98.04	127.89	107.38	57.49	191.67	46.5	173.85	166.73	140.04	40.93	39.79	60.39	82.87	53.57	193.01	56.28	126.12	136.19	76.71	61.25	128.79	11.38	49.21	241.19	153.34	88.88	91.41	40.07	214.27	253.23	182.55	12.74	75.64	132.44	126.12	88.26	96.01	41.81	237.86	65.72	149.12	18.7	31.67	71.0	112.77	70.51	41.52	91.41	21.01	204.07	69.52	309.83	53.95	305.55	67.59	34.75	69.03	141.02	40.07	22.75	131.51	100.13	119.26	49.91	111.21	55.1	14.89	57.49	76.71	226.54	248.0	35.5	153.34	63.0	95.34	30.12	49.21	44.89	176.29	88.26	198.47	170.25	309.83	124.37	197.09	307.69	201.25	69.52	301.33
KLK3	772940.66	881742.8	1345768.59	1005860.33	682276.92	573724.06	450134.56	305326.92	1116072.03	593956.43	1212874.47	800198.39	845824.19	459592.86	535303.41	636586.81	731246.37	887875.81	1163466.92	1116072.03	751804.53	834179.46	440870.9	925580.18	751804.53	985160.01	881742.8	875652.15	1063212.58	731246.37	800198.39	499455.67	906531.99	1255646.43	1187913.85	1093103.58	1139523.1	619179.28	919186.72	569761.05	805764.22	1100706.72	881742.8	1327240.99	887875.81	1147449.11	450134.56	561916.97	772940.66	925580.18	1412675.8	550352.86	726195.27	672883.8	906531.99	919186.72	1238359.56	1327240.99	731246.37	1196176.45	619179.28	851707.37	800198.39	985160.01	746611.43	736332.6	869603.57	845824.19	696613.03	919186.72	762299.34	789181.81	502929.67	627822.72	627822.72	1063212.58	378516.38	736332.6	1212874.47	1238359.56	554180.87	696613.03	985160.01	721179.07	1048575.0	736332.6	1345768.59	938500.81	828417.36	767601.56	1472666.19	1229805.58	731246.37	517068.97	496005.67	649962.87	1019901.63	828417.36	696613.03	938500.81	800198.39	805764.22	894051.48	654483.73	1019901.63	318292.9	581732.96	794671.01	546551.29	985160.01	1063212.58	573724.06
LDB2	395.18	92.7	114.36	248.0	61.68	267.73	46.5	460.44	52.08	256.78	172.65	162.14	128.79	486.75	244.57	493.56	162.14	115.16	226.54	185.11	277.2	260.38	305.55	220.32	271.48	587.13	123.5	197.09	96.01	414.87	441.64	269.6	63.89	260.38	125.24	215.77	143.01	356.05	127.89	441.64	142.01	140.04	156.59	295.11	50.98	126.12	351.14	226.54	107.38	82.87	105.89	363.56	642.59	217.27	48.87	130.6	343.89	500.46	111.21	301.33	90.77	277.2	229.72	305.55	87.65	108.9	108.9	108.9	98.73	75.64	127.0	99.43	599.49	166.73	412.0	153.34	301.33	125.24	100.83	96.01	199.85	57.89	59.55	224.97	220.32	226.54	147.06	371.22	106.63	33.78	169.07	185.11	497.0	234.57	43.02	303.44	132.44	258.57	41.22	96.01	69.52	371.22	145.02	314.17	229.72	629.35	466.88	239.52	579.04	289.02	135.24	532.74
LEPR	258.57	40.36	14.89	98.73	25.72	215.77	21.32	209.84	21.01	205.5	76.17	71.0	57.49	269.6	91.41	194.36	47.84	42.41	87.03	68.55	237.86	60.39	246.28	59.13	118.43	125.24	53.57	113.56	37.05	127.89	155.5	154.42	18.97	66.18	51.35	71.5	60.82	165.57	65.26	195.72	108.9	55.89	63.89	180.02	5.59	37.05	218.79	102.25	42.41	63.45	21.47	323.03	153.34	151.22	12.45	51.35	59.13	107.38	60.82	98.04	31.67	228.13	83.45	132.44	26.86	52.45	48.18	79.45	39.79	34.26	75.11	45.85	128.79	52.45	204.07	31.22	264.03	79.45	18.56	47.84	107.38	23.59	26.47	82.29	90.77	154.42	44.25	113.56	57.08	8.13	80.57	36.01	242.88	134.3	30.56	116.78	52.08	98.73	26.86	34.02	37.59	155.5	71.0	191.67	100.83	371.22	150.17	191.67	291.04	165.57	76.17	343.89
LRRC8C	65.26	16.63	13.62	31.45	18.16	68.07	10.39	92.05	6.67	56.68	24.11	33.78	23.76	139.07	45.53	86.43	22.26	28.24	42.71	26.47	53.95	30.34	85.22	30.34	31.9	96.01	30.34	33.78	17.64	33.78	49.91	63.0	17.64	26.28	21.01	29.91	16.63	48.18	18.29	69.52	44.57	36.01	28.04	46.84	14.56	19.25	54.33	29.48	25.54	24.99	13.22	63.0	72.01	73.03	13.83	28.24	57.89	78.34	20.56	37.85	13.12	80.57	42.41	41.22	11.91	22.43	19.11	22.26	17.38	26.1	16.63	14.14	61.68	25.35	63.0	24.46	84.04	19.53	11.55	13.12	46.5	13.32	9.48	53.95	26.28	18.16	26.1	50.63	26.86	14.03	33.06	15.8	58.3	52.45	15.11	56.28	32.36	36.27	13.32	14.67	12.09	59.13	31.0	44.89	22.59	106.63	61.68	42.71	77.25	43.02	21.01	82.87
MAP1B	536.45	127.89	39.5	208.38	65.72	493.56	9.56	624.99	13.03	291.04	151.22	113.56	289.02	483.38	334.46	314.17	71.5	148.09	128.79	209.84	231.32	169.07	301.33	226.54	132.44	211.31	37.05	802.41	74.58	281.09	182.55	320.8	110.43	58.71	119.26	128.79	65.26	223.41	93.35	273.37	295.11	144.01	100.13	412.0	16.51	95.34	395.18	397.93	191.67	80.01	100.13	312.0	412.0	248.0	17.13	181.28	236.21	111.99	164.42	218.79	87.65	429.54	199.85	246.28	226.54	97.36	108.9	113.56	152.28	66.18	209.84	53.95	307.69	84.63	825.0	80.01	441.64	183.82	37.59	144.01	307.69	34.02	49.56	255.0	248.0	271.48	327.56	172.65	115.16	100.83	127.89	181.28	242.88	409.15	112.77	221.86	48.87	84.04	39.79	63.0	76.71	271.48	137.14	320.8	334.46	656.11	204.07	483.38	1088.92	343.89	208.38	743.43
