	GTEX.ZP4G.1726.SM.4WWCM	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.14E6E.1526.SM.5RQIG	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.13QBU.1826.SM.5IJG3	GTEX.XPVG.1826.SM.4B64X	GTEX.11ONC.1926.SM.5GU75	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZYFC.2226.SM.5NQ96	GTEX.117YW.2026.SM.5N9BH	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.BR.A44T.01A.32R.A24K.31	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.11ZTS.1126.SM.5LU9X	GTEX.111VG.0526.SM.5N9BW	GTEX.1313W.2826.SM.5P9G1
ATP5F1	14765.09	20170.07	13968.57	12589.08	7911.95	6207.38	10512.82	12589.08	12764.83	11035.54	11909.94	6840.04	12502.12	16960.78	9740.98	13033.07	14561.8	5872.48	13586.57	11504.21	2720.15	3690.52	3168.41	17558.94	6561.36	6935.54	6381.92	10154.69	6426.31	3443.31	5183.54	4639.29	4328.55	5479.15	6164.49	4328.55	10883.59	3639.7	4903.87	5183.54	3515.68	3874.05	4419.52
ATP5G1	16269.83	12943.04	12589.08	9740.98	7537.18	5041.77	8718.32	8718.32	11745.96	8538.88	11035.54	4972.34	13776.25	17927.91	7130.55	12160.22	14361.31	6121.9	11504.21	9673.69	2555.58	4152.18	2997.45	13492.72	4769.75	7180.15	5791.62	6792.79	5183.54	5076.84	3212.66	5954.47	6037.61	4575.41	6516.03	3768.09	9606.86	3395.89	4328.55	5006.93	4704.07	4575.41	3564.78
ATP5G3	20881.4	23009.42	20593.91	20451.65	12244.81	7433.4	16496.96	15499.21	18819.27	14867.79	16727.26	8778.97	16611.71	23656.34	12676.65	17681.08	22072.07	8840.04	18560.17	15824.9	3742.05	4903.87	3690.52	26248.46	10225.32	10225.32	11584.24	14561.8	6745.86	4038.61	4972.34	4239.45	4903.87	5076.84	6381.92	5366.37	12943.04	3690.52	3280.18	4736.79	3901.01	3564.78	2664.15
ATP6V0D1	5076.84	5517.27	5183.54	10368.08	2645.74	3146.52	4937.99	5041.77	4769.75	4181.07	4239.45	3325.99	3928.15	5872.48	4972.34	4639.29	5672.41	2720.15	5403.7	4704.07	2701.35	1819.35	1151.06	2209.26	3515.68	3325.99	3491.39	2855.44	1487.87	2303.12	1936.53	2193.99	2163.77	1477.58	2367.9	1870.53	2835.7	1628.26	1242.34	3168.41	1769.57	2090.03	860.08
AXDND1	297.17	624.99	718.08	884.29	50.98	37.59	665.29	429.54	718.08	181.28	532.74	129.69	295.11	890.44	536.45	269.6	884.29	78.34	902.89	87.03	1.85	2.86	4.54	0.0	27.44	3.41	1.48	39.22	140.04	0.0	13.72	4.66	2.25	166.73	25.72	5.92	16.63	1.04	2.14	13.22	43.32	12.18	5.77
B3GNT8	1066.48	1806.78	1487.87	2739.08	320.8	703.28	967.76	1167.14	1167.14	1233.75	738.29	555.41	521.76	1427.22	1313.23	1359.57	1096.5	392.44	1540.37	890.44	80.57	144.01	88.88	406.31	647.07	150.17	571.05	62.12	127.89	35.76	9.78	28.24	101.54	77.79	218.79	454.09	155.5	703.28	128.79	26.86	42.11	82.29	224.97
B4GALNT2	1583.71	3235.01	1870.53	3395.89	60.82	178.77	1685.71	1639.59	3395.89	2209.26	3589.58	753.83	1662.49	3280.18	1407.55	3303.0	3639.7	78.34	2537.92	1794.29	0.0	0.0	0.0	277.2	112.77	215.77	45.21	86.43	24.99	2.78	0.0	0.0	0.3	1.35	17.25	20.26	118.43	0.88	0.0	46.84	66.18	1.2	0.0
BAK1	1313.23	2224.63	1870.53	2367.9	718.08	591.22	1896.65	1331.57	1437.15	1447.15	1697.45	1378.57	1250.98	1617.0	1721.16	1583.71	2119.22	599.49	1721.16	1350.18	320.8	343.89	220.32	297.17	376.41	327.56	351.14	285.03	656.11	420.68	109.66	291.04	287.01	309.83	490.14	583.07	624.99	267.73	229.72	171.45	223.41	318.57	156.59
BEST4	1199.98	2384.37	2502.97	5255.91	246.28	66.65	2075.59	1832.01	3303.0	2032.85	1427.22	1781.89	947.83	4450.27	1350.18	2004.85	4181.07	447.82	3212.66	2224.63	7.94	13.03	13.62	1.39	3.44	4.35	2.92	0.0	0.0	0.0	1.43	6.36	4.46	8.19	10.16	6.78	7.34	5.32	11.73	10.63	31.45	12.83	22.1
C2CD2L	392.44	540.19	507.46	1322.37	397.93	336.79	624.99	579.04	447.82	395.18	409.15	503.95	307.69	507.46	703.28	587.13	490.14	395.18	679.29	406.31	273.37	293.07	314.17	114.36	139.07	152.28	218.79	202.66	193.01	329.84	412.0	332.14	175.07	208.38	343.89	540.19	279.14	336.79	185.11	198.47	285.03	309.83	239.52
C2orf82	518.15	493.56	748.61	647.07	140.04	111.21	607.87	341.51	796.86	591.22	733.19	341.51	356.05	1030.12	486.75	688.78	909.17	220.32	791.35	1151.06	38.95	28.86	50.27	10.55	18.97	16.88	24.63	8.92	20.11	73.03	46.84	72.52	66.65	50.63	32.59	82.87	7.51	24.46	34.51	11.91	25.35	41.81	34.75
C6orf136	1806.78	2018.8	2485.67	2319.15	896.64	723.08	2255.7	1709.26	2075.59	1757.34	2224.63	1628.26	1322.37	2224.63	1870.53	2502.97	2400.97	961.07	2209.26	2047.0	860.08	860.08	571.05	1561.89	866.07	825.0	1059.11	860.08	409.15	387.02	583.07	503.95	409.15	497.0	483.38	363.56	599.49	603.67	497.0	567.1	825.0	587.13	447.82
C6orf222	162.14	435.55	164.42	314.17	14.24	24.46	217.27	239.52	237.86	158.79	105.89	137.14	121.79	400.71	361.04	195.72	197.09	54.33	339.14	193.01	0.0	0.0	0.0	3.99	3.35	14.45	2.84	6.52	0.41	0.0	0.39	1.19	4.43	25.54	15.68	40.07	8.99	1.45	0.96	0.57	0.0	0.0	0.0
C9orf40	177.53	281.09	178.77	273.37	177.53	162.14	193.01	251.48	166.73	148.09	117.6	137.14	183.82	211.31	167.9	201.25	131.51	165.57	202.66	180.02	105.89	143.01	108.9	29.91	69.52	101.54	82.29	111.99	112.77	88.26	71.5	84.04	51.35	111.21	111.21	133.36	77.25	211.31	47.17	59.55	92.7	76.17	76.71
CA2	40621.74	124000.67	40621.74	61146.25	1923.14	2875.3	20030.74	46019.85	28723.62	19618.49	28923.41	16496.96	26067.14	38164.99	21768.19	36610.26	42641.37	3303.0	38697.77	21468.49	218.79	493.56	147.06	24660.96	14461.21	26431.04	11345.82	15180.22	4010.71	93.35	23.08	33.06	26.47	525.39	3794.3	1151.06	5594.3	397.93	361.04	142.01	301.33	76.17	13.12
CA7	2997.45	5831.91	6516.03	8191.0	480.04	68.07	4239.45	4239.45	5292.48	3742.05	2816.11	2701.35	3303.0	7857.29	2537.92	4328.55	6079.61	1286.18	5479.15	4512.4	0.0	2.43	0.0	0.44	1.66	8.85	3.29	1.62	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.0	15.68	17.51	1.23	0.0	1.89	0.0
CAPN15	1417.35	1487.87	1628.26	1936.53	819.3	718.08	1561.89	1304.15	1286.18	1268.46	1540.37	1639.59	1001.93	1844.76	1857.6	1628.26	1896.65	981.29	1540.37	1427.22	808.0	624.99	693.58	435.55	1001.93	540.19	813.63	255.0	616.37	303.44	583.07	438.59	503.95	995.0	723.08	1277.29	775.05	693.58	332.14	463.65	450.94	444.72	301.33
CAPN9	860.08	785.88	1051.79	1806.78	116.78	44.57	819.3	547.75	872.1	854.13	1066.48	651.58	460.44	2018.8	1340.84	1477.58	1551.09	190.34	1350.18	1104.13	27.05	28.45	13.03	0.0	0.0	8.45	3.79	8.65	1.38	138.1	2.18	420.68	26.86	0.65	119.26	77.25	133.36	13.03	9.63	4.54	33.3	5.63	23.42
CASP16	53.95	69.52	85.82	164.42	16.03	5.15	137.14	51.35	77.25	26.1	76.71	73.03	8.32	112.77	88.26	63.45	96.01	9.13	48.52	64.8	5.63	1.79	1.27	2.27	16.39	114.36	10.47	5.45	0.0	0.59	7.0	11.13	7.69	5.92	7.22	0.0	2.01	36.01	5.68	10.55	5.92	5.82	4.7
CASP6	1709.26	2367.9	1950.0	1977.24	890.44	575.03	1857.6	1685.71	1781.89	1167.14	1594.73	1030.12	1519.15	2537.92	1457.23	2047.0	1819.35	1023.0	2018.8	1617.0	432.53	172.65	185.11	540.19	348.71	387.02	332.14	329.84	264.03	316.37	409.15	249.73	353.59	395.18	497.0	559.28	543.96	334.46	651.58	361.04	116.78	323.03	579.04
CCL24	514.56	988.12	426.57	269.6	0.0	1199.98	547.75	638.15	525.39	283.05	309.83	234.57	237.86	507.46	275.28	507.46	884.29	75.11	860.08	387.02	0.0	3.72	8.92	1.35	0.0	0.0	18.97	0.0	0.0	17.64	2.12	14.56	12.0	2.01	438.59	0.0	16.27	32.36	19.97	7.11	6.06	0.0	5.54
CCNJL	429.54	928.3	603.67	708.18	104.42	186.4	373.81	466.88	457.25	265.87	470.14	287.01	329.84	954.43	503.95	603.67	599.49	117.6	688.78	429.54	232.94	103.69	42.41	476.71	381.68	575.03	674.59	80.57	31.22	10.39	1.28	7.94	31.9	37.05	91.41	56.28	189.02	48.52	85.22	139.07	82.87	183.82	81.71
CDHR5	11745.96	19082.0	14163.58	24490.61	2133.97	264.03	18052.61	16960.78	16157.44	12676.65	10808.41	11504.21	5255.91	19082.0	16611.71	19348.38	17437.64	3515.68	17437.64	16045.82	43.02	0.0	0.14	0.0	1.36	0.55	4.98	2796.65	41.22	1.2	1.57	0.69	0.68	88.26	373.81	232.94	239.52	52.45	0.0	3.17	2.46	3.99	0.0
CDKN2B	1844.76	3325.99	2537.92	5112.16	146.03	397.93	2319.15	3212.66	2976.74	1498.22	1073.91	1037.29	633.73	2240.11	2664.15	1844.76	1923.14	339.14	3395.89	2004.85	46.5	98.73	155.5	28.65	24.11	116.78	36.01	12.74	30.34	83.45	38.95	149.12	138.1	43.32	120.94	221.86	253.23	129.69	249.73	25.91	193.01	25.17	9.7
CEP170B	909.17	1313.23	1127.35	1191.69	518.15	297.17	1183.45	941.27	1051.79	1088.92	1322.37	1304.15	698.41	1059.11	1216.75	1304.15	1331.57	633.73	1225.22	1073.91	336.79	348.71	412.0	351.14	607.87	327.56	447.82	123.5	395.18	660.68	476.71	406.31	368.65	395.18	432.53	660.68	305.55	156.59	429.54	325.29	543.96	246.28	81.14
CES2	11035.54	14262.1	12415.75	18560.17	1709.26	1617.0	11504.21	10154.69	11909.94	9740.98	7803.01	3540.14	5112.16	15715.58	9673.69	10883.59	14663.09	2555.58	15715.58	8538.88	660.68	460.44	500.46	679.29	1733.13	981.29	1651.0	1561.89	450.94	460.44	559.28	470.14	669.92	511.0	1051.79	890.44	381.68	1295.13	392.44	860.08	1151.06	1183.45	753.83
CKMT1B	7485.11	8598.28	6652.97	8963.45	780.44	713.11	6079.61	6516.03	7032.37	5329.3	7032.37	3235.01	5441.3	8901.53	5219.6	8247.98	8901.53	2047.0	7081.29	5329.3	12.09	20.56	12.0	3168.41	2133.97	2417.67	2609.3	28.45	18.97	269.6	17.64	52.08	152.28	796.86	642.59	497.0	607.87	91.41	90.14	194.36	239.52	155.5	7.69
CLDN23	1111.82	3928.15	1225.22	3564.78	77.25	356.05	748.61	1794.29	1733.13	928.3	599.49	366.09	384.34	1427.22	1359.57	1295.13	1081.39	105.89	1896.65	1167.14	20.41	35.0	5.32	249.73	279.14	99.43	102.25	28.86	28.65	14.14	13.42	15.34	45.21	80.01	329.84	551.56	281.09	35.25	8.85	181.28	37.59	86.43	25.17
CLDN7	27174.14	37639.55	35856.82	62431.08	4481.23	1963.57	34396.12	31870.96	38430.46	30572.63	32315.87	18819.27	19348.38	40341.14	33224.42	44145.15	41188.81	10959.3	42054.3	30151.71	112.77	136.19	101.54	7537.18	2240.11	2875.3	2976.74	583.07	1572.76	1857.6	2163.77	1369.04	1781.89	961.07	921.88	5255.91	260.38	525.39	3280.18	1769.57	2351.53	1870.53	204.07
CLRN3	4419.52	7331.05	4575.41	10014.87	384.34	351.14	4704.07	6607.01	4903.87	4010.71	3515.68	1844.76	2591.27	5751.61	4769.75	4802.93	5006.93	954.43	5711.87	3820.7	0.0	0.0	0.0	0.51	0.0	1.99	0.53	947.83	4.06	5.82	0.0	0.0	26.1	159.9	361.04	42.11	23.76	10.55	5.28	0.0	0.0	2.97	5.15
CLYBL	703.28	713.11	1119.56	703.28	490.14	417.77	1030.12	728.11	896.64	723.08	796.86	460.44	559.28	1322.37	400.71	1519.15	1286.18	397.93	1059.11	974.5	420.68	299.25	195.72	2018.8	947.83	836.53	825.0	1819.35	339.14	212.78	244.57	587.13	154.42	165.57	363.56	277.2	429.54	193.01	232.94	312.0	289.02	309.83	363.56
CMAS	2417.67	3768.09	2682.69	3349.13	941.27	1167.14	2193.99	2104.58	2573.36	1508.65	1963.57	1286.18	1685.71	2956.17	1883.54	2335.28	2739.08	988.12	2645.74	2032.85	591.22	638.15	703.28	555.41	759.08	1143.1	684.02	616.37	423.61	902.89	1322.37	575.03	928.3	466.88	802.41	616.37	656.11	723.08	633.73	559.28	483.38	529.06	583.07
CNNM2	258.57	348.71	336.79	616.37	144.01	226.54	307.69	406.31	334.46	232.94	180.02	223.41	169.07	403.5	316.37	267.73	287.01	153.34	358.54	269.6	95.34	127.0	99.43	185.11	100.13	147.06	114.36	314.17	77.79	74.58	74.58	92.7	108.14	96.01	90.14	114.36	164.42	119.26	70.51	159.9	246.28	123.5	171.45
COX5B	15499.21	14971.21	15715.58	17927.91	10368.08	7032.37	10585.95	13215.02	13123.73	11504.21	14361.31	7589.61	12076.21	18304.63	10512.82	13872.08	15285.81	8191.0	15607.02	13399.51	4903.87	9808.75	6561.36	16960.78	9215.48	12415.75	10368.08	12160.22	7485.11	5219.6	6745.86	7180.15	5872.48	6471.02	10883.59	5995.9	20170.07	6792.79	3982.99	6337.83	4239.45	5479.15	4152.18
COX6B2	214.27	309.83	400.71	363.56	96.68	16.51	775.05	256.78	476.71	329.84	1369.04	796.86	169.07	785.88	141.02	728.11	915.51	232.94	285.03	432.53	2.43	1.62	1.2	1.87	2.18	0.0	0.52	0.95	0.0	5.41	0.88	4.21	10.55	56.68	4.98	6.31	0.0	12.74	2.16	0.47	1.2	0.88	6.46
CYC1	9025.81	7280.4	9088.59	8191.0	5872.48	2976.74	6840.04	6426.31	8598.28	7966.99	8598.28	5366.37	7382.04	10808.41	6516.03	7803.01	10440.2	4181.07	8901.53	7695.57	2163.77	3982.99	2451.44	10883.59	10368.08	8658.09	5076.84	3901.01	3515.68	3820.7	3235.01	2224.63	4328.55	2400.97	3665.02	3103.19	7749.1	2240.11	1191.69	2502.97	2319.15	1896.65	1832.01
DGAT1	4639.29	5183.54	5517.27	8901.53	3039.3	1991.0	6079.61	5041.77	4903.87	4704.07	5791.62	5594.3	3515.68	6164.49	5831.91	5183.54	6792.79	3124.78	6207.38	5517.27	2075.59	1819.35	1286.18	1295.13	1477.58	1259.69	890.44	1159.07	1143.1	2193.99	1594.73	759.08	1096.5	1119.56	2255.7	3820.7	1819.35	4903.87	1143.1	1081.39	1617.0	1250.98	1191.69
DGKQ	599.49	928.3	921.88	947.83	379.04	236.21	1088.92	738.29	842.36	813.63	1199.98	981.29	567.1	1023.0	981.29	954.43	1135.2	463.65	1001.93	860.08	226.54	186.4	205.5	139.07	115.97	44.89	72.01	53.57	82.29	173.85	185.11	454.09	169.07	172.65	256.78	273.37	100.83	136.19	98.04	191.67	212.78	177.53	118.43
DHRS11	5872.48	9606.86	6887.62	11035.54	1519.15	988.12	7081.29	6652.97	6652.97	5041.77	5479.15	4358.66	3614.55	7749.1	6516.03	6561.36	7485.11	1857.6	7695.57	5292.48	320.8	285.03	220.32	547.75	251.48	267.73	206.94	693.58	497.0	283.05	426.57	237.86	346.29	234.57	780.44	785.88	733.19	486.75	607.87	417.77	518.15	316.37	246.28
DHRS9	3982.99	19082.0	7642.41	20451.65	251.48	480.04	5555.65	8191.0	6561.36	4736.79	2434.5	3372.43	1295.13	6037.61	6652.97	6699.25	5995.9	497.0	6652.97	4095.0	17.13	65.26	9.85	3.17	1.28	10.88	18.03	2.12	5.32	16.51	7.06	94.01	30.34	69.52	53.57	40.64	63.45	38.67	53.57	7.4	6.62	157.68	71.0
DNM2	5255.91	5479.15	8305.36	8598.28	2701.35	2335.28	8901.53	5633.22	8421.31	6652.97	6250.56	5555.65	3982.99	8134.41	7695.57	9025.81	9409.14	3690.52	8247.98	7803.01	1674.06	1794.29	1923.14	1977.24	2739.08	1896.65	2061.24	1923.14	2255.7	1208.34	2163.77	1594.73	1617.0	2739.08	2319.15	2119.22	2319.15	1359.57	1233.75	1662.49	1832.01	1819.35	961.07
EPCAM	45701.96	77396.54	57448.23	99333.0	2895.31	3639.7	53973.86	72715.74	70727.3	44761.41	37901.36	11827.67	30999.42	64632.75	42054.3	68318.04	55877.28	7695.57	73730.83	45701.96	13.22	18.97	18.29	6121.9	5041.77	4210.15	3081.75	4010.71	1936.53	3257.52	5112.16	1733.13	2956.17	2004.85	1721.16	2209.26	2271.4	234.57	4869.99	7331.05	3168.41	4210.15	164.42
EPHA10	620.67	688.78	1183.45	1135.2	172.65	87.65	1457.23	748.61	1081.39	854.13	1073.91	808.0	457.25	1191.69	921.88	1259.69	1277.29	334.46	1167.14	1135.2	70.51	2.56	6.11	1.81	15.0	3.32	0.97	4.03	1.73	61.25	124.37	86.43	39.22	13.52	62.12	18.43	24.46	53.95	59.55	3.11	5.5	41.22	2.07
ESPN	2367.9	2777.33	3847.29	5872.48	483.38	277.2	3491.39	2875.3	3168.41	2178.83	2193.99	1721.16	1066.48	2956.17	2739.08	2915.45	2997.45	497.0	3190.46	2502.97	43.63	20.86	20.56	27.84	23.25	323.03	8.85	2976.74	83.45	195.72	40.64	60.82	118.43	38.67	113.56	237.86	92.05	305.55	660.68	10.79	41.52	159.9	106.63
ESRRA	2835.7	4181.07	4239.45	4181.07	1519.15	941.27	4298.64	3124.78	3564.78	3081.75	3768.09	2739.08	2193.99	3212.66	3491.39	3982.99	4388.98	1242.34	3928.15	3794.3	995.0	934.76	941.27	3716.2	2104.58	4010.71	4639.29	1322.37	1259.69	753.83	872.1	825.0	656.11	409.15	860.08	1135.2	1242.34	463.65	316.37	688.78	708.18	733.19	132.44
ETFA	6381.92	8840.04	5479.15	7803.01	3589.58	2816.11	4481.23	6079.61	5594.3	4704.07	5831.91	4181.07	6607.01	9025.81	4450.27	6935.54	6607.01	3235.01	6607.01	5006.93	1674.06	1781.89	1721.16	4210.15	4298.64	4736.79	4038.61	5112.16	1709.26	1167.14	2591.27	2682.69	2032.85	2061.24	2178.83	1487.87	2485.67	1322.37	1199.98	1477.58	1199.98	1519.15	1437.15
ETHE1	16157.44	26067.14	15934.98	25708.25	4239.45	3060.45	14065.74	12943.04	13776.25	11504.21	12329.98	7857.29	10368.08	16157.44	11992.79	16045.82	17927.91	4388.98	17927.91	12415.75	769.69	1073.91	1030.12	684.02	981.29	896.64	842.36	603.67	819.3	1378.57	698.41	1617.0	1143.1	1477.58	2319.15	1304.15	2163.77	1487.87	2384.37	624.99	567.1	753.83	872.1
FAM118B	884.29	896.64	878.17	974.5	444.72	518.15	872.1	738.29	836.53	633.73	723.08	543.96	642.59	848.22	679.29	860.08	890.44	435.55	884.29	785.88	220.32	244.57	175.07	157.68	193.01	343.89	325.29	193.01	186.4	318.57	162.14	246.28	228.13	334.46	363.56	305.55	215.77	241.19	329.84	220.32	199.85	249.73	189.02
