	TCGA.E9.A2JT.01A.22R.A18M.07	GTEX.13OVG.1026.SM.5KLZ3	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399S.1526.SM.5P9JC	GTEX.13PL7.0526.SM.5J2MQ	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.1211K.1326.SM.5FQV2	GTEX.14DAR.0726.SM.5RQIA	GTEX.XUZC.0326.SM.4BOO8	GTEX.SIU7.1326.SM.4BRWW	GTEX.13RTK.0626.SM.5Q5EK	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
CD8B	785.88	3.2	6.06	8.99	11.04	31.67	5.5	10.24	24.81	9.13	25.91	7.28	384.34	183.82	320.8	40.07	122.64	77.79	33.78	71.0	38.4	74.06	4.58	13.83	191.67	109.66	208.38	145.02	236.21	336.79	277.2	351.14
CD96	819.3	2.03	5.28	3.38	8.99	15.34	13.42	2.61	17.25	10.0	14.56	4.1	486.75	171.45	476.71	98.04	246.28	105.15	50.63	66.18	32.59	83.45	27.64	33.78	140.04	89.51	152.28	187.71	234.57	341.51	145.02	267.73
CREB1	713.11	194.36	191.67	183.82	167.9	204.07	275.28	164.42	183.82	204.07	231.32	205.5	612.11	595.34	466.88	412.0	444.72	368.65	624.99	447.82	366.09	379.04	305.55	277.2	529.06	297.17	540.19	409.15	417.77	406.31	314.17	441.64
CXCL14	6983.79	511.0	74.58	92.7	49.21	100.83	127.0	71.0	126.12	73.54	339.14	92.05	3589.58	2915.45	3901.01	1225.22	1832.01	830.75	1199.98	186.4	1397.83	1950.0	1407.55	1950.0	2777.33	2573.36	2271.4	4575.41	4123.49	3103.19	4181.07	3515.68
CYSLTR2	37.05	3.08	0.72	1.38	1.69	8.51	1.13	0.31	0.71	2.56	3.03	4.7	16.03	12.83	11.21	4.82	14.35	8.0	5.54	3.56	2.34	2.63	1.23	3.56	4.58	6.46	17.51	7.46	7.88	11.82	7.22	8.92
DENND5B	206.94	100.13	57.08	99.43	72.01	104.42	109.66	69.03	92.05	89.51	92.7	74.06	239.52	206.94	218.79	166.73	138.1	134.3	133.36	167.9	118.43	126.12	92.7	121.79	142.01	104.42	153.34	187.71	246.28	142.01	143.01	119.26
FAM96A	1457.23	397.93	312.0	379.04	356.05	438.59	389.72	460.44	339.14	297.17	460.44	426.57	2502.97	2075.59	2209.26	1457.23	2133.97	1331.57	1151.06	988.12	890.44	1268.46	1088.92	1295.13	1081.39	1794.29	902.89	1457.23	1697.45	3303.0	2417.67	2720.15
FASLG	136.19	1.0	0.0	0.45	3.08	2.86	0.0	0.0	2.41	0.99	6.21	0.48	32.82	32.36	63.0	11.82	43.63	12.93	2.58	10.39	5.36	18.84	6.01	3.29	25.91	20.26	25.17	22.75	21.78	52.82	37.05	29.7
GFI1	158.79	7.0	4.66	7.88	17.25	10.31	4.94	6.84	13.72	8.25	12.93	5.59	220.32	123.5	159.9	44.25	156.59	73.03	15.45	41.52	31.22	29.06	15.56	31.0	84.63	71.0	99.43	95.34	122.64	157.68	120.94	133.36
IKZF3	830.75	1.71	1.13	2.43	5.45	16.75	6.89	4.24	12.09	10.31	8.38	9.06	1001.93	163.28	438.59	59.13	198.47	162.14	38.95	61.25	19.11	54.33	11.3	38.12	107.38	175.07	139.07	145.02	135.24	307.69	170.25	307.69
IL2RB	1111.82	5.06	4.5	6.89	13.32	12.45	5.77	6.78	15.45	16.63	33.3	5.15	1023.0	409.15	514.56	157.68	543.96	217.27	65.26	64.8	93.35	117.6	48.52	72.01	226.54	253.23	199.85	285.03	271.48	466.88	332.14	371.22
KDM2B	866.07	232.94	205.5	279.14	218.79	231.32	217.27	165.57	234.57	229.72	265.87	228.13	775.05	536.45	466.88	234.57	356.05	305.55	260.38	323.03	277.2	320.8	186.4	281.09	327.56	351.14	267.73	291.04	275.28	454.09	316.37	420.68
KIF21B	392.44	14.67	18.03	20.11	24.28	44.57	33.06	19.82	32.59	25.17	29.27	23.76	295.11	198.47	187.71	103.69	206.94	151.22	119.26	61.68	76.17	126.12	57.89	57.49	33.06	120.94	120.1	71.0	68.07	135.24	98.73	82.87
LCP1	8363.13	148.09	39.22	178.77	199.85	283.05	111.21	171.45	172.65	136.19	232.94	140.04	6652.97	1242.34	2485.67	476.71	1628.26	947.83	947.83	633.73	579.04	476.71	176.29	320.8	848.22	915.51	928.3	1059.11	934.76	2739.08	1127.35	2855.44
MED12L	26.67	1.75	0.44	1.06	2.76	1.22	0.42	2.29	4.94	1.69	1.43	4.24	82.87	42.71	19.97	3.2	4.74	4.74	9.27	16.39	6.26	7.51	2.14	17.9	4.1	8.58	14.03	3.63	8.71	6.16	10.63	26.28
MRPS31	555.41	312.0	237.86	297.17	291.04	403.5	226.54	353.59	318.57	279.14	264.03	368.65	669.92	688.78	620.67	379.04	363.56	400.71	356.05	400.71	301.33	358.54	363.56	426.57	438.59	371.22	325.29	463.65	373.81	703.28	486.75	599.49
PGC	1.31	107.38	642.59	251.48	21.94	8046889.67	1634025.56	733.19	323.03	384.34	82.29	6.46	506427.83	434801.29	2310861.52	778316.89	2310861.52	2310861.52	3200796.55	1916442.45	1.011504819E7	1131651.83	805764.22	5128124.01	1851161.35	1956711.0	2068278.89	5690009.96	2025714.3	2025714.3	2126426.15	2654482.97
PREX1	1191.69	60.82	114.36	193.01	156.59	208.38	173.85	128.79	173.85	283.05	175.07	115.16	947.83	532.74	486.75	291.04	518.15	348.71	186.4	463.65	248.0	217.27	136.19	305.55	285.03	312.0	373.81	329.84	293.07	616.37	348.71	397.93
PTPRC	5147.73	33.54	15.11	56.68	76.17	115.16	47.5	24.11	74.58	57.49	124.37	71.5	4972.34	753.83	2287.2	332.14	974.5	660.68	371.22	285.03	172.65	228.13	74.06	141.02	493.56	629.35	555.41	563.18	447.82	1651.0	921.88	2032.85
RAB39A	21.47	2.51	0.91	1.22	2.58	2.92	4.58	0.45	1.89	0.0	3.08	1.33	27.84	19.53	13.72	2.61	15.34	2.68	6.57	6.57	3.66	5.63	0.79	7.69	6.84	8.71	7.88	9.93	6.78	17.0	5.63	15.8
SLAMF6	988.12	2.73	5.02	8.58	20.56	27.84	5.36	4.82	20.26	12.93	23.42	16.03	1008.9	172.65	486.75	69.03	211.31	191.67	45.85	60.39	40.64	59.97	29.06	21.16	128.79	143.01	123.5	223.41	144.01	463.65	267.73	486.75
SLCO2B1	1286.18	64.8	137.14	201.25	255.0	571.05	224.97	214.27	318.57	241.19	332.14	187.71	1066.48	1051.79	563.18	441.64	1096.5	325.29	420.68	473.41	403.5	429.54	339.14	327.56	432.53	1073.91	591.22	412.0	738.29	703.28	381.68	551.56
ST6GAL1	2664.15	153.34	85.82	193.01	167.9	253.23	122.64	199.85	293.07	137.14	275.28	170.25	2956.17	1639.59	1977.24	563.18	825.0	1286.18	1685.71	540.19	796.86	723.08	332.14	281.09	743.43	1119.56	909.17	1340.84	1208.34	1896.65	1529.73	1605.83
ST8SIA4	381.68	8.65	6.16	8.85	13.03	13.03	11.13	6.57	5.11	11.91	10.63	10.16	226.54	71.5	172.65	49.21	88.88	55.1	41.52	87.65	33.54	32.13	19.68	29.48	61.68	73.03	82.29	73.03	108.9	158.79	135.24	140.04
TIGIT	728.11	0.0	2.46	0.95	6.52	11.21	2.86	0.62	4.28	3.86	4.66	2.76	460.44	108.14	237.86	20.86	129.69	67.59	16.03	29.27	43.94	34.26	9.63	13.72	56.68	93.35	57.89	85.22	74.58	198.47	153.34	223.41
TNIP3	41.81	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	2.36	0.0	56.28	33.3	43.63	8.78	52.08	8.38	17.25	19.68	8.0	12.64	11.55	0.1	17.64	13.03	13.72	15.0	7.17	41.81	18.16	31.45
TRAT1	403.5	2.03	0.0	0.89	2.07	0.0	0.0	0.0	0.0	0.0	1.31	0.0	251.48	51.71	169.07	18.56	77.25	20.41	11.91	14.35	10.96	16.03	6.06	7.28	20.86	24.11	20.26	38.67	51.35	215.77	35.76	97.36
UBASH3A	303.44	2.18	1.28	1.48	1.77	7.17	0.83	1.35	4.21	9.13	12.74	3.63	154.42	54.72	115.16	24.81	76.17	45.53	17.64	22.59	25.72	30.34	8.45	18.29	46.84	31.22	52.45	54.33	73.03	138.1	67.59	95.34
ZNF738	158.79	37.32	31.0	30.78	37.85	45.21	43.02	20.26	39.22	41.52	29.91	34.75	208.38	232.94	156.59	78.89	128.79	55.49	74.06	82.87	37.05	41.81	29.7	102.97	80.01	36.53	59.55	51.71	56.28	102.25	98.04	135.24
